Category,Count,Total_frames,Proportion,konkle_category
chair,948627,3163674,0.2998497948903711,big_obj
lamp,838213,3163674,0.26494923307521573,big_obj
toy,794799,3163674,0.251226580235511,small_obj
table,682031,3163674,0.21558194681247184,big_obj
book,626185,3163674,0.19792968554914317,small_obj
cup,561771,3163674,0.17756918064250615,small_obj
bottle,550804,3163674,0.17410264142259918,small_obj
pillow,450049,3163674,0.14225517547003894,small_obj
crayon,444815,3163674,0.14060076986440448,small_obj
bowl,408194,3163674,0.12902530412425553,small_obj
couch,378140,3163674,0.1195255895518944,big_obj
bed,361761,3163674,0.11434838102788088,big_obj
box,304590,3163674,0.09627730290794817,small_obj
plate,282759,3163674,0.08937678155208154,small_obj
glasses,237046,3163674,0.07492744195514456,small_obj
bucket,222445,3163674,0.07031223823946463,small_obj
refrigerator,220317,3163674,0.06963960256334882,big_obj
can,196177,3163674,0.062009233568313296,small_obj
door,194804,3163674,0.061575244478413386,big_obj
napkin,189582,3163674,0.05992463193110289,small_obj
towel,187519,3163674,0.05927254198757521,small_obj
basket,171298,3163674,0.05414527539816049,small_obj
hat,165509,3163674,0.05231544084504282,small_obj
plant,164616,3163674,0.05203317408810137,small_obj
window,153266,3163674,0.04844557309002129,big_obj
slipper,149059,3163674,0.047115790059279176,small_obj
crib,145556,3163674,0.04600853311687614,big_obj
flower,131511,3163674,0.04156907443687308,small_obj
sink,129903,3163674,0.04106080462146226,big_obj
blanket,124837,3163674,0.039459501832363256,small_obj
oven,105530,3163674,0.03335678707730316,big_obj
hand,104948,3163674,0.033172823748591033,others
watch,100340,3163674,0.03171628935218989,small_obj
bench,98747,3163674,0.031212760859684024,big_obj
vacuum,85312,3163674,0.026966115977815668,small_obj
clock,81902,3163674,0.025888255237423326,small_obj
spoon,76062,3163674,0.024042300186428816,small_obj
dog,73033,3163674,0.023084869047822247,animated
ball,64785,3163674,0.020477773626486166,small_obj
tray,62088,3163674,0.01962528376817586,small_obj
balloon,59929,3163674,0.01894284935805649,small_obj
frog,59777,3163674,0.018894803952619645,animated
toe,52912,3163674,0.016724858503120107,others
shirt,52016,3163674,0.01644164348159766,small_obj
knife,50095,3163674,0.015834438061570186,small_obj
cat,47255,3163674,0.014936747591566008,animated
purse,46580,3163674,0.014723388060843183,small_obj
bathtub,45681,3163674,0.014439224774739749,big_obj
doll,44561,3163674,0.014085205997836692,small_obj
drawer,42872,3163674,0.013551333038739137,big_obj
apple,41358,3163674,0.013072775513532683,small_obj
tape,40624,3163674,0.012840766779383717,small_obj
car,39737,3163674,0.012560396551604243,big_obj
paper,39529,3163674,0.012494650207322246,small_obj
gum,38347,3163674,0.012121033962412056,small_obj
scissors,35500,3163674,0.011221130875052233,small_obj
hair,35343,3163674,0.011171505028647073,others
ladder,34207,3163674,0.010812428840645401,big_obj
bread,33831,3163674,0.010693579679827947,small_obj
pen,33676,3163674,0.010644586009810114,small_obj
glove,33241,3163674,0.010507087645566515,small_obj
banana,29654,3163674,0.009373279294895745,small_obj
fork,29044,3163674,0.009180465496761044,small_obj
shoe,27876,3163674,0.008811274486562142,small_obj
stroller,26688,3163674,0.008435761712489971,big_obj
pencil,25243,3163674,0.007979014272646297,small_obj
necklace,24283,3163674,0.007675569606729391,small_obj
grass,21051,3163674,0.006653972564809143,big_obj
jeans,20676,3163674,0.006535439492185351,small_obj
bib,20522,3163674,0.006486761910361181,small_obj
fish,20096,3163674,0.006352108339860554,animated
pajamas,20038,3163674,0.006333775224628075,small_obj
orange,19963,3163674,0.006310068610103316,small_obj
shovel,19958,3163674,0.0063084881691349995,small_obj
toothbrush,18920,3163674,0.005980388624112346,small_obj
alligator,18786,3163674,0.005938032806161444,animated
sweater,17359,3163674,0.005486974953803711,small_obj
mitten,17256,3163674,0.005454417869856376,small_obj
pumpkin,15939,3163674,0.005038129718801621,small_obj
slide,15630,3163674,0.004940458466959617,big_obj
egg,15473,3163674,0.004890832620554456,small_obj
pants,15257,3163674,0.004822557570723153,small_obj
nail,14497,3163674,0.004582330543538936,small_obj
tree,14177,3163674,0.004481182321566635,big_obj
radio,12306,3163674,0.003889781311222332,small_obj
belt,11786,3163674,0.0037254154505173415,small_obj
finger,11758,3163674,0.003716564981094765,others
sock,10773,3163674,0.0034052181103362738,small_obj
jar,10279,3163674,0.0032490705426665325,small_obj
shorts,8907,3163674,0.0028153975409602886,small_obj
jacket,8141,3163674,0.0025732739846140913,small_obj
soap,6686,3163674,0.002113365662833781,small_obj
pizza,6582,3163674,0.002080492490692783,small_obj
soup,5950,3163674,0.001880724752297487,small_obj
arm,5931,3163674,0.0018747190766178817,others
glass,5826,3163674,0.00184152981628322,small_obj
carrot,5791,3163674,0.0018304667295049996,small_obj
melon,5747,3163674,0.001816558848983808,small_obj
boat,5683,3163674,0.0017963292045893478,big_obj
dress,5507,3163674,0.0017406976825045817,small_obj
rooster,5474,3163674,0.0017302667721136881,animated
milk,5341,3163674,0.0016882270423564502,small_obj
motorcycle,5282,3163674,0.001669577838930307,big_obj
cracker,5084,3163674,0.0016069923765849453,small_obj
face,4588,3163674,0.0014502126325278775,others
broom,4286,3163674,0.0013547539980415175,small_obj
horse,4122,3163674,0.001302915534280713,animated
closet,4010,3163674,0.0012675136565904073,big_obj
pickle,3582,3163674,0.0011322279097024535,small_obj
coffee,3410,3163674,0.0010778607403923413,small_obj
cookie,3335,3163674,0.0010541541258675831,small_obj
strawberry,3100,3163674,0.0009798734003566738,small_obj
sprinkler,2884,3163674,0.0009115983505253702,big_obj
comb,2825,3163674,0.0008929491470992271,small_obj
foot,2724,3163674,0.0008610242395392192,others
muffin,2686,3163674,0.0008490128881800084,small_obj
tooth,2600,3163674,0.0008218293035249523,others
bird,2568,3163674,0.0008117144813277221,animated
hose,2395,3163674,0.0007570312238239465,big_obj
snow,2359,3163674,0.0007456520488520626,big_obj
pony,2217,3163674,0.0007007675253518535,animated
rock,2217,3163674,0.0007007675253518535,small_obj
truck,2196,3163674,0.0006941296732849212,big_obj
dish,2096,3163674,0.0006625208539185769,small_obj
butterfly,2085,3163674,0.0006590438837882791,animated
scarf,1803,3163674,0.0005699070131751881,small_obj
owl,1635,3163674,0.0005168041966397296,animated
sauce,1433,3163674,0.0004529543815197141,small_obj
nose,1346,3163674,0.0004254547086709945,others
ankle,1337,3163674,0.00042260991492802354,others
shower,1309,3163674,0.00041375944550544713,big_obj
hamburger,1145,3163674,0.00036192098174464245,small_obj
raisin,1093,3163674,0.0003454843956741434,small_obj
potato,1080,3163674,0.00034137524915651865,small_obj
meat,1004,3163674,0.000317352546438097,small_obj
swing,996,3163674,0.0003148238408887894,big_obj
elephant,931,3163674,0.0002942781083006656,animated
corn,757,3163674,0.0002392787626032265,small_obj
ear,742,3163674,0.00023453743969827485,others
pig,576,3163674,0.00018206679955014328,animated
coat,557,3163674,0.00017606112387053786,small_obj
chips,522,3163674,0.00016499803709231736,small_obj
mouth,440,3163674,0.00013907880521191502,others
mop,387,3163674,0.00012232613094775253,small_obj
leg,382,3163674,0.0001207456899794353,others
deer,320,3163674,0.00010114822197230183,animated
penguin,320,3163674,0.00010114822197230183,animated
tricycle,296,3163674,9.356210532437919e-05,big_obj
eye,282,3163674,8.913687061309099e-05,others
bear,273,3163674,8.629207687011999e-05,animated
giraffe,271,3163674,8.565990048279311e-05,animated
firetruck,251,3163674,7.933813660952425e-05,big_obj
applesauce,249,3163674,7.870596022219735e-05,small_obj
zebra,247,3163674,7.807378383487047e-05,animated
stick,232,3163674,7.333246092991882e-05,small_obj
sandwich,212,3163674,6.701069705664996e-05,small_obj
