category,n_exemplars,k,effective_k,mean_knn_dist,std_knn_dist,median_knn_dist
hand,266,5,5,4.758905986152879,1.7433706669805642,4.320980586229073
toe,262,5,5,5.862960170378906,2.605186737633528,4.9662962592504005
finger,255,5,5,7.209399485675795,3.56267195516322,6.096468751062084
chair,266,5,5,7.436798939230313,2.1371688698671223,7.028634064423672
door,262,5,5,7.591417668018941,2.4404754239752955,7.201867330021166
pillow,265,5,5,7.954926571197683,2.9705622157578495,7.335992153925917
couch,264,5,5,8.06518236964977,2.8874933790036965,7.466514567033602
glasses,250,5,5,8.630057581394686,4.769963517595417,7.093930700374892
lamp,265,5,5,8.954684558186388,2.9132563450085254,8.644853495219621
bed,262,5,5,9.06652228585765,3.671963529441455,8.206500732771609
table,265,5,5,9.474691770098467,3.429173732990457,8.736318201984522
refrigerator,263,5,5,9.54344622888487,3.6203575094076776,8.751809711527859
window,259,5,5,9.545594575745227,3.556032092304971,8.862089093549027
cup,264,5,5,9.668271736024986,3.322173413688756,8.835182727752436
toy,266,5,5,9.670317714432683,3.291277811748181,8.773970196548056
napkin,264,5,5,9.800919312148373,3.41823654567302,9.103254153072601
hair,255,5,5,9.820795413345799,3.7035400681084334,8.812853450398745
towel,261,5,5,9.858602447276148,3.10200717749229,8.97059347674927
bottle,264,5,5,10.064690965328223,3.0743392780911387,9.140231979557324
box,265,5,5,10.173176178653529,3.9808836136535275,9.054021488313063
book,258,5,5,10.493944391528558,4.407357903225891,9.087303697221007
pants,244,5,5,10.80414034852537,4.281296034880439,9.607888635109727
bowl,262,5,5,10.850534484199619,3.2221881727992145,10.020540196634041
hat,262,5,5,10.877483430864686,3.6359491742297383,10.039173081287599
ball,260,5,5,10.97405605335491,3.8241032019096557,9.825115010568606
oven,246,5,5,10.997629986072335,4.6770509380253875,9.819862088650913
sink,246,5,5,11.092756765353549,4.0033672304989825,10.343329638878574
blanket,260,5,5,11.112084365752066,4.175368802733114,10.261040749449162
bucket,262,5,5,11.2046675375527,3.6578978466359544,10.268126833048452
shirt,253,5,5,11.532458966832635,4.107157723463037,10.429835460848524
apple,246,5,5,11.644456558758264,3.682202067065983,10.677466833262375
drawer,246,5,5,11.68516671390247,4.573750475235342,10.506584795666782
balloon,256,5,5,11.903065570222683,3.7042558407828077,11.198364372795734
plate,263,5,5,12.008941353575349,4.258289601011373,11.15909236612097
arm,247,5,5,12.887290690187267,5.5926212939962765,10.966030083251608
paper,251,5,5,13.228687019688213,4.77696666981326,11.873909826645894
cat,220,5,5,13.495340897691777,4.877910740380692,12.215074625911626
jeans,213,5,5,13.575431901767216,5.381393780112197,12.358081265674794
can,245,5,5,13.61691434303356,4.583530340340539,12.736370891996357
nose,196,5,5,13.677094469320974,4.193428521904957,12.362824663478023
plant,228,5,5,13.722034946190565,4.909104715919627,12.826651616706638
shorts,195,5,5,13.750576399535795,5.17394089887949,12.296303003545242
basket,252,5,5,13.828144534571972,4.006100471197792,12.86818438344725
fork,216,5,5,14.08242512207468,4.858146803225872,13.054029426451883
shoe,240,5,5,14.179860087353852,5.000701694002973,12.808548337469798
bench,231,5,5,14.227459442551197,4.540238214476114,13.227194384415947
watch,136,5,5,14.632693853239156,7.123070737517957,11.862294279757812
purse,248,5,5,14.641729011767142,4.83275862661854,13.454265002304234
dog,224,5,5,14.893906045556937,5.498672027044645,13.472983855529105
clock,194,5,5,14.917633431878931,6.255990326143615,14.134703763374414
ear,125,5,5,15.12140808341456,3.2860982900979994,14.792124947120612
tooth,137,5,5,15.176663716363386,4.784164938434268,14.768817435591256
crib,233,5,5,15.33119591442932,5.52193388490834,14.21703332026129
mouth,122,5,5,15.706350992096041,5.1921524347551316,14.493254374153212
pajamas,221,5,5,16.326686509693168,4.861602479015849,15.165590862506566
vacuum,218,5,5,16.483574616574092,5.207512606142338,15.230894396656446
sock,203,5,5,16.526390982647307,5.3916953995682215,15.379949661203288
grass,64,5,5,16.58526466885836,7.9720906308305635,13.52429781525598
tray,242,5,5,16.620783694335575,4.8211234530086235,15.29223962396593
foot,158,5,5,16.723429505856966,5.173448431558874,15.996315059875508
necklace,193,5,5,16.99530633690921,5.312823996590355,16.243370530099142
