category,knn_clip,global_clip,n_exemplars_clip,knn_dino,global_dino,n_exemplars_dino,n_exemplars,n_valid_exemplars,cdi_semantic,dot_color,dot_size
tooth,3.139727827416438,2.523381089171504,13,8.801173107567807,7.331182075469168,15,14.0,13,body_parts,#E87A5F,144.76190476190476
pumpkin,3.7640904647473,3.221406352101696,21,10.628425213913284,9.078928018768252,21,21.0,21,other,#8B9A9E,228.57142857142856
ear,4.019100826580516,3.1103526786048703,12,10.097526761784222,7.919342654669656,12,12.0,12,body_parts,#E87A5F,134.28571428571428
orange,4.142498676135023,3.306976415421668,13,12.763032119814566,10.16924325310982,13,13.0,13,other,#8B9A9E,144.76190476190476
grass,4.146273769198048,3.3506096887553385,15,10.27140173964367,8.583411396615103,15,15.0,15,outside,#5B9BD5,165.71428571428572
book,4.275010187246333,3.391950491376326,11,13.292060590055232,11.368569138412036,13,12.0,11,toys,#B07CC8,123.80952380952381
eye,4.168564525947363,3.5518413468849075,19,8.618756673511033,7.541907635449842,21,20.0,19,body_parts,#E87A5F,207.61904761904762
coffee,4.271809351735176,3.4672000547247404,15,12.934530076427116,10.64283394995964,15,15.0,15,other,#8B9A9E,165.71428571428572
chips,4.480490680968598,3.40025795991033,12,10.738818831380245,8.183568957847038,12,12.0,12,other,#8B9A9E,134.28571428571428
alligator,4.54248976921811,3.5263661860112,14,13.500600353895146,10.36511587365352,14,14.0,14,other,#8B9A9E,155.23809523809524
frog,4.620116966582194,3.675748692315553,15,15.736065674274544,11.992035339490178,15,15.0,15,other,#8B9A9E,165.71428571428572
milk,4.577070939964954,3.7374020968828976,21,13.10017658434452,11.04124175653361,21,21.0,21,other,#8B9A9E,228.57142857142856
butterfly,4.680836909480425,3.806002590903006,16,19.1742213547334,14.606096317960546,16,16.0,16,animals,#4DB8A8,176.1904761904762
egg,4.772570936331646,3.7768391136663606,15,10.844762278193103,8.49393764782898,15,15.0,15,other,#8B9A9E,165.71428571428572
shower,4.905876704127929,3.7556924342033184,13,12.802053980725285,9.550085432864735,13,13.0,13,furniture_rooms,#6BAB7A,144.76190476190476
hamburger,5.0464571583646025,3.746503048496436,11,11.127023404297498,8.255183453958661,12,11.5,11,other,#8B9A9E,123.80952380952381
apple,4.935365383549696,3.833578479210981,11,14.264653970350542,11.271062222105217,12,11.5,11,food_drink,#E8A54C,123.80952380952381
banana,4.943822881028042,3.837869215606332,13,10.929349990699713,8.124593431682683,13,13.0,13,other,#8B9A9E,144.76190476190476
corn,4.798214157077216,4.001637304670914,17,12.099726434242646,10.031816962071373,17,17.0,17,other,#8B9A9E,186.66666666666666
bread,4.835607409382441,3.98932626562897,21,12.277460852403523,11.494542631797383,22,21.5,21,other,#8B9A9E,228.57142857142856
mouth,5.012433862458305,3.859328044373032,10,12.030713586011393,9.86639281850452,12,11.0,10,body_parts,#E87A5F,113.33333333333333
carrot,5.049503486892411,3.8706600255546726,12,12.371150694603717,9.404702970297745,12,12.0,12,other,#8B9A9E,134.28571428571428
bathtub,4.869234160276692,4.145372842672393,24,12.933371782255293,10.97928305714908,24,24.0,24,other,#8B9A9E,260.0
nose,5.07906691629944,4.066144426178028,12,11.917618260296472,9.724240392889635,13,12.5,12,body_parts,#E87A5F,134.28571428571428
crib,5.110363799160343,4.114465947727317,17,13.658222915877772,10.606727628960998,17,17.0,17,furniture_rooms,#6BAB7A,186.66666666666666
sink,5.2393597796180265,4.1038855430745285,15,13.208135347010655,11.091089204933878,15,15.0,15,furniture_rooms,#6BAB7A,165.71428571428572
strawberry,5.188586577043666,4.168789248397316,15,13.777097929952474,10.787939856534011,15,15.0,15,other,#8B9A9E,165.71428571428572
cookie,5.428892283241299,4.1175833361115455,12,13.581720766596955,10.752448481768257,15,13.5,12,other,#8B9A9E,134.28571428571428
bowl,5.491221902133272,4.097250004384509,11,14.314123246416566,10.708216149707866,12,11.5,11,household,#D97B9E,123.80952380952381
sprinkler,5.302133540239421,4.278447844777167,15,14.456215968174073,11.084181262839827,15,15.0,15,other,#8B9A9E,165.71428571428572
clock,5.51336997952468,4.151604157826136,12,14.29561616545716,10.939519954891413,12,12.0,12,household,#D97B9E,134.28571428571428
pony,5.44155961469548,4.277952460532979,13,15.420264012077146,11.389891709485074,13,13.0,13,animals,#4DB8A8,144.76190476190476
pickle,5.393166132621492,4.318582476577328,16,13.342807556798611,10.552863815937712,16,16.0,16,other,#8B9A9E,176.1904761904762
