category,mean_correlation,std_correlation,min_correlation,max_correlation,n_subject_pairs
crayon,0.9424883614304245,0.040843481411088504,0.7562915086746216,0.9929783940315247,930
hand,0.9188485417314755,0.048199371176312275,0.6813433170318604,0.9865169525146484,930
finger,0.9186383715239904,0.06315671885557914,0.7055516242980957,0.9902997016906738,930
nail,0.906609853365088,0.08913638111832728,0.5791575908660889,0.9926985502243042,930
toe,0.8833679021045726,0.10102659102560593,0.5105946660041809,0.9896273016929626,930
bottle,0.8468707739345489,0.15851583333377864,0.15685388445854187,0.9851657152175903,930
watch,0.8449313576503467,0.09890825116789712,0.407526433467865,0.978110134601593,930
glasses,0.8418655519844384,0.09149124759222008,0.5026696920394897,0.9807660579681396,930
slipper,0.8397914628828725,0.0899182070805723,0.44979238510131836,0.9805490374565125,930
shirt,0.8327283265770122,0.07501452775213213,0.5726363658905029,0.9636480808258057,930
pen,0.8304054947950507,0.1707664667030859,0.16444967687129974,0.9829545021057129,930
pants,0.8292606185907605,0.10764928593615287,0.4542079567909241,0.9806239604949951,870
cup,0.8237257104407074,0.14690812145264018,0.16413313150405884,0.9749282598495483,930
arm,0.8081739487186554,0.11693150044122039,0.3992629647254944,0.9616364240646362,930
jeans,0.8075313869983919,0.12616723927793458,0.29499709606170654,0.9692876935005188,930
necklace,0.8072456450983025,0.10508092694709946,0.3956385850906372,0.9610000252723694,870
bed,0.807128660140499,0.09097807889174103,0.4458833932876587,0.9573396444320679,930
egg,0.8046298786141407,0.11966043154151028,0.41841018199920654,0.9733277559280396,870
pencil,0.8005199029561012,0.171777248699174,0.1665644347667694,0.9778715372085571,930
table,0.7968943650363594,0.08684050375698414,0.482420414686203,0.9539133906364441,930
blanket,0.7912223196798756,0.07356423160637013,0.5748062133789062,0.9455394744873047,930
pajamas,0.79077260167368,0.11667227430484285,0.24659335613250732,0.9515978097915649,930
tape,0.7842187981451711,0.17812569176522267,0.13340723514556885,0.9689874649047852,930
belt,0.7836484516500145,0.17647189035979632,0.21621263027191162,0.9821889400482178,930
apple,0.7795045070109828,0.1832376478511793,0.08224999904632568,0.9808768033981323,930
ball,0.7748584366613819,0.1204229489795816,0.3776348829269409,0.9520749449729919,930
toy,0.7709786235965709,0.14947754479818887,0.10688690841197968,0.9473525285720825,930
door,0.7699407093627478,0.14276161549478053,0.11507178843021393,0.944466769695282,930
sweater,0.7693978537773264,0.11426499802346243,0.3432276248931885,0.9524427056312561,870
mouth,0.7679259525239468,0.1699946675121474,0.12306125462055206,0.9723583459854126,600
book,0.7648247282671672,0.13534934361452958,0.07390882074832916,0.962784469127655,930
couch,0.7621151541509936,0.112609669966797,0.3060118556022644,0.9445931315422058,930
can,0.7562527442811637,0.15405265749884856,0.2273240089416504,0.967400312423706,930
hair,0.7544765460234817,0.09062679284674961,0.485388845205307,0.9578670859336853,930
hat,0.7544715524681153,0.14918251126396545,0.21575602889060974,0.9641258716583252,930
bib,0.7455207352356245,0.11780043916917192,0.35636380314826965,0.9380970001220703,930
balloon,0.7452196063213451,0.14710284541122023,0.08792819827795029,0.9479608535766602,930
face,0.7418803052235675,0.0958154695299386,0.3599686324596405,0.9504948854446411,930
lamp,0.7411676822811044,0.10397102418006418,0.36776959896087646,0.9638766646385193,930
bathtub,0.7402871028069526,0.13201443724696246,0.260515034198761,0.9478578567504883,930
crib,0.7353841367588249,0.11083411528511164,0.28205299377441406,0.928704023361206,930
orange,0.7294200128445061,0.22556817091153494,-0.043016038835048676,0.974671483039856,930
window,0.7153264329958987,0.17135825667227012,0.13939283788204193,0.9354850053787231,930
gum,0.7110992763632087,0.15456074177811724,0.17016610503196716,0.9438502192497253,930
strawberry,0.7046794763633183,0.1394501135989694,0.16352280974388123,0.9526667594909668,756
box,0.7019645007026772,0.18929134457450308,-0.01594618894159794,0.9391978979110718,930
refrigerator,0.6964125539346407,0.1406914720229646,0.24086569249629974,0.9273977279663086,930
eye,0.69140849918451,0.15911903865359814,0.0875449851155281,0.9279284477233887,552
jacket,0.6892354130104024,0.16284086195880268,0.11652761697769165,0.9404919743537903,930
