,zebra,giraffe,deer,pony,horse,pig,rooster,penguin,bird,duck,fish,butterfly,frog,alligator,owl,elephant,bear,cat,dog,face,hair,arm,hand,leg,foot,ankle,finger,toe,tooth,ear,nose,eye,mouth,stroller,motorcycle,tricycle,truck,car,lamp,chair,bench,drawer,ladder,window,door,closet,shower,refrigerator,oven,crib,bed,couch,table,bathtub,sink,boat,slide,hose,sprinkler,swing,grass,tree,snow,helicopter,firetruck,clock,ball,balloon,pumpkin,egg,orange,apple,potato,strawberry,hat,slipper,watch,nail,raisin,glasses,necklace,carrot,vacuum,broom,mop,stick,shovel,scissors,spoon,fork,knife,pencil,pen,crayon,plant,flower,soap,bottle,cup,can,belt,radio,basket,milk,jar,bucket,tape,bowl,plate,corn,pickle,banana,melon,bread,cookie,toast,cracker,sandwich,chips,pizza,hamburger,muffin,pastry,meat,pasta,sauce,soup,applesauce,glass,coffee,dish,tray,box,book,paper,rock,comb,toothbrush,gum,toy,doll,mitten,glove,sock,shoe,purse,pillow,towel,napkin,blanket,dress,pajamas,bib,scarf,coat,jacket,sweater,shirt,jeans,pants,shorts,cloud,game
zebra,0.0,,,1.056200385093689,0.9977744817733765,0.865022599697113,0.9558305740356445,,0.8384901881217957,1.039389967918396,1.021738052368164,0.9865710735321045,0.987317681312561,0.7819103598594666,0.7570468783378601,0.3825666308403015,0.6692214012145996,0.7421565055847168,0.8746979236602783,0.8490758538246155,0.8986625671386719,0.7192211151123047,0.7813481092453003,0.9207362532615662,0.7791347503662109,0.8535743355751038,0.9164378046989441,0.9522832632064819,1.058739185333252,1.0124125480651855,0.9949475526809692,1.0228804349899292,0.9910089373588562,0.9438793659210205,1.033961296081543,1.0464767217636108,1.1297383308410645,1.0726550817489624,1.1407392024993896,0.9934700131416321,0.9103116989135742,1.082431435585022,0.9298835396766663,0.9668489694595337,1.0342271327972412,0.9995394945144653,0.8358576893806458,0.9779350161552429,1.129199504852295,0.8900718092918396,0.7950440645217896,0.8976181149482727,0.9157817959785461,0.8665674328804016,1.0798089504241943,1.1203453540802002,0.9062947630882263,0.9423004388809204,0.9787819981575012,0.9955800771713257,0.8963084816932678,1.017030954360962,0.7929157018661499,1.0769267082214355,1.04679274559021,1.123865008354187,1.0587776899337769,1.0157850980758667,1.1236178874969482,1.1138825416564941,1.1567026376724243,1.15126633644104,1.087761402130127,1.1351391077041626,1.0734094381332397,1.0395609140396118,1.071231722831726,1.1165403127670288,,1.0908385515213013,1.0524623394012451,0.9910475611686707,1.00162672996521,1.058807611465454,0.9985809922218323,,0.9918726682662964,0.9182850122451782,1.1170309782028198,1.0413099527359009,0.8867365121841431,1.1475712060928345,1.1194201707839966,1.1566429138183594,1.0912271738052368,1.1544973850250244,1.1745086908340454,1.17186439037323,1.1693154573440552,1.1081656217575073,1.0469499826431274,1.2066822052001953,1.032213568687439,1.0896186828613281,1.1401662826538086,1.1210910081863403,1.146546721458435,1.1167463064193726,1.1371345520019531,,1.0004042387008667,0.9912319779396057,0.9801329970359802,1.0537331104278564,1.1205929517745972,,0.9704342484474182,0.8375085592269897,,0.9457630515098572,,1.0061681270599365,1.074124813079834,1.0521761178970337,,,1.0251917839050293,0.9113202095031738,0.9325382709503174,1.0369185209274292,,1.0897818803787231,1.0806024074554443,1.035339593887329,0.9710394740104675,,0.8751782774925232,0.8495649099349976,1.101449728012085,1.0568867921829224,0.9711846709251404,0.7057422399520874,0.7446068525314331,0.7851503491401672,0.7476158738136292,1.0377131700515747,1.0064890384674072,0.9835217595100403,1.0269087553024292,0.7191523909568787,0.7734807133674622,0.5746184587478638,0.657256007194519,0.8575484752655029,0.8170719146728516,0.8163297772407532,0.8331449627876282,0.7365357875823975,0.638473629951477,0.6429777145385742,0.835818350315094,,
giraffe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
deer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pony,1.056200385093689,,,0.0,0.29007136821746826,0.5189180374145508,0.7366145253181458,,0.7393231391906738,0.7087239027023315,0.8855320811271667,0.7532713413238525,0.7011241912841797,0.9584152698516846,0.9863808155059814,1.0480941534042358,1.0629475116729736,1.0638209581375122,0.817839503288269,1.1251699924468994,1.1330680847167969,1.1121814250946045,1.1343947649002075,0.9671801924705505,0.8774032592773438,0.8821505308151245,1.0465692281723022,1.0152831077575684,1.0107100009918213,1.0714151859283447,0.9903289675712585,0.922762393951416,1.0031555891036987,0.9505102634429932,0.8892526626586914,1.0175175666809082,0.9623880982398987,0.9767177700996399,0.9810767769813538,0.9879639148712158,1.066389799118042,1.0941016674041748,1.1031228303909302,1.0910130739212036,1.081601619720459,1.1259623765945435,1.112607479095459,1.0729715824127197,1.056915283203125,1.0663448572158813,1.0974862575531006,1.0558080673217773,1.0532150268554688,1.0718249082565308,0.9929949641227722,0.8896976113319397,1.0145974159240723,1.0029000043869019,0.986815333366394,0.9371743202209473,1.0397377014160156,1.0402429103851318,1.1051924228668213,0.8601858615875244,0.9275907874107361,0.9626650214195251,0.9444496631622314,0.9510924220085144,0.9923186302185059,0.993320643901825,1.0049234628677368,0.9703040719032288,1.0328582525253296,1.0320138931274414,0.9962629675865173,0.8723113536834717,0.9803747534751892,0.9915577173233032,,1.0052502155303955,1.0493593215942383,1.088270902633667,1.049725890159607,1.0075504779815674,1.0229647159576416,,1.049007773399353,1.0213053226470947,1.021590232849121,1.0412521362304688,1.1355191469192505,0.969438910484314,0.996954619884491,0.950320303440094,1.0302122831344604,0.9025535583496094,0.9148401618003845,0.9472002983093262,0.9505380988121033,0.9833382964134216,1.0107582807540894,0.9179350137710571,1.034226655960083,0.9107295870780945,0.983146607875824,0.9817237854003906,0.9182771444320679,0.9997382164001465,0.9833546876907349,,1.0088820457458496,1.0488389730453491,1.0587984323501587,1.0506247282028198,0.9989508390426636,,0.98554527759552,0.9793899655342102,,1.0438698530197144,,0.9535065293312073,0.9800074100494385,1.0768903493881226,,,1.023705244064331,1.026152491569519,1.0695346593856812,1.0427429676055908,,1.0661360025405884,1.0509239435195923,0.9479165077209473,1.023224115371704,,1.1073042154312134,1.0970178842544556,1.016985297203064,0.8605998754501343,0.9010816216468811,1.0170109272003174,0.9823057055473328,0.8921370506286621,0.9555962085723877,1.0303007364273071,0.9002255797386169,0.9495535492897034,0.9415146112442017,1.103089690208435,1.1059865951538086,1.1346662044525146,1.1316406726837158,1.1112830638885498,1.0573498010635376,1.0731618404388428,1.0787348747253418,1.105418086051941,1.1340734958648682,1.1387546062469482,1.1015185117721558,,
horse,0.9977744817733765,,,0.29007136821746826,0.0,0.691153883934021,0.6582381725311279,,0.5917611718177795,0.8371022939682007,0.8069656491279602,0.6603451371192932,0.5235732197761536,0.9163544178009033,1.0177277326583862,1.0310230255126953,1.0430465936660767,1.0565105676651,0.8355499505996704,1.08420991897583,1.107933521270752,1.1170134544372559,1.1661157608032227,0.9872176647186279,0.9594424366950989,0.9505869150161743,1.089216709136963,1.0414299964904785,0.9606030583381653,1.0340481996536255,0.9714646339416504,0.9149320721626282,0.999700665473938,0.9270026683807373,0.779714047908783,0.9527655839920044,0.898622989654541,0.8434625864028931,0.9460713863372803,0.976149320602417,1.0924017429351807,1.111631155014038,1.0545520782470703,1.054594874382019,1.1146591901779175,1.1503981351852417,1.070188045501709,1.0695430040359497,1.0753413438796997,1.057677984237671,1.1064568758010864,1.0647234916687012,1.106516718864441,1.1317739486694336,1.0579091310501099,0.7408360242843628,1.0069390535354614,0.9979792237281799,0.9704210162162781,0.9448520541191101,1.0510621070861816,0.9980874061584473,1.0841889381408691,0.8037388324737549,0.8796452283859253,0.95623379945755,0.9295138120651245,0.9290679693222046,0.92679363489151,1.0023103952407837,0.956489622592926,0.951033353805542,1.022566556930542,0.9879226088523865,0.9132470488548279,0.8923841118812561,0.9699656367301941,0.9282249212265015,,0.9304326176643372,1.047020435333252,1.067723274230957,0.9797621965408325,0.9372448325157166,1.0282176733016968,,1.074849247932434,1.0151361227035522,1.0174500942230225,0.964802086353302,1.1476318836212158,0.9004938006401062,0.9277417659759521,0.8754807710647583,0.9877406358718872,0.8685908317565918,0.9146640300750732,0.8587998747825623,0.9217950105667114,0.9957284331321716,0.900465190410614,0.8912624716758728,1.0544261932373047,0.9698941111564636,0.9295951128005981,0.967988133430481,0.9194943904876709,1.061836838722229,0.9612917900085449,,1.0657603740692139,1.0414615869522095,1.0674595832824707,1.0315253734588623,0.9849314093589783,,0.9723579287528992,1.0535515546798706,,1.011396050453186,,0.9319994449615479,1.0170217752456665,1.1152209043502808,,,1.0390604734420776,1.0455234050750732,1.0882110595703125,1.1061550378799438,,1.114506721496582,1.0773099660873413,0.9261243343353271,1.0578014850616455,,1.120536208152771,1.103471279144287,0.9631098508834839,0.8139415979385376,0.7977085709571838,1.0885615348815918,1.053810715675354,0.9902453422546387,1.0005223751068115,1.0351459980010986,0.9749819040298462,0.9668703675270081,0.9674690365791321,1.141029953956604,1.0364131927490234,1.1352483034133911,1.1502195596694946,1.091681957244873,0.9948793649673462,1.0633680820465088,1.0643947124481201,1.084730863571167,1.1113964319229126,1.0840225219726562,1.0029298067092896,,
pig,0.865022599697113,,,0.5189180374145508,0.691153883934021,0.0,0.8017696738243103,,0.748940110206604,0.8271258473396301,0.9477883577346802,0.8891338109970093,0.7911362648010254,0.7945241332054138,0.7802654504776001,0.6692788600921631,0.7576463222503662,0.8336997628211975,0.7293553352355957,0.9994856119155884,1.029636025428772,0.941247820854187,1.1088863611221313,0.9741145968437195,0.8775826692581177,0.8911690711975098,1.0764628648757935,1.02657151222229,1.0384705066680908,1.0594593286514282,0.9799325466156006,0.9768165946006775,1.0054532289505005,0.9696851372718811,0.9837250113487244,1.026456356048584,0.9962249994277954,1.0081249475479126,1.1164615154266357,0.9962059259414673,1.0149931907653809,1.0997834205627441,1.0201958417892456,1.0653403997421265,1.0730934143066406,1.0630810260772705,0.9609382748603821,0.9715683460235596,1.0453646183013916,0.9831847548484802,0.9579552412033081,1.0003060102462769,0.9746108055114746,0.9793007373809814,1.0326495170593262,0.95870041847229,0.9231507778167725,0.9767688512802124,1.0598045587539673,0.9379580020904541,0.9542442560195923,1.0255855321884155,0.9737284183502197,0.9245461821556091,0.9565402865409851,1.0435829162597656,0.9029351472854614,0.8929541110992432,0.9280998110771179,1.0155079364776611,0.997104287147522,1.0447362661361694,0.9796541929244995,1.11217200756073,0.9637174606323242,0.9812524318695068,1.059157371520996,1.014382243156433,,1.0880258083343506,1.105325698852539,1.0411851406097412,1.0357574224472046,1.052069067955017,0.9709868431091309,,0.9889144897460938,0.959505021572113,1.039684534072876,1.0983716249465942,1.0619291067123413,1.1276425123214722,1.1236618757247925,1.0924572944641113,1.0622363090515137,1.101051926612854,1.0681754350662231,1.1102848052978516,1.1309319734573364,1.051543116569519,1.0978517532348633,1.0199248790740967,1.026772379875183,0.9568823575973511,1.0742826461791992,1.1002321243286133,1.0169199705123901,1.057593584060669,1.0687577724456787,,1.0349571704864502,1.0177828073501587,0.951090395450592,0.9420905113220215,0.9410480260848999,,0.9442731142044067,0.8157248497009277,,1.061549425125122,,0.8442052006721497,0.9249355792999268,1.0501973628997803,,,1.024121642112732,0.9810741543769836,0.9870809316635132,1.0260742902755737,,1.0611748695373535,1.074007511138916,1.0518041849136353,1.0459998846054077,,0.9314311742782593,1.0141195058822632,1.0677818059921265,0.9238802194595337,0.9008167386054993,0.8744601011276245,0.9699036478996277,0.876839816570282,0.9530287981033325,1.056090235710144,1.0037885904312134,0.9676547646522522,0.9926018118858337,0.9378805160522461,0.9787494540214539,0.9604265093803406,0.9735355377197266,1.0124921798706055,0.943864107131958,0.9606720209121704,0.9640131592750549,0.973665177822113,0.9755816459655762,0.9732617735862732,1.0643012523651123,,
rooster,0.9558305740356445,,,0.7366145253181458,0.6582381725311279,0.8017696738243103,0.0,,0.6973404884338379,0.8874800205230713,0.9594019651412964,0.7443949580192566,0.5741872787475586,0.6891611814498901,0.9326510429382324,0.9602552652359009,0.9420515298843384,0.8910125494003296,0.6766778826713562,1.0978479385375977,1.0797325372695923,0.8914634585380554,1.0377343893051147,1.0398740768432617,0.8631893396377563,0.9322167634963989,1.1053673028945923,1.1259143352508545,1.1418495178222656,1.0708585977554321,1.1122848987579346,1.0807000398635864,1.0739586353302002,0.8235210180282593,0.7976226806640625,0.8636378049850464,0.9785667061805725,0.7893812656402588,0.8937452435493469,0.8752720355987549,0.9380457401275635,1.0827367305755615,0.8659257292747498,0.8917158842086792,0.9124394655227661,0.9163129329681396,0.7802950143814087,0.9379377365112305,0.9988756775856018,0.765006422996521,0.7896731495857239,0.9460204243659973,0.9057643413543701,0.998279333114624,1.0652319192886353,0.953510046005249,0.9448857307434082,0.9314253926277161,0.9723584055900574,0.90690016746521,1.059555172920227,0.9669792056083679,0.9519034624099731,0.9148058295249939,0.9246701002120972,1.0368670225143433,1.0349185466766357,0.9791658520698547,1.0095840692520142,1.1446831226348877,1.1250542402267456,1.1524375677108765,1.1387301683425903,1.0631463527679443,0.9527104496955872,1.020029902458191,1.1030629873275757,1.181482195854187,,1.1195547580718994,1.166908860206604,1.1047773361206055,0.8253545761108398,0.8313087224960327,1.0096657276153564,,1.0062943696975708,0.9057052135467529,1.021051049232483,1.0742485523223877,1.0591485500335693,1.1158543825149536,1.1357377767562866,1.1208842992782593,0.6512052416801453,1.0042345523834229,1.0703179836273193,1.0262606143951416,1.1221896409988403,1.0289185047149658,1.0952668190002441,0.9637773036956787,0.9327235221862793,0.9961543083190918,1.0157274007797241,1.0737873315811157,1.108320951461792,1.0808522701263428,1.1154615879058838,,1.1058584451675415,1.024100661277771,1.0366828441619873,1.023022174835205,1.0366235971450806,,0.9465835094451904,0.8691683411598206,,0.9793474674224854,,0.9015655517578125,1.0181561708450317,0.9224827289581299,,,1.1508808135986328,1.0403616428375244,0.9213003516197205,1.0517317056655884,,0.9995848536491394,0.9810651540756226,0.8917953372001648,0.9099015593528748,,1.0333001613616943,1.0300179719924927,1.0833362340927124,0.8594019412994385,0.6009001731872559,0.9155953526496887,0.9149386882781982,0.8930884003639221,0.8931548595428467,0.8587218523025513,0.9785454273223877,0.8466669917106628,0.879249095916748,0.8973818421363831,1.006304144859314,0.9769614934921265,0.9843905568122864,1.0222769975662231,0.9162372350692749,0.95737624168396,0.9761160016059875,1.0155771970748901,0.974230170249939,1.0034708976745605,1.0304292440414429,,
penguin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bird,0.8384901881217957,,,0.7393231391906738,0.5917611718177795,0.748940110206604,0.6973404884338379,,0.0,0.6577506065368652,0.8556636571884155,0.6991154551506042,0.5953169465065002,0.6525496244430542,0.6725386381149292,0.779327392578125,0.7094206809997559,0.7464701533317566,0.6981910467147827,0.9241591095924377,0.9817071557044983,0.8551300168037415,0.979880154132843,0.9051895141601562,0.868739128112793,0.9314063787460327,1.1215206384658813,1.0651042461395264,1.0769656896591187,1.086857795715332,1.1210211515426636,1.1026369333267212,1.1382895708084106,0.835792601108551,0.7724120020866394,0.8850363492965698,0.9664050340652466,0.8409371376037598,1.029740810394287,0.9069154858589172,1.0033499002456665,1.1281654834747314,0.9198484420776367,0.9690874814987183,1.0741328001022339,1.076326847076416,0.9244744181632996,0.9872596859931946,1.0548983812332153,0.9301101565361023,0.945734441280365,1.0636885166168213,0.9756736159324646,0.9988847374916077,1.1124205589294434,0.8779210448265076,0.9020143151283264,0.9567416310310364,0.9416298270225525,0.9046629071235657,1.002315878868103,0.9316799640655518,0.9120248556137085,0.821606457233429,0.951484203338623,1.0430353879928589,0.9884017109870911,0.9644495248794556,0.8890016078948975,1.063364028930664,1.0325356721878052,1.0102078914642334,1.107069730758667,1.0582884550094604,0.8873845934867859,0.9769691824913025,1.0820730924606323,1.0590006113052368,,1.0641837120056152,1.1353237628936768,0.933305025100708,0.8704360723495483,0.9207201600074768,0.9368346929550171,,0.9837570786476135,0.8785992860794067,1.0142840147018433,1.0286006927490234,0.8999081254005432,0.9310033321380615,0.9531722664833069,0.9487660527229309,1.025679349899292,0.9745014309883118,0.9920777082443237,0.8754519820213318,1.0011476278305054,1.0632519721984863,0.8976754546165466,1.0328513383865356,0.9718801379203796,0.9598280787467957,0.9478015899658203,0.9667442440986633,1.0350425243377686,1.051314353942871,0.9806527495384216,,1.07758367061615,0.9662027359008789,0.9825590252876282,0.9789654016494751,1.0074901580810547,,0.9705477952957153,0.8803375959396362,,0.9374970197677612,,0.8031558990478516,0.9673943519592285,0.9954656958580017,,,1.0578533411026,0.9722809791564941,0.9438322186470032,1.0813143253326416,,1.0141792297363281,1.0571386814117432,0.8905525207519531,0.9128417372703552,,1.0086677074432373,0.8709129691123962,0.9638184905052185,0.8482769727706909,0.8356179594993591,0.8275600671768188,0.8725361824035645,0.8992836475372314,0.8873997330665588,0.9317260980606079,1.058491587638855,1.0356063842773438,1.0743576288223267,0.8938908576965332,0.8030996322631836,0.7835171222686768,0.8025565147399902,0.8092118501663208,0.7799333333969116,0.8130963444709778,0.8106029033660889,0.8207179307937622,0.7800154089927673,0.803152322769165,0.9548841118812561,,
duck,1.039389967918396,,,0.7087239027023315,0.8371022939682007,0.8271258473396301,0.8874800205230713,,0.6577506065368652,0.0,0.9545646905899048,0.9718601703643799,0.8158449530601501,0.99345862865448,0.9528247117996216,1.0110454559326172,1.0561209917068481,1.0657298564910889,0.8993576765060425,1.1269968748092651,1.1296180486679077,1.099998116493225,1.0863885879516602,0.9283692240715027,0.8929920196533203,0.9771186113357544,1.0277870893478394,0.9716895818710327,1.0057122707366943,1.049638032913208,1.01210355758667,1.0693576335906982,1.0000823736190796,0.9719932675361633,1.005083441734314,1.0728001594543457,1.005424976348877,1.0030567646026611,1.0280884504318237,1.023374319076538,1.0580060482025146,1.1019768714904785,1.0602738857269287,1.1101149320602417,1.0766311883926392,1.0629481077194214,1.0513378381729126,1.0587825775146484,1.1151459217071533,1.0082169771194458,1.038100004196167,1.063251256942749,1.0255074501037598,1.041305422782898,0.9786226749420166,0.9142361283302307,0.9531443119049072,1.0231986045837402,1.0537302494049072,0.8380987644195557,1.0653057098388672,1.019923210144043,0.9721633195877075,0.9484142065048218,0.9488060474395752,0.995482861995697,0.9369527101516724,0.9341596961021423,0.9428387880325317,0.9394575357437134,0.9367467164993286,0.969466507434845,1.004401683807373,1.0407798290252686,0.9788461923599243,0.9801334738731384,1.0995893478393555,0.9859641790390015,,1.111706256866455,1.0946916341781616,0.9512646198272705,1.0606943368911743,1.0398900508880615,0.9870797395706177,,1.0593924522399902,0.9279260635375977,0.8448131084442139,1.1174107789993286,1.1396844387054443,1.0242918729782104,1.0298659801483154,0.9450700283050537,1.033268690109253,0.999398946762085,0.9447876214981079,0.9807558059692383,0.9708565473556519,0.9924197793006897,1.0465450286865234,1.023053765296936,0.9593762159347534,0.859573483467102,0.9756972193717957,0.9696258902549744,0.9056892395019531,0.937341034412384,0.9387238621711731,,0.9965898990631104,0.9688531756401062,0.9715230464935303,1.049283742904663,0.9264681339263916,,1.0248273611068726,1.021628975868225,,1.1587436199188232,,0.9643077850341797,0.9034473896026611,1.0258989334106445,,,1.094181776046753,0.9850813746452332,1.062918782234192,1.0482686758041382,,1.0012844800949097,1.04850435256958,1.003996729850769,1.0161662101745605,,1.0895330905914307,1.0137574672698975,0.9993656873703003,0.7832659482955933,0.8921937942504883,0.9823449850082397,1.038399338722229,0.928408682346344,0.9912930727005005,1.1159030199050903,0.9746360182762146,0.9962453842163086,0.9925293922424316,1.0964117050170898,1.16799795627594,1.1077086925506592,1.1176897287368774,1.1184812784194946,1.0399117469787598,1.0665876865386963,1.0849863290786743,1.12333083152771,1.0913515090942383,1.114004135131836,1.1200059652328491,,
