subject_id,age_mo,hours_video,n_recordings
00320001,8,1.69,10
00320001,9,7.16,38
00320001,10,3.29,16
00320001,11,5.81,30
00320001,12,5.63,29
00320001,13,8.21,43
00320001,14,8.26,42
00320001,15,5.1000000000000005,28
00320001,16,7.77,41
00320001,17,5.970000000000001,30
00320001,18,6.84,37
00320001,19,4.62,24
00320001,20,5.93,32
00320001,21,6.72,38
00320001,22,0.77,4
00370002,8,0.81,5
00370002,9,4.76,26
00370002,10,4.54,24
00370002,11,5.3100000000000005,23
00370002,12,6.3100000000000005,32
00370002,13,7.48,36
00370002,14,5.86,27
00370002,15,7.08,37
00370002,16,9.98,66
00370002,17,9.05,43
00370002,18,5.05,28
00370002,19,4.4,24
00400001,10,6.95,33
00400001,11,8.34,40
00400001,12,9.64,56
00400001,13,11.07,54
00400001,14,10.5,54
00400001,15,3.94,22
00400001,16,4.05,20
00400001,17,4.5,24
00400001,18,2.7,17
00400001,19,2.06,13
00400001,20,3.2,16
00400001,21,1.52,9
00400001,22,3.31,17
00400001,23,3.1500000000000004,17
00400001,24,4.89,29
00400001,25,2.23,13
00400001,26,4.2,19
00400001,27,2.77,12
00400001,28,2.47,12
00400002,12,1.27,6
00400002,13,6.16,29
00400002,14,6.3100000000000005,26
00400002,15,6.65,30
00400002,16,5.69,25
00400002,17,4.1,20
00400002,18,5.3500000000000005,24
00400002,19,5.54,23
00400002,20,4.29,17
00400002,21,6.51,26
00400002,22,5.14,23
00400002,23,4.54,20
00400002,24,1.4300000000000002,8
00430001,10,0.35,2
00430001,11,1.19,6
00430001,12,4.61,21
00430001,13,5.140000000000001,23
00430001,14,4.0600000000000005,20
00430001,15,2.0,10
00430001,16,4.53,21
00430001,17,2.71,14
00430001,18,3.34,17
00430001,19,0.39,3
00430001,20,0.6200000000000001,3
00430001,21,0.73,3
00430001,27,0.34,3
00430001,28,2.01,12
00430001,29,0.48000000000000004,4
00500001,11,0.33999999999999997,2
00500001,12,6.33,39
00500001,13,1.73,8
00500001,14,4.76,24
00500001,15,5.89,28
00500001,16,5.65,27
00500001,17,0.43000000000000005,3
00500001,18,1.4000000000000001,8
00500001,19,0.11,1
00500001,20,0.93,6
00500001,21,1.78,11
00500001,22,1.07,5
00500001,23,4.08,24
00500001,24,0.63,5
00500001,25,2.5,14
00500001,26,0.09,1
00500001,27,2.14,12
00500001,28,0.55,3
00510002,12,1.7,8
00510002,13,7.54,38
00510002,14,5.51,27
00510002,15,8.43,43
00510002,16,6.44,32
00510002,17,6.63,32
00510002,18,8.3,41
00560001,13,1.74,11
00560001,14,5.32,30
00560001,15,1.46,7
00560001,16,1.55,8
00560001,17,2.7600000000000002,14
00560001,18,2.84,14
00560001,19,3.5500000000000003,24
00560001,20,2.1,11
00560001,21,2.68,14
00560001,22,2.1100000000000003,11
00560001,23,1.23,6
00560001,24,0.8300000000000001,4
00560001,25,0.8200000000000001,3
00560001,26,0.54,3
00560001,27,0.02,1
