,zebra,giraffe,deer,pony,horse,pig,rooster,penguin,bird,duck,fish,butterfly,frog,alligator,owl,elephant,bear,cat,dog,face,hair,arm,hand,leg,foot,ankle,finger,toe,tooth,ear,nose,eye,mouth,stroller,motorcycle,tricycle,truck,car,lamp,chair,bench,drawer,ladder,window,door,closet,shower,refrigerator,oven,crib,bed,couch,table,bathtub,sink,boat,slide,hose,sprinkler,swing,grass,tree,snow,helicopter,firetruck,clock,ball,balloon,pumpkin,egg,orange,apple,potato,strawberry,hat,slipper,watch,nail,raisin,glasses,necklace,carrot,vacuum,broom,mop,stick,shovel,scissors,spoon,fork,knife,pencil,pen,crayon,plant,flower,soap,bottle,cup,can,belt,radio,basket,milk,jar,bucket,tape,bowl,plate,corn,pickle,banana,melon,bread,cookie,toast,cracker,sandwich,chips,pizza,hamburger,muffin,pastry,meat,pasta,sauce,soup,applesauce,glass,coffee,dish,tray,box,book,paper,rock,comb,toothbrush,gum,toy,doll,mitten,glove,sock,shoe,purse,pillow,towel,napkin,blanket,dress,pajamas,bib,scarf,coat,jacket,sweater,shirt,jeans,pants,shorts,cloud,game
zebra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
giraffe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
deer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pony,,,,0.0,0.3608940839767456,0.8230384588241577,0.7793182134628296,,1.0088088512420654,,0.9282994866371155,0.839867353439331,0.5325677394866943,0.5828560590744019,0.9099689722061157,0.9359208345413208,,0.7535477876663208,0.7249963283538818,1.0034668445587158,1.0009558200836182,1.013346552848816,1.005301594734192,0.8966440558433533,0.9268327951431274,1.0108541250228882,1.0988717079162598,1.0433987379074097,1.0563263893127441,1.0060954093933105,0.8665784597396851,1.013383150100708,,0.9508218765258789,0.9506499171257019,,,0.9429811239242554,1.05823814868927,0.8838194012641907,1.0201891660690308,0.9868113398551941,0.9746175408363342,1.025700330734253,0.9900581240653992,0.9766957759857178,,0.9779243469238281,1.0089329481124878,0.9344499707221985,0.8924670219421387,0.9886876344680786,0.9098262786865234,1.0229355096817017,1.0476433038711548,,,0.939183235168457,0.8996696472167969,,,,0.9415661692619324,,,1.0757216215133667,1.0174498558044434,0.9923407435417175,0.751554548740387,1.0866920948028564,0.9812009334564209,1.0191658735275269,,,1.0021653175354004,0.9812570810317993,1.0156939029693604,1.0905495882034302,,1.0498549938201904,1.0886602401733398,0.9294416904449463,0.949947714805603,,,,1.041703701019287,0.894129753112793,1.012884497642517,0.9578280448913574,0.949203372001648,1.087554693222046,1.1257688999176025,1.1029185056686401,0.9550026655197144,0.9067583084106445,1.0034191608428955,1.110680103302002,1.167604923248291,1.0782907009124756,1.09157133102417,,0.7804428339004517,1.035064697265625,0.9404380321502686,1.0086439847946167,1.0569566488265991,0.9402673244476318,1.095882534980774,,1.0715889930725098,0.9826187491416931,0.9170966744422913,0.887448251247406,,,0.8124802112579346,0.9583048820495605,,0.892406702041626,,0.9363484382629395,,,,,,,0.9548653364181519,,,1.0395675897598267,0.8656185865402222,0.8532289266586304,0.7983366250991821,,0.872441291809082,0.9919822812080383,1.0466774702072144,0.8296240568161011,0.754442036151886,0.864048957824707,0.9507192969322205,0.9929895997047424,0.9101247191429138,0.9576897621154785,0.9550310373306274,1.010973572731018,1.0024538040161133,0.9067728519439697,0.9363695383071899,1.0085787773132324,0.98512864112854,1.011246919631958,1.0195420980453491,0.9655597805976868,0.9726153016090393,0.9932801723480225,1.0054289102554321,1.0061066150665283,1.0738780498504639,,
horse,,,,0.3608940839767456,0.0,0.8190817832946777,0.7340607643127441,,1.0581716299057007,,0.8665757179260254,0.7637613415718079,0.4824357032775879,0.5806914567947388,0.9636082053184509,0.9874866604804993,,0.936359167098999,0.7485742568969727,1.0012270212173462,1.012887954711914,1.0565112829208374,1.0316377878189087,0.902919590473175,0.9457117915153503,0.9888481497764587,1.0740203857421875,1.017462134361267,1.0595309734344482,0.9904710054397583,0.8946906924247742,0.9733742475509644,,0.9767636060714722,1.0190891027450562,,,0.9720011353492737,0.9722399711608887,1.0150446891784668,1.0493106842041016,1.0288044214248657,1.0190974473953247,1.0779095888137817,1.0417946577072144,1.0916852951049805,,1.0588730573654175,1.0850242376327515,1.0327321290969849,1.0024514198303223,1.0610203742980957,0.9805645942687988,1.0858176946640015,1.07928466796875,,,0.9749041795730591,0.9169528484344482,,,,0.9648967981338501,,,0.9998990297317505,0.9724029898643494,0.9221140146255493,0.8120965361595154,1.009690284729004,0.8671713471412659,1.046834945678711,,,1.033974051475525,1.032075047492981,0.9789525270462036,0.9974895715713501,,1.0283654928207397,1.028302550315857,0.9344633221626282,1.0078349113464355,,,,1.0320913791656494,0.930381178855896,0.992621123790741,0.9196699857711792,0.9301257133483887,0.9738982319831848,1.0206775665283203,0.9767089486122131,1.0259588956832886,0.9762968420982361,1.0175600051879883,1.028596043586731,1.105079174041748,1.1087285280227661,1.0869232416152954,,0.9634936451911926,1.0278795957565308,1.0250706672668457,1.1125004291534424,0.9974895715713501,1.0790624618530273,1.1380326747894287,,1.0459916591644287,1.0134507417678833,1.012336254119873,0.9259341359138489,,,0.9019092917442322,0.9862762689590454,,0.9620215892791748,,0.9523143768310547,,,,,,,0.9985510110855103,,,1.0654858350753784,0.9391395449638367,0.8306562304496765,0.743238091468811,,0.8682727813720703,1.021920919418335,1.0237375497817993,0.7797353267669678,0.7524902820587158,0.9173992276191711,1.0314477682113647,1.0463398694992065,0.9975982308387756,0.9516274929046631,1.0377658605575562,1.0088974237442017,0.9727922677993774,0.9762733578681946,0.9448331594467163,1.0079870223999023,1.012855052947998,1.0356676578521729,1.04288911819458,1.0235037803649902,0.9839677810668945,0.9953485131263733,1.0599937438964844,1.0169117450714111,1.0562481880187988,,
pig,,,,0.8230384588241577,0.8190817832946777,0.0,0.5653178691864014,,0.8716630339622498,,1.0259785652160645,1.0934956073760986,0.5049293041229248,0.3573942184448242,0.48924338817596436,0.7924422025680542,,0.4925771951675415,0.4129176139831543,0.9397696256637573,0.9459607005119324,0.7855350971221924,0.8116941452026367,0.4354895353317261,0.6329832673072815,1.0475172996520996,1.1460689306259155,0.9216229915618896,1.0131199359893799,1.0548467636108398,0.9265883564949036,1.1137735843658447,,0.9591808915138245,0.9998940825462341,,,0.9865542054176331,1.1982346773147583,0.7781533598899841,0.972006618976593,1.0244642496109009,0.9248412847518921,1.035014033317566,1.003690242767334,0.9428574442863464,,1.048346757888794,1.028897762298584,0.7956364154815674,0.560523271560669,0.9129102826118469,0.6561397314071655,0.9751133918762207,1.125144600868225,,,0.9806227087974548,0.9470924139022827,,,,0.8091224431991577,,,1.1363139152526855,0.8298895955085754,0.9559845924377441,0.4049578905105591,1.0637236833572388,1.100456714630127,0.8839266300201416,,,0.9752734899520874,1.0421408414840698,0.9891382455825806,1.1522239446640015,,1.1021541357040405,1.0514241456985474,0.6278171539306641,1.0867750644683838,,,,1.1448901891708374,0.8823992609977722,1.1524980068206787,0.9929978251457214,0.8873986005783081,1.177849292755127,1.176138162612915,1.1961945295333862,1.1193747520446777,1.0276111364364624,1.0646699666976929,1.2374560832977295,1.2605271339416504,1.2112021446228027,1.075317621231079,,0.7262665033340454,1.074421763420105,0.9720934629440308,1.1629412174224854,1.1937438249588013,1.0664960145950317,1.1391887664794922,,1.115330457687378,0.945850670337677,0.6290918588638306,0.6811306476593018,,,0.6329905986785889,0.4557420015335083,,0.6038796305656433,,0.9011117219924927,,,,,,,0.9427879452705383,,,1.0392965078353882,0.91659015417099,0.9998137950897217,0.8946669101715088,,0.8226244449615479,0.8397389650344849,1.0713139772415161,0.8819172978401184,0.545923113822937,0.37631094455718994,0.8942088484764099,0.757533073425293,0.8866995573043823,0.9497922658920288,0.8759632706642151,0.9912950396537781,1.0414299964904785,0.38056492805480957,0.7948707342147827,0.75908362865448,0.6446595191955566,0.8979491591453552,0.8599728941917419,0.8087368607521057,0.8007690906524658,0.8561900854110718,0.6728214025497437,0.7428392171859741,0.8790888786315918,,
rooster,,,,0.7793182134628296,0.7340607643127441,0.5653178691864014,0.0,,0.8757748007774353,,0.86366206407547,0.9244074821472168,0.6061478853225708,0.5693463683128357,0.6359246373176575,0.8752006888389587,,0.5433722138404846,0.6030411124229431,0.8600733280181885,0.8344945907592773,0.7707246541976929,0.7646899819374084,0.6737390160560608,0.6197159290313721,0.9955718517303467,1.0503233671188354,0.8868542909622192,0.9533578753471375,1.0263869762420654,0.8166838884353638,0.9226645231246948,,0.8021122217178345,0.8893372416496277,,,0.9271490573883057,1.080682635307312,0.8560978174209595,0.8996098041534424,1.000102162361145,0.9323123097419739,0.9500977396965027,0.8845773935317993,0.9692169427871704,,0.8437828421592712,0.9950023293495178,0.8261531591415405,0.7374473810195923,0.8956817984580994,0.7103794813156128,0.8574390411376953,1.0841244459152222,,,0.928640604019165,0.7241020202636719,,,,0.6616693735122681,,,1.064586877822876,0.8033919930458069,0.934413731098175,0.6878215670585632,1.100370168685913,0.9886215925216675,0.8362547755241394,,,0.9916942119598389,0.9615797400474548,0.8679384589195251,1.037215232849121,,1.047906756401062,1.0127556324005127,0.690284252166748,0.8663918972015381,,,,1.0994359254837036,0.7821242809295654,1.0861040353775024,0.8716581463813782,0.6993457078933716,0.9741643071174622,0.9532493948936462,0.9520155191421509,0.9967522025108337,0.9503677487373352,1.0636855363845825,1.0699858665466309,1.1567323207855225,1.031318187713623,1.029302716255188,,0.869277834892273,1.1036808490753174,1.0089263916015625,1.1244878768920898,1.0867193937301636,1.0422544479370117,1.0798343420028687,,1.0412170886993408,0.9563324451446533,0.6837624311447144,0.6499400734901428,,,0.5656898021697998,0.6992841958999634,,0.5877202153205872,,0.9020853638648987,,,,,,,0.7839506268501282,,,1.0421923398971558,0.9616718292236328,0.9392472505569458,0.8758196830749512,,0.7856903076171875,0.7915886640548706,0.8311927318572998,0.8245156407356262,0.7263882160186768,0.6415998339653015,0.9464669823646545,0.950017511844635,0.7827035188674927,0.8056183457374573,0.9624128341674805,0.9738101363182068,0.9855422973632812,0.6614198684692383,0.7339990139007568,0.7668381929397583,0.7677270770072937,0.8639170527458191,0.8610149621963501,0.8810152411460876,0.7724167704582214,0.8001061677932739,0.7426271438598633,0.7399677634239197,0.9441627860069275,,
penguin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bird,,,,1.0088088512420654,1.0581716299057007,0.8716630339622498,0.8757748007774353,,0.0,,1.1028516292572021,1.1129577159881592,1.021685004234314,0.8066951632499695,0.8692256808280945,0.875386118888855,,0.7919827699661255,0.9257339239120483,0.8165354132652283,0.8608237504959106,0.7472874522209167,0.9353464245796204,0.958134114742279,0.9521421194076538,1.071721076965332,1.2156486511230469,1.184191107749939,0.9735336899757385,1.060098648071289,1.126444697380066,1.0917834043502808,,0.9060558676719666,0.9901390075683594,,,0.9746164679527283,1.0472806692123413,0.6696112155914307,0.647922694683075,0.8727086186408997,0.7985672950744629,0.8161512017250061,0.7745335698127747,0.8369667530059814,,0.8457726240158081,0.934417188167572,0.6969839334487915,0.6806260347366333,0.7638893723487854,0.6740107536315918,0.7808704376220703,0.9456384778022766,,,0.9057909250259399,0.9449203014373779,,,,0.711624264717102,,,1.0844435691833496,1.104771614074707,1.0824087858200073,0.9721384644508362,1.1109553575515747,1.0808556079864502,1.0730814933776855,,,0.9455628395080566,1.118956446647644,1.0503194332122803,1.1696796417236328,,1.0838323831558228,1.1270153522491455,0.8846763372421265,0.8394306302070618,,,,1.0830178260803223,0.8768703937530518,1.0976296663284302,0.9586918950080872,0.8319196105003357,1.120067834854126,1.1029592752456665,1.141305685043335,0.8639211058616638,0.896269679069519,1.0488179922103882,1.0878477096557617,1.1127541065216064,0.9656599760055542,1.0248644351959229,,0.8221500515937805,0.9379698634147644,0.9169726371765137,0.9857833385467529,1.1594816446304321,0.9736581444740295,1.004469394683838,,1.0526361465454102,0.9334637522697449,0.9027406573295593,0.8362729549407959,,,0.6978374719619751,0.7706031799316406,,0.7945178151130676,,1.0463738441467285,,,,,,,0.8085198402404785,,,0.9845595359802246,0.9080123901367188,0.8818075060844421,0.8555799722671509,,0.950048565864563,0.9220774173736572,0.985140323638916,1.120474100112915,0.958926260471344,0.9067305326461792,1.037663459777832,0.9830483794212341,0.9186455011367798,0.7180187106132507,0.887374997138977,0.7817586660385132,0.8214077353477478,0.6400671601295471,0.7521683573722839,0.7536166310310364,0.7095009088516235,0.757294774055481,0.7855383157730103,0.7536267042160034,0.7244220972061157,0.7594623565673828,0.824904203414917,0.7934310436248779,0.8068610429763794,,
duck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
