,pony,horse,pig,rooster,bird,fish,butterfly,frog,alligator,owl,elephant,cat,dog,face,hair,arm,hand,leg,foot,ankle,finger,toe,tooth,ear,nose,eye,mouth,stroller,motorcycle,truck,car,lamp,chair,bench,drawer,ladder,window,door,closet,shower,refrigerator,oven,crib,bed,couch,table,bathtub,sink,boat,slide,hose,sprinkler,grass,tree,snow,clock,ball,balloon,pumpkin,egg,orange,apple,strawberry,hat,slipper,watch,nail,raisin,glasses,necklace,carrot,vacuum,broom,shovel,scissors,spoon,fork,knife,pencil,pen,crayon,plant,flower,soap,bottle,cup,can,belt,radio,basket,milk,jar,bucket,tape,bowl,plate,corn,pickle,banana,melon,bread,cookie,cracker,pizza,hamburger,muffin,meat,soup,glass,coffee,dish,tray,box,book,paper,comb,toothbrush,gum,toy,doll,mitten,glove,sock,shoe,purse,pillow,towel,napkin,blanket,dress,pajamas,bib,scarf,coat,jacket,sweater,shirt,jeans,pants,shorts
pony,0.0,0.25608211755752563,,0.5258366465568542,0.7694382667541504,0.8515713214874268,0.7501338124275208,0.659269392490387,0.9431905746459961,0.7263762950897217,1.0683687925338745,1.0138068199157715,0.8285139799118042,1.0900630950927734,1.0883797407150269,1.1749063730239868,1.1138590574264526,1.0352517366409302,1.0868957042694092,1.0637398958206177,1.0326018333435059,1.0615686178207397,1.0395171642303467,1.0085560083389282,1.0688965320587158,,0.9985799193382263,1.010754108428955,,0.8849493861198425,0.8543844223022461,0.9686474800109863,1.0910133123397827,1.1725969314575195,1.1261672973632812,1.1360700130462646,1.1333346366882324,1.1664259433746338,1.126522183418274,1.0694196224212646,1.1173605918884277,1.098629117012024,1.1341981887817383,1.1658484935760498,1.1125532388687134,1.1301990747451782,1.1356842517852783,1.0385065078735352,1.0386625528335571,1.0433679819107056,1.0566942691802979,0.8412448167800903,,1.0832935571670532,1.0700572729110718,0.9273710250854492,1.0600446462631226,1.058131217956543,1.0468785762786865,1.0214922428131104,1.0350009202957153,0.994076669216156,0.9187427759170532,1.0428791046142578,0.9926831722259521,1.0586090087890625,1.0224446058273315,0.9136426448822021,1.010303258895874,1.0498682260513306,0.9744341969490051,1.0493953227996826,0.9964821338653564,1.020180106163025,0.9264705181121826,0.9697428941726685,1.0220263004302979,1.0013396739959717,1.002830147743225,1.0134660005569458,1.0188573598861694,1.0524227619171143,1.0637054443359375,0.9750864505767822,0.9829993844032288,1.0087586641311646,1.0467092990875244,1.075529932975769,0.9335120320320129,1.020611047744751,1.0234004259109497,1.058358073234558,1.0334348678588867,1.0131207704544067,1.0425755977630615,1.0303765535354614,0.954136073589325,0.970583438873291,0.9830418229103088,0.997404158115387,0.9877069592475891,0.9041973352432251,0.9369365572929382,0.9454461932182312,0.9958420991897583,,1.1048848628997803,0.9733672142028809,1.1149784326553345,1.0101929903030396,1.0107215642929077,1.1066203117370605,1.0796873569488525,0.9981858134269714,1.1244990825653076,1.1297547817230225,1.0913112163543701,1.0292677879333496,0.8849307298660278,0.9614391326904297,1.1402840614318848,1.134032130241394,1.1375007629394531,1.034387230873108,0.9540827870368958,1.098561406135559,1.031697154045105,1.007125735282898,1.2002434730529785,1.050557255744934,1.142679214477539,1.103649377822876,1.0928479433059692,,1.104466199874878,1.0850296020507812,1.1367456912994385,1.17464280128479,1.1467255353927612,1.1059798002243042
horse,0.25608211755752563,0.0,,0.6104828119277954,0.852249026298523,0.8411689400672913,0.7955682277679443,0.7078778743743896,0.7975373268127441,0.6908808350563049,1.0151278972625732,0.9066760540008545,0.7031201124191284,0.9883692860603333,0.9673271179199219,0.9740861058235168,0.9741793870925903,1.0716230869293213,1.0869694948196411,1.0947551727294922,1.0657050609588623,1.1380236148834229,1.1112407445907593,1.0345896482467651,1.1435996294021606,,1.0880706310272217,0.9448025226593018,,0.8689836263656616,0.8147739171981812,1.0803673267364502,1.0292630195617676,0.9880202412605286,1.0761455297470093,1.0364837646484375,1.0006641149520874,1.0522090196609497,0.9882269501686096,0.972114086151123,1.0644433498382568,1.079413652420044,1.0139421224594116,0.9525614976882935,0.9570716619491577,0.9776818752288818,0.9796003103256226,1.0612632036209106,0.8202075362205505,0.888974666595459,1.0012727975845337,0.9141586422920227,,0.9583547711372375,0.8958876132965088,1.065779685974121,1.1299617290496826,1.1506333351135254,1.0976817607879639,1.1386640071868896,1.0954736471176147,1.093174695968628,1.0313963890075684,1.1142631769180298,1.1177856922149658,1.1632208824157715,1.145597219467163,0.9975330233573914,1.121427297592163,1.1482614278793335,1.0623105764389038,1.0430598258972168,1.0496609210968018,1.0327105522155762,0.9352815747261047,1.0961756706237793,1.0906665325164795,1.0647608041763306,1.1028475761413574,1.1380696296691895,1.149133324623108,1.0693317651748657,1.0998493432998657,1.1069763898849487,1.140520691871643,1.1424376964569092,1.1195753812789917,1.1088541746139526,0.971304178237915,1.1016896963119507,1.060476303100586,1.0470846891403198,1.136487364768982,1.1046518087387085,1.180345058441162,0.9985250234603882,1.0181176662445068,1.037656545639038,0.997468888759613,1.016750454902649,1.1087087392807007,1.02517831325531,0.9921076893806458,0.9263083934783936,0.9806172251701355,,0.9915112853050232,1.0223071575164795,0.9949518442153931,1.0029808282852173,0.9949015378952026,0.9820410013198853,1.10834801197052,1.0429167747497559,1.0589772462844849,1.046351671218872,1.0249189138412476,1.0921998023986816,0.8824353218078613,0.9010501503944397,1.0042500495910645,1.0820318460464478,1.049102783203125,1.0399986505508423,0.9175093173980713,1.0166809558868408,1.134523868560791,1.0998754501342773,0.9404164552688599,0.9171672463417053,0.9191439151763916,0.9421666860580444,0.9612270593643188,,0.9500451683998108,0.9669060111045837,0.9884825348854065,0.9742602705955505,1.0013079643249512,1.0546358823776245
pig,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rooster,0.5258366465568542,0.6104828119277954,,0.0,0.958888590335846,0.7442052960395813,0.7287876605987549,0.6063323020935059,0.7570706605911255,0.6956663727760315,0.9948131442070007,0.8972124457359314,0.6824235320091248,1.0174164772033691,0.9496594667434692,1.0610246658325195,1.0328896045684814,1.0190210342407227,1.0495119094848633,1.0952963829040527,0.9874825477600098,1.0157431364059448,1.0135501623153687,1.0518544912338257,1.109941840171814,,1.0324558019638062,0.9415453672409058,,0.9457057118415833,0.923919141292572,1.0049631595611572,1.0553017854690552,1.0952210426330566,1.0743446350097656,1.0213805437088013,0.9772071242332458,1.0411487817764282,0.9917164444923401,1.0146998167037964,1.0248459577560425,1.0369746685028076,1.0434638261795044,1.0758352279663086,1.0595365762710571,1.0429173707962036,1.0506670475006104,1.0751277208328247,0.9699201583862305,0.9828736782073975,0.9934836626052856,0.899650514125824,,0.962538480758667,0.9898291826248169,1.0581406354904175,0.9882365465164185,1.0057947635650635,0.9884751439094543,1.0159696340560913,1.0538769960403442,0.9836702346801758,0.8677586317062378,0.938029944896698,1.0496774911880493,1.1618428230285645,1.0179498195648193,0.9844364523887634,1.067109227180481,1.0700783729553223,0.98417729139328,1.0502957105636597,0.9988542795181274,1.011265516281128,0.8673545718193054,1.0181952714920044,1.0136092901229858,1.06026291847229,1.1340829133987427,1.1335387229919434,1.116805911064148,0.9437210559844971,0.9026168584823608,1.1060110330581665,1.120395302772522,1.1070231199264526,1.1352579593658447,1.1183693408966064,0.9525238275527954,1.044743299484253,1.001431941986084,1.06829035282135,1.0999161005020142,1.1233453750610352,1.1245331764221191,0.9761509299278259,0.9877195358276367,1.0643310546875,0.9754117727279663,1.0029783248901367,0.9547272324562073,0.9523822665214539,0.9776958227157593,0.8641906976699829,0.9276484847068787,,0.9410937428474426,0.9992837905883789,1.0537359714508057,1.01026451587677,1.0679726600646973,1.0257627964019775,1.1041700839996338,1.006759762763977,1.0687227249145508,1.0902669429779053,1.0104867219924927,1.044980525970459,0.8283304572105408,0.7700824737548828,0.9513424634933472,1.0315476655960083,1.045650601387024,1.0159027576446533,0.9709800481796265,1.113135814666748,1.0564430952072144,1.01963472366333,1.063993215560913,0.9581316709518433,1.0471738576889038,1.019154667854309,0.9487414360046387,,1.0090570449829102,1.0086922645568848,1.0318468809127808,1.0545532703399658,1.0641478300094604,1.0489788055419922
bird,0.7694382667541504,0.852249026298523,,0.958888590335846,0.0,0.8021959066390991,0.8291364312171936,0.7066032290458679,1.1238040924072266,0.8402085900306702,1.077309250831604,1.0820327997207642,1.1569695472717285,1.1276084184646606,1.1299564838409424,1.1952353715896606,1.0804164409637451,0.9848712682723999,1.0591216087341309,1.0183569192886353,0.9275978803634644,0.8965761661529541,0.8591138124465942,0.9990341067314148,0.9238799214363098,,0.9926318526268005,1.1162188053131104,,1.0525732040405273,0.9316166043281555,0.8091211318969727,1.167826771736145,1.1766366958618164,1.0952796936035156,1.18326997756958,1.1550112962722778,1.195573091506958,1.1613661050796509,1.0897685289382935,1.1868009567260742,1.145851969718933,1.1780787706375122,1.189554214477539,1.1549575328826904,1.1907659769058228,1.1086933612823486,0.9750831723213196,1.0570988655090332,1.120925784111023,0.9772504568099976,0.7725992202758789,,1.0899862051010132,0.9748595952987671,0.6819536685943604,1.0283279418945312,1.0084660053253174,0.9882517457008362,0.8856069445610046,0.9118634462356567,0.8758248090744019,0.8348694443702698,0.9316455125808716,0.812790036201477,0.8114694356918335,0.8014329075813293,0.8030556440353394,0.782893180847168,0.7985692024230957,0.8802248239517212,1.0751473903656006,0.9443787336349487,0.9790369868278503,0.8760277628898621,0.7964942455291748,0.812240719795227,0.8353053331375122,0.5973650217056274,0.5537989735603333,0.6328597664833069,1.0883803367614746,1.0433226823806763,0.7364141941070557,0.8319465517997742,0.8136255145072937,1.0608175992965698,0.7546896934509277,1.0312585830688477,1.0548275709152222,1.088047742843628,1.095767617225647,1.0870715379714966,0.8753306865692139,0.8603436350822449,0.9300805926322937,0.9169395565986633,0.9269689321517944,0.8959664106369019,1.0224703550338745,0.9694634079933167,0.7514599561691284,0.8752342462539673,1.138728380203247,1.0731570720672607,,1.077873706817627,0.9846097230911255,1.149439811706543,1.0198161602020264,0.9993067979812622,1.1867622137069702,1.130530595779419,1.0453904867172241,1.1335368156433105,1.1473819017410278,0.9837934970855713,0.9377607703208923,1.016458511352539,1.1050498485565186,1.1383655071258545,1.0650489330291748,1.0831458568572998,1.0366665124893188,1.1253689527511597,1.0504628419876099,0.8755438923835754,0.9066258668899536,1.178755283355713,1.1267032623291016,1.1607418060302734,1.1755189895629883,1.1544744968414307,,1.1535089015960693,1.1626417636871338,1.165360450744629,1.193483829498291,1.1937434673309326,1.099884271621704
fish,0.8515713214874268,0.8411689400672913,,0.7442052960395813,0.8021959066390991,0.0,0.7089269161224365,0.5878267884254456,0.8417767286300659,0.886803150177002,1.0046247243881226,0.8578388094902039,1.0392388105392456,1.073069453239441,1.094165325164795,1.1128064393997192,0.9279679656028748,1.0719512701034546,1.063186764717102,1.0062462091445923,0.9439232349395752,0.9135664701461792,0.9418647289276123,1.0188417434692383,0.989575207233429,,1.09405517578125,1.160969853401184,,0.954310417175293,0.9705095291137695,1.026542067527771,1.0798455476760864,1.1464574337005615,1.1181069612503052,1.1566599607467651,1.0872695446014404,1.1722190380096436,1.0940918922424316,0.9983408451080322,1.1759032011032104,1.1333011388778687,1.0582796335220337,1.1139577627182007,1.1414251327514648,1.073216199874878,0.8953933715820312,1.004907488822937,1.0538285970687866,0.9536241292953491,0.9739643335342407,0.8578287363052368,,1.0640400648117065,0.9889470338821411,0.9345199465751648,0.7446835041046143,0.7325462102890015,0.9915394186973572,0.8875805139541626,0.8405493497848511,0.8312884569168091,0.8280665874481201,0.8926700353622437,0.9769854545593262,1.042387843132019,0.9182993769645691,0.9626064300537109,0.9997782707214355,1.0457276105880737,0.8462383151054382,1.1818472146987915,1.059914231300354,1.0438742637634277,0.7833196520805359,0.9573649764060974,0.914534330368042,1.0135746002197266,0.9628230929374695,0.9323542714118958,0.8292681574821472,1.103857398033142,1.0326213836669922,0.9413993954658508,1.0090001821517944,0.9725714921951294,1.1443392038345337,0.9197313785552979,1.115323543548584,1.0698593854904175,1.0540589094161987,1.0309064388275146,1.0665323734283447,0.8947034478187561,1.0079439878463745,0.8617309331893921,0.9586734771728516,0.8519551157951355,0.938624382019043,0.7991366982460022,0.9329667687416077,0.9049621224403381,0.8277862071990967,0.8233810663223267,1.0124754905700684,,0.9589529037475586,1.0559606552124023,0.9851787090301514,1.102926254272461,0.9980149269104004,1.0010426044464111,1.176378846168518,1.0793113708496094,1.081918478012085,0.9564949870109558,0.8800321817398071,0.718747615814209,0.8050426840782166,0.9689003825187683,0.9078713655471802,0.9600955247879028,0.9919163584709167,1.018202543258667,1.0881116390228271,1.007265567779541,1.0722055435180664,1.0688908100128174,1.0402277708053589,1.0555247068405151,1.0427944660186768,0.9624139666557312,1.0180586576461792,,1.0789772272109985,1.1465277671813965,1.1037687063217163,1.0545713901519775,1.1153699159622192,1.0229051113128662
butterfly,0.7501338124275208,0.7955682277679443,,0.7287876605987549,0.8291364312171936,0.7089269161224365,0.0,0.595558762550354,0.8678838610649109,0.89183509349823,1.022861361503601,0.9880086183547974,1.0179353952407837,1.0042051076889038,1.0562703609466553,1.120995283126831,1.0991966724395752,1.1251250505447388,1.0267877578735352,1.0477930307388306,1.0948666334152222,1.094380259513855,1.037345051765442,0.9814820885658264,1.0033318996429443,,1.037112832069397,1.052922010421753,,0.9571244120597839,0.9215764999389648,0.9660806655883789,1.0575894117355347,1.077971339225769,1.0219937562942505,1.058608889579773,1.0375548601150513,1.0438027381896973,1.032545566558838,1.000470757484436,1.0799164772033691,1.0337578058242798,1.0854398012161255,1.057766079902649,1.0810619592666626,1.0557191371917725,1.0680749416351318,1.1293550729751587,1.0111202001571655,1.1207600831985474,1.0449532270431519,0.7793922424316406,,0.9872445464134216,1.0616633892059326,0.9302060604095459,1.0059820413589478,1.0104180574417114,1.0503573417663574,1.0601381063461304,1.122344970703125,1.0863453149795532,1.0034871101379395,0.9501292109489441,1.0039455890655518,1.0806469917297363,0.9918251037597656,1.0285449028015137,1.0671581029891968,0.9577845931053162,1.0386009216308594,1.0433931350708008,1.02410089969635,1.089289665222168,0.8553503155708313,0.9861403703689575,0.9654308557510376,0.9864150881767273,1.059125542640686,1.0428444147109985,0.9979978203773499,0.9941622614860535,0.9411132335662842,1.0933517217636108,1.0786572694778442,1.094261884689331,1.1298178434371948,0.9627886414527893,0.9849801659584045,1.0405524969100952,1.0909383296966553,1.0955922603607178,1.1395083665847778,1.0161794424057007,1.1391738653182983,0.9864009022712708,1.051896572113037,1.1198097467422485,1.0019879341125488,1.0455281734466553,1.0094497203826904,0.9821649789810181,0.9438391327857971,0.8040151596069336,1.0148578882217407,,0.9351499080657959,1.0320165157318115,1.044174313545227,1.036006212234497,1.016486406326294,1.0740129947662354,1.0875614881515503,0.9741715788841248,1.0268970727920532,1.0325953960418701,1.0484639406204224,1.0313615798950195,0.979152500629425,0.9540493488311768,0.9781660437583923,1.0531038045883179,1.0274251699447632,0.9420838356018066,0.9844292998313904,1.0397909879684448,0.9925864934921265,1.012061357498169,0.9929852485656738,1.005410075187683,1.0626897811889648,1.0144448280334473,0.9440953731536865,,1.0259264707565308,1.0694355964660645,1.064495325088501,1.05165433883667,1.0888879299163818,0.9856794476509094
frog,0.659269392490387,0.7078778743743896,,0.6063323020935059,0.7066032290458679,0.5878267884254456,0.595558762550354,0.0,0.7847195267677307,0.6625903844833374,1.0903562307357788,1.0208736658096313,0.9011003375053406,1.1139235496520996,1.1528925895690918,1.1646158695220947,0.9409834742546082,1.145456075668335,0.940464973449707,1.066138505935669,1.008876085281372,1.0344902276992798,1.013999581336975,1.0717052221298218,1.1417021751403809,,1.1042982339859009,0.9958019852638245,,0.9182131290435791,0.9718672633171082,1.0540722608566284,1.1419708728790283,1.1617993116378784,1.1848405599594116,1.193494439125061,1.150713324546814,1.260711431503296,1.171613097190857,1.1838443279266357,1.1862255334854126,1.1639158725738525,1.0815165042877197,1.0797324180603027,1.098131537437439,1.0670877695083618,1.0746558904647827,1.1120696067810059,1.0481882095336914,0.9740498661994934,0.9771866202354431,0.8247697353363037,,1.0731581449508667,1.0869574546813965,0.9003502726554871,0.9849715232849121,1.0242480039596558,0.995901882648468,0.9472315907478333,1.0072261095046997,0.9590717554092407,0.908803403377533,0.9129863381385803,0.9693292379379272,1.0926742553710938,1.0989634990692139,0.9208083152770996,1.1223928928375244,1.0862154960632324,0.9360499382019043,1.1590194702148438,1.1415680646896362,1.021133303642273,0.6838882565498352,0.9313175082206726,0.9184470176696777,0.9661872386932373,1.0416619777679443,1.0499345064163208,0.9909001588821411,1.0664865970611572,1.0200552940368652,0.9606131315231323,1.1057074069976807,1.0662975311279297,1.2216262817382812,1.107009768486023,1.00117826461792,1.0697839260101318,1.056186318397522,1.016005039215088,1.1518850326538086,0.9561883211135864,1.109139323234558,0.828100323677063,0.850003719329834,0.9204610586166382,0.6172277927398682,0.7636027932167053,0.8794500231742859,0.8141140937805176,0.7483492493629456,0.8323846459388733,0.9323067665100098,,0.9031928181648254,0.9790114760398865,0.9716653227806091,0.9511052370071411,0.9610359072685242,0.9574337005615234,1.1615079641342163,0.9384616613388062,1.099199652671814,1.1194878816604614,0.8954641222953796,0.8111430406570435,0.627409040927887,0.7663007974624634,0.8430542945861816,0.9539910554885864,0.966972827911377,0.9671680331230164,0.9698433876037598,1.0005226135253906,1.0411057472229004,0.9416401982307434,1.0629122257232666,1.0337849855422974,1.0521667003631592,0.9240609407424927,0.9813651442527771,,1.0848078727722168,1.1662062406539917,1.1596765518188477,1.1353257894515991,1.1960219144821167,1.1278194189071655
alligator,0.9431905746459961,0.7975373268127441,,0.7570706605911255,1.1238040924072266,0.8417767286300659,0.8678838610649109,0.7847195267677307,0.0,0.8258381485939026,0.9292941093444824,0.7117400169372559,0.6588610410690308,0.9242420792579651,0.8963947892189026,0.7166783809661865,0.8975958824157715,1.011710524559021,0.984337568283081,1.1968269348144531,1.2381280660629272,1.3294870853424072,1.3408246040344238,1.1840219497680664,1.3309242725372314,,1.2527519464492798,0.794876754283905,,0.9575619697570801,1.0875214338302612,1.1475348472595215,0.8377386331558228,0.7027592658996582,0.996944010257721,0.7246429324150085,0.8430297374725342,0.8518283367156982,0.8100576996803284,0.9717007875442505,0.8385643362998962,0.9240471720695496,0.6267781853675842,0.6023789644241333,0.8067577481269836,0.6299226880073547,0.7411274313926697,1.0382739305496216,0.8929364681243896,0.6209291219711304,0.8398029804229736,1.0076611042022705,,0.8526374697685242,0.8283729553222656,1.3209668397903442,1.0658880472183228,1.1609114408493042,1.0548126697540283,1.3059251308441162,1.2151410579681396,1.1829733848571777,1.2286559343338013,1.1435483694076538,1.4046440124511719,1.4712070226669312,1.3716918230056763,1.172313928604126,1.4079535007476807,1.3355658054351807,1.2648963928222656,0.8623983860015869,1.038818597793579,0.9314908981323242,0.8344653844833374,1.160616397857666,1.0843071937561035,1.1189532279968262,1.2640868425369263,1.3536534309387207,1.4193079471588135,0.9341428875923157,0.9025588035583496,1.3040754795074463,1.296926498413086,1.345468521118164,1.1657395362854004,1.3546403646469116,1.0222769975662231,1.0117391347885132,0.9071165323257446,0.8764055371284485,1.1324243545532227,1.2991013526916504,1.3749024868011475,0.9102914929389954,1.0870994329452515,1.2196600437164307,0.9837855696678162,0.9515823125839233,1.0762288570404053,1.1637847423553467,0.9362167119979858,0.856592059135437,0.9506439566612244,,0.7351289987564087,1.0882494449615479,0.7241300344467163,1.0460981130599976,0.9899819493293762,0.6901521682739258,0.9217445254325867,0.8666934967041016,0.7101662158966064,0.9694206714630127,0.7669750452041626,1.1229534149169922,0.7852315902709961,0.7839441895484924,0.6575125455856323,0.9863023161888123,0.8565254807472229,1.0158659219741821,0.7551378011703491,1.0033557415008545,1.1847807168960571,1.1428145170211792,0.5335196256637573,0.696708083152771,0.6547739505767822,0.720399022102356,0.8027852773666382,,0.6532477140426636,0.7541822195053101,0.7393165826797485,0.6731764078140259,0.7425905466079712,0.9168064594268799
owl,0.7263762950897217,0.6908808350563049,,0.6956663727760315,0.8402085900306702,0.886803150177002,0.89183509349823,0.6625903844833374,0.8258381485939026,0.0,1.0420457124710083,0.9583954811096191,0.8095977306365967,1.0220991373062134,0.9907500743865967,1.01546311378479,0.760144054889679,1.0337369441986084,0.9280327558517456,1.0711551904678345,0.96324223279953,1.0262250900268555,1.0186973810195923,1.0027426481246948,1.1551135778427124,,1.1289868354797363,0.9269695281982422,,0.9979981184005737,0.9757357239723206,1.0566833019256592,1.1168357133865356,1.0951193571090698,1.1532862186431885,1.0769339799880981,1.1059004068374634,1.1573331356048584,1.096901774406433,1.0583146810531616,1.1189583539962769,1.1225242614746094,1.0474127531051636,1.0470081567764282,1.0419203042984009,1.0426712036132812,0.9969542622566223,1.1249701976776123,1.0176180601119995,0.8774104118347168,1.0308406352996826,0.8556724190711975,,1.0394037961959839,1.034790277481079,1.097438931465149,1.0217292308807373,1.0942156314849854,0.9561789035797119,1.0460416078567505,1.0062570571899414,1.0876796245574951,1.05094575881958,1.0990716218948364,1.1037585735321045,1.1826478242874146,1.1918067932128906,1.0064196586608887,1.152686357498169,1.1077369451522827,1.0180158615112305,1.065654993057251,1.0866162776947021,0.9648557901382446,0.8359570503234863,0.9625959992408752,0.9683886766433716,0.9997058510780334,1.1079460382461548,1.1433207988739014,1.0963298082351685,1.0641450881958008,1.0502527952194214,1.1032534837722778,1.1373651027679443,1.1588619947433472,1.1689982414245605,1.187114953994751,0.9841935634613037,1.1093673706054688,0.9703876376152039,1.0350691080093384,1.13446044921875,1.0769717693328857,1.1593369245529175,0.9230813384056091,0.9298720359802246,1.0017974376678467,0.9114223122596741,0.9207318425178528,0.9723703265190125,0.8947657942771912,0.8050459027290344,0.9203115105628967,0.925299346446991,,0.9384658932685852,0.9854464530944824,0.9068260788917542,1.0081785917282104,0.9940016865730286,0.9541201591491699,1.174479365348816,1.0366642475128174,1.051720142364502,0.9686887264251709,0.8359401822090149,0.9478837847709656,0.7131469249725342,0.7913174033164978,0.8333965539932251,0.9220573306083679,0.8849322199821472,0.9114277362823486,1.0091012716293335,1.032744288444519,1.0980157852172852,1.0462350845336914,0.9902613759040833,0.9494603872299194,0.9237799644470215,0.8690011501312256,0.8803976774215698,,1.0379393100738525,1.0277644395828247,1.0641871690750122,1.0609185695648193,1.0726292133331299,1.071974277496338
