,zebra,giraffe,deer,pony,horse,pig,rooster,penguin,bird,duck,fish,butterfly,frog,alligator,owl,elephant,bear,cat,dog,face,hair,arm,hand,leg,foot,ankle,finger,toe,tooth,ear,nose,eye,mouth,stroller,motorcycle,tricycle,truck,car,lamp,chair,bench,drawer,ladder,window,door,closet,shower,refrigerator,oven,crib,bed,couch,table,bathtub,sink,boat,slide,hose,sprinkler,swing,grass,tree,snow,helicopter,firetruck,clock,ball,balloon,pumpkin,egg,orange,apple,potato,strawberry,hat,slipper,watch,nail,raisin,glasses,necklace,carrot,vacuum,broom,mop,stick,shovel,scissors,spoon,fork,knife,pencil,pen,crayon,plant,flower,soap,bottle,cup,can,belt,radio,basket,milk,jar,bucket,tape,bowl,plate,corn,pickle,banana,melon,bread,cookie,toast,cracker,sandwich,chips,pizza,hamburger,muffin,pastry,meat,pasta,sauce,soup,applesauce,glass,coffee,dish,tray,box,book,paper,rock,comb,toothbrush,gum,toy,doll,mitten,glove,sock,shoe,purse,pillow,towel,napkin,blanket,dress,pajamas,bib,scarf,coat,jacket,sweater,shirt,jeans,pants,shorts,cloud,game
zebra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
giraffe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
deer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pony,,,,0.0,0.6596494913101196,0.8080552816390991,0.8253883123397827,,0.8535568714141846,,0.9997000694274902,0.8427760601043701,0.6513028144836426,0.6271254420280457,1.0489531755447388,0.7736430764198303,,0.8439882397651672,0.7351266741752625,0.8474280834197998,0.9164122939109802,0.8819576501846313,0.9514865875244141,0.8595275282859802,0.9670168161392212,1.1086046695709229,1.1087764501571655,1.00776207447052,1.0165562629699707,0.9508002996444702,1.160184621810913,1.1291338205337524,,1.0473270416259766,0.9735694527626038,,,1.0222114324569702,0.9888178110122681,0.8680793642997742,0.9168888330459595,0.9310580492019653,0.9119477868080139,0.9161277413368225,0.9693448543548584,0.9316363334655762,,0.9944801330566406,0.9842621684074402,0.849266767501831,0.9093567132949829,0.871759831905365,0.8770440816879272,1.0163867473602295,1.0701271295547485,,,0.765548825263977,0.9536047577857971,,,,0.9680204391479492,,,1.0704281330108643,1.0880323648452759,1.0736948251724243,0.8847283124923706,1.1006181240081787,1.0010168552398682,0.9379913806915283,,,0.9210299849510193,1.1884241104125977,1.0416133403778076,1.0667109489440918,,1.16606605052948,1.1501835584640503,0.8729749917984009,0.9854230880737305,,,,1.139526128768921,0.991365909576416,1.1949882507324219,1.0099843740463257,0.9015776515007019,1.1558189392089844,1.1185016632080078,1.2024211883544922,0.9347280859947205,0.9569582343101501,0.958299994468689,1.1771728992462158,1.2413692474365234,1.106457233428955,1.016047716140747,,0.8462693095207214,0.9941399097442627,1.0553840398788452,1.0198487043380737,1.1490464210510254,1.0125900506973267,1.0559266805648804,,1.0856454372406006,1.0756535530090332,0.9508764147758484,0.9379326105117798,,,0.7772886157035828,0.846595048904419,,0.9567938446998596,,0.8121812343597412,,,,,,,1.0091885328292847,,,0.983441174030304,0.9467899799346924,0.8748546838760376,0.801665186882019,,0.9477246403694153,1.010147213935852,1.1569628715515137,0.9847321510314941,0.7499849796295166,0.8309972286224365,1.023739218711853,1.0475152730941772,1.0119800567626953,0.9019320607185364,0.9188360571861267,0.9319658279418945,0.9270398616790771,0.8756382465362549,0.7555952668190002,0.8681409955024719,0.885680079460144,0.8879672288894653,0.9258102774620056,0.9543922543525696,0.8558913469314575,0.803015410900116,1.0137633085250854,0.8255160450935364,1.033392310142517,,
horse,,,,0.6596494913101196,0.0,0.9453598856925964,0.669646143913269,,0.8337545394897461,,0.7787193059921265,0.7289650440216064,0.5968493819236755,0.854710578918457,0.922255277633667,1.1247837543487549,,0.8686866760253906,0.8910820484161377,1.0181387662887573,0.9927261471748352,1.145566463470459,1.0316236019134521,1.1063940525054932,0.9315899610519409,0.9952782988548279,1.0191463232040405,0.9924598932266235,0.8235795497894287,0.9970628619194031,0.8511266708374023,1.032011866569519,,0.8673368692398071,1.1194618940353394,,,0.9839913845062256,0.9193357825279236,1.1250146627426147,1.078043818473816,0.9524686932563782,1.081467628479004,1.063610553741455,1.0674629211425781,1.1425070762634277,,1.0722917318344116,1.108928918838501,1.0605542659759521,1.080143690109253,1.0920425653457642,1.0203170776367188,0.9985085725784302,1.13694429397583,,,0.9935299158096313,0.9807469844818115,,,,0.7237697839736938,,,0.9232842326164246,1.1400429010391235,0.7708380818367004,1.0677934885025024,0.8884802460670471,0.9422028064727783,0.9880501627922058,,,1.0144304037094116,0.9760971069335938,0.8511582612991333,0.9264566898345947,,0.9682165384292603,0.8852288722991943,0.8504263758659363,1.0435718297958374,,,,0.9013514518737793,0.8040924072265625,0.9950060248374939,0.7206891775131226,0.8017280101776123,0.9509931802749634,0.8509710431098938,0.8826415538787842,1.017303705215454,0.9936347007751465,1.068718433380127,0.9194006323814392,0.952543318271637,1.0797760486602783,0.8589667677879333,,1.0899715423583984,1.07028067111969,1.0781794786453247,1.142975091934204,1.038041114807129,1.1347168684005737,1.0159708261489868,,0.773076057434082,0.8716127872467041,1.1464688777923584,0.817410409450531,,,0.8802367448806763,0.9473775625228882,,0.9698641300201416,,0.9407932162284851,,,,,,,0.8039658069610596,,,0.9395948648452759,1.103263020515442,0.6815294623374939,0.7280055284500122,,0.9304138422012329,1.0333613157272339,0.8686521649360657,0.8071264624595642,0.9969769716262817,1.130185604095459,1.1264429092407227,0.943242609500885,1.0510623455047607,0.9228208661079407,0.9337246417999268,0.9944552779197693,0.9617979526519775,1.0246636867523193,1.0400419235229492,1.0897324085235596,1.0100257396697998,1.1003254652023315,1.0177921056747437,1.104286551475525,1.1477184295654297,1.0960783958435059,1.1407579183578491,1.06260085105896,0.9164289832115173,,
pig,,,,0.8080552816390991,0.9453598856925964,0.0,0.5014439821243286,,0.7947837114334106,,1.0356757640838623,1.1273380517959595,0.5727486610412598,0.3981229066848755,0.5586787462234497,0.6429195404052734,,0.5983986854553223,0.45513594150543213,0.7778961062431335,0.7893173098564148,0.6157245635986328,0.757379949092865,0.5649274587631226,0.7661709785461426,1.1766607761383057,1.0826687812805176,0.9173746705055237,1.1983585357666016,0.9769808650016785,1.0906884670257568,1.2290289402008057,,0.8405303955078125,0.9256067276000977,,,0.845115065574646,1.362269639968872,0.6815069913864136,0.8317337036132812,1.1336137056350708,0.8689127564430237,1.0383753776550293,1.0437896251678467,0.8084325790405273,,1.1759815216064453,1.150878667831421,0.7104154229164124,0.5243710279464722,0.8374711275100708,0.5338746309280396,0.8343006372451782,1.1443034410476685,,,0.7777118682861328,0.8649429082870483,,,,0.8834843635559082,,,1.3142776489257812,0.9301086068153381,1.2631330490112305,0.6843518614768982,0.976347804069519,1.0522726774215698,0.9219628572463989,,,0.9416513442993164,1.2433176040649414,1.1615378856658936,1.142756700515747,,1.2346186637878418,1.0679930448532104,0.6621239185333252,1.1086950302124023,,,,1.2904125452041626,0.8970346450805664,1.37706458568573,1.199390172958374,0.8355000019073486,1.2938036918640137,1.4311963319778442,1.3340524435043335,1.1550326347351074,1.1185001134872437,1.153109073638916,1.4057815074920654,1.401322603225708,1.3839627504348755,1.2195698022842407,,0.7888872027397156,1.2082499265670776,0.7901887893676758,1.218572974205017,1.1559675931930542,0.9676016569137573,1.1928937435150146,,1.1068285703659058,1.0522615909576416,0.6550152897834778,0.5877116322517395,,,0.5863893032073975,0.4012109637260437,,0.6328272819519043,,0.646598219871521,,,,,,,0.9305021166801453,,,0.9585256576538086,0.9614824056625366,1.1047812700271606,0.8900431394577026,,1.0080244541168213,0.7819641828536987,1.08217191696167,0.9773028492927551,0.690747857093811,0.4612077474594116,0.8269758224487305,1.0178624391555786,0.8223378658294678,0.8785175085067749,1.209609866142273,1.065161108970642,1.0379005670547485,0.41331005096435547,0.6514327526092529,0.6732880473136902,0.5041747093200684,0.7175202369689941,0.8423429131507874,0.7566672563552856,0.7253233790397644,0.6531590223312378,0.665751576423645,0.7017279267311096,0.9541977643966675,,
rooster,,,,0.8253883123397827,0.669646143913269,0.5014439821243286,0.0,,0.7229809165000916,,0.9369221329689026,0.9006107449531555,0.5702245831489563,0.5936381816864014,0.6461918354034424,0.8186677098274231,,0.5545533895492554,0.5495709180831909,0.8139052391052246,0.8138039112091064,0.8146560192108154,0.8335162401199341,0.7524433135986328,0.8569738864898682,1.149940848350525,1.0629442930221558,1.011548638343811,1.0200265645980835,1.0031359195709229,1.0332980155944824,1.097558856010437,,0.7135701775550842,1.0886932611465454,,,0.8751457929611206,1.1969879865646362,0.7618589401245117,0.8207614421844482,1.1258227825164795,0.8409927487373352,0.9560571908950806,0.9721156358718872,0.8649985194206238,,1.0186628103256226,1.0893455743789673,0.7473271489143372,0.567935585975647,0.861310601234436,0.49518871307373047,0.8433759212493896,1.1595529317855835,,,0.8863476514816284,0.7969728708267212,,,,0.668867290019989,,,1.1816480159759521,1.0392982959747314,1.1356632709503174,0.9674102663993835,0.9624236226081848,1.0911086797714233,0.8143740296363831,,,1.0176705121994019,1.1824209690093994,1.0572739839553833,1.092051386833191,,1.1097145080566406,0.9875251650810242,0.7239115238189697,1.071001648902893,,,,1.1849431991577148,0.7864578366279602,1.277625560760498,0.9774990081787109,0.6504953503608704,1.0780235528945923,1.17025887966156,1.1003241539001465,0.9803242087364197,0.9715726375579834,1.1294876337051392,1.149462342262268,1.2438956499099731,1.256139874458313,1.1226975917816162,,0.8684736490249634,1.134352445602417,0.9620935916900635,1.203559398651123,1.0512197017669678,1.0183830261230469,1.1431928873062134,,1.0420498847961426,1.1258958578109741,0.8137211799621582,0.6584058403968811,,,0.5958343148231506,0.5662132501602173,,0.4971771240234375,,0.7080715894699097,,,,,,,0.6976919174194336,,,0.9575384259223938,0.9712958931922913,0.9686164855957031,0.795312225818634,,0.9426326155662537,0.8051782846450806,0.9617419242858887,0.8599135279655457,0.7768877148628235,0.7555765509605408,0.9801608920097351,1.0575026273727417,0.8866073489189148,0.9182186722755432,1.1817140579223633,1.1094671487808228,1.1371203660964966,0.5599133968353271,0.7440416812896729,0.7869575023651123,0.7250059247016907,0.9009727835655212,0.937985360622406,0.9246423840522766,0.8643848896026611,0.823872983455658,0.8063509464263916,0.8076339364051819,0.913273811340332,,
penguin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bird,,,,0.8535568714141846,0.8337545394897461,0.7947837114334106,0.7229809165000916,,0.0,,1.0769600868225098,1.1190056800842285,0.8930749297142029,0.7134000062942505,0.8523393273353577,0.7686298489570618,,0.6658610105514526,0.9059951305389404,0.737235426902771,0.8294277787208557,0.8520193696022034,0.9692177772521973,0.9522095322608948,0.8492797613143921,1.2299774885177612,1.2226788997650146,1.1462600231170654,0.9150172472000122,1.1792280673980713,1.188635230064392,1.0829238891601562,,0.7203892469406128,0.9030004739761353,,,0.8099526166915894,1.0169963836669922,0.7139084339141846,0.6780476570129395,0.7995280027389526,0.7640720009803772,0.699889600276947,0.7694824934005737,0.836722195148468,,0.8242743015289307,0.8504544496536255,0.5799574851989746,0.7135607004165649,0.6615527868270874,0.7210968732833862,0.6143785715103149,0.9082517623901367,,,0.8273494839668274,0.7748761177062988,,,,0.6519999504089355,,,1.0887521505355835,1.1373264789581299,1.1217806339263916,0.9513731002807617,1.0992887020111084,1.084135890007019,1.056020736694336,,,0.9783792495727539,1.2676324844360352,1.1398757696151733,1.1534258127212524,,1.1792736053466797,1.211398959159851,0.9572985172271729,0.8444252014160156,,,,1.2042266130447388,0.8166438341140747,1.2119747400283813,0.8920630216598511,0.5631845593452454,1.1128900051116943,1.111185073852539,1.1328693628311157,0.9427765607833862,1.0241458415985107,1.0284847021102905,1.1127279996871948,1.1247594356536865,0.9432570934295654,1.043121576309204,,0.693607747554779,0.969613254070282,0.8551798462867737,0.9325347542762756,1.164483666419983,0.9467611908912659,0.9763762354850769,,1.0644073486328125,0.9983930587768555,0.815699577331543,0.7578399181365967,,,0.7582355737686157,0.7368701696395874,,0.7261722087860107,,1.0564265251159668,,,,,,,0.6490759253501892,,,0.9228617548942566,0.7793693542480469,0.8865547776222229,0.626194417476654,,0.8954569101333618,0.7708449363708496,1.1014204025268555,1.0774637460708618,1.0377908945083618,0.8628035187721252,1.1283326148986816,1.0944843292236328,0.9066091775894165,0.7685481309890747,0.9700059294700623,1.0176787376403809,1.0089192390441895,0.7094271779060364,0.6972194910049438,0.7906602621078491,0.6947649717330933,0.9037253856658936,0.8457546234130859,0.8516852855682373,0.7756466269493103,0.7657341957092285,0.8759187459945679,0.9119763970375061,0.9936931133270264,,
duck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
