,elephant,zebra,giraffe,deer,horse,pony,pig,bear,dog,cat,owl,fish,frog,alligator,butterfly,penguin,rooster,bird,duck,ear,nose,eye,tooth,mouth,face,hair,leg,arm,hand,finger,toe,ankle,foot,lamp,drawer,bench,chair,ladder,table,couch,bed,crib,window,door,closet,refrigerator,oven,sink,bathtub,shower,stroller,tricycle,motorcycle,car,truck,firetruck,helicopter,sprinkler,hose,swing,slide,boat,tree,grass,snow,scarf,coat,jacket,sweater,shirt,bib,pajamas,dress,jeans,pants,shorts,slipper,shoe,sock,mitten,glove,blanket,pillow,towel,napkin,doll,toy,tray,box,book,paper,basket,purse,radio,vacuum,comb,stick,shovel,rock,hat,glasses,necklace,belt,watch,clock,scissors,fork,spoon,crayon,pencil,pen,knife,broom,mop,toothbrush,gum,balloon,ball,raisin,nail,potato,carrot,egg,orange,pumpkin,apple,strawberry,melon,pickle,banana,corn,flower,plant,cracker,toast,sandwich,chips,pasta,sauce,soup,applesauce,meat,pastry,pizza,muffin,cookie,bread,hamburger,plate,dish,bowl,tape,soap,milk,bottle,jar,glass,coffee,cup,bucket,can,cloud,game
elephant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zebra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
giraffe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
deer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
horse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pony,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pig,,,,,,,0.0,,0.9328800439834595,,,0.9604818820953369,0.8186483383178711,,,,,0.8246117234230042,,,0.835845947265625,1.0359572172164917,1.0187910795211792,1.0756112337112427,1.0026153326034546,1.1304306983947754,1.0519192218780518,1.026979923248291,0.994005024433136,0.9920299649238586,0.8665508031845093,0.8015626072883606,0.8724008798599243,1.0382767915725708,1.0267915725708008,1.1580952405929565,1.1073890924453735,0.9806345701217651,1.134019136428833,1.1194649934768677,1.1179943084716797,1.0616178512573242,1.0819092988967896,1.1120316982269287,1.1724814176559448,1.0462005138397217,1.0153032541275024,1.116698145866394,1.1497117280960083,1.1147401332855225,1.0028951168060303,0.8733053207397461,1.1019670963287354,0.9729712605476379,0.9275394678115845,,,1.0886021852493286,1.007422924041748,1.0684174299240112,1.0916649103164673,,1.0728524923324585,1.0059480667114258,,,1.0885851383209229,1.1264164447784424,,1.1677802801132202,1.1039507389068604,1.0617552995681763,1.044002652168274,1.0590740442276,1.0209871530532837,1.0155786275863647,0.8319922685623169,1.0067386627197266,0.8836343288421631,0.9051401615142822,0.9735429883003235,1.106590747833252,0.9989582300186157,1.0594186782836914,0.9205365777015686,0.7997339963912964,0.8982275724411011,0.9625927209854126,1.0352141857147217,0.956397533416748,0.966787576675415,0.9764218926429749,1.1765648126602173,0.9568178057670593,1.0960536003112793,1.1215150356292725,0.9738195538520813,1.0690016746520996,,0.956229567527771,0.9670765399932861,1.0019491910934448,0.9570201635360718,,0.9540441632270813,0.8385068774223328,0.9140422940254211,0.9235220551490784,0.9343087673187256,0.9024258852005005,0.9414585828781128,0.9224115610122681,1.0160795450210571,0.9870095252990723,1.0678555965423584,0.9949631094932556,0.9250852465629578,0.8910577893257141,,1.049607753753662,,0.9850045442581177,0.9103425741195679,0.8217610120773315,0.7207561731338501,0.8972063064575195,0.8342843651771545,1.0838525295257568,1.0472493171691895,1.015352725982666,,0.9328630566596985,0.9106141328811646,0.887351930141449,,0.980067789554596,0.8862613439559937,,,1.0443204641342163,,0.9325846433639526,,0.9283783435821533,0.8817138075828552,0.8834331035614014,0.8556112051010132,0.9854979515075684,0.9361488223075867,,1.0736440420150757,0.939563512802124,,,0.996867835521698,,1.0580062866210938,,0.9975274801254272,0.9899870753288269,1.0518885850906372,,
bear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dog,,,,,,,0.9328800439834595,,0.0,,,0.7584733963012695,1.0241167545318604,,,,,1.0433152914047241,,,0.9567546844482422,1.0436302423477173,1.0313526391983032,1.102038860321045,0.9409434795379639,0.7880789637565613,0.7981975078582764,1.0004140138626099,0.9695628881454468,0.9711300730705261,1.008732795715332,1.022812843322754,0.8607650995254517,1.2855756282806396,1.0011510848999023,0.8920661807060242,0.9204275608062744,1.132735252380371,0.9315386414527893,0.8389052748680115,0.8940876722335815,0.9733442068099976,1.0767186880111694,0.9555045962333679,0.9719204306602478,1.0111058950424194,1.0243701934814453,0.9715563058853149,0.9681450724601746,1.0647320747375488,1.0260229110717773,1.1160671710968018,0.9087568521499634,1.1086064577102661,1.1073975563049316,,,0.9261852502822876,1.0918285846710205,1.0129783153533936,0.9547891020774841,,1.078844666481018,0.9265382885932922,,,1.0228203535079956,0.8649287223815918,,0.9252488613128662,0.8652931451797485,0.9056326150894165,0.9633945822715759,0.7720054388046265,0.8393398523330688,0.8560491800308228,1.0600690841674805,1.0370537042617798,1.0216871500015259,0.9140853881835938,0.9530348181724548,0.833430290222168,0.9479702115058899,0.9666555523872375,1.1181368827819824,1.1223212480545044,1.2005982398986816,1.1053194999694824,1.1014083623886108,1.1694608926773071,1.0387078523635864,1.144605040550232,0.7071100473403931,1.0601757764816284,0.9671862125396729,1.0762500762939453,1.096516728401184,0.9979771375656128,,1.0557734966278076,1.0427148342132568,0.9827893376350403,1.0644395351409912,,1.095139503479004,1.116618037223816,1.2243291139602661,1.1313186883926392,1.1938533782958984,1.3503165245056152,1.129834771156311,1.2517329454421997,1.0970126390457153,1.1435142755508423,1.2206326723098755,1.1938693523406982,1.198591709136963,1.2051211595535278,,0.9414553642272949,,1.065782904624939,1.1177505254745483,1.1896482706069946,1.152756690979004,1.1287736892700195,1.1483980417251587,1.0048056840896606,0.9527500867843628,1.0883554220199585,,1.0277867317199707,1.0861852169036865,1.1087651252746582,,0.9110389947891235,1.2217222452163696,,,1.127532720565796,,1.0689486265182495,,0.991053581237793,1.0852303504943848,1.1858950853347778,1.0770207643508911,0.9738576412200928,1.3214401006698608,,1.298961877822876,1.006148338317871,,,1.1390013694763184,,1.0161105394363403,,1.2146751880645752,1.1571052074432373,0.9647878408432007,,
cat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
owl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
