,dog,cat,fish,frog,bird,ear,nose,eye,tooth,mouth,face,hair,leg,arm,hand,finger,toe,ankle,foot,lamp,drawer,bench,chair,ladder,table,couch,bed,crib,window,door,closet,refrigerator,oven,sink,bathtub,shower,stroller,car,hose,slide,tree,scarf,jacket,sweater,shirt,bib,pajamas,dress,jeans,pants,shorts,slipper,shoe,sock,mitten,glove,blanket,pillow,towel,napkin,doll,toy,tray,box,book,paper,basket,purse,radio,vacuum,comb,shovel,hat,glasses,necklace,belt,watch,clock,scissors,fork,spoon,crayon,pencil,pen,knife,broom,toothbrush,gum,balloon,ball,nail,carrot,egg,orange,pumpkin,apple,strawberry,melon,pickle,banana,flower,plant,cracker,soup,pizza,muffin,cookie,bread,hamburger,plate,bowl,tape,soap,milk,bottle,jar,glass,coffee,cup,bucket,can
dog,0.0,0.16695821285247803,0.7439160346984863,0.8566155433654785,0.5796399712562561,0.9922051429748535,0.9473902583122253,1.0360593795776367,1.1161962747573853,1.0826808214187622,0.8225101232528687,0.8050693869590759,0.8048269748687744,0.9850813150405884,1.0627708435058594,1.1717087030410767,1.088057041168213,1.1077942848205566,1.006637454032898,1.121353030204773,1.1372945308685303,0.9171029329299927,0.9673260450363159,1.0462418794631958,0.9408689141273499,0.781162679195404,0.8341913223266602,0.8805316686630249,0.964401125907898,0.9441118836402893,0.9560851454734802,0.9689438939094543,0.9543997049331665,1.0738881826400757,1.0301332473754883,0.9799352288246155,0.8695586323738098,0.9056375026702881,0.8878793120384216,1.0604612827301025,0.9568207859992981,0.9258227944374084,0.8534104228019714,0.8631455302238464,0.8765363693237305,1.0055702924728394,0.8955137729644775,0.9706150889396667,0.8216502666473389,0.8005774617195129,0.8992498517036438,0.9944842457771301,0.9381842017173767,1.0531076192855835,0.8213094472885132,0.9345104694366455,0.8748304843902588,0.9844623804092407,0.9967077970504761,1.165785551071167,0.8930714130401611,1.0390138626098633,1.180808186531067,1.0738402605056763,1.0253409147262573,1.1220471858978271,1.1351776123046875,1.051061749458313,0.969211220741272,0.8811587691307068,1.0327192544937134,1.092126488685608,0.9380483627319336,1.0150858163833618,1.1345412731170654,1.0913845300674438,1.185895323753357,1.179236650466919,1.0775742530822754,1.2460412979125977,1.225631833076477,1.1892423629760742,1.2077357769012451,1.2057939767837524,1.1740694046020508,1.041098952293396,1.185270071029663,1.1672852039337158,1.0827503204345703,1.090061902999878,1.07716965675354,1.0592831373214722,1.1462602615356445,1.0941076278686523,1.0473556518554688,1.0786077976226807,1.137978434562683,1.080191731452942,1.1012357473373413,1.0745465755462646,1.0466557741165161,1.0008056163787842,1.0896711349487305,1.0421128273010254,1.045043706893921,0.9588341116905212,1.0317299365997314,1.0470026731491089,1.0169326066970825,1.1909279823303223,1.1844029426574707,1.187589168548584,1.1935503482818604,1.071407675743103,1.1230465173721313,1.1230342388153076,1.0290734767913818,0.9159915447235107,1.16535222530365,1.1747710704803467,1.0371813774108887
cat,0.16695821285247803,0.0,0.7471038103103638,0.8568435907363892,0.619502067565918,1.0741612911224365,1.051265001296997,1.0743638277053833,1.1810669898986816,1.1363450288772583,0.8905034065246582,0.8971588611602783,0.8642641305923462,1.0085844993591309,1.0962436199188232,1.2132474184036255,1.133476734161377,1.1450188159942627,1.0253777503967285,1.0420160293579102,1.0574413537979126,0.89921635389328,0.8956351280212402,0.9971288442611694,0.8811313509941101,0.7817309498786926,0.8215537071228027,0.8444440364837646,0.9102503061294556,0.9100412130355835,0.8773413300514221,0.9350337386131287,0.9166897535324097,1.0265601873397827,0.9887429475784302,0.9389533400535583,0.8791388273239136,0.9425899982452393,0.9021248817443848,1.0498005151748657,0.9483058452606201,1.0314924716949463,0.93316650390625,0.9020265936851501,0.9305081963539124,1.023224949836731,0.9079200029373169,1.0193402767181396,0.8795313835144043,0.8907207250595093,0.9782763719558716,1.0062037706375122,0.9306827187538147,1.0383214950561523,0.8490184545516968,0.9789567589759827,0.8634998202323914,0.9485055208206177,0.9709655046463013,1.1288093328475952,0.8880419135093689,1.0344493389129639,1.0752290487289429,0.9849281311035156,0.9863958358764648,1.0773298740386963,1.039426565170288,1.0126680135726929,0.9904579520225525,0.8272693753242493,1.0516173839569092,1.0510932207107544,0.9690679907798767,1.0124800205230713,1.1553477048873901,1.1373555660247803,1.1490466594696045,1.1302865743637085,1.0508204698562622,1.1625514030456543,1.136093258857727,1.2201600074768066,1.1950143575668335,1.192814588546753,1.1413655281066895,0.9732296466827393,1.1619852781295776,1.1473503112792969,1.1018829345703125,1.0983375310897827,1.1557631492614746,1.1622456312179565,1.1765055656433105,1.123695969581604,1.014783501625061,1.1152676343917847,1.1506613492965698,1.0507442951202393,1.1065418720245361,1.1101162433624268,1.0093238353729248,0.9615868926048279,1.0243008136749268,0.998920202255249,1.0223735570907593,0.9799571633338928,1.0587440729141235,1.0786675214767456,1.0218552350997925,1.1111396551132202,1.0983319282531738,1.1528911590576172,1.156196117401123,1.0056135654449463,1.1034330129623413,1.0762815475463867,1.0132390260696411,0.9199845194816589,1.120897650718689,1.1242401599884033,1.0310900211334229
fish,0.7439160346984863,0.7471038103103638,0.0,0.5345498323440552,0.49730372428894043,0.9860291481018066,0.9738608598709106,0.9293264150619507,0.9037692546844482,0.9901260137557983,1.0215359926223755,1.075203776359558,1.0157073736190796,1.1135746240615845,1.1046533584594727,1.0637469291687012,1.060703158378601,1.0893529653549194,1.0208886861801147,1.0103687047958374,1.1032871007919312,1.1001965999603271,1.1715202331542969,1.1375999450683594,1.1326022148132324,1.06380295753479,1.1017853021621704,1.129447340965271,1.087146520614624,1.1895842552185059,1.1694152355194092,1.198363184928894,1.1431936025619507,1.1272649765014648,1.120361328125,1.1416869163513184,1.1505227088928223,0.8641330003738403,1.0526036024093628,1.0332748889923096,0.9681613445281982,1.0267122983932495,1.1095819473266602,1.1658849716186523,1.1549996137619019,1.120166301727295,1.1699018478393555,1.0879055261611938,1.085147738456726,1.1151840686798096,1.1410638093948364,0.9034119844436646,0.9054833650588989,1.0211467742919922,0.9604285955429077,0.9353722333908081,1.0562069416046143,1.0012258291244507,0.9674838781356812,0.9746078252792358,0.9697845578193665,1.0248595476150513,1.0867161750793457,1.1010136604309082,0.9955005049705505,0.9668573141098022,1.1489261388778687,1.111976146697998,0.983847975730896,1.1046514511108398,0.8350991010665894,0.9470028281211853,0.9954208731651306,1.0301216840744019,1.022537350654602,1.0298200845718384,1.0474112033843994,0.9572988152503967,0.9427404999732971,0.9229894876480103,0.9518675208091736,0.8546901941299438,0.8889607191085815,0.8997042179107666,0.8481928110122681,0.9175419211387634,0.9578726887702942,0.7823189496994019,0.9363537430763245,0.9886908531188965,0.9897952079772949,0.80538409948349,0.9864952564239502,0.9200955033302307,0.8686495423316956,0.9024317860603333,0.9530609250068665,0.9189654588699341,0.7887952327728271,0.7669286727905273,0.8469983339309692,0.8693603277206421,0.9090350866317749,0.8685402274131775,0.8177264332771301,0.8322098255157471,0.8212947845458984,0.7795344591140747,0.7476918697357178,0.9023264646530151,1.0683157444000244,1.0677109956741333,0.962406575679779,1.0961917638778687,1.046190619468689,1.0836790800094604,0.9630289673805237,1.0803967714309692,1.1253751516342163,1.1582553386688232,1.1437504291534424
frog,0.8566155433654785,0.8568435907363892,0.5345498323440552,0.0,0.5789359211921692,0.9743515253067017,0.9037603735923767,0.8309537172317505,0.9319764971733093,0.9522656202316284,0.9749761819839478,1.152164101600647,1.2525451183319092,1.2596707344055176,1.0725007057189941,0.952212393283844,0.9651790857315063,1.0311754941940308,1.0559608936309814,1.0392415523529053,1.1857554912567139,1.2570308446884155,1.2315640449523926,1.139827847480774,1.284224033355713,1.2369660139083862,1.262316107749939,1.2099695205688477,1.1467041969299316,1.1754521131515503,1.288201928138733,1.2761409282684326,1.2446106672286987,1.210533618927002,1.241485834121704,1.1956524848937988,1.2013983726501465,0.831379771232605,1.2266685962677002,1.1240724325180054,1.0296883583068848,1.0359197854995728,1.2462078332901,1.2335360050201416,1.2440720796585083,1.251371145248413,1.2894939184188843,1.0931929349899292,1.3076789379119873,1.2721431255340576,1.251188039779663,0.8647500276565552,1.0235662460327148,1.1694557666778564,1.1254783868789673,0.9663576483726501,1.2178583145141602,1.0435744524002075,1.0471848249435425,0.9689358472824097,0.7548256516456604,0.8731088042259216,1.1289331912994385,1.154893398284912,1.0223991870880127,0.9980608224868774,1.1524559259414673,1.088205099105835,0.9507970213890076,1.2309298515319824,1.044498085975647,1.0697855949401855,0.8313763737678528,0.9092190861701965,1.0640292167663574,1.0449564456939697,1.0151946544647217,0.8570634126663208,1.035873293876648,0.9340905547142029,0.8972247838973999,0.7306559681892395,0.8163760304450989,0.8276028633117676,0.9031625390052795,0.992392897605896,1.0610743761062622,0.7552410364151001,0.789236307144165,0.8165467977523804,0.9723426103591919,0.7826904058456421,0.8147263526916504,0.7195318937301636,0.6233583688735962,0.5814244151115417,0.7099838852882385,0.6456190347671509,0.5385637283325195,0.5494082570075989,0.7970189452171326,0.8108566403388977,0.9542375206947327,0.8169030547142029,0.8601003885269165,0.7027729749679565,0.7258402109146118,0.6858782172203064,0.7458807826042175,0.9268434047698975,0.9871511459350586,0.9781919121742249,0.7733723521232605,1.1388291120529175,0.8964751362800598,1.081117033958435,1.0973680019378662,1.1184463500976562,0.9681377410888672,1.1291184425354004,1.2279846668243408
bird,0.5796399712562561,0.619502067565918,0.49730372428894043,0.5789359211921692,0.0,1.0412712097167969,0.9814609885215759,0.8925178647041321,1.0426456928253174,1.0926436185836792,1.0826475620269775,1.0250078439712524,1.1655936241149902,1.2404401302337646,1.1721749305725098,1.0669641494750977,1.0973597764968872,1.1038641929626465,1.1251322031021118,0.9210011959075928,1.2114077806472778,1.080479383468628,1.0237599611282349,1.042588233947754,1.1071606874465942,1.118277668952942,1.1251068115234375,1.0654367208480835,0.9794082641601562,1.092602252960205,1.1553106307983398,1.147971749305725,1.1733726263046265,1.1620107889175415,1.1816527843475342,1.1580218076705933,1.037226915359497,0.7783675193786621,1.149511456489563,1.011443018913269,0.9176362156867981,0.8913660049438477,1.0909466743469238,1.1027741432189941,1.1353667974472046,1.2310223579406738,1.2283698320388794,0.9750306010246277,1.191182017326355,1.1724092960357666,1.173013687133789,0.833880603313446,0.9765774011611938,1.125067949295044,0.965490460395813,0.9422662854194641,1.0529462099075317,1.0017179250717163,0.9787271618843079,0.9884687662124634,0.955442488193512,1.0653841495513916,1.1721174716949463,1.1540982723236084,1.0767240524291992,1.0691803693771362,1.0537086725234985,1.0461928844451904,0.9083677530288696,1.0708855390548706,0.9353569746017456,0.9627976417541504,0.7222006916999817,1.024641752243042,1.0923175811767578,1.0461509227752686,1.0636992454528809,0.860042154788971,1.028376579284668,0.895318329334259,0.9013086557388306,0.8170088529586792,0.847541868686676,0.8465744256973267,0.8719179630279541,0.972590982913971,1.1017571687698364,0.9767404198646545,0.7849418520927429,0.7969831228256226,1.0046147108078003,0.9267190098762512,0.8238354921340942,0.795616865158081,0.7288491725921631,0.758095383644104,0.7790731191635132,0.8987962007522583,0.8588002324104309,0.7602021098136902,0.8402137160301208,0.8495237231254578,1.045669674873352,1.0154271125793457,0.9853750467300415,0.7615804076194763,0.9138792753219604,0.7474391460418701,0.8774241805076599,0.9518710374832153,0.9562358260154724,1.007611870765686,0.9492823481559753,1.1567074060440063,0.9357867240905762,1.1141725778579712,1.0454944372177124,1.0272767543792725,1.0031979084014893,1.119162917137146,1.142284870147705
ear,0.9922051429748535,1.0741612911224365,0.9860291481018066,0.9743515253067017,1.0412712097167969,0.0,0.2790076732635498,0.5786941647529602,0.474544882774353,0.3614422678947449,0.5547516345977783,0.6466904282569885,0.7997990846633911,0.8870826959609985,0.6130477786064148,0.48089444637298584,0.4942203760147095,0.5805796980857849,0.6932368874549866,1.1236732006072998,1.1157816648483276,1.2822954654693604,1.236443281173706,1.1992146968841553,1.290453314781189,1.168793797492981,1.2210915088653564,1.2301279306411743,1.1079503297805786,1.136448860168457,1.1986820697784424,1.2245864868164062,1.1883018016815186,1.1904221773147583,1.2197322845458984,1.1386597156524658,1.1575801372528076,1.0408600568771362,1.0252480506896973,1.2239021062850952,1.0977098941802979,0.9370229840278625,1.0074044466018677,1.0359570980072021,0.9307321906089783,0.9704908132553101,1.081749439239502,1.0190904140472412,0.9554312825202942,0.929721474647522,0.8838762640953064,0.871738076210022,0.9295108914375305,0.9101259112358093,0.9148259162902832,0.9832230806350708,1.1809852123260498,1.1780468225479126,1.1659797430038452,1.1363952159881592,1.075883150100708,1.1472259759902954,1.3314851522445679,1.2648954391479492,1.1222459077835083,1.1251896619796753,1.3367434740066528,1.2145758867263794,0.9559677839279175,1.1888865232467651,1.061637282371521,1.153679609298706,0.7781133055686951,0.5734781622886658,0.5353918075561523,0.8785727024078369,0.9328704476356506,1.1139558553695679,1.1075080633163452,1.0154547691345215,1.0613694190979004,0.8838284611701965,0.9544780254364014,0.9233428239822388,1.0427930355072021,1.1720526218414307,1.0171351432800293,0.964207649230957,0.9667469263076782,0.9691308736801147,0.4759613275527954,0.7731068730354309,0.8257597088813782,0.8244104981422424,0.9397435188293457,0.8233901262283325,0.8373798131942749,0.9880155324935913,0.9431313276290894,0.9361417293548584,1.0806512832641602,1.0931600332260132,1.0909528732299805,1.0653972625732422,1.080483317375183,0.9607805013656616,0.969562292098999,0.9471411108970642,1.020654320716858,1.1666319370269775,1.1998562812805176,1.1309690475463867,1.0990170240402222,1.2125139236450195,1.1075291633605957,1.233262538909912,1.0658504962921143,1.1544898748397827,1.1307622194290161,1.2886261940002441,1.2191922664642334
nose,0.9473902583122253,1.051265001296997,0.9738608598709106,0.9037603735923767,0.9814609885215759,0.2790076732635498,0.0,0.3313407301902771,0.45352208614349365,0.27682626247406006,0.4121628999710083,0.6815452575683594,0.8416497707366943,0.972290575504303,0.6286042928695679,0.44020235538482666,0.43472278118133545,0.6092687845230103,0.7114485502243042,1.1509042978286743,1.1498770713806152,1.3255962133407593,1.3619577884674072,1.2561678886413574,1.407498836517334,1.279716968536377,1.339688777923584,1.3284631967544556,1.131449580192566,1.1163591146469116,1.3208043575286865,1.2875031232833862,1.2539124488830566,1.2563610076904297,1.318621039390564,1.2313859462738037,1.3131260871887207,0.9897882342338562,1.1889516115188599,1.3457541465759277,1.1415730714797974,1.0144859552383423,1.128678560256958,1.1122286319732666,1.0031967163085938,1.1225186586380005,1.1868020296096802,1.0074113607406616,1.0603554248809814,1.000008225440979,0.9206777215003967,0.8259012699127197,1.0035192966461182,0.9625056982040405,0.9336753487586975,1.0324516296386719,1.297700047492981,1.2607165575027466,1.1974700689315796,1.097191572189331,1.0556538105010986,1.2296712398529053,1.4080817699432373,1.2818975448608398,1.2716138362884521,1.1596589088439941,1.3892242908477783,1.2626861333847046,1.0067945718765259,1.3085322380065918,1.0353095531463623,1.200055718421936,0.723972499370575,0.44278788566589355,0.6153640747070312,0.8591010570526123,0.9880040287971497,0.9958495497703552,1.1899105310440063,0.9971262216567993,1.053858757019043,0.7945679426193237,0.8427025079727173,0.8333569169044495,0.978738009929657,1.1831437349319458,1.0815706253051758,0.8895753622055054,0.820228099822998,0.7981424927711487,0.3133047819137573,0.5895066261291504,0.5964319705963135,0.5833998918533325,0.7502316236495972,0.6321135759353638,0.7198470830917358,0.8883973956108093,0.8674241304397583,0.875084638595581,1.1451988220214844,1.132012963294983,1.1136012077331543,1.0821990966796875,1.0941439867019653,0.8342167139053345,0.7962431907653809,0.7488457560539246,0.9521604180335999,1.1455787420272827,1.1888591051101685,1.082749366760254,0.9988949298858643,1.2352432012557983,1.0260729789733887,1.2091741561889648,1.0634936094284058,1.048340916633606,1.0983936786651611,1.3294031620025635,1.1957697868347168
eye,1.0360593795776367,1.0743638277053833,0.9293264150619507,0.8309537172317505,0.8925178647041321,0.5786941647529602,0.3313407301902771,0.0,0.5575889348983765,0.4990248680114746,0.7258117198944092,0.8978121876716614,1.1018939018249512,1.1769380569458008,0.9117809534072876,0.6181688904762268,0.621939480304718,0.7491875886917114,0.8692860007286072,1.0441008806228638,1.1175098419189453,1.3271543979644775,1.3532570600509644,1.2203059196472168,1.4100974798202515,1.281819462776184,1.2798147201538086,1.2783582210540771,1.0779415369033813,1.1018850803375244,1.3074569702148438,1.2918256521224976,1.2461128234863281,1.2552727460861206,1.2853249311447144,1.188433051109314,1.3329167366027832,0.8807511925697327,1.2065600156784058,1.3065571784973145,1.0902059078216553,1.0472970008850098,1.2153701782226562,1.2288355827331543,1.1534699201583862,1.2246392965316772,1.2515923976898193,1.0286725759506226,1.2081358432769775,1.1263421773910522,1.0715632438659668,0.7308061718940735,0.9590741395950317,1.0332669019699097,1.1429193019866943,1.1127339601516724,1.2419623136520386,1.1676117181777954,1.1858216524124146,1.082188606262207,1.0322290658950806,1.2590322494506836,1.3452553749084473,1.2459739446640015,1.2465050220489502,1.1552034616470337,1.2677034139633179,1.1636639833450317,0.815955400466919,1.285556435585022,0.9749853014945984,1.1806609630584717,0.6930464506149292,0.4448961019515991,0.7400474548339844,0.8041565418243408,0.862795889377594,0.7499229311943054,1.2011845111846924,0.9005953669548035,0.9658098816871643,0.5984287858009338,0.6698925495147705,0.6596604585647583,0.8187729716300964,1.1150193214416504,1.1298913955688477,0.8547035455703735,0.7017917037010193,0.666244387626648,0.41220712661743164,0.6628627181053162,0.5580329895019531,0.536596417427063,0.7419213056564331,0.5753124952316284,0.7082631587982178,0.9747570753097534,0.9096641540527344,0.7641556262969971,1.05367112159729,1.0543416738510132,1.0998748540878296,1.0257532596588135,1.0364760160446167,0.8199301958084106,0.7313531041145325,0.7034404277801514,0.9665791988372803,1.026453971862793,1.079200029373169,0.91075599193573,0.911709725856781,1.265052318572998,0.9313589334487915,1.1674604415893555,1.109885573387146,0.928994357585907,0.9928511381149292,1.2330385446548462,1.1600004434585571
tooth,1.1161962747573853,1.1810669898986816,0.9037692546844482,0.9319764971733093,1.0426456928253174,0.474544882774353,0.45352208614349365,0.5575889348983765,0.0,0.19198548793792725,0.7470648288726807,0.8623206615447998,0.9920040965080261,1.0090861320495605,0.726342499256134,0.4852885603904724,0.5138523578643799,0.6491227149963379,0.762387216091156,1.1197328567504883,1.1013795137405396,1.2673932313919067,1.3007597923278809,1.207616925239563,1.3577957153320312,1.2883508205413818,1.3138420581817627,1.313501238822937,1.1640187501907349,1.180933952331543,1.305609941482544,1.3045458793640137,1.2930083274841309,1.196223497390747,1.209378719329834,1.2121766805648804,1.3321949243545532,0.9985830783843994,1.1233062744140625,1.2106965780258179,1.1411467790603638,1.000694990158081,1.1584866046905518,1.1667009592056274,1.0883327722549438,1.1245219707489014,1.2067012786865234,1.0426685810089111,1.1079577207565308,1.0870723724365234,1.0254427194595337,0.8152161836624146,0.9485556483268738,0.9559388756752014,1.1155164241790771,1.0766198635101318,1.2881810665130615,1.236093282699585,1.2284928560256958,1.0960038900375366,1.1830998659133911,1.2117228507995605,1.2853808403015137,1.2766449451446533,1.1902427673339844,1.1210696697235107,1.2888567447662354,1.2131013870239258,1.0241470336914062,1.3080912828445435,0.8781735301017761,1.0984934568405151,0.9156074523925781,0.6733747720718384,0.5262237191200256,0.8051018714904785,0.806148886680603,0.9397786259651184,1.0901474952697754,0.8239020109176636,0.9243471622467041,0.6263373494148254,0.6838017702102661,0.6602383852005005,0.7780908346176147,1.0963661670684814,0.8708587288856506,0.7354609370231628,0.9016857147216797,0.9042691588401794,0.41226643323898315,0.695449948310852,0.7483755350112915,0.7385814785957336,0.8589917421340942,0.7343438863754272,0.716957151889801,0.9922782182693481,0.8136284947395325,0.8088244795799255,1.0972440242767334,1.0575162172317505,1.0509313344955444,1.0762063264846802,1.0032178163528442,0.9581242799758911,0.8818363547325134,0.8013654947280884,0.9199095964431763,1.041203498840332,1.1195412874221802,1.0196444988250732,0.8919010162353516,1.1836917400360107,0.9751781821250916,1.1662153005599976,1.0667740106582642,1.1656569242477417,1.0293575525283813,1.2358360290527344,1.1912992000579834
mouth,1.0826808214187622,1.1363450288772583,0.9901260137557983,0.9522656202316284,1.0926436185836792,0.3614422678947449,0.27682626247406006,0.4990248680114746,0.19198548793792725,0.0,0.4615415930747986,0.7209963798522949,0.9008032083511353,0.9538774490356445,0.7323217391967773,0.5339460372924805,0.5128127932548523,0.6459144353866577,0.7439848184585571,1.1640543937683105,1.108400583267212,1.2422728538513184,1.310110092163086,1.2001962661743164,1.3239223957061768,1.1934971809387207,1.2306445837020874,1.2589383125305176,1.1567497253417969,1.185636281967163,1.2470929622650146,1.2095555067062378,1.1706550121307373,1.1944949626922607,1.1805839538574219,1.1573351621627808,1.282036542892456,0.9887453317642212,1.0301616191864014,1.1900646686553955,1.116879940032959,0.9691957235336304,1.055092453956604,1.0462144613265991,0.9350322484970093,1.0396440029144287,1.078844666481018,1.0548516511917114,0.988186240196228,0.9489927291870117,0.8697043061256409,0.8970137238502502,0.9564108848571777,1.0194579362869263,1.1070340871810913,1.1329807043075562,1.2251225709915161,1.2608082294464111,1.2727718353271484,1.1973941326141357,1.106811285018921,1.150217056274414,1.3123455047607422,1.2538636922836304,1.1553983688354492,1.1465721130371094,1.3181976079940796,1.2457900047302246,1.0221004486083984,1.2295781373977661,0.9887809753417969,1.1999993324279785,0.8667623996734619,0.52613765001297,0.5822774171829224,0.8447481989860535,0.949588418006897,1.0573124885559082,1.1494313478469849,1.0030723810195923,1.0677884817123413,0.777262270450592,0.8551627993583679,0.8390946984291077,0.9721596240997314,1.1802045106887817,0.9941486716270447,0.8899735808372498,0.9273388385772705,0.9159076809883118,0.42432987689971924,0.7393016815185547,0.7680794596672058,0.7098731398582458,0.8836644887924194,0.7305034399032593,0.7325006127357483,0.9926303029060364,0.9180936813354492,0.8676948547363281,1.1581189632415771,1.1411023139953613,1.0649362802505493,1.0605229139328003,1.0363285541534424,0.9915416240692139,0.9531809091567993,0.9007924199104309,0.9729793071746826,1.1284589767456055,1.1715869903564453,1.0814415216445923,0.9948513507843018,1.1890932321548462,1.0464653968811035,1.2255511283874512,1.0916274785995483,1.1382976770401,1.0742934942245483,1.237165927886963,1.2191853523254395
