,dog,cat,fish,frog,bird,ear,nose,eye,tooth,mouth,face,hair,leg,arm,hand,finger,toe,ankle,foot,lamp,drawer,bench,chair,ladder,table,couch,bed,crib,window,door,closet,refrigerator,oven,sink,bathtub,stroller,car,hose,slide,tree,scarf,jacket,sweater,shirt,bib,pajamas,dress,jeans,pants,shorts,slipper,shoe,sock,mitten,glove,blanket,pillow,towel,napkin,doll,toy,tray,box,book,paper,basket,purse,radio,vacuum,comb,shovel,hat,glasses,necklace,belt,watch,clock,scissors,fork,spoon,crayon,pencil,pen,knife,broom,toothbrush,gum,balloon,ball,nail,carrot,egg,orange,pumpkin,apple,strawberry,melon,pickle,banana,flower,plant,cracker,soup,pizza,muffin,cookie,bread,hamburger,plate,bowl,tape,soap,milk,bottle,jar,glass,cup,bucket,can
dog,0.0,0.282279908657074,0.7013034820556641,0.7322031259536743,0.8571678400039673,1.0118944644927979,0.9217571020126343,0.9312645196914673,1.0832070112228394,1.0707290172576904,0.7426592111587524,0.7393147945404053,0.8839713931083679,0.9734601974487305,1.0312995910644531,1.1501274108886719,1.0851757526397705,1.0738564729690552,1.0087429285049438,1.1394950151443481,1.1196991205215454,0.8190643787384033,0.9061733484268188,0.9120087027549744,0.8014392852783203,0.7075329422950745,0.764077365398407,0.923058032989502,0.9774926900863647,0.9491672515869141,0.9074325561523438,1.0285775661468506,0.9468125104904175,1.0532541275024414,0.9872736930847168,0.8122320175170898,0.851891040802002,1.0044708251953125,0.9073426723480225,0.9624795913696289,0.9157680869102478,0.7977458238601685,0.8716300129890442,0.8148843050003052,0.9124387502670288,0.8158590793609619,0.8638951778411865,0.766693115234375,0.7781359553337097,0.9244083762168884,0.9971943497657776,1.0088790655136108,1.0908335447311401,0.894993007183075,0.964449405670166,0.7801120281219482,0.8304773569107056,0.9447753429412842,1.028470754623413,0.9149461388587952,0.9567968845367432,1.1390087604522705,1.0875840187072754,1.0223228931427002,1.0632957220077515,1.020587682723999,0.9954467415809631,1.033389687538147,0.8272998332977295,0.9709221124649048,1.2207359075546265,1.0064102411270142,0.9693773984909058,1.1352882385253906,1.1828784942626953,1.1171562671661377,1.1418555974960327,1.1294527053833008,1.1530852317810059,1.2171591520309448,1.1189672946929932,1.1782759428024292,1.192150592803955,1.154309630393982,0.9891506433486938,1.1714725494384766,1.109940528869629,1.0984729528427124,1.065358281135559,1.091596007347107,1.0351706743240356,1.0936483144760132,1.115782618522644,1.1301919221878052,1.0690869092941284,1.136338233947754,1.06693434715271,1.0935378074645996,1.0678061246871948,1.0194346904754639,0.8967491388320923,1.0374157428741455,1.0403337478637695,0.9723623991012573,0.9689270853996277,1.095625877380371,1.0502299070358276,1.0434428453445435,1.0855761766433716,1.1647289991378784,1.2424341440200806,1.1986507177352905,1.1547789573669434,1.1251752376556396,1.2080053091049194,0.9157842397689819,1.1955938339233398,1.1775931119918823,1.01272714138031
cat,0.282279908657074,0.0,0.6990370750427246,0.8569015860557556,0.8591926097869873,1.0116734504699707,0.844633162021637,0.8440494537353516,0.9958181381225586,1.0863040685653687,0.8158390522003174,0.6992920637130737,0.8955161571502686,0.8859692215919495,1.0309759378433228,1.0914463996887207,1.0613394975662231,1.089041829109192,0.993881106376648,1.0349547863006592,1.0123975276947021,0.7650425434112549,0.9359912872314453,0.8775011301040649,0.8298722505569458,0.7393051385879517,0.7449039220809937,0.951356828212738,0.8280001878738403,0.893795371055603,0.9194696545600891,1.0298693180084229,0.9216018915176392,1.0023623704910278,0.8975141644477844,1.000634789466858,0.9228883981704712,0.9274652004241943,0.9097249507904053,0.9413073658943176,0.9307369589805603,0.7897531986236572,0.8526264429092407,0.8416894674301147,1.0019408464431763,0.8449454307556152,0.9362645149230957,0.7609981298446655,0.8003753423690796,0.9596459865570068,0.9393539428710938,1.0285887718200684,1.0309028625488281,0.9147046804428101,0.9991717338562012,0.7494856119155884,0.7104418277740479,0.9043335318565369,0.979961633682251,1.1186120510101318,1.141190767288208,1.1862205266952515,1.1431790590286255,1.0995633602142334,1.0291595458984375,1.0429531335830688,1.1022835969924927,1.0518643856048584,0.8765535950660706,0.8040758967399597,1.1521475315093994,1.0105761289596558,0.8738921880722046,1.077746868133545,1.083475112915039,1.1008576154708862,1.1514016389846802,1.1144896745681763,1.051039218902588,1.1429862976074219,1.0150530338287354,1.0519630908966064,1.0661640167236328,1.0506739616394043,0.9374295473098755,1.127659559249878,1.1339696645736694,1.1444412469863892,1.0577830076217651,1.0152772665023804,1.0324394702911377,1.0832252502441406,1.1232563257217407,1.1672382354736328,1.0917917490005493,1.147533893585205,1.0103325843811035,1.1036022901535034,1.1051386594772339,1.0670573711395264,0.8788756132125854,1.1216931343078613,1.045023798942566,1.0507539510726929,1.0256924629211426,1.146796703338623,1.0908141136169434,1.215822458267212,1.154842495918274,1.1606320142745972,1.1903424263000488,1.2029744386672974,1.2174314260482788,1.185414433479309,1.2840347290039062,0.9283041954040527,1.2485004663467407,1.2358118295669556,1.02565598487854
fish,0.7013034820556641,0.6990370750427246,0.0,0.44137489795684814,0.60023432970047,0.8800926804542542,0.7634945511817932,0.8223767280578613,0.712043046951294,0.9442949295043945,0.8907693028450012,0.9893210530281067,1.017961025238037,1.0705933570861816,0.9939274787902832,0.9028452038764954,0.9119387865066528,1.0452905893325806,0.9027695059776306,1.1128532886505127,1.1310908794403076,1.106468915939331,1.2541760206222534,1.2702816724777222,1.1644221544265747,1.1131081581115723,1.1987383365631104,1.2701221704483032,1.2067930698394775,1.1674801111221313,1.2776731252670288,1.2457141876220703,1.1856968402862549,1.122221827507019,1.1395680904388428,1.1685168743133545,0.9578039050102234,0.9870049357414246,1.1994110345840454,1.0051368474960327,1.1000126600265503,1.117195725440979,1.1915290355682373,1.1213798522949219,1.1382359266281128,1.1758060455322266,1.1886074542999268,1.015271782875061,1.043387770652771,1.0815622806549072,0.7349258661270142,0.9497882127761841,1.065134048461914,0.9189605116844177,0.8364989161491394,1.1108424663543701,0.9524363279342651,0.9554716348648071,0.8048112988471985,1.1647138595581055,1.1781712770462036,1.1034722328186035,1.185302972793579,1.1032320261001587,0.934703528881073,1.1932628154754639,1.1482750177383423,1.033935308456421,1.1257283687591553,0.7878381013870239,1.0048742294311523,0.9460971355438232,0.9025943875312805,0.9648435115814209,1.0734522342681885,1.0049136877059937,1.004380464553833,1.0079411268234253,0.781043291091919,0.8140941858291626,0.7214264869689941,0.8190081119537354,0.8117849826812744,0.792003870010376,1.0591403245925903,0.9434360861778259,0.7647901773452759,0.9449127316474915,0.8542308807373047,0.7991766929626465,0.6429693698883057,0.8146979808807373,0.7455706596374512,0.864592432975769,0.7819766402244568,0.8967205882072449,0.7476693391799927,0.5922943353652954,0.669981837272644,0.8832059502601624,0.825839638710022,0.7571737766265869,0.8509487509727478,0.7617911696434021,0.66811603307724,0.7285758256912231,0.6744037866592407,0.9223419427871704,0.9755507707595825,1.033398985862732,0.953754186630249,0.8879415392875671,1.2598121166229248,1.0383909940719604,1.1344903707504272,0.902557373046875,1.0849575996398926,1.187387228012085,1.0726271867752075
frog,0.7322031259536743,0.8569015860557556,0.44137489795684814,0.0,0.6285626888275146,0.9353702664375305,0.8344289660453796,0.8261075615882874,0.8871254920959473,1.023054838180542,0.9242560863494873,1.039794683456421,1.0718626976013184,1.1873160600662231,1.0455013513565063,0.9588696360588074,0.9583954811096191,1.0535756349563599,0.963871955871582,1.0677365064620972,1.149713397026062,1.1446799039840698,1.1847045421600342,1.2547918558120728,1.2253025770187378,1.1384568214416504,1.1995631456375122,1.1976840496063232,1.1871163845062256,1.1132357120513916,1.2206416130065918,1.193223476409912,1.2186721563339233,1.2061735391616821,1.2004058361053467,1.1014323234558105,0.8157187700271606,0.993000864982605,1.117639422416687,0.9551084637641907,1.0689641237258911,1.1719276905059814,1.204019546508789,1.1499884128570557,1.1817333698272705,1.1926324367523193,1.2013633251190186,1.1250956058502197,1.1304609775543213,1.1344239711761475,0.8158670663833618,0.9976717829704285,1.1817947626113892,1.0696990489959717,0.7864459753036499,1.1749546527862549,1.0474028587341309,1.0532541275024414,0.9619146585464478,0.9357686638832092,0.9159092903137207,1.1543915271759033,1.122286319732666,1.0275498628616333,0.9874117374420166,1.139481782913208,1.1509310007095337,1.0649652481079102,1.1505924463272095,0.9667025804519653,1.0535180568695068,0.8828636407852173,0.8695300817489624,1.0652095079421997,1.0008785724639893,1.0013467073440552,0.9599959850311279,1.0114730596542358,0.8704965710639954,0.9764369130134583,0.7436628937721252,0.8559088110923767,0.8668705821037292,0.9595600366592407,0.976913332939148,1.022119402885437,0.823488712310791,0.9267492890357971,0.862515926361084,0.9239711165428162,0.7059947848320007,0.8654879331588745,0.8232588171958923,0.8531813621520996,0.6659765243530273,0.8984395265579224,0.6390228271484375,0.47991394996643066,0.6289141774177551,0.7882648706436157,0.6905385255813599,0.9025316834449768,1.054121494293213,0.9504772424697876,0.7813847064971924,0.8517818450927734,0.8137434720993042,0.9708433747291565,1.1043047904968262,1.161420464515686,0.8994740843772888,0.9445282816886902,1.1977481842041016,0.923850417137146,1.0866382122039795,1.0687164068222046,1.1144871711730957,1.1357648372650146,1.1158432960510254
bird,0.8571678400039673,0.8591926097869873,0.60023432970047,0.6285626888275146,0.0,1.0586572885513306,0.9485320448875427,0.8597539663314819,0.9161496162414551,1.0916574001312256,1.120979905128479,1.1447246074676514,1.2159779071807861,1.2856035232543945,1.2482643127441406,1.0627127885818481,1.0408201217651367,1.1466751098632812,1.1257356405258179,0.750057578086853,1.069892406463623,1.174112319946289,1.1035664081573486,1.1776518821716309,1.2665445804595947,1.3106588125228882,1.3316903114318848,1.2017822265625,1.0751454830169678,1.0961612462997437,1.2454620599746704,1.1292774677276611,1.2184473276138306,1.28569757938385,1.319199562072754,1.124746322631836,0.8513765335083008,1.1550248861312866,1.2548898458480835,0.8646765947341919,1.1321461200714111,1.2044775485992432,1.244884729385376,1.2512978315353394,1.2408761978149414,1.321406364440918,1.2476905584335327,1.2354686260223389,1.2871060371398926,1.22896146774292,0.7832036018371582,0.9979424476623535,1.1940133571624756,1.247779130935669,0.9673033952713013,1.2763234376907349,1.2137845754623413,1.0558555126190186,0.9379869699478149,0.9934273362159729,1.127197027206421,1.2575864791870117,1.1627768278121948,1.06373929977417,1.0397379398345947,1.097007393836975,1.2631756067276,1.0934115648269653,1.1845431327819824,0.8861596584320068,0.8655664324760437,0.8370936512947083,0.8893664479255676,1.028918981552124,0.9378349781036377,0.9202037453651428,0.842816948890686,1.0405350923538208,0.6703684329986572,0.8345557451248169,0.7216767072677612,0.6953256130218506,0.714579701423645,0.8260796666145325,0.9322904348373413,1.0672684907913208,1.0451935529708862,0.8748060464859009,0.7669342756271362,0.9432148933410645,0.8786121606826782,0.7895208597183228,0.8978286385536194,0.8595401048660278,0.7492573261260986,0.8135539293289185,1.0612643957138062,0.9373731017112732,0.7783102989196777,0.6512410640716553,0.7235294580459595,0.9812932014465332,1.0741965770721436,1.046015977859497,0.8716492056846619,0.8807792663574219,0.863500714302063,1.02449631690979,1.1176457405090332,1.1380727291107178,0.930819034576416,0.9257868528366089,1.133164405822754,0.8900519013404846,1.0057657957077026,1.1978418827056885,1.1645967960357666,1.1643532514572144,1.1718860864639282
ear,1.0118944644927979,1.0116734504699707,0.8800926804542542,0.9353702664375305,1.0586572885513306,0.0,0.2801699638366699,0.5258938074111938,0.444413423538208,0.35791850090026855,0.5672239065170288,0.549423336982727,0.8306280374526978,0.9018185138702393,0.5912684202194214,0.39192044734954834,0.3927210569381714,0.6329320669174194,0.5907358527183533,1.0797792673110962,1.1504422426223755,1.2385302782058716,1.2353870868682861,1.266033411026001,1.2586915493011475,1.1203886270523071,1.1918964385986328,1.2230838537216187,1.1128861904144287,1.1186168193817139,1.1976655721664429,1.2437233924865723,1.2198710441589355,1.2005994319915771,1.155786395072937,1.1943776607513428,1.0800366401672363,0.9783216118812561,1.231907606124878,1.0712119340896606,1.1288586854934692,1.113633155822754,1.0556613206863403,0.9580517411231995,1.0571296215057373,1.0362578630447388,1.042449712753296,0.9700053930282593,0.9633602499961853,0.9122332334518433,0.8605244755744934,0.9227672219276428,0.999236524105072,0.9020407795906067,0.92704176902771,1.1451255083084106,1.081587553024292,1.190145492553711,1.172661542892456,1.1092078685760498,1.1789757013320923,1.2835135459899902,1.2486522197723389,1.1619871854782104,1.138174057006836,1.3087208271026611,1.236910343170166,1.0754923820495605,1.1603741645812988,1.0566051006317139,1.195162296295166,0.842460036277771,0.5160399675369263,0.6632919311523438,0.9898542761802673,0.8462324142456055,1.1238189935684204,1.1310149431228638,1.0291866064071655,1.1082727909088135,0.8530778288841248,0.8654509782791138,0.9174743294715881,1.1353893280029297,1.1919808387756348,1.024463415145874,0.8790097832679749,0.9580314755439758,0.8925515413284302,0.42377281188964844,0.7750289440155029,0.7058029174804688,0.8007404208183289,0.8670440912246704,0.7871296405792236,0.9138990640640259,0.9779335260391235,0.8811954259872437,0.9310473203659058,0.977175235748291,1.0006152391433716,1.009090781211853,1.1159526109695435,0.88218092918396,0.9147767424583435,0.9400221109390259,0.9176011085510254,0.9343022108078003,1.165276050567627,1.1654670238494873,1.1096571683883667,1.0911459922790527,1.1930127143859863,1.0819097757339478,1.206239938735962,0.9982401132583618,1.0922744274139404,1.267967939376831,1.1762837171554565
nose,0.9217571020126343,0.844633162021637,0.7634945511817932,0.8344289660453796,0.9485320448875427,0.2801699638366699,0.0,0.28429174423217773,0.3272671103477478,0.3970754146575928,0.5257941484451294,0.5609022974967957,0.8429198265075684,0.9789429903030396,0.7366456985473633,0.43110889196395874,0.4028889536857605,0.7074519395828247,0.6234502792358398,0.9515343904495239,1.17721426486969,1.2026245594024658,1.1981782913208008,1.2726020812988281,1.3110344409942627,1.1595940589904785,1.2533518075942993,1.263805627822876,1.0306730270385742,1.0626671314239502,1.197082281112671,1.2559814453125,1.2580697536468506,1.3351691961288452,1.2609392404556274,1.2869815826416016,0.997301459312439,1.0987756252288818,1.3160231113433838,1.0360333919525146,1.2039158344268799,1.1769353151321411,1.1439157724380493,1.0270624160766602,1.1712777614593506,1.0955978631973267,1.0944304466247559,1.0294907093048096,0.9992475509643555,0.9096137285232544,0.7971445918083191,1.0047402381896973,1.0667723417282104,1.106763243675232,1.0185950994491577,1.1952217817306519,1.0401993989944458,1.1860257387161255,1.1327760219573975,1.105570673942566,1.2703206539154053,1.4140821695327759,1.2695550918579102,1.2511924505233765,1.108729600906372,1.2980645895004272,1.3580687046051025,1.125308871269226,1.251335620880127,0.957777202129364,1.2184089422225952,0.822382926940918,0.3647392988204956,0.7781967520713806,0.8982930183410645,0.8453515768051147,1.0461987257003784,1.2495144605636597,0.9403260350227356,1.1228981018066406,0.6435652375221252,0.6962078809738159,0.7861340045928955,1.105209469795227,1.1611417531967163,1.1043081283569336,0.8856737613677979,0.876872181892395,0.704343855381012,0.31320953369140625,0.6553910374641418,0.5504577159881592,0.6741469502449036,0.8671081066131592,0.6768761277198792,0.9516521096229553,1.0172100067138672,0.8638584613800049,0.8751579523086548,0.9320018291473389,0.917706310749054,1.0590838193893433,1.185691237449646,0.9548723101615906,0.8855762481689453,0.9388627409934998,0.8917230367660522,1.0177605152130127,1.2911922931671143,1.2630329132080078,1.0911647081375122,1.0374481678009033,1.2537611722946167,0.9721065759658813,1.1874812841415405,1.045454502105713,1.1800003051757812,1.3280103206634521,1.1549640893936157
eye,0.9312645196914673,0.8440494537353516,0.8223767280578613,0.8261075615882874,0.8597539663314819,0.5258938074111938,0.28429174423217773,0.0,0.6036884188652039,0.5803261995315552,0.6941208839416504,0.7836315035820007,0.9112820029258728,1.0081144571304321,0.8559430241584778,0.6606278419494629,0.6485857963562012,0.8374971151351929,0.7453916668891907,1.0154951810836792,1.0857641696929932,1.175147294998169,1.1989628076553345,1.191137433052063,1.2869350910186768,1.1452118158340454,1.1680386066436768,1.2054877281188965,0.9674630165100098,1.0486763715744019,1.1603751182556152,1.2396752834320068,1.1797845363616943,1.2291516065597534,1.1960099935531616,1.199904203414917,0.989946722984314,1.0237088203430176,1.246244192123413,1.0355980396270752,1.1572093963623047,1.1453057527542114,1.1433818340301514,1.0800719261169434,1.1565428972244263,1.0899713039398193,1.1033134460449219,1.031106948852539,1.0515167713165283,0.9710597395896912,0.8152610659599304,0.9246472120285034,1.0290619134902954,1.1313928365707397,0.9644595980644226,1.1166660785675049,1.0688320398330688,1.1688541173934937,1.1414190530776978,1.03532874584198,1.2040152549743652,1.2427078485488892,1.175462007522583,1.1619311571121216,1.0846658945083618,1.183449149131775,1.228511095046997,1.061658263206482,1.1907286643981934,0.9594681262969971,1.1421312093734741,0.9074673056602478,0.31397509574890137,0.8955705165863037,0.8559725880622864,0.8173654079437256,0.9026241302490234,1.1902979612350464,0.9439762830734253,1.0648417472839355,0.7427710294723511,0.7657627463340759,0.8180729150772095,1.0592857599258423,1.121156930923462,1.0897371768951416,0.9405532479286194,0.9235434532165527,0.7542099952697754,0.531578540802002,0.7742630243301392,0.7170419692993164,0.7856435179710388,0.8941729664802551,0.7751989364624023,1.0051960945129395,0.9938122034072876,0.9209384918212891,0.9212772846221924,0.9801157712936401,0.9734147787094116,1.025390863418579,1.096266746520996,0.9930563569068909,0.9266980290412903,0.9356085658073425,0.9368401765823364,0.9422086477279663,1.1697540283203125,1.154721736907959,0.9507169723510742,1.1648043394088745,1.2045319080352783,1.087296485900879,1.2254897356033325,1.0684401988983154,1.1369041204452515,1.2307361364364624,1.146836280822754
tooth,1.0832070112228394,0.9958181381225586,0.712043046951294,0.8871254920959473,0.9161496162414551,0.444413423538208,0.3272671103477478,0.6036884188652039,0.0,0.4165917634963989,0.8063299655914307,0.8031256198883057,0.882166862487793,0.9538004398345947,0.770458459854126,0.4125617742538452,0.41340404748916626,0.711225152015686,0.6534528732299805,0.8768517374992371,1.1710283756256104,1.2476117610931396,1.2300751209259033,1.312331199645996,1.3582067489624023,1.2591474056243896,1.3523612022399902,1.3428292274475098,1.0846582651138306,1.167999505996704,1.3544048070907593,1.3202850818634033,1.3858627080917358,1.3276453018188477,1.2869675159454346,1.3279614448547363,1.0169645547866821,1.0611273050308228,1.3059453964233398,1.0488159656524658,1.1776901483535767,1.2364814281463623,1.234501600265503,1.113406777381897,1.1991362571716309,1.183492660522461,1.165574312210083,1.0871827602386475,1.0970098972320557,0.980709969997406,0.7348791360855103,0.9759042859077454,0.9258612990379333,1.1127684116363525,0.9285503029823303,1.2746827602386475,1.0740535259246826,1.1585866212844849,1.0572710037231445,1.225245714187622,1.2792671918869019,1.3730969429016113,1.3323712348937988,1.2493373155593872,1.0705325603485107,1.3253519535064697,1.3541189432144165,1.1297370195388794,1.274399995803833,0.8220757842063904,1.0682363510131836,0.8558230996131897,0.6112227439880371,0.698941707611084,0.8414080142974854,0.7617821097373962,1.011548638343811,1.1069302558898926,0.8050341606140137,0.9488630294799805,0.5288298726081848,0.595430314540863,0.6285545825958252,0.9029461741447449,1.100623607635498,0.8390079736709595,0.6722376346588135,0.7843823432922363,0.6316241025924683,0.30889034271240234,0.6452623605728149,0.5464273691177368,0.6653381586074829,0.8636884689331055,0.6615583300590515,0.8282413482666016,0.9710556864738464,0.7704208493232727,0.8154256939888,0.8797417283058167,0.9214886426925659,1.0495601892471313,1.1649537086486816,0.9665311574935913,0.9159672260284424,0.9446291327476501,0.8835451006889343,0.9932771325111389,1.239676594734192,1.1891834735870361,0.962797224521637,0.8737767934799194,1.2146143913269043,0.8861250877380371,1.1061515808105469,1.0608534812927246,1.1160484552383423,1.2637603282928467,1.1396952867507935
mouth,1.0707290172576904,1.0863040685653687,0.9442949295043945,1.023054838180542,1.0916574001312256,0.35791850090026855,0.3970754146575928,0.5803261995315552,0.4165917634963989,0.0,0.6227167844772339,0.7281991839408875,0.8498455286026001,0.9205215573310852,0.7214996814727783,0.549160897731781,0.5523838400840759,0.6954036355018616,0.701075553894043,1.153741717338562,1.1224479675292969,1.139978289604187,1.2217779159545898,1.169987678527832,1.1838388442993164,1.1012903451919556,1.1196175813674927,1.1340819597244263,1.0708340406417847,1.1252872943878174,1.134872317314148,1.2180010080337524,1.1594421863555908,1.1103049516677856,1.0736839771270752,1.1495158672332764,1.069903016090393,0.9756751656532288,1.0990551710128784,1.067026138305664,1.072940707206726,1.1175098419189453,0.9960057735443115,0.9315419793128967,1.038106918334961,0.9736418128013611,0.9547122716903687,0.9625679850578308,0.9399181604385376,0.8772720098495483,0.9836304187774658,0.9335303902626038,1.0223561525344849,1.047492504119873,1.0843292474746704,1.1252301931381226,1.1389479637145996,1.2404706478118896,1.2494611740112305,1.1003477573394775,1.102311372756958,1.1241731643676758,1.1606724262237549,1.1117770671844482,1.1436412334442139,1.1678496599197388,1.1574257612228394,1.0842875242233276,1.0954492092132568,0.9731300473213196,1.1701804399490356,1.025758981704712,0.6216389536857605,0.7166411876678467,1.0018845796585083,0.9348981380462646,1.1180378198623657,1.1274440288543701,1.1136553287506104,1.1268936395645142,0.8918549418449402,0.9463950395584106,0.9728611707687378,1.1212517023086548,1.1455353498458862,0.9363419413566589,0.8422735929489136,0.9768060445785522,0.9608216285705566,0.5202130079269409,0.8797965049743652,0.8367480039596558,0.8745520114898682,0.9774468541145325,0.8653995394706726,0.9397160410881042,1.0116686820983887,0.8921361565589905,0.9287353754043579,1.0297678709030151,1.0593390464782715,0.9441549181938171,1.0416606664657593,0.8567248582839966,0.9542766213417053,0.942595899105072,0.9875675439834595,0.8951073884963989,1.0995738506317139,1.1025490760803223,1.1235003471374512,1.0842680931091309,1.1131656169891357,1.0837372541427612,1.1412017345428467,0.947432279586792,1.0405375957489014,1.1592661142349243,1.1312259435653687
