,pony,horse,pig,rooster,bird,fish,butterfly,frog,alligator,owl,elephant,bear,cat,dog,face,hair,arm,hand,leg,foot,ankle,finger,toe,tooth,ear,nose,eye,mouth,stroller,motorcycle,truck,car,lamp,chair,bench,drawer,ladder,window,door,closet,shower,refrigerator,oven,crib,bed,couch,table,bathtub,sink,boat,slide,hose,sprinkler,grass,tree,snow,firetruck,clock,ball,balloon,pumpkin,egg,orange,apple,strawberry,hat,slipper,watch,nail,raisin,glasses,necklace,carrot,vacuum,broom,stick,shovel,scissors,spoon,fork,knife,pencil,pen,crayon,plant,flower,soap,bottle,cup,can,belt,radio,basket,milk,jar,bucket,tape,bowl,plate,corn,pickle,banana,melon,bread,cookie,cracker,sandwich,chips,pizza,hamburger,muffin,meat,soup,applesauce,glass,coffee,dish,tray,box,book,paper,rock,comb,toothbrush,gum,toy,doll,mitten,glove,sock,shoe,purse,pillow,towel,napkin,blanket,dress,pajamas,bib,scarf,coat,jacket,sweater,shirt,jeans,pants,shorts
pony,0.0,0.2651294469833374,0.35856378078460693,0.4369947910308838,0.5932760238647461,0.8733400106430054,0.5165825486183167,0.5454378128051758,0.689702033996582,0.46765321493148804,0.9508890509605408,0.9937177300453186,0.8137475252151489,0.4442082643508911,1.043745517730713,1.0785930156707764,1.257100224494934,1.2323652505874634,1.150809645652771,1.0948538780212402,0.9777565598487854,1.177964448928833,1.0538164377212524,1.1265352964401245,1.0476514101028442,1.0539520978927612,0.9694725871086121,1.1189461946487427,0.9346349239349365,0.9334396123886108,0.7902213931083679,0.8284211754798889,0.8736686110496521,1.0977429151535034,1.239715337753296,1.144162893295288,1.1735578775405884,1.135205626487732,1.1474661827087402,1.1114577054977417,1.1232335567474365,1.1993305683135986,1.236168384552002,1.147394061088562,1.1849229335784912,1.204868197441101,1.2072473764419556,1.2273361682891846,1.190750241279602,1.0400807857513428,1.1335620880126953,1.1170798540115356,1.0053023099899292,1.0629462003707886,1.0490901470184326,1.057716727256775,1.0751097202301025,0.8406765460968018,0.8827064633369446,0.8806413412094116,0.8537551760673523,0.901482343673706,1.009568691253662,0.9145549535751343,0.9217217564582825,0.8730871677398682,0.9611446261405945,0.9669482707977295,1.0254476070404053,1.0336519479751587,0.9852019548416138,1.0059597492218018,1.1493723392486572,0.9933110475540161,1.0759835243225098,0.8598753213882446,0.9645354747772217,0.9593117833137512,0.9445677399635315,0.9149553775787354,1.041299819946289,1.0142408609390259,1.0090044736862183,0.9956501126289368,0.7702447175979614,0.7588614225387573,0.9924469590187073,0.9155080914497375,0.9346871972084045,1.013296127319336,1.0518460273742676,0.8240721821784973,0.9238817691802979,0.9647982716560364,0.8294806480407715,0.9834095239639282,0.8639345169067383,1.0074806213378906,0.9291778802871704,0.8534915447235107,1.085837483406067,0.9047587513923645,1.04789400100708,0.9135724306106567,0.8061338663101196,0.9436607360839844,1.0937639474868774,1.0848315954208374,0.9200258851051331,1.0129179954528809,0.9679464101791382,0.9293416142463684,0.9959453344345093,1.0476242303848267,1.0846649408340454,1.1969932317733765,0.959344208240509,1.069431185722351,1.1067076921463013,0.877383828163147,1.096756100654602,0.9962476491928101,1.1745657920837402,1.1992017030715942,1.0185669660568237,0.765143632888794,0.6446821689605713,1.154301404953003,1.0221413373947144,1.0879827737808228,0.9709034562110901,0.8784993290901184,0.9420021176338196,0.9551675319671631,0.9478044509887695,1.1193389892578125,1.0223690271377563,1.1710160970687866,1.1614582538604736,1.133361577987671,1.156284213066101,1.1431533098220825,1.1338372230529785,1.1900602579116821,1.2407386302947998,1.1854248046875,1.160156488418579
horse,0.2651294469833374,0.0,0.48397111892700195,0.3363914489746094,0.40349727869033813,0.7567748427391052,0.35741299390792847,0.4555434584617615,0.5990902781486511,0.4617835283279419,0.8372045159339905,0.9023077487945557,0.6831254363059998,0.5030887126922607,1.0615084171295166,1.1354972124099731,1.1947884559631348,1.2593936920166016,1.23403000831604,1.2181566953659058,1.1217656135559082,1.2686183452606201,1.1667304039001465,1.2303096055984497,1.1540906429290771,1.1398613452911377,0.9364975690841675,1.2165439128875732,0.8911867737770081,0.7331492900848389,0.7025550603866577,0.6632643342018127,0.7234308123588562,1.0702340602874756,1.2276369333267212,1.1764081716537476,1.106420874595642,0.987223207950592,1.0994782447814941,1.0831855535507202,1.052162766456604,1.1577551364898682,1.2150623798370361,1.100713849067688,1.1389747858047485,1.2141587734222412,1.149848461151123,1.179290533065796,1.1047536134719849,0.9251488447189331,1.0062432289123535,0.982467770576477,0.9089059233665466,0.9668011665344238,0.8745322227478027,0.9429769515991211,0.9747387766838074,0.7950701713562012,0.8848252296447754,0.8353877067565918,0.8832241892814636,0.992207407951355,0.9988499879837036,0.925714373588562,0.8988882899284363,0.852094292640686,0.9776354432106018,0.934512734413147,1.0249618291854858,1.2070589065551758,1.0358295440673828,1.0758056640625,1.2722657918930054,0.8992301821708679,1.0382959842681885,0.7786558866500854,0.895715057849884,0.7895801663398743,0.9132044911384583,0.843906581401825,0.9578853845596313,0.9515247941017151,0.9258345365524292,0.9296989440917969,0.6431360244750977,0.6132811307907104,0.9693700671195984,0.8527082800865173,0.8970244526863098,0.9806517362594604,0.995380163192749,0.8012624979019165,0.9373440146446228,1.0113948583602905,0.884742259979248,0.9694231152534485,0.8638531565666199,0.9821345210075378,0.9308683276176453,0.8432851433753967,1.178263545036316,0.889968752861023,1.0688199996948242,0.9908679723739624,0.8504115343093872,1.0338451862335205,1.079557180404663,1.0410093069076538,0.9529455304145813,1.0634372234344482,1.041901707649231,0.9868599772453308,1.0730124711990356,1.0267908573150635,0.9872397780418396,1.1978492736816406,0.9575969576835632,1.0573595762252808,1.1076537370681763,0.832852840423584,1.0607417821884155,0.8931849598884583,1.0530390739440918,1.1261954307556152,1.0202851295471191,0.704136848449707,0.7022629976272583,1.2306290864944458,1.089708685874939,1.1991405487060547,0.9594826102256775,0.8778456449508667,0.9957708120346069,1.0442665815353394,1.0086400508880615,1.093069076538086,1.0704288482666016,1.2130168676376343,1.248413324356079,1.1819007396697998,1.1525530815124512,1.0914101600646973,1.1395376920700073,1.2273352146148682,1.2792823314666748,1.2677102088928223,1.2825634479522705
pig,0.35856378078460693,0.48397111892700195,0.0,0.535790205001831,0.6652566194534302,0.7737381458282471,0.5434558987617493,0.45878440141677856,0.7543819546699524,0.6021469831466675,1.147911787033081,1.0682299137115479,0.9612176418304443,0.6238773465156555,1.0514272451400757,1.105611801147461,1.2947876453399658,1.1469007730484009,1.1951322555541992,1.0362006425857544,0.8889743685722351,1.0307751893997192,0.9555121660232544,0.9844298958778381,0.9567457437515259,0.9209076166152954,0.9334909319877625,1.0028965473175049,0.9933418035507202,0.9758798480033875,0.8698573112487793,0.884418249130249,0.9729385375976562,1.1457164287567139,1.230507731437683,1.0417914390563965,1.218845248222351,1.156609296798706,1.2244906425476074,1.1710739135742188,1.2105510234832764,1.2788231372833252,1.2306864261627197,1.189975380897522,1.2184207439422607,1.2166634798049927,1.2108529806137085,1.2909462451934814,1.1683965921401978,0.9850276708602905,1.163319706916809,1.190016269683838,1.1105703115463257,1.0861479043960571,1.0900416374206543,1.116770625114441,1.0388180017471313,0.9376129508018494,0.8553466796875,0.8721718788146973,0.8464387059211731,0.8581089973449707,0.9367704391479492,0.8232455253601074,0.8471665382385254,0.7955337166786194,0.8932849764823914,0.976170539855957,0.951636016368866,0.8724862337112427,0.9106995463371277,0.9635894298553467,1.0045020580291748,1.0757462978363037,1.0059741735458374,0.9510067701339722,1.0377436876296997,0.9777709245681763,0.9093297719955444,0.9217215180397034,1.0047188997268677,0.9801586866378784,0.9679185748100281,0.9265540838241577,0.8242419958114624,0.8576028943061829,0.9366914629936218,0.9451990127563477,0.9454361200332642,1.0486711263656616,0.962613046169281,0.8391730785369873,1.0125956535339355,1.0504742860794067,0.9244410991668701,0.9942660331726074,0.8041906356811523,1.0150249004364014,0.9118639230728149,0.8601511716842651,0.9271301031112671,0.8491426706314087,0.9765444397926331,0.8770713806152344,0.8171517848968506,0.926253080368042,1.092872142791748,1.0932669639587402,0.9404036998748779,0.9126107096672058,0.9368495941162109,0.9795026183128357,1.007351040840149,1.054086446762085,1.0574822425842285,1.159874677658081,0.942131519317627,1.0731935501098633,1.1301804780960083,0.8714039325714111,1.1341404914855957,1.041240930557251,1.1513540744781494,1.1809417009353638,0.8653709888458252,0.7295041084289551,0.6379872560501099,1.0769603252410889,0.9471566677093506,1.0294396877288818,0.9475580453872681,0.9856842160224915,0.9479849934577942,0.9154439568519592,0.9189424514770508,1.1630611419677734,1.0995111465454102,1.1956589221954346,1.1817694902420044,1.101054310798645,1.2313430309295654,1.2138034105300903,1.1752420663833618,1.2298942804336548,1.2350910902023315,1.1947370767593384,1.1217271089553833
rooster,0.4369947910308838,0.3363914489746094,0.535790205001831,0.0,0.40832507610321045,0.7595845460891724,0.3075457811355591,0.45056986808776855,0.709060788154602,0.42512810230255127,1.1490390300750732,1.1683745384216309,0.9567212462425232,0.6169067621231079,1.160050868988037,1.2256752252578735,1.3583985567092896,1.3593316078186035,1.2700529098510742,1.1912612915039062,1.0005358457565308,1.2724968194961548,1.1257548332214355,1.2476192712783813,1.1116969585418701,1.1048047542572021,0.9627106189727783,1.277430772781372,0.8533273339271545,0.85896235704422,0.7560034990310669,0.8009035587310791,0.5756921172142029,1.003771185874939,1.3009424209594727,1.0179224014282227,1.074372410774231,1.050919532775879,1.0486950874328613,1.091454029083252,1.170800805091858,1.1926305294036865,1.1830435991287231,1.182603120803833,1.3661459684371948,1.3038392066955566,1.269733190536499,1.3318376541137695,1.1474310159683228,1.121893048286438,1.279768705368042,1.1545575857162476,0.9653346538543701,1.1725231409072876,0.9467270374298096,1.2075185775756836,1.158996343612671,0.611977219581604,0.8283999562263489,0.7595803737640381,0.7612097263336182,0.8909644484519958,0.9735839366912842,0.8696734309196472,0.7956743240356445,0.8000901341438293,0.9058549404144287,0.9201380610466003,1.0403884649276733,1.02994966506958,1.0427122116088867,0.960263729095459,1.246024250984192,0.7302474975585938,0.8682445883750916,0.7792280912399292,0.7955009341239929,0.8985574245452881,0.8106290102005005,0.7798891067504883,0.9309625029563904,0.9736179709434509,0.955105721950531,0.9372916221618652,0.47655200958251953,0.4591207504272461,0.9459430575370789,0.7932602167129517,0.8279553055763245,0.8748576045036316,0.9591727256774902,0.6471874713897705,0.8241145610809326,1.036136507987976,0.7432354092597961,0.8922969102859497,0.7917677164077759,0.9232832193374634,0.8671683669090271,0.8788729906082153,1.0394388437271118,0.8282310962677002,1.0688472986221313,0.8708148002624512,0.7425019145011902,0.9724099040031433,1.0579787492752075,1.0298962593078613,0.8281022310256958,1.0005524158477783,0.8416909575462341,0.9471282362937927,0.9878993034362793,1.0986788272857666,1.0221788883209229,1.2014251947402954,0.842984676361084,1.0290086269378662,1.1588022708892822,0.8829876184463501,1.2033177614212036,1.2128551006317139,1.2381569147109985,1.286651849746704,0.9800755381584167,0.7237120270729065,0.6421123743057251,1.2116912603378296,1.0058292150497437,1.1256768703460693,0.8768312931060791,0.709528923034668,0.8638651371002197,0.9231968522071838,0.8796558976173401,1.2753368616104126,1.123212456703186,1.3316621780395508,1.3131693601608276,1.144536018371582,1.2075356245040894,1.2476887702941895,1.2919881343841553,1.3572086095809937,1.3977831602096558,1.3129695653915405,1.249683141708374
bird,0.5932760238647461,0.40349727869033813,0.6652566194534302,0.40832507610321045,0.0,0.3450978994369507,0.3481813073158264,0.5043699741363525,0.8680359125137329,0.43477189540863037,1.0574716329574585,1.0777623653411865,0.9230379462242126,0.7881722450256348,1.2580100297927856,1.3398139476776123,1.4401676654815674,1.3974355459213257,1.3512485027313232,1.1259477138519287,0.9434919357299805,1.1572515964508057,1.003997564315796,0.9606518745422363,1.0672099590301514,1.0923326015472412,0.9046816229820251,1.224315881729126,1.0781010389328003,0.924293577671051,0.7634621858596802,0.6251342296600342,0.5170542001724243,1.1375806331634521,1.378092885017395,1.0351078510284424,1.2153394222259521,1.142190933227539,1.2296295166015625,1.3155522346496582,1.2746543884277344,1.3470648527145386,1.3731807470321655,1.3678072690963745,1.4387094974517822,1.4438002109527588,1.4277629852294922,1.4225375652313232,0.9841471910476685,1.0369058847427368,1.2930946350097656,1.1886285543441772,0.9513207077980042,1.0859191417694092,1.010067343711853,1.1583727598190308,1.2222709655761719,0.62012779712677,0.8521648645401001,0.6765211820602417,0.716238260269165,0.7456426620483398,0.8537071347236633,0.7002460956573486,0.6267486214637756,0.5822011232376099,0.6047912240028381,0.6574808955192566,0.7592706084251404,1.0329724550247192,0.8437291383743286,0.779579758644104,1.1555676460266113,0.7612407207489014,0.9370663166046143,0.4795486330986023,0.7823659181594849,0.7984802722930908,0.4680267572402954,0.44501757621765137,0.5789639949798584,0.556624710559845,0.51526939868927,0.5355262160301208,0.5823153257369995,0.5071977376937866,0.6116170883178711,0.6247990131378174,0.6301771998405457,0.7528010606765747,0.6282534599304199,0.5614579916000366,0.8471652269363403,1.1517586708068848,0.9286531805992126,0.8925986289978027,0.6296911239624023,0.7652860283851624,0.7728404402732849,0.7192434072494507,0.9769035577774048,0.692172110080719,1.0954432487487793,0.7759573459625244,0.6806155443191528,0.9445417523384094,1.1591185331344604,0.9305258989334106,0.8934078812599182,1.0275861024856567,1.0801289081573486,1.1684894561767578,0.9909666180610657,1.1723520755767822,1.148227334022522,1.273686170578003,0.9860207438468933,1.1499590873718262,1.2972604036331177,0.8093296885490417,1.325181245803833,1.0462826490402222,1.071180820465088,1.1247851848602295,0.8270962834358215,0.7694625854492188,0.8575423955917358,1.401938557624817,1.0016546249389648,1.020477294921875,0.8514700531959534,0.9563018679618835,0.7584982514381409,0.7352402210235596,0.6560412049293518,1.3446353673934937,1.3396797180175781,1.4905321598052979,1.492973804473877,1.35825777053833,1.389371395111084,1.383865475654602,1.4565331935882568,1.4890385866165161,1.4929417371749878,1.4545838832855225,1.3516056537628174
fish,0.8733400106430054,0.7567748427391052,0.7737381458282471,0.7595845460891724,0.3450978994369507,0.0,0.6842838525772095,0.6840857863426208,1.0560191869735718,0.6946811676025391,0.9869664907455444,1.0206975936889648,0.9028816223144531,1.0017169713974,1.2836332321166992,1.3336787223815918,1.426476240158081,1.2959489822387695,1.260947585105896,0.966408908367157,0.8505880236625671,0.906874418258667,0.7887629270553589,0.6315957307815552,0.9076287150382996,0.9080128073692322,0.8309922218322754,1.0509288311004639,1.3755786418914795,1.1296775341033936,1.0198687314987183,0.7834340333938599,0.7696425914764404,1.3830981254577637,1.467443823814392,1.1503379344940186,1.4713670015335083,1.3080170154571533,1.4118845462799072,1.4759111404418945,1.4142653942108154,1.475168228149414,1.442378282546997,1.5927236080169678,1.4500333070755005,1.4702050685882568,1.5144391059875488,1.540088415145874,1.0291426181793213,1.0800212621688843,1.3509445190429688,1.3652827739715576,1.1754753589630127,1.1426259279251099,1.1216036081314087,1.1510745286941528,1.3088574409484863,0.7581798434257507,0.7468017339706421,0.5595834255218506,0.4722992181777954,0.4887908697128296,0.49338966608047485,0.3937263488769531,0.4165697693824768,0.4471263885498047,0.39247918128967285,0.5564395189285278,0.4253286123275757,0.7431604266166687,0.6820090413093567,0.6406998038291931,0.6881531476974487,1.0530173778533936,1.1834999322891235,0.6316457986831665,1.0767481327056885,1.0523440837860107,0.47523701190948486,0.5194448232650757,0.5991604328155518,0.4088665246963501,0.3409090042114258,0.2890578508377075,0.8494266271591187,0.741437554359436,0.3104240894317627,0.5600632429122925,0.5674739480018616,0.7906429767608643,0.38169825077056885,0.691371738910675,1.1052496433258057,1.338439702987671,1.1196640729904175,1.0230745077133179,0.5672062635421753,0.7320443987846375,0.7832674980163574,0.7121873497962952,0.7018697261810303,0.5836045742034912,0.9575645923614502,0.550866425037384,0.6154980063438416,0.8550659418106079,1.1187520027160645,0.8783242702484131,0.7495012283325195,0.8416452407836914,0.9445290565490723,1.1745012998580933,0.9484721422195435,1.2010904550552368,1.2621999979019165,1.3590823411941528,1.0702136754989624,1.2798309326171875,1.4627529382705688,0.8714507818222046,1.3946338891983032,0.9726255536079407,1.0871012210845947,1.1502301692962646,0.6143710017204285,0.8821925520896912,1.0487858057022095,1.3339776992797852,0.9534063339233398,0.9216516613960266,0.9891058802604675,1.2035744190216064,0.7273760437965393,0.6550261378288269,0.6121971607208252,1.3572211265563965,1.4271818399429321,1.4967902898788452,1.4884214401245117,1.3248050212860107,1.3695489168167114,1.3547842502593994,1.4745712280273438,1.484786868095398,1.399498701095581,1.3777964115142822,1.2559980154037476
butterfly,0.5165825486183167,0.35741299390792847,0.5434558987617493,0.3075457811355591,0.3481813073158264,0.6842838525772095,0.0,0.3756169080734253,0.6170650720596313,0.469168484210968,1.1110957860946655,1.0361939668655396,0.9901987910270691,0.7306438684463501,1.1259549856185913,1.1972283124923706,1.252502202987671,1.207249402999878,1.275339961051941,1.1257673501968384,1.0427696704864502,1.1483640670776367,1.0891237258911133,1.1385931968688965,1.0460270643234253,1.0774235725402832,0.9349782466888428,1.1739377975463867,0.9740148782730103,0.8530030250549316,0.8632457256317139,0.8662789463996887,0.7271044254302979,1.1729230880737305,1.312605619430542,1.027753233909607,1.1818196773529053,1.1357605457305908,1.20796537399292,1.1809717416763306,1.1565208435058594,1.2858926057815552,1.2677011489868164,1.2089760303497314,1.2786312103271484,1.3262465000152588,1.2076871395111084,1.2711597681045532,1.1432920694351196,1.028984546661377,1.154544472694397,1.0450712442398071,0.9864745140075684,1.101057529449463,0.9764350056648254,1.0865247249603271,1.1179814338684082,0.7606817483901978,0.8394920825958252,0.8174266815185547,0.8605393171310425,0.9436468482017517,0.9824299812316895,0.8882455825805664,0.8637106418609619,0.8839222192764282,0.9240981340408325,0.928132951259613,1.0314565896987915,1.0259441137313843,0.9943702816963196,1.011298418045044,1.158916711807251,0.9271069765090942,1.0321120023727417,0.7681921720504761,0.857750415802002,0.7390847206115723,0.8196147680282593,0.7594238519668579,0.8981263637542725,0.9066622257232666,0.9037629961967468,0.910158097743988,0.6105694770812988,0.6185352802276611,0.9727932214736938,0.9079018831253052,0.9179849624633789,1.0480633974075317,0.9822331070899963,0.7802512645721436,0.9112326502799988,1.0394539833068848,0.9181753396987915,1.0049344301223755,0.8061144948005676,0.9597534537315369,0.8800352215766907,0.8415467739105225,1.0397099256515503,0.8186802864074707,0.9851440787315369,0.9147149324417114,0.7584934234619141,0.9089581966400146,1.04038667678833,0.9563369154930115,0.8761630654335022,0.9950569868087769,0.9490169882774353,0.9295418858528137,0.9933071732521057,1.0826780796051025,0.9871075749397278,1.21084463596344,0.8723084926605225,1.019423007965088,1.0887587070465088,0.8471136689186096,1.065226674079895,1.0873851776123047,1.0603926181793213,1.0855376720428467,0.8784509301185608,0.7352699041366577,0.7860063314437866,1.1263363361358643,1.0201225280761719,1.1139496564865112,0.8667469620704651,0.871302604675293,1.0152778625488281,1.0217770338058472,0.981847882270813,1.2187745571136475,1.1842117309570312,1.2976669073104858,1.2715537548065186,1.1912471055984497,1.2644128799438477,1.2181224822998047,1.2440545558929443,1.3058124780654907,1.341808557510376,1.3305854797363281,1.2902822494506836
frog,0.5454378128051758,0.4555434584617615,0.45878440141677856,0.45056986808776855,0.5043699741363525,0.6840857863426208,0.3756169080734253,0.0,0.46243607997894287,0.506658673286438,1.1677457094192505,1.0517821311950684,1.108454704284668,0.6977326273918152,1.0471440553665161,1.1656938791275024,1.202810287475586,1.0645774602890015,1.2952585220336914,1.0943375825881958,1.073154330253601,1.1279499530792236,1.1148990392684937,1.1383037567138672,1.0946815013885498,1.1143475770950317,1.0429377555847168,1.1042934656143188,0.9297153353691101,0.7923378348350525,0.8972895741462708,0.9211010932922363,1.0208414793014526,1.3279054164886475,1.3603163957595825,1.1775157451629639,1.2927627563476562,1.244821548461914,1.3866336345672607,1.285444974899292,1.2781797647476196,1.450514554977417,1.3714332580566406,1.209670066833496,1.25323486328125,1.315072774887085,1.1479535102844238,1.285663366317749,1.2089265584945679,0.8281505703926086,0.9636552333831787,1.0286533832550049,0.9981451630592346,1.0685242414474487,0.9857432246208191,1.081953525543213,0.9986661076545715,0.9308544993400574,0.7064545154571533,0.801850438117981,0.8515259027481079,0.8871691226959229,0.8889245986938477,0.8020053505897522,0.9356501698493958,0.943791389465332,1.0320708751678467,1.101845622062683,1.1109760999679565,1.0177507400512695,1.1076416969299316,1.1445672512054443,1.0556581020355225,1.1569998264312744,0.9699516892433167,0.9082688689231873,0.856216311454773,0.6201807260513306,0.8929477334022522,0.9108681678771973,1.0435705184936523,1.0262157917022705,1.0471224784851074,0.9895731210708618,0.7278963327407837,0.6954522132873535,0.976081132888794,0.9670840501785278,1.0341017246246338,1.2724295854568481,1.1659358739852905,0.9459760189056396,1.0290019512176514,0.9606941938400269,0.9251613616943359,0.9840201139450073,0.7921932935714722,0.9466511011123657,0.7960403561592102,0.7092913389205933,0.7655164003372192,0.5563126802444458,0.6277380585670471,0.7882044315338135,0.6584106683731079,0.7618575096130371,0.8217202425003052,0.7543126344680786,0.7233710289001465,0.7143527865409851,0.7951393127441406,0.7299710512161255,0.9018150568008423,0.8611186146736145,0.9172930717468262,1.2245891094207764,0.7437583804130554,0.8791694641113281,1.0130828619003296,0.7765297293663025,0.9960542917251587,1.0523395538330078,1.1247167587280273,0.9208765029907227,0.6266604065895081,0.4376019239425659,0.5461254715919495,0.8667739629745483,0.8678169846534729,1.1268317699432373,0.8404973149299622,0.9181018471717834,1.117006778717041,1.1133371591567993,1.0839447975158691,1.1561064720153809,1.0980019569396973,1.1761845350265503,1.095396876335144,1.1457819938659668,1.338645577430725,1.200591802597046,1.1856986284255981,1.2622872591018677,1.2875803709030151,1.368216872215271,1.3290138244628906
alligator,0.689702033996582,0.5990902781486511,0.7543819546699524,0.709060788154602,0.8680359125137329,1.0560191869735718,0.6170650720596313,0.46243607997894287,0.0,0.7605271935462952,0.8045352101325989,0.7850810289382935,0.7292570471763611,0.4613131284713745,0.849153995513916,0.8515685796737671,0.6550741195678711,0.8899228572845459,0.921667754650116,1.0691088438034058,1.3369213342666626,1.2803027629852295,1.3710535764694214,1.3801811933517456,1.2580790519714355,1.2586305141448975,1.2285655736923218,1.1225560903549194,0.8542501926422119,0.7133787870407104,1.0037400722503662,1.1108274459838867,1.23251473903656,1.1314408779144287,0.814115047454834,1.1012450456619263,0.9383460283279419,0.8515470027923584,1.0114117860794067,0.8631330728530884,0.8889298439025879,0.9853700995445251,0.9863178133964539,0.7867594957351685,0.6443939805030823,0.7686662673950195,0.6812025308609009,0.7942769527435303,1.191253662109375,0.7201835513114929,0.6608480215072632,0.6687624454498291,0.864321231842041,0.8513537645339966,0.7642202973365784,0.6862985491752625,0.709284782409668,1.275195598602295,1.1824418306350708,1.3562015295028687,1.4009983539581299,1.4777559041976929,1.3809731006622314,1.4281156063079834,1.4881634712219238,1.4669665098190308,1.5158915519714355,1.525449275970459,1.5133423805236816,1.249049186706543,1.4062166213989258,1.4740869998931885,1.236767292022705,1.1882160902023315,1.0636271238327026,1.2197812795639038,0.9551007151603699,0.7364000082015991,1.3920152187347412,1.3235459327697754,1.3267695903778076,1.457188606262207,1.4646283388137817,1.4962875843048096,0.9680303931236267,1.0545566082000732,1.5291389226913452,1.4429726600646973,1.525191307067871,1.5011061429977417,1.5018022060394287,1.3589365482330322,1.134090542793274,0.9527995586395264,1.137968897819519,1.2706012725830078,1.4511208534240723,1.383599042892456,1.2430170774459839,1.178516149520874,1.1296892166137695,1.1348559856414795,0.8465739488601685,1.269199252128601,1.177345633506775,0.9538987874984741,0.7313210964202881,0.9791268706321716,0.922063410282135,0.9329273700714111,0.9442463517189026,0.5099588632583618,1.0817956924438477,0.8444693684577942,0.7975112795829773,0.8529745936393738,1.0247571468353271,0.9394110441207886,0.8244287967681885,0.9914771318435669,0.5413792729377747,0.8228853344917297,0.8609683513641357,0.8408604860305786,1.2061550617218018,1.0122426748275757,0.8671454191207886,0.5595937371253967,0.9650700092315674,1.2266649007797241,0.9652547240257263,0.9079129695892334,1.2372976541519165,1.3441184759140015,1.3860598802566528,0.6166936755180359,0.7685247659683228,0.6885330080986023,0.6870424747467041,0.7705539464950562,0.8156455755233765,0.7329849004745483,0.6553686857223511,0.7379497289657593,0.7479355335235596,0.8601254820823669,1.0071381330490112
owl,0.46765321493148804,0.4617835283279419,0.6021469831466675,0.42512810230255127,0.43477189540863037,0.6946811676025391,0.469168484210968,0.506658673286438,0.7605271935462952,0.0,0.9954771995544434,1.000580906867981,0.8778291940689087,0.6374805569648743,1.0123006105422974,1.0435386896133423,1.327075481414795,1.250758409500122,1.2820757627487183,1.129941463470459,0.9857533574104309,1.1996744871139526,1.0587751865386963,1.1415654420852661,1.0538231134414673,1.087407112121582,0.917148768901825,1.212540626525879,0.9762620329856873,0.8837488889694214,0.8023663759231567,0.8056866526603699,0.8098706603050232,1.2206993103027344,1.3855276107788086,1.2276732921600342,1.2388458251953125,1.163428544998169,1.2423239946365356,1.211672306060791,1.2114672660827637,1.3438620567321777,1.3428529500961304,1.2271431684494019,1.2561372518539429,1.3333685398101807,1.2766989469528198,1.3594331741333008,1.2366639375686646,1.0796024799346924,1.2102755308151245,1.1534905433654785,1.0074231624603271,1.0473781824111938,0.9308673739433289,1.0507310628890991,1.1494065523147583,0.7091246247291565,0.7620081901550293,0.7718566656112671,0.7030917406082153,0.8190492987632751,0.9342440366744995,0.7939184904098511,0.823564350605011,0.7322806119918823,0.8704715967178345,0.9063903093338013,0.9415174722671509,0.9571260213851929,0.961844801902771,0.9780850410461426,1.1629602909088135,1.0272186994552612,1.0372241735458374,0.7416534423828125,0.916087806224823,0.9627344012260437,0.8345458507537842,0.7827414274215698,0.9879212975502014,0.9401071667671204,0.9271845817565918,0.9119114279747009,0.6271382570266724,0.5549533367156982,0.8891416788101196,0.8458315134048462,0.8865307569503784,1.0386035442352295,1.0062580108642578,0.7240445017814636,0.849622368812561,1.0089237689971924,0.8920969367027283,1.0153532028198242,0.7870112657546997,0.9499796628952026,0.8597276210784912,0.6572152376174927,0.9748092293739319,0.7428520917892456,0.9296984076499939,0.7877989411354065,0.6907329559326172,0.81733238697052,1.0304234027862549,0.9105184674263,0.811660647392273,0.8766316771507263,0.8546938300132751,0.8677576780319214,0.9061206579208374,1.0198472738265991,1.021477460861206,1.2704792022705078,0.9322608113288879,1.106107473373413,1.2036116123199463,0.9031464457511902,1.129409909248352,0.9106603264808655,1.095948338508606,1.203776478767395,0.9138471484184265,0.7642951011657715,0.6009679436683655,1.1391372680664062,0.9290322661399841,1.0953752994537354,0.8320673704147339,0.8927720189094543,0.8579235076904297,0.89136803150177,0.8717657923698425,1.110708236694336,1.0640686750411987,1.1975373029708862,1.1618136167526245,1.0920511484146118,1.243764877319336,1.1880459785461426,1.2624467611312866,1.2883135080337524,1.3470020294189453,1.3368287086486816,1.312333345413208
