,dog,cat,fish,frog,ear,nose,eye,tooth,mouth,face,hair,leg,arm,hand,finger,toe,foot,lamp,drawer,bench,chair,ladder,table,couch,bed,crib,window,door,closet,refrigerator,oven,sink,bathtub,stroller,car,hose,slide,tree,jacket,sweater,shirt,bib,pajamas,dress,jeans,pants,shorts,slipper,shoe,sock,mitten,glove,blanket,pillow,towel,napkin,doll,toy,tray,box,book,paper,basket,purse,radio,vacuum,comb,shovel,hat,glasses,necklace,belt,watch,clock,scissors,fork,spoon,crayon,pencil,pen,knife,broom,toothbrush,gum,balloon,ball,nail,carrot,egg,orange,pumpkin,apple,strawberry,melon,pickle,banana,flower,plant,soup,pizza,muffin,cookie,bread,hamburger,plate,bowl,tape,bottle,jar,glass,cup,bucket,can
dog,0.0,0.38366180658340454,0.9159258604049683,0.784374475479126,1.085559606552124,0.8739643096923828,0.9897874593734741,1.105245590209961,1.0782440900802612,0.8735076189041138,0.9229681491851807,0.8538047671318054,1.0692623853683472,1.0678181648254395,1.1639330387115479,1.0961790084838867,1.0909855365753174,1.1098544597625732,1.1262072324752808,1.066063404083252,1.0201998949050903,1.007249355316162,1.0112454891204834,0.8803894519805908,0.9305537939071655,0.9249809384346008,1.016435146331787,1.0593172311782837,0.983993649482727,1.0505647659301758,1.0073329210281372,1.0872647762298584,1.0646132230758667,0.9513109922409058,0.9041092991828918,1.0402055978775024,0.978660523891449,0.9668804407119751,0.9237231612205505,0.9894267916679382,0.9855302572250366,0.9483470320701599,0.9529010653495789,0.9598072171211243,0.9699637293815613,0.9778308868408203,0.9782764911651611,1.075613260269165,1.0200003385543823,1.0031362771987915,0.7675127983093262,0.9422681927680969,0.9361896514892578,0.9824274778366089,1.0178043842315674,1.0617632865905762,0.6907165050506592,0.8411858081817627,1.0921417474746704,1.069519281387329,0.9976760745048523,1.06488037109375,1.040907859802246,1.0559746026992798,1.0130971670150757,0.9763101935386658,1.122188925743103,1.0735890865325928,1.0363471508026123,0.9628888368606567,1.1400694847106934,1.0634431838989258,1.1182891130447388,1.0521291494369507,1.056847333908081,1.1870461702346802,1.1749080419540405,1.1350065469741821,1.1519510746002197,1.1776301860809326,1.1914310455322266,1.0976483821868896,1.0729269981384277,1.1673314571380615,1.0256377458572388,0.9903050661087036,1.1220831871032715,1.0175392627716064,1.0176856517791748,1.004399061203003,0.9983907341957092,1.0144174098968506,1.0195635557174683,0.9506388902664185,1.0444562435150146,0.9672125577926636,0.9691802263259888,0.9762285947799683,1.0646417140960693,0.977609395980835,0.9211941957473755,0.8175751566886902,0.8823081851005554,0.970903754234314,1.1269965171813965,1.101054310798645,1.0961898565292358,1.1002297401428223,1.0981969833374023,1.0844722986221313,1.0670416355133057,1.1043181419372559,1.0635454654693604
cat,0.38366180658340454,0.0,0.9192837476730347,0.9059129953384399,1.0795012712478638,0.858983039855957,0.9466104507446289,1.1008785963058472,1.0930639505386353,0.7796933650970459,0.7480294704437256,0.8105640411376953,0.9607241749763489,1.0366888046264648,1.168790578842163,1.1348990201950073,1.1310269832611084,1.0872673988342285,1.166419267654419,0.8990783095359802,0.9284377098083496,0.9961265921592712,0.9261258244514465,0.8161567449569702,0.8539291620254517,1.0150725841522217,0.8804729580879211,0.8975110650062561,0.8607034683227539,1.0136066675186157,0.9597169756889343,0.9937651753425598,0.9443070888519287,0.9758921265602112,0.9567538499832153,1.0223013162612915,0.9023860692977905,0.9756617546081543,0.7926343083381653,0.845126748085022,0.8248527646064758,0.888186514377594,0.8746299743652344,0.8803911805152893,0.7938560843467712,0.8823114037513733,0.9726829528808594,1.1386150121688843,1.0278072357177734,0.9998660087585449,0.8003227114677429,1.0196337699890137,0.8422225713729858,1.0340312719345093,1.08673894405365,1.1237220764160156,0.9750292897224426,1.0657206773757935,1.1311928033828735,1.122941255569458,1.0125402212142944,1.0315607786178589,1.1555359363555908,1.0905169248580933,1.109061360359192,0.8948152661323547,1.0057079792022705,1.0768144130706787,1.043166160583496,0.9590780138969421,1.1402127742767334,1.0832756757736206,1.1045153141021729,1.1906622648239136,1.0682132244110107,1.1390821933746338,1.2038910388946533,1.2205802202224731,1.2235219478607178,1.2055673599243164,1.1185091733932495,1.1283351182937622,1.1178131103515625,1.192457914352417,1.1067641973495483,1.116592288017273,1.1201647520065308,1.113064169883728,1.1083588600158691,1.1584197282791138,1.1322860717773438,1.1524474620819092,1.1472549438476562,0.9669085144996643,1.107804298400879,1.0946650505065918,1.064704418182373,1.0094056129455566,1.1162652969360352,1.00236976146698,1.0710532665252686,0.9859194159507751,0.9907734394073486,1.0874955654144287,1.2270596027374268,1.1906518936157227,1.2408559322357178,1.1704955101013184,1.1697688102722168,1.0251426696777344,1.2291078567504883,1.1841483116149902,1.1213901042938232
fish,0.9159258604049683,0.9192837476730347,0.0,0.5526875257492065,0.8320097327232361,0.8317693471908569,0.8046243786811829,0.7807006239891052,0.9695368409156799,1.1300923824310303,1.0873773097991943,1.163750171661377,1.2062758207321167,1.173228144645691,0.8778647184371948,0.7851307392120361,0.8088791370391846,0.8031273484230042,1.1205772161483765,1.158208966255188,1.2473914623260498,1.1201714277267456,1.3370765447616577,1.231269359588623,1.2608705759048462,1.3137192726135254,1.0943481922149658,1.176117181777954,1.2918883562088013,1.1823599338531494,1.2273931503295898,1.2787318229675293,1.271121621131897,1.2918837070465088,0.86449134349823,1.196151614189148,1.290985107421875,0.9990521669387817,1.1772534847259521,1.2385236024856567,1.2528517246246338,1.261584758758545,1.3256375789642334,1.2401032447814941,1.1761205196380615,1.174767017364502,1.2650985717773438,0.5625730752944946,0.8662846088409424,0.9884064793586731,1.0592330694198608,0.8836918473243713,1.2239853143692017,1.0132558345794678,0.9029932022094727,0.897678792476654,1.0287954807281494,1.2364273071289062,1.3561370372772217,1.2360422611236572,1.1519432067871094,1.127158761024475,1.1208703517913818,1.1350207328796387,0.9592154026031494,1.3208777904510498,0.8504189848899841,0.7530214190483093,0.7602051496505737,0.877447783946991,0.974865734577179,0.5862525701522827,0.8316386938095093,0.8135097026824951,1.0516955852508545,0.746200442314148,0.7838712930679321,0.5565289855003357,0.60883629322052,0.6403977274894714,0.6146138906478882,0.9243090748786926,1.05081045627594,0.9090318083763123,0.8665919303894043,0.9195142984390259,0.8262045383453369,0.7332339286804199,0.8222224116325378,0.7902792692184448,0.8395823240280151,0.8601980209350586,0.7439985871315002,1.1030877828598022,0.8183148503303528,0.5781762599945068,0.7906316518783569,0.8035361766815186,1.0630755424499512,0.9165161848068237,0.944732666015625,0.7782174944877625,0.9230754971504211,0.8922758102416992,0.8892632126808167,1.0389220714569092,1.0619394779205322,0.8643323183059692,1.1869335174560547,1.165731430053711,1.0306706428527832,1.1686714887619019,1.1038827896118164
frog,0.784374475479126,0.9059129953384399,0.5526875257492065,0.0,0.9110516309738159,0.8932284116744995,0.8413301706314087,0.9048205614089966,1.0271401405334473,0.9316155910491943,1.114177942276001,1.2122085094451904,1.2037421464920044,1.1225285530090332,0.9475218057632446,0.9095760583877563,0.9735103845596313,0.9523683786392212,1.1058311462402344,1.1829187870025635,1.2344098091125488,1.107275128364563,1.2344881296157837,1.0812751054763794,1.1315972805023193,1.1673097610473633,1.1296329498291016,1.1850852966308594,1.23470139503479,1.1821961402893066,1.2159898281097412,1.236758828163147,1.207108497619629,1.1649858951568604,0.8539928197860718,1.181959629058838,1.1995902061462402,0.9933644533157349,1.1105455160140991,1.157458782196045,1.150268793106079,1.1463959217071533,1.2240550518035889,1.1647107601165771,1.1700036525726318,1.1873393058776855,1.2077916860580444,0.8013664484024048,0.9971014261245728,1.124260425567627,1.0208396911621094,0.8744076490402222,1.1600327491760254,0.9435346126556396,1.0240219831466675,1.013062596321106,0.7966896891593933,0.9002483487129211,1.1420235633850098,1.126602292060852,0.9859918355941772,1.042050838470459,1.0809355974197388,1.112087607383728,1.020937442779541,1.2751789093017578,1.0307509899139404,0.9367495775222778,0.779155969619751,0.7763990163803101,1.054388165473938,0.8290279507637024,0.8769623637199402,0.8373281955718994,1.0532127618789673,0.9844706654548645,0.9401702284812927,0.6994655132293701,0.8031975030899048,0.8540103435516357,0.9187750816345215,0.9690564274787903,1.1093493700027466,0.9878454804420471,0.9490035176277161,0.8736490607261658,0.9127210378646851,0.7677030563354492,0.8305962085723877,0.7790979146957397,0.7736560702323914,0.8008720874786377,0.7446388602256775,0.9375114440917969,0.6574217677116394,0.5565811991691589,0.8042117357254028,0.8036611676216125,1.0480483770370483,0.8478171229362488,0.8725835680961609,0.761732280254364,0.9048721790313721,0.7745442986488342,0.9418681859970093,1.0745203495025635,0.9709901213645935,0.9010158181190491,1.122314691543579,1.2053991556167603,0.9840730428695679,1.099193811416626,1.1748884916305542
ear,1.085559606552124,1.0795012712478638,0.8320097327232361,0.9110516309738159,0.0,0.37725377082824707,0.5533187389373779,0.4970173239707947,0.5057626962661743,0.7466266751289368,0.6584094762802124,0.9159335494041443,0.8725951313972473,0.767228364944458,0.4921846389770508,0.48287200927734375,0.6539552211761475,1.0240622758865356,1.2457455396652222,1.1988388299942017,1.2190052270889282,1.1879597902297974,1.3275017738342285,1.136695384979248,1.1933869123458862,1.2759785652160645,1.1970030069351196,1.2327017784118652,1.244401454925537,1.294297695159912,1.2479259967803955,1.2574312686920166,1.2307648658752441,1.2177857160568237,1.063133955001831,1.1943871974945068,1.2380571365356445,1.0864328145980835,0.9930909276008606,1.0605634450912476,0.987058699131012,0.9618380665779114,1.1037017107009888,1.0366345643997192,0.9681372046470642,0.9428855180740356,0.9699308276176453,0.8626657724380493,1.0375179052352905,1.0345046520233154,1.0244190692901611,0.9593450427055359,1.1809179782867432,1.1175203323364258,0.9894429445266724,1.0045138597488403,1.0501707792282104,1.1882236003875732,1.306604027748108,1.336706280708313,1.1901649236679077,1.143634557723999,1.2713708877563477,1.1566938161849976,0.9923120737075806,1.293626308441162,1.0134836435317993,1.0711299180984497,0.6324530839920044,0.5449551939964294,0.45126187801361084,0.7850055694580078,0.9439814686775208,1.0794856548309326,1.1755857467651367,1.027005910873413,0.9983800649642944,0.7673892974853516,0.8588628172874451,0.834173858165741,1.0214836597442627,1.1039353609085083,1.020524501800537,0.8081917762756348,0.9821854829788208,0.9737758636474609,0.4542754292488098,0.744624137878418,0.83130943775177,0.8951078653335571,0.9328348636627197,0.8908178210258484,0.8690857291221619,1.1336467266082764,0.7973428964614868,0.8200344443321228,1.0239325761795044,1.0423182249069214,1.0952956676483154,1.0576093196868896,1.0214896202087402,0.9213871359825134,0.9305734634399414,0.8868348598480225,1.1042084693908691,1.1597706079483032,1.1422739028930664,1.0181013345718384,1.2916723489761353,1.2256381511688232,1.0877948999404907,1.2895853519439697,1.2482953071594238
nose,0.8739643096923828,0.858983039855957,0.8317693471908569,0.8932284116744995,0.37725377082824707,0.0,0.3546096086502075,0.5267632603645325,0.4471740126609802,0.5737297534942627,0.6557955741882324,0.8382307291030884,0.9628764986991882,0.746433436870575,0.5208058953285217,0.49636006355285645,0.7066710591316223,0.9552040100097656,1.251440167427063,1.2401740550994873,1.2978806495666504,1.2366065979003906,1.3544296026229858,1.165540337562561,1.213670253753662,1.2777894735336304,1.136993408203125,1.1760389804840088,1.251064419746399,1.3128952980041504,1.271955132484436,1.2580389976501465,1.2507896423339844,1.2744150161743164,1.0222917795181274,1.1411164999008179,1.2663710117340088,1.1204255819320679,1.0968563556671143,1.1095894575119019,1.0679186582565308,1.077841877937317,1.1406465768814087,1.1101980209350586,1.0678274631500244,1.0612874031066895,1.0474607944488525,0.8613508343696594,1.0601927042007446,1.0613138675689697,0.9653162956237793,1.0240827798843384,1.2243916988372803,1.2225475311279297,1.1306196451187134,1.1210331916809082,0.9967079162597656,1.1852103471755981,1.3288463354110718,1.3216063976287842,1.270116925239563,1.211105227470398,1.3121600151062012,1.2909436225891113,1.114631175994873,1.292405366897583,1.0718555450439453,1.1492253541946411,0.7537187933921814,0.4787987470626831,0.6284105181694031,0.9320200085639954,1.019436001777649,1.0314682722091675,1.2199327945709229,1.0750665664672852,1.0184345245361328,0.8499559760093689,0.9182033538818359,0.9153232574462891,1.0365610122680664,1.1553261280059814,1.0388009548187256,0.6727449893951416,0.8367568254470825,0.8323370218276978,0.38279294967651367,0.76189786195755,0.6936551332473755,0.8078955411911011,0.8998974561691284,0.7846230268478394,0.8843528032302856,1.0342824459075928,0.7068390846252441,0.9022581577301025,1.0390100479125977,1.073788046836853,1.0436511039733887,1.028085708618164,0.9404650926589966,0.7735691666603088,0.9237149357795715,0.8847217559814453,1.0991687774658203,1.1526880264282227,1.0833035707473755,1.0446181297302246,1.227492332458496,1.0879477262496948,1.0986452102661133,1.324082851409912,1.2599788904190063
eye,0.9897874593734741,0.9466104507446289,0.8046243786811829,0.8413301706314087,0.5533187389373779,0.3546096086502075,0.0,0.6249499320983887,0.6071433424949646,0.8186337947845459,0.7779252529144287,1.0110939741134644,1.0282139778137207,0.9245818257331848,0.659916341304779,0.640339195728302,0.7946339249610901,0.9623444676399231,1.1492855548858643,1.1607370376586914,1.2441155910491943,1.133955478668213,1.2915040254592896,1.153170108795166,1.174025058746338,1.241589069366455,1.0551109313964844,1.132467269897461,1.1918457746505737,1.2617586851119995,1.2050005197525024,1.2691423892974854,1.2301470041275024,1.2166837453842163,0.9660733938217163,1.1704645156860352,1.2556686401367188,1.122596263885498,1.0730509757995605,1.083269476890564,1.07942533493042,1.1334964036941528,1.1377758979797363,1.061863660812378,1.0690374374389648,1.004874587059021,1.029102087020874,0.8354682922363281,0.9987241625785828,1.0607829093933105,1.1251730918884277,1.007529377937317,1.1859381198883057,1.1453273296356201,1.0923575162887573,1.1085964441299438,1.0107431411743164,1.2191834449768066,1.3064377307891846,1.2436751127243042,1.1884318590164185,1.1606907844543457,1.2270057201385498,1.1303848028182983,0.9629713296890259,1.2528319358825684,1.003592610359192,1.0440046787261963,0.7282576560974121,0.3945746421813965,0.7621117830276489,0.8059315085411072,0.9297855496406555,0.9017318487167358,1.1392922401428223,1.008461356163025,0.9976963400840759,0.7536885738372803,0.8280133008956909,0.7917913198471069,0.932946503162384,1.063835859298706,1.0757968425750732,0.8131750822067261,0.9285269975662231,0.8975156545639038,0.5415514707565308,0.833420991897583,0.7966369986534119,0.8910826444625854,0.9617036581039429,0.8720663785934448,0.926424503326416,1.1540913581848145,0.874431312084198,0.8621159195899963,0.9820541739463806,1.003501296043396,1.043418526649475,1.001923680305481,0.9928077459335327,0.9161165356636047,1.010090708732605,0.9384301900863647,1.0599288940429688,1.1368541717529297,1.0283102989196777,1.0427998304367065,1.3055551052093506,1.1850149631500244,1.0593773126602173,1.2488027811050415,1.2196173667907715
tooth,1.105245590209961,1.1008785963058472,0.7807006239891052,0.9048205614089966,0.4970173239707947,0.5267632603645325,0.6249499320983887,0.0,0.19145190715789795,0.8064467310905457,0.8295387029647827,0.9399412870407104,0.9925346970558167,0.8983680605888367,0.5780155062675476,0.5313332676887512,0.6884677410125732,0.9451568722724915,1.2267677783966064,1.1349661350250244,1.2535595893859863,1.1564674377441406,1.3130722045898438,1.215836763381958,1.2460265159606934,1.2695732116699219,1.1537047624588013,1.2081259489059448,1.244017481803894,1.2753170728683472,1.2765169143676758,1.232978105545044,1.1663644313812256,1.2433373928070068,1.0101991891860962,1.1719694137573242,1.2225385904312134,1.1176038980484009,1.1171642541885376,1.1098248958587646,1.0644880533218384,1.1072685718536377,1.1659371852874756,1.1209712028503418,1.0770026445388794,1.030251383781433,1.0383920669555664,0.8553684949874878,1.049186110496521,1.072226881980896,1.176164150238037,1.08804452419281,1.2618019580841064,1.2204755544662476,1.1579725742340088,1.1207478046417236,1.0729838609695435,1.1859973669052124,1.267641544342041,1.298079252243042,1.2039116621017456,1.1528327465057373,1.2227611541748047,1.2056896686553955,1.065737009048462,1.3056309223175049,0.9073559045791626,0.9729103446006775,0.8055739402770996,0.6995185613632202,0.6244665384292603,0.755580723285675,0.8833399415016174,0.9730927348136902,1.1396310329437256,0.9233424663543701,0.9382926225662231,0.6323320269584656,0.7682292461395264,0.7819361090660095,0.8682504892349243,1.075193166732788,0.8564258813858032,0.5849696397781372,0.9459987282752991,0.9241582155227661,0.47135090827941895,0.73298579454422,0.7973171472549438,0.8627334237098694,0.9100170731544495,0.8368337154388428,0.8059036731719971,1.1161495447158813,0.7378845810890198,0.7232757806777954,0.9330460429191589,0.9704805016517639,1.061168909072876,1.010140299797058,0.9793485999107361,0.9192973971366882,0.9202069640159607,0.8961790204048157,0.9906764030456543,1.0976554155349731,1.0267442464828491,0.9568222165107727,1.1837151050567627,1.2109688520431519,1.0271704196929932,1.2005305290222168,1.220228910446167
mouth,1.0782440900802612,1.0930639505386353,0.9695368409156799,1.0271401405334473,0.5057626962661743,0.4471740126609802,0.6071433424949646,0.19145190715789795,0.0,0.6990288496017456,0.7859752178192139,0.8683257102966309,0.9214606285095215,0.7999125123023987,0.6384234428405762,0.6287848949432373,0.7815897464752197,1.080536961555481,1.1762984991073608,1.1278759241104126,1.212527871131897,1.1201605796813965,1.2282373905181885,1.1406763792037964,1.1578816175460815,1.1910545825958252,1.1236023902893066,1.1631425619125366,1.13499915599823,1.2117600440979004,1.1838173866271973,1.1726279258728027,1.1327859163284302,1.153380274772644,1.0512844324111938,1.0649875402450562,1.1264917850494385,1.0737742185592651,1.0390024185180664,0.9923211336135864,0.9616061449050903,1.020079255104065,1.0460156202316284,1.0187650918960571,1.012451171875,0.9798176884651184,0.9262986779212952,0.9772324562072754,1.011583685874939,1.0043879747390747,1.0850279331207275,1.0891748666763306,1.1546627283096313,1.1907212734222412,1.1636157035827637,1.1655998229980469,1.0687243938446045,1.0910170078277588,1.1487547159194946,1.2214810848236084,1.111657738685608,1.0842156410217285,1.1527678966522217,1.1333765983581543,1.078330636024475,1.1788886785507202,0.9529862999916077,1.1496522426605225,0.8946376442909241,0.6710541844367981,0.53754723072052,0.9797643423080444,1.0362586975097656,1.060687780380249,1.0748918056488037,1.0151532888412476,1.0076302289962769,0.8814710378646851,0.9507610201835632,0.9413745403289795,1.0460258722305298,1.0766805410385132,0.8673660159111023,0.6671434640884399,0.989520788192749,0.9664703011512756,0.5880879163742065,0.8155115842819214,0.9676562547683716,0.9432754516601562,0.9883021116256714,0.861759603023529,0.8491575121879578,1.0033271312713623,0.7755249738693237,0.935965895652771,1.0030922889709473,1.038132667541504,1.0227543115615845,0.9899874925613403,0.9877066016197205,1.000113844871521,0.9762539267539978,0.9569888114929199,1.0192382335662842,1.0760419368743896,1.0251312255859375,1.0601270198822021,1.1173362731933594,1.046687364578247,1.015352725982666,1.1643714904785156,1.1933799982070923
face,0.8735076189041138,0.7796933650970459,1.1300923824310303,0.9316155910491943,0.7466266751289368,0.5737297534942627,0.8186337947845459,0.8064467310905457,0.6990288496017456,0.0,0.45293933153152466,0.6937898993492126,0.7413070201873779,0.7839952707290649,0.9086212515830994,0.8439428210258484,0.9239487051963806,1.2462867498397827,1.1947731971740723,0.9909722208976746,1.0732353925704956,1.1194630861282349,0.9611846208572388,0.6644951701164246,0.8190369606018066,1.0368326902389526,0.8892332315444946,0.9810620546340942,0.8900959491729736,1.0684595108032227,0.9893966913223267,1.0064786672592163,0.9529889822006226,1.0068379640579224,0.9820341467857361,1.0248702764511108,0.9642115831375122,0.9210962057113647,0.8234566450119019,0.8041333556175232,0.6989573240280151,0.8795591592788696,0.8220758438110352,0.8706485629081726,0.7525234818458557,0.8320655226707458,0.7461230754852295,1.2507463693618774,1.097293734550476,1.150100827217102,0.9174418449401855,1.1956967115402222,0.9198760390281677,1.102357029914856,1.2466343641281128,1.2490538358688354,0.9031499624252319,1.032878041267395,0.9823489189147949,1.1015231609344482,0.9879337549209595,0.9141626358032227,1.255865454673767,1.1870909929275513,1.156420350074768,0.9555070400238037,1.171601414680481,1.141442060470581,0.9806947112083435,0.5442860126495361,0.9843313694000244,1.2330774068832397,1.2026065587997437,1.1560381650924683,1.1406952142715454,1.2089029550552368,1.275058388710022,1.2383893728256226,1.267382264137268,1.270861268043518,1.231154203414917,1.2356953620910645,1.1497797966003418,1.0408923625946045,1.1539634466171265,1.1153888702392578,0.8701273798942566,1.0236115455627441,1.10055673122406,1.0920665264129639,1.113620400428772,1.0925376415252686,1.114260196685791,0.9035307765007019,0.9500484466552734,1.1310482025146484,1.160019040107727,1.1616350412368774,1.0287907123565674,0.9711927771568298,1.0802937746047974,1.1204485893249512,1.007821798324585,0.9802611470222473,1.1382968425750732,1.2021712064743042,1.2554105520248413,1.217073917388916,1.1184394359588623,1.0451041460037231,1.2065752744674683,1.2027525901794434,1.18278968334198
