,pony,horse,pig,rooster,bird,fish,butterfly,frog,alligator,owl,elephant,bear,cat,dog,face,hair,arm,hand,leg,foot,ankle,finger,toe,tooth,ear,nose,eye,mouth,stroller,motorcycle,truck,car,lamp,chair,bench,drawer,ladder,window,door,closet,shower,refrigerator,oven,crib,bed,couch,table,bathtub,sink,boat,slide,hose,sprinkler,grass,tree,snow,clock,ball,balloon,pumpkin,egg,orange,apple,strawberry,hat,slipper,watch,nail,raisin,glasses,necklace,carrot,vacuum,broom,stick,shovel,scissors,spoon,fork,knife,pencil,pen,crayon,plant,flower,soap,bottle,cup,can,belt,radio,basket,milk,jar,bucket,tape,bowl,plate,corn,pickle,banana,melon,bread,cookie,cracker,sandwich,pizza,hamburger,muffin,meat,soup,glass,coffee,dish,tray,box,book,paper,rock,comb,toothbrush,gum,toy,doll,mitten,glove,sock,shoe,purse,pillow,towel,napkin,blanket,dress,pajamas,bib,scarf,coat,jacket,sweater,shirt,jeans,pants,shorts
pony,0.0,0.15675169229507446,0.14231985807418823,0.3573315143585205,0.36932373046875,0.7580100297927856,0.4730006456375122,0.411382794380188,0.46574944257736206,0.6621692180633545,0.8233238458633423,0.7542954087257385,0.7569930553436279,0.39923107624053955,1.038020133972168,1.143536925315857,1.219997763633728,1.1945600509643555,1.1021205186843872,1.0739171504974365,0.9518502950668335,1.1359845399856567,1.0421099662780762,1.0676178932189941,0.9375833868980408,0.7979055643081665,0.9088093042373657,1.0468897819519043,1.0011656284332275,1.0380973815917969,0.9549464583396912,0.7457908391952515,0.8359941244125366,0.9907864332199097,1.1792752742767334,1.016735315322876,0.9583250284194946,1.1055071353912354,1.1706463098526,1.1322102546691895,1.197707176208496,1.0530500411987305,1.1348991394042969,1.0668370723724365,1.1969194412231445,1.186781406402588,1.1309399604797363,1.1894258260726929,1.1342308521270752,0.9550797343254089,1.103466510772705,1.063284993171692,0.9502023458480835,0.981996476650238,1.051556944847107,0.9371824264526367,0.7529347538948059,0.7756476402282715,0.769804835319519,0.8756871819496155,0.8582563400268555,0.8780261874198914,0.8725625872612,0.8633224964141846,0.9240128993988037,0.8890805840492249,0.9652271270751953,1.0531628131866455,1.0237659215927124,1.0294595956802368,1.0015723705291748,1.1425505876541138,0.9166747331619263,0.8810709118843079,0.7940207123756409,0.7788278460502625,0.7256324291229248,0.7840887308120728,0.8237587809562683,0.918926477432251,0.8761266469955444,0.9033772349357605,0.9322971105575562,0.6896375417709351,0.7338712215423584,0.9038421511650085,0.914436399936676,0.8875879645347595,0.9425787925720215,0.9732572436332703,0.9132732152938843,0.7472368478775024,0.9644085168838501,0.9276907444000244,0.8815791010856628,0.7715330719947815,0.8869524002075195,0.8705841302871704,0.916832447052002,1.0612069368362427,0.8568739295005798,1.0474562644958496,0.8530691266059875,0.6996245384216309,0.9924586415290833,1.071007490158081,1.134824275970459,1.010358452796936,0.9182814955711365,0.8964537382125854,1.0265036821365356,1.0932097434997559,0.9773277640342712,1.0112909078598022,1.0646413564682007,1.0023727416992188,0.8403027057647705,0.9881254434585571,1.0751171112060547,1.0033023357391357,1.1034568548202515,0.9543306827545166,0.6744959354400635,0.6093693375587463,1.0623893737792969,0.9029715061187744,1.0640742778778076,0.8418980836868286,0.9009075164794922,0.8794042468070984,0.8859692215919495,0.914139449596405,1.1098453998565674,1.2265684604644775,1.2606526613235474,1.1664516925811768,1.1234939098358154,1.2029337882995605,1.195853590965271,1.2044137716293335,1.27144455909729,1.3189365863800049,1.311443567276001,1.3144694566726685
horse,0.15675169229507446,0.0,0.14951086044311523,0.39806848764419556,0.4387228488922119,0.8854246735572815,0.5622245073318481,0.44975602626800537,0.42238497734069824,0.6636402606964111,0.6516081094741821,0.6470384001731873,0.7102689146995544,0.4284358024597168,0.9281966686248779,1.0407425165176392,1.0733208656311035,1.092653751373291,1.0381486415863037,1.1610240936279297,1.0358436107635498,1.1813933849334717,1.142917513847351,1.1850640773773193,1.0450447797775269,0.9219479560852051,1.0284485816955566,1.0139468908309937,0.8918898105621338,0.9411011934280396,0.9527854323387146,0.7452878952026367,0.9966156482696533,1.002877950668335,1.078042984008789,1.0201181173324585,0.9916844964027405,0.9606034755706787,1.0862393379211426,1.0157721042633057,1.0481789112091064,1.0200351476669312,1.0642398595809937,0.9482924342155457,1.0080780982971191,1.0222620964050293,0.9634726047515869,1.0337426662445068,1.1196919679641724,0.8517673015594482,0.9432770013809204,0.9532349705696106,0.9169352650642395,0.9121224284172058,0.885678768157959,0.783334493637085,0.8955171704292297,0.8768882155418396,0.895057201385498,1.003079891204834,1.0568194389343262,1.043163537979126,1.051749348640442,0.9639045000076294,1.0329012870788574,1.098488450050354,1.1301509141921997,1.1658623218536377,1.1477046012878418,1.0807863473892212,1.089759111404419,1.170147180557251,0.9839986562728882,0.9779918789863586,0.8622850775718689,1.0088566541671753,0.7853427529335022,1.0105767250061035,1.022321105003357,1.0591518878936768,1.0267996788024902,1.0632189512252808,1.091553807258606,0.8204600811004639,0.8640753626823425,1.1018798351287842,1.0638701915740967,1.0662140846252441,1.0140300989151,1.1004263162612915,1.0090477466583252,0.8906048536300659,0.8686224222183228,0.9692187905311584,0.9908558130264282,0.9833693504333496,1.074233055114746,0.9974597096443176,1.004874348640442,1.216178059577942,1.015167236328125,1.0322704315185547,1.000321626663208,0.8238022327423096,1.0392100811004639,0.9730297923088074,1.1303061246871948,1.0044984817504883,0.9502279758453369,0.8822529315948486,1.0341264009475708,0.9799501895904541,1.0573019981384277,1.002355694770813,0.930305540561676,0.8502670526504517,0.7103127241134644,0.7614445686340332,0.9392067790031433,1.0327602624893188,1.057621717453003,0.9938700795173645,0.7169467806816101,0.6100659370422363,0.9833987355232239,1.0109639167785645,1.0919067859649658,0.9266706109046936,0.8989376425743103,0.9704312086105347,0.9726230502128601,1.0239523649215698,0.9368125200271606,1.0407817363739014,1.0743805170059204,0.9586767554283142,0.9922260642051697,1.0279247760772705,1.0156757831573486,1.0303802490234375,1.0744863748550415,1.1083625555038452,1.1217900514602661,1.1598063707351685
pig,0.14231985807418823,0.14951086044311523,0.0,0.41717636585235596,0.4630856513977051,0.885448694229126,0.6196276545524597,0.5161669850349426,0.5630685091018677,0.7041757106781006,0.7404831647872925,0.7081781625747681,0.8292738795280457,0.45164012908935547,0.9514167904853821,1.0482609272003174,1.1098086833953857,1.0537362098693848,0.9964685440063477,1.037577748298645,0.8884302377700806,1.058394432067871,0.9852290749549866,1.1016626358032227,0.9692205190658569,0.8161263465881348,0.9708595871925354,1.0219424962997437,0.9849923849105835,1.0192424058914185,1.035462737083435,0.8058157563209534,0.9501254558563232,1.0334467887878418,1.1479098796844482,1.0457066297531128,1.052169919013977,1.0859651565551758,1.150750994682312,1.1253273487091064,1.1211142539978027,1.0297282934188843,1.0963120460510254,1.0440384149551392,1.1057624816894531,1.088793158531189,1.0539911985397339,1.135838270187378,1.1652764081954956,0.9715415835380554,1.0494288206100464,1.1134259700775146,0.951081395149231,1.0167207717895508,1.0664693117141724,0.9543858170509338,0.8165010809898376,0.7658373117446899,0.7825815081596375,0.8388224840164185,0.8604339361190796,0.8787642121315002,0.8515206575393677,0.8324739933013916,0.9280893206596375,0.977241039276123,1.0393691062927246,1.0313504934310913,0.999289870262146,1.016585111618042,1.0147526264190674,1.109545350074768,1.0008677244186401,1.0374876260757446,0.863898754119873,0.8960230946540833,0.8110798597335815,0.9136415123939514,0.9687183499336243,1.0291736125946045,0.9802227020263672,0.9976925849914551,1.02082359790802,0.8329594731330872,0.8132819533348083,0.9743213653564453,0.9752232432365417,0.9502970576286316,1.003499150276184,1.073687195777893,0.9721059203147888,0.8563252091407776,0.9340673089027405,0.9454626441001892,0.9338269233703613,0.8410097360610962,0.953423261642456,0.9201586246490479,1.0171116590499878,1.1033878326416016,0.9677115082740784,1.0314198732376099,0.8960441946983337,0.7887248992919922,1.0390273332595825,1.0642423629760742,1.092260479927063,0.9526546597480774,0.9061179161071777,0.8482215404510498,1.0163651704788208,1.0187721252441406,1.036723256111145,0.9970043897628784,1.005354404449463,0.9478581547737122,0.8054624199867249,0.903487503528595,1.0177007913589478,1.1588330268859863,1.0681333541870117,0.94588702917099,0.7077728509902954,0.5840805768966675,0.9744149446487427,0.9327795505523682,1.0839332342147827,0.9301615953445435,0.907780647277832,0.9749568700790405,0.9751641154289246,1.0084868669509888,1.0649842023849487,1.1434202194213867,1.1495685577392578,1.0667740106582642,1.1215845346450806,1.153196930885315,1.1221363544464111,1.122973084449768,1.1640973091125488,1.2004369497299194,1.2044867277145386,1.175612211227417
rooster,0.3573315143585205,0.39806848764419556,0.41717636585235596,0.0,0.29495370388031006,0.8231627345085144,0.3203696012496948,0.3744080066680908,0.6149686574935913,0.5743823051452637,0.9710652828216553,0.8771300315856934,0.8641303181648254,0.5355328321456909,0.9525372982025146,1.0152819156646729,1.1720702648162842,1.0851730108261108,1.0963784456253052,1.1149230003356934,1.0236821174621582,1.1659572124481201,1.1040055751800537,1.1743168830871582,0.9697691202163696,0.8833921551704407,0.947380006313324,1.0924124717712402,0.9472218155860901,0.947666585445404,0.9719119668006897,0.8798820972442627,0.988638162612915,1.0732651948928833,1.2075932025909424,1.045594573020935,0.9872795343399048,1.085610032081604,1.1316457986831665,1.146615982055664,1.1523512601852417,1.0712436437606812,1.1121044158935547,1.0691699981689453,1.2149521112442017,1.165026307106018,1.0746504068374634,1.2772486209869385,1.2312592267990112,1.0891211032867432,1.2113103866577148,1.0551197528839111,0.9558963179588318,1.0375837087631226,0.9435206651687622,0.9832969307899475,0.8566907048225403,0.753747820854187,0.842090368270874,0.7886743545532227,0.9093283414840698,0.8781428933143616,0.8549902439117432,0.7672064304351807,1.0038119554519653,1.03914475440979,1.1117979288101196,1.162806510925293,0.9611945748329163,1.086178183555603,1.0941177606582642,1.0620102882385254,0.9742904901504517,0.950057327747345,0.9340153336524963,0.8432299494743347,0.7566527128219604,0.901697039604187,0.9373152852058411,1.0885145664215088,1.0441027879714966,1.0661410093307495,1.0869210958480835,0.6869804859161377,0.7360312938690186,1.019694447517395,1.0502464771270752,1.0261430740356445,1.0571104288101196,1.1139440536499023,0.9764032363891602,0.868102490901947,0.892829954624176,0.904716432094574,0.9889089465141296,0.944840669631958,0.9998909831047058,0.9356438517570496,0.9939468502998352,1.0140339136123657,0.8817445039749146,0.9216434359550476,0.9080075621604919,0.7251821160316467,0.9205101132392883,1.078677773475647,0.9857968688011169,0.9538247585296631,0.7740321159362793,0.8003787994384766,0.9519782662391663,0.9532367587089539,1.03914475440979,0.9944981336593628,0.9839816689491272,0.9380879998207092,0.7974222898483276,0.909776508808136,1.0759193897247314,1.0638186931610107,1.1038005352020264,0.9370914101600647,0.7190514206886292,0.5955770015716553,0.9217579960823059,0.9274883270263672,1.099523663520813,0.9087827205657959,0.9102340936660767,1.010210633277893,1.0237020254135132,1.0616720914840698,1.1427935361862183,1.1559220552444458,1.2043070793151855,1.069227933883667,1.033722162246704,1.0874067544937134,1.1813321113586426,1.120558261871338,1.1797212362289429,1.2677826881408691,1.2100615501403809,1.2229087352752686
bird,0.36932373046875,0.4387228488922119,0.4630856513977051,0.29495370388031006,0.0,0.669856607913971,0.3332730531692505,0.3375285863876343,0.5671041011810303,0.43250852823257446,0.8285211324691772,0.7847036719322205,0.7661501169204712,0.5131419897079468,1.0042189359664917,1.1076455116271973,1.2522521018981934,1.3088901042938232,1.1762031316757202,1.1497663259506226,1.0067416429519653,1.2581312656402588,1.132034182548523,1.181929588317871,1.0569987297058105,0.8007289171218872,0.9071961641311646,1.1872491836547852,1.0117110013961792,0.9990559816360474,0.965688943862915,0.7294073700904846,0.8407251834869385,1.0971636772155762,1.2323899269104004,1.118952989578247,1.0384176969528198,1.0544757843017578,1.1878901720046997,1.1239280700683594,1.1467210054397583,1.1369394063949585,1.1521366834640503,1.0727362632751465,1.0869933366775513,1.1156655550003052,1.0782767534255981,1.188952922821045,1.1956417560577393,0.8896049857139587,1.1022119522094727,1.1262542009353638,0.9427529573440552,0.8852006196975708,0.9597083926200867,0.8424025774002075,0.7084094285964966,0.6861773729324341,0.7310032844543457,0.8357373476028442,0.8226511478424072,0.8460121154785156,0.8343836069107056,0.8582457304000854,0.8748949766159058,0.8833169937133789,0.98818439245224,1.048398733139038,0.9818235635757446,1.1075115203857422,1.1197128295898438,1.2296857833862305,0.9751946926116943,0.9023470282554626,0.8383235335350037,0.7901734709739685,0.7860857248306274,0.8069552183151245,0.8545700311660767,0.9842191934585571,0.9146733283996582,0.9337270259857178,0.9480118155479431,0.6579130291938782,0.667252242565155,0.8464460968971252,0.8808580636978149,0.8816020488739014,1.0174912214279175,0.9779145121574402,0.9345732927322388,0.7793228626251221,0.9787138104438782,0.9662954807281494,0.9623122215270996,0.7639889717102051,0.8672777414321899,0.8125925660133362,0.9392324686050415,1.0527582168579102,0.8499119281768799,0.9817105531692505,0.9251115322113037,0.6432832479476929,0.9890958070755005,1.0016391277313232,1.049955129623413,0.9842766523361206,0.8816299438476562,0.9039558172225952,0.9652533531188965,1.013379693031311,1.0711637735366821,1.0063066482543945,1.0360023975372314,0.998252809047699,0.7886754274368286,0.9219279289245605,0.9560137987136841,1.0854711532592773,1.2283191680908203,1.0351051092147827,0.6637778282165527,0.659899890422821,1.081850528717041,0.9515466690063477,1.0915398597717285,0.787444531917572,0.8458430767059326,0.8706429600715637,0.8533172011375427,0.9132350087165833,1.0014088153839111,1.1070148944854736,1.2016719579696655,1.0906742811203003,1.0964009761810303,1.0843678712844849,1.0615217685699463,1.1084116697311401,1.1854053735733032,1.2222203016281128,1.2428576946258545,1.315807819366455
fish,0.7580100297927856,0.8854246735572815,0.885448694229126,0.8231627345085144,0.669856607913971,0.0,0.5317069292068481,0.5445119142532349,0.9121420383453369,1.1429481506347656,1.1739208698272705,1.0492799282073975,1.1520817279815674,1.1159979104995728,1.1526501178741455,1.22123384475708,1.4926135540008545,1.4115276336669922,1.2944799661636353,0.8194265961647034,0.9587448835372925,0.8779539465904236,0.8222255706787109,0.7179144024848938,0.8045477867126465,0.7036327719688416,0.637611985206604,1.0765941143035889,1.3950586318969727,1.2809760570526123,0.9014484286308289,0.7762343287467957,0.4224795699119568,1.0463197231292725,1.360849142074585,1.0769381523132324,1.1279104948043823,1.1687062978744507,1.2370985746383667,1.318101167678833,1.3813514709472656,1.1886223554611206,1.252805233001709,1.4247125387191772,1.4158294200897217,1.376610517501831,1.4522011280059814,1.387152075767517,0.9310671091079712,0.7335569858551025,1.4313900470733643,1.3152008056640625,1.189348816871643,0.9661146402359009,1.1403007507324219,0.9950138926506042,0.535353422164917,0.8603314161300659,0.74330073595047,0.7636110186576843,0.7071289420127869,0.6903746128082275,0.6873927712440491,0.6995855569839478,0.5996956825256348,0.43370670080184937,0.5117925405502319,0.6360716223716736,0.7315075397491455,0.8507405519485474,0.7731806635856628,0.7987251877784729,1.0605372190475464,0.7365447878837585,0.7775938510894775,0.7028813362121582,0.9593678712844849,0.5186445116996765,0.5716685652732849,0.697226881980896,0.4630066752433777,0.434948205947876,0.3919439911842346,0.6456002593040466,0.6168316602706909,0.4172161817550659,0.5646387934684753,0.5826740264892578,0.8235199451446533,0.3079729676246643,0.750190794467926,0.8721052408218384,1.2127976417541504,1.148369550704956,0.7982736229896545,0.6143797636032104,0.6168631315231323,0.6538040637969971,0.9353883862495422,0.7378736734390259,0.5693014860153198,1.1932477951049805,0.9451780319213867,0.9042605757713318,1.269676685333252,1.321997880935669,1.1456798315048218,1.298669457435608,1.2296663522720337,1.251493215560913,1.0712531805038452,1.3454464673995972,0.7779176831245422,1.2274971008300781,1.3806543350219727,1.2828350067138672,0.9918628931045532,1.2997490167617798,1.2116165161132812,0.9323360919952393,1.2731506824493408,0.9918981790542603,0.9316167235374451,1.1359715461730957,1.4614076614379883,0.9830307364463806,1.0436197519302368,0.972649872303009,1.1972190141677856,0.7404273748397827,0.7869387865066528,0.7408450841903687,1.3770077228546143,1.3969388008117676,1.4943931102752686,1.4703055620193481,1.3985720872879028,1.3222025632858276,1.3851885795593262,1.4256558418273926,1.4739081859588623,1.450676679611206,1.4109259843826294,1.357543706893921
butterfly,0.4730006456375122,0.5622245073318481,0.6196276545524597,0.3203696012496948,0.3332730531692505,0.5317069292068481,0.0,0.2754318118095398,0.6687012910842896,0.6777129769325256,1.0032670497894287,0.9576661586761475,1.0054136514663696,0.785791277885437,1.1013015508651733,1.2041736841201782,1.2734019756317139,1.2125170230865479,1.2176539897918701,0.9651138782501221,0.9122938513755798,1.0573095083236694,0.9876527786254883,1.013438105583191,0.9177566766738892,0.7563732862472534,0.752776026725769,1.1591380834579468,1.0754672288894653,1.0803571939468384,0.9099968671798706,0.7603362202644348,0.7006542086601257,1.0009534358978271,1.286241054534912,1.0466581583023071,0.9820090532302856,1.1530992984771729,1.1939034461975098,1.1994097232818604,1.2870354652404785,1.136163592338562,1.1905794143676758,1.1991994380950928,1.2872203588485718,1.281554937362671,1.2279936075210571,1.3060657978057861,1.1120845079421997,0.9510277509689331,1.2883517742156982,1.062859058380127,1.0019268989562988,1.0475811958312988,1.0517462491989136,0.9676961898803711,0.5873834490776062,0.8183364272117615,0.8235073685646057,0.8075917363166809,0.8865466117858887,0.8652724027633667,0.8576208353042603,0.7652340531349182,0.812973141670227,0.7109835147857666,0.8120149374008179,0.9820810556411743,0.9364375472068787,0.9731696844100952,0.9069036841392517,1.0227322578430176,0.8850255608558655,0.7285248041152954,0.7565996646881104,0.6542752981185913,0.6379114389419556,0.6305841207504272,0.6316964030265808,0.784494161605835,0.7096439003944397,0.7221001386642456,0.7739486694335938,0.6334253549575806,0.70619797706604,0.8059915900230408,0.8622384667396545,0.8515802621841431,0.9504621624946594,0.7684166431427002,0.8296737670898438,0.7862862944602966,1.0165214538574219,1.0350675582885742,0.9066097736358643,0.7686859965324402,0.8778631091117859,0.8339321613311768,0.9606212973594666,0.9544566869735718,0.7450833320617676,1.0772212743759155,0.9857653975486755,0.7749816179275513,1.1107544898986816,1.226686716079712,1.1578412055969238,1.1486725807189941,1.0540032386779785,1.087148904800415,1.0341414213180542,1.1108336448669434,0.934044361114502,1.1300565004348755,1.136144757270813,1.0771725177764893,0.8211134672164917,1.0269495248794556,1.076683521270752,0.9079609513282776,1.1403268575668335,0.9843649864196777,0.7710283398628235,0.7743247151374817,1.1509987115859985,0.8556227684020996,0.9959128499031067,0.7337161302566528,0.8911435008049011,0.8527553081512451,0.8242287635803223,0.8364972472190857,1.1930664777755737,1.2212767601013184,1.2955732345581055,1.205113410949707,1.1976439952850342,1.1564348936080933,1.2124664783477783,1.24990713596344,1.3031985759735107,1.3122049570083618,1.2768017053604126,1.3232976198196411
frog,0.411382794380188,0.44975602626800537,0.5161669850349426,0.3744080066680908,0.3375285863876343,0.5445119142532349,0.2754318118095398,0.0,0.4635213613510132,0.6749982833862305,1.0450915098190308,1.017575979232788,0.9778305888175964,0.5976422429084778,0.9093848466873169,1.1140443086624146,1.2947301864624023,1.2244542837142944,1.293142557144165,1.1072462797164917,0.9979660511016846,1.1172385215759277,1.0541220903396606,0.9919597506523132,0.9948838353157043,0.786983847618103,0.8564093708992004,1.0817055702209473,1.069394826889038,1.045821189880371,1.013448715209961,0.6831809282302856,0.8432940244674683,1.1777608394622803,1.34181809425354,1.0649898052215576,1.109452486038208,1.1592607498168945,1.3324286937713623,1.2821589708328247,1.311901330947876,1.2539052963256836,1.2366816997528076,1.1198118925094604,1.2041336297988892,1.2073577642440796,1.1249160766601562,1.300511121749878,1.195906162261963,0.7821221947669983,1.1448296308517456,1.1539455652236938,0.929717481136322,1.0438679456710815,1.1200084686279297,0.943718433380127,0.6395635008811951,0.6238027811050415,0.7615282535552979,0.7382225394248962,0.8301279544830322,0.7443813681602478,0.7386502027511597,0.7481328248977661,0.7496585249900818,0.7724291086196899,0.8976263999938965,0.9642336368560791,0.9694581627845764,0.9664874076843262,1.0271775722503662,0.9732793569564819,1.059646487236023,0.9098196625709534,0.8869568109512329,0.7813655138015747,0.5516555309295654,0.7102057933807373,0.7882378697395325,0.9357232451438904,0.7406302690505981,0.7839564085006714,0.7646605968475342,0.6867728233337402,0.6833670735359192,0.7184473276138306,0.8501057624816895,0.8516230583190918,1.0810024738311768,0.8880506157875061,0.8571001291275024,0.7847827076911926,0.9559796452522278,0.9912719130516052,0.9222370386123657,0.633306622505188,0.8277574777603149,0.7527356147766113,0.9789473414421082,0.8602488040924072,0.5633929967880249,0.9063173532485962,0.9425805807113647,0.7228842973709106,1.0674446821212769,1.1097677946090698,1.1395021677017212,0.9593985080718994,0.9885374307632446,0.9703625440597534,1.0138278007507324,1.0760517120361328,0.9999417662620544,1.1056312322616577,0.9621536135673523,0.9010478258132935,0.6331089735031128,0.8801668882369995,1.0969656705856323,1.052194356918335,1.016167163848877,0.7440106272697449,0.4075784683227539,0.5722038745880127,1.0575188398361206,0.8812180161476135,1.1058745384216309,0.779661238193512,0.9297378659248352,0.8583294153213501,0.9549112319946289,0.9587056040763855,1.1219093799591064,1.272411584854126,1.2865092754364014,1.103041410446167,1.1896908283233643,1.2579786777496338,1.2180193662643433,1.248168706893921,1.3157413005828857,1.3642237186431885,1.402101755142212,1.417698621749878
alligator,0.46574944257736206,0.42238497734069824,0.5630685091018677,0.6149686574935913,0.5671041011810303,0.9121420383453369,0.6687012910842896,0.4635213613510132,0.0,0.5434884428977966,0.6750593185424805,0.7931337952613831,0.5794183611869812,0.36132681369781494,0.8750218749046326,0.9679829478263855,0.7637452483177185,0.9843237996101379,0.900263786315918,1.2159775495529175,1.1279683113098145,1.2787874937057495,1.2750227451324463,1.2330411672592163,1.2370636463165283,1.1532833576202393,1.2056211233139038,1.0605566501617432,0.8611947894096375,0.956955075263977,1.077530860900879,0.965416431427002,1.2302240133285522,1.070159912109375,0.8520268201828003,1.015387773513794,0.9816568493843079,0.889701783657074,1.025341272354126,0.9208735823631287,0.9282128214836121,1.041394591331482,0.991177499294281,0.81270831823349,0.6894363760948181,0.7114905118942261,0.7570174336433411,0.8372712135314941,1.022715449333191,0.786553144454956,0.7087000608444214,0.7537863254547119,0.9732017517089844,0.8305982947349548,0.902188777923584,0.8246851563453674,1.159517765045166,1.0380347967147827,1.1585396528244019,1.1326558589935303,1.27689790725708,1.1850230693817139,1.268934726715088,1.1812162399291992,1.2027111053466797,1.2422642707824707,1.3103487491607666,1.3485283851623535,1.268692135810852,1.2280712127685547,1.252465009689331,1.1315101385116577,1.0626574754714966,1.0320930480957031,0.973945677280426,1.1000850200653076,0.7824457883834839,1.1783230304718018,1.11103355884552,1.0971484184265137,1.0773415565490723,1.1608343124389648,1.2008326053619385,0.9891086220741272,1.0549596548080444,1.2386690378189087,1.2785801887512207,1.3023571968078613,1.223994255065918,1.2107471227645874,1.1162033081054688,1.0024641752243042,0.9460647702217102,1.0927681922912598,1.2284685373306274,1.1720337867736816,1.2288848161697388,1.078421711921692,0.9408584833145142,1.138606309890747,0.9558305740356445,0.8271511793136597,0.8943785429000854,0.9007765650749207,0.777600109577179,0.7322198152542114,0.9651767611503601,0.7686455249786377,0.8194758892059326,0.7187283039093018,1.0224027633666992,0.9526390433311462,1.1001615524291992,1.001052975654602,0.7652395963668823,0.7924301624298096,0.7418904304504395,0.6542651057243347,0.7065836787223816,0.9345357418060303,0.9038786888122559,1.0026456117630005,0.8255442380905151,0.6554936766624451,0.6661412715911865,0.8352720141410828,0.9486262798309326,0.840100884437561,0.9199959635734558,0.754714846611023,0.9889750480651855,0.9908535480499268,0.6015836000442505,0.9107622504234314,0.7979018688201904,0.6617876887321472,0.7005764245986938,0.9453650116920471,0.8324734568595886,0.8330112099647522,0.8589386940002441,0.8550471067428589,0.9278286695480347,0.9906141757965088
owl,0.6621692180633545,0.6636402606964111,0.7041757106781006,0.5743823051452637,0.43250852823257446,1.1429481506347656,0.6777129769325256,0.6749982833862305,0.5434884428977966,0.0,0.6124784350395203,0.6693741083145142,0.41883349418640137,0.3359302282333374,0.8177942037582397,0.9426887035369873,0.8818733096122742,1.0271393060684204,0.8961952924728394,1.2666001319885254,1.1026875972747803,1.323748230934143,1.2654244899749756,1.3066953420639038,1.1499519348144531,0.9886274933815002,1.077500343322754,1.1882303953170776,0.8640249967575073,0.8811326622962952,1.0528634786605835,1.019770860671997,1.219635248184204,1.1336801052093506,1.036117434501648,1.1499438285827637,1.0729889869689941,0.9125906229019165,1.071750521659851,0.9181386232376099,0.9209079146385193,1.070656418800354,1.0774950981140137,0.8412691354751587,0.7667485475540161,0.8183789253234863,0.8174612522125244,0.8851537108421326,1.165770411491394,1.0297431945800781,0.8557159900665283,0.8969318270683289,0.8128079175949097,0.7445672750473022,0.887742280960083,0.7632700204849243,1.0526494979858398,0.7963310480117798,0.9078392386436462,0.94268399477005,1.0093060731887817,1.0610647201538086,1.077269196510315,1.1314424276351929,1.1223418712615967,1.2572972774505615,1.3035168647766113,1.2707241773605347,1.1038167476654053,1.1811137199401855,1.2606289386749268,1.315766453742981,1.0727088451385498,1.1167765855789185,1.0027602910995483,1.136340856552124,0.9576995372772217,1.2105220556259155,1.1707712411880493,1.287686824798584,1.3076772689819336,1.3452482223510742,1.35823392868042,1.0005677938461304,1.0197402238845825,1.1961379051208496,1.2056200504302979,1.1936806440353394,1.1748380661010742,1.3358948230743408,1.1314440965652466,0.9722984433174133,0.8886808156967163,0.9359585046768188,1.1653193235397339,1.0774744749069214,1.1581504344940186,1.0810497999191284,0.99564129114151,1.0812581777572632,1.0959886312484741,0.8063032627105713,0.8821500539779663,0.6651555895805359,0.6904379725456238,0.6609939336776733,0.936460018157959,0.733086109161377,0.6228979825973511,0.6836580634117126,0.8761226534843445,0.797015905380249,1.1640948057174683,0.910430371761322,0.8144150972366333,0.8807387351989746,0.9098765850067139,0.7536951899528503,0.6010785102844238,1.031264066696167,1.064359188079834,1.0526845455169678,0.8156403303146362,0.5782841444015503,0.6631865501403809,0.881142795085907,0.9952387809753418,0.7783052921295166,0.835828423500061,0.9586384296417236,0.9485681653022766,1.0111980438232422,0.6148620843887329,0.7939889430999756,0.7325531244277954,0.626768946647644,0.7115439176559448,0.8095398545265198,0.7168847322463989,0.7675122022628784,0.7876050472259521,0.8540137410163879,0.9198886752128601,1.0471771955490112
