,dog,cat,fish,frog,nose,tooth,face,hair,arm,hand,finger,toe,foot,lamp,drawer,bench,chair,ladder,table,couch,bed,crib,window,door,closet,refrigerator,oven,sink,bathtub,stroller,car,hose,slide,jacket,sweater,shirt,bib,pajamas,jeans,pants,shorts,slipper,shoe,sock,mitten,glove,blanket,pillow,towel,napkin,doll,toy,tray,box,book,paper,basket,purse,vacuum,comb,shovel,hat,glasses,necklace,clock,scissors,fork,spoon,crayon,pencil,pen,knife,broom,toothbrush,gum,balloon,ball,carrot,egg,orange,pumpkin,apple,strawberry,melon,pickle,banana,flower,plant,cookie,bread,plate,bowl,tape,bottle,cup,bucket,can
dog,0.0,0.24943804740905762,0.7480297684669495,0.6434261202812195,1.0157830715179443,1.0138466358184814,0.8069074749946594,0.8772962093353271,1.0618864297866821,1.0672444105148315,1.1207351684570312,1.0542759895324707,0.9932603240013123,1.1166938543319702,1.180896282196045,1.0077444314956665,1.0018975734710693,1.0001667737960815,0.9914336800575256,0.8631986379623413,0.914861261844635,0.9479365348815918,1.0290579795837402,1.0110397338867188,0.9871765971183777,1.0458171367645264,1.028788685798645,1.1286215782165527,1.0880025625228882,0.8574554920196533,0.8257402181625366,1.1379913091659546,1.0011390447616577,0.9734261631965637,0.9037647247314453,0.9038981199264526,1.0192996263504028,0.893429696559906,0.8549729585647583,0.8949933648109436,0.9639548063278198,0.9901519417762756,0.983632504940033,0.9222539663314819,0.8785287141799927,0.9754263162612915,0.9417716264724731,0.9924122095108032,1.1237882375717163,1.1684386730194092,0.7225801944732666,0.9218649864196777,1.1479201316833496,1.1246976852416992,1.006889820098877,1.0884202718734741,1.131323218345642,1.0512299537658691,0.9637229442596436,1.1406512260437012,1.149497628211975,0.9177886247634888,0.9576539397239685,1.1455491781234741,1.0426170825958252,1.090644121170044,1.1713621616363525,1.2049883604049683,1.0692024230957031,1.10783851146698,1.1368529796600342,1.1317769289016724,1.085639476776123,1.182915449142456,1.0858511924743652,0.9866244792938232,1.026699185371399,0.9448896646499634,1.0230108499526978,0.9808465838432312,0.8433735370635986,0.9640592336654663,0.9983410835266113,0.8615399599075317,0.9716416597366333,0.9383206367492676,0.9803833961486816,1.0413057804107666,0.9301042556762695,0.9158065319061279,1.1288721561431885,1.1604840755462646,1.1099684238433838,1.083524465560913,1.152420997619629,1.1289026737213135,1.0528998374938965
cat,0.24943804740905762,0.0,0.6947517395019531,0.7804985046386719,0.9782255291938782,1.0023727416992188,0.8275696039199829,0.8043696880340576,0.9948087334632874,1.0191947221755981,1.0993696451187134,1.0631983280181885,0.9672563672065735,1.0584723949432373,1.1282529830932617,0.9396308660507202,0.9757879972457886,1.0108474493026733,0.9699388146400452,0.8200762867927551,0.8535707592964172,0.9101384282112122,0.9380108714103699,0.9156076312065125,0.9224554300308228,1.0669293403625488,0.9938411116600037,1.0730173587799072,0.9904094338417053,0.96197509765625,0.8516297936439514,1.1107187271118164,0.9874466061592102,0.9197689294815063,0.8736371994018555,0.8934964537620544,0.9871247410774231,0.8967427015304565,0.8301951885223389,0.8549858331680298,0.9306110143661499,0.9383794069290161,0.9527734518051147,0.8781971335411072,0.834420382976532,0.9356455206871033,0.860532820224762,0.9005962014198303,1.0373256206512451,1.0820622444152832,0.9143767952919006,1.0676367282867432,1.1541351079940796,1.1014851331710815,1.048157811164856,1.0355339050292969,1.055996060371399,1.0196093320846558,0.9718549251556396,1.087406873703003,1.1503840684890747,0.8703331351280212,0.9708122611045837,1.1366993188858032,1.1266436576843262,1.0985027551651,1.0870909690856934,1.1484884023666382,1.096232533454895,1.0762896537780762,1.0834074020385742,1.0328556299209595,1.0667747259140015,1.153673768043518,1.0885167121887207,1.0994125604629517,1.0733397006988525,1.0123569965362549,1.0858622789382935,1.0713751316070557,0.9092724323272705,1.0620256662368774,1.1013511419296265,0.8602002859115601,0.9977137446403503,1.0005319118499756,1.0020878314971924,1.0218415260314941,1.0076370239257812,0.9721998572349548,1.120326042175293,1.1855370998382568,1.1858348846435547,1.1239763498306274,1.2163591384887695,1.1552927494049072,1.0607331991195679
fish,0.7480297684669495,0.6947517395019531,0.0,0.6563637852668762,1.0119680166244507,0.8724556565284729,0.9851815700531006,1.0401219129562378,1.0891075134277344,0.9977908730506897,1.0309616327285767,1.0718696117401123,1.0770267248153687,0.930255651473999,1.1818106174468994,1.1579638719558716,1.1806179285049438,1.17890465259552,1.0761032104492188,1.1068439483642578,1.1258249282836914,1.1067962646484375,1.0791611671447754,1.1127625703811646,1.0963326692581177,1.09601891040802,1.154294729232788,1.0339924097061157,1.108705997467041,1.1082231998443604,0.9174928665161133,1.1766546964645386,1.1191767454147339,1.1150014400482178,1.0824837684631348,1.0839428901672363,1.0810645818710327,1.1158863306045532,1.0952754020690918,1.1574442386627197,1.1563212871551514,1.004544973373413,1.0433467626571655,1.0572710037231445,0.9946597814559937,0.9307645559310913,1.0870636701583862,1.073106288909912,1.086290955543518,1.063820242881775,1.0092753171920776,0.9886280298233032,0.9821608662605286,1.1524767875671387,0.9726475477218628,1.0124046802520752,1.0697005987167358,1.1157561540603638,1.130408763885498,0.9728843569755554,1.1077300310134888,0.9820051193237305,1.02860689163208,1.0815116167068481,0.9445962309837341,1.0111720561981201,0.8926334381103516,0.9605083465576172,0.8654605150222778,0.945620596408844,0.9655439853668213,0.9316737055778503,1.105086326599121,0.9324842691421509,0.7240204811096191,0.8448299169540405,0.8666708469390869,0.739257276058197,0.9015851020812988,0.823400616645813,0.7782410383224487,0.8517258763313293,0.8667852878570557,0.6667913198471069,0.8024259805679321,0.8042801022529602,0.7813637852668762,0.9558671712875366,0.8626039028167725,0.8085425496101379,0.8207950592041016,0.9807532429695129,1.0662155151367188,1.0960538387298584,1.1295275688171387,1.1006604433059692,1.1481190919876099
frog,0.6434261202812195,0.7804985046386719,0.6563637852668762,0.0,0.9442839622497559,0.912683367729187,0.9095644950866699,1.0683584213256836,1.2093408107757568,1.0278230905532837,0.9812333583831787,0.9658930897712708,1.0099451541900635,1.1137852668762207,1.1902390718460083,1.2566206455230713,1.2759780883789062,1.1818513870239258,1.2438260316848755,1.1743708848953247,1.1966043710708618,1.2279988527297974,1.1086945533752441,1.141943335533142,1.1777186393737793,1.1808136701583862,1.2586417198181152,1.2232515811920166,1.2281582355499268,0.9928245544433594,0.8442699313163757,1.2512249946594238,1.1567186117172241,1.1724371910095215,1.1736036539077759,1.1438922882080078,1.216549038887024,1.1841057538986206,1.1692938804626465,1.222738265991211,1.1678661108016968,0.8866124153137207,1.0336130857467651,1.0615445375442505,0.9202072024345398,0.865936815738678,1.1865309476852417,1.0869694948196411,1.0820590257644653,1.0889637470245361,0.7107172012329102,0.7091571092605591,1.1570414304733276,1.1396396160125732,0.9982476234436035,1.131075143814087,1.1850454807281494,1.1492857933044434,1.213038444519043,1.098496437072754,1.099034309387207,0.8550959825515747,0.8260204792022705,1.0960196256637573,0.8917272686958313,0.9678664803504944,1.0441124439239502,1.0464476346969604,0.8036179542541504,0.8939788341522217,0.9220734238624573,0.9993753433227539,1.0227826833724976,1.0738756656646729,0.8204323649406433,0.7495640516281128,0.8152403831481934,0.7324225306510925,0.8350862264633179,0.7619504332542419,0.59800124168396,0.6387547850608826,0.6815135478973389,0.5602924823760986,0.5003749132156372,0.6555168032646179,0.7378585338592529,0.8224480152130127,0.777245044708252,0.8053364753723145,0.9923225045204163,1.106250524520874,0.9032262563705444,0.9482226967811584,1.028692603111267,1.1245819330215454,1.204710602760315
nose,1.0157830715179443,0.9782255291938782,1.0119680166244507,0.9442839622497559,0.0,0.3523789048194885,0.43018871545791626,0.6385011672973633,0.9555574059486389,0.6383368968963623,0.4296724796295166,0.41846024990081787,0.6281792521476746,0.9658679366111755,1.1319799423217773,1.271067500114441,1.282918930053711,1.229022741317749,1.3319928646087646,1.194934368133545,1.2556092739105225,1.186724066734314,1.0378015041351318,1.1284359693527222,1.1898717880249023,1.2857613563537598,1.292863130569458,1.269784688949585,1.2395820617675781,1.1525332927703857,0.9984267354011536,1.1441824436187744,1.2681605815887451,1.1865248680114746,1.04925537109375,1.0114362239837646,1.039768934249878,1.130658745765686,1.0978789329528809,1.0610814094543457,0.9351540207862854,0.8481404185295105,1.0388869047164917,0.9358643293380737,1.0378340482711792,1.004662275314331,1.2392938137054443,1.0822336673736572,1.1455535888671875,1.0894571542739868,0.9882398843765259,1.1676257848739624,1.3753795623779297,1.1868340969085693,1.2040964365005493,1.1618690490722656,1.2417312860488892,1.2734304666519165,1.285266399383545,1.0409505367279053,1.1928839683532715,0.842609167098999,0.3428112864494324,0.663407564163208,1.0888991355895996,1.1726725101470947,0.9639019966125488,1.019062876701355,0.7248902320861816,0.7658175230026245,0.7957876324653625,0.934490978717804,1.035044550895691,0.9404352307319641,0.7981844544410706,0.8109384775161743,0.7684022188186646,0.6976420283317566,0.6768184900283813,0.7936521768569946,0.8326971530914307,0.7742527723312378,0.871269166469574,1.0471174716949463,0.7465713620185852,0.8778164386749268,0.9889611601829529,1.0628288984298706,0.9402331709861755,0.907534122467041,1.1787410974502563,1.2302160263061523,1.0727015733718872,0.9814063906669617,1.0981452465057373,1.2215354442596436,1.1558958292007446
tooth,1.0138466358184814,1.0023727416992188,0.8724556565284729,0.912683367729187,0.3523789048194885,0.0,0.7271662950515747,0.799882173538208,1.0261855125427246,0.7777811288833618,0.43278324604034424,0.446897029876709,0.6620879173278809,1.0025463104248047,1.2213852405548096,1.2476463317871094,1.3327364921569824,1.2943319082260132,1.3593207597732544,1.280263900756836,1.3071523904800415,1.2836897373199463,1.1300089359283447,1.1839613914489746,1.2504100799560547,1.3672608137130737,1.3200613260269165,1.3134360313415527,1.2596701383590698,1.2130017280578613,0.9620314836502075,1.1931085586547852,1.24091637134552,1.22992742061615,1.1034235954284668,1.046704888343811,1.1441967487335205,1.1831119060516357,1.0652515888214111,1.078351616859436,0.96198570728302,0.771521806716919,1.0409578084945679,0.9883325099945068,1.154137134552002,1.0517818927764893,1.299328088760376,1.1177105903625488,1.2110726833343506,1.128741979598999,1.1932294368743896,1.239920735359192,1.362351655960083,1.272702932357788,1.2319977283477783,1.1716434955596924,1.2308354377746582,1.301269292831421,1.3352813720703125,0.9106546640396118,1.1263773441314697,0.940003514289856,0.46846485137939453,0.6727827191352844,1.0319850444793701,1.129653811454773,0.8200672268867493,0.9629221558570862,0.47742003202438354,0.5649640560150146,0.6040018200874329,0.7429120540618896,0.9453116059303284,0.8254061937332153,0.6434470415115356,0.7897640466690063,0.7337095141410828,0.5791860818862915,0.6424268484115601,0.7367884516716003,0.7845662236213684,0.6850992441177368,0.7728234529495239,1.0501062870025635,0.5947737693786621,0.7122463583946228,0.9619886875152588,1.0293729305267334,0.8802958130836487,0.7994310259819031,1.0994316339492798,1.2523962259292603,0.9399858713150024,0.9679527282714844,1.131048321723938,1.2359613180160522,1.2033557891845703
face,0.8069074749946594,0.8275696039199829,0.9851815700531006,0.9095644950866699,0.43018871545791626,0.7271662950515747,0.0,0.3558011054992676,0.788280189037323,0.6999688148498535,0.7671632766723633,0.7128022909164429,0.7827265858650208,1.1199508905410767,1.175397276878357,1.0322109460830688,1.0812814235687256,1.0502585172653198,0.9949274063110352,0.9218214750289917,0.9310745000839233,0.9694638848304749,1.0104020833969116,1.0527749061584473,0.9817631244659424,1.0523253679275513,1.0030418634414673,1.0738588571548462,1.0446892976760864,0.9985673427581787,0.9175776243209839,1.063550591468811,1.019335150718689,0.9456307291984558,0.7422440648078918,0.6502286791801453,0.7567902207374573,0.7522319555282593,0.7291500568389893,0.7431647777557373,0.7280805110931396,1.0898061990737915,1.011918306350708,0.9110035300254822,1.0066871643066406,1.1038331985473633,1.0012202262878418,1.0939137935638428,1.2618660926818848,1.2711735963821411,0.8497512340545654,1.0330644845962524,1.151381254196167,1.1654794216156006,1.0113660097122192,1.0329023599624634,1.2055432796478271,1.1215945482254028,0.9573331475257874,1.159457802772522,1.2298884391784668,0.7998809814453125,0.5430384874343872,0.8707009553909302,1.1631368398666382,1.182848334312439,1.2100718021392822,1.249562382698059,1.1536335945129395,1.1731839179992676,1.206835389137268,1.2156997919082642,1.2215454578399658,1.1356713771820068,1.1001319885253906,1.0632624626159668,1.095719337463379,0.9918346405029297,1.026777982711792,1.067116141319275,1.0240434408187866,1.0396264791488647,1.0891902446746826,0.9675672650337219,0.9868869781494141,1.0900336503982544,1.1050969362258911,1.17354416847229,1.1149746179580688,1.105128288269043,1.197359323501587,1.2393109798431396,1.3165162801742554,1.2003710269927979,1.2300232648849487,1.2460708618164062,1.1372544765472412
hair,0.8772962093353271,0.8043696880340576,1.0401219129562378,1.0683584213256836,0.6385011672973633,0.799882173538208,0.3558011054992676,0.0,0.7349456548690796,0.7738033533096313,0.8449158668518066,0.8078494668006897,0.7981306314468384,1.113293170928955,1.1160831451416016,0.9502015113830566,0.9744184613227844,1.0103753805160522,0.9732453227043152,0.8941277265548706,0.9329175353050232,0.9829202890396118,0.9806022047996521,0.9882051944732666,0.9370465278625488,1.0678256750106812,0.9862135648727417,1.0362682342529297,1.0103493928909302,1.0001238584518433,0.9505822658538818,1.0162756443023682,1.0408543348312378,0.8468401432037354,0.7802125811576843,0.624014675617218,0.7823128700256348,0.718373715877533,0.6618025302886963,0.6764423251152039,0.6719397306442261,1.0508458614349365,0.9316921830177307,0.876088559627533,0.9957501292228699,1.085111141204834,0.988095760345459,1.040717363357544,1.209397315979004,1.2642641067504883,0.9922835826873779,1.1531286239624023,1.1720259189605713,1.1573224067687988,1.0101276636123657,1.0412625074386597,1.1275883913040161,1.0278643369674683,0.9316107630729675,1.0044134855270386,1.1878125667572021,0.652395486831665,0.6689448952674866,0.796083927154541,1.2292919158935547,1.1029146909713745,1.1698309183120728,1.240433692932129,1.1788333654403687,1.1666772365570068,1.171608567237854,1.1313034296035767,1.1718769073486328,1.0964832305908203,1.1456379890441895,1.140974521636963,1.130960464477539,1.0444729328155518,1.103583574295044,1.152224063873291,1.0996795892715454,1.1080204248428345,1.1881214380264282,0.9827497005462646,1.0167173147201538,1.1416144371032715,1.0799263715744019,1.0817015171051025,1.19386625289917,1.1613422632217407,1.2265006303787231,1.253004789352417,1.3403174877166748,1.15388023853302,1.275442361831665,1.2293686866760254,1.120247721672058
arm,1.0618864297866821,0.9948087334632874,1.0891075134277344,1.2093408107757568,0.9555574059486389,1.0261855125427246,0.788280189037323,0.7349456548690796,0.0,0.4427492618560791,0.7182984948158264,0.7425899505615234,0.6415294408798218,1.075795292854309,0.999464213848114,0.7855685949325562,0.845445454120636,0.8851191401481628,0.7091917991638184,0.776115894317627,0.780161440372467,0.9251376986503601,0.9377837777137756,0.9250533580780029,0.8937054872512817,0.9520399570465088,0.822532057762146,0.8461211323738098,0.8386752605438232,1.1707278490066528,1.1498384475708008,0.8161996006965637,0.8656678199768066,0.8210910558700562,0.6168397665023804,0.5132481455802917,0.5967297554016113,0.6198702454566956,0.6098583936691284,0.5607673525810242,0.5725122094154358,1.1904234886169434,1.0449475049972534,0.5623777508735657,0.8097342252731323,0.7616472244262695,0.8207722902297974,0.8444868922233582,1.066756248474121,1.0131735801696777,1.1750191450119019,1.1927937269210815,1.0152242183685303,1.0287399291992188,0.967130184173584,0.7942390441894531,1.1633020639419556,1.004311442375183,0.7852910161018372,1.065710186958313,1.0771116018295288,1.1691603660583496,1.0728652477264404,0.8031653165817261,1.2149507999420166,1.029127836227417,1.1290255784988403,1.1473428010940552,1.2138969898223877,1.1861118078231812,1.1858423948287964,1.0179286003112793,1.1213645935058594,0.8537978529930115,1.2149852514266968,1.3302490711212158,1.34441077709198,1.0482089519500732,1.2483986616134644,1.297611951828003,1.3172979354858398,1.257245421409607,1.3070459365844727,1.0097415447235107,1.1586463451385498,1.202438235282898,1.2051303386688232,1.1922839879989624,1.3236091136932373,1.222225308418274,1.1910938024520874,1.2297362089157104,1.3277848958969116,1.2524874210357666,1.204578161239624,1.1745548248291016,0.9618220329284668
hand,1.0672444105148315,1.0191947221755981,0.9977908730506897,1.0278230905532837,0.6383368968963623,0.7777811288833618,0.6999688148498535,0.7738033533096313,0.4427492618560791,0.0,0.26274240016937256,0.3604375123977661,0.44544148445129395,1.1284469366073608,1.0999014377593994,1.1289725303649902,1.0810117721557617,1.1009135246276855,1.069968581199646,1.073620080947876,1.0959619283676147,1.0736347436904907,1.0712378025054932,1.1122004985809326,1.1384167671203613,1.1314830780029297,1.1377753019332886,1.0640859603881836,1.1075390577316284,1.1779170036315918,1.1211293935775757,0.9949566721916199,1.1539766788482666,1.0699712038040161,0.8815765976905823,0.8797664642333984,0.8920449018478394,0.9479101896286011,0.9106550216674805,0.9208202958106995,0.8764995336532593,0.9037689566612244,0.9062850475311279,0.5858851671218872,0.6157004833221436,0.5028485059738159,1.0666438341140747,0.9992592930793762,1.1189122200012207,1.06765615940094,0.9947033524513245,1.0447560548782349,1.0798972845077515,1.1016182899475098,0.9930183291435242,0.9465379118919373,1.1748523712158203,1.1266218423843384,1.128922700881958,1.0448826551437378,1.0779591798782349,1.0617189407348633,0.8476563692092896,0.7293553948402405,1.1784297227859497,0.9692391753196716,0.9951537251472473,1.0277584791183472,1.0415828227996826,1.064548373222351,1.0684418678283691,1.007344365119934,1.2163455486297607,0.7885308265686035,0.8722183704376221,1.1066609621047974,1.1177676916122437,0.8605556488037109,1.033341646194458,1.1216903924942017,1.0813127756118774,1.0322091579437256,1.0794780254364014,0.8924946188926697,0.9542906880378723,1.0212390422821045,1.061942219734192,1.140576958656311,1.134218692779541,1.0795745849609375,1.1157265901565552,1.1287553310394287,1.1732064485549927,1.1852420568466187,1.1202574968338013,1.1936259269714355,1.1250485181808472
