,horse,rooster,bird,fish,butterfly,frog,alligator,owl,elephant,cat,dog,face,hair,arm,hand,leg,foot,ankle,finger,toe,tooth,ear,nose,stroller,motorcycle,car,lamp,chair,bench,drawer,ladder,window,door,closet,shower,refrigerator,oven,crib,bed,couch,table,bathtub,sink,boat,slide,hose,sprinkler,clock,ball,balloon,pumpkin,egg,orange,apple,strawberry,hat,slipper,watch,nail,glasses,necklace,carrot,vacuum,shovel,scissors,spoon,fork,knife,pencil,pen,crayon,plant,flower,soap,bottle,cup,can,belt,radio,basket,milk,jar,bucket,tape,bowl,plate,corn,pickle,banana,melon,bread,cookie,cracker,pizza,hamburger,muffin,glass,coffee,tray,box,book,paper,comb,toothbrush,gum,toy,doll,mitten,glove,sock,shoe,purse,pillow,towel,napkin,blanket,dress,pajamas,bib,scarf,jacket,sweater,shirt,jeans,pants,shorts
horse,0.0,0.22602242231369019,0.42797350883483887,0.6980527639389038,0.39319783449172974,0.44106006622314453,0.7197949290275574,0.9327282905578613,1.111283779144287,1.0466794967651367,0.8725588917732239,1.1505231857299805,1.2193715572357178,1.3565057516098022,1.2589192390441895,1.0727311372756958,1.164017677307129,0.9509162902832031,1.1007736921310425,1.038039207458496,1.0485798120498657,1.0827481746673584,0.9460046291351318,1.0144566297531128,1.0132300853729248,0.7351701259613037,0.8485313653945923,1.1335340738296509,1.3055267333984375,1.0278983116149902,1.0390905141830444,1.1712106466293335,1.1978014707565308,1.2670836448669434,1.2886378765106201,1.2347073554992676,1.2281546592712402,1.1661341190338135,1.266993761062622,1.2705427408218384,1.2557151317596436,1.3322218656539917,1.1835530996322632,1.1364398002624512,1.2706584930419922,1.1244291067123413,1.1115615367889404,0.7039545178413391,0.7906389236450195,0.8453116416931152,0.877653181552887,0.8657000660896301,0.7744101881980896,0.7959280014038086,0.7458065748214722,0.8809869885444641,0.8529771566390991,0.9145915508270264,0.954621434211731,0.8706163167953491,0.9978406429290771,0.8845431804656982,0.9500736594200134,0.7387690544128418,0.8012233972549438,0.701957106590271,0.7175891995429993,0.9140061736106873,0.8571678400039673,0.8330622911453247,0.8289794921875,0.7299538850784302,0.7234940528869629,0.8785018920898438,0.8224177360534668,0.8423058390617371,0.8949666619300842,0.8702758550643921,0.7452373504638672,0.9256296157836914,1.0916141271591187,0.8965179324150085,0.8884238004684448,0.727103590965271,0.9204389452934265,0.9968321323394775,0.9472654461860657,0.8781858086585999,0.8364394307136536,1.006187081336975,1.0166800022125244,0.8890041708946228,1.0865869522094727,0.9963328242301941,1.198439598083496,1.0844357013702393,1.2377827167510986,1.0027416944503784,1.1621074676513672,1.1052676439285278,0.8832290172576904,1.1608792543411255,1.2295907735824585,1.1960551738739014,0.8915553092956543,0.6929104328155518,0.8582832217216492,1.2780461311340332,0.9975906014442444,1.1702464818954468,0.9780013561248779,0.9666485786437988,0.8566403388977051,0.9541215896606445,0.9589489102363586,1.215803861618042,1.2108690738677979,1.3267606496810913,1.2665479183197021,1.2697139978408813,1.2564141750335693,1.292391300201416,1.2852771282196045,1.3225982189178467,1.2693309783935547,1.2215362787246704
rooster,0.22602242231369019,0.0,0.3033633828163147,0.6338090300559998,0.3399377465248108,0.3865877389907837,0.6681166291236877,0.7611766457557678,1.1786563396453857,0.886711597442627,0.7194536924362183,1.0858196020126343,1.0715705156326294,1.4034217596054077,1.2421783208847046,1.0298612117767334,1.0573506355285645,0.9677048921585083,1.0630310773849487,0.9459870457649231,0.9993770122528076,0.9849510788917542,0.8328866958618164,0.9830722808837891,0.9776411056518555,0.7539017796516418,0.8472477793693542,1.1421394348144531,1.3109863996505737,1.105473279953003,1.0218756198883057,1.1499319076538086,1.1360617876052856,1.240493893623352,1.2465463876724243,1.2265493869781494,1.261178731918335,1.1737929582595825,1.3228150606155396,1.2722023725509644,1.3209564685821533,1.3944721221923828,1.2704514265060425,1.2498929500579834,1.4097437858581543,1.1522250175476074,1.0965946912765503,0.6948190331459045,0.7969234585762024,0.897619903087616,0.8557249903678894,0.8397358655929565,0.8278859853744507,0.7950491905212402,0.7717528343200684,0.8009219169616699,0.807467520236969,0.9213987588882446,0.9408584237098694,0.8405436873435974,0.9882974028587341,0.9261462688446045,0.831234335899353,0.7021917700767517,0.8699914216995239,0.7266422510147095,0.7254149913787842,0.9612687230110168,0.8962711691856384,0.8816486597061157,0.8782015442848206,0.6094446778297424,0.5992755889892578,0.8776865601539612,0.8326690196990967,0.8938708305358887,0.9343963861465454,0.944557785987854,0.7571883201599121,0.9111269116401672,1.1655749082565308,0.9247274994850159,0.9648712277412415,0.8200877904891968,1.034225583076477,1.0898691415786743,0.8945314884185791,0.908828854560852,0.8009165525436401,1.0562243461608887,0.9631783962249756,0.8369983434677124,0.9845664501190186,0.9949776530265808,1.0972520112991333,0.9105662107467651,1.152902364730835,1.1487205028533936,1.2753419876098633,1.205132246017456,1.0201984643936157,1.2413898706436157,1.1929527521133423,1.1973358392715454,0.9008627533912659,0.6982759833335876,0.661799430847168,1.207419753074646,0.8726831674575806,1.1707959175109863,0.91365647315979,0.9936635494232178,0.865254819393158,0.9959282279014587,1.0060800313949585,1.272895336151123,1.2181178331375122,1.3555729389190674,1.2971420288085938,1.1681158542633057,1.3296476602554321,1.2886539697647095,1.295019268989563,1.3698561191558838,1.276512861251831,1.2371008396148682
bird,0.42797350883483887,0.3033633828163147,0.0,0.40159153938293457,0.3900933265686035,0.4294582009315491,0.41335445642471313,0.5476264357566833,0.9467326402664185,0.6756951212882996,0.7055937051773071,1.1216256618499756,1.08005952835083,1.237898588180542,1.259164810180664,1.0605509281158447,1.176343560218811,1.037460446357727,1.1983789205551147,1.1310638189315796,1.0416744947433472,1.1291275024414062,0.9486724734306335,1.1443474292755127,1.029811143875122,0.7836018800735474,0.8318654894828796,1.243434190750122,1.2602438926696777,1.0863268375396729,1.1538763046264648,1.0652234554290771,1.2061350345611572,1.2577025890350342,1.2040433883666992,1.2670572996139526,1.281383991241455,1.1930009126663208,1.2082960605621338,1.209628939628601,1.1835668087005615,1.2225024700164795,1.1080787181854248,1.082711935043335,1.1853468418121338,0.9886656999588013,0.8818665742874146,0.7518645524978638,0.8794465065002441,0.9361371397972107,0.9884198904037476,0.9499524235725403,0.9043119549751282,0.9186574220657349,0.9229137301445007,0.9381787776947021,0.9302327036857605,1.0245482921600342,1.0042047500610352,0.9181411266326904,1.1111139059066772,0.9862992167472839,1.009292721748352,0.8651739358901978,0.8165786266326904,0.80766761302948,0.7194564938545227,0.8746755719184875,0.9019718170166016,0.8337513208389282,0.8939300775527954,0.7750194072723389,0.7526850700378418,0.9050408601760864,0.9357609748840332,0.9721242785453796,1.1033620834350586,0.9221951961517334,0.907698392868042,1.0340497493743896,1.1533424854278564,1.0800940990447998,1.0924396514892578,0.9066051840782166,1.0087823867797852,1.0116065740585327,0.9187830090522766,0.921445369720459,0.8459717035293579,0.9856627583503723,1.00978684425354,0.9086976647377014,1.0010424852371216,0.9949899315834045,1.0345360040664673,0.93717360496521,1.1111907958984375,1.102189064025879,1.1816444396972656,1.2170140743255615,0.9695781469345093,1.069478988647461,0.9575673341751099,1.0637081861495972,0.9675207734107971,0.873782753944397,0.8898316025733948,1.1470950841903687,0.9521134495735168,1.106489896774292,0.9580215811729431,1.0520246028900146,0.8785033822059631,0.9673928022384644,0.9615657329559326,1.0597777366638184,1.1480377912521362,1.2408398389816284,1.1235809326171875,1.034043312072754,1.1833207607269287,1.2194873094558716,1.2152738571166992,1.262416958808899,1.276294231414795,1.2637561559677124
fish,0.6980527639389038,0.6338090300559998,0.40159153938293457,0.0,0.4483937621116638,0.48101550340652466,0.5481632351875305,0.7997326850891113,1.1181832551956177,0.9195535182952881,1.0159436464309692,1.2006564140319824,1.1796742677688599,1.235711693763733,1.1318371295928955,1.0488243103027344,0.8366186022758484,0.8016685247421265,0.9069365859031677,0.8589576482772827,0.6985204815864563,0.9491515159606934,0.8357917666435242,1.3113179206848145,1.2153750658035278,0.7452746033668518,0.8653719425201416,1.3594365119934082,1.270714282989502,0.974307119846344,1.3729736804962158,1.2190735340118408,1.3319190740585327,1.4240341186523438,1.4050657749176025,1.4553451538085938,1.3690732717514038,1.4034762382507324,1.3430085182189941,1.2564539909362793,1.3459340333938599,1.3155333995819092,0.985754668712616,1.0812675952911377,1.2529151439666748,1.036376714706421,1.00571870803833,0.8228241205215454,0.8084109425544739,0.6721115112304688,1.0160280466079712,0.8100323677062988,0.7820482850074768,0.7323560118675232,0.7041956186294556,0.8364658355712891,0.6578128337860107,0.8733416795730591,0.7958208918571472,0.7631534337997437,0.9186344146728516,0.6219121217727661,1.1331499814987183,0.8371061086654663,0.8190699815750122,0.698684811592102,0.698348879814148,0.7086181044578552,0.6522476077079773,0.6488275527954102,0.6032512784004211,0.9759618639945984,0.8691383600234985,0.716835081577301,0.8894244432449341,0.8943556547164917,0.8750686645507812,0.62103271484375,0.925870418548584,1.087631106376648,1.322500467300415,1.2046301364898682,1.0490721464157104,0.7962527275085449,0.8865077495574951,0.929508626461029,0.8477926254272461,0.653369665145874,0.7698783874511719,0.8289857506752014,0.7487181425094604,0.7968653440475464,0.903773844242096,1.012466311454773,1.022732138633728,0.902900755405426,1.1543395519256592,1.1014007329940796,1.255355715751648,1.3394170999526978,0.9872643351554871,1.1490421295166016,0.8612397313117981,0.9262775182723999,0.6889594793319702,0.9648051261901855,1.0554921627044678,1.0513877868652344,0.76971834897995,0.9023241996765137,0.9787931442260742,1.168968915939331,0.7297690510749817,0.7815274596214294,0.7825366854667664,1.1253085136413574,1.1527376174926758,1.2361094951629639,1.2025697231292725,1.0931416749954224,1.296137809753418,1.305363416671753,1.2795183658599854,1.199347734451294,1.2018824815750122,1.160744071006775
butterfly,0.39319783449172974,0.3399377465248108,0.3900933265686035,0.4483937621116638,0.0,0.25423502922058105,0.6440693140029907,0.8712527751922607,1.368518590927124,1.1832196712493896,1.1223583221435547,1.190443992614746,1.2545562982559204,1.4162037372589111,1.2385269403457642,1.158333659172058,0.976149320602417,0.8481301665306091,0.9573563933372498,0.9073284268379211,0.796862006187439,0.9386400580406189,0.9295670390129089,1.1836997270584106,1.1306712627410889,0.7559775114059448,0.7620790600776672,1.298630952835083,1.4172931909561157,0.9418812394142151,1.1578450202941895,1.2469854354858398,1.264776349067688,1.3852896690368652,1.3823611736297607,1.3755168914794922,1.3590586185455322,1.325810194015503,1.4398245811462402,1.4122192859649658,1.3462271690368652,1.4030207395553589,1.110422968864441,1.2003931999206543,1.3961031436920166,1.0860435962677002,1.057552456855774,0.583177924156189,0.7939844131469727,0.7508646249771118,0.9800312519073486,0.8560992479324341,0.7759720683097839,0.7403146028518677,0.6392655968666077,0.7387344837188721,0.6377522349357605,0.7658910751342773,0.8391539454460144,0.7253689765930176,0.8511102199554443,0.7446202635765076,0.9007143974304199,0.6457424759864807,0.6176964640617371,0.55557781457901,0.5371111631393433,0.698619544506073,0.6291024684906006,0.6369962096214294,0.6072525978088379,0.7652345299720764,0.6461068391799927,0.7759978771209717,0.7929551601409912,0.8070933818817139,0.8154419660568237,0.7019551992416382,0.6473855972290039,0.9005720019340515,1.2258687019348145,1.020805835723877,0.8948315978050232,0.6415053009986877,0.9201591610908508,0.9294903874397278,0.8047134876251221,0.701630175113678,0.7003294229507446,0.9857267141342163,0.8809819221496582,0.7367063760757446,0.9334614872932434,1.0348565578460693,1.1230412721633911,1.0366463661193848,1.2091145515441895,1.1040325164794922,1.2009046077728271,1.2023835182189941,0.8848767280578613,1.1532866954803467,1.0648354291915894,1.02405846118927,0.7016469836235046,0.6874332427978516,0.9166668653488159,1.2549457550048828,0.8934633731842041,1.0608141422271729,0.912125825881958,1.0336427688598633,0.8453196883201599,0.90220046043396,0.8876312375068665,1.3526700735092163,1.3076860904693604,1.432359218597412,1.3237409591674805,1.231812596321106,1.3562297821044922,1.4105675220489502,1.4052555561065674,1.4233322143554688,1.383955478668213,1.336676836013794
frog,0.44106006622314453,0.3865877389907837,0.4294582009315491,0.48101550340652466,0.25423502922058105,0.0,0.5639564394950867,0.8019275665283203,1.29556405544281,1.1373037099838257,0.9416647553443909,1.1212519407272339,1.2850186824798584,1.3864610195159912,1.2283605337142944,1.2860589027404785,1.1564005613327026,1.0576636791229248,1.1160945892333984,1.0654118061065674,0.9630312919616699,1.113229751586914,1.051985740661621,1.1169960498809814,1.0811489820480347,0.7161843180656433,0.9314553141593933,1.3553814888000488,1.4203463792800903,0.9573453664779663,1.2154256105422974,1.2955310344696045,1.3208560943603516,1.3853676319122314,1.3661731481552124,1.4029734134674072,1.4347212314605713,1.2266108989715576,1.3260502815246582,1.329765796661377,1.1921303272247314,1.3323453664779663,1.186089038848877,1.067789077758789,1.2422600984573364,1.0710301399230957,0.9956530928611755,0.6966793537139893,0.6981126666069031,0.7905290126800537,0.9085172414779663,0.8454096913337708,0.773857593536377,0.7684711217880249,0.7496935725212097,0.9005963802337646,0.8505401611328125,0.9939836859703064,1.007750153541565,0.9350627064704895,1.0673625469207764,0.8504465222358704,1.057168960571289,0.8174853920936584,0.5059753656387329,0.6490749716758728,0.7447481155395508,0.8886081576347351,0.8338133096694946,0.8335236310958862,0.7830556035041809,0.7135347127914429,0.5935422778129578,0.851381778717041,0.917945921421051,0.9324866533279419,1.0492987632751465,0.9642396569252014,0.7923715710639954,0.9538877010345459,1.0814770460128784,0.9446592330932617,0.954965353012085,0.6187320351600647,0.8840420842170715,0.8244001269340515,0.8119025826454163,0.6121494174003601,0.5472406148910522,0.7440787553787231,0.918993353843689,0.6818647384643555,0.8928544521331787,0.9299542307853699,0.9642741680145264,0.9510492086410522,1.171846866607666,1.084486961364746,1.021251916885376,1.0537793636322021,0.8087363243103027,1.0525766611099243,1.1678054332733154,0.9884980916976929,0.5675261616706848,0.3921701908111572,0.734268307685852,1.116045594215393,0.8783978223800659,1.109021782875061,0.9011027812957764,0.9829834699630737,0.9227961897850037,0.9929208159446716,0.9725216031074524,1.2027231454849243,1.3351502418518066,1.3630585670471191,1.1956123113632202,1.1722325086593628,1.3090238571166992,1.3800783157348633,1.390166997909546,1.4137639999389648,1.4338412284851074,1.3980591297149658
alligator,0.7197949290275574,0.6681166291236877,0.41335445642471313,0.5481632351875305,0.6440693140029907,0.5639564394950867,0.0,0.8150002360343933,0.8815847635269165,0.7339992523193359,0.7273118495941162,1.1770453453063965,1.1470730304718018,1.020672082901001,1.2273741960525513,1.0070008039474487,1.2046895027160645,1.0886611938476562,1.2545759677886963,1.2483614683151245,1.1132686138153076,1.2994985580444336,1.1003903150558472,1.1540700197219849,1.0984314680099487,0.8176640868186951,0.8044378757476807,1.0947868824005127,1.0159873962402344,0.8174904584884644,1.0267093181610107,0.9416197538375854,1.0703074932098389,1.1325933933258057,1.0837347507476807,1.0909782648086548,1.0847444534301758,1.0816090106964111,1.0551815032958984,1.0438216924667358,1.0613958835601807,1.0025054216384888,0.8238683938980103,0.9367313385009766,1.0016478300094604,0.7648494243621826,0.7955988645553589,0.8807783126831055,1.1802351474761963,1.17058527469635,1.1973614692687988,1.2033058404922485,1.171306848526001,1.1774787902832031,1.1419482231140137,1.2041256427764893,1.063349962234497,1.1353331804275513,1.1875368356704712,1.0758321285247803,1.186621904373169,1.144402265548706,0.8390650749206543,0.9457970261573792,0.7811341285705566,0.8886585235595703,0.7235414981842041,0.6402267217636108,0.8039445877075195,0.7660048007965088,0.9257044196128845,0.8382705450057983,0.8923336267471313,0.9165716767311096,1.0697063207626343,1.0821365118026733,1.074833869934082,0.8825837969779968,0.9143203496932983,0.9855183362960815,1.1388559341430664,1.1367957592010498,1.1440744400024414,1.0751181840896606,1.0478565692901611,0.9844640493392944,0.9141185283660889,1.0057178735733032,0.9531086683273315,0.9805449843406677,1.0322233438491821,1.0201969146728516,0.9797478318214417,1.0107251405715942,1.0775606632232666,1.0377775430679321,1.1571331024169922,0.9979146718978882,1.054978609085083,1.0634715557098389,0.8978158235549927,0.9600054621696472,0.8714481592178345,0.9523863196372986,1.163956880569458,1.00673508644104,1.0417004823684692,1.1723616123199463,1.0764641761779785,1.0962916612625122,1.0576854944229126,1.033931016921997,0.7826720476150513,0.8723803758621216,0.8643909692764282,0.9482529163360596,1.1770331859588623,1.1854479312896729,1.1502621173858643,1.0464565753936768,1.1244145631790161,1.1629738807678223,1.1781208515167236,1.154002070426941,1.2068142890930176,1.2300208806991577
owl,0.9327282905578613,0.7611766457557678,0.5476264357566833,0.7997326850891113,0.8712527751922607,0.8019275665283203,0.8150002360343933,0.0,0.5935133695602417,0.38986390829086304,0.5964545607566833,0.7383031249046326,0.7224223613739014,0.9087148904800415,1.003278136253357,1.1299850940704346,1.1794264316558838,1.2907404899597168,1.1932833194732666,1.1776506900787354,1.1203256845474243,1.0795671939849854,1.0347585678100586,1.0123043060302734,0.8814641237258911,0.9688759446144104,1.2650294303894043,1.1555507183074951,0.9614865779876709,1.278849720954895,1.2076303958892822,0.930109441280365,1.0715872049331665,0.933251142501831,0.8921549320220947,1.0752264261245728,1.154791235923767,0.9515989422798157,0.8016873002052307,0.8633890748023987,0.8445554375648499,0.9385899305343628,1.2755025625228882,0.9088609218597412,0.890310525894165,0.9827145934104919,0.801305890083313,1.0860835313796997,0.9598456025123596,1.1779311895370483,1.0786062479019165,1.113815188407898,1.1477299928665161,1.1665092706680298,1.1634573936462402,1.093457579612732,1.2701034545898438,1.3020070791244507,1.1323819160461426,1.1758580207824707,1.2334058284759521,1.1503589153289795,1.3326586484909058,1.3862905502319336,1.1588014364242554,1.369847059249878,1.2426700592041016,1.3232742547988892,1.3436111211776733,1.3069732189178467,1.3105825185775757,1.0022666454315186,1.028113842010498,1.2729771137237549,1.302260398864746,1.3525291681289673,1.4523825645446777,1.2819565534591675,1.2643213272094727,1.1507275104522705,1.0998797416687012,1.1862950325012207,1.373073697090149,1.2466695308685303,1.317755103111267,1.1778502464294434,1.0433369874954224,1.1429263353347778,1.0320279598236084,1.1255384683609009,1.0220688581466675,0.9549911618232727,0.7808979749679565,0.9138059616088867,0.7336190342903137,0.5603427886962891,0.7825703620910645,1.2238494157791138,1.0521128177642822,1.1215907335281372,1.1168200969696045,0.8991809487342834,0.7225522398948669,1.068752408027649,1.0477083921432495,1.0011645555496216,0.7640381455421448,0.775443434715271,1.0209416151046753,1.1216533184051514,1.016620397567749,1.0585564374923706,1.1678423881530762,1.2707656621932983,1.2949740886688232,0.6692233085632324,0.8602355122566223,0.8133285045623779,0.6579357981681824,0.6627302765846252,0.7722039818763733,0.8261429667472839,0.8194916844367981,0.8709269762039185,0.9418073892593384,0.9789872765541077
elephant,1.111283779144287,1.1786563396453857,0.9467326402664185,1.1181832551956177,1.368518590927124,1.29556405544281,0.8815847635269165,0.5935133695602417,0.0,0.3553880453109741,0.6533300876617432,0.8107618689537048,0.7479444742202759,0.5510834455490112,0.8887159824371338,0.8646692037582397,1.0648236274719238,1.1811968088150024,1.1252214908599854,1.1597617864608765,1.2391587495803833,1.115876317024231,1.122078537940979,0.8705770969390869,0.8069855570793152,1.2089123725891113,1.323481798171997,0.8703328967094421,0.6581960320472717,1.3076682090759277,1.0989320278167725,0.8046948909759521,0.9062722325325012,0.7113817930221558,0.6497789621353149,0.8330190777778625,0.8765655159950256,0.8340461850166321,0.5073949694633484,0.5622060894966125,0.6976100206375122,0.66507887840271,1.1261787414550781,0.8377881050109863,0.5165922045707703,0.8993865847587585,0.8199102878570557,1.3731510639190674,1.2339999675750732,1.3492920398712158,1.1955478191375732,1.2823381423950195,1.336315393447876,1.3590023517608643,1.3843982219696045,1.2708470821380615,1.3216536045074463,1.295823097229004,1.2411832809448242,1.2971346378326416,1.2328805923461914,1.2644375562667847,1.2735813856124878,1.4300501346588135,1.2974133491516113,1.4804350137710571,1.4116809368133545,1.3149974346160889,1.41553795337677,1.3744497299194336,1.4061410427093506,1.1881916522979736,1.3215053081512451,1.368499755859375,1.402807593345642,1.4337332248687744,1.4195854663848877,1.2672674655914307,1.3948354721069336,1.3331457376480103,1.1195625066757202,1.3151280879974365,1.4288196563720703,1.460253357887268,1.4044110774993896,1.3317316770553589,1.1882275342941284,1.314289927482605,1.2536729574203491,1.2112194299697876,1.2339948415756226,1.3221004009246826,1.1385670900344849,1.1354626417160034,0.9002893567085266,0.9919755458831787,0.8910663723945618,1.2008029222488403,1.0508975982666016,1.0876331329345703,1.2170963287353516,0.898726761341095,0.8805533051490784,1.0785815715789795,1.407869577407837,1.363153100013733,1.0660227537155151,0.733558177947998,1.0156164169311523,0.8904608488082886,0.9390755891799927,1.0287212133407593,1.128472089767456,1.1573214530944824,1.2034385204315186,0.47290897369384766,0.586973249912262,0.4811594486236572,0.5707090497016907,0.6142069697380066,0.44974756240844727,0.4508763551712036,0.4779926538467407,0.38714683055877686,0.4879589080810547,0.598288893699646
cat,1.0466794967651367,0.886711597442627,0.6756951212882996,0.9195535182952881,1.1832196712493896,1.1373037099838257,0.7339992523193359,0.38986390829086304,0.3553880453109741,0.0,0.24644994735717773,0.8350985646247864,0.6458228826522827,0.6655269861221313,0.9256604909896851,0.865339994430542,1.119633436203003,1.3047839403152466,1.246618390083313,1.2607612609863281,1.246467113494873,1.1543478965759277,1.0472356081008911,0.8688269853591919,0.7800331115722656,1.1052381992340088,1.3057386875152588,0.8464480042457581,0.6306015253067017,1.272413969039917,1.0608351230621338,0.7917979955673218,0.8460413813591003,0.7307170629501343,0.689924955368042,0.8413345813751221,0.8827657699584961,0.7757995128631592,0.581327497959137,0.5916346311569214,0.7433129549026489,0.7098761796951294,1.0768680572509766,0.9113466143608093,0.7240229845046997,0.8576757907867432,0.8171746134757996,1.3343241214752197,1.2405409812927246,1.3816510438919067,1.2223783731460571,1.3205476999282837,1.3767988681793213,1.390061378479004,1.4169425964355469,1.2535736560821533,1.3448476791381836,1.3547730445861816,1.283529281616211,1.285809874534607,1.3042962551116943,1.2812275886535645,1.185080647468567,1.3921507596969604,1.280348777770996,1.4610497951507568,1.3733124732971191,1.2651015520095825,1.4151630401611328,1.3774051666259766,1.4291787147521973,1.0738375186920166,1.1947606801986694,1.3647021055221558,1.3825234174728394,1.420722246170044,1.37858247756958,1.2947783470153809,1.3377783298492432,1.2472856044769287,1.0736430883407593,1.2521892786026,1.3880733251571655,1.4963383674621582,1.3886222839355469,1.2877843379974365,1.176074504852295,1.3136570453643799,1.204978346824646,1.1922283172607422,1.1493929624557495,1.2531769275665283,0.9693543314933777,1.030556321144104,0.8844794631004333,0.7351376414299011,0.7547427415847778,1.1667060852050781,1.0557619333267212,1.0584405660629272,1.2096184492111206,0.9078117609024048,0.7649734020233154,1.035900592803955,1.3658397197723389,1.302385926246643,0.8846546411514282,0.7382370829582214,0.9737942218780518,1.0161998271942139,0.9775044918060303,0.9737697839736938,1.0971949100494385,1.184374213218689,1.1981937885284424,0.504262387752533,0.7012141942977905,0.6398240923881531,0.6229770183563232,0.5460885763168335,0.6333553194999695,0.6479248404502869,0.6472446322441101,0.6345053911209106,0.7027146816253662,0.76686692237854
