,dog,frog,nose,face,hair,arm,hand,finger,toe,lamp,drawer,bench,chair,table,couch,bed,crib,window,door,refrigerator,oven,sink,bathtub,car,jacket,shirt,bib,pajamas,jeans,pants,slipper,shoe,sock,glove,blanket,pillow,towel,napkin,doll,toy,tray,box,book,paper,basket,purse,comb,hat,glasses,scissors,fork,spoon,crayon,pencil,pen,knife,toothbrush,gum,balloon,ball,egg,orange,pumpkin,apple,melon,banana,plant,bread,plate,bowl,bottle,cup,bucket,can
dog,0.0,0.8337092995643616,1.0150395631790161,0.82582688331604,0.8515990972518921,0.955278754234314,1.0726196765899658,1.2624492645263672,1.204103946685791,1.1247941255569458,1.1478760242462158,0.858971357345581,0.989626407623291,0.8103217482566833,0.7124341726303101,0.7557471990585327,0.8035606145858765,0.9049526453018188,0.9481453895568848,0.9054060578346252,0.8858315348625183,0.942710280418396,0.9094173908233643,0.9346013069152832,0.948157012462616,0.8780016899108887,0.9114155769348145,0.7911850214004517,0.8403578996658325,0.7872812747955322,1.1877391338348389,0.9181589484214783,1.035321593284607,1.025456428527832,0.7536543607711792,0.9468216300010681,1.0318939685821533,1.1755067110061646,0.7877653241157532,0.8650303483009338,0.8926815986633301,0.9527749419212341,0.9065842032432556,0.9694937467575073,1.0298047065734863,1.0130366086959839,1.0652388334274292,1.1002516746520996,1.0847645998001099,0.967734158039093,1.2885745763778687,1.2843918800354004,1.2848234176635742,1.2765231132507324,1.2922112941741943,1.1638996601104736,1.2276631593704224,1.1656948328018188,1.0798672437667847,1.1224310398101807,1.2000372409820557,1.1024600267410278,1.1142191886901855,1.1177242994308472,1.0152233839035034,1.0765526294708252,0.9960210919380188,1.0714179277420044,1.0962830781936646,1.103047251701355,1.1544251441955566,1.1806902885437012,1.0973457098007202,1.01536226272583
frog,0.8337092995643616,0.0,0.8740254640579224,0.7413991689682007,1.115883708000183,1.214767575263977,1.0721718072891235,1.0347223281860352,1.0181913375854492,1.047874927520752,1.0967066287994385,1.182223916053772,1.2588577270507812,1.2532892227172852,1.1643400192260742,1.1773988008499146,1.1834230422973633,1.1383581161499023,1.1117206811904907,1.2081584930419922,1.1863821744918823,1.2063068151474,1.1717721223831177,0.9307597279548645,1.2215880155563354,1.1729354858398438,1.165606141090393,1.2068663835525513,1.1889779567718506,1.1667933464050293,0.9573579430580139,1.009777545928955,1.160015344619751,0.9678190350532532,1.183215618133545,1.1298067569732666,1.163879156112671,1.1624935865402222,0.7850066423416138,0.8548234105110168,1.093937635421753,1.1197588443756104,0.9126100540161133,1.0308533906936646,1.0923926830291748,1.0979785919189453,1.1583936214447021,0.9262114763259888,0.8622255325317383,1.1606179475784302,1.069072961807251,0.9807080626487732,0.8876633048057556,0.9496873021125793,0.9823420643806458,1.081722378730774,1.0973691940307617,0.9532291889190674,0.9532315731048584,0.8894597291946411,0.8634521961212158,0.8128378987312317,0.7619475722312927,0.744728147983551,0.8003599047660828,0.6728520393371582,0.8817951083183289,0.8135634660720825,1.04537832736969,1.1427005529403687,1.053086519241333,1.0926188230514526,1.0346972942352295,1.1793651580810547
nose,1.0150395631790161,0.8740254640579224,0.0,0.5550287961959839,0.8111650347709656,1.1759669780731201,0.8734854459762573,0.457783579826355,0.43092381954193115,1.0151729583740234,1.038122296333313,1.348388910293579,1.2553507089614868,1.398942470550537,1.2577919960021973,1.2901654243469238,1.2768115997314453,1.1992793083190918,1.1229257583618164,1.318617343902588,1.282250165939331,1.3283350467681885,1.3075413703918457,0.9872257709503174,1.0964781045913696,1.1079812049865723,1.1796269416809082,1.2288156747817993,1.114576816558838,1.1400123834609985,0.6258488297462463,1.0804123878479004,1.0060107707977295,1.0887845754623413,1.2495858669281006,1.1467931270599365,1.1684935092926025,1.1343905925750732,1.0557224750518799,1.2538784742355347,1.4314539432525635,1.3383227586746216,1.309918999671936,1.318660020828247,1.2748864889144897,1.19828200340271,1.2179176807403564,0.6463577747344971,0.4480940103530884,1.2941522598266602,0.9879379868507385,0.9570145010948181,0.6332001686096191,0.7296721339225769,0.701722264289856,0.988859236240387,1.012406587600708,0.8129205107688904,0.8525934219360352,0.664866030216217,0.5227829217910767,0.7330752611160278,0.6542421579360962,0.5782740116119385,0.8931716084480286,0.8370594382286072,1.098433017730713,0.7550795078277588,1.173468828201294,1.1446387767791748,1.1116172075271606,1.0518574714660645,1.194892406463623,1.190882682800293
face,0.82582688331604,0.7413991689682007,0.5550287961959839,0.0,0.4853672981262207,0.9029590487480164,0.8340840339660645,0.796357274055481,0.7543536424636841,1.1817437410354614,1.1518328189849854,1.0215524435043335,1.2020041942596436,1.0681812763214111,0.9595677256584167,0.9737470149993896,1.0335451364517212,1.0027271509170532,1.013474464416504,1.0621914863586426,1.0288662910461426,1.0770177841186523,1.0194871425628662,0.9870929718017578,0.9411789178848267,0.7433407306671143,0.91463303565979,0.8851048946380615,0.8078258633613586,0.7471652030944824,1.0042346715927124,0.9767163991928101,1.1335052251815796,1.1492140293121338,1.0229547023773193,1.122160792350769,1.1954855918884277,1.2298129796981812,0.8376441597938538,1.0877898931503296,1.212234616279602,1.1361535787582397,1.0736877918243408,1.0238357782363892,1.2941553592681885,1.2154061794281006,1.1301451921463013,0.9015143513679504,0.5016213655471802,1.197487235069275,1.24601411819458,1.2309281826019287,1.0535238981246948,1.0608806610107422,1.1068520545959473,1.1299413442611694,1.1616532802581787,1.0256438255310059,1.113637089729309,1.044110894203186,0.8959965705871582,0.9408349990844727,0.8922590613365173,0.9108731746673584,0.9875519275665283,0.9445703029632568,1.1778266429901123,0.9412498474121094,1.0828791856765747,1.302978515625,1.2247483730316162,1.2798421382904053,1.3478935956954956,1.191728949546814
hair,0.8515990972518921,1.115883708000183,0.8111650347709656,0.4853672981262207,0.0,0.728750467300415,0.7723313570022583,0.8691911697387695,0.8640130162239075,1.2052749395370483,1.1932417154312134,0.9942609667778015,1.0549474954605103,0.9608935713768005,0.9136597514152527,0.8847039937973022,0.9756578803062439,0.8482170701026917,0.9670546650886536,0.9734764695167542,1.0229068994522095,1.0001481771469116,0.9247828125953674,0.9951842427253723,0.7368097305297852,0.6064491271972656,0.7502340078353882,0.6914930939674377,0.67835533618927,0.662970244884491,1.0786460638046265,0.9374949932098389,1.0396279096603394,1.0502301454544067,0.8994051218032837,1.067369818687439,1.1177141666412354,1.184647798538208,0.9244563579559326,1.1103404760360718,1.1507198810577393,1.0923583507537842,1.0125253200531006,0.9485538005828857,1.2381806373596191,1.0980656147003174,0.8601735830307007,0.8534640073776245,0.6589287519454956,0.945262610912323,1.2332203388214111,1.2813951969146729,1.2059195041656494,1.1385068893432617,1.1603319644927979,1.07036292552948,1.092170238494873,1.0721482038497925,1.1360337734222412,1.171057105064392,1.099729061126709,1.1148041486740112,1.1012067794799805,1.1563011407852173,1.1119998693466187,1.092602252960205,1.0435335636138916,1.1152750253677368,1.1552834510803223,1.2725967168807983,1.1486631631851196,1.3024542331695557,1.3443787097930908,1.1678270101547241
arm,0.955278754234314,1.214767575263977,1.1759669780731201,0.9029590487480164,0.728750467300415,0.0,0.43236613273620605,0.7658112049102783,0.8128872513771057,1.1459115743637085,1.0998330116271973,0.856736421585083,0.9969709515571594,0.8237920999526978,0.8334448933601379,0.7421942353248596,0.9199661016464233,0.8180669546127319,0.9320822358131409,0.9000303745269775,0.9248592257499695,0.8233168125152588,0.8060150146484375,1.2119922637939453,0.9042776823043823,0.5296871066093445,0.663286030292511,0.6303474307060242,0.7177169919013977,0.6595511436462402,1.2221591472625732,0.9400385618209839,0.5680907368659973,0.7832447290420532,0.8100050687789917,0.8894308805465698,0.9343399405479431,0.9201257228851318,0.9945790767669678,1.0518609285354614,1.030737042427063,1.0139456987380981,0.9635047316551208,0.8101464509963989,1.2207040786743164,1.1807260513305664,0.944362998008728,1.3038886785507202,1.0445468425750732,0.8529528379440308,1.1731849908828735,1.262990951538086,1.2388241291046143,1.1306129693984985,1.1640188694000244,0.9710105657577515,1.0770611763000488,1.1374050378799438,1.2188365459442139,1.3020333051681519,1.1922767162322998,1.1699352264404297,1.2587220668792725,1.267953634262085,1.148871898651123,1.238066554069519,1.1381242275238037,1.1521425247192383,1.1470561027526855,1.2222354412078857,1.1192251443862915,1.1650828123092651,1.2732517719268799,1.0555049180984497
hand,1.0726196765899658,1.0721718072891235,0.8734854459762573,0.8340840339660645,0.7723313570022583,0.43236613273620605,0.0,0.3381052017211914,0.43508827686309814,1.2754377126693726,1.1327921152114868,1.1223959922790527,1.1670794486999512,1.0893138647079468,1.0861815214157104,1.055539846420288,1.0745983123779297,1.0399503707885742,1.0804486274719238,1.156690239906311,1.1229928731918335,1.027570128440857,1.031747817993164,1.1460826396942139,1.0764883756637573,0.8438241481781006,0.8872424364089966,0.874772310256958,0.9039919376373291,0.9488077163696289,0.9485794305801392,0.9104509949684143,0.5608466267585754,0.6289442777633667,1.036016583442688,1.086401104927063,1.0661507844924927,1.0092991590499878,0.9282654523849487,0.9940104484558105,1.06368088722229,1.1233444213867188,0.9636335372924805,0.8561598658561707,1.2125309705734253,1.2056162357330322,1.0190519094467163,1.1461896896362305,0.852337658405304,0.9200762510299683,1.0693941116333008,1.1675121784210205,1.0993714332580566,1.030152440071106,1.0466437339782715,0.9936745762825012,1.031658411026001,0.843368411064148,1.1005085706710815,1.1543108224868774,1.0190569162368774,1.033007025718689,1.1321938037872314,1.052022933959961,1.1011106967926025,1.0961339473724365,1.1626287698745728,0.9987547993659973,1.1251798868179321,1.1469650268554688,1.1179300546646118,1.1339576244354248,1.265958309173584,1.2119841575622559
finger,1.2624492645263672,1.0347223281860352,0.457783579826355,0.796357274055481,0.8691911697387695,0.7658112049102783,0.3381052017211914,0.0,0.12541460990905762,1.1463489532470703,1.0723998546600342,1.3364291191101074,1.257894515991211,1.4038655757904053,1.3167599439620972,1.3265142440795898,1.3664745092391968,1.2172222137451172,1.1740188598632812,1.3417737483978271,1.3093492984771729,1.3055764436721802,1.2516618967056274,1.0487778186798096,1.127532720565796,1.0319206714630127,1.186827301979065,1.1621776819229126,1.0093133449554443,1.0725955963134766,0.5916088819503784,1.0402145385742188,0.6747958660125732,0.8593073487281799,1.3161503076553345,1.1923699378967285,1.1809604167938232,1.0769423246383667,1.1664050817489624,1.249744176864624,1.4325313568115234,1.349586009979248,1.2261619567871094,1.1450440883636475,1.329441785812378,1.2949779033660889,1.1096723079681396,0.8525221347808838,0.6980152726173401,1.1753509044647217,0.9098621010780334,0.9338527917861938,0.5867469310760498,0.6819276809692383,0.6676768064498901,0.829039990901947,0.835603654384613,0.6685803532600403,0.8938391208648682,0.8215107917785645,0.5980848670005798,0.8127090930938721,0.7723994255065918,0.6871281862258911,0.9550376534461975,0.8816646337509155,1.1456565856933594,0.808735191822052,1.1688899993896484,1.223654866218567,1.0752713680267334,1.0697225332260132,1.2654485702514648,1.1508653163909912
toe,1.204103946685791,1.0181913375854492,0.43092381954193115,0.7543536424636841,0.8640130162239075,0.8128872513771057,0.43508827686309814,0.12541460990905762,0.0,1.1409589052200317,1.1109014749526978,1.3530853986740112,1.25380539894104,1.4137904644012451,1.283377766609192,1.2876343727111816,1.3318986892700195,1.252636194229126,1.1897276639938354,1.3438849449157715,1.320024847984314,1.3393516540527344,1.2538831233978271,1.0497809648513794,1.136493444442749,1.0430930852890015,1.1736806631088257,1.1057233810424805,1.0007290840148926,1.0437345504760742,0.3798784613609314,0.8479320406913757,0.5601435303688049,0.8714221715927124,1.2875407934188843,1.1679295301437378,1.1756634712219238,1.117570400238037,1.1051143407821655,1.2402143478393555,1.4571819305419922,1.346553921699524,1.2316992282867432,1.235072374343872,1.280555009841919,1.2194875478744507,1.1627671718597412,0.825279712677002,0.6688944101333618,1.2234971523284912,0.937017560005188,0.9556179046630859,0.6960628032684326,0.810817301273346,0.7778669595718384,0.9301050305366516,0.939341127872467,0.7361570596694946,0.9123201370239258,0.8227475881576538,0.644628643989563,0.8522014021873474,0.7563058137893677,0.7189726829528809,0.9665611982345581,0.9050871133804321,1.1280964612960815,0.8344086408615112,1.2065281867980957,1.2157703638076782,1.092136025428772,1.0779037475585938,1.223641276359558,1.185844898223877
lamp,1.1247941255569458,1.047874927520752,1.0151729583740234,1.1817437410354614,1.2052749395370483,1.1459115743637085,1.2754377126693726,1.1463489532470703,1.1409589052200317,0.0,0.8841089010238647,1.0459600687026978,0.7719425559043884,0.9728769063949585,1.0660243034362793,1.085088849067688,1.064234733581543,0.7685449719429016,0.7218684554100037,0.8915219902992249,0.9864211082458496,0.9082480669021606,0.9625396132469177,1.0549311637878418,1.0856056213378906,1.2042758464813232,1.2646090984344482,1.346728801727295,1.3112518787384033,1.293685793876648,1.0669816732406616,1.2890793085098267,1.2159950733184814,1.19674551486969,1.1660680770874023,0.9585760235786438,0.9310206174850464,0.8877453207969666,1.1345841884613037,1.118836760520935,1.1274244785308838,1.0760141611099243,1.1540826559066772,1.0650999546051025,1.0429450273513794,0.9889577627182007,0.9988808631896973,0.8644759058952332,1.0566784143447876,0.9971862435340881,0.7168795466423035,0.7559219002723694,0.9086079597473145,0.8054658770561218,0.7160696983337402,0.8972834944725037,0.8174703121185303,1.026705026626587,0.8518092036247253,0.781903862953186,0.8578493595123291,0.9931774735450745,0.9813017845153809,0.9737348556518555,1.0028401613235474,1.0368947982788086,0.7525591850280762,1.084578514099121,0.9505206942558289,0.8231809139251709,0.8376027345657349,0.709361732006073,0.8310844898223877,0.7678768634796143
