,frog,nose,face,hair,arm,hand,finger,toe,lamp,drawer,chair,table,couch,bed,crib,window,door,refrigerator,oven,sink,bathtub,shirt,bib,pajamas,pants,slipper,shoe,sock,glove,blanket,pillow,towel,napkin,doll,toy,tray,box,book,paper,basket,purse,comb,hat,glasses,scissors,fork,spoon,crayon,pencil,pen,knife,toothbrush,gum,balloon,ball,egg,orange,apple,banana,plant,bread,plate,bowl,bottle,cup,bucket,can
frog,0.0,0.8428391218185425,0.8064394593238831,1.0972869396209717,1.1879557371139526,0.9726942777633667,0.8770076036453247,0.8969696760177612,1.1460634469985962,1.0699307918548584,1.3366849422454834,1.28513765335083,1.232635498046875,1.2687106132507324,1.2678327560424805,1.192948341369629,1.2243660688400269,1.3456658124923706,1.276437759399414,1.2914206981658936,1.3019042015075684,1.1747909784317017,1.167998194694519,1.2215183973312378,1.2089953422546387,0.881251871585846,1.0156348943710327,1.0835442543029785,0.8334152698516846,1.2729560136795044,1.203978419303894,1.1891335248947144,1.130679965019226,0.8833513259887695,0.8921588659286499,1.17824387550354,1.232358455657959,1.0770410299301147,1.1894503831863403,1.2050291299819946,1.1175847053527832,1.2056561708450317,0.9187111258506775,0.8205878734588623,1.015705943107605,1.024437665939331,0.9755250215530396,0.7626715898513794,0.9482661485671997,0.9343135356903076,0.9670060276985168,0.9893543720245361,0.7409641146659851,0.9263788461685181,0.8452472686767578,0.7253432869911194,0.6444404125213623,0.5221127867698669,0.5362361669540405,0.845228910446167,0.7183955907821655,0.9655399918556213,1.0952969789505005,0.9060222506523132,1.084779977798462,1.206495761871338,1.2829773426055908
nose,0.8428391218185425,0.0,0.42594170570373535,0.733222246170044,1.0741702318191528,0.6774159073829651,0.4084275960922241,0.428428053855896,1.1208343505859375,1.0332492589950562,1.2917649745941162,1.3521296977996826,1.2580640316009521,1.3076026439666748,1.3365199565887451,1.0936659574508667,1.1246256828308105,1.2724534273147583,1.2809523344039917,1.3307380676269531,1.3391281366348267,1.0494675636291504,1.1547386646270752,1.1434407234191895,1.0328720808029175,0.8035521507263184,1.0406042337417603,0.8702715039253235,1.0676732063293457,1.3021771907806396,1.214819073677063,1.1313661336898804,1.0490107536315918,1.1435352563858032,1.2605094909667969,1.37589430809021,1.3118937015533447,1.2509191036224365,1.190493106842041,1.3141672611236572,1.2087064981460571,1.0353230237960815,0.8108164072036743,0.3207284212112427,1.1753768920898438,0.9321374893188477,0.9624267816543579,0.6589022278785706,0.7453956604003906,0.757514476776123,0.9207013249397278,0.9501014947891235,0.7044228911399841,0.9503644704818726,0.86440509557724,0.6544502973556519,0.6916886568069458,0.6822406649589539,0.8777387738227844,1.060622215270996,0.8163208961486816,1.143248200416565,1.2007968425750732,1.0200384855270386,1.0392158031463623,1.310609221458435,1.1974899768829346
face,0.8064394593238831,0.42594170570373535,0.0,0.4943596124649048,0.8392349481582642,0.650425374507904,0.7195054292678833,0.7044402956962585,1.1365619897842407,1.1157431602478027,1.1245288848876953,1.0419319868087769,0.9437956809997559,1.0142568349838257,1.0539666414260864,0.9183943271636963,0.9532005786895752,1.0486345291137695,1.0256860256195068,1.150938868522644,1.09427809715271,0.7001488208770752,0.9401955604553223,0.8587624430656433,0.7771852016448975,1.0943808555603027,1.0861555337905884,1.1094272136688232,1.0594604015350342,1.060214638710022,1.1982455253601074,1.2487540245056152,1.2828099727630615,0.9732202291488647,1.0799022912979126,1.22956120967865,1.1780747175216675,1.1338990926742554,1.0637363195419312,1.3103935718536377,1.205496907234192,1.0130834579467773,0.9214909076690674,0.5367501974105835,1.1936171054840088,1.2439472675323486,1.2315661907196045,1.1159852743148804,1.1610667705535889,1.145819067955017,1.1757034063339233,1.120105504989624,1.0255218744277954,1.1683282852172852,1.1055189371109009,1.025804877281189,0.9245871305465698,0.9829100370407104,1.1121035814285278,1.1824848651885986,1.0602645874023438,1.2175430059432983,1.2655056715011597,1.2142499685287476,1.2461525201797485,1.2606151103973389,1.1726022958755493
hair,1.0972869396209717,0.733222246170044,0.4943596124649048,0.0,0.729923665523529,0.7089024186134338,0.8596006631851196,0.8611131906509399,1.0913145542144775,1.1522133350372314,1.0278574228286743,0.9360764026641846,0.8711490631103516,0.9374881386756897,0.9776630997657776,0.8721399307250977,0.9575213193893433,1.0012686252593994,0.9925597310066223,1.0756043195724487,1.0172789096832275,0.6189309358596802,0.771420955657959,0.747511625289917,0.704878568649292,1.1422065496444702,1.0378611087799072,1.0879132747650146,1.0244569778442383,0.9375370740890503,1.0952296257019043,1.134840488433838,1.2258930206298828,0.9329954981803894,1.0946623086929321,1.1644566059112549,1.1613953113555908,1.021528720855713,1.0063397884368896,1.1949691772460938,1.0895488262176514,0.8230540752410889,0.8373016119003296,0.814424455165863,1.1298185586929321,1.2741544246673584,1.2660729885101318,1.2213226556777954,1.1924400329589844,1.1848537921905518,1.1682732105255127,1.091961145401001,1.0911463499069214,1.173640251159668,1.1666449308395386,1.1308927536010742,1.0777528285980225,1.1520092487335205,1.2088547945022583,1.0858914852142334,1.117435097694397,1.241150975227356,1.239155888557434,1.1900988817214966,1.290287733078003,1.2180588245391846,1.1640863418579102
arm,1.1879557371139526,1.0741702318191528,0.8392349481582642,0.729923665523529,0.0,0.5130143761634827,0.8085753917694092,0.8315896987915039,1.0781139135360718,1.1544846296310425,0.9274389743804932,0.7293608784675598,0.6942682862281799,0.7241289615631104,0.8927870392799377,0.8575477600097656,0.9268351197242737,0.8861849308013916,0.8538128137588501,0.9594466090202332,0.8429563641548157,0.433621883392334,0.6200047731399536,0.5663934946060181,0.5963840484619141,1.1995066404342651,1.1324841976165771,0.7788326740264893,0.6985036134719849,0.7396156191825867,0.9421379566192627,1.0443092584609985,1.0969330072402954,1.0410284996032715,1.0343941450119019,1.0884016752243042,1.0388356447219849,0.9836696982383728,0.7933368682861328,1.2754014730453491,1.1253252029418945,0.945372462272644,1.2068672180175781,1.1243888139724731,1.0671558380126953,1.2956619262695312,1.3037528991699219,1.2688217163085938,1.2234426736831665,1.199472188949585,1.1568242311477661,0.9877100586891174,1.1642711162567139,1.2110568284988403,1.1997275352478027,1.267801284790039,1.1469347476959229,1.2784398794174194,1.2874770164489746,1.2163870334625244,1.22922682762146,1.259467601776123,1.26456880569458,1.2452596426010132,1.261826515197754,1.1414446830749512,1.049238920211792
hand,0.9726942777633667,0.6774159073829651,0.650425374507904,0.7089024186134338,0.5130143761634827,0.0,0.24363845586776733,0.3865385055541992,1.190335750579834,1.1181915998458862,1.1415584087371826,1.0715279579162598,1.0505601167678833,1.1132200956344604,1.110195279121399,1.059552788734436,1.0916500091552734,1.1595876216888428,1.0805585384368896,1.1403919458389282,1.098210334777832,0.8168947100639343,0.8361281752586365,0.8469505310058594,0.905793309211731,0.9023073315620422,0.9988489747047424,0.6970617771148682,0.543910801410675,1.0821137428283691,1.1436113119125366,1.1261850595474243,1.1227468252182007,0.9717568159103394,1.0286948680877686,1.0890692472457886,1.159912347793579,0.9990355372428894,0.9292010068893433,1.2831943035125732,1.1541049480438232,0.9560618996620178,1.0743036270141602,0.8480777740478516,1.0186325311660767,1.102656364440918,1.1039904356002808,1.024466872215271,1.0135291814804077,0.988787829875946,1.0270048379898071,0.8374524116516113,0.7822697162628174,1.1320503950119019,1.1088303327560425,1.0814826488494873,0.9874900579452515,1.0233304500579834,1.0947396755218506,1.1720525026321411,1.0239672660827637,1.173475742340088,1.1652404069900513,1.213247537612915,1.1307553052902222,1.2404733896255493,1.1868669986724854
finger,0.8770076036453247,0.4084275960922241,0.7195054292678833,0.8596006631851196,0.8085753917694092,0.24363845586776733,0.0,0.1454002857208252,1.2147735357284546,1.0482769012451172,1.2964069843292236,1.3541022539138794,1.2684733867645264,1.3267000913619995,1.3616316318511963,1.1871312856674194,1.2006454467773438,1.3177967071533203,1.2949873208999634,1.3274650573730469,1.2919504642486572,1.054605484008789,1.1405091285705566,1.0980117321014404,1.0116640329360962,0.669783353805542,0.9894327521324158,0.6004546284675598,0.732214629650116,1.320467472076416,1.2218356132507324,1.1472728252410889,1.0656952857971191,1.1513192653656006,1.2186332941055298,1.2900516986846924,1.3209354877471924,1.1946885585784912,1.1395668983459473,1.3350045680999756,1.2407374382019043,1.019525408744812,0.9648808240890503,0.60516357421875,1.1033546924591064,0.859394907951355,0.907916784286499,0.6143240928649902,0.694364070892334,0.684420645236969,0.7965144515037537,0.772700846195221,0.5385621786117554,0.9836896061897278,0.9199360013008118,0.6968777775764465,0.7568472027778625,0.7127640247344971,0.8477023243904114,1.1056994199752808,0.7953494787216187,1.1358273029327393,1.2125638723373413,1.0646883249282837,1.0422894954681396,1.3253567218780518,1.2142587900161743
toe,0.8969696760177612,0.428428053855896,0.7044402956962585,0.8611131906509399,0.8315896987915039,0.3865385055541992,0.1454002857208252,0.0,1.1699837446212769,1.1048299074172974,1.30586576461792,1.3992478847503662,1.2767462730407715,1.3544484376907349,1.3856182098388672,1.2417948246002197,1.2410725355148315,1.332757830619812,1.3278074264526367,1.354845404624939,1.288834810256958,1.0795419216156006,1.1465253829956055,1.0597926378250122,0.9641535878181458,0.39043980836868286,0.7323380708694458,0.4336531162261963,0.7344435453414917,1.3454688787460327,1.207930564880371,1.101055383682251,1.0521763563156128,1.0797091722488403,1.2253731489181519,1.323783040046692,1.3485865592956543,1.2376909255981445,1.230605125427246,1.2821828126907349,1.1559315919876099,1.1391898393630981,0.9131422638893127,0.5860750675201416,1.1302545070648193,0.8463000059127808,0.9164731502532959,0.6872494220733643,0.7635672688484192,0.7645318508148193,0.864732563495636,0.8911406993865967,0.6593668460845947,0.9762310981750488,0.9220089912414551,0.6814820766448975,0.8130621314048767,0.749121904373169,0.8237178325653076,1.0515886545181274,0.775529146194458,1.142116665840149,1.2063764333724976,1.0000120401382446,1.01494562625885,1.274940013885498,1.21815824508667
lamp,1.1460634469985962,1.1208343505859375,1.1365619897842407,1.0913145542144775,1.0781139135360718,1.190335750579834,1.2147735357284546,1.1699837446212769,0.0,0.9258562326431274,0.7925496101379395,0.9060892462730408,1.0654393434524536,1.024288535118103,0.8445295691490173,0.7153018712997437,0.8253964185714722,0.9350271224975586,1.0226619243621826,0.9333323240280151,0.9809556603431702,1.1202263832092285,1.1434202194213867,1.136386752128601,1.1835918426513672,1.1205244064331055,1.0477813482284546,1.1514487266540527,1.1719270944595337,1.0647003650665283,1.0814026594161987,1.0495569705963135,1.020123839378357,0.9804311394691467,0.9950584173202515,0.9932291507720947,1.0588033199310303,0.9792048335075378,1.0608519315719604,0.8813120722770691,0.9308519959449768,0.9565697312355042,1.0134968757629395,1.0550758838653564,0.7072537541389465,0.766398549079895,0.7960404753684998,1.0004092454910278,0.8329471349716187,0.8614134192466736,0.9036248922348022,0.9184988141059875,1.1618894338607788,0.8682429790496826,0.9595652222633362,1.0766390562057495,1.1439146995544434,1.1005216836929321,1.041707158088684,0.7335069179534912,1.0972232818603516,0.9418075084686279,0.9336786866188049,0.9776740670204163,0.9789673686027527,1.0011307001113892,0.9821383357048035
drawer,1.0699307918548584,1.0332492589950562,1.1157431602478027,1.1522133350372314,1.1544846296310425,1.1181915998458862,1.0482769012451172,1.1048299074172974,0.9258562326431274,0.0,0.7204089164733887,0.8367879390716553,0.9123802185058594,0.8912275433540344,0.8703404664993286,0.8679582476615906,0.6179956197738647,0.7307233810424805,0.7018113732337952,0.8170203566551208,0.7458676695823669,1.202405571937561,1.2202056646347046,1.1881542205810547,1.1280981302261353,1.0301477909088135,1.0041179656982422,1.158655047416687,1.2039570808410645,1.046985387802124,0.8701815605163574,0.9018347859382629,0.9105983972549438,1.10201096534729,1.0971068143844604,0.776715099811554,0.5900899767875671,0.9259130358695984,0.9552661180496216,0.7816010117530823,0.8576090335845947,0.9432421922683716,1.093549370765686,1.017209529876709,1.029954195022583,0.9049809575080872,0.9375576376914978,1.0365357398986816,0.9325907826423645,0.9419587254524231,0.7947260141372681,1.126707911491394,1.1027495861053467,1.131003975868225,1.141859769821167,1.1412256956100464,1.1522973775863647,1.136468768119812,1.132999062538147,0.9984733462333679,1.055896520614624,0.9898752570152283,1.0049647092819214,1.0226161479949951,1.0396416187286377,0.9625380635261536,0.8371815085411072
