,hair,arm,hand,finger,toe,lamp,chair,table,couch,bed,window,door,refrigerator,bathtub,shirt,bib,pants,sock,glove,blanket,pillow,towel,napkin,toy,tray,box,book,paper,hat,spoon,crayon,balloon,ball,egg,orange,apple,plant,plate,bowl,bottle,cup,bucket,can
hair,0.0,0.6664602756500244,0.7428086996078491,0.8348516225814819,0.7843968272209167,1.216094732284546,1.1000150442123413,0.9339284896850586,0.8763877153396606,0.8169175386428833,0.8626378774642944,1.0330313444137573,1.036738395690918,0.9836886525154114,0.5450820922851562,0.7704440951347351,0.6261866688728333,0.9710511565208435,0.9591421484947205,0.8635126352310181,0.9580076336860657,1.1783376932144165,1.2217804193496704,1.1182122230529785,1.196893334388733,1.1274163722991943,0.9660484790802002,0.9888748526573181,0.7460962533950806,1.2380166053771973,1.23197603225708,1.1014161109924316,1.138986587524414,1.0132181644439697,1.1426736116409302,1.1430881023406982,1.0517327785491943,1.2629361152648926,1.2698646783828735,1.204169750213623,1.330115795135498,1.290578007698059,1.1286578178405762
arm,0.6664602756500244,0.0,0.4465956687927246,0.7251504063606262,0.7777109146118164,1.2660828828811646,0.9900578260421753,0.7701261043548584,0.7804953455924988,0.6649935841560364,0.8172203898429871,1.006670355796814,0.878684937953949,0.90189129114151,0.48116445541381836,0.6322034001350403,0.5075486898422241,0.6017405986785889,0.6366461515426636,0.6888131499290466,0.7302379608154297,0.9842662215232849,1.0036836862564087,1.1124554872512817,1.0729703903198242,1.0752532482147217,0.9599334597587585,0.8223088383674622,1.1967157125473022,1.2426167726516724,1.2389997243881226,1.2536643743515015,1.311772108078003,1.2141404151916504,1.2855565547943115,1.2877557277679443,1.1234478950500488,1.2994232177734375,1.2708606719970703,1.2894515991210938,1.285609483718872,1.2392756938934326,0.9655217528343201
hand,0.7428086996078491,0.4465956687927246,0.0,0.2529928684234619,0.43240976333618164,1.225372314453125,1.2061033248901367,1.127821683883667,1.0891292095184326,1.078456163406372,1.0431307554244995,1.1220439672470093,1.1619359254837036,1.1819360256195068,0.832854151725769,0.8648253083229065,0.8406497240066528,0.7093259692192078,0.5068503022193909,1.0128422975540161,0.994350016117096,1.1699281930923462,1.097273349761963,1.0710757970809937,1.1166701316833496,1.1622931957244873,1.003835916519165,0.8964200615882874,1.0412685871124268,1.0427217483520508,1.0815784931182861,1.1976861953735352,1.1734098196029663,1.02662193775177,1.09138023853302,1.085949182510376,1.1580309867858887,1.1690950393676758,1.154414415359497,1.225748896598816,1.148007869720459,1.2295063734054565,1.1345715522766113
finger,0.8348516225814819,0.7251504063606262,0.2529928684234619,0.0,0.08504140377044678,1.0213373899459839,1.3094768524169922,1.4269490242004395,1.2968573570251465,1.3189926147460938,1.172178864479065,1.1836177110671997,1.3178609609603882,1.3888572454452515,1.0094890594482422,1.156441569328308,1.0071334838867188,0.8199917674064636,0.7887605428695679,1.266847848892212,1.1102399826049805,1.207847237586975,1.0806858539581299,1.2462130784988403,1.3443231582641602,1.224492073059082,1.228501319885254,1.1182410717010498,0.7902894020080566,0.7814056277275085,0.6857783794403076,0.9814228415489197,0.824795126914978,0.6492897272109985,0.794969916343689,0.8014503717422485,1.09494149684906,1.088712453842163,1.1803665161132812,1.0403599739074707,1.0735141038894653,1.26595938205719,1.2023462057113647
toe,0.7843968272209167,0.7777109146118164,0.43240976333618164,0.08504140377044678,0.0,0.9885011911392212,1.3245623111724854,1.4835379123687744,1.2887378931045532,1.3226335048675537,1.2036694288253784,1.1839808225631714,1.350867748260498,1.4147999286651611,0.9890361428260803,1.1616759300231934,0.9638374447822571,0.7919620275497437,0.8547865152359009,1.2836500406265259,1.0677496194839478,1.182517409324646,1.0713101625442505,1.3059335947036743,1.4612082242965698,1.2338569164276123,1.3123904466629028,1.2214106321334839,0.6697572469711304,0.797039270401001,0.6782923936843872,0.8940885663032532,0.7122951745986938,0.5121302008628845,0.7003315091133118,0.7213164567947388,1.093176245689392,1.105366587638855,1.2044451236724854,1.0076189041137695,1.083483099937439,1.2807279825210571,1.2214441299438477
lamp,1.216094732284546,1.2660828828811646,1.225372314453125,1.0213373899459839,0.9885011911392212,0.0,0.9366809725761414,1.1648986339569092,1.1780928373336792,1.2310506105422974,0.7824076414108276,0.8314399123191833,0.9282532930374146,1.1433250904083252,1.222682237625122,1.3655011653900146,1.3538782596588135,1.2227519750595093,1.3263649940490723,1.2365045547485352,1.1080328226089478,0.9116279482841492,0.8815951347351074,1.1256093978881836,1.2203044891357422,1.066244125366211,1.1909160614013672,1.1495521068572998,0.8909343481063843,0.5348514318466187,0.727195143699646,0.7559080123901367,0.722906231880188,0.8507307767868042,0.9374269247055054,0.880201518535614,0.6644411087036133,0.8356044292449951,0.9250081777572632,0.715474009513855,0.8924721479415894,1.0176020860671997,0.984231173992157
chair,1.1000150442123413,0.9900578260421753,1.2061033248901367,1.3094768524169922,1.3245623111724854,0.9366809725761414,0.0,0.523979127407074,0.4611150026321411,0.5889373421669006,0.7347759008407593,0.6252239346504211,0.5741015672683716,0.6501234173774719,0.9589657187461853,0.9971300959587097,0.8711181879043579,0.9919683337211609,1.1219431161880493,0.7739766836166382,0.6844671964645386,0.7367569804191589,0.8795489072799683,0.8861808776855469,0.8367981314659119,0.7078518867492676,0.9249480962753296,0.9470139741897583,1.0915521383285522,1.215126872062683,1.3085534572601318,1.1401177644729614,1.3024044036865234,1.4098834991455078,1.3559494018554688,1.344799280166626,0.9011325240135193,1.1684505939483643,1.053322196006775,1.0100793838500977,1.0248736143112183,0.8546082973480225,0.7463449239730835
table,0.9339284896850586,0.7701261043548584,1.127821683883667,1.4269490242004395,1.4835379123687744,1.1648986339569092,0.523979127407074,0.0,0.4159128665924072,0.36350828409194946,0.6402544975280762,0.6882196068763733,0.42495667934417725,0.39863133430480957,0.7293396592140198,0.772242546081543,0.7451534867286682,1.1107401847839355,1.1254196166992188,0.6052676439285278,0.8185917735099792,0.9123163223266602,0.9599114656448364,0.8508599996566772,0.5188421607017517,0.737480878829956,0.7423028349876404,0.6404560208320618,1.375414252281189,1.3665850162506104,1.4430968761444092,1.247383713722229,1.4062464237213135,1.4458038806915283,1.4215167760849,1.4215431213378906,1.0428040027618408,1.058979868888855,0.9574915766716003,1.1362011432647705,1.0953129529953003,0.8814541101455688,0.645648717880249
couch,0.8763877153396606,0.7804953455924988,1.0891292095184326,1.2968573570251465,1.2887378931045532,1.1780928373336792,0.4611150026321411,0.4159128665924072,0.0,0.20893186330795288,0.6525161266326904,0.6294472217559814,0.6188866496086121,0.6158494353294373,0.7423319816589355,0.818820595741272,0.6171719431877136,0.9934422373771667,1.0453513860702515,0.39853841066360474,0.36606645584106445,0.8163996934890747,0.9736528992652893,0.9664121866226196,0.8994300365447998,0.7849279642105103,0.8749301433563232,0.8809117078781128,1.2402963638305664,1.4683424234390259,1.4332778453826904,1.2255547046661377,1.348876714706421,1.3648343086242676,1.3533822298049927,1.3619170188903809,0.9840450286865234,1.279550552368164,1.1708873510360718,1.2332605123519897,1.2398083209991455,1.0732401609420776,0.8796685934066772
bed,0.8169175386428833,0.6649935841560364,1.078456163406372,1.3189926147460938,1.3226335048675537,1.2310506105422974,0.5889373421669006,0.36350828409194946,0.20893186330795288,0.0,0.6410419344902039,0.7595216035842896,0.6985193490982056,0.45248228311538696,0.5671657919883728,0.5755566358566284,0.5396053791046143,0.9373114109039307,1.0008296966552734,0.15200388431549072,0.35381829738616943,0.7196648716926575,0.9004063010215759,0.9695680141448975,0.8223442435264587,0.9295058250427246,0.7861493825912476,0.7776001691818237,1.2710645198822021,1.4817323684692383,1.4554824829101562,1.2537267208099365,1.3753256797790527,1.365760326385498,1.4068247079849243,1.4214589595794678,1.0617728233337402,1.2329634428024292,1.1606286764144897,1.3093053102493286,1.2797889709472656,1.0928705930709839,0.9490335583686829
