,hair,arm,hand,finger,toe,lamp,chair,table,couch,bed,window,shirt,bib,blanket,pillow,towel,napkin,toy,box,book,hat,crayon,ball,plant,plate,bowl,bottle,cup,bucket
hair,0.0,0.7133344411849976,0.7935765981674194,0.8738142251968384,0.8188532590866089,1.200912356376648,1.0051138401031494,1.0215891599655151,0.8177027702331543,0.9204288125038147,0.8988093733787537,0.6788947582244873,0.8886678814888,0.9638904929161072,1.1256455183029175,1.216247797012329,1.253887414932251,1.159987449645996,1.188246488571167,1.0160434246063232,0.7610981464385986,1.1983709335327148,1.1157965660095215,1.009083867073059,1.2865333557128906,1.2595398426055908,1.2101384401321411,1.2998785972595215,1.2628731727600098
arm,0.7133344411849976,0.0,0.4299795627593994,0.6766406297683716,0.70576012134552,1.2245396375656128,0.9282656908035278,0.90138179063797,0.7388831973075867,0.7682895660400391,0.8883747458457947,0.5703086853027344,0.7393926382064819,0.7893803715705872,0.9218932390213013,1.034650444984436,1.0516557693481445,1.1681829690933228,1.1571097373962402,0.9685631990432739,1.227752923965454,1.1925114393234253,1.2694302797317505,1.187345266342163,1.2998838424682617,1.2536803483963013,1.2556991577148438,1.2526170015335083,1.1987874507904053
hand,0.7935765981674194,0.4299795627593994,0.0,0.3310174345970154,0.4938623905181885,1.219674825668335,1.0983550548553467,1.0637298822402954,0.9989064931869507,1.0397851467132568,1.036123514175415,0.8872058987617493,0.9014258980751038,1.0458955764770508,1.1019889116287231,1.1338475942611694,1.0993833541870117,1.0039030313491821,1.132983684539795,0.9492592811584473,1.140187382698059,1.1466844081878662,1.143438696861267,1.135695219039917,1.1869256496429443,1.1630363464355469,1.2201528549194336,1.123651385307312,1.2159266471862793
finger,0.8738142251968384,0.6766406297683716,0.3310174345970154,0.0,0.17230653762817383,0.9360221028327942,1.2790701389312744,1.4069477319717407,1.2837162017822266,1.320957064628601,1.1794240474700928,1.142220377922058,1.1716084480285645,1.3300271034240723,1.2135742902755737,1.0893198251724243,1.0394957065582275,1.1886110305786133,1.3130308389663696,1.1789206266403198,0.8212038278579712,0.6257753968238831,0.9027588963508606,0.9730990529060364,1.11968195438385,1.1686464548110962,0.9640560150146484,1.029362440109253,1.2879624366760254
toe,0.8188532590866089,0.70576012134552,0.4938623905181885,0.17230653762817383,0.0,0.9053419828414917,1.2763683795928955,1.4306771755218506,1.239262342453003,1.309296727180481,1.2233635187149048,1.1697256565093994,1.1890761852264404,1.342583179473877,1.2052332162857056,1.0846881866455078,1.056204915046692,1.2208588123321533,1.3342056274414062,1.2596789598464966,0.7683430910110474,0.6598930358886719,0.8957733511924744,0.9510186910629272,1.1246206760406494,1.1701114177703857,0.9091081023216248,1.0066759586334229,1.2422513961791992
lamp,1.200912356376648,1.2245396375656128,1.219674825668335,0.9360221028327942,0.9053419828414917,0.0,0.9513426423072815,1.1151340007781982,1.3267285823822021,1.2619749307632446,0.8611762523651123,1.3157541751861572,1.2900969982147217,1.2714377641677856,1.1279234886169434,0.9355999231338501,0.8857059478759766,1.118163824081421,1.0886666774749756,1.1723657846450806,0.8485250473022461,0.6430739164352417,0.6591706871986389,0.6729071140289307,0.8782527446746826,0.8366471529006958,0.6614080667495728,0.7736966013908386,0.8883280754089355
chair,1.0051138401031494,0.9282656908035278,1.0983550548553467,1.2790701389312744,1.2763683795928955,0.9513426423072815,0.0,0.3189336061477661,0.571556806564331,0.6495893001556396,0.7402325868606567,0.7908937931060791,0.9148656129837036,0.7421899437904358,0.7491698861122131,0.8926979899406433,0.9493546485900879,0.9936312437057495,0.8053096532821655,0.9180291891098022,1.1336685419082642,1.3469089269638062,1.3056548833847046,1.082960605621338,1.2142866849899292,1.1248186826705933,1.1568238735198975,1.0792332887649536,0.8090786337852478
table,1.0215891599655151,0.90138179063797,1.0637298822402954,1.4069477319717407,1.4306771755218506,1.1151340007781982,0.3189336061477661,0.0,0.48703062534332275,0.5130870342254639,0.7014934420585632,0.7080713510513306,0.7922215461730957,0.6146684885025024,0.8569692373275757,1.0592060089111328,1.0703378915786743,0.8465097546577454,0.6939126253128052,0.7105540037155151,1.3367846012115479,1.4479905366897583,1.308977484703064,1.1188544034957886,0.9357811212539673,0.9701671600341797,1.2621779441833496,1.072426676750183,0.900757372379303
couch,0.8177027702331543,0.7388831973075867,0.9989064931869507,1.2837162017822266,1.239262342453003,1.3267285823822021,0.571556806564331,0.48703062534332275,0.0,0.16448092460632324,0.7546864151954651,0.49899643659591675,0.722305178642273,0.34720778465270996,0.5168473124504089,0.9911730885505676,1.0899975299835205,1.018259882926941,0.8966695666313171,0.8253862857818604,1.1912546157836914,1.4294202327728271,1.296651005744934,1.1861660480499268,1.280430793762207,1.2694151401519775,1.3801994323730469,1.2838823795318604,1.120877742767334
bed,0.9204288125038147,0.7682895660400391,1.0397851467132568,1.320957064628601,1.309296727180481,1.2619749307632446,0.6495893001556396,0.5130870342254639,0.16448092460632324,0.0,0.7113314270973206,0.5447542667388916,0.5978060960769653,0.1212233304977417,0.38976895809173584,0.7944968342781067,0.8991138339042664,0.9869809746742249,0.8991485238075256,0.803476870059967,1.2157931327819824,1.4266302585601807,1.2789560556411743,1.19722318649292,1.2158148288726807,1.1795872449874878,1.3730719089508057,1.2621095180511475,1.0720264911651611
window,0.8988093733787537,0.8883747458457947,1.036123514175415,1.1794240474700928,1.2233635187149048,0.8611762523651123,0.7402325868606567,0.7014934420585632,0.7546864151954651,0.7113314270973206,0.0,0.7810356020927429,0.9070758819580078,0.7707604169845581,1.01810622215271,1.0477864742279053,1.0827586650848389,1.0252209901809692,0.9378923177719116,0.8712741732597351,1.2094000577926636,1.2365195751190186,1.1750309467315674,0.913048267364502,1.15462064743042,1.1421087980270386,1.1690009832382202,1.1699210405349731,1.0021134614944458
shirt,0.6788947582244873,0.5703086853027344,0.8872058987617493,1.142220377922058,1.1697256565093994,1.3157541751861572,0.7908937931060791,0.7080713510513306,0.49899643659591675,0.5447542667388916,0.7810356020927429,0.0,0.37999260425567627,0.513992428779602,0.8712700605392456,0.9246107935905457,1.0201867818832397,1.12151038646698,1.1136093139648438,0.8852817416191101,1.0762712955474854,1.3808938264846802,1.2557425498962402,1.2391562461853027,1.291581153869629,1.2710909843444824,1.3252036571502686,1.2865848541259766,1.1684014797210693
bib,0.8886678814888,0.7393926382064819,0.9014258980751038,1.1716084480285645,1.1890761852264404,1.2900969982147217,0.9148656129837036,0.7922215461730957,0.722305178642273,0.5978060960769653,0.9070758819580078,0.37999260425567627,0.0,0.38632887601852417,0.740548849105835,0.5908967852592468,0.6542860865592957,0.9319765567779541,1.0129364728927612,0.7924952507019043,1.031058430671692,1.3857309818267822,1.2328547239303589,1.236711025238037,1.1032835245132446,1.0637787580490112,1.2377620935440063,1.1465373039245605,1.0402097702026367
blanket,0.9638904929161072,0.7893803715705872,1.0458955764770508,1.3300271034240723,1.342583179473877,1.2714377641677856,0.7421899437904358,0.6146684885025024,0.34720778465270996,0.1212233304977417,0.7707604169845581,0.513992428779602,0.38632887601852417,0.0,0.33424651622772217,0.5342522263526917,0.6469627618789673,1.0100828409194946,0.9667057991027832,0.8134615421295166,1.1455442905426025,1.4240353107452393,1.2725138664245605,1.1819918155670166,1.1803770065307617,1.102113127708435,1.3422731161117554,1.2081912755966187,1.057896614074707
pillow,1.1256455183029175,0.9218932390213013,1.1019889116287231,1.2135742902755737,1.2052332162857056,1.1279234886169434,0.7491698861122131,0.8569692373275757,0.5168473124504089,0.38976895809173584,1.01810622215271,0.8712700605392456,0.740548849105835,0.33424651622772217,0.0,0.4224609136581421,0.5080647468566895,1.065485954284668,0.9133588075637817,0.9129022359848022,0.9577010869979858,1.1866624355316162,1.1121166944503784,0.9438862204551697,1.0711195468902588,1.0009444952011108,1.1172103881835938,1.0150192975997925,0.9479692578315735
towel,1.216247797012329,1.034650444984436,1.1338475942611694,1.0893198251724243,1.0846881866455078,0.9355999231338501,0.8926979899406433,1.0592060089111328,0.9911730885505676,0.7944968342781067,1.0477864742279053,0.9246107935905457,0.5908967852592468,0.5342522263526917,0.4224609136581421,0.0,0.04702138900756836,1.1491798162460327,0.9633773565292358,1.0294731855392456,0.7562856674194336,1.0421264171600342,1.1126058101654053,0.9736334085464478,1.008560299873352,0.9212615489959717,0.9289774298667908,0.865235447883606,0.8510509729385376
napkin,1.253887414932251,1.0516557693481445,1.0993833541870117,1.0394957065582275,1.056204915046692,0.8857059478759766,0.9493546485900879,1.0703378915786743,1.0899975299835205,0.8991138339042664,1.0827586650848389,1.0201867818832397,0.6542860865592957,0.6469627618789673,0.5080647468566895,0.04702138900756836,0.0,1.166674256324768,0.9211810231208801,1.0191341638565063,0.7877570986747742,1.0059949159622192,1.0853519439697266,0.9661357402801514,0.9237257242202759,0.8401892185211182,0.8812390565872192,0.8005182147026062,0.8221442699432373
