,rooster,fish,frog,alligator,cat,dog,face,hair,arm,hand,finger,toe,tooth,car,lamp,chair,bench,drawer,window,door,refrigerator,crib,bed,couch,table,bathtub,sink,clock,ball,balloon,orange,apple,hat,slipper,watch,nail,glasses,vacuum,shovel,scissors,spoon,knife,pencil,pen,crayon,plant,flower,bottle,cup,can,belt,basket,bucket,tape,bowl,plate,banana,cracker,pizza,glass,tray,box,book,paper,gum,toy,doll,mitten,glove,shoe,purse,pillow,towel,napkin,blanket,pajamas,bib,jacket,shirt,jeans,shorts
rooster,0.0,0.8231239318847656,0.4608553647994995,0.4362889528274536,0.5372993350028992,0.36518096923828125,0.7935508489608765,0.8202154636383057,0.886888325214386,0.8415740132331848,1.0889695882797241,1.114479899406433,1.143675446510315,0.9953086376190186,1.2445764541625977,1.1624619960784912,1.046804666519165,1.1046806573867798,1.115721344947815,1.0648616552352905,1.0857739448547363,0.916874349117279,0.9643446803092957,1.081676959991455,0.907329261302948,1.0043107271194458,1.0734872817993164,1.2082537412643433,1.1222515106201172,1.1504757404327393,1.025132417678833,1.048455834388733,1.1525874137878418,1.1993045806884766,1.2514913082122803,1.1933658123016357,1.136383295059204,1.2151154279708862,1.1728187799453735,0.9835529327392578,1.233115553855896,1.2113806009292603,1.2831214666366577,1.2704123258590698,1.2929573059082031,1.0619696378707886,0.9957894086837769,1.3035902976989746,1.3266490697860718,1.3784842491149902,1.271873950958252,1.272383689880371,1.326195240020752,1.2147269248962402,1.3422136306762695,1.2043336629867554,0.9148653745651245,0.723298966884613,0.7207251787185669,0.7312023043632507,0.9691651463508606,1.0719510316848755,0.9398672580718994,0.9580488801002502,0.9361857771873474,1.077848196029663,0.6453683376312256,0.7980126142501831,0.9339668154716492,0.9939887523651123,0.9943406581878662,1.2958059310913086,1.3785490989685059,1.3766627311706543,0.957265317440033,0.9112924337387085,0.8984646797180176,0.9324690103530884,0.8756475448608398,0.9404755234718323,0.9758049249649048
fish,0.8231239318847656,0.0,0.48460423946380615,0.9593614339828491,0.9917950630187988,0.9644834995269775,1.2312880754470825,1.1990830898284912,1.3792887926101685,1.2485514879226685,0.774014413356781,0.6611985564231873,0.5359808802604675,0.8522168397903442,0.6585818529129028,0.9974665641784668,1.0960546731948853,0.9455667734146118,1.1104148626327515,1.1382474899291992,1.3033450841903687,1.2679704427719116,1.3543716669082642,1.083069086074829,1.4759368896484375,1.3682588338851929,1.1024019718170166,0.7447893619537354,0.7379781007766724,0.5492437481880188,0.6098909974098206,0.5696099996566772,0.5768632888793945,0.46441274881362915,0.5680093765258789,0.560530960559845,0.581976056098938,0.8719773292541504,0.562125563621521,0.8350821137428284,0.3885164260864258,0.5151657462120056,0.4086090326309204,0.44212424755096436,0.36639612913131714,0.8013964891433716,0.8165501356124878,0.5734712481498718,0.5616676807403564,0.6769336462020874,0.4586397409439087,0.8015660047531128,0.733568549156189,0.6666494011878967,0.6251646876335144,0.5863338708877563,0.8198150396347046,0.8797340393066406,1.0496472120285034,1.3765525817871094,1.3322358131408691,1.2009330987930298,1.0110951662063599,1.2138563394546509,0.6658340692520142,0.6733787059783936,0.9587446451187134,1.2590069770812988,0.7458112239837646,0.9486294984817505,1.351227045059204,0.41902291774749756,0.6632329225540161,0.6202602982521057,1.2972412109375,1.446691870689392,1.4669448137283325,1.3867915868759155,1.3787039518356323,1.2734792232513428,1.0357335805892944
frog,0.4608553647994995,0.48460423946380615,0.0,0.4330770969390869,0.8759192824363708,0.6358317136764526,0.961132824420929,1.0391260385513306,1.1699576377868652,1.0377929210662842,1.081618070602417,1.082851767539978,1.0388253927230835,0.9123873710632324,1.0162416696548462,1.2196449041366577,1.14788818359375,1.0954246520996094,1.2303617000579834,1.2321298122406006,1.3281604051589966,1.1235262155532837,1.096325397491455,1.1119341850280762,1.0787070989608765,1.0963618755340576,1.1134346723556519,0.9510203003883362,0.8684040307998657,0.899241030216217,0.8433946967124939,0.8067227602005005,0.8691204786300659,0.9799578189849854,1.0971894264221191,1.0876274108886719,1.0497709512710571,1.1752159595489502,1.0080115795135498,0.7235928177833557,0.926419734954834,1.0186303853988647,0.9465246796607971,0.9426255226135254,0.9356697201728821,0.8841763734817505,0.7622493505477905,1.0562255382537842,1.0701645612716675,1.2418909072875977,1.075942039489746,1.028393030166626,1.0769702196121216,0.8496530055999756,1.061241865158081,0.7980169653892517,0.6663439869880676,0.7725019454956055,0.7228187918663025,0.9761825203895569,0.8971265554428101,0.9499871730804443,0.7060505151748657,0.8799060583114624,0.6142534017562866,0.573134183883667,0.49806535243988037,0.8519548177719116,0.7705072164535522,0.9184162616729736,1.1101821660995483,1.0152150392532349,1.1438169479370117,1.1432766914367676,1.0392825603485107,1.1161830425262451,1.0193355083465576,1.057360291481018,1.1081594228744507,1.1575361490249634,1.1652135848999023
alligator,0.4362889528274536,0.9593614339828491,0.4330770969390869,0.0,0.5658227205276489,0.570569634437561,0.6984468698501587,0.7926749587059021,0.5903609991073608,0.7604274749755859,1.2603870630264282,1.3579108715057373,1.2945301532745361,0.9296348094940186,1.3982563018798828,1.098486304283142,0.865519106388092,1.0717412233352661,1.0777397155761719,1.1609323024749756,1.0290319919586182,0.7510309219360352,0.5287578701972961,0.8662303686141968,0.554680585861206,0.632457435131073,0.9006796479225159,1.3175709247589111,1.3065675497055054,1.3711169958114624,1.299193263053894,1.3035693168640137,1.3758985996246338,1.4025163650512695,1.4674599170684814,1.4421014785766602,1.3113243579864502,1.1751855611801147,1.3425092697143555,0.8028367757797241,1.40362548828125,1.1988939046859741,1.3324863910675049,1.3106848001480103,1.3985750675201416,1.159857988357544,1.0612635612487793,1.4908733367919922,1.53190016746521,1.5440136194229126,1.3329687118530273,1.3290727138519287,1.5006824731826782,1.4090549945831299,1.4301528930664062,1.1603779792785645,0.7625476121902466,0.6655261516571045,0.4297977685928345,0.5763274431228638,0.6488288044929504,0.8298996686935425,0.6000714302062988,0.6690574884414673,1.029468297958374,1.1914902925491333,0.7333948612213135,0.5785585045814514,0.9708058834075928,1.0071271657943726,0.7625913023948669,1.3003063201904297,1.3892872333526611,1.4087674617767334,0.5155078172683716,0.5514820218086243,0.5029138326644897,0.46792304515838623,0.5598901510238647,0.6134768724441528,0.8806915283203125
cat,0.5372993350028992,0.9917950630187988,0.8759192824363708,0.5658227205276489,0.0,0.3641166687011719,0.7867491245269775,0.7602720856666565,0.6952832937240601,0.8681824803352356,1.1825332641601562,1.196427583694458,1.1461418867111206,0.7538400888442993,1.211264729499817,1.0100878477096558,0.8853779435157776,1.0518771409988403,0.8720281720161438,0.927615761756897,0.7615172863006592,0.7249164581298828,0.612382709980011,0.8572303652763367,0.750481367111206,0.751348614692688,0.9575346112251282,1.2030612230300903,1.2705180644989014,1.2727636098861694,1.3003079891204834,1.2935407161712646,1.210782527923584,1.2230579853057861,1.2294514179229736,1.1947531700134277,1.0637751817703247,1.0623974800109863,1.256169319152832,1.0385808944702148,1.2275810241699219,1.0675312280654907,1.2494372129440308,1.2093513011932373,1.298668384552002,1.1176738739013672,1.0672290325164795,1.2935035228729248,1.3459622859954834,1.2031974792480469,1.1126151084899902,1.2916696071624756,1.3592950105667114,1.4115357398986816,1.31205415725708,1.2569141387939453,1.1102136373519897,0.8190730810165405,0.7284073829650879,0.6782881021499634,1.0177165269851685,1.1501390933990479,1.0960583686828613,0.9955946803092957,1.298433542251587,1.3986999988555908,0.9577434062957764,0.8222413659095764,1.0133469104766846,1.0998036861419678,0.9775983095169067,1.0643926858901978,1.1515612602233887,1.184622049331665,0.6015959978103638,0.6183433532714844,0.7519028186798096,0.5944163799285889,0.6282906532287598,0.5992660522460938,0.7284133434295654
dog,0.36518096923828125,0.9644834995269775,0.6358317136764526,0.570569634437561,0.3641166687011719,0.0,0.7716933488845825,0.8196887969970703,0.9229772686958313,0.9816338419914246,1.2355477809906006,1.2114533185958862,1.2679336071014404,0.9135321974754333,1.1435705423355103,1.0981504917144775,1.0049066543579102,1.1268759965896606,1.1107921600341797,1.0508615970611572,0.9965155720710754,0.8423559665679932,0.8531860709190369,0.9370401501655579,0.8482010364532471,0.9789906144142151,1.0910969972610474,1.062204360961914,1.0815447568893433,1.190062165260315,1.1618040800094604,1.1562445163726807,1.131948471069336,1.2003734111785889,1.273827314376831,1.2249295711517334,1.1797837018966675,1.159396767616272,1.264045238494873,1.1308465003967285,1.2617347240447998,1.2738137245178223,1.278329849243164,1.2492787837982178,1.307695984840393,1.0091630220413208,0.9084961414337158,1.222534418106079,1.2640901803970337,1.264099359512329,1.259507656097412,1.1940861940383911,1.2429876327514648,1.1591401100158691,1.2597405910491943,1.1957015991210938,1.0765461921691895,0.935003399848938,0.8293648362159729,0.7992733120918274,0.9701545834541321,1.044447660446167,0.944294810295105,0.9329282641410828,1.168810248374939,1.0669846534729004,0.6610009670257568,0.9288830757141113,0.9973166584968567,1.0092402696609497,1.005021333694458,1.1878364086151123,1.2720787525177002,1.29972505569458,0.8869580030441284,0.8604826331138611,0.908036470413208,0.8523745536804199,0.8484995365142822,0.9440258145332336,1.0168126821517944
face,0.7935508489608765,1.2312880754470825,0.961132824420929,0.6984468698501587,0.7867491245269775,0.7716933488845825,0.0,0.194219708442688,0.7223074436187744,0.7506486773490906,1.0007832050323486,0.9962242841720581,1.097814917564392,0.9310817718505859,1.2261595726013184,1.2012882232666016,1.0513747930526733,1.1350057125091553,0.9432609677314758,1.010629415512085,0.9106208682060242,0.9495079517364502,0.7886253595352173,0.9796649813652039,0.8161119818687439,0.8438872694969177,1.0499861240386963,1.182897686958313,1.1367942094802856,1.1813901662826538,1.1358232498168945,1.1278774738311768,1.0313085317611694,1.1974704265594482,1.2032971382141113,1.0606293678283691,0.9245110154151917,1.1852004528045654,1.3952746391296387,1.1139979362487793,1.3789525032043457,1.2480499744415283,1.2641584873199463,1.26796293258667,1.267244577407837,1.1630457639694214,1.126654863357544,1.2438066005706787,1.2612409591674805,1.3069185018539429,1.21160089969635,1.3080177307128906,1.3360165357589722,1.212709665298462,1.288764238357544,1.2021673917770386,1.0023740530014038,0.9009570479393005,0.8022743463516235,0.7351731061935425,0.9287147521972656,1.0514882802963257,0.981878399848938,0.9031026363372803,1.072255253791809,1.1908385753631592,0.8689388036727905,0.8888691067695618,1.2253633737564087,1.1447553634643555,0.9583393335342407,1.2766010761260986,1.3867167234420776,1.4218497276306152,0.882118821144104,0.6453529000282288,0.6286895275115967,0.5458001494407654,0.4883209466934204,0.7870286703109741,0.931016206741333
hair,0.8202154636383057,1.1990830898284912,1.0391260385513306,0.7926749587059021,0.7602720856666565,0.8196887969970703,0.194219708442688,0.0,0.6937276721000671,0.6862438917160034,0.838940441608429,0.8175996541976929,0.9956900477409363,0.9805253744125366,1.254129409790039,1.1196765899658203,1.0331981182098389,1.1297672986984253,0.9299012422561646,0.9952316880226135,0.9256000518798828,0.9855256676673889,0.8405463695526123,0.9406226277351379,0.8968856334686279,0.9484735727310181,1.1284537315368652,1.249345302581787,1.1769119501113892,1.1962007284164429,1.112722635269165,1.1423733234405518,0.8396046757698059,1.061514139175415,1.0343378782272339,0.9754807353019714,0.7476820945739746,1.1471083164215088,1.2438982725143433,1.1225987672805786,1.2634223699569702,1.1512373685836792,1.2208958864212036,1.2315186262130737,1.2170498371124268,1.133653998374939,1.1673821210861206,1.2347426414489746,1.2638933658599854,1.2497503757476807,1.1284270286560059,1.2704541683197021,1.338610291481018,1.274298906326294,1.3176357746124268,1.275688886642456,1.0128792524337769,0.8552911281585693,0.8426445126533508,0.8330165147781372,1.0890625715255737,1.1551127433776855,1.0870956182479858,1.0189980268478394,1.0715081691741943,1.2806836366653442,0.8850803375244141,0.8375377655029297,1.0994991064071655,1.0740735530853271,0.9136998653411865,1.1929420232772827,1.2830379009246826,1.303903579711914,0.8986877202987671,0.6404581069946289,0.6532293558120728,0.616313636302948,0.5063596367835999,0.7147904634475708,0.7422937154769897
arm,0.886888325214386,1.3792887926101685,1.1699576377868652,0.5903609991073608,0.6952832937240601,0.9229772686958313,0.7223074436187744,0.6937276721000671,0.0,0.2776455879211426,0.8111661672592163,1.0036462545394897,1.1586464643478394,1.1006134748458862,1.5291348695755005,0.9778773784637451,0.7841297388076782,1.0354677438735962,0.9587900638580322,0.9769690632820129,0.8120373487472534,0.8084213733673096,0.4642699360847473,0.7914358377456665,0.5826219320297241,0.5836685299873352,0.8747302293777466,1.4595345258712769,1.418375015258789,1.4757648706436157,1.386634111404419,1.4121787548065186,1.4852689504623413,1.3244714736938477,1.2969025373458862,1.335707664489746,1.2332558631896973,1.1007463932037354,1.2354222536087036,0.9750186800956726,1.3868317604064941,1.1565425395965576,1.3804678916931152,1.3990516662597656,1.4558353424072266,1.34896719455719,1.3905047178268433,1.5131034851074219,1.5495179891586304,1.44524085521698,1.3034521341323853,1.456148386001587,1.5384228229522705,1.5806918144226074,1.512393832206726,1.4432642459869385,0.9030982851982117,0.6965464353561401,0.712567150592804,0.5911052227020264,0.8244050741195679,1.0373350381851196,1.0334153175354004,0.8939691185951233,1.1823484897613525,1.5772552490234375,0.9760061502456665,0.4094512462615967,0.7775555849075317,0.9156018495559692,0.5376026630401611,1.3018012046813965,1.3371069431304932,1.3343733549118042,0.44942641258239746,0.27359962463378906,0.3224106431007385,0.42405855655670166,0.3327922821044922,0.3298027515411377,0.5526242256164551
hand,0.8415740132331848,1.2485514879226685,1.0377929210662842,0.7604274749755859,0.8681824803352356,0.9816338419914246,0.7506486773490906,0.6862438917160034,0.2776455879211426,0.0,0.4622027277946472,0.7162522673606873,0.936880350112915,1.1806796789169312,1.4898467063903809,1.1225608587265015,0.9650701880455017,1.0709102153778076,1.0916962623596191,1.1136102676391602,1.0817090272903442,1.0369340181350708,0.7916761636734009,1.008501410484314,0.7924292087554932,0.819998562335968,0.9734388589859009,1.4078056812286377,1.2679320573806763,1.3120571374893188,1.185383915901184,1.1744112968444824,1.271889090538025,1.1102936267852783,1.0874598026275635,1.1639761924743652,1.0392839908599854,1.254648208618164,1.1099953651428223,0.9100878834724426,1.2321510314941406,1.0899927616119385,1.2388062477111816,1.2916357517242432,1.3099427223205566,1.3333885669708252,1.345036506652832,1.428885579109192,1.4268653392791748,1.4342520236968994,1.236913800239563,1.3992257118225098,1.4390220642089844,1.412463903427124,1.4117047786712646,1.3465301990509033,0.7442731857299805,0.5843246579170227,0.6827546954154968,0.7140069007873535,0.8704021573066711,1.0630732774734497,0.9848178029060364,0.9224712252616882,0.7851582169532776,1.3743844032287598,0.8380295634269714,0.38363945484161377,0.6458482146263123,0.7999370694160461,0.6406373381614685,1.3111083507537842,1.3569953441619873,1.3293193578720093,0.7300146222114563,0.5159778594970703,0.43805956840515137,0.6721027493476868,0.5613883137702942,0.5662491321563721,0.6364067792892456
