n_subjects,intersection_size,categories
1,163,"['sock', 'flower', 'soup', 'drawer', 'stroller', 'egg', 'pasta', 'foot', 'hair', 'eye', 'corn', 'pencil', 'zebra', 'slipper', 'fork', 'doll', 'soap', 'dress', 'can', 'chips', 'tooth', 'radio', 'paper', 'hat', 'plant', 'stick', 'cracker', 'oven', 'nose', 'boat', 'gum', 'coffee', 'mitten', 'crib', 'finger', 'banana', 'toothbrush', 'raisin', 'broom', 'strawberry', 'dish', 'shoe', 'fish', 'cookie', 'swing', 'jar', 'napkin', 'pillow', 'potato', 'carrot', 'spoon', 'bench', 'bowl', 'cat', 'hamburger', 'ankle', 'ladder', 'tape', 'ball', 'jeans', 'chair', 'box', 'game', 'elephant', 'grass', 'horse', 'balloon', 'pastry', 'towel', 'toe', 'bathtub', 'helicopter', 'bear', 'belt', 'pumpkin', 'penguin', 'truck', 'book', 'window', 'firetruck', 'slide', 'lamp', 'bird', 'sandwich', 'watch', 'bib', 'vacuum', 'nail', 'sauce', 'shirt', 'pen', 'table', 'closet', 'couch', 'rock', 'blanket', 'scarf', 'basket', 'glove', 'sink', 'alligator', 'pickle', 'pants', 'deer', 'purse', 'pony', 'orange', 'car', 'melon', 'ear', 'butterfly', 'necklace', 'cup', 'dog', 'shorts', 'jacket', 'glass', 'knife', 'bottle', 'apple', 'leg', 'sprinkler', 'arm', 'mouth', 'owl', 'milk', 'sweater', 'cloud', 'meat', 'shovel', 'frog', 'rooster', 'duck', 'toy', 'clock', 'pig', 'hand', 'tray', 'snow', 'mop', 'refrigerator', 'bed', 'plate', 'crayon', 'scissors', 'hose', 'pizza', 'door', 'shower', 'applesauce', 'glasses', 'pajamas', 'giraffe', 'coat', 'comb', 'tree', 'toast', 'bucket', 'motorcycle', 'face', 'bread', 'muffin', 'tricycle']"
2,163,"['sock', 'flower', 'soup', 'drawer', 'stroller', 'egg', 'pasta', 'foot', 'hair', 'eye', 'corn', 'pencil', 'zebra', 'slipper', 'fork', 'doll', 'soap', 'dress', 'can', 'chips', 'tooth', 'radio', 'paper', 'hat', 'plant', 'stick', 'cracker', 'oven', 'nose', 'boat', 'gum', 'coffee', 'mitten', 'crib', 'finger', 'banana', 'toothbrush', 'raisin', 'broom', 'strawberry', 'dish', 'shoe', 'fish', 'cookie', 'swing', 'jar', 'napkin', 'pillow', 'potato', 'carrot', 'spoon', 'bench', 'bowl', 'cat', 'hamburger', 'ankle', 'ladder', 'tape', 'ball', 'jeans', 'chair', 'box', 'game', 'elephant', 'grass', 'horse', 'balloon', 'pastry', 'towel', 'toe', 'bathtub', 'helicopter', 'bear', 'belt', 'pumpkin', 'penguin', 'truck', 'book', 'window', 'firetruck', 'slide', 'lamp', 'bird', 'sandwich', 'watch', 'bib', 'vacuum', 'nail', 'sauce', 'shirt', 'pen', 'table', 'closet', 'couch', 'rock', 'blanket', 'scarf', 'basket', 'glove', 'sink', 'alligator', 'pickle', 'pants', 'deer', 'purse', 'pony', 'orange', 'car', 'melon', 'ear', 'butterfly', 'necklace', 'cup', 'dog', 'shorts', 'jacket', 'glass', 'knife', 'bottle', 'apple', 'leg', 'sprinkler', 'arm', 'mouth', 'owl', 'milk', 'sweater', 'cloud', 'meat', 'shovel', 'frog', 'rooster', 'duck', 'toy', 'clock', 'pig', 'hand', 'tray', 'snow', 'mop', 'refrigerator', 'bed', 'plate', 'crayon', 'scissors', 'hose', 'pizza', 'door', 'shower', 'applesauce', 'glasses', 'pajamas', 'giraffe', 'coat', 'comb', 'tree', 'toast', 'bucket', 'motorcycle', 'face', 'bread', 'muffin', 'tricycle']"
3,163,"['sock', 'flower', 'soup', 'drawer', 'stroller', 'egg', 'pasta', 'foot', 'hair', 'eye', 'corn', 'pencil', 'zebra', 'slipper', 'fork', 'doll', 'soap', 'dress', 'can', 'chips', 'tooth', 'radio', 'paper', 'hat', 'plant', 'stick', 'cracker', 'oven', 'nose', 'boat', 'gum', 'coffee', 'mitten', 'crib', 'finger', 'banana', 'toothbrush', 'raisin', 'broom', 'strawberry', 'dish', 'shoe', 'fish', 'cookie', 'swing', 'jar', 'napkin', 'pillow', 'potato', 'carrot', 'spoon', 'bench', 'bowl', 'cat', 'hamburger', 'ankle', 'ladder', 'tape', 'ball', 'jeans', 'chair', 'box', 'game', 'elephant', 'grass', 'horse', 'balloon', 'pastry', 'towel', 'toe', 'bathtub', 'helicopter', 'bear', 'belt', 'pumpkin', 'penguin', 'truck', 'book', 'window', 'firetruck', 'slide', 'lamp', 'bird', 'sandwich', 'watch', 'bib', 'vacuum', 'nail', 'sauce', 'shirt', 'pen', 'table', 'closet', 'couch', 'rock', 'blanket', 'scarf', 'basket', 'glove', 'sink', 'alligator', 'pickle', 'pants', 'deer', 'purse', 'pony', 'orange', 'car', 'melon', 'ear', 'butterfly', 'necklace', 'cup', 'dog', 'shorts', 'jacket', 'glass', 'knife', 'bottle', 'apple', 'leg', 'sprinkler', 'arm', 'mouth', 'owl', 'milk', 'sweater', 'cloud', 'meat', 'shovel', 'frog', 'rooster', 'duck', 'toy', 'clock', 'pig', 'hand', 'tray', 'snow', 'mop', 'refrigerator', 'bed', 'plate', 'crayon', 'scissors', 'hose', 'pizza', 'door', 'shower', 'applesauce', 'glasses', 'pajamas', 'giraffe', 'coat', 'comb', 'tree', 'toast', 'bucket', 'motorcycle', 'face', 'bread', 'muffin', 'tricycle']"
4,163,"['sock', 'flower', 'soup', 'drawer', 'stroller', 'egg', 'pasta', 'foot', 'hair', 'eye', 'corn', 'pencil', 'zebra', 'slipper', 'fork', 'doll', 'soap', 'dress', 'can', 'chips', 'tooth', 'radio', 'paper', 'hat', 'plant', 'stick', 'cracker', 'oven', 'nose', 'boat', 'gum', 'coffee', 'mitten', 'crib', 'finger', 'banana', 'toothbrush', 'raisin', 'broom', 'strawberry', 'dish', 'shoe', 'fish', 'cookie', 'swing', 'jar', 'napkin', 'pillow', 'potato', 'carrot', 'spoon', 'bench', 'bowl', 'cat', 'hamburger', 'ankle', 'ladder', 'tape', 'ball', 'jeans', 'chair', 'box', 'game', 'elephant', 'grass', 'horse', 'balloon', 'pastry', 'towel', 'toe', 'bathtub', 'helicopter', 'bear', 'belt', 'pumpkin', 'penguin', 'truck', 'book', 'window', 'firetruck', 'slide', 'lamp', 'bird', 'sandwich', 'watch', 'bib', 'vacuum', 'nail', 'sauce', 'shirt', 'pen', 'table', 'closet', 'couch', 'rock', 'blanket', 'scarf', 'basket', 'glove', 'sink', 'alligator', 'pickle', 'pants', 'deer', 'purse', 'pony', 'orange', 'car', 'melon', 'ear', 'butterfly', 'necklace', 'cup', 'dog', 'shorts', 'jacket', 'glass', 'knife', 'bottle', 'apple', 'leg', 'sprinkler', 'arm', 'mouth', 'owl', 'milk', 'sweater', 'cloud', 'meat', 'shovel', 'frog', 'rooster', 'duck', 'toy', 'clock', 'pig', 'hand', 'tray', 'snow', 'mop', 'refrigerator', 'bed', 'plate', 'crayon', 'scissors', 'hose', 'pizza', 'door', 'shower', 'applesauce', 'glasses', 'pajamas', 'giraffe', 'coat', 'comb', 'tree', 'toast', 'bucket', 'motorcycle', 'face', 'bread', 'muffin', 'tricycle']"
5,163,"['sock', 'flower', 'soup', 'drawer', 'stroller', 'egg', 'pasta', 'foot', 'hair', 'eye', 'corn', 'pencil', 'zebra', 'slipper', 'fork', 'doll', 'soap', 'dress', 'can', 'chips', 'tooth', 'radio', 'paper', 'hat', 'plant', 'stick', 'cracker', 'oven', 'nose', 'boat', 'gum', 'coffee', 'mitten', 'crib', 'finger', 'banana', 'toothbrush', 'raisin', 'broom', 'strawberry', 'dish', 'shoe', 'fish', 'cookie', 'swing', 'jar', 'napkin', 'pillow', 'potato', 'carrot', 'spoon', 'bench', 'bowl', 'cat', 'hamburger', 'ankle', 'ladder', 'tape', 'ball', 'jeans', 'chair', 'box', 'game', 'elephant', 'grass', 'horse', 'balloon', 'pastry', 'towel', 'toe', 'bathtub', 'helicopter', 'bear', 'belt', 'pumpkin', 'penguin', 'truck', 'book', 'window', 'firetruck', 'slide', 'lamp', 'bird', 'sandwich', 'watch', 'bib', 'vacuum', 'nail', 'sauce', 'shirt', 'pen', 'table', 'closet', 'couch', 'rock', 'blanket', 'scarf', 'basket', 'glove', 'sink', 'alligator', 'pickle', 'pants', 'deer', 'purse', 'pony', 'orange', 'car', 'melon', 'ear', 'butterfly', 'necklace', 'cup', 'dog', 'shorts', 'jacket', 'glass', 'knife', 'bottle', 'apple', 'leg', 'sprinkler', 'arm', 'mouth', 'owl', 'milk', 'sweater', 'cloud', 'meat', 'shovel', 'frog', 'rooster', 'duck', 'toy', 'clock', 'pig', 'hand', 'tray', 'snow', 'mop', 'refrigerator', 'bed', 'plate', 'crayon', 'scissors', 'hose', 'pizza', 'door', 'shower', 'applesauce', 'glasses', 'pajamas', 'giraffe', 'coat', 'comb', 'tree', 'toast', 'bucket', 'motorcycle', 'face', 'bread', 'muffin', 'tricycle']"
6,163,"['sock', 'flower', 'soup', 'drawer', 'stroller', 'egg', 'pasta', 'foot', 'hair', 'eye', 'corn', 'pencil', 'zebra', 'slipper', 'fork', 'doll', 'soap', 'dress', 'can', 'chips', 'tooth', 'radio', 'paper', 'hat', 'plant', 'stick', 'cracker', 'oven', 'nose', 'boat', 'gum', 'coffee', 'mitten', 'crib', 'finger', 'banana', 'toothbrush', 'raisin', 'broom', 'strawberry', 'dish', 'shoe', 'fish', 'cookie', 'swing', 'jar', 'napkin', 'pillow', 'potato', 'carrot', 'spoon', 'bench', 'bowl', 'cat', 'hamburger', 'ankle', 'ladder', 'tape', 'ball', 'jeans', 'chair', 'box', 'game', 'elephant', 'grass', 'horse', 'balloon', 'pastry', 'towel', 'toe', 'bathtub', 'helicopter', 'bear', 'belt', 'pumpkin', 'penguin', 'truck', 'book', 'window', 'firetruck', 'slide', 'lamp', 'bird', 'sandwich', 'watch', 'bib', 'vacuum', 'nail', 'sauce', 'shirt', 'pen', 'table', 'closet', 'couch', 'rock', 'blanket', 'scarf', 'basket', 'glove', 'sink', 'alligator', 'pickle', 'pants', 'deer', 'purse', 'pony', 'orange', 'car', 'melon', 'ear', 'butterfly', 'necklace', 'cup', 'dog', 'shorts', 'jacket', 'glass', 'knife', 'bottle', 'apple', 'leg', 'sprinkler', 'arm', 'mouth', 'owl', 'milk', 'sweater', 'cloud', 'meat', 'shovel', 'frog', 'rooster', 'duck', 'toy', 'clock', 'pig', 'hand', 'tray', 'snow', 'mop', 'refrigerator', 'bed', 'plate', 'crayon', 'scissors', 'hose', 'pizza', 'door', 'shower', 'applesauce', 'glasses', 'pajamas', 'giraffe', 'coat', 'comb', 'tree', 'toast', 'bucket', 'motorcycle', 'face', 'bread', 'muffin', 'tricycle']"
7,163,"['sock', 'flower', 'soup', 'drawer', 'stroller', 'egg', 'pasta', 'foot', 'hair', 'eye', 'corn', 'pencil', 'zebra', 'slipper', 'fork', 'doll', 'soap', 'dress', 'can', 'chips', 'tooth', 'radio', 'paper', 'hat', 'plant', 'stick', 'cracker', 'oven', 'nose', 'boat', 'gum', 'coffee', 'mitten', 'crib', 'finger', 'banana', 'toothbrush', 'raisin', 'broom', 'strawberry', 'dish', 'shoe', 'fish', 'cookie', 'swing', 'jar', 'napkin', 'pillow', 'potato', 'carrot', 'spoon', 'bench', 'bowl', 'cat', 'hamburger', 'ankle', 'ladder', 'tape', 'ball', 'jeans', 'chair', 'box', 'game', 'elephant', 'grass', 'horse', 'balloon', 'pastry', 'towel', 'toe', 'bathtub', 'helicopter', 'bear', 'belt', 'pumpkin', 'penguin', 'truck', 'book', 'window', 'firetruck', 'slide', 'lamp', 'bird', 'sandwich', 'watch', 'bib', 'vacuum', 'nail', 'sauce', 'shirt', 'pen', 'table', 'closet', 'couch', 'rock', 'blanket', 'scarf', 'basket', 'glove', 'sink', 'alligator', 'pickle', 'pants', 'deer', 'purse', 'pony', 'orange', 'car', 'melon', 'ear', 'butterfly', 'necklace', 'cup', 'dog', 'shorts', 'jacket', 'glass', 'knife', 'bottle', 'apple', 'leg', 'sprinkler', 'arm', 'mouth', 'owl', 'milk', 'sweater', 'cloud', 'meat', 'shovel', 'frog', 'rooster', 'duck', 'toy', 'clock', 'pig', 'hand', 'tray', 'snow', 'mop', 'refrigerator', 'bed', 'plate', 'crayon', 'scissors', 'hose', 'pizza', 'door', 'shower', 'applesauce', 'glasses', 'pajamas', 'giraffe', 'coat', 'comb', 'tree', 'toast', 'bucket', 'motorcycle', 'face', 'bread', 'muffin', 'tricycle']"
8,163,"['sock', 'flower', 'soup', 'drawer', 'stroller', 'egg', 'pasta', 'foot', 'hair', 'eye', 'corn', 'pencil', 'zebra', 'slipper', 'fork', 'doll', 'soap', 'dress', 'can', 'chips', 'tooth', 'radio', 'paper', 'hat', 'plant', 'stick', 'cracker', 'oven', 'nose', 'boat', 'gum', 'coffee', 'mitten', 'crib', 'finger', 'banana', 'toothbrush', 'raisin', 'broom', 'strawberry', 'dish', 'shoe', 'fish', 'cookie', 'swing', 'jar', 'napkin', 'pillow', 'potato', 'carrot', 'spoon', 'bench', 'bowl', 'cat', 'hamburger', 'ankle', 'ladder', 'tape', 'ball', 'jeans', 'chair', 'box', 'game', 'elephant', 'grass', 'horse', 'balloon', 'pastry', 'towel', 'toe', 'bathtub', 'helicopter', 'bear', 'belt', 'pumpkin', 'penguin', 'truck', 'book', 'window', 'firetruck', 'slide', 'lamp', 'bird', 'sandwich', 'watch', 'bib', 'vacuum', 'nail', 'sauce', 'shirt', 'pen', 'table', 'closet', 'couch', 'rock', 'blanket', 'scarf', 'basket', 'glove', 'sink', 'alligator', 'pickle', 'pants', 'deer', 'purse', 'pony', 'orange', 'car', 'melon', 'ear', 'butterfly', 'necklace', 'cup', 'dog', 'shorts', 'jacket', 'glass', 'knife', 'bottle', 'apple', 'leg', 'sprinkler', 'arm', 'mouth', 'owl', 'milk', 'sweater', 'cloud', 'meat', 'shovel', 'frog', 'rooster', 'duck', 'toy', 'clock', 'pig', 'hand', 'tray', 'snow', 'mop', 'refrigerator', 'bed', 'plate', 'crayon', 'scissors', 'hose', 'pizza', 'door', 'shower', 'applesauce', 'glasses', 'pajamas', 'giraffe', 'coat', 'comb', 'tree', 'toast', 'bucket', 'motorcycle', 'face', 'bread', 'muffin', 'tricycle']"
9,161,"['sock', 'flower', 'soup', 'drawer', 'stroller', 'egg', 'pasta', 'foot', 'hair', 'eye', 'corn', 'pencil', 'zebra', 'slipper', 'fork', 'doll', 'soap', 'dress', 'can', 'chips', 'tooth', 'radio', 'paper', 'hat', 'plant', 'stick', 'cracker', 'oven', 'nose', 'boat', 'gum', 'coffee', 'mitten', 'crib', 'finger', 'banana', 'toothbrush', 'raisin', 'broom', 'strawberry', 'dish', 'shoe', 'fish', 'cookie', 'swing', 'jar', 'napkin', 'pillow', 'potato', 'carrot', 'spoon', 'bench', 'bowl', 'cat', 'hamburger', 'ankle', 'ladder', 'tape', 'ball', 'jeans', 'chair', 'box', 'game', 'elephant', 'grass', 'horse', 'balloon', 'pastry', 'towel', 'toe', 'bathtub', 'helicopter', 'bear', 'belt', 'pumpkin', 'penguin', 'truck', 'book', 'window', 'firetruck', 'slide', 'lamp', 'bird', 'sandwich', 'watch', 'bib', 'vacuum', 'nail', 'sauce', 'shirt', 'pen', 'table', 'closet', 'couch', 'rock', 'blanket', 'scarf', 'basket', 'glove', 'sink', 'alligator', 'pickle', 'pants', 'deer', 'purse', 'pony', 'orange', 'car', 'melon', 'ear', 'butterfly', 'necklace', 'cup', 'dog', 'shorts', 'jacket', 'glass', 'knife', 'bottle', 'apple', 'leg', 'sprinkler', 'arm', 'mouth', 'owl', 'milk', 'sweater', 'meat', 'shovel', 'frog', 'rooster', 'duck', 'toy', 'clock', 'pig', 'hand', 'tray', 'snow', 'mop', 'refrigerator', 'bed', 'plate', 'crayon', 'scissors', 'hose', 'pizza', 'door', 'shower', 'applesauce', 'glasses', 'pajamas', 'giraffe', 'coat', 'comb', 'tree', 'bucket', 'motorcycle', 'face', 'bread', 'muffin', 'tricycle']"
10,160,"['sock', 'flower', 'soup', 'drawer', 'stroller', 'egg', 'foot', 'hair', 'eye', 'corn', 'pencil', 'zebra', 'slipper', 'fork', 'doll', 'soap', 'dress', 'can', 'chips', 'tooth', 'radio', 'paper', 'hat', 'plant', 'stick', 'cracker', 'oven', 'nose', 'boat', 'gum', 'coffee', 'mitten', 'crib', 'finger', 'banana', 'toothbrush', 'raisin', 'broom', 'strawberry', 'dish', 'shoe', 'fish', 'cookie', 'swing', 'jar', 'napkin', 'pillow', 'potato', 'carrot', 'spoon', 'bench', 'bowl', 'cat', 'hamburger', 'ankle', 'ladder', 'tape', 'ball', 'jeans', 'chair', 'box', 'game', 'elephant', 'grass', 'horse', 'balloon', 'pastry', 'towel', 'toe', 'bathtub', 'helicopter', 'bear', 'belt', 'pumpkin', 'penguin', 'truck', 'book', 'window', 'firetruck', 'slide', 'lamp', 'bird', 'sandwich', 'watch', 'bib', 'vacuum', 'nail', 'sauce', 'shirt', 'pen', 'table', 'closet', 'couch', 'rock', 'blanket', 'scarf', 'basket', 'glove', 'sink', 'alligator', 'pickle', 'pants', 'deer', 'purse', 'pony', 'orange', 'car', 'melon', 'ear', 'butterfly', 'necklace', 'cup', 'dog', 'shorts', 'jacket', 'glass', 'knife', 'bottle', 'apple', 'leg', 'sprinkler', 'arm', 'mouth', 'owl', 'milk', 'sweater', 'meat', 'shovel', 'frog', 'rooster', 'duck', 'toy', 'clock', 'pig', 'hand', 'tray', 'snow', 'mop', 'refrigerator', 'bed', 'plate', 'crayon', 'scissors', 'hose', 'pizza', 'door', 'shower', 'applesauce', 'glasses', 'pajamas', 'giraffe', 'coat', 'comb', 'tree', 'bucket', 'motorcycle', 'face', 'bread', 'muffin', 'tricycle']"
