,horse,rooster,bird,fish,butterfly,frog,alligator,owl,elephant,cat,dog,face,hair,arm,hand,leg,foot,ankle,finger,toe,tooth,ear,nose,stroller,motorcycle,car,lamp,chair,bench,drawer,ladder,window,door,closet,shower,refrigerator,oven,crib,bed,couch,table,bathtub,sink,boat,slide,hose,sprinkler,clock,ball,balloon,pumpkin,egg,orange,apple,strawberry,hat,slipper,watch,nail,glasses,necklace,carrot,vacuum,shovel,scissors,spoon,fork,knife,pencil,pen,crayon,plant,flower,soap,bottle,cup,can,belt,radio,basket,milk,jar,bucket,tape,bowl,plate,corn,pickle,banana,melon,bread,cookie,cracker,pizza,hamburger,muffin,glass,coffee,tray,box,book,paper,comb,toothbrush,gum,toy,doll,mitten,glove,sock,shoe,purse,pillow,towel,napkin,blanket,dress,pajamas,bib,scarf,jacket,sweater,shirt,jeans,pants,shorts
horse,0.0,0.4607127904891968,0.5141854882240295,0.7616270184516907,0.6584739089012146,0.5612100958824158,0.6599908471107483,0.7260519862174988,0.8764545321464539,0.9244669675827026,0.5245597958564758,1.016144037246704,1.0353519916534424,1.1397545337677002,1.1329113245010376,1.0613346099853516,0.9800300598144531,1.0188391208648682,1.0745395421981812,1.0195095539093018,0.9877140522003174,1.014702558517456,1.0244073867797852,0.8770989179611206,0.9366567730903625,0.9486017823219299,1.0193512439727783,1.0081268548965454,1.1275612115859985,1.1337114572525024,1.0006293058395386,1.1013598442077637,1.1284042596817017,1.1269701719284058,1.0837693214416504,1.1469848155975342,1.1188369989395142,1.1310791969299316,1.1169790029525757,1.1031651496887207,1.1022175550460815,1.1449267864227295,1.1512830257415771,0.948428750038147,1.0418778657913208,1.0009328126907349,0.9547430276870728,0.9135388135910034,1.0194116830825806,1.0027211904525757,0.9139910340309143,1.0048960447311401,0.975018322467804,0.988759458065033,0.8664055466651917,0.9539708495140076,0.9224834442138672,0.9799745678901672,0.9832304120063782,0.9428592324256897,0.9543821811676025,1.0583593845367432,1.055840253829956,0.9993034601211548,0.8616439700126648,0.9781976342201233,0.9608938694000244,1.0403516292572021,1.0140562057495117,1.0095765590667725,0.9859138131141663,1.0760623216629028,0.9396234750747681,1.0247318744659424,1.008215069770813,1.0311503410339355,1.0574172735214233,1.0041813850402832,0.969996988773346,1.0275143384933472,1.062686800956726,1.0040843486785889,1.0560853481292725,1.055873990058899,1.0818418264389038,1.0353928804397583,1.0637950897216797,1.0284312963485718,0.9951173663139343,1.0945109128952026,0.965498149394989,0.8799110651016235,0.955141007900238,0.8956437110900879,1.0448923110961914,0.9037064909934998,1.0761855840682983,1.0281786918640137,1.06172513961792,1.1179847717285156,0.9402666687965393,1.047520399093628,1.0254896879196167,1.1231563091278076,1.0341036319732666,0.890901505947113,0.8141806125640869,1.0439202785491943,1.036987066268921,1.0496906042099,0.9355565905570984,1.0016471147537231,1.0087928771972656,1.0559154748916626,1.0648442506790161,1.0972224473953247,1.0052968263626099,1.0785455703735352,1.056517481803894,1.0610233545303345,1.0877201557159424,1.0253806114196777,1.0507806539535522,1.1088805198669434,1.0945179462432861,1.0748146772384644
rooster,0.4607127904891968,0.0,0.43400144577026367,0.44395339488983154,0.7123255133628845,0.5873916149139404,0.7756755352020264,0.7625433206558228,1.0731892585754395,0.6859370470046997,0.5765248537063599,0.945721447467804,0.8365281820297241,1.139309287071228,1.0539155006408691,1.1060370206832886,0.9528297185897827,1.0426627397537231,1.0316948890686035,0.9819600582122803,0.8428797721862793,0.8049529790878296,0.9361070990562439,0.7857054471969604,0.7964165210723877,0.6933200359344482,0.9635342359542847,1.0312639474868774,1.1500849723815918,1.1196386814117432,1.0565828084945679,1.004373550415039,1.0543982982635498,1.0916602611541748,1.109324336051941,1.1191110610961914,1.1899737119674683,1.1520532369613647,1.2001760005950928,1.1042866706848145,1.3068362474441528,1.2552721500396729,1.1923729181289673,1.0298099517822266,1.195083498954773,1.0977537631988525,0.8586310744285583,0.960652768611908,1.0276647806167603,1.0098718404769897,0.8689080476760864,1.0409725904464722,0.9995719790458679,0.9626697301864624,0.8411012887954712,0.6555548310279846,0.7582181692123413,0.8378045558929443,0.8927686214447021,0.751296877861023,0.8403275012969971,0.9222018718719482,0.9104397892951965,0.8559830188751221,0.9162901639938354,0.9257186651229858,0.7587494850158691,0.8957091569900513,0.8666348457336426,0.8157627582550049,0.8321292996406555,0.8700840473175049,0.6052902340888977,0.8923789858818054,0.8629221320152283,1.0232930183410645,0.9512781500816345,0.8249471783638,0.8609257936477661,0.9158546924591064,1.1174485683441162,0.9905692934989929,1.0274180173873901,1.0956021547317505,1.1270520687103271,1.0905545949935913,0.8559859991073608,0.9739473462104797,0.9699498414993286,1.1086217164993286,0.8249658346176147,0.8994601964950562,0.8368669748306274,0.8276403546333313,1.0106534957885742,0.6943031549453735,0.9913704991340637,1.091956615447998,1.2220475673675537,1.1602237224578857,1.0470942258834839,1.1269361972808838,0.903559684753418,0.9608856439590454,0.8864926695823669,0.9738205075263977,0.7547545433044434,0.949287474155426,0.7967865467071533,1.0643413066864014,0.8547480702400208,0.86072838306427,0.7562437653541565,0.9504964351654053,0.9773823022842407,1.1390529870986938,0.9271697402000427,1.142386794090271,1.0609169006347656,0.9881463050842285,0.9810553789138794,1.0087743997573853,0.9850144982337952,1.0943446159362793,1.0471997261047363,0.9305295944213867
bird,0.5141854882240295,0.43400144577026367,0.0,0.4826706051826477,0.7345694303512573,0.5554378628730774,0.6189162135124207,0.4995166063308716,0.8399889469146729,0.7114156484603882,0.5056705474853516,0.9927185773849487,0.9810826778411865,1.1029549837112427,1.087340235710144,1.0784635543823242,0.9257192611694336,1.0249894857406616,1.0936079025268555,1.0110398530960083,1.0144603252410889,0.9255086779594421,1.0425434112548828,0.8381413221359253,0.8263217806816101,0.8403684496879578,0.9851891994476318,1.0146503448486328,1.073718786239624,1.1087238788604736,0.9922334551811218,1.0500849485397339,1.0197685956954956,1.0378690958023071,0.9789738059043884,1.0567898750305176,1.0727776288986206,1.0596038103103638,1.048366904258728,1.0760129690170288,1.0987472534179688,1.0415014028549194,1.1258589029312134,0.9697577953338623,1.0078039169311523,0.9740734100341797,0.8081120252609253,0.9702395796775818,0.9869214296340942,1.0339280366897583,0.938825786113739,1.0209113359451294,1.0119707584381104,1.0193982124328613,0.9310802817344666,0.9220709204673767,0.9245740175247192,1.0356414318084717,1.0498582124710083,1.0441240072250366,1.035622239112854,1.019209623336792,0.9936802983283997,0.9373515248298645,0.8574514389038086,0.9783089756965637,0.8805248737335205,1.0046929121017456,1.0414036512374878,1.0146900415420532,1.0185960531234741,1.0785504579544067,0.899803876876831,0.9837027192115784,1.030990481376648,1.1339181661605835,1.095117449760437,1.0997127294540405,1.0525472164154053,1.0390472412109375,1.0693657398223877,1.0613336563110352,1.1205452680587769,1.1402963399887085,1.1659519672393799,1.0841069221496582,0.9629518389701843,1.0294060707092285,0.9324755072593689,0.9894052743911743,0.9472544193267822,0.8599493503570557,0.8483335375785828,0.8946269750595093,0.9599531292915344,0.783588171005249,0.9844257831573486,1.070066213607788,1.0755715370178223,1.1187809705734253,1.0324748754501343,0.9895573854446411,0.8899656534194946,0.95769864320755,0.9718822240829468,0.9603697061538696,0.7897818088531494,0.8355984687805176,0.8749738931655884,0.9802987575531006,0.8712608814239502,0.9705173969268799,0.9690479040145874,0.9598815441131592,0.9848328232765198,0.9945340752601624,0.9476434588432312,1.019663691520691,1.009968876838684,0.946025013923645,0.9766418933868408,0.9688310027122498,0.9799357056617737,0.9970836639404297,0.9913755655288696,0.9928613305091858
fish,0.7616270184516907,0.44395339488983154,0.4826706051826477,0.0,0.7870112657546997,0.5541967153549194,0.7812192440032959,0.7695905566215515,1.0291959047317505,0.6785617470741272,0.7164561748504639,1.0539748668670654,1.0145727396011353,1.1963533163070679,1.0025898218154907,0.9997109174728394,0.922073483467102,0.9779973030090332,0.9214158654212952,0.8512091636657715,0.681536853313446,0.7819580435752869,0.8581503629684448,1.007284164428711,0.8959527015686035,0.7263635396957397,0.8949349522590637,1.1938104629516602,1.2728830575942993,1.215437412261963,1.2034765481948853,1.1878889799118042,1.1856334209442139,1.2248334884643555,1.2011452913284302,1.2353795766830444,1.2267125844955444,1.2907097339630127,1.2976109981536865,1.254441261291504,1.3246362209320068,1.2180125713348389,1.0925133228302002,1.0131717920303345,1.2124793529510498,1.0928809642791748,0.7783925533294678,0.8091306686401367,0.7774680852890015,0.7783521413803101,0.8237089514732361,0.8302441239356995,0.8271774053573608,0.7726940512657166,0.8097257614135742,0.6807166337966919,0.6252561807632446,0.8474248647689819,0.6833640933036804,0.8213813304901123,0.8375557661056519,0.6980751752853394,1.0680369138717651,0.7961920499801636,0.8289648294448853,0.7820797562599182,0.6276167035102844,0.7534012794494629,0.6929631233215332,0.6404337286949158,0.604629397392273,1.0210649967193604,0.7560861110687256,0.6628707647323608,0.7955119609832764,0.9156480431556702,0.9943370223045349,0.6724599003791809,0.9971567988395691,1.0740035772323608,1.1921725273132324,1.039007306098938,1.004079818725586,0.9271241426467896,0.9464240670204163,0.9372819662094116,0.7343422174453735,0.730591893196106,0.7983449101448059,0.8664045333862305,0.7130436897277832,0.7980422973632812,0.7469277381896973,0.8551002740859985,0.9464244842529297,0.6315978765487671,1.0032036304473877,0.9570709466934204,1.204433798789978,1.269511103630066,1.1400179862976074,1.1272203922271729,0.8631064295768738,0.7809090614318848,0.6057187914848328,0.9073296785354614,0.8997890949249268,0.8162192106246948,0.6929454803466797,0.962140679359436,0.8698596954345703,1.0418623685836792,0.7379376888275146,0.9304254651069641,0.9160804152488708,1.1798458099365234,1.0803766250610352,1.159807562828064,1.0815701484680176,1.0733270645141602,1.145761489868164,1.1230913400650024,1.072351336479187,1.086953043937683,1.0856842994689941,0.9783161282539368
butterfly,0.6584739089012146,0.7123255133628845,0.7345694303512573,0.7870112657546997,0.0,0.5733240842819214,0.7433340549468994,0.7113760113716125,1.0594865083694458,1.0716533660888672,0.8554595708847046,1.0483009815216064,1.0780138969421387,1.1360750198364258,1.061988353729248,1.0955976247787476,1.0490639209747314,1.046081781387329,1.0359331369400024,1.0609447956085205,1.0498435497283936,1.0321907997131348,1.0492396354675293,1.0223411321640015,1.054579496383667,1.0260529518127441,0.9966924786567688,1.0982555150985718,1.1267682313919067,1.072170615196228,1.1152631044387817,1.019429087638855,1.0695748329162598,1.081459879875183,1.1039676666259766,1.0810068845748901,1.1256892681121826,1.110054850578308,1.1134610176086426,1.1080933809280396,1.0731464624404907,1.1169216632843018,1.1303473711013794,0.9295457601547241,1.1083080768585205,1.0416169166564941,0.9372594952583313,0.8670405745506287,0.9790520071983337,0.9417313933372498,0.953312873840332,1.0126022100448608,0.9227148294448853,0.9605792164802551,0.7769343852996826,0.9522643685340881,1.0398832559585571,0.9728384613990784,1.040303111076355,1.0173025131225586,0.9983422756195068,1.0189834833145142,1.096081256866455,1.05426824092865,0.8745975494384766,1.0141538381576538,0.9742189049720764,0.9876830577850342,0.9639471173286438,0.9851382374763489,0.9515445232391357,0.9295408725738525,0.8047374486923218,0.9548643827438354,0.9981939792633057,1.0208173990249634,1.0925118923187256,1.0159833431243896,0.9817304611206055,1.0455878973007202,0.9644761681556702,0.9070079922676086,1.0034124851226807,1.0133904218673706,1.0423680543899536,0.9947890639305115,0.9749428033828735,0.9748589396476746,0.9813151359558105,1.0463815927505493,0.9849918484687805,0.868265688419342,0.9215261936187744,0.8928345441818237,1.0321708917617798,0.881149172782898,1.1170135736465454,0.9973227977752686,0.9977540373802185,1.0308817625045776,0.7787508964538574,0.920153796672821,0.9938711524009705,1.0663241147994995,0.9396308064460754,0.8582576513290405,0.9046697020530701,1.034005880355835,1.0942304134368896,1.053742527961731,1.0206173658370972,1.014237403869629,1.0596702098846436,1.044777274131775,1.0295592546463013,1.0954580307006836,1.0818159580230713,1.1192119121551514,1.1077325344085693,1.1060519218444824,1.0770103931427002,1.111119270324707,1.1277966499328613,1.1540040969848633,1.1245872974395752,1.0812755823135376
frog,0.5612100958824158,0.5873916149139404,0.5554378628730774,0.5541967153549194,0.5733240842819214,0.0,0.3964064121246338,0.5263262987136841,1.0515213012695312,0.9180154800415039,0.49841123819351196,1.0803743600845337,1.142513394355774,1.171389102935791,0.9800427556037903,1.168237328529358,1.0135390758514404,1.075108289718628,1.0694985389709473,1.0599651336669922,0.9671870470046997,1.0519945621490479,1.1019757986068726,0.9275609254837036,0.9549868106842041,0.9743219614028931,1.0667445659637451,1.2153093814849854,1.2249653339385986,1.1890995502471924,1.132761001586914,1.1983226537704468,1.1657427549362183,1.205395221710205,1.1422353982925415,1.1585793495178223,1.224015235900879,1.1950762271881104,1.1636453866958618,1.1924641132354736,1.028753399848938,1.1597367525100708,1.2050426006317139,0.9564822912216187,1.0450794696807861,1.031720757484436,0.5745853781700134,0.9350764751434326,0.8074164986610413,0.8123234510421753,0.9325066208839417,0.9347426295280457,0.9574188590049744,0.8875913023948669,0.8315780162811279,0.9406933188438416,0.9898020029067993,1.0171658992767334,1.0709046125411987,1.1219017505645752,1.0473289489746094,0.9534565806388855,1.1379338502883911,0.9722059369087219,0.5710317492485046,0.9392596483230591,0.9474489688873291,1.0149462223052979,1.0513030290603638,1.053943395614624,0.9788157343864441,1.0679656267166138,0.8487579822540283,0.9817025661468506,1.033044695854187,1.0916566848754883,1.1962679624557495,1.1783945560455322,1.0622907876968384,1.1597416400909424,1.0563769340515137,0.951874315738678,1.078019618988037,0.9556150436401367,1.0278159379959106,0.9650307893753052,0.9038646221160889,0.8306652307510376,0.737175464630127,0.7574571967124939,1.013997197151184,0.8096912503242493,0.8352187871932983,0.8345128297805786,0.8974114656448364,0.826852560043335,1.022669792175293,0.9225168824195862,0.9333623051643372,1.0802526473999023,0.838272213935852,0.9473024606704712,0.9325981736183167,0.7826505899429321,0.6902145743370056,0.39565765857696533,0.41962242126464844,0.6106979846954346,0.7909348011016846,0.9547479748725891,0.9221327304840088,1.0462039709091187,1.1366318464279175,1.026859164237976,1.045698642730713,1.0947037935256958,1.0807912349700928,1.0712239742279053,1.0224545001983643,1.068678379058838,1.1641615629196167,1.109926462173462,1.1414319276809692,1.1599948406219482,1.161537766456604,1.1316028833389282
alligator,0.6599908471107483,0.7756755352020264,0.6189162135124207,0.7812192440032959,0.7433340549468994,0.3964064121246338,0.0,0.5297434329986572,0.6825641393661499,0.5827646851539612,0.3136807084083557,0.9480149745941162,0.9846560955047607,0.7651177048683167,0.9355630874633789,1.110606074333191,1.0277150869369507,1.1225706338882446,1.2224133014678955,1.2199139595031738,1.3282028436660767,1.1829882860183716,1.3443756103515625,0.7675206065177917,0.8494350910186768,1.0220242738723755,1.196643590927124,0.8860087990760803,0.8681497573852539,1.037550687789917,0.8739582300186157,0.9987507462501526,0.9828650951385498,0.9182981848716736,0.8906383514404297,0.9729233980178833,1.0388559103012085,0.7537503242492676,0.6295170783996582,0.8292036652565002,0.6458302736282349,0.7278515696525574,1.0611435174942017,0.7720765471458435,0.7142536044120789,0.857987105846405,0.9627828598022461,1.1927316188812256,1.166541337966919,1.2427632808685303,1.1692501306533813,1.3220019340515137,1.293462872505188,1.2986725568771362,1.158664584159851,1.2043899297714233,1.282309889793396,1.2793241739273071,1.4178377389907837,1.3627862930297852,1.260176658630371,1.2847354412078857,1.119327425956726,1.1402390003204346,0.8308327198028564,1.1622247695922852,1.181366205215454,1.0988731384277344,1.3464717864990234,1.3400284051895142,1.3869893550872803,1.1100850105285645,0.975507378578186,1.3534306287765503,1.3266828060150146,1.3603119850158691,1.2179080247879028,1.3221718072891235,1.248549461364746,1.1126878261566162,1.0091314315795898,1.02463698387146,1.2259790897369385,1.343418836593628,1.2825062274932861,1.1438134908676147,1.143196940422058,1.2083913087844849,1.032684564590454,0.9332973957061768,1.2260642051696777,1.0794689655303955,0.907505214214325,0.8246827721595764,0.9434194564819336,0.9612305760383606,0.8183518052101135,1.1031562089920044,0.8383636474609375,0.8915990591049194,0.7962042093276978,0.6336221694946289,0.9342987537384033,0.9202642440795898,1.1952224969863892,0.9171808362007141,0.4722602367401123,0.45660245418548584,0.7589960694313049,0.9324013590812683,0.9621738195419312,0.8294152617454529,1.0981528759002686,0.8251249194145203,0.9012508988380432,0.5100657343864441,0.8284274935722351,0.6779688000679016,0.7265679240226746,0.6842890977859497,0.6451799869537354,0.7390684485435486,0.8374150991439819,0.7577404975891113,0.8036304116249084,0.9285507798194885
owl,0.7260519862174988,0.7625433206558228,0.4995166063308716,0.7695905566215515,0.7113760113716125,0.5263262987136841,0.5297434329986572,0.0,0.7243525981903076,0.7785667181015015,0.5573620796203613,0.9597615003585815,1.0523899793624878,1.034470796585083,1.0338801145553589,1.1503937244415283,1.0665276050567627,1.0988394021987915,1.167436122894287,1.1409019231796265,1.1416244506835938,1.0621894598007202,1.1440712213516235,0.9615651369094849,1.0068625211715698,1.0232678651809692,1.0642179250717163,1.0749484300613403,1.1411607265472412,1.1629667282104492,1.0046935081481934,1.0780556201934814,1.114085078239441,1.089609146118164,1.0060539245605469,1.0999243259429932,1.0947349071502686,0.992107093334198,0.969692051410675,1.1169590950012207,0.9195843935012817,0.9370760321617126,1.1183137893676758,0.8494790196418762,0.9178738594055176,1.0229911804199219,0.9134502410888672,0.9770182371139526,1.0187095403671265,1.030331015586853,0.9829729795455933,1.0689477920532227,1.0454599857330322,1.1437078714370728,1.004059076309204,1.0956579446792603,1.1921714544296265,1.1551909446716309,1.1881312131881714,1.2002376317977905,1.1558934450149536,1.1513240337371826,1.1607449054718018,1.07390558719635,0.9671784043312073,1.0906474590301514,1.0568146705627441,1.156198263168335,1.193499207496643,1.212329626083374,1.2128982543945312,1.1548622846603394,0.9947002530097961,1.1295875310897827,1.1815178394317627,1.2004379034042358,1.2553359270095825,1.2018113136291504,1.13596773147583,1.1056879758834839,1.0123413801193237,1.02910315990448,1.1680817604064941,1.1653621196746826,1.1702594757080078,1.071998953819275,1.0013611316680908,1.1562750339508057,1.000098705291748,0.9404288530349731,0.9795254468917847,0.9105499982833862,0.8354098796844482,0.7888357639312744,0.7879840731620789,0.7618826031684875,0.9735686779022217,1.0403406620025635,0.9197976589202881,1.1001155376434326,0.8963066339492798,0.8863120675086975,0.9414021968841553,0.9935028553009033,1.0414377450942993,0.844285249710083,0.617294430732727,0.7734463214874268,0.996895432472229,1.072832703590393,1.0234601497650146,1.04170823097229,1.1366055011749268,0.9938904047012329,1.045121669769287,0.8627184629440308,0.9364033937454224,0.934363842010498,0.8935995101928711,0.8686879873275757,0.9883425831794739,0.9590330719947815,1.0134665966033936,1.024932861328125,1.0506253242492676,1.0705307722091675
elephant,0.8764545321464539,1.0731892585754395,0.8399889469146729,1.0291959047317505,1.0594865083694458,1.0515213012695312,0.6825641393661499,0.7243525981903076,0.0,0.5187138319015503,0.6721367239952087,0.8682855367660522,0.9110631346702576,0.7742589712142944,0.990729808807373,0.8956265449523926,0.9567611217498779,0.9854471683502197,1.1240530014038086,1.0692659616470337,1.1879749298095703,1.0535624027252197,1.1133791208267212,0.8944268226623535,0.8631318211555481,0.9769154787063599,1.0425857305526733,0.8754058480262756,0.8860809206962585,1.0300019979476929,0.8278087973594666,0.940715491771698,0.9232156276702881,0.9138240814208984,0.7306850552558899,0.900870144367218,0.8071526288986206,0.8074789047241211,0.7089016437530518,0.8903601169586182,0.7648436427116394,0.6828312873840332,0.9555200338363647,0.7608059644699097,0.6148541569709778,0.8007044792175293,1.0495679378509521,1.0511078834533691,1.0924495458602905,1.1371042728424072,1.1127089262008667,1.1660091876983643,1.1210882663726807,1.2101209163665771,1.157200813293457,1.1675255298614502,1.1743123531341553,1.1629984378814697,1.1844751834869385,1.1853020191192627,1.145517110824585,1.244845986366272,1.0870743989944458,1.1709117889404297,1.075512409210205,1.155561923980713,1.134713053703308,1.1461057662963867,1.3022148609161377,1.3001941442489624,1.3234758377075195,1.1595737934112549,1.1514134407043457,1.2851628065109253,1.317345142364502,1.2504321336746216,1.1630144119262695,1.1043096780776978,1.1832361221313477,1.068973422050476,1.1063504219055176,1.1558972597122192,1.2148289680480957,1.2565925121307373,1.1958205699920654,1.1321468353271484,1.1547126770019531,1.2668726444244385,1.1922168731689453,1.0601222515106201,1.1649439334869385,1.0985662937164307,1.0759536027908325,1.0135409832000732,0.9505015015602112,1.0319390296936035,0.8060532808303833,1.0514522790908813,0.9615181684494019,1.0521267652511597,1.124003291130066,0.8857201933860779,0.9248651266098022,1.0269137620925903,1.2787280082702637,1.245865821838379,1.0303019285202026,0.8613207936286926,1.005601406097412,0.9789907932281494,0.971731424331665,1.0502543449401855,1.1363979578018188,0.9593546390533447,1.0518523454666138,0.6538468599319458,0.8034601807594299,0.6331915259361267,0.7762589454650879,0.6455865502357483,0.719516396522522,0.6799322366714478,0.7448924779891968,0.6189749836921692,0.6969971656799316,0.8470057249069214
cat,0.9244669675827026,0.6859370470046997,0.7114156484603882,0.6785617470741272,1.0716533660888672,0.9180154800415039,0.5827646851539612,0.7785667181015015,0.5187138319015503,0.0,0.43397390842437744,0.7154101133346558,0.6717777252197266,0.6961150765419006,0.7591555714607239,0.840200662612915,0.8001527786254883,0.8874269723892212,1.0056397914886475,0.942356288433075,1.0773875713348389,0.8346114158630371,1.0458698272705078,0.7283840775489807,0.6479525566101074,0.6144841909408569,1.076127052307129,0.9042642116546631,0.8753639459609985,1.0483492612838745,0.9426701664924622,0.9291245341300964,0.8489508628845215,0.8615100383758545,0.7648221850395203,0.9261646270751953,0.9889923334121704,0.8292026519775391,0.7282242774963379,0.8682767152786255,0.8907404541969299,0.7354931831359863,1.0435351133346558,0.8304551839828491,0.8089696168899536,0.9251874089241028,0.931361198425293,1.24222731590271,1.1055549383163452,1.2205820083618164,1.100555181503296,1.2309556007385254,1.2003575563430786,1.1937806606292725,1.1882526874542236,0.9526293873786926,0.9835325479507446,1.1157019138336182,1.143842101097107,1.1155765056610107,1.0604997873306274,1.1018767356872559,0.9717349410057068,1.0836215019226074,1.1075150966644287,1.154362678527832,0.9753414392471313,0.9729505181312561,1.2315068244934082,1.161555290222168,1.208852767944336,1.1437357664108276,1.0439802408218384,1.1962816715240479,1.209617257118225,1.3028957843780518,1.0242971181869507,0.9471254944801331,1.222148060798645,1.0783883333206177,1.1703184843063354,1.1092814207077026,1.2076164484024048,1.3262206315994263,1.2970545291900635,1.2124793529510498,0.9320238828659058,1.1569957733154297,1.1545414924621582,0.9959390163421631,1.108776330947876,1.1627987623214722,0.8914005756378174,0.9166294932365417,1.0071940422058105,0.8430094718933105,0.6692954897880554,1.0743639469146729,1.0644108057022095,1.0400192737579346,1.1168930530548096,0.8369727730751038,0.8106774091720581,0.7177056074142456,1.034321665763855,1.261009931564331,0.833337664604187,0.5685427188873291,0.6358271837234497,0.827437698841095,0.8431109189987183,0.8745721578598022,0.8875381946563721,0.921150267124176,1.0019525289535522,0.6502804756164551,0.6654266119003296,0.6123855113983154,0.6426210403442383,0.5290404558181763,0.5714670419692993,0.5577985048294067,0.5719259977340698,0.5005040168762207,0.5633532404899597,0.6013952493667603
