,rooster,fish,frog,alligator,cat,dog,face,hair,arm,hand,finger,toe,tooth,car,lamp,chair,bench,drawer,window,door,refrigerator,crib,bed,couch,table,bathtub,sink,clock,ball,balloon,orange,apple,hat,slipper,watch,nail,glasses,vacuum,shovel,scissors,spoon,knife,pencil,pen,crayon,plant,flower,bottle,cup,can,belt,basket,bucket,tape,bowl,plate,banana,cracker,pizza,glass,tray,box,book,paper,gum,toy,doll,mitten,glove,shoe,purse,pillow,towel,napkin,blanket,pajamas,bib,jacket,shirt,jeans,shorts
rooster,0.0,0.8351670503616333,0.6019551157951355,1.0196532011032104,1.0995252132415771,1.0326745510101318,1.0050121545791626,1.0349435806274414,1.0626285076141357,0.8729019165039062,0.8145519495010376,0.9891000986099243,0.7338736057281494,1.046885371208191,0.9812349677085876,1.0831819772720337,1.0637423992156982,0.9797787666320801,1.0693135261535645,1.0065948963165283,1.0533998012542725,1.0510103702545166,1.0868725776672363,1.0782824754714966,1.095719575881958,0.9024990797042847,0.9249323606491089,0.8828872442245483,0.9126635193824768,0.8895300626754761,0.9178364276885986,0.8263425827026367,0.9122214317321777,0.9476579427719116,0.8978971838951111,0.7806290984153748,0.9447237253189087,1.0858440399169922,0.9110486507415771,0.9928106069564819,0.94719398021698,0.9877917170524597,0.9636234045028687,0.9994308352470398,0.8311586380004883,0.9724019169807434,0.7510420680046082,1.0413932800292969,0.9906540513038635,1.093514323234558,1.0500320196151733,0.9763941764831543,1.044217586517334,0.9661508798599243,0.9383953213691711,0.9296754002571106,0.9260411858558655,0.5664920210838318,0.9615649580955505,0.9492355585098267,0.7860099077224731,0.9750469326972961,1.050804615020752,0.9968841671943665,0.7278046607971191,0.8904772996902466,0.9790253043174744,0.9831142425537109,0.9421140551567078,1.014410376548767,1.0368993282318115,1.0124233961105347,0.9771251678466797,1.0288140773773193,1.0795291662216187,1.0967793464660645,1.0442724227905273,1.0493615865707397,1.0524519681930542,1.1003137826919556,1.0632920265197754
fish,0.8351670503616333,0.0,0.5016335844993591,0.9338566660881042,0.9900332093238831,0.889320969581604,0.884203314781189,1.0454713106155396,1.0256216526031494,0.8659165501594543,0.8856011033058167,0.8219531774520874,0.4633692502975464,1.082495093345642,0.9062435626983643,1.2115325927734375,1.1382695436477661,0.9998719692230225,1.0343225002288818,1.0606930255889893,1.0670156478881836,1.1144015789031982,1.1948310136795044,1.1741325855255127,1.1500416994094849,1.1044416427612305,1.1105610132217407,0.8947222232818604,0.949733316898346,0.963720440864563,1.0552703142166138,0.9640176296234131,0.9215456247329712,0.7705880403518677,0.7546592950820923,0.7419750690460205,0.9262007474899292,0.9665837287902832,0.986657440662384,1.072944164276123,0.8421010971069336,0.5767261385917664,0.9192700982093811,0.9554275274276733,0.5249461531639099,1.0036652088165283,0.9414182901382446,1.064293384552002,1.0804126262664795,1.0291509628295898,1.0712956190109253,1.0612152814865112,1.1305495500564575,0.7049466967582703,1.0577728748321533,1.0027871131896973,0.6161497831344604,0.7332907915115356,0.8961184620857239,1.056147813796997,1.0334725379943848,1.0294066667556763,1.139350414276123,1.0116384029388428,0.7270464897155762,0.9599298238754272,1.0453797578811646,1.01348078250885,1.0154305696487427,0.9119998216629028,1.0788236856460571,1.0756988525390625,0.9764984250068665,1.0364563465118408,1.1680951118469238,1.0649349689483643,1.0793243646621704,1.1638110876083374,1.084071159362793,1.0354326963424683,1.100396990776062
frog,0.6019551157951355,0.5016335844993591,0.0,0.8701887130737305,0.9836006760597229,0.8690289258956909,0.9854481220245361,1.0694799423217773,1.0458650588989258,0.8915237188339233,0.9419861435890198,0.8307694792747498,0.31583738327026367,1.0334804058074951,0.9404160976409912,1.104045033454895,1.0768299102783203,1.0176159143447876,1.1187444925308228,1.074370265007019,1.1560378074645996,1.1012165546417236,1.0743061304092407,1.0917260646820068,0.9617102146148682,1.0043971538543701,1.0185738801956177,0.8923717737197876,0.8175487518310547,0.8072823286056519,0.8442684412002563,0.8485207557678223,0.9155630469322205,0.879920244216919,0.8528252243995667,0.7568048238754272,0.9376055598258972,1.0914971828460693,1.008122444152832,1.000696063041687,0.9244029521942139,0.8479321599006653,0.9810154438018799,0.9590010643005371,0.580631673336029,1.0078023672103882,0.8015631437301636,1.111485481262207,1.0889102220535278,1.1035773754119873,0.9695737361907959,1.015583872795105,1.0419961214065552,0.9367295503616333,1.0283983945846558,0.9609629511833191,0.8237000703811646,0.7599083185195923,0.8643659353256226,1.0194820165634155,0.904415488243103,0.987522542476654,1.0250849723815918,0.9016978144645691,0.6300458908081055,0.7820131778717041,0.9931886792182922,0.9133866429328918,0.9531911015510559,0.9104795455932617,1.0200449228286743,0.9810900688171387,0.8549838066101074,0.8833632469177246,0.9891993999481201,1.023118019104004,0.9796372652053833,1.0639766454696655,1.0468807220458984,0.9776615500450134,0.9839667081832886
alligator,1.0196532011032104,0.9338566660881042,0.8701887130737305,0.0,0.8457217216491699,0.9177743196487427,1.0280207395553589,1.0735729932785034,0.9599398970603943,0.9855870008468628,1.0643101930618286,1.0475951433181763,0.9423155784606934,0.9878723621368408,1.1748650074005127,0.9344877004623413,0.7195717692375183,0.9636476039886475,1.0021146535873413,1.0219863653182983,0.9989416599273682,0.8579683303833008,0.8508269786834717,0.9211424589157104,0.8469738364219666,0.9185506105422974,0.917534351348877,1.0707545280456543,1.0877349376678467,1.082520604133606,1.0286664962768555,1.0648319721221924,1.0515384674072266,1.0909396409988403,1.0792052745819092,1.0783511400222778,1.0881696939468384,0.9827479124069214,0.8984256386756897,1.0420387983322144,0.8497509956359863,0.950721025466919,1.0577538013458252,1.0796358585357666,1.0112699270248413,1.02181875705719,0.9510928392410278,0.98435378074646,0.9889209270477295,1.0109270811080933,0.9606097340583801,1.0390104055404663,0.9630935788154602,1.0767682790756226,0.9347022771835327,0.8660603165626526,0.8158320784568787,0.869066596031189,0.8643409609794617,0.962754487991333,0.9138772487640381,0.8691248893737793,0.8266570568084717,0.7662314772605896,1.0214895009994507,1.0589345693588257,0.9151593446731567,1.078974723815918,1.0372076034545898,0.8315873742103577,0.8694498538970947,0.8798776865005493,0.22302424907684326,0.5137646198272705,0.7058032751083374,0.9209905862808228,0.8970848321914673,0.9597850441932678,0.9942666292190552,0.9099085927009583,0.9641808271408081
cat,1.0995252132415771,0.9900332093238831,0.9836006760597229,0.8457217216491699,0.0,0.2715340852737427,0.6902125477790833,0.6526428461074829,0.617584764957428,0.6119625568389893,0.8937565684318542,0.7128991484642029,0.9865354299545288,0.9575833082199097,1.153627634048462,0.5834824442863464,0.6367160081863403,0.9346920251846313,0.8307653665542603,1.0145437717437744,0.8019388318061829,0.8428463935852051,0.393978476524353,0.4403146505355835,0.4784308671951294,0.8017511367797852,0.8548925518989563,1.0641224384307861,1.0591658353805542,1.0528312921524048,0.7894456386566162,1.0485844612121582,0.9152193069458008,1.1116046905517578,1.023434042930603,1.1024589538574219,0.9186486005783081,0.9471978545188904,1.042866587638855,0.9311099052429199,1.0647947788238525,0.9426330924034119,1.0698256492614746,1.0318933725357056,1.1040939092636108,0.9300975799560547,1.1677659749984741,1.0495710372924805,1.1095880270004272,1.0156329870224,0.9397887587547302,1.1750366687774658,0.8011928200721741,0.9443404674530029,1.0011712312698364,0.9877431392669678,0.9479835629463196,0.9423019289970398,0.8648116588592529,1.0249227285385132,0.8619182109832764,0.6383736729621887,0.8678091764450073,0.5480499267578125,1.0308315753936768,1.0809444189071655,0.8037137985229492,0.7640060186386108,0.9162730574607849,0.8042399287223816,0.6795580387115479,0.6973792314529419,0.9655492305755615,0.7680095434188843,0.47976648807525635,0.30350542068481445,0.6110837459564209,0.6775950193405151,0.504551887512207,0.3884199857711792,0.48386716842651367
dog,1.0326745510101318,0.889320969581604,0.8690289258956909,0.9177743196487427,0.2715340852737427,0.0,0.7902602553367615,0.7295091152191162,0.7826366424560547,0.5833947658538818,0.881798267364502,0.5653517246246338,0.8895810842514038,1.0453989505767822,1.1123251914978027,0.7593388557434082,0.7838972210884094,0.9702151417732239,0.9078011512756348,1.0858213901519775,0.9469165205955505,0.9236966371536255,0.5785419940948486,0.6164940595626831,0.5873974561691284,0.9456867575645447,1.0173577070236206,1.0283690690994263,1.0076055526733398,1.0168225765228271,0.8422023057937622,1.0107698440551758,0.8920899033546448,1.0285239219665527,0.9681035876274109,1.0575731992721558,0.9672001004219055,0.9708227515220642,1.1137808561325073,0.8675872683525085,1.1265960931777954,0.976240873336792,1.1017411947250366,0.9927683472633362,1.0281294584274292,0.9806510210037231,1.062035322189331,1.1159017086029053,1.140928864479065,1.032216191291809,0.9801892638206482,1.1131118535995483,0.9546288251876831,0.880868673324585,1.0965584516525269,1.0646781921386719,0.9288663864135742,0.9436357617378235,0.8522588014602661,1.0776983499526978,0.9417346119880676,0.7322316765785217,0.8660199642181396,0.6466742753982544,0.9516200423240662,1.0233124494552612,0.8088740110397339,0.7536126375198364,0.9155493974685669,0.7908340692520142,0.7948305606842041,0.7618601322174072,0.9798303842544556,0.8427216410636902,0.6235395073890686,0.38179683685302734,0.7069665193557739,0.8508292436599731,0.7124357223510742,0.3239307403564453,0.6496108770370483
face,1.0050121545791626,0.884203314781189,0.9854481220245361,1.0280207395553589,0.6902125477790833,0.7902602553367615,0.0,0.3787190318107605,0.6588633060455322,0.7646955251693726,0.8749527931213379,0.8250246047973633,0.9461747407913208,0.9137523770332336,1.013893961906433,0.7019978761672974,0.9399613738059998,1.044500470161438,0.7627425193786621,0.956344485282898,0.7874178290367126,1.037420630455017,0.7384214997291565,0.6833665370941162,0.8012529611587524,0.9741919040679932,0.996293306350708,1.0326999425888062,1.027154803276062,1.0119028091430664,0.8971338868141174,1.0122730731964111,0.6819667220115662,1.0578421354293823,0.933208703994751,1.0020321607589722,0.47167205810546875,0.8589655160903931,0.9734200835227966,1.014838457107544,0.9958442449569702,0.8469660878181458,0.8310891389846802,1.0345441102981567,1.053464651107788,0.7884782552719116,1.0570189952850342,1.0071245431900024,1.043747901916504,1.076668620109558,0.9971923828125,1.129385232925415,0.9800782799720764,0.9787968993186951,1.0340747833251953,0.9793135523796082,0.9091370105743408,0.9741394519805908,0.9336046576499939,0.9615634083747864,1.0406396389007568,0.9738786220550537,1.036820888519287,0.9099636077880859,1.0047260522842407,1.0463248491287231,0.822724461555481,0.7655558586120605,0.7852679491043091,0.962465763092041,0.8065581321716309,0.7537167072296143,1.0595921277999878,0.9392814636230469,0.7710159420967102,0.6518781185150146,0.8082894086837769,0.841834306716919,0.5188710689544678,0.8647729158401489,0.6500867605209351
hair,1.0349435806274414,1.0454713106155396,1.0694799423217773,1.0735729932785034,0.6526428461074829,0.7295091152191162,0.3787190318107605,0.0,0.6420690417289734,0.8297909498214722,1.0171147584915161,0.9568883776664734,1.051396369934082,1.0412664413452148,0.9935075044631958,0.6889564990997314,0.8290771245956421,1.0575705766677856,0.7049831748008728,0.9329062104225159,0.7006887793540955,0.9625930786132812,0.6444019079208374,0.5922621488571167,0.7331452369689941,0.9593043327331543,0.9792096614837646,1.0384023189544678,1.0647811889648438,1.0363215208053589,0.8546163439750671,1.0627151727676392,0.7353098392486572,1.1373443603515625,0.9886611700057983,1.1055736541748047,0.5735635757446289,0.8430424332618713,1.0679662227630615,1.003633737564087,1.14142906665802,1.0640339851379395,1.007009506225586,1.1003543138504028,1.1654168367385864,0.7161816358566284,1.0304051637649536,1.0554274320602417,1.0995986461639404,1.0900425910949707,1.086470603942871,1.1313358545303345,0.9413319230079651,0.9661476612091064,1.0386096239089966,1.016482949256897,0.9689126014709473,1.0260100364685059,0.9072662591934204,1.0140413045883179,1.0140156745910645,0.9242534041404724,1.0437917709350586,0.8151858448982239,1.1249637603759766,1.0769069194793701,0.9095650911331177,0.7708189487457275,0.8662700057029724,0.914928138256073,0.7987002730369568,0.7877670526504517,1.1211563348770142,0.9506970047950745,0.711672306060791,0.5870413780212402,0.7450778484344482,0.8170007467269897,0.5322233438491821,0.7782633304595947,0.6734457015991211
arm,1.0626285076141357,1.0256216526031494,1.0458650588989258,0.9599398970603943,0.617584764957428,0.7826366424560547,0.6588633060455322,0.6420690417289734,0.0,0.6917271614074707,0.917328417301178,0.9715285301208496,1.0858718156814575,0.9762055277824402,1.0697128772735596,0.7088139057159424,0.8091971278190613,1.0314850807189941,0.776814341545105,1.0152324438095093,0.8112025260925293,0.9428096413612366,0.6966885328292847,0.6802509427070618,0.6819066405296326,0.8805463910102844,0.8981815576553345,1.0055932998657227,0.9482273459434509,0.9429584741592407,0.7699199914932251,0.9166069626808167,0.8829060196876526,1.1325724124908447,1.0535783767700195,1.0626469850540161,0.9054265022277832,0.9371254444122314,0.9709697365760803,1.0438891649246216,1.08640456199646,0.9999136924743652,0.9887465238571167,1.0492850542068481,1.1408439874649048,0.9387489557266235,1.1127948760986328,0.981398344039917,1.015135645866394,1.1150916814804077,0.9749462008476257,1.2068843841552734,0.8767444491386414,0.995100200176239,0.9932884573936462,1.0141301155090332,0.9079505205154419,0.8844718337059021,0.9607011675834656,0.9929475784301758,0.9381259679794312,0.9350265264511108,1.0801295042037964,0.8625675439834595,0.9541321992874146,0.9808032512664795,0.9202016592025757,0.8158972859382629,0.7752677202224731,0.9516506195068359,0.8854366540908813,0.9164029955863953,0.9743937849998474,0.9120939373970032,0.8089131116867065,0.6447657942771912,0.7850250005722046,0.6869659423828125,0.5178296566009521,0.8309354782104492,0.5715765357017517
hand,0.8729019165039062,0.8659165501594543,0.8915237188339233,0.9855870008468628,0.6119625568389893,0.5833947658538818,0.7646955251693726,0.8297909498214722,0.6917271614074707,0.0,0.3362119197845459,0.48371171951293945,0.8004862070083618,1.0431058406829834,1.1911067962646484,0.8568698167800903,1.000262975692749,0.959276020526886,1.0882519483566284,1.104565978050232,1.0254725217819214,1.040918231010437,0.9065530300140381,0.9075348377227783,0.7161109447479248,0.7736425399780273,0.8273783922195435,1.0592228174209595,0.8348438143730164,0.8518919944763184,0.7382295727729797,0.6703348159790039,0.8852415084838867,1.0198674201965332,0.8310728073120117,0.9292849898338318,0.8386809825897217,1.1141501665115356,0.9781092405319214,0.879836916923523,0.9333259463310242,0.8289916515350342,0.7419592142105103,0.9227883815765381,0.9888560771942139,1.0178823471069336,1.0574615001678467,1.041398286819458,1.0204917192459106,1.165514588356018,0.8247213363647461,1.1611541509628296,0.9007614850997925,0.9210464358329773,0.8456047773361206,0.8799121379852295,0.7757625579833984,0.6476439237594604,0.8850269317626953,0.969088077545166,0.6732385158538818,0.882407009601593,0.9901962280273438,0.7775453329086304,0.5412793159484863,0.8454944491386414,0.7682288289070129,0.6686210036277771,0.6200653314590454,0.899121880531311,0.8774464130401611,0.869077205657959,1.0246115922927856,0.9663642644882202,0.8923845291137695,0.653801441192627,0.6396734118461609,0.8796493411064148,0.8715435266494751,0.5615512728691101,0.728097677230835
