,alligator,ankle,apple,arm,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,can,car,carrot,cat,chair,clock,closet,comb,cookie,corn,couch,cracker,crayon,crib,cup,dog,doll,door,drawer,dress,ear,egg,elephant,face,finger,fish,flower,foot,fork,frog,glass,glasses,glove,grass,gum,hair,hamburger,hand,hat,horse,hose,jacket,jeans,knife,ladder,lamp,meat,melon,milk,mitten,mop,motorcycle,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pen,pencil,pickle,pig,pillow,pizza,plant,plate,potato,pumpkin,purse,radio,raisin,refrigerator,rock,rooster,scarf,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,soap,sock,spoon,sprinkler,strawberry,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,tricycle,truck,vacuum,watch,window
alligator,0.0,1.2031285,1.3249869,0.5205029,1.4430543,1.180348,1.1673932,1.2301837,0.7751144,0.70920575,1.4733025,0.81894827,0.8218432,0.7812428,0.6301257,1.1259813,0.91780514,1.476924,1.4280839,0.84257114,1.4196956,1.3698533,1.4089751,1.5058744,1.2899956,1.1990697,0.88266486,1.2420828,1.446351,1.1666265,0.8361058,1.0761415,0.979912,0.68253803,0.70264244,1.4585109,0.6815531,1.4485486,0.84846604,0.90198064,0.85086906,1.0334668,0.739875,0.9525289,1.1720637,0.735997,0.9158583,1.0626761,1.0700185,1.2992231,0.9205518,1.5303627,0.719152,0.817182,1.2943783,0.65368474,1.0665753,0.9492443,0.8303043,1.2368927,0.61233246,1.426449,0.6292727,0.8139767,0.8549847,0.563074,1.5058416,0.7678796,1.4532157,1.1864853,0.92394114,0.76953,0.37729615,0.9571044,0.64890504,1.2071624,1.2774886,1.4812665,1.3111204,1.0848768,0.91558003,0.8165135,0.7345432,0.58456445,0.60898757,0.67697424,1.4179118,0.982019,0.8665494,0.77162623,1.1723192,1.2549989,1.3215641,1.4431956,1.3490956,1.269584,0.8677186,1.3636702,1.0186951,0.7585945,0.85000396,0.9895563,0.9728342,1.033633,0.76213986,0.7553188,0.73003274,1.0912515,1.0735164,0.96763206,0.71090424,1.2068309,1.2820203,0.62438464,1.4640067,0.74404997,1.2472167,0.70920694,0.68977815,0.67745817,1.4292469,1.141432,0.8795935,0.6554027,1.4936053,1.0709815,0.7509593,0.9698672,1.0291759,1.00239,1.3855507,1.2873242,1.0296142
ankle,1.2031285,0.0,0.68105626,0.8975286,0.81446534,0.9741577,1.0383084,1.3512034,1.2769153,1.2175164,0.6983508,1.3395907,1.2511222,1.2369285,1.2040253,1.2452836,1.2849789,0.8974798,1.0196401,1.3388348,1.0708213,0.7705162,1.0087501,0.74879235,1.0992922,0.6182907,1.0517925,1.0462598,0.9531812,0.9710833,1.1863257,0.82006556,1.0269336,1.1068639,1.1298587,0.75329506,1.3453164,0.94363064,1.25673,1.1572444,1.092145,1.0716677,0.8653429,0.77620435,0.75367785,0.94383466,1.0866687,0.36004817,0.8011112,1.1880041,0.5801136,0.8861053,1.135257,1.0683503,0.6297391,0.88675606,1.1413649,1.0259105,1.0005876,1.1690282,0.8225623,0.7093583,1.0864403,1.1967297,1.0056175,1.0423816,0.8195852,1.3087645,0.99122614,1.0912781,1.0208582,1.2277492,0.97836095,1.0550001,1.304635,0.9940907,0.5671109,0.8831219,0.4260314,0.53168046,0.8366567,1.1809052,1.213066,0.8947793,1.007068,1.3006581,0.8627093,0.82321215,0.74338293,1.223747,0.6603645,1.2174795,1.0729358,1.0872037,0.7729671,0.71169317,1.1538639,1.0195583,0.73425794,1.1740856,1.2155461,0.6976761,0.645212,1.1272267,0.96745116,1.0141618,0.8253089,1.200023,1.0691125,1.2877136,1.2733481,0.44222468,0.99543136,0.97783196,0.89654654,1.023094,1.1254139,1.2605613,1.0775249,1.3598497,0.90403485,0.3421178,0.58090246,1.0801439,0.8044611,1.2076972,1.4087777,1.2248912,1.1239535,1.1563541,0.6641151,0.5567229,1.198244
apple,1.3249869,0.68105626,0.0,1.2591732,0.21584737,0.6654649,0.6822589,1.2191617,1.4002342,1.4939688,0.67202854,1.4452907,1.2533532,1.2192608,1.4818381,1.293612,1.2484405,0.6394654,0.6175455,1.387358,0.61722136,0.9083884,0.87051785,0.9408269,0.9974577,0.575868,1.2715112,1.2795883,0.4764142,1.0565479,1.3669832,0.760964,0.90052587,1.4687445,1.1338984,0.36028636,1.4473352,0.62622815,1.1429216,1.0391333,1.3848131,1.2118574,1.2563982,0.9165855,0.22472167,1.1249638,1.079671,0.46867108,0.5857465,0.6866554,1.0706048,0.6245308,0.9085123,1.1284633,0.58965933,1.0659897,1.2091534,0.7579485,1.1601046,0.8968145,1.0679675,0.46884233,1.0599557,1.3936012,1.3169441,1.3844316,0.5356981,1.4898187,0.6718105,0.99929506,0.8262589,1.3356478,1.2429582,1.3680245,1.3769157,0.74873185,0.30175,0.7890591,0.70171046,0.80214894,0.6083633,1.4797118,1.2672318,1.2862072,1.3279829,1.3394234,0.67962193,0.7174063,0.7246073,1.1372302,0.83213526,0.873487,0.7161298,0.76728165,0.35271907,0.28434694,1.359023,1.0184106,0.8123857,1.5230331,1.2152789,0.6512995,0.8732607,1.0153048,1.2808819,1.2272087,1.3075359,1.0861205,1.2076215,1.3828046,1.5026145,0.5593021,0.509151,1.230787,0.5937098,0.8985719,0.64116436,1.3998961,1.2617049,1.4032592,0.39933807,0.4111495,0.72096765,1.2534897,0.8169457,0.9215608,1.264957,1.1663333,1.2092754,1.313552,0.84255934,0.5958177,1.3354123
arm,0.5205029,0.8975286,1.2591732,0.0,1.3635463,1.2337202,1.2606978,1.2868552,0.79648036,0.6486481,1.341282,0.8410717,0.8310281,1.0593745,0.61172163,1.1053156,0.92140627,1.4711635,1.4637166,0.86688817,1.3945509,1.2071093,1.4510958,1.386904,1.3318067,1.0817701,0.89025515,1.1812762,1.4285218,1.1791869,0.9012012,1.0836903,1.1241664,0.58282834,0.85264957,1.3533616,0.6943612,1.3995037,1.0600784,1.0193316,0.8483934,1.0504214,0.48168504,0.9419307,1.1331859,0.83365166,0.8492316,0.8883104,1.1785516,1.4063175,0.92258286,1.4187292,0.9934266,1.0175059,1.2065371,0.8014319,0.9855521,1.0714606,0.75943863,1.2532432,0.473902,1.3558532,1.0446758,0.86627895,0.67481935,0.50208074,1.4255688,0.818154,1.4626305,1.0784016,1.0025047,0.9251091,0.5248791,0.9743308,0.87086123,1.2141801,1.1151657,1.4340975,0.9873668,0.9412473,0.9456844,0.7601338,0.87276006,0.4522997,0.4862318,0.6575997,1.3126273,0.8549192,0.88981247,0.863737,1.0511982,1.3501236,1.4414785,1.4236727,1.2462981,1.2351795,0.9407401,1.2145404,1.0258445,0.77270293,0.90575165,1.1699741,0.98608977,1.1360686,0.51855063,0.89541143,0.5614432,1.1542532,1.0830667,1.0432507,0.72634804,1.1057361,1.2919319,0.6811799,1.4900872,0.9568623,1.247854,0.8728601,0.50368947,0.69420403,1.4095104,0.9308915,0.8950448,0.6726534,1.3846762,1.1726508,0.9495867,0.8514873,1.0617223,0.99163604,1.2245529,1.1554308,1.0049362
ball,1.4430543,0.81446534,0.21584737,1.3635463,0.0,0.55238974,0.8235792,1.0419326,1.3765955,1.4685047,0.59118676,1.406908,1.2109673,1.1467385,1.4544151,1.2389132,1.1806169,0.43059564,0.53286433,1.3684388,0.52845466,0.81320405,0.6664984,0.76699054,0.86842716,0.6231275,1.2265987,1.1690799,0.30277717,1.0711684,1.250016,0.79596406,0.9679334,1.5012157,1.1977379,0.28854996,1.423676,0.47197515,1.0722747,1.0360155,1.3480693,1.1931968,1.3595562,1.0354786,0.3847798,1.2096301,1.1466551,0.69611704,0.60387367,0.5628388,1.1184478,0.45772618,0.9750521,1.1699876,0.61854476,1.0706279,1.1882,0.7674372,1.218126,0.8743895,1.2181636,0.37194115,1.1023151,1.3532789,1.3188848,1.4475397,0.38255227,1.4809295,0.4676702,0.9831514,0.86126506,1.2987359,1.3535488,1.3859962,1.3407952,0.7046553,0.33788198,0.6336503,0.8016076,0.9573212,0.7384,1.5161946,1.2292573,1.4061135,1.4382699,1.3192616,0.572245,0.7354717,0.8979509,1.1820469,0.8259423,0.78093153,0.60904926,0.7186725,0.24489295,0.42797017,1.3391771,0.9481137,0.91038036,1.5256848,1.211653,0.82361394,1.020311,0.96589756,1.3725765,1.2079722,1.4129763,1.0173028,1.1593988,1.2831258,1.4942926,0.61919177,0.4118389,1.3076862,0.46948826,1.012574,0.55772555,1.3974953,1.3582262,1.3800597,0.38795084,0.56194365,0.9244837,1.2773557,0.67278194,0.8415479,1.3594844,1.2030598,1.151054,1.2983961,0.77307177,0.5467094,1.2526996
balloon,1.180348,0.9741577,0.6654649,1.2337202,0.55238974,0.0,0.93928283,0.96359557,0.8308062,1.2768629,0.8797301,1.1282824,0.95277536,1.0451807,1.3072089,1.0721725,1.0021969,0.66740966,0.52587545,1.0909746,0.78885865,1.0404959,0.63337463,0.88237214,0.89848065,0.86435366,1.1397192,1.0605254,0.6199538,0.9857046,1.0393347,0.8789872,1.1576238,1.3257451,1.1836497,0.7738451,1.2541609,0.6163777,1.0918262,0.99311197,1.1407279,1.0568442,1.2774607,1.0997968,0.54403,1.1807065,1.1328133,0.9655385,0.9472867,0.8790589,1.2415587,0.8030987,0.86839753,0.84155816,0.9103841,1.0615007,1.1280956,0.76080024,1.2383174,0.9279312,1.1398088,0.72866356,1.0296624,0.973361,1.3505611,1.2322617,0.83611476,1.1998906,0.5976177,0.9947521,0.8053073,1.0294269,1.1273605,1.1948538,1.156669,0.81766737,0.7712203,0.7721815,1.0429093,1.1334884,0.80569947,1.1862428,1.2504847,1.3219206,1.2081565,1.0019166,0.9014977,1.0057892,1.1320918,1.1144531,1.1382375,0.83343184,0.9322839,0.79673505,0.69614017,0.7225957,1.2648416,0.9468946,1.051719,1.162844,1.1187975,0.9646898,1.1686163,0.88571835,1.2851954,1.084994,1.3112607,0.83984435,1.0026537,0.8470653,1.1653981,0.94169515,0.7467113,1.0929383,0.7527353,0.85877955,0.7286844,1.219404,1.2519236,1.0893358,0.5448709,0.8789476,1.016227,1.0248426,0.9049565,0.66837347,1.0646081,1.1615598,1.2039261,1.1227306,1.0458072,0.8677531,0.98925424
banana,1.1673932,1.0383084,0.6822589,1.2606978,0.8235792,0.93928283,0.0,0.96604997,1.17523,1.413348,0.8743304,1.1628523,0.8801603,1.0046147,1.4043889,1.0055697,1.0380104,0.81658876,0.6488564,1.1708906,0.62915605,0.93094903,0.86395615,0.95864284,1.0248481,0.99832016,1.2982568,1.0313237,0.84319997,1.0132816,1.2724105,0.9571034,0.47852874,1.3792403,0.95746887,0.7555814,1.3041092,0.83757865,1.1609864,0.98344254,1.262353,1.1188905,1.2865591,1.0654926,0.7410979,1.2637043,1.2083645,1.0250769,0.92038655,0.77267003,1.0709876,0.754789,0.6178714,1.0508664,0.9584087,1.0174725,1.158161,0.8334735,1.3011127,0.74683654,1.1739712,0.8879999,0.90268314,1.0722572,1.2237579,1.2899398,0.7431231,1.2588439,0.7539983,0.7326654,0.90189266,1.1834915,1.1596022,1.1117903,1.2412695,0.9666245,1.0035105,0.6279183,0.9650306,1.0797267,0.9007958,1.2484665,1.1099,1.3259624,1.2949831,1.20955,0.8731377,0.92200696,0.9563869,1.0916064,0.98436767,0.62225676,0.7444191,0.56747895,0.87960714,0.870408,1.2003946,0.85357124,1.0566287,1.3489925,1.1829523,0.8503132,0.9572195,0.37999547,1.3499444,0.96875733,1.2695124,0.7077181,1.1048996,1.0558453,1.2042041,0.89567304,0.78417397,1.0458989,0.5904135,1.0481164,0.7436099,1.2397543,1.2619305,1.1779613,0.63845325,1.0158167,0.9824684,0.9999055,0.76769453,0.69967103,0.7816762,1.049448,1.0971802,1.1192312,0.9643532,0.9730444,1.1210716
basket,1.2301837,1.3512034,1.2191617,1.2868552,1.0419326,0.96359557,0.96604997,0.0,0.8453734,1.0277224,0.9988206,0.80875343,0.963273,0.82805264,1.1503654,0.6651633,0.8513898,0.69836926,0.6684475,0.7492884,0.7927029,1.0241601,0.4867872,0.7321991,0.64430356,1.3935591,1.1185102,0.5456379,0.9683037,0.8906188,0.69496727,1.319546,1.0049572,1.1002257,1.2140107,1.084427,0.6534594,0.69362223,0.78130853,0.9618944,1.0239986,0.914728,1.3485813,1.1958783,1.2258167,1.3372769,1.1526786,1.4148189,1.3368783,0.6869217,1.1152129,0.69876266,1.091178,0.9916208,1.1674663,1.0399331,0.94425833,1.1081015,1.2219706,0.7637456,1.2956821,0.9860686,1.0513496,0.8545131,1.1123397,1.1720864,0.87928784,0.7998166,0.6657348,0.8031318,1.2846551,0.90697336,1.2814491,0.93130034,0.90125424,1.0464567,1.2934949,0.691529,1.175745,1.4126219,1.4063029,0.8454524,0.9956265,1.3570745,1.175909,1.0485815,1.0025761,1.0665587,1.4614398,0.78401935,0.9867798,0.71287274,0.6885494,0.76308584,1.1084554,1.2197425,0.8317825,0.69995654,1.384601,0.89242685,1.225785,1.1184927,1.3775752,0.9148313,1.2593553,0.9461695,1.2465684,0.4749846,1.0883247,0.69484293,0.8391649,1.2523594,1.0464916,1.162161,0.7849332,1.2208313,0.6927431,0.8716358,1.2119967,1.0267924,0.9097249,1.3685703,1.4557102,1.0916501,0.7945898,0.8022599,0.8573353,1.0562828,0.89047194,0.7759692,0.9527302,1.1231738,0.6715914
bathtub,0.7751144,1.2769153,1.4002342,0.79648036,1.3765955,0.8308062,1.17523,0.8453734,0.0,0.6007285,1.3047435,0.4460231,0.7424642,0.962229,0.7160235,0.8180566,0.87443924,1.2906101,1.0844841,0.55956054,1.2543137,1.2324499,1.017765,1.1218245,1.0197438,1.3202754,0.9040673,0.99498004,1.3180168,1.0118233,0.7950394,1.2035387,1.2195027,0.65764976,1.0677968,1.3870958,0.6347628,1.1676037,1.0420392,1.1584663,0.68435425,0.92603457,0.86005473,1.1213417,1.2275144,0.99919915,1.0159477,1.3315326,1.4096224,1.3222761,1.3126721,1.3747287,1.0201563,0.7673085,1.3310206,1.094713,0.76721907,1.109271,0.94214916,1.0999359,0.9837311,1.3927125,1.1212797,0.55632937,0.91233957,0.70582646,1.3794824,0.5206088,1.2319382,1.1295439,1.0196847,0.64485955,0.8941817,0.815138,0.72733927,1.2825437,1.3256941,1.2962861,1.3882459,1.1723129,1.1809185,0.5359599,0.8496288,0.9035942,0.7664883,0.66667116,1.284122,1.204188,1.1652799,0.8249006,1.4402566,1.1433563,1.3843582,1.1751218,1.3085036,1.3898373,0.7969441,1.0821892,1.1866251,0.4967003,0.87472856,1.2798343,1.2101338,0.9899595,0.8373986,1.0314445,0.88085383,0.8458468,0.86887574,0.40357804,0.47758543,1.4651963,1.2195678,0.92034113,1.3282351,0.91958916,1.1690885,0.72917366,0.7977506,0.6047571,1.214664,1.3916258,1.2504016,0.73904836,1.384001,0.9664803,0.716203,0.8628448,1.0287684,0.8254131,1.2876198,1.4069383,0.733465
bed,0.70920575,1.2175164,1.4939688,0.6486481,1.4685047,1.2768629,1.413348,1.0277224,0.6007285,0.0,1.316356,0.5282121,0.79057837,1.0078092,0.15304744,0.9289738,0.89859325,1.4534681,1.4499176,0.68300635,1.4223549,1.2023494,1.3819454,1.2052026,1.0842507,1.2661251,0.6930129,0.77615047,1.3835255,0.8604926,0.7309183,1.1573056,1.3166947,0.2852372,0.9737699,1.5240915,0.47806102,1.4147848,0.93942726,1.0701697,0.5573807,0.8240774,0.53264785,1.1135468,1.4239104,0.6883887,0.86248815,1.365288,1.3511372,1.3482301,1.0488614,1.4728751,1.2203305,1.0039536,1.3759038,1.0088055,0.80102277,1.266731,0.773806,1.2138261,0.9471756,1.420568,1.1153524,0.7192905,0.5643616,0.49190855,1.4666419,0.49304974,1.4634602,1.2063308,1.0722976,0.7555557,0.77834,0.80446684,0.6281622,1.2571793,1.3874484,1.4008553,1.3728869,1.1202446,1.193244,0.52479446,0.6855567,0.48192966,0.6168899,0.7011154,1.3745317,1.3435235,1.043822,0.8629341,1.051614,1.2879816,1.3243569,1.3971496,1.3523716,1.3704458,0.6548047,1.2015033,1.1194719,0.4961899,0.72133803,1.3391279,1.0885606,1.2589251,0.5264532,0.98808366,0.607992,1.1822188,0.81060445,0.7944593,0.57607675,1.381539,1.4065113,0.88151723,1.5368127,0.97298896,1.3790188,0.5781828,0.5802074,0.4854697,1.4549305,1.4210584,1.2496436,0.9394051,1.3138583,1.2376907,0.7867749,0.73320496,0.8387538,0.94825035,1.2451357,1.3480853,0.6972379
