,alligator,ankle,apple,applesauce,arm,ball,balloon,banana,basket,bed,belt,bench,bib,bird,blanket,book,bottle,bowl,box,bread,broom,bucket,butterfly,can,car,carrot,cat,chair,clock,closet,comb,cookie,couch,cracker,crayon,crib,cup,dog,doll,door,drawer,dress,egg,face,finger,fish,flower,foot,fork,frog,glass,glasses,glove,grass,gum,hair,hamburger,hand,hat,horse,hose,jacket,jar,jeans,knife,ladder,lamp,melon,mitten,mop,motorcycle,mouth,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pastry,pen,pencil,penguin,pickle,pig,pillow,pizza,plant,plate,pony,pumpkin,purse,radio,refrigerator,rooster,scissors,shirt,shoe,shovel,shower,sink,slide,slipper,sock,spoon,stick,strawberry,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,vacuum,watch,window
alligator,0.0,1.3694439,1.3346885,1.0945121,0.85645974,1.2694619,1.1508212,1.135121,1.1809292,0.64134,1.4572914,0.8522271,0.8377323,0.933176,0.53905076,0.87255204,1.2767564,1.2839465,1.1138489,1.3079162,0.9087689,1.1827589,1.0269533,1.3326782,1.2753994,1.2218986,0.72244406,1.1809925,1.3562081,0.869164,0.8525693,1.3023124,0.7269646,1.2154356,1.389991,0.74631447,1.3141072,0.60921544,0.99054796,1.1695989,1.2654674,0.77756715,1.333569,0.94007933,1.2002236,0.53707004,1.2493372,0.9789563,1.2307163,0.7009352,0.78352034,1.3596264,0.71806186,0.8742781,1.129468,0.7867309,0.95367,0.85882837,1.1812805,0.82646036,0.7433264,0.7599419,1.2337916,0.73063004,1.223444,1.1050239,1.3969125,0.88160855,0.63505656,0.97068775,0.8207531,1.0400113,1.2262628,1.3637757,0.95377976,1.2954245,1.0918149,1.2715626,1.324259,1.0354545,0.64727724,0.8992125,1.179497,1.1076552,1.4096063,1.4216139,1.0334256,0.78742564,0.95610344,1.0074954,1.2569716,1.1528678,1.3227193,0.80216086,1.0754293,0.9388229,1.3175638,0.99279034,0.9578103,0.99712604,0.7433087,0.86588013,1.0306141,0.97041357,1.273293,0.6875669,1.3603076,0.830265,1.2972053,0.97962564,1.0102994,0.8128136,0.8154393,0.6681749,1.3657411,1.3102114,0.97290766,0.7655275,0.6302928,1.0616299,0.8777653,0.75330293,0.9307716,1.4035232,0.83258057
ankle,1.3694439,0.0,0.72187597,1.0918754,1.0767409,0.7595922,0.9038124,0.74507105,1.0431589,1.2901056,0.2539217,1.2382686,1.1025784,0.9307925,1.3573375,1.2047782,0.8655536,0.8388074,1.0924429,0.9000236,1.1327194,0.95814306,1.0396798,0.57427037,0.6726929,0.5993505,1.2646145,0.8734665,0.6806366,1.2513194,1.271342,0.8301231,1.1163003,0.96630865,0.5511333,1.3926991,0.87818575,1.317452,1.240922,0.88637584,0.8377476,1.24344,0.62203455,1.1642617,0.5565273,1.3142205,0.91441095,1.0775425,0.8984127,1.0979534,1.4065005,0.5769381,0.8557685,0.8960202,0.8286412,1.2653086,1.2258759,1.0669487,0.45176864,0.88538533,1.3499413,1.2387702,1.0373343,1.1988343,0.7996945,0.86344266,0.6582188,1.2246939,1.0957083,1.1252544,1.2766101,0.90721333,0.84509766,0.52151096,1.0065174,0.44735628,0.8262509,0.77783096,0.7294761,1.0181046,1.2949886,1.072326,0.8918258,1.1743599,0.5147676,0.46770304,0.80932,1.1413422,1.1533357,0.66145813,0.9333343,0.9551691,0.8221401,1.0168335,0.7534934,0.97360533,0.70901376,1.1631513,1.0504186,1.0010289,1.2480698,1.0891517,0.9422575,1.0801396,0.7899752,1.2167454,0.1724881,0.7236064,0.8328417,1.023197,1.1387333,1.2801689,1.1778566,1.3061507,0.63991594,0.39219582,0.98990595,1.2998657,1.1421738,1.0921192,1.3401983,1.2726072,1.2901757,0.39931035,1.236666
apple,1.3346885,0.72187597,0.0,1.1295359,1.1791639,0.60602045,0.7022351,0.80004466,1.0675058,1.3407125,0.54080695,1.2747716,1.2790469,0.85796463,1.3973665,1.0722938,0.7476624,0.81648195,1.0058911,0.7490082,1.1732322,1.0053829,0.92025536,0.8599347,0.77525663,0.561888,1.199463,1.1110554,0.6755274,1.1361656,1.2469759,0.71604675,1.3732884,0.8678789,0.48556244,1.4199405,0.8105494,1.1503117,1.1191226,1.084917,1.0629078,1.2974598,0.40536714,1.0984272,0.81107485,1.3596857,0.5941795,1.1467259,0.912937,1.0706445,1.216425,0.7428358,1.2958531,0.9869063,0.58177966,1.206769,0.9624321,1.1756699,0.85421664,0.9189958,1.2220128,1.2892156,0.88241065,1.337056,0.91086805,1.0820684,0.65347934,0.8585728,1.3554411,1.2537026,1.2484845,0.9504713,0.6237833,0.23215002,1.094483,0.6990143,0.9601221,0.5185504,0.9427307,1.0435504,1.3591876,1.190434,0.9518361,1.0815148,0.36155164,0.48209977,0.7403207,1.0305338,0.9900061,1.0589571,0.83403605,0.76208293,0.79011345,0.93356013,0.79265773,1.2205675,0.89617085,1.2494425,0.84187114,1.1628958,1.3324897,1.2442122,1.1258811,1.161294,0.86438024,1.2422143,0.5652729,1.2204375,0.86562926,1.168112,0.68010986,1.26876,1.2548774,1.2873654,0.6865542,0.59595644,0.9891597,1.3420392,1.2423422,0.75503874,1.2276568,1.1164942,1.2469902,0.34232473,1.1811157
applesauce,1.0945121,1.0918754,1.1295359,0.0,1.0522517,1.0942385,0.9135289,1.0881135,1.0120931,1.146876,1.2018752,1.0811784,0.9842556,1.004581,1.1125615,0.94050497,0.86525583,0.7611986,0.94751894,1.0078272,0.99916255,0.80148315,0.7401889,0.98219895,1.1305597,1.1041851,1.0718116,1.0176669,1.1015196,1.0221083,1.0526993,1.1134179,1.0972736,1.0654027,1.1610994,1.0697017,0.6694956,1.0472612,0.7813694,1.1549011,0.9691528,1.0531555,1.0786265,1.0478618,1.0272212,0.913093,0.870129,0.9835192,0.9235806,0.951729,0.7856481,1.0088894,1.01999,1.1032608,1.1030593,1.0576711,0.81798935,0.869882,1.1905091,1.0293231,0.98713434,1.0946555,0.8434869,1.1087834,1.014721,1.1047515,1.0213178,0.8500881,0.9892522,0.98283106,1.0803275,1.0142926,0.8242416,1.2498279,0.8919693,1.1435746,0.96776974,0.9659864,0.90944463,1.0216745,1.0982529,1.1068909,1.0087023,0.88784015,1.2366594,1.2006707,1.0842158,0.99510634,1.031029,1.1797564,1.0843352,1.0078175,0.903899,1.012243,0.9887673,0.85856575,0.99534065,1.0759127,1.1542921,0.93054944,1.0602235,0.98613405,0.9112362,1.0892419,0.95699924,1.0366274,1.1811911,1.0181787,0.90219986,0.8130253,0.8537475,1.0688376,1.1025891,1.059292,1.0192064,1.1494495,1.0533565,0.96191555,0.9543452,0.9200272,0.7622498,1.0562569,0.97490394,1.2148979,1.1298027
arm,0.85645974,1.0767409,1.1791639,1.0522517,0.0,1.2892041,1.2559514,1.2431811,1.2500818,0.6381495,1.3010765,0.8092753,1.032943,1.271682,0.5542084,1.2384549,1.2387131,1.3841996,1.1845977,1.2428567,1.0025721,1.2537566,1.2063625,1.243924,1.4038423,1.1162939,0.9249029,1.2299502,1.2227924,1.06486,0.91248345,1.2404445,0.60753393,1.1433096,1.3197439,0.7090408,1.3650148,1.0820792,1.2302637,1.071867,1.059502,0.6222459,1.2180177,0.6241985,0.68468904,0.7532324,1.355718,1.0361508,1.2809805,1.1941305,0.9799256,1.0645545,0.67005974,0.90384775,0.96252203,0.67395896,0.8895549,0.48048955,1.1779089,1.1975459,0.96519506,0.48745465,1.1624073,0.49511302,1.2810713,1.0372978,1.3788755,0.97679687,0.59903586,0.91923606,0.83717346,0.7968167,1.2747574,1.1501743,1.205965,0.8965991,0.7740264,1.2274332,1.2238226,1.23513,0.4778511,0.93001735,1.1923339,1.0553268,1.2458376,1.2527512,1.2459176,0.90461326,1.1433265,1.0792084,1.2047653,1.2399874,1.4113386,1.2416728,1.0563763,1.2300351,1.2232112,0.83987355,1.2083751,1.1146809,0.4919356,0.9864496,1.1122,0.81932783,1.393216,0.9977361,1.1526954,0.71629494,1.3626535,0.9150093,1.0674134,0.80249584,0.5558203,0.64833426,1.3928086,0.92196846,0.861815,0.6748143,0.9901729,1.3829172,1.1822183,0.8340322,1.0462885,1.2078773,0.74155617
ball,1.2694619,0.7595922,0.60602045,1.0942385,1.2892041,0.0,0.60088944,0.81207967,1.0708361,1.3559433,0.7530956,1.3594787,0.968369,0.606084,1.3810936,1.0082436,0.77660155,0.84748197,0.9994187,0.74581933,1.2185088,0.96611005,0.8529985,0.94324416,0.7576311,0.8102216,1.0526189,1.1239187,0.65719163,1.2379705,1.2434874,0.76688313,1.4243987,0.9055183,0.73429894,1.4137828,0.71681774,0.9456114,0.8885891,1.1900368,1.0202508,1.2106698,0.49756968,1.1610451,0.8745192,1.1105835,0.65937424,1.107695,1.0239183,0.8561188,1.1130788,0.7801086,1.2242789,1.0248438,0.6097093,1.2128009,0.8384237,1.1931832,0.63323605,0.90683055,1.2711277,1.2987014,0.72040766,1.3736377,0.9587031,1.1848986,0.6818049,0.82088274,1.313118,1.2320163,1.275289,1.0573933,0.6351507,0.6071256,1.0929294,0.87986356,0.9788793,0.4787861,1.016225,0.79177475,1.3972391,1.1330265,1.0277474,1.1176485,0.71935934,0.7316938,0.58180404,0.9685449,0.9301555,1.0277677,0.8409511,0.7992222,0.80044854,0.90290415,0.58046925,1.1587093,0.8674031,1.2525127,0.6889528,1.1009724,1.3173236,1.0921547,1.0459355,1.2738323,0.88200426,1.1890129,0.6899306,1.1676412,0.9506525,1.1792076,0.89011323,1.295236,1.35162,1.2752619,0.5929811,0.6398915,0.7509042,1.28094,1.1652421,0.47909248,1.1664649,1.2473197,1.291285,0.5903042,1.250574
balloon,1.1508212,0.9038124,0.7022351,0.9135289,1.2559514,0.60088944,0.0,1.1011963,0.8888542,1.304697,0.88033223,1.1855984,1.1718845,0.738551,1.3535398,0.94358546,0.8171207,0.67972994,0.8404172,0.7775614,1.0362484,0.75829244,0.65851915,0.8713654,0.8625399,0.996568,1.1247561,1.0706997,0.8187231,0.9546195,1.1498926,0.8139835,1.2639866,0.9254636,0.82773995,1.2793119,0.756295,1.0554258,0.77172625,0.9411526,0.9723061,1.2079303,0.70917684,1.213361,1.031787,1.2255677,0.5873718,1.0275319,0.89283997,0.99867785,0.972564,1.086696,1.2503502,1.1199113,0.87859035,1.2441622,0.8356782,1.1947465,0.9116523,1.0346044,1.1120403,1.2858323,0.97690725,1.3120122,0.85686576,1.1553679,0.6671199,0.8000339,1.316504,1.1987033,1.2143718,1.0475011,0.70808244,0.80427915,0.8146308,1.026882,1.218759,0.5907736,0.8080852,0.98625773,1.3622329,1.2104623,0.8098495,1.0240477,0.8914195,0.9024974,0.75041586,1.0828674,1.0451474,0.94282067,0.90153515,0.889922,0.7900566,0.99605197,0.66358006,0.93744123,0.81255555,1.1059659,1.0195048,1.0180824,1.3498492,0.9977514,1.04943,1.265193,0.60517645,1.0331409,0.9286486,1.1672857,0.85727745,1.0349869,0.8140075,1.227092,1.2729421,1.2834392,0.69865656,0.9204232,1.0734965,1.18287,1.0615557,0.6470537,0.95994335,1.035234,1.0814857,0.89778155,1.1200379
banana,1.135121,0.74507105,0.80004466,1.0881135,1.2431811,0.81207967,1.1011963,0.0,1.0489287,1.358068,0.62259567,1.2296135,1.1275756,0.81208396,1.3686063,1.0395683,0.8502784,0.7983431,1.1130755,0.7117948,1.0515884,1.0729778,1.0761957,0.7844982,0.70989597,0.5215986,1.2242646,0.926569,0.8099917,1.3083525,1.1635671,0.6826186,1.3281381,0.7654022,0.61404955,1.3721439,0.8687165,1.1706485,1.1706502,1.0776588,1.1060705,1.2933664,0.55312896,1.1758409,0.80922717,1.0789055,0.8325945,1.0088084,0.93345654,0.9595183,1.198617,0.73474914,1.0805099,1.0173066,0.730215,1.1967816,1.049665,1.1076176,0.8072745,0.8802806,1.0820159,1.290846,0.9411661,1.322114,0.8649931,0.99403363,0.75877166,0.8873424,1.1311228,0.90984344,1.2218455,1.0219486,0.6639461,0.714458,1.0661795,0.8092939,0.97113997,0.6370785,1.0210966,0.94599885,1.324384,1.0832536,1.0281439,0.99956906,0.59021485,0.55821013,0.62961847,0.79551315,0.9982786,0.9658806,0.73755395,0.84002316,0.72265875,0.97601885,0.9093325,1.0730355,0.96560925,1.2510345,0.87056744,1.0156786,1.3043345,1.1432742,0.7787262,1.0939664,1.0060741,1.2081213,0.5713681,1.0533121,0.7996899,1.0818837,1.0159101,1.2421749,1.3173871,1.2812086,0.6947184,0.65763867,1.0496202,1.2623035,1.105094,0.8934944,1.1596694,1.2603929,1.11914,0.63763785,1.2819475
basket,1.1809292,1.0431589,1.0675058,1.0120931,1.2500818,1.0708361,0.8888542,1.0489287,0.0,1.0952419,0.8430269,1.0366417,1.0787672,1.1571307,1.166212,0.83229446,0.8056474,0.7907931,0.60091746,0.7802179,0.9516285,0.6367105,0.9378296,0.82730925,0.8608593,1.211827,1.0841603,0.656247,0.86790895,0.9667865,0.65369904,0.7962305,1.1985364,0.79214096,0.7273172,1.0577152,0.72307026,1.1927264,0.7427627,0.8747507,0.7938795,1.1866306,1.1010298,1.3018429,1.2021376,1.3285985,0.86354506,0.9745122,0.66649014,1.1915298,1.0195718,1.0552397,1.3005524,1.0306119,1.2404108,1.2192706,1.0588732,1.259654,0.99308544,1.0634633,0.9838035,1.3524351,0.8692679,1.2801204,0.56157964,0.96041554,0.78148806,1.232343,1.2718503,1.0487884,1.0538384,1.167187,1.0232528,1.0529805,0.76295114,1.1207798,1.3058188,1.0470892,0.66524076,0.99072605,1.2741562,1.2363652,0.66328007,0.84220713,0.87433124,0.799525,1.2248524,1.2303392,1.0578523,0.82805717,0.7577935,0.86295295,0.747919,1.0423236,1.1585318,0.6991093,0.58923733,1.0216904,1.2520919,0.6943265,1.3210601,0.91676486,0.83345425,1.0790825,0.65970826,0.97809315,1.0568864,1.2096491,0.6405196,0.91981566,1.0519059,1.0712078,1.2695025,1.1140587,0.68359095,1.1589748,1.2553668,0.8782189,0.97912097,0.9508999,0.8321732,1.0274801,0.6927527,1.0473832,1.075414
bed,0.64134,1.2901056,1.3407125,1.146876,0.6381495,1.3559433,1.304697,1.358068,1.0952419,0.0,1.3693516,0.6025666,1.0097458,1.3034549,0.12947607,1.0808764,1.2977012,1.279207,1.1387099,1.3479092,0.822134,1.2112169,1.274765,1.2310541,1.3320806,1.3434894,0.7039518,0.88440734,1.3007542,0.68613386,0.8372155,1.30193,0.35184377,1.2595952,1.4169002,0.32847738,1.382832,0.89953315,1.1325151,0.8839398,1.1718034,0.71104527,1.3745474,0.8682249,1.2465842,0.8265575,1.3665941,1.1390994,1.2576368,1.1976501,0.7860608,1.3144063,0.79003453,0.69522226,1.2784212,0.72444403,1.0078967,0.89179176,1.1698271,1.203732,0.70086575,0.48630702,1.1905489,0.41741395,1.2702314,0.89642656,1.4349759,1.1169418,0.6213996,0.8533888,0.6428718,1.1063634,1.3576949,1.2944937,0.9616895,1.2821345,1.0741186,1.4356587,1.2362353,1.2374177,0.39459223,0.79031885,1.1480883,1.1392958,1.3628104,1.401154,1.3614658,0.9100392,1.1120332,0.83577305,1.2674019,1.228242,1.4009087,1.201129,1.0927697,0.96596795,1.291312,0.7715084,1.1645519,1.0997736,0.49089152,1.0285877,1.1415424,0.7158039,1.3005326,0.7767062,1.3363644,0.92512834,1.3542047,1.0896398,1.2678186,0.61300063,0.5456835,0.10665989,1.3712726,1.3492966,1.1574659,0.78199387,0.6718843,1.3119706,0.94191396,0.7211927,0.797211,1.356113,0.47784442
