,alligator,ankle,apple,arm,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,bird,blanket,book,bottle,bowl,box,bread,bucket,can,car,cat,chair,clock,closet,comb,couch,cracker,crayon,crib,cup,dish,dog,doll,door,drawer,dress,egg,elephant,face,finger,fish,flower,foot,fork,frog,glass,glasses,glove,gum,hair,hand,hat,hose,jacket,jeans,knife,ladder,lamp,leg,meat,melon,milk,mitten,mouth,nail,napkin,necklace,nose,orange,oven,pajamas,pants,paper,pen,pencil,pickle,pillow,plant,plate,pumpkin,purse,radio,refrigerator,rooster,scarf,scissors,shirt,shoe,shovel,sink,slide,slipper,snow,soap,sock,spoon,stick,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,vacuum,watch,window,zebra
alligator,0.0,1.041973,1.3754293,0.8138313,0.918734,1.1487869,1.0685745,1.1968284,0.7778399,0.632368,1.301765,0.6281654,0.6472972,1.3515189,0.70158225,0.7412647,1.3574513,1.3393155,1.179914,1.4072404,1.3886354,1.4511566,1.2818801,0.6343273,0.8152814,1.3294241,0.8470881,0.8742827,0.68002784,0.82012624,1.2024028,0.71606207,1.4185266,1.0243951,0.7699799,0.6577383,1.0787792,1.354846,0.7590271,1.290234,1.0215464,0.9123827,1.0936534,0.8234829,0.97576016,1.258442,1.2676386,0.95659393,0.71636534,1.4462897,0.80032575,0.98026675,0.7574718,0.89364123,1.1144644,1.0656762,0.8712434,0.8033798,1.3364899,0.6474922,1.4185092,1.1931593,0.8617589,1.1170491,0.8117056,0.65683544,1.2579772,1.3450174,1.2735648,1.3780687,1.0621209,1.3742027,0.880321,0.7744698,0.9138342,0.7478811,1.0632066,1.3447338,1.326752,1.0023642,0.9195077,1.4442344,1.2471106,0.87643665,1.1770439,0.81541073,0.7930393,0.78966033,1.3406398,0.75696194,1.2950318,0.77022994,1.4089293,0.7054275,1.4747654,1.141465,1.2203953,0.69585603,1.2412988,1.2436415,0.6299556,0.51600724,1.2646736,1.3510902,1.3309805,0.72912824,1.3494626,0.7204147,1.0992591,0.8741869,0.6501639,1.4432552,0.8551532,0.91852725
ankle,1.041973,0.0,0.886829,1.1017252,1.0093199,0.89503807,1.0684526,1.0153911,1.2434281,1.0837084,0.9387612,1.1235559,1.0824498,1.1199609,1.1707218,1.0794675,0.9521263,0.9666628,0.7314314,0.73693585,0.6745497,0.9197335,1.0163546,1.0305338,1.1874694,0.9135304,1.2542672,1.066665,1.1516347,1.095239,1.0449629,1.1725024,0.83387923,1.0778687,1.0312096,0.9398024,1.0690197,0.9151698,1.1570629,0.9052674,1.012619,1.1139078,0.82179606,0.90215063,1.0317904,0.88854706,0.9925287,0.99539775,0.850556,0.84268457,0.6636215,0.6758963,1.0492345,0.9630365,0.5002778,1.0386031,1.2128959,1.0848727,1.0008769,1.2179866,1.1117262,0.9498797,1.1146706,1.0215625,0.98188007,0.7091596,0.8443756,0.8857899,0.91561323,0.928957,0.7341982,0.86448306,1.0952517,1.2103127,1.1265335,1.1705164,1.1021081,1.0558343,0.9206741,1.0639699,1.0442142,0.9326003,0.82208145,1.0330516,1.0298398,1.0340163,1.0202392,1.1061047,0.8651104,1.2609622,0.6382591,1.0303123,0.9918176,1.323876,0.6974482,1.1449716,0.9676965,0.569392,0.9925645,1.0264133,1.2593601,1.1853551,0.82070404,0.7841346,1.0038735,1.1593102,0.8948775,0.75553787,1.0176417,1.0687943,1.0441794,0.85545594,1.2180216,1.1743369
apple,1.3754293,0.886829,0.0,1.4005871,0.8488936,0.7340525,0.69665605,0.96826,1.524491,1.4231033,0.5258762,1.5180943,1.4857483,0.62571216,1.509102,1.3879731,0.2751276,0.48757207,0.90086323,0.42016292,0.6580627,0.6881474,0.8242435,1.2710183,1.5200869,0.5116784,1.3124384,1.2400875,1.3939931,1.1830661,0.6760978,1.4111816,0.35893118,0.9868939,1.1749904,1.2368189,1.3565726,0.8852006,1.3067752,0.28525853,1.0871555,1.0001174,0.979126,1.2399575,1.0765758,0.82374394,0.7558559,1.0608981,1.3155874,0.29224348,1.0502865,0.8411149,1.2179052,1.2389753,0.6280728,1.2312046,1.2269357,1.4324694,0.70534563,1.4525609,0.64237213,1.0588915,1.2228931,0.64581144,1.2577012,1.1875215,0.6643964,0.16060102,0.8810588,0.6868924,0.8285048,0.24942827,1.3896075,1.3906645,1.3926704,1.364811,1.0096134,0.6605389,0.569563,1.0538605,1.1710184,0.4216292,0.37219346,1.3334205,0.942781,1.3900924,1.0088001,1.3779703,0.5313573,1.358613,0.87470186,1.232751,0.47847742,1.3072796,0.39404476,1.0404272,0.3229016,1.1122664,0.82917476,0.8345811,1.4594083,1.5533286,0.67422956,0.61667866,0.63886,1.372781,0.81713605,0.9510199,1.226571,1.1626439,1.3440733,0.24975276,1.2030311,1.2611067
arm,0.8138313,1.1017252,1.4005871,0.0,1.0452843,1.2727988,1.2048383,1.3337951,0.7292584,0.6333692,1.2352684,0.6434043,0.6086661,1.2722344,0.6312838,0.8352436,1.4002028,1.2767987,1.1941111,1.2007632,1.3004596,1.2922535,1.1927129,1.0334456,0.83245313,1.3367381,0.7651429,0.74853295,0.721876,0.9443832,1.1518807,0.94613457,1.4234164,1.1233513,1.1657141,0.9555306,1.0188814,1.1450456,0.80740285,1.2552109,0.8757655,1.0093688,0.81092477,0.863479,1.2119336,0.98946875,1.1810915,1.0769132,0.7861335,1.2540662,0.9468313,1.1027242,0.85295856,0.57492054,1.208857,0.87986416,0.7132114,0.6330733,1.1450756,0.7661704,1.3414419,1.1937938,0.96383387,1.2097582,0.8720188,0.8868418,1.1797328,1.3065768,1.1465508,1.1030351,1.004555,1.3297714,0.9958983,0.7055985,0.7571108,0.70033085,1.0040766,1.1472139,1.3153403,0.9715647,1.1796137,1.3608301,1.2232938,0.9794079,1.1530845,1.0010577,1.1242186,0.71243626,1.2959865,0.61521244,0.97535026,0.9638544,1.3569331,0.72025514,1.2348648,0.9362023,1.33604,0.9953467,1.1046869,1.0950909,0.54514647,0.61809397,1.2456014,1.0010586,1.1246837,0.7365352,1.1867899,1.1571385,1.046155,1.1155661,1.0876799,1.2528489,0.9712799,0.6866654
ball,0.918734,1.0093199,0.8488936,1.0452843,0.0,0.5175669,0.934026,1.0094054,1.1975865,0.994123,0.9488743,1.1063374,0.9740942,0.99422365,1.1368903,0.9420511,0.85930395,0.8415288,1.148037,1.0724627,0.9475327,1.1031333,0.9944237,1.041502,0.97708505,0.7598051,1.1114917,1.1674991,1.1007346,1.3040774,0.915,1.0241492,0.8338241,0.6989758,0.9962584,0.9496856,1.2684262,1.1715703,1.0389025,0.6361449,1.1538424,1.0381272,1.1044203,1.0960007,0.91821283,1.2129275,0.8648335,0.91174614,0.9351011,1.057719,0.97949314,0.7339767,1.1192557,1.0963447,0.8215945,1.2251707,1.0871727,1.1660539,1.0496223,1.1470565,0.8680691,1.174495,1.2850331,0.72864765,1.0258086,0.9953387,1.0794055,0.81565225,1.0005835,1.0365918,1.08996,0.8789263,1.113223,1.1050928,1.1882474,1.0123308,0.99973494,1.004106,1.0073879,0.8617066,0.96302,0.8460207,0.89989257,0.8015053,0.9540078,1.2274837,0.9807253,1.1141928,0.96143055,1.1167294,1.2125878,0.79876125,0.99149275,0.9975418,1.0950602,1.0797167,0.82322145,0.8626849,1.0073671,1.10269,1.1512275,1.0422958,0.71255946,1.1124084,1.0999705,1.0188981,1.1398416,0.6644812,1.010083,0.96858174,0.9635946,0.95010656,1.0628456,0.9780639
balloon,1.1487869,0.89503807,0.7340525,1.2727988,0.5175669,0.0,0.7345665,0.7840378,1.2896103,1.330637,0.8203944,1.4147494,1.2523273,0.8076708,1.3657176,1.1137279,0.8372742,0.8045136,0.83633524,0.71407646,0.6411918,0.7686181,0.96552455,1.1794105,0.97449917,0.6210382,1.3031057,1.1607655,1.3774105,1.184955,0.7723112,1.256456,0.67321414,0.7660651,1.0670813,1.087986,1.145998,0.92217743,1.2288698,0.6352343,1.1176875,1.1416183,1.1232433,1.0885166,0.8481866,1.1142465,0.6793281,0.93347436,1.0293064,0.8504611,0.93578833,0.7039325,1.3033807,1.1660655,0.64593923,1.1588733,1.3456924,1.3283322,0.69103456,1.2799089,0.6834886,1.0512202,1.2174034,0.5871631,1.1064768,1.0736581,0.9800751,0.77825093,0.8316172,0.74542356,1.1123596,0.55832016,1.1031706,1.3144705,1.300693,1.2241273,0.8934027,0.7528199,0.70732445,0.7732868,0.953368,0.5718659,0.7507112,0.864024,0.987397,1.232117,1.1550214,1.2486904,0.7108212,1.4016687,1.0455862,0.75600004,0.8890059,1.2192149,0.8444829,1.1005441,0.86344194,0.86644816,0.7341047,0.7624929,1.3788018,1.3845806,0.55646914,0.9983123,1.0188824,1.1082025,0.9329396,0.7487943,0.827883,1.0222673,0.9370375,0.8342291,1.1846573,1.111711
banana,1.0685745,1.0684526,0.69665605,1.2048383,0.934026,0.7345665,0.0,0.7458398,1.2785342,1.2415237,0.9668352,1.3145736,1.1710173,0.89238876,1.2348354,1.1210083,0.8344734,0.78466487,0.8831672,0.7466936,0.8911904,0.94976914,0.9468103,1.1672242,1.2515442,0.83643687,1.2635163,1.135581,1.1786802,1.0875953,0.73476213,1.1200333,0.74173874,0.76727635,1.0858577,0.9896446,1.2497245,1.038258,1.1162647,0.8029838,1.2197077,1.1397688,1.0797569,1.1636932,0.724549,1.0260025,0.69513494,0.9415327,0.97917163,0.9233322,0.86381394,0.85500765,1.2309464,1.0465118,0.85991704,1.1921957,1.221622,1.257558,0.58384794,1.2622092,0.9005053,1.1604769,1.1224946,0.4590882,1.0077456,0.99422824,1.030431,0.9220649,0.9498346,0.80012727,1.192467,0.7966912,1.1384265,1.1897721,1.2271883,1.1556706,0.88918287,0.8522803,0.7460159,0.7746598,0.9105118,0.766383,0.83267134,0.97472364,0.94220865,1.12045,1.1031168,1.0717089,0.70267326,1.2348775,1.0347773,0.83725417,0.8846711,1.1412562,0.93317866,1.199132,0.7506922,0.99440175,0.5993031,0.61612225,1.2459362,1.2684592,0.75120836,1.0059059,1.0225755,0.95846146,1.0354996,0.7995616,1.049066,1.0193617,1.0304775,0.8952491,1.2166929,1.1233644
basket,1.1968284,1.0153911,0.96826,1.3337951,1.0094054,0.7840378,0.7458398,0.0,1.1143078,1.159186,0.9909785,1.2008125,1.1679934,0.8143904,1.2427976,0.99961275,0.8280065,0.8364232,0.6007869,0.95111805,0.63938713,0.62178576,0.7833145,1.0414016,0.90630805,0.8092947,1.062652,1.144266,1.2245957,1.09639,0.96249473,0.6892381,0.62877464,0.8679363,0.86857176,1.0572721,0.80098796,0.8387997,1.1644939,0.99944884,1.0375848,1.1403179,1.2315621,1.1608613,0.7679955,1.1869164,0.7484829,0.99406916,1.1686614,0.9480894,1.0680779,1.1231139,1.2353106,1.2914748,0.9590005,1.1391914,1.2773256,1.2658439,0.83013433,1.0813205,0.6250572,1.0033722,1.0828273,0.67902064,1.070187,1.1988997,1.1142901,1.0408695,0.86470455,0.8055644,1.2180827,0.9381624,0.6935066,1.2276235,1.2283278,1.1788605,0.94047076,0.89979,0.8552841,0.8217817,0.8818387,0.8329874,0.9451477,0.9256036,0.77236784,0.6890765,1.1245879,1.1595677,0.8678434,1.2923393,1.027901,0.9737107,0.7363099,1.1901809,0.9175611,1.0620457,1.0022894,1.1079302,0.83653146,0.80623496,1.2114332,1.2167951,0.62498325,1.1712437,0.97967124,1.194646,0.86507124,0.9256445,0.8079174,1.0020655,0.6788627,0.94888204,1.1435317,1.1363063
bathtub,0.7778399,1.2434281,1.524491,0.7292584,1.1975865,1.2896103,1.2785342,1.1143078,0.0,0.68397444,1.2621162,0.47123522,0.79148906,1.2724278,0.6406765,0.97072095,1.4428812,1.2812858,1.1692085,1.3550129,1.2673374,1.0985839,1.2059532,0.8713667,0.4737233,1.4049076,0.44553006,0.7203701,0.65884537,0.8979321,1.3024606,0.5123941,1.4545615,1.0950712,1.008759,1.0060589,0.4782185,0.9634274,0.8907506,1.4428805,0.7266427,0.993001,1.1276212,0.7522075,1.1143347,1.1943747,1.3829719,1.0832053,0.66716135,1.511414,1.2792809,1.3486644,0.8106456,0.9701532,1.4790821,0.64132667,0.8317568,0.63522315,1.2322521,0.48898375,1.1362414,0.8325915,0.94500256,1.2939451,0.8748713,1.0760438,1.2441734,1.4784391,1.1472968,1.3642678,1.1787963,1.4053693,0.68462634,0.82640123,0.6752105,0.76722276,1.1640542,1.3339332,1.3310856,1.135135,0.99004906,1.324373,1.4211452,1.055096,1.1994379,0.635387,0.99735934,0.9646108,1.4222794,0.7232388,1.2668176,0.92492133,1.198927,0.50603807,1.470811,0.59585893,1.2942312,1.1517159,1.1982412,1.1735373,0.6442928,0.49581242,1.3447559,1.3482156,0.9528593,0.5943433,1.1832238,1.2929133,0.97102475,0.9544994,0.80978477,1.5146885,0.74396634,0.7483361
bed,0.632368,1.0837084,1.4231033,0.6333692,0.994123,1.330637,1.2415237,1.159186,0.68397444,0.0,1.2364228,0.19312096,0.72737026,1.3221374,0.5481346,0.3467213,1.3609833,1.3356082,1.0984882,1.3802671,1.3520198,1.3336828,1.1382331,0.8192949,0.7871115,1.1458439,0.70107144,0.7813728,0.5195967,0.89584386,1.2982836,0.7942455,1.4150455,1.095354,0.91409177,0.85966706,0.9477129,1.1737933,0.8361163,1.2766873,0.9760556,1.0911902,1.0577896,0.8553024,1.0785514,1.2291427,1.3036661,0.6806854,0.89656454,1.4111571,1.0316498,1.1333371,0.894879,0.84913397,1.2032235,0.94386405,0.8777547,0.8004392,1.3325219,0.6578601,1.3245586,1.096638,0.9332403,1.2822993,0.9637593,0.84438205,1.197551,1.3262753,1.318443,1.3254836,1.0427151,1.3875902,0.8877562,0.82811606,0.898005,0.7172239,1.1098639,1.321569,1.3275876,0.9131171,1.0533671,1.4150512,1.37351,0.8440608,1.0322361,0.83052343,0.9049823,0.89538115,1.3935455,0.8378399,1.0094764,1.0151145,1.340718,0.76285267,1.2722759,1.0446225,1.227373,0.95921034,1.2764301,1.2084568,0.7097418,0.39252138,1.1790444,1.2492279,1.2667239,0.9563627,1.3616652,0.8281113,0.8940208,1.0148417,0.90858555,1.3857832,0.8886487,0.8708526
