,alligator,apple,applesauce,arm,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,can,car,carrot,cat,chair,chips,clock,closet,coffee,comb,cookie,corn,couch,cracker,crayon,crib,cup,deer,dish,dog,doll,door,drawer,dress,ear,egg,elephant,eye,face,finger,fish,flower,foot,fork,frog,game,giraffe,glass,glasses,glove,gum,hair,hamburger,hand,hat,horse,hose,jacket,jar,jeans,knife,ladder,lamp,melon,milk,mitten,motorcycle,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pen,pencil,pickle,pillow,pizza,plant,plate,pony,pumpkin,purse,radio,raisin,refrigerator,rooster,scarf,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,snow,soap,sock,soup,spoon,sprinkler,strawberry,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,truck,vacuum,watch,window
alligator,0.0,1.0625086,0.8460933,1.0995234,1.0930392,0.84493506,0.8834363,1.0920757,0.91374356,1.2255969,0.6929857,0.9851829,1.0163798,0.91963065,1.1103985,1.2593807,0.92658436,1.1306111,0.956171,1.1299303,0.9360861,0.97460985,1.1380203,0.95742804,0.9627865,0.83420503,0.8374908,1.0462251,1.1301595,1.0522226,1.0562636,0.774249,0.9587058,1.0224868,0.9320427,1.1962582,1.0343118,0.8996652,1.2039804,1.1350659,0.91791904,1.0782888,1.0350943,1.0676658,1.0100656,1.0056567,1.2115228,0.7166945,0.96845,0.82712185,0.95856446,1.0969871,0.8471913,0.7692943,1.0308623,0.83572716,0.7864768,0.8982563,1.0006092,1.0113794,1.0678531,0.6411963,0.7145047,0.9362181,0.9006946,1.0607965,0.9248468,0.701179,0.9631778,1.1096554,1.1784936,1.1082443,1.040235,0.877724,0.976968,1.0863062,1.0659896,0.9971379,1.0132493,0.8915511,0.87330866,1.0337528,0.87040174,0.67836475,0.74379385,1.0066416,1.1186458,0.9559154,1.2212211,0.9918879,1.0694466,0.8951991,0.869508,0.928486,0.9902252,0.9828249,1.0673065,0.96492094,0.9833881,1.1299512,0.8253442,1.0242013,1.1351082,1.0209,1.0001287,1.0469129,0.9226921,1.2038795,0.9618724,1.1128348,1.0488172,1.1177846,0.9383477,1.1593748,0.7832039,0.87342185,1.1096077,0.80383533,0.9403973,0.8273498,1.0794226,0.9427775,1.1677845,1.1769842,1.2162776,1.1182582,0.84919107,0.75200605,0.8574599,0.90420306,1.103096,1.2072239,1.1285983,0.9934332,0.9611035,0.9470353,0.99034363
apple,1.0625086,0.0,0.8747723,1.3602183,0.41438353,0.669268,0.9369712,0.97342485,1.2514942,1.3958242,0.7656675,1.3890457,1.361872,1.1652316,1.3599033,1.3981745,0.9377022,0.4644621,0.47318012,1.4493697,0.63693523,0.8317609,1.0303087,0.57111216,0.9737495,0.8421718,1.1957992,1.3513695,1.2581363,0.6697371,1.3209777,1.0780725,1.2209607,0.73643875,0.99263597,1.3962193,1.1336597,0.38459378,1.4391241,0.7504975,1.1713381,1.2627653,1.1805815,1.2475541,1.2279434,1.3476179,1.2202692,0.4970169,0.3634882,1.0252047,0.74460775,1.0905384,0.80384415,0.7440235,0.3319515,0.9003521,0.8257724,1.1662447,1.1754948,1.200721,1.3465732,0.46217316,1.0289282,0.86288935,1.0554128,1.2208452,1.1834455,0.8633982,1.1703217,1.1853344,1.3276002,1.1752669,1.4181919,1.4417074,1.0583758,0.90466356,1.0017432,1.1459851,1.302006,1.0491985,1.0196732,0.11853856,0.6702627,0.8176677,0.6998472,0.17979765,1.1743087,1.2364838,1.3508949,1.2826743,1.3971728,0.36143702,0.49820083,0.71216905,1.410999,0.70888567,0.6913167,0.8818938,1.0492512,0.9330086,1.4022852,0.8000772,0.61832535,1.2543223,0.609729,1.163889,1.3783736,1.3319784,1.2025244,1.3030391,0.9458909,1.2115785,0.92816424,1.3442221,0.35466278,1.0748079,0.7378547,0.94307303,0.6261595,0.9019944,0.88962257,0.38664567,1.1280899,1.2293296,1.4543419,0.80702895,0.5523481,0.5325184,1.1495588,0.60186756,0.9075668,1.3389535,1.076125,1.1013371,1.0482328,0.23482418,1.1585879
applesauce,0.8460933,0.8747723,0.0,0.993008,0.77625304,0.6553054,0.8276311,1.0681692,1.144718,1.2602334,0.92346716,1.290086,1.0577557,1.0854152,1.1882362,1.1929815,1.0831977,0.8927885,0.87503713,1.1984222,0.6875447,1.0361662,0.8907596,1.00953,1.1588712,0.7857165,1.1208236,1.2377081,1.0496117,0.99142414,1.2840159,0.7738213,1.2672355,0.77467203,0.97746974,1.20067,0.97040856,0.96584255,1.2641077,0.7681095,0.9700258,1.0209799,1.0460377,0.95349383,1.2465041,1.174048,1.0270044,0.5834313,0.6110609,1.0712799,0.7894251,1.1177351,0.64347744,0.775595,0.99753314,0.7723845,0.9955355,0.9947717,1.0940286,1.0692325,0.9550616,0.84781444,0.7749709,1.0117697,1.0160279,0.9356425,0.7688426,0.8730453,1.1334664,1.1245837,1.2778183,0.83994293,1.0878761,1.1649793,0.9914637,1.0272125,0.98702365,1.0549028,0.97127026,1.1326363,0.8042555,0.94442123,0.9339409,0.8388637,0.7568244,0.84254265,1.1308781,0.9986613,1.1903266,1.0484993,1.2802482,0.9586927,0.9026468,0.82055455,1.0678284,0.8105907,1.0920047,0.90811026,1.0130731,0.87236106,1.1026388,1.054416,1.0314695,1.1589276,0.91994876,1.0620288,1.1894245,1.1605704,1.1781256,0.94432145,1.043265,1.2456552,1.0494804,1.2017004,0.87426627,1.0643809,0.7097399,1.0400609,0.8845845,0.8327562,0.97996897,0.9767481,1.0764959,1.0126076,1.2031543,0.80886334,0.6004329,0.7748043,1.1504318,0.94745445,0.901903,1.1413715,1.0856035,1.0657519,1.114132,0.87735593,1.1556256
arm,1.0995234,1.3602183,0.993008,0.0,1.423379,1.2836008,1.0372516,1.3409164,0.7151414,0.4559788,1.3606312,0.67341304,0.4549507,0.9883707,0.5847283,0.722839,1.29756,1.4872692,1.5586061,0.8174154,1.3006032,1.3317416,1.2963309,1.4716392,0.9452068,0.9915327,0.7561339,0.7334311,0.82188797,1.4298211,0.7918427,1.1990094,0.9787836,1.3064291,1.1470268,0.40991032,1.0153409,1.4264715,0.47445047,1.4293272,1.0076721,0.90242517,0.9991136,0.75722766,0.9004577,0.5823497,0.60413045,1.3136616,1.2721182,0.9141819,1.3239107,0.7367553,0.88325304,1.2613245,1.4657397,0.94529665,1.3843744,0.99833256,1.0044662,0.93201965,0.7578556,1.3554969,1.0446606,1.2114221,0.7456274,0.63483465,0.47418666,1.1317595,1.0857195,1.0140762,0.6213875,0.9658658,0.3869568,0.5348418,1.1446054,1.3488932,0.9103107,1.0969632,0.5850446,1.1081649,1.0987408,1.3554691,1.4327216,1.1537579,1.0552257,1.3858535,1.0621868,0.82803786,0.40522492,0.49542123,0.7988646,1.3886466,1.3201749,1.3100514,0.53204125,1.2405288,1.3825421,1.178555,1.1962565,1.1625426,0.80494523,1.3305607,1.38951,0.8748791,1.4185116,0.72720796,0.77609026,0.40318322,1.0693521,0.37333882,1.2691246,0.6899819,1.0362387,0.5163667,1.4176121,1.02063,1.3548639,0.90746593,1.2557536,1.2081606,1.3366344,1.218931,0.8588972,0.48078817,0.5662101,1.4090068,1.0328435,1.2308958,0.92268914,1.4639599,1.3321769,0.9340708,0.94467103,1.0864722,1.2387805,1.4114652,1.0338005
ball,1.0930392,0.41438353,0.77625304,1.423379,0.0,0.5231575,0.80672246,0.85680604,1.301125,1.3504659,0.83703685,1.3891053,1.3334141,1.14134,1.2486402,1.2619553,0.8800291,0.5619046,0.57242763,1.30546,0.7484521,0.79733074,0.743742,0.7290968,1.0127305,0.9750781,1.3115778,1.4162132,1.2426826,0.61341906,1.3403397,0.90703213,1.1728591,0.7409589,0.89299005,1.384143,1.1091665,0.6426173,1.4389632,0.51117057,1.1184192,1.2066369,1.098782,1.0959234,1.3425565,1.3664787,1.18649,0.7095117,0.45818955,1.1467905,0.6775987,1.1858828,0.9813048,0.76554406,0.6050644,1.0909381,0.93877596,0.86501205,1.0334893,1.1663728,1.1262013,0.75626504,0.8971453,0.735949,1.2020578,1.2121155,1.2759193,0.7640301,1.1938572,1.1377612,1.3221197,0.9814968,1.3606591,1.499011,1.0743045,0.8492781,0.7725563,1.0160148,1.1634722,1.0114838,1.0123243,0.5417937,0.721789,0.9546201,0.94049835,0.5259432,1.0961374,1.0582715,1.322905,1.3151335,1.2447237,0.6523235,0.711884,0.54388803,1.2765894,0.7815701,0.7813574,0.98717856,0.9877381,0.6201027,1.2474885,0.8069351,0.6092949,1.3203397,0.7005388,1.1996142,1.2499945,1.3620248,1.0377645,1.2913656,0.9171017,1.3106809,1.0327595,1.2341075,0.6335765,1.1354419,0.57394,0.80660194,0.79905903,0.9747813,0.8216434,0.77876323,1.0835419,1.2522509,1.311239,0.5102209,0.78797114,0.69160104,1.0612026,0.71502364,0.5856402,1.1390756,1.1062509,1.0886495,1.0037946,0.5657393,1.2041249
balloon,0.84493506,0.669268,0.6553054,1.2836008,0.5231575,0.0,0.85093665,0.99230087,0.9979137,1.4433413,0.77009636,1.2876636,1.3445361,1.2030542,1.2814938,1.2498003,0.9111912,0.7093075,0.63926375,1.3364666,0.8580346,0.79225564,0.73721236,0.662621,1.1701032,0.7028143,1.0924424,1.2008816,1.2956598,0.8077834,1.2519894,0.6813204,1.1083033,0.86575925,0.9382529,1.4228399,1.0654701,0.6024629,1.4604566,0.6296922,1.0499882,1.2355909,1.1531563,1.1729729,1.1379964,1.320293,1.2680013,0.6092941,0.5023853,0.9790488,0.79234326,1.227243,0.6771077,0.55255574,0.80359614,0.91251355,0.6869922,1.0896504,1.1778947,1.0851374,1.2639072,0.6949124,0.8561244,0.86459786,1.1995951,1.1835902,1.0644255,0.6183659,1.1418153,1.168219,1.2998736,1.0797462,1.2898617,1.2992587,0.7419577,0.8324523,0.8877923,1.0332565,1.0651726,1.0707906,1.000476,0.66693,0.74862504,0.83630025,0.80099,0.54504377,1.0987681,1.0854137,1.4146272,1.2264545,1.2021598,0.7101065,0.7115111,0.6319786,1.1781638,1.0055765,0.91443866,0.94392383,1.0617371,0.79550666,1.2519125,0.90358806,0.7758415,1.1641319,0.8136939,1.2599719,1.2026055,1.3966018,1.211849,1.2151315,0.9212756,1.2651051,0.83223295,1.2115804,0.7325382,0.9465206,0.6711955,0.8341327,0.6391964,0.8723706,0.9704163,0.7155405,1.1988317,1.299969,1.3790203,0.6957813,0.6864609,0.73391837,0.9773352,0.6683134,0.8019855,1.0907688,1.1350476,0.9923872,0.91743386,0.64751786,1.0371529
banana,0.8834363,0.9369712,0.8276311,1.0372516,0.80672246,0.85093665,0.0,1.1983557,0.9882776,1.2029631,1.0916007,1.255797,1.1735473,1.0523107,1.2086565,1.0112329,0.87939334,1.1277834,0.8791568,1.0204506,0.5928064,1.1004994,1.039915,1.1486955,0.9162009,0.66505754,1.1227975,1.3385133,0.8056217,1.0575193,1.2636663,0.9567916,0.91206855,0.66147196,0.58661276,1.2283747,0.6279949,0.8359531,1.2670997,0.8603014,1.1255994,0.7960825,1.1637663,1.1241461,1.204576,1.1816697,1.1824124,0.9291405,0.8706789,1.0245469,0.8708486,1.0424857,0.8154862,0.9567286,1.1544904,0.9794401,0.98371965,0.45208478,1.0795224,1.1309476,0.96719956,1.0775392,0.8906481,0.602095,1.081811,0.7543975,0.8382239,0.94843084,1.1495923,1.0128497,1.1924331,0.985041,1.0385581,0.87659854,0.8793714,1.1991893,0.3560933,1.0934124,0.74797976,0.9202155,0.69323343,1.0024775,1.0240984,0.99962366,0.97248465,0.8485305,1.2300992,1.0863333,1.1887838,0.98623997,1.1047757,0.9190237,0.88726604,0.49363035,1.0983611,0.7505911,1.0997833,0.6698033,1.2155172,0.81383216,1.1123668,1.1890546,1.1688536,1.2688189,1.0793786,1.0749443,0.83167857,1.1952599,1.1272815,0.98088986,1.2359531,1.2422271,0.987182,1.1085628,0.898919,1.0791615,0.7719898,0.9823419,0.8612818,0.8111353,1.0788947,0.8952844,1.1202545,1.0877986,1.0594335,0.76626265,0.8921509,0.8258656,0.7153487,0.9423137,0.66344064,0.87925816,1.2170689,1.2477556,1.2164555,1.0107938,1.229707
basket,1.0920757,0.97342485,1.0681692,1.3409164,0.85680604,0.99230087,1.1983557,0.0,1.1520028,1.126528,0.68638456,0.9769508,1.249305,0.9828714,1.0480665,1.0952314,0.65286875,0.6460539,0.64633787,0.8717581,0.97096056,0.7458815,0.6912424,0.67107165,1.0623322,1.1634362,1.2239063,0.83252436,1.1705183,0.75674695,0.9995497,0.9249277,0.89014626,0.98083776,0.896265,1.1725494,1.0651393,0.8941375,1.1026213,0.6817375,1.0406461,1.1837405,1.0500008,1.0502863,1.0447145,1.0358377,1.1550887,1.0152181,1.045373,1.1722752,0.99278224,1.232314,1.122126,0.9909675,0.77524614,1.1559944,0.7236146,1.2106402,1.0425942,0.9286872,1.1945888,0.9270761,0.9009149,0.96545124,1.284274,1.2532265,1.3686234,1.0710108,1.0234103,1.0003889,1.0680006,1.0565335,1.2436072,1.3203726,0.7464758,0.81871295,1.1814699,0.95387065,1.3593829,1.0119305,1.0738497,1.0227152,0.52409714,1.0791017,1.2101412,0.96991557,0.82838464,1.0844705,1.2102714,1.2721512,1.0281576,0.9193556,0.8939028,0.96207064,1.0882567,0.95674366,0.7689532,0.9592061,0.831228,1.0313243,0.8764028,0.5897198,0.73094857,0.95569146,0.8059293,1.1348162,1.2044461,1.2311901,0.8419186,1.2363524,0.6262368,1.1610153,1.0024192,1.1295177,0.83636844,1.015673,0.82607484,1.14439,0.93743503,1.0371826,0.7921874,1.0561973,1.0399632,1.1934744,1.1666348,0.70275134,1.1411699,1.0187067,1.2512327,0.5331641,0.8461277,0.9700205,1.0858146,0.95349705,0.7670163,0.9355438,1.0295688
bathtub,0.91374356,1.2514942,1.144718,0.7151414,1.301125,0.9979137,0.9882776,1.1520028,0.0,0.72860813,0.95887035,0.4957323,0.9074034,1.006259,0.8567116,0.8381389,1.0561428,1.3306484,1.0759504,0.87582165,1.2404343,1.1823077,1.158484,1.0415366,0.9100912,0.94813675,0.58624303,0.62578285,0.91979194,1.2540486,0.91478026,0.9079432,1.0479207,1.2454631,1.2468562,0.68253005,0.9715412,1.1330886,0.6805385,1.2332633,1.0966692,0.9632945,1.1341006,1.1086177,0.6495192,0.6632899,0.96093273,1.2638941,1.1899114,0.8074573,1.2503638,0.883152,0.97307277,1.0948964,1.3096862,1.1201615,0.9911201,1.1174562,1.0784793,0.939685,0.97507465,1.1554687,1.1382395,1.2432549,0.97603935,1.0197697,0.9699978,1.0726888,0.9228447,1.0384724,0.8358862,1.0823672,0.6101706,0.56834936,1.0464514,1.0829968,0.83060694,1.0529592,0.8980243,0.8973077,1.0404077,1.179512,1.0680851,1.0980427,1.1153541,1.1695684,1.0662333,1.0359969,0.8914241,0.578511,0.84089166,1.1607132,1.1887208,0.9950462,0.75290227,1.2638346,1.2320515,0.67599994,1.206611,1.1625187,1.0615608,1.1684076,1.2953324,0.79788435,1.3119106,0.9527082,0.8633662,0.78707355,1.1651388,0.71018124,1.2254212,0.7994102,0.3088128,0.7497212,1.2034009,0.8449641,1.2560694,1.1076761,0.8050929,0.8921648,1.1748538,0.9970199,1.0919613,0.8591634,0.7398874,1.2186092,1.2219137,1.1477131,0.9927601,1.0363234,1.2893683,0.88169545,0.9888177,1.0231687,1.1399604,1.1782675,0.88185406
bed,1.2255969,1.3958242,1.2602334,0.4559788,1.3504659,1.4433413,1.2029631,1.126528,0.72860813,0.0,1.4035504,0.4052999,0.5398851,0.9130386,0.19944382,0.43656373,1.1519743,1.5007194,1.4732549,0.58909917,1.3944308,1.35567,1.1630651,1.4641347,0.9078315,1.2853644,0.85415757,0.59206474,0.7662213,1.3265374,0.76410013,1.253532,1.0294334,1.4256883,1.2682239,0.16324961,1.1352823,1.4860356,0.17494965,1.3379488,1.0568055,0.88707584,0.91106784,0.6043465,0.92855215,0.45708525,0.5042649,1.4812412,1.4567214,1.0448681,1.3939412,0.7723738,1.2457488,1.4460845,1.4674952,1.2316216,1.4820979,0.9072032,0.82365537,0.8857715,0.75375265,1.4943084,1.1304623,1.2668436,0.9159249,0.809206,0.9141774,1.1312714,1.0413845,0.904753,0.39397764,0.9220638,0.4480878,0.70972157,1.2564735,1.3526752,1.0114249,1.0573472,0.6867211,1.0448123,1.1557897,1.3986834,1.3756042,1.2711486,1.2413803,1.4311165,1.0386717,0.8073273,0.329818,0.57627326,0.661163,1.482261,1.4592208,1.3419971,0.4256456,1.2820241,1.3529456,1.1356784,1.0747631,1.0917156,0.73000944,1.2717073,1.3604527,0.8827063,1.4108812,0.8208663,0.7860726,0.4360429,0.9172563,0.5234225,1.2569487,0.6553551,1.0906849,0.4627781,1.5054514,1.1296289,1.3340839,0.95795065,1.289702,1.3361921,1.3162738,1.2538679,0.69689596,0.5650453,0.1963278,1.2662823,1.3692502,1.4363779,1.0545138,1.4547098,1.1298224,0.69103885,0.8267813,1.0810373,1.309012,1.4602425,1.0120078
