,alligator,apple,arm,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,butterfly,can,car,carrot,cat,chair,chips,clock,closet,coat,comb,cookie,corn,couch,cracker,crayon,crib,cup,deer,dish,dog,doll,door,drawer,dress,ear,egg,elephant,face,finger,fish,flower,foot,fork,frog,giraffe,glass,glasses,glove,gum,hair,hamburger,hand,hat,hose,jacket,jar,jeans,knife,ladder,lamp,meat,melon,milk,mitten,motorcycle,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pastry,pen,pencil,pickle,pillow,pizza,plant,plate,pony,pumpkin,purse,radio,refrigerator,rooster,sandwich,sauce,scarf,scissors,shirt,shoe,shorts,shovel,sink,slide,slipper,snow,soap,sock,soup,spoon,sprinkler,strawberry,stroller,sweater,swing,table,tape,toast,toe,tooth,toothbrush,towel,toy,tray,tree,truck,vacuum,watch,window
alligator,0.0,1.2019591,0.93793476,0.9185334,0.9377314,1.0187606,1.2272248,1.0318466,0.9632011,1.276756,1.033322,0.87600416,0.37165916,0.88107324,1.041613,0.84545416,1.2297248,1.270043,1.1151669,1.0528063,0.84051114,1.2299368,0.17788291,1.3346822,0.7047982,1.0876987,1.0752616,1.1397076,1.0367012,1.1205492,1.0116837,0.96761096,0.87538576,1.0620761,0.26810277,0.98796445,0.97905344,1.1128237,1.0674081,1.3053948,1.077537,1.0522575,0.99008495,1.2044742,0.9370332,1.2606254,0.9470274,1.0815969,1.1597002,1.0425045,0.891853,1.2421054,0.26046872,1.1513658,1.116558,1.2245278,0.21653748,1.1180396,0.879135,1.2268476,1.2363234,0.7650745,0.9130319,1.010262,1.1082933,1.1286635,0.85686344,0.98828673,0.99091816,0.99416405,1.1488706,0.98132515,1.2403879,1.0560988,0.9314955,0.90965885,0.8992895,0.7294931,1.0910485,1.2300038,1.2378494,1.3016766,1.1347942,1.1137948,1.029695,1.077127,0.94056165,1.0251266,1.0463237,0.95778,1.1920353,1.2046509,1.2252202,0.92634594,1.0788414,1.0647639,1.1751208,1.1865598,1.0865189,1.1034268,1.1665286,1.0464444,1.1452708,1.0501045,1.0676988,0.6646413,1.0997362,0.9550767,0.7590925,1.1243699,1.31246,1.1992006,1.0896958,1.2658929,0.83294624,1.2787688,1.0950513,1.1264324,1.2824795,1.1677122,1.248816,0.6462219,0.97774315,0.792746,0.9904168,1.1299188,1.035826,1.3002102,1.2677195,0.7833971,1.2247846,0.76385534,1.0638658,0.8650046,0.68095326,1.2229923,1.2132697,1.1509666
apple,1.2019591,0.0,1.4952009,0.60937214,0.7032693,0.5158728,0.9267576,1.3680978,1.549696,0.2900306,1.4483768,1.4356766,1.3450449,1.4998956,1.3788085,0.84400564,0.43350583,0.89642054,1.1507345,1.2029372,1.2385178,0.90826297,1.1219625,0.56999904,1.184021,0.48110044,1.161803,1.2376074,1.1180705,0.6675781,1.2466272,1.4595865,1.1024904,0.5775523,1.1483674,1.5013356,1.0776206,0.2294147,1.3951545,0.38266277,0.9770349,1.3216336,1.3589399,0.7710744,1.3364567,0.9716957,1.4399748,0.83286,0.34716058,1.2019967,1.24158,0.5048535,0.9987082,0.49105656,0.7675054,0.5736058,0.89957577,0.9062021,1.3489313,0.3500479,0.8586037,0.61964524,1.1572025,1.3481532,1.1588799,0.41709816,1.3286605,1.3900496,0.77513635,1.3179193,0.5501337,0.9856133,0.8057317,1.2404971,1.3750639,1.068571,1.3343146,1.2472476,0.96639407,0.18168265,0.6476434,0.39535034,0.78987837,0.34671926,1.3264457,1.2081635,1.4675555,1.3166852,0.75979006,1.1879895,0.3142866,0.2652607,0.89945984,1.2967306,0.95315963,0.6545672,0.99368197,0.8342861,1.1734278,1.210795,0.7518188,1.3357986,0.77174205,1.0835129,1.1578672,1.3075807,0.9338342,1.4125657,1.4370754,1.1167698,0.46051812,1.1237755,1.2816242,0.29324138,1.2320939,0.73843014,1.3194981,0.6429591,0.5293226,0.93092954,0.3749603,1.1852148,1.4759128,1.4209388,1.5646983,0.57700104,1.1888483,0.31961882,0.3690976,0.98908514,0.40744627,0.68318486,1.3431612,1.1679747,1.243185,0.8366128,0.31754863,1.1736989
arm,0.93793476,1.4952009,0.0,1.2513326,1.2139454,1.5135424,1.2972864,0.6600908,0.4655764,1.4866555,0.79469335,0.62253577,0.8163229,0.624165,0.7231699,1.2878441,1.4504213,1.3799493,1.0969855,1.0453432,0.7083221,1.2167044,0.99113625,1.4740496,0.935787,1.4243195,0.81888,0.8428514,1.094671,1.4280169,0.7100447,0.4438054,0.9202025,1.4604445,0.94745934,0.49727798,1.1900163,1.4926777,0.74118114,1.4937277,1.1952887,0.9501502,0.8207554,1.2679977,0.655136,1.100873,0.35384417,0.98200506,1.4199972,0.7384573,0.70247614,1.1438826,1.1450067,1.4243183,1.0584867,1.4727428,1.2301985,1.1265181,0.7378397,1.4473222,0.9914516,1.2716457,0.7657372,0.7941786,0.5422564,1.3594927,0.6576656,0.48645425,1.301379,0.47192687,1.4245713,1.0058895,1.2927424,1.0433599,0.6361582,1.1173421,0.5000129,0.91071844,1.1979045,1.3658501,1.434062,1.4097881,1.1643293,1.459132,0.88680756,0.88972193,0.32674706,0.52313924,1.2455509,0.8329556,1.4625231,1.4625101,0.9645438,0.8334148,1.1235653,1.3339698,1.2401866,1.2994587,0.7674797,1.0196853,1.4608126,0.71864945,1.3729643,0.8535469,1.0209919,0.72371745,1.1434295,0.4609549,0.73504657,0.7723694,1.5104674,1.0351382,0.73507875,1.4653583,0.76359236,1.3158408,0.4328543,1.4106972,1.5004684,1.1520025,1.3598347,1.0044703,0.34238875,0.59633434,0.6068917,1.4744123,0.95505095,1.325406,1.400034,0.7983953,1.5135274,1.2623497,0.92412925,0.8448137,0.8038884,1.2070847,1.3430628,0.8444171
ball,0.9185334,0.60937214,1.2513326,0.0,0.026121736,0.8171691,1.0604482,1.183104,1.2924836,0.905886,1.335737,1.2789593,1.121419,1.1956102,1.1198344,0.7589161,0.7987725,1.0034583,0.97497845,1.11274,1.0065053,0.8886355,0.9201866,0.9978649,1.1659693,0.7079692,1.3257127,1.2722614,0.9783297,0.816004,1.251729,1.2407428,0.9962979,0.80990314,0.96903473,1.3275092,1.0862452,0.79275316,1.2517748,0.77062774,0.98131037,1.1224583,1.2178599,0.9369055,1.2997303,1.1729224,1.2579305,0.8827123,0.61316246,1.0888577,1.1800508,0.8427647,0.90967536,0.87126136,1.0766346,0.99377143,0.7846453,1.0026677,1.0923977,0.9286463,0.99039066,0.5873413,1.0080831,1.1372323,1.09147,0.6828456,1.0553504,1.2082047,0.7442112,1.1861681,1.0055221,1.0543016,0.9365676,1.1367316,1.0864975,0.95557475,0.97149044,1.0985407,1.0614915,0.7114218,0.9784484,0.9305206,0.85425454,0.58289665,1.2696908,1.0788139,1.2356693,1.2353209,0.9961036,0.9189065,0.86215675,0.8451369,1.0628716,1.0378762,1.19749,0.92372024,1.1214288,0.96354616,0.97563154,1.097668,0.91933763,1.2894415,0.88862634,1.0815039,1.0412459,1.0855154,0.901073,1.2212294,1.0687096,1.2466598,0.8199292,1.1500478,1.0230995,0.8487021,1.1102833,0.8670626,1.0542277,0.89034224,0.81886446,0.8965108,0.8289834,1.127841,1.2352626,1.0591567,1.3172407,0.6183604,1.1508431,0.85670704,0.91574,0.98858654,0.9739989,0.3430602,1.1258701,1.0516388,1.0826342,0.9700055,0.85974646,1.2578528
balloon,0.9377314,0.7032693,1.2139454,0.026121736,0.0,0.8851967,1.0081247,1.1011597,1.2399509,0.97557116,1.2873291,1.2809298,1.1034285,1.1439276,1.0421484,0.734627,0.8130464,0.9646143,0.886985,1.0926063,0.9822584,0.822549,0.94224995,1.0152531,1.1769454,0.78725135,1.2967708,1.2272062,0.9768823,0.8439401,1.2158588,1.198023,0.9524459,0.8746753,0.9650124,1.2820598,1.0985458,0.86856055,1.1703448,0.79224885,0.9753513,1.070709,1.1957892,0.96736634,1.2498568,1.136898,1.245889,0.9060538,0.71647674,1.0687188,1.1980782,0.9041736,0.95071346,0.9179416,1.1265457,0.9970656,0.82153225,0.99361956,1.0422045,0.9920378,1.0025401,0.64786744,1.0165553,1.1057832,1.0897498,0.74832433,1.0345145,1.1964198,0.73542917,1.1755236,1.0498204,0.99735147,0.8939065,1.1020849,1.0796217,0.9758124,0.9428943,1.1144925,1.0648104,0.83666736,0.9525033,0.9956016,0.9013465,0.6578152,1.2433573,1.0714431,1.2249365,1.2209768,1.0252492,0.93565774,0.9241334,0.91646326,1.1021978,0.99412453,1.2093933,0.9427341,1.0900894,0.97472185,0.95302415,1.0575558,0.91327864,1.2216957,0.91138583,1.0795035,1.0069113,1.0521234,0.84852487,1.2116386,1.0329915,1.1922297,0.83937407,1.0676587,0.9540813,0.92265594,1.0914843,0.8668493,1.0132741,0.9111753,0.8257965,0.89215136,0.9136672,1.1832461,1.2103959,1.027806,1.2582569,0.63447565,1.1388732,0.94645673,1.0068834,0.9992442,0.9973015,0.36533606,1.063795,1.0234672,1.121342,0.91658473,0.9496098,1.1931449
banana,1.0187606,0.5158728,1.5135424,0.8171691,0.8851967,0.0,0.8756082,1.3675221,1.4971513,0.47525418,1.4006094,1.4738579,1.2516706,1.3662477,1.3002185,0.68652403,0.55828786,0.7414174,1.0184305,1.0069407,1.3378124,0.94822824,0.9360783,0.64741945,1.127344,0.4978165,1.2481087,1.1330891,0.92452645,0.68323505,1.2824228,1.446841,1.079835,0.45765638,1.0541413,1.4864659,0.82323766,0.38762885,1.3287672,0.51520514,0.9118587,1.1891522,1.2918382,0.8008312,1.3382568,1.0916911,1.4295367,1.1248987,0.5067235,1.2419524,1.2670612,0.7648456,0.83576655,0.569969,1.0046726,0.5717479,0.7671124,0.938711,1.3868077,0.54793835,1.0618962,0.72917634,1.2058938,1.1611239,1.2610555,0.6027783,1.3199002,1.417336,0.8595848,1.4181256,0.3848843,1.0375966,0.81380653,1.0796357,1.3209335,1.0169526,1.4653234,1.2186552,0.92480457,0.5823025,0.6195439,0.59697926,0.9065429,0.45013517,1.2224841,1.2626262,1.4787531,1.4142888,0.6993002,1.1182568,0.4244393,0.46045685,0.88860923,1.2648201,0.72597337,0.6374365,0.76346016,0.80326486,1.1969215,1.1601837,0.6095114,1.3500113,0.6860984,0.9713667,0.87594837,1.1800195,0.89142096,1.4267426,1.2626998,1.1801848,0.5101182,1.1399397,1.2676316,0.49243325,1.164833,0.77797335,1.3553834,0.4833609,0.54692876,0.96368104,0.56734407,1.1101415,1.4986354,1.4213521,1.4446642,0.61537176,1.0477655,0.68567425,0.5627194,1.1499135,0.4639988,0.77271366,1.2061906,1.1567042,1.1711638,0.89742756,0.6000557,1.2243226
basket,1.2272248,0.9267576,1.2972864,1.0604482,1.0081247,0.8756082,0.0,1.0504239,0.96119994,0.7346033,0.7827557,1.1285757,1.0399725,0.9767422,1.092947,0.7621303,0.60524833,0.8030758,0.6303264,1.2650181,1.1363995,0.44613934,1.2084241,0.48521614,0.9906465,1.1489033,0.937641,0.5166558,1.2373815,0.81726027,0.7988051,1.1207578,0.8549174,1.094181,1.1562785,0.9539386,1.2424512,0.8643263,0.43938416,0.52948105,0.9649976,1.1416211,1.043066,0.7341205,0.84500605,0.68274415,1.1846311,1.1355453,1.1677091,0.9980063,1.2342284,1.0679232,1.179542,0.7363241,1.0731058,0.5954719,1.0698186,0.9552835,1.1289071,0.78726417,0.9132492,1.0540733,1.1822572,1.354376,1.3166082,0.85584134,1.0605682,1.1701969,0.8672456,1.2420716,0.76943296,0.66496575,0.6327917,1.1561407,1.3051333,1.0268022,1.2474124,1.1323009,1.2081963,1.0477067,0.5882017,0.8774281,1.0971496,1.0382885,0.81530213,0.98735493,1.2308697,1.1656915,0.83031976,1.2316973,0.77755475,0.82758266,1.2235627,0.7834015,1.2558416,0.7151432,1.0148124,0.90338373,1.2227106,0.60185474,0.37178826,0.73736787,0.8611817,1.321604,1.1013594,1.1094941,0.8680438,1.1992512,1.103588,0.9179271,0.67404044,0.818493,1.1113133,0.8069084,1.0944237,0.7810947,1.0963658,0.8407473,0.722735,0.7754493,0.9618107,1.2115681,1.2218596,1.1538265,1.0654081,0.8289913,1.2329872,0.9751103,0.8760118,1.1903841,0.60497105,0.97358,1.1584306,1.0472612,1.2134452,0.46375597,0.9472101,0.7170282
bathtub,1.0318466,1.3680978,0.6600908,1.183104,1.1011597,1.3675221,1.0504239,0.0,0.53766656,1.3650837,0.7393656,0.9346151,0.9608458,0.6445762,0.3725074,1.1274786,1.1863619,0.8613274,0.8657055,1.1062874,0.7530557,0.9012437,1.0479543,1.3206961,0.8323498,1.3638493,0.88009804,0.76288843,1.1183659,1.2931409,0.824128,0.8295177,0.92496777,1.3521482,0.9443656,0.6130457,1.2289543,1.2963771,0.72205603,1.1944783,1.1205121,0.7320924,0.97167844,1.2601564,0.69544566,0.848563,0.8362393,1.1696775,1.3983636,0.9459502,0.9724075,1.2682126,1.0824167,1.3917277,1.2255907,1.1772246,1.1635759,1.0269971,0.6215943,1.3503188,1.2002136,1.269419,0.96454966,0.89969957,1.006946,1.3334866,0.71740115,0.82627666,1.0646057,0.84986526,1.1849267,0.8735583,0.98977363,1.021184,0.8084731,1.0903881,0.90691054,0.91278994,1.2707945,1.302357,1.0121063,1.4103658,1.175432,1.3419795,0.88578594,0.9938491,0.75911754,0.8663955,1.1433184,0.9182844,1.2819707,1.3600609,1.1364099,0.87727505,1.1825312,1.286552,0.8544418,1.265214,0.93169427,1.0554988,1.095433,0.6243932,1.3508465,1.1510209,1.026424,0.9156948,0.8568809,0.8038802,0.8134327,0.91310465,1.3270174,0.32383305,0.37371284,1.353101,0.6440558,1.1621462,0.8116319,1.1340698,1.2387921,1.0317901,1.3233092,1.1026452,0.77841663,0.64902425,0.5486678,1.0823429,1.1070915,1.3659244,1.363247,0.9299975,1.205432,1.1295067,0.70571434,0.71333766,0.95222527,1.032079,1.3661275,0.8089638
bed,0.9632011,1.549696,0.4655764,1.2924836,1.2399509,1.4971513,0.96119994,0.53766656,0.0,1.4856396,0.45090973,0.56366056,0.7104432,0.22276062,0.6118438,1.1826068,1.4563485,1.2222266,0.94996876,1.1356387,0.92814755,1.0993955,1.059356,1.31548,0.7725371,1.566563,0.69974834,0.55421627,1.1457936,1.2918906,0.53499115,0.5171335,0.99424064,1.5581048,0.9831027,0.2580396,1.3129542,1.5158484,0.27965462,1.4220614,1.0868397,0.8648573,0.73119205,1.1999567,0.531743,0.93959993,0.5049908,1.135096,1.5165745,0.8162145,0.81236345,1.4580475,1.115572,1.3651917,1.2404163,1.3791548,1.1999915,1.1137079,0.70646685,1.4278817,1.148815,1.4266701,0.8575289,0.92070526,1.0322249,1.3885183,0.6520222,0.5070739,1.2326133,0.6828679,1.3785222,0.7917962,1.2356026,1.0631685,0.71607035,1.1381104,0.7068523,0.8117906,1.2936885,1.469773,1.3227773,1.4900681,1.2670217,1.5458019,0.7892783,0.80882776,0.40208143,0.6912227,1.2922169,0.8426824,1.4929596,1.5194111,1.2440202,0.5078135,1.2385548,1.3229058,1.1395159,1.2212739,0.9299448,0.7851616,1.2196784,0.57996786,1.4009845,1.1888729,1.0768677,0.7428024,1.0044975,0.5260218,0.6167661,0.8760005,1.4621098,0.8662224,0.69063544,1.5000472,0.7171234,1.2973187,0.74290276,1.3920827,1.4451584,1.172666,1.4209244,0.92885983,0.4729058,0.39378452,0.24108493,1.3960738,1.1102046,1.513003,1.4454466,1.0796965,1.3909371,1.2169236,0.8596666,0.73984253,0.81889445,1.1052902,1.4464748,0.6331037
belt,1.276756,0.2900306,1.4866555,0.905886,0.97557116,0.47525418,0.7346033,1.3650837,1.4856396,0.0,1.29668,1.3882498,1.2825887,1.4537201,1.375533,0.80571425,0.5415043,0.84624875,1.12216,1.1899525,1.3408678,0.91988707,1.1691161,0.4170997,1.0800586,0.6230703,1.0023075,0.97387034,1.2235577,0.78569824,1.2060366,1.4554813,1.1143283,0.64112705,1.2214874,1.376905,1.1028501,0.19455224,1.2306617,0.42386472,0.9901593,1.3683934,1.3021048,0.8422635,1.2576494,0.7843581,1.4192898,0.8278065,0.51966894,1.2172197,1.2515957,0.53006095,0.9825474,0.4173423,0.6519609,0.31687206,0.9955626,1.005149,1.4571513,0.13627982,0.76831234,0.7567613,1.1761056,1.3855629,1.1795602,0.4566604,1.3289392,1.419652,0.95654863,1.1846511,0.37912905,0.8789859,0.7259004,1.1512716,1.4385762,1.1082153,1.4143786,1.2396536,0.9203034,0.3407364,0.62969285,0.28326583,0.821453,0.5317697,1.1913035,1.1529638,1.4440767,1.1903467,0.6880819,1.2980791,0.1556127,0.15231168,0.9223229,1.2444731,0.89702594,0.6047221,0.9276731,0.8284558,1.2324002,1.1451834,0.58727586,1.272298,0.7046796,1.1547712,1.2084621,1.3003962,1.0550462,1.3998162,1.4158566,0.97653925,0.3618462,1.0626878,1.3343481,0.127195,1.2205042,0.722137,1.3067597,0.53185606,0.51205814,0.97594,0.49211013,1.176363,1.4775265,1.4898951,1.5731015,0.7770773,1.1598939,0.2860458,0.23847878,1.0461673,0.26446593,0.94287467,1.3998969,1.2116137,1.2609209,0.68972397,0.18296409,1.0548267
