,alligator,apple,arm,ball,balloon,banana,basket,bathtub,bear,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,bucket,butterfly,can,car,carrot,cat,chair,clock,closet,coat,coffee,comb,corn,couch,cracker,crayon,crib,cup,deer,dish,dog,doll,door,drawer,dress,duck,ear,egg,elephant,eye,face,finger,fish,flower,fork,frog,giraffe,glass,glasses,glove,gum,hair,hand,hat,horse,hose,jacket,jeans,knife,ladder,lamp,meat,melon,mitten,motorcycle,mouth,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pen,pencil,penguin,pickle,pig,pillow,pizza,plant,plate,pumpkin,purse,radio,refrigerator,rooster,scarf,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,snow,soap,sock,spoon,sprinkler,stick,strawberry,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,vacuum,watch,window
alligator,0.0,0.89355737,1.0202813,1.0553343,1.1213403,0.95003587,0.9503555,1.0984879,1.0925927,1.0375283,0.8639381,0.9389904,1.0363002,0.4402231,1.0370255,0.9827676,0.82077074,1.1947557,1.1263127,0.8800633,0.97841924,1.0959407,0.64669186,1.0710357,1.1204273,1.1701045,1.0366731,1.0274274,0.98928875,1.1537573,1.1303021,0.79925984,1.0767938,0.9499172,1.0657029,0.57986164,1.0472963,1.0196705,1.1871812,1.0425128,0.94417554,0.94137454,0.8957798,1.1488283,1.0446534,1.1637657,0.76608074,1.0768496,1.07084,1.1083972,1.1050785,1.096764,1.0961605,0.4389444,0.9250481,0.8448819,0.72062874,1.0253651,1.1082057,1.1524583,1.0189631,1.0021186,1.0863196,1.1137034,1.1260984,0.968486,0.89909935,1.0714048,1.0602137,0.93167555,1.1941133,1.0701686,0.89053214,0.94309986,1.052652,1.0441269,1.069161,1.1302395,0.95540947,1.218748,1.1324512,1.0185381,1.0066682,0.86065733,1.1783876,1.0418282,0.86182094,1.0627015,1.058338,0.8045807,0.9234438,0.9460085,0.9620879,0.9235417,0.9718922,0.9973965,0.92542285,0.9749749,1.0068651,1.1664156,0.77163863,1.0726401,1.0116253,1.1406938,0.84155905,0.9926787,1.0583528,1.0997304,1.1171736,1.1090552,1.0222752,0.97093254,1.1065518,0.8835015,0.9004343,1.0360862,1.0847936,0.76010245,1.0395205,1.1435196,1.0126783,0.9556809,1.1123658,1.0613729,1.0110836,1.0159874,1.0141872,0.7996515,1.0649004,0.99822557,1.055326,1.1055038
apple,0.89355737,0.0,1.1289636,0.52736866,0.85445464,0.98129475,0.9297973,1.2832329,1.1648009,1.3612405,0.7960642,1.2280993,1.3054249,0.8938874,1.3224652,1.1307191,1.0830792,0.8131845,0.83943903,1.0505654,0.79258853,0.9049411,0.72048974,0.8746346,1.1361138,0.9588508,1.1149322,1.3584749,0.874708,1.2954216,1.1725495,0.8899117,1.2049721,0.8404707,1.3235829,0.9313418,0.75555027,1.3904165,0.8184291,0.9984252,0.97444564,1.1732599,1.0009412,1.1948342,1.2728505,1.0939039,0.9312079,0.83838576,0.5849461,1.1158721,0.8074721,1.0070745,0.7092678,0.75848645,0.7770679,1.0398768,0.85471636,1.2654861,0.9806102,0.8148183,1.1730428,0.5254394,1.0746049,1.065537,0.822618,1.0062308,0.9419814,1.3192098,1.2103157,1.2289224,1.1427375,0.94214463,0.968102,0.9783702,1.1510482,1.1812502,0.754632,0.65992075,1.0941734,0.8162319,0.8183671,0.49534416,1.0589914,1.1156365,1.2704792,1.1357098,1.2041984,0.8437235,0.85371464,0.97810566,0.71543324,1.1254072,1.1661998,1.0524106,0.7619397,1.0034701,0.8061993,1.1620474,0.84551215,1.2465262,0.97120494,1.2249557,1.1095114,1.291822,1.2275279,1.0860318,0.93159574,1.2421167,1.1289898,1.2561297,0.83199114,1.2649976,0.9217853,1.1360304,0.8869923,0.89975363,1.0081191,0.34027982,1.1986052,1.2551267,1.3503193,0.73639464,0.65313953,0.7467768,0.94047225,1.2025342,1.0626711,0.99629694,0.9414089,1.1914369,0.7773655,1.2199281
arm,1.0202813,1.1289636,0.0,0.9492866,1.0507193,0.89851105,1.2118316,0.86882544,0.9444719,0.6111052,1.2169185,0.7839588,0.57317245,1.1683664,0.63464403,1.0002574,0.9851025,1.4063346,1.3689172,1.0545318,0.8605801,1.3817027,1.3958714,1.4603515,1.3786776,0.9518161,0.98614126,0.6803682,1.3808855,0.9114492,0.888739,0.94942856,0.97635096,0.98560107,0.58838844,1.0841157,1.3688018,0.75116825,1.4102248,1.1720589,0.99267256,0.7428788,1.0899467,0.88715637,0.878151,0.8405354,1.115654,1.1447028,0.9661613,0.9766391,1.1670225,0.8230033,0.96056414,1.0836195,1.2326589,1.1288218,1.0235616,0.94751287,0.84009,1.2811859,0.6852541,1.1031224,0.75150853,0.39062405,1.3845913,0.9323613,1.1018096,0.7458993,0.6434058,0.7194755,1.2541944,1.3734236,1.0530705,0.7803865,0.5918537,0.88056135,1.0418539,1.2728467,1.1322042,1.0924664,0.783316,1.0044667,1.1004515,1.0275145,0.49756348,0.7966182,0.7123097,1.3127632,1.2107054,1.2433158,0.96784186,0.88678235,1.0080758,0.9917692,1.4221139,1.0443656,0.9422738,1.0610852,1.3866732,1.0500939,1.2468585,0.7490245,0.99619865,0.6325615,0.952474,0.61019516,1.3366431,0.8262073,0.9651029,0.81058514,1.3543673,0.93436086,1.2747424,0.7307193,1.1949375,1.3672194,1.244097,0.94834226,0.9244082,0.6230575,0.7608477,1.3727161,0.9411051,1.1645664,1.207329,1.024801,0.99304545,0.9375309,1.042406,1.0704901,1.318329,0.83055514
ball,1.0553343,0.52736866,0.9492866,0.0,0.40297538,0.86448777,1.0196398,1.1237,1.0490826,1.160759,1.0754858,1.1452295,0.98562574,1.0140183,1.1254907,0.9839172,1.0768387,0.98712873,0.8150165,1.0735356,0.82893014,0.9494557,1.0473585,1.148537,1.1511989,1.0704384,1.1206945,1.2021083,1.0095739,1.1246932,1.0277247,0.9559436,1.1102892,1.0181422,1.1458594,1.0726243,1.0037141,1.2485534,0.8889494,1.1329639,0.74734926,1.0774884,1.0181199,1.1759531,1.1958346,0.93012625,1.033613,1.0292993,0.29107726,1.0255018,0.9880067,0.9262229,0.9226317,0.85865223,0.9766444,1.1079687,0.8042401,1.1978209,0.8649442,1.049019,0.9999589,0.6723738,0.9785857,0.94633317,0.8534146,1.0836465,0.9864701,1.1798,1.0978168,1.0401839,1.193515,1.0366156,1.0025775,0.8293303,0.9116619,1.0339087,0.9508266,0.7574569,1.1145176,1.0016673,0.8174197,0.4242059,1.2603029,1.0583807,1.0102974,1.0864587,1.0045701,1.0748353,1.0567353,1.0645348,0.77120435,1.0509316,1.1400942,0.88972586,1.1115304,0.78575575,0.807463,1.1826354,1.1068821,1.2646669,1.122461,1.1428597,1.0068789,1.080005,1.0201976,0.9353876,1.106708,1.0850513,0.94419205,0.94738847,1.0404849,1.0937554,0.9441296,1.0242844,0.9094693,0.992891,1.1165468,0.83976793,1.0207428,1.1116325,1.1112382,0.8627208,0.7262291,0.96161115,0.95946264,1.1451529,0.83120453,1.0394574,1.0828825,1.2230554,1.0646675,1.1464881
balloon,1.1213403,0.85445464,1.0507193,0.40297538,0.0,0.89743054,0.92592096,0.88650954,0.99773747,0.9054538,1.1744962,0.9924887,0.74609625,1.1749362,0.75603676,0.762783,0.9903313,1.0904845,0.7737324,0.8836353,0.9674399,0.74829876,1.070019,1.0773336,0.9209213,1.0351667,1.0488179,0.9185767,1.0431716,0.9744442,0.89814997,1.01802,1.0352111,0.98477805,1.0376818,1.1938299,1.1761125,0.97197986,0.9235737,1.1420712,0.7706972,1.0536845,0.9882233,1.0500062,1.0580257,0.8679198,1.1650519,1.0804474,0.5869757,0.9900658,1.2378471,1.1290246,1.1641116,1.0463295,1.0208744,1.1157669,0.91784984,1.022503,0.8876632,1.2734592,0.85830116,1.0369861,1.074524,1.0666553,0.7796292,1.2108088,0.91531926,1.0406048,0.98869544,1.0903366,0.99858403,0.9221174,1.0752854,0.8920836,0.7811037,1.0063492,1.1418649,1.0497134,0.8722175,1.0914671,1.1030258,0.60608685,1.2119973,0.9055452,0.81723666,1.0279816,0.972479,1.2242349,1.2535375,1.1691002,0.8342283,1.1161542,0.74539626,0.84119576,1.2051964,0.83964086,1.0101714,0.89745915,1.066062,1.040498,1.2708552,0.9923577,0.9921018,1.0055466,0.8492438,1.0589279,1.0541223,1.030862,0.8185564,0.8424207,1.0712125,0.9641417,0.9617028,0.9284073,0.95305693,1.0723187,1.0467614,1.0511682,0.9761113,1.0533695,0.94956726,0.9785041,1.0556343,1.2154379,1.0939937,0.8245322,0.77575177,1.1448241,1.0405482,1.0253348,1.2312161,1.0100749
banana,0.95003587,0.98129475,0.89851105,0.86448777,0.89743054,0.0,0.8414042,0.9286336,0.8070636,1.0688465,1.1358833,1.0169556,0.9375401,1.1655458,1.0067866,0.8591614,0.99958736,1.2067723,0.93958735,0.87100667,0.6759869,0.8127832,1.1875345,1.126663,1.1223644,0.951918,1.0701183,1.0676217,1.20406,0.9620526,1.1590275,0.97223824,0.84351784,0.59232664,1.1009543,0.8675605,1.1822487,1.0425615,1.1079551,1.180137,0.9571123,1.0068392,0.9357601,1.1001316,0.95942456,0.98529345,0.9818271,1.136815,0.84675586,0.9066797,1.2050415,1.0400705,1.0877063,0.9225768,1.0211997,1.0826043,0.71035457,0.9508384,0.8596301,1.2796454,0.85578716,0.85620993,1.0791595,0.88992316,1.0042875,1.1658751,1.0502336,1.0323102,0.9707924,0.86154354,1.2016143,1.2730198,0.98932487,0.36588842,0.8147412,1.0954344,1.0212159,1.2307307,1.0646384,1.1314746,1.0241736,0.8878423,1.0296375,0.8890143,0.9608455,1.0844768,0.96104276,1.2377377,1.1933059,1.0685661,0.3207184,0.9902622,1.2140024,0.91339374,1.2527602,0.8766833,0.75355947,1.0953872,1.250052,1.1298797,1.2030298,1.010271,0.877281,1.0682621,0.8706938,0.8789421,0.997453,1.0178789,0.8659804,0.7579608,1.1764147,0.8930311,1.1331675,0.84085536,1.092308,1.2107108,0.99703676,1.0461615,0.9542934,1.0429925,1.0022655,1.0088369,1.0981783,1.2238687,0.93707174,1.1506617,0.8090583,0.7810216,1.0705068,1.0957695,1.265543,1.147362
basket,0.9503555,0.9297973,1.2118316,1.0196398,0.92592096,0.8414042,0.0,1.3156,1.1126713,1.1259515,0.8621907,1.027904,1.1141644,1.13128,1.0538864,0.97852683,0.7954694,0.9642139,0.9017653,0.6681335,0.88510877,0.6037653,0.82580423,0.6868121,1.0215844,1.0353274,1.2386335,1.0076407,0.9588865,1.2419863,1.1669579,0.84128404,0.84155536,0.77319294,1.2526336,0.90390307,0.88602805,0.8512788,0.83347654,1.1291096,1.0782077,1.2225276,0.8074572,1.1385504,1.0058637,1.2303761,0.92424345,0.9722256,0.9409563,1.1837113,0.99673593,1.2241567,0.8862554,0.9494746,0.79383373,0.99111617,0.7695098,1.1425785,0.82121366,0.98313105,0.82583106,0.7218085,1.203336,0.9813719,0.78915024,0.9782407,0.9815094,1.1852257,1.0858662,1.0848812,0.9674254,1.0977702,1.0976413,0.9080582,0.9181963,1.1070454,0.8615217,1.0360819,0.88602674,0.96596456,1.0399188,1.0183237,0.82595956,1.0343326,1.0900323,1.2079844,1.0838295,0.9718507,0.95923847,1.0348797,0.8614008,1.134286,0.8464421,1.0249934,0.82569945,1.2446631,0.92091846,0.94750804,0.87691253,1.1051171,1.0634425,1.0943531,0.73120886,1.3182714,0.7350818,0.99764746,0.9934271,1.1248057,1.2634885,1.167993,0.8238864,1.0353593,0.9879605,0.7872659,1.0427504,0.94312197,1.002897,0.9705684,0.6957231,1.2078738,0.9030442,0.83335227,0.96527845,0.96602315,0.83001214,0.9234604,0.45163298,0.946355,1.2644644,0.90035164,0.88418025,1.1614406
bathtub,1.0984879,1.2832329,0.86882544,1.1237,0.88650954,0.9286336,1.3156,0.0,0.96276945,0.63991094,1.3517802,0.5857805,0.8801044,1.1364788,0.8265526,0.72162,0.8539964,1.247967,0.9037719,0.80298424,1.1825516,1.0936213,1.2848618,1.2382772,0.9715309,0.97637343,0.923989,0.5832765,1.2060349,0.5242976,1.0098397,0.89493966,0.9035237,1.207278,0.69318604,1.2549946,1.4166851,0.58337104,1.2621949,1.1679474,0.8952998,0.9561684,1.1848689,0.6194668,0.47638166,0.89729434,1.2406639,1.2677486,1.0678676,0.9946062,1.3588924,0.9694383,1.3946362,1.28042,1.2698243,1.0131649,1.1104674,0.78307337,0.98345435,1.4088595,1.0645885,1.3911351,0.94367933,0.98195624,1.3602762,1.2895508,0.8782545,0.8333913,0.86126506,0.71236575,0.9290575,0.9636662,1.1108123,0.7939025,0.99566185,0.82163596,1.2948766,1.4193438,1.1319369,1.3444209,1.1591283,1.0565472,0.88090366,1.0968535,0.9106309,0.78945506,0.7168968,1.3024086,1.2694683,1.1976346,0.8822843,1.0108072,1.0804464,0.95430124,1.3769218,0.58133686,1.1929505,1.1225808,1.1857129,0.6030636,1.2337279,1.0150269,0.9944396,0.8219037,1.084917,0.92937434,1.1086515,0.41202193,0.16747153,0.5479157,1.3710766,0.9941218,0.9744427,1.0141327,0.97267276,1.2065996,1.0512216,1.1076638,0.9271309,0.7915756,0.6632644,1.3062954,1.4030224,1.3880754,1.1818706,1.088305,1.0662373,0.94618416,0.86126006,0.76020455,1.4149044,0.68563116
bear,1.0925927,1.1648009,0.9444719,1.0490826,0.99773747,0.8070636,1.1126713,0.96276945,0.0,0.89632744,1.0980684,1.0885969,0.8241216,1.1005319,0.825998,0.68771255,1.0774435,1.2325087,1.1160733,1.1212096,0.7835019,1.1175328,1.1637592,1.2530885,0.9207045,0.96102434,0.51376486,1.0586371,1.1348994,0.9010388,1.0626689,1.2279153,0.7111182,0.81282365,0.95601255,1.1431803,1.2515689,0.97424483,1.2359399,1.1152142,0.8418244,0.8094934,1.1916047,1.1311438,1.1104466,0.8534657,1.1570745,1.2424021,1.1296217,0.121530354,1.1808908,1.0783756,1.1733469,1.2064654,1.1153387,1.1300523,0.9717517,0.5769555,0.8195974,1.2029127,1.030794,1.2998644,1.1105533,0.9863772,1.0522125,0.85090524,0.99201584,0.860994,0.9230587,0.7554845,1.150976,1.1186128,0.768786,0.9004557,0.8972477,0.9930821,1.155769,1.1969892,1.290808,1.1762774,1.128818,1.1426886,1.2004344,0.24392343,0.840165,0.95159256,0.91597474,1.21043,1.2251998,1.1202557,0.98565805,0.9185368,1.2090553,0.8142357,1.2509524,0.8919518,0.9705447,1.0333465,1.2203306,1.0312121,1.2325519,0.6776051,1.0879288,0.91082287,1.0512149,1.1280845,0.95313996,1.0156176,0.97802275,0.723685,1.2394772,0.7429565,1.2544785,1.0396521,1.2323071,1.0961258,0.9925829,1.1970031,1.092915,0.93576247,0.9278933,1.1715761,1.2686172,1.2507297,1.187176,1.2401823,0.9687933,0.89612836,0.75080895,1.2313366,1.2297845,1.0147545
bed,1.0375283,1.3612405,0.6111052,1.160759,0.9054538,1.0688465,1.1259515,0.63991094,0.89632744,0.0,1.3522198,0.40909845,0.46800172,1.0573606,0.20716584,0.7871285,0.7662535,1.4870653,1.3357487,0.6897889,1.0744853,1.2206825,1.3527985,1.3611757,1.2270663,1.049914,0.9158523,0.30671066,1.3125341,0.51477826,0.74377257,1.0142266,0.91536343,1.2961546,0.19920784,1.2366534,1.514706,0.31866944,1.5122918,1.2191211,0.9440687,0.7038396,1.0863441,0.6749679,0.62740755,0.7902402,1.1898718,1.4423535,1.2252468,1.0033301,1.3695557,0.8511658,1.3983456,1.1803856,1.2427475,1.2995985,0.9678156,0.67967206,1.0319976,1.4261744,0.680268,1.4903338,0.8700132,0.90029496,1.3753355,1.1147833,1.2138844,0.46250522,0.56127334,0.78502774,1.0930899,1.3484875,0.9987758,0.9222461,0.6344939,0.64538026,1.2928199,1.4431612,1.0856897,1.388321,1.1119082,1.2018335,1.0703592,1.005278,0.4684198,0.86957437,0.6067487,1.4064262,1.3228104,1.1391001,1.0782374,0.9710915,0.74198604,0.8813049,1.4520506,1.0166361,1.1022222,0.9311956,1.3581975,0.77039826,1.2566226,0.8586832,1.0631971,0.48009562,0.7804752,0.90707016,1.26807,0.6171458,0.915194,0.6480898,1.5344121,0.69026065,1.3432639,0.80590516,1.2501999,1.4723201,1.1719195,1.1198517,0.7924365,0.5279268,0.4145367,1.4642897,1.4225569,1.3959961,1.4068099,0.80890644,0.81217587,1.0969878,0.9566798,0.8727069,1.4382521,0.6167987
