,alligator,ankle,apple,applesauce,arm,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,butterfly,can,car,carrot,cat,chair,chips,clock,closet,coffee,comb,cookie,corn,couch,cracker,crayon,crib,cup,deer,dish,dog,doll,door,drawer,dress,egg,elephant,face,finger,fish,flower,foot,fork,frog,glass,glasses,glove,grass,gum,hair,hamburger,hand,hat,helicopter,horse,hose,jacket,jar,jeans,knife,ladder,lamp,melon,milk,mitten,motorcycle,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pen,pencil,pickle,pig,pillow,pizza,plant,plate,pony,pumpkin,purse,radio,raisin,refrigerator,rooster,sandwich,scarf,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,snow,soap,sock,soup,spoon,sprinkler,strawberry,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,vacuum,watch,window,zebra
alligator,0.0,1.0169249,1.1613706,0.87657773,0.7736099,1.031178,1.2533911,1.0751112,1.1512649,0.8013804,0.5936605,1.3708586,0.8686522,0.85907066,0.9621479,0.4217906,0.9845982,0.9890222,1.277337,1.1101156,0.8871215,1.2653866,1.1272689,1.0749372,1.0109547,1.3291682,1.0277754,1.2907975,0.7403139,0.8936428,1.0489522,1.2477155,0.859674,1.0903829,1.0345962,1.0077368,1.1868815,0.626864,1.1025138,1.4351335,0.71086454,1.2403926,0.92338765,1.0524,0.4261843,0.5488744,1.0863504,0.9850118,0.80207473,1.3110553,1.0017631,0.7760165,1.2447332,0.8741473,1.04848,0.95843804,1.2974842,0.5772388,0.81506085,1.2389964,0.587345,1.0967302,1.1605924,0.92234373,0.92294526,0.92860293,1.0768461,0.9972193,0.8456329,0.93965214,0.7052169,1.1656861,0.67611647,1.3726997,0.84650564,1.372757,0.99125916,0.91259116,0.45437664,0.8613166,0.8719214,1.3169156,0.8604516,1.3558948,1.0257168,1.2615227,0.9516772,1.0782163,0.7033284,0.78819954,0.9128258,1.4435599,1.3722241,1.2378343,0.80917716,1.0924064,1.2512598,1.0150363,1.1555399,0.8528327,1.3533807,0.84079194,1.2654446,1.2860204,1.0419862,1.2187922,1.2237986,0.9530456,1.058491,0.8144323,0.84676373,1.0601928,1.1702482,0.89653766,0.9865354,0.81355596,1.2552267,1.0096712,1.2971764,0.902224,0.9411719,1.2634792,0.87676394,1.0928783,0.6235069,0.88931733,0.7826668,1.2567264,1.199086,1.2676265,1.0837526,0.83853203,0.870944,1.0200886,0.99682164,1.2183598,1.3414216,1.0865753,1.0898082
ankle,1.0169249,0.0,1.1724684,0.95625436,0.71263355,1.2083687,1.3308104,1.0963159,1.0644777,0.9494747,0.8568425,1.0784491,0.9159789,0.9169731,1.1993141,0.8972795,1.0207411,1.0899514,1.2623382,1.2254592,0.9247687,0.95866454,0.9104047,1.05953,1.071916,1.0558665,1.120038,0.7343185,0.835922,0.83809936,1.0421411,1.3540334,1.0840327,0.9383762,1.0858032,1.0837834,0.97060394,0.91139734,0.9767207,1.1501478,0.9577189,1.2483017,1.1543386,1.0493747,1.0263149,0.99799615,1.1147567,1.0209004,0.7821753,1.1479769,1.2006699,1.0588129,0.5790324,1.2595787,1.3118055,0.25078773,1.0598364,1.2107329,1.0756116,0.87509537,0.7664915,1.1792963,1.0580181,0.8498169,0.9901992,0.61043805,1.0489706,1.1794806,1.1499271,1.0122126,0.89318615,1.1671543,0.71615463,0.95413107,1.0135225,1.185744,0.7936113,1.1767689,0.8825155,0.917462,0.9288911,1.0926133,0.9752405,0.6609428,0.9074404,1.1084163,1.0883148,1.0379685,0.8120253,0.693298,0.9483126,1.0673925,0.9841661,0.9159175,1.2686207,1.0213728,1.0944264,1.2195792,1.2499096,1.2230468,0.9294368,1.0611674,1.1439074,0.8031157,1.096385,1.0656624,0.7594687,0.9728865,1.0195358,0.6906437,0.966334,0.5606664,0.94891703,1.1254652,1.1172881,1.0738932,0.9949348,1.1554034,1.2024002,0.35472727,1.1032834,1.0118306,0.95148647,1.2058156,1.0189418,0.86647165,0.99483514,1.1324294,0.5352338,0.8617203,0.97589844,0.9740298,1.155474,1.0653846,1.1577775,1.1465747,0.8133017,1.21162,1.125473
apple,1.1613706,1.1724684,0.0,1.1000098,1.352448,0.22393,0.4788921,0.6882291,1.1197717,1.4463603,1.4986284,0.81782615,1.3212037,1.2893908,0.64173627,1.43678,1.2820194,1.0920565,0.6751146,0.8694037,1.2644804,0.69878244,1.1113398,0.9412638,0.90821755,0.90444183,1.2652979,0.7210051,1.2221389,1.3620744,0.9359828,0.6497967,1.3533804,0.76497626,1.1768552,0.6815107,0.94660175,1.3936894,0.7114657,0.6731714,1.4972547,0.68085617,0.8881593,0.845996,0.9286672,0.983383,1.3128755,1.2466967,1.3536865,0.31455374,1.1418941,1.0114481,0.7210358,0.69339633,0.8136902,1.0828649,0.9390645,0.6705483,1.1526837,0.8218421,1.0386875,1.1887972,0.592885,1.1901754,1.0987704,1.1504,0.7444245,1.1093335,0.8683467,1.2094705,1.3601832,0.9059982,1.4019055,0.9687855,1.3177013,0.8692055,0.8681703,1.0377357,1.1344894,1.3857954,1.2529433,0.5357837,1.1079367,0.9157933,0.8889637,0.32992852,1.4261435,0.76395345,1.3900476,1.422837,1.2224008,0.78465277,0.8423093,0.74589014,0.82799935,0.83198416,0.7205605,0.8858868,0.77697283,0.8162545,0.6608416,1.0881244,0.89164966,0.66671175,1.3347228,0.7560566,0.93866813,1.2377956,1.126807,1.3723525,0.9347275,1.2805898,1.0411813,1.27897,1.3268743,1.2024775,0.6426941,1.1841462,0.62385094,1.0877292,1.1176573,0.9265684,1.1033882,0.32830942,1.2774345,1.3026677,1.3511009,0.54869735,0.7654801,0.7287709,1.0961751,1.0881643,0.57022536,1.17727,1.0697417,0.96321785,0.81790125,1.2306373,1.1494355
applesauce,0.87657773,0.95625436,1.1000098,0.0,0.62993383,1.0560583,1.3679003,1.0846337,1.1359553,0.6944103,0.74009484,1.4898545,1.0554947,0.4636879,1.1832771,0.712276,1.1182649,0.8323833,1.2817211,1.0280277,0.8058218,1.0804317,1.302888,1.0735989,1.1273586,1.4483798,1.0876641,1.0862731,1.0455606,1.0461123,0.867779,1.2761178,0.9038502,1.0319018,1.0036758,0.9937681,1.2576455,0.86282074,0.943213,1.4293199,0.79346657,1.3253562,1.0639238,0.9799751,1.1549981,0.6490473,1.1187469,1.1689669,0.61353433,1.1557817,1.0564882,0.7341885,0.9159891,1.3048787,1.0440512,1.0263629,1.0563735,1.1012286,0.52546203,1.1332419,0.7348969,1.1120292,0.8012525,0.79985833,0.8912024,0.47411066,1.2435305,1.0662767,1.1632503,0.9958779,0.7951846,0.92236716,0.74201274,1.2932678,0.96056044,1.4158924,0.7976939,0.8710457,0.66345084,0.9018462,0.86233985,1.2095444,1.0794429,1.1841383,0.8203118,1.1394769,1.0048383,1.0065837,0.6419852,0.844566,0.8510848,1.449198,1.202061,1.2214432,1.1711085,1.3279016,1.1597769,1.1128776,1.0614966,1.1410999,1.3046982,1.0102983,1.2865493,1.057478,1.0335741,1.1968309,0.83920145,0.7388717,1.0547123,0.70027316,1.1320473,1.0182663,1.2180537,0.765237,0.98636276,0.8116381,1.3500767,0.900929,1.2946849,0.921847,0.7726821,1.0491724,1.1691658,1.1175747,0.95344967,0.70324934,0.6912981,1.3349172,1.0265908,1.1319242,0.7070879,1.1558155,0.97859925,0.8754925,0.98322904,1.4177561,1.2109988,1.1540308,1.1549313
arm,0.7736099,0.71263355,1.352448,0.62993383,0.0,1.2506461,1.4909508,1.3064405,1.3206747,0.40605652,0.47194332,1.444516,0.7799729,0.5714364,1.3672214,0.5546591,0.93816656,0.8683661,1.4747319,1.1442729,0.735836,1.3193433,1.1528529,1.1935164,1.0982797,1.449039,0.93786716,1.2018774,1.0081203,0.85051,1.0359019,1.4486138,0.7314563,1.1672289,0.9073413,1.2063831,1.2708548,0.6917245,1.1630332,1.5332558,0.5547608,1.4579781,1.1342919,1.1504903,1.2724165,0.879602,0.93426955,0.95076793,0.4442672,1.3724704,1.0458018,0.8754993,0.97259563,1.329026,1.2078041,0.85515624,1.1326586,1.2863898,0.5419208,1.200711,0.88368607,1.0055189,1.2015661,0.7028298,0.8107121,0.35877204,1.4544513,1.0115454,1.2647054,0.6819927,0.78339994,1.1191792,0.42648238,1.3532563,0.751638,1.4324956,0.8613952,0.97404945,0.58421576,0.75281596,0.9962989,1.3494751,1.0405749,1.1976488,0.979412,1.3639271,0.6354986,1.3553326,0.4027611,0.5198897,0.58007973,1.5064964,1.2478979,1.321923,1.246834,1.5416502,1.3497844,1.2001218,1.267489,1.2635126,1.4024277,1.163011,1.4277049,1.1974571,0.8501979,1.4601735,1.0040157,0.73491544,1.0891362,0.37787223,1.292095,0.78933895,1.2301955,0.61150247,0.7300401,0.70473397,1.5569694,0.8294673,1.4832604,0.64320457,0.79287654,1.2215589,1.1498017,1.266489,0.88024324,0.58943343,0.34250224,1.5460999,1.0563875,1.329737,0.7213181,1.1679524,1.3152275,0.8759564,0.76506424,1.3468587,1.3316225,1.0541768,0.99430215
ball,1.031178,1.2083687,0.22393,1.0560583,1.2506461,0.0,0.47474635,0.899871,1.0641991,1.248548,1.3437663,0.94281447,1.1864369,1.2293586,0.75455916,1.274338,1.223935,1.0098094,0.7545731,0.7678456,1.129648,0.8962083,1.1306347,0.8087208,0.9664335,0.9882505,1.1572562,0.9179852,1.2322258,1.2714432,1.0238452,0.6146351,1.3053969,0.88662773,1.0256469,0.54985917,1.0539113,1.2746642,0.8314574,0.8083577,1.3202374,0.68194693,0.92556226,0.8240208,0.9585606,0.9111727,1.2877976,1.1630424,1.258297,0.38477862,1.1213471,1.0168091,0.8562715,0.84922355,1.0225772,1.1438112,0.9998217,0.72649074,1.029379,0.9670145,0.9830433,1.1399239,0.61390525,1.2022498,1.0698148,1.1198254,0.7890848,1.0914828,0.92416716,1.0921309,1.2820749,0.8871068,1.2817867,1.0517784,1.2066257,0.8627612,0.9230838,0.8797618,0.9671672,1.3143165,1.2707243,0.681055,1.0763239,1.0832037,0.82884026,0.45471746,1.3498313,0.86995447,1.260612,1.3611851,1.1114504,0.9221268,0.91697085,0.97249466,0.8273066,0.8907646,0.90118533,1.0179538,0.8032786,0.85983557,0.8026184,0.9986029,0.9284626,0.7795392,1.2586823,0.9361499,1.0738444,1.2297759,1.0310313,1.2802205,0.7994081,1.2764578,1.0301914,1.1991454,1.1896996,1.0028328,0.7394569,1.0852959,0.7856499,1.1110814,1.1387209,1.0154489,1.0192126,0.59579605,1.1865575,1.2059582,1.1913899,0.52427256,0.89106274,0.84753585,1.041516,1.0313313,0.40198374,1.1268489,1.1312169,0.9508058,0.959526,1.2436272,1.1232417
balloon,1.2533911,1.3308104,0.4788921,1.3679003,1.4909508,0.47474635,0.0,0.8683201,0.94823104,1.5038482,1.4986414,0.5015846,1.2647418,1.3573673,0.6499865,1.4453135,1.1245334,1.1804805,0.36968327,0.7862487,1.3823211,0.7347913,1.0005552,0.88573486,0.964152,0.5207062,1.1707557,0.86186755,1.1883361,1.2587487,1.0720043,0.20576143,1.2880104,0.8782469,1.1303248,0.8983142,0.7705175,1.3621441,1.005606,0.4282344,1.4673219,0.4109931,0.96825147,0.8913019,0.9801564,1.2789878,1.0816442,1.140216,1.4510351,0.27326977,1.0110227,1.1332668,0.94561565,0.53538597,0.8415665,1.1848954,0.8627265,0.86567056,1.2713087,0.758809,1.2130982,1.0070696,0.804374,1.2547262,1.2203087,1.4046426,0.5093255,1.1371932,0.91673386,1.2537878,1.4045112,0.82355607,1.4579529,0.81622076,1.2918811,0.42032325,1.1352985,1.0203824,1.3835868,1.2929256,1.237856,0.41513944,1.1229248,0.84782624,0.97070783,0.38634473,1.3210027,0.8725066,1.4504657,1.4084363,1.3075008,0.4584756,0.72338444,0.7975931,0.8307121,0.51870286,0.67742556,0.8790653,0.7158264,0.88362426,0.55548024,1.0550643,0.6867422,0.855838,1.1693037,0.6353117,0.99712837,1.2785611,1.0864663,1.4356921,0.95468897,1.189163,0.87009627,1.3310724,1.1384888,1.2592125,0.49060446,1.1372174,0.36034274,1.2892365,1.2310061,0.8728888,0.98048574,0.66745645,1.2467233,1.347395,1.4283742,0.387587,0.89655274,0.7678735,1.1110159,0.9774717,0.8024703,1.2316635,1.1563697,0.6381649,0.7542578,0.8461298,1.0223645
banana,1.0751112,1.0963159,0.6882291,1.0846337,1.3064405,0.899871,0.8683201,0.0,0.9104266,1.3405316,1.3855124,0.89854187,1.2152348,1.2042216,0.68300027,1.2874253,1.217587,0.89428604,0.8263459,0.8970189,1.0895238,0.6919413,1.0218768,0.9989182,0.79862833,0.98939687,1.1814264,0.82965475,1.1880603,1.315517,0.6525609,0.8707055,1.3076032,0.88623124,1.036956,0.932821,0.9252891,1.2757739,0.5352738,0.74495804,1.3581378,0.8971494,0.9055325,0.7542292,0.93929005,1.0515376,1.1994355,1.1461807,1.3045332,0.7738085,1.2002335,1.0270272,0.9887396,0.83416134,0.79921156,1.0141592,0.75496304,0.5935605,1.1051013,0.9537936,0.9438817,1.1361232,0.62407845,1.1996166,0.8881295,1.1751347,0.9501556,1.0571787,0.8791695,1.1759341,1.2270284,0.8188621,1.2984368,0.79013044,1.2406093,0.9872777,0.89388984,0.9436301,1.1972343,1.1670358,1.0376239,0.9587021,0.7954595,1.018444,1.1451426,0.7193939,1.315752,0.773722,1.3223299,1.2838165,1.1405642,0.8575207,0.8410065,0.67706454,0.8706265,0.9246696,0.721029,0.8910613,0.6424001,0.87146956,0.92418396,0.98651856,0.9262728,0.89745724,1.183739,0.8023606,0.92211425,1.183178,0.9146451,1.3398438,0.9405638,1.2290356,0.9414607,1.2601807,1.2497605,1.1877924,0.82390034,1.1703682,0.7836855,1.1467857,0.87129104,0.75937533,0.9902626,0.7263909,1.1752193,1.2975516,1.2740352,0.7560763,0.9872472,0.77269495,1.0182852,0.824446,0.7526113,0.8389354,1.0799623,0.9824412,0.9655771,1.1667482,1.1043676
basket,1.1512649,1.0644777,1.1197717,1.1359553,1.3206747,1.0641991,0.94823104,0.9104266,0.0,1.0414069,1.0316137,0.92362654,0.8033361,1.2107658,0.9446293,1.0542256,0.9853681,0.79631203,0.76926756,0.60125226,0.7096774,0.848407,0.71450156,0.651842,1.0274372,0.7663307,1.0060483,1.1908911,1.1505958,0.76146364,0.96903485,0.79610336,1.0456138,1.0579773,0.883176,0.93282914,1.0043657,0.9305986,1.0023563,0.81015253,0.8637235,0.7458774,1.1171479,0.8602421,1.0648862,1.0826814,0.9807442,0.7581938,1.2560399,1.0325688,1.1640967,1.168647,1.2080326,1.0624253,0.9427166,1.1175419,0.6697228,1.0405267,1.1265849,1.1194625,1.0965873,1.0399412,0.9095271,1.3061323,1.1009026,1.2936168,1.00493,0.91298866,1.08957,1.0158939,1.073139,0.74246585,1.3192292,0.6035962,0.802786,0.80557686,1.2206665,0.88659835,1.229254,1.0399572,0.9311357,1.0888338,0.77945983,1.1883385,1.2378352,1.0198323,1.0126258,0.99906325,1.2429557,1.276697,1.0515846,0.83491117,0.78462183,1.0801024,0.97824377,0.7845181,0.7436851,0.77739096,0.59562427,1.0490599,0.96695095,0.5829888,0.6161906,1.1692946,0.90565735,0.8966345,1.0638964,1.1832548,0.8188324,1.3015105,0.69944376,1.2464541,0.6251738,1.1434002,0.88807094,1.1222994,0.8131697,1.0988901,0.9379678,1.2247139,0.9865193,0.6833948,0.8011299,1.0121264,0.9663261,1.1897485,1.0826137,0.6520084,1.1795053,1.0855105,1.0272754,0.8241855,0.80070084,0.5793247,1.1378872,0.74713916,1.0733958,1.0129108,1.0765237
bathtub,0.8013804,0.9494747,1.4463603,0.6944103,0.40605652,1.248548,1.5038482,1.3405316,1.0414069,0.0,0.41400683,1.4762856,0.61485004,0.6092974,1.4037414,0.45215148,0.7600711,0.7534523,1.4755881,0.9338373,0.4939233,1.5620431,1.0384752,0.96453595,1.108834,1.413304,0.616627,1.3688445,1.021742,0.74858725,1.185522,1.3752961,0.53497183,1.1080872,0.79955786,1.2075195,1.271293,0.69796807,1.3431029,1.5479816,0.35054815,1.3904802,1.1671222,1.0941564,1.3228606,0.93817675,0.6448926,0.7398943,0.5701196,1.5156591,0.88431716,0.9635745,1.3149815,1.412224,1.2144423,1.1055924,1.1980441,1.2921305,0.4827041,1.3717268,1.0595005,0.76726246,1.2556577,0.91802937,0.7605105,0.734313,1.5419164,0.8300537,1.2819638,0.7441932,0.7827166,1.1195797,0.49495757,1.3819834,0.7029911,1.2810798,1.0362085,0.8069842,0.64706504,0.722844,0.9207928,1.4800401,0.8768586,1.3732542,1.0237676,1.4976437,0.39982545,1.354084,0.47088933,0.5414962,0.5190131,1.5405823,1.4387274,1.395575,1.2550361,1.5741452,1.5242006,1.1901798,1.1724336,1.2538677,1.5280442,0.9826042,1.2563049,1.3735874,0.6126385,1.5586944,1.2433298,0.86543965,0.9295113,0.5733057,1.2144101,0.84250796,1.1885157,0.4340955,0.399516,0.43956828,1.6080651,0.5471214,1.5017473,0.9010667,0.8522585,1.2512167,1.0752686,1.3726128,0.7922134,0.66279346,0.2889731,1.4927592,1.3574529,1.4149615,0.79489094,1.0416204,1.1480013,0.7123777,0.71856225,1.2894417,1.4792317,0.9508406,0.88535625
