,alligator,ankle,apple,arm,ball,balloon,banana,basket,bathtub,bear,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,butterfly,can,car,carrot,cat,chair,chips,clock,closet,coat,coffee,comb,cookie,corn,couch,cracker,crayon,crib,cup,deer,dish,dog,doll,door,drawer,dress,duck,ear,egg,elephant,face,finger,fish,flower,foot,fork,frog,glass,glasses,glove,gum,hair,hamburger,hand,hat,horse,hose,jacket,jar,jeans,knife,ladder,lamp,leg,meat,melon,milk,mitten,motorcycle,mouth,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pen,pencil,penguin,pickle,pig,pillow,pizza,plant,plate,pony,pumpkin,purse,radio,raisin,refrigerator,rooster,sandwich,scarf,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,snow,soap,sock,soup,spoon,sprinkler,strawberry,stroller,sweater,swing,table,tape,toast,toe,tooth,toothbrush,towel,toy,tray,tree,vacuum,watch,window
alligator,0.0,1.5611172,1.3775859,0.554539,1.3096517,1.4712069,1.2367291,1.208178,0.7524536,0.66443,0.45585454,1.4988291,0.83323175,0.7200621,0.6970171,0.3788532,0.6675729,0.7503598,1.5063301,1.4335111,0.9456664,1.3657227,1.3287838,1.3411825,0.8868918,1.5353293,0.84994274,1.3542061,0.52426565,0.8781226,1.3668813,1.407989,0.76801723,0.5567489,0.95854706,0.9262767,1.1111907,1.3996218,0.6963115,0.9365238,1.5979333,0.5863229,1.5074009,0.8704725,0.9004161,0.41660535,0.615591,1.2070981,1.1602058,0.65732485,1.0063473,1.4282746,1.4640255,0.52200425,0.83190626,1.3455763,0.8512081,1.1285272,1.2507889,1.4049565,0.63672113,0.69808346,1.4935178,0.6855308,1.3360487,0.8075816,0.81970555,0.84594214,1.4404358,0.8238667,0.92222697,0.61540824,0.8926722,0.6103189,1.3880337,0.7663537,1.5559064,1.3940363,1.0903864,0.73498243,0.87078524,0.542957,0.7597145,1.4169923,1.1725583,1.5487056,1.2760127,1.5552337,1.5237586,1.4265924,1.051151,0.624324,0.5229503,0.68723255,0.52695704,1.5144135,1.4780728,0.880206,1.1531781,0.94201154,1.2748073,0.78615797,1.1310084,1.3879168,0.842541,1.3302616,1.0012702,1.3649987,1.2263716,0.9343769,0.8428807,0.72042906,0.791193,1.0804443,0.60851556,0.8463903,0.97567385,1.3251011,0.6681817,1.1230767,0.6912351,1.5498086,0.83501786,1.4083407,1.0447439,1.040593,1.474426,0.74549836,1.2546663,0.8528755,0.6106563,0.77308226,0.485085,1.494567,0.9498007,1.4729286,1.3815137,0.76973724,1.2138975,0.92144483,0.7396245,0.61252975,1.252036,1.4562405,0.97903514
ankle,1.5611172,0.0,0.7485408,1.2572582,0.8412586,0.7098851,0.981236,0.9063964,1.2680615,1.198158,1.4160441,0.39845443,1.1909939,1.1705316,1.1673588,1.3244339,1.3830743,1.3089812,0.7129301,0.84751046,1.1889814,0.7874407,0.7313739,0.95194155,1.1527324,0.4986338,1.16649,0.58097804,1.2075874,1.1553036,0.7296647,0.67320645,1.3450305,1.3213342,1.1770476,1.1072803,0.9548378,0.66538626,1.2561345,1.1412904,0.4714476,1.3654726,0.74663085,1.0941191,1.3546216,1.3692396,1.295045,0.89772797,0.98671925,1.2665105,0.94541574,0.56408656,0.6135985,1.2636316,1.0857844,0.42908454,0.91384816,1.0424829,0.49129713,0.67439663,1.3121617,1.4340873,0.42470193,1.0394479,0.83043313,1.0523266,1.4408597,1.0093529,0.61459565,1.0764023,1.0662177,1.2685732,1.2099303,1.1694889,0.7309874,1.3566946,0.6406257,0.39922392,0.96566045,1.2685096,1.3183881,1.2342632,1.3101597,0.3580463,0.7134985,0.4207226,0.7654326,0.21496952,0.2952404,0.8222188,1.0723693,1.2289622,1.2905002,1.0969919,1.4300976,0.57646734,0.6288896,1.0724303,0.89950335,0.9064022,0.570573,1.266932,1.0787957,0.8986346,1.1087803,0.85841703,1.0495846,0.55032253,0.6815311,1.2340406,1.084079,1.3191233,1.1139095,1.0986568,1.2435082,0.9727793,0.80035746,0.8777925,1.357445,1.0436453,1.3312057,0.3725108,1.1434622,0.59760547,0.66856647,1.2893656,0.7146169,1.4199347,0.8886148,1.1619515,1.3090167,1.2451643,1.5286419,0.775365,1.1204302,0.28254455,0.45628333,1.3088279,0.78171957,1.2013936,1.442333,1.1998876,0.96375483,0.33487082,1.1435002
apple,1.3775859,0.7485408,0.0,1.3756766,0.34212273,0.35494518,0.5484043,0.99245507,1.4303229,1.2286091,1.5300577,0.7245536,1.4658506,1.2625163,0.9324481,1.4577429,1.3492227,1.2051057,0.6868437,0.6384167,1.2373996,0.5934067,0.97625935,0.9045123,0.9704749,0.8694445,1.1632825,0.67780495,1.3359685,1.4423856,0.6341648,0.68290275,1.3335018,1.3631213,1.0292219,1.2445507,0.71399736,0.56874526,1.4392002,1.0708187,0.5473555,1.5242138,0.69965965,1.0088149,1.0914091,1.076714,1.0685728,1.1854216,1.179391,1.4033535,0.77655435,0.55594826,0.39692807,1.3275414,1.1291437,0.80413795,0.75781226,0.70441574,1.0077571,0.83873785,0.70722723,1.1579881,0.7270257,1.1978371,0.39705598,1.2274565,0.9510644,1.1992047,0.6633799,0.964013,1.2173345,1.3784232,1.1143742,1.3996797,0.9900102,1.3866402,0.7869909,0.9477963,0.88405526,0.82774425,1.1936322,1.2406918,1.1757969,0.7714633,0.7572169,0.5007925,0.82884693,0.710264,0.6637934,0.35340238,1.3306012,1.070025,1.4414393,1.3918946,1.2948,0.7753515,0.80708873,0.8638285,0.55560195,0.84264576,0.9048426,1.1181484,0.80089533,0.78439933,0.94126904,0.52938986,1.0962516,0.7002951,0.6317251,1.2823205,0.92784375,1.0807308,1.267464,1.0458807,1.3908542,1.1626418,1.2272285,1.1270726,1.399489,1.2020086,1.379583,0.6358144,1.2018951,0.49003994,1.145121,0.8866223,0.7760793,1.1320752,0.25557816,1.2785686,1.3763449,1.1551504,1.4282191,0.44074762,1.0679775,0.6797372,0.71941996,1.2286161,0.9984746,0.6883272,1.3041368,1.0956476,1.1786807,0.7424339,1.3056791
arm,0.554539,1.2572582,1.3756766,0.0,1.4145141,1.5472789,1.3975189,1.3837053,0.62682056,0.72485274,0.5127018,1.3793595,0.7734643,0.71546555,1.0979111,0.5041705,0.7029669,1.0428705,1.5072807,1.5359868,1.0778079,1.3616569,1.299581,1.3813516,1.0293919,1.4363717,0.8886742,1.1461645,0.56046003,0.78099513,1.3233612,1.4152081,0.67556,0.35164118,0.9213233,1.0070441,1.2926949,1.1916469,0.6804567,0.78796005,1.5162287,0.6881921,1.5218832,1.1769031,0.9757006,1.0265576,1.1402526,1.0072843,1.1965697,0.45564765,1.1250604,1.2924397,1.2978132,0.5753443,0.8026167,0.9874841,1.1597049,1.3935944,0.8853896,1.418972,1.2845953,0.7495984,1.3441997,0.66241205,1.3679206,0.61571413,0.8307494,0.4930076,1.4786687,1.2979853,0.8363276,0.3743198,0.9709917,0.32866126,1.3157251,0.77405024,1.5213528,1.0116789,1.1737208,0.72908735,0.8222256,0.4274752,0.9205894,1.221967,0.99547386,1.3743887,1.4374025,1.3136328,1.3298138,1.4721901,0.7989197,0.8679789,0.25680435,0.3348663,0.5799633,1.4427615,1.4124383,1.1723181,1.0044247,1.3571725,1.3097419,0.7636179,1.3518027,1.3536496,1.3358208,1.4083058,1.120835,1.3595601,1.0995792,0.90707326,1.1416256,0.7463734,0.543454,1.2241206,0.27780437,0.9973875,0.5428409,1.1963145,0.5131687,0.9949237,0.6636674,1.4662697,0.8585771,1.358276,0.75114053,1.0075066,1.5134325,0.84300965,1.3693206,1.0568757,0.392155,0.95463455,0.52593654,1.5940022,0.9021202,1.1458025,1.2293428,0.6539136,1.3040533,1.4240075,0.77804995,0.83085275,1.2101762,1.2677969,0.83096886
ball,1.3096517,0.8412586,0.34212273,1.4145141,0.0,0.18690467,0.63268363,0.88955694,1.3774577,1.1460975,1.392415,0.8148029,1.3657877,1.1524962,1.0134646,1.3702036,1.2270634,1.0940897,0.55955374,0.52192146,1.198594,0.65573484,0.92764163,0.70663404,0.99192,0.81636274,1.1873312,1.0332421,1.3069701,1.3760523,0.9050417,0.636917,1.3068348,1.3331244,0.9465383,1.0561281,0.6451232,0.9248468,1.3636928,1.1653242,0.6501981,1.4286966,0.55155504,0.99106884,0.93032336,1.074845,1.0551176,1.2311718,1.0745283,1.3547024,1.1110016,0.7843429,0.3959968,1.2663946,1.1569436,0.93146884,0.9678443,0.81651086,1.2510078,0.83275235,0.7741884,1.0537283,0.82437605,1.2448535,0.5026057,1.2562101,0.9541495,1.2590055,0.53473604,0.9383601,1.1826811,1.3268989,1.033746,1.3936722,0.9179626,1.3322734,0.6446036,1.0350022,0.9586462,1.0611628,1.1204505,1.2758152,1.0653355,0.894373,1.0499719,0.48321646,0.7791379,0.8754307,0.7776787,0.35171556,1.3560975,1.0401025,1.4095204,1.4173534,1.2866387,0.7915577,0.7945114,0.7670251,0.88411313,0.86097294,0.89036065,1.193759,0.79326016,0.7666317,0.88195413,0.6070285,0.9794171,0.8026452,0.52608454,1.21359,1.0543319,1.1792103,1.2318248,0.9167484,1.3703752,1.1946158,1.2491574,1.0515583,1.35417,1.1338811,1.2170241,0.7122457,1.0028607,0.63072157,1.1680056,1.0088326,0.73052704,0.9853776,0.550825,1.2356949,1.3137399,1.0361744,1.2840508,0.41905862,1.1801367,0.80137134,0.8335321,1.2147243,0.92683995,0.5468727,1.1831182,1.0909657,1.0149034,0.89161426,1.2415205
balloon,1.4712069,0.7098851,0.35494518,1.5472789,0.18690467,0.0,0.65236413,0.8222132,1.3903496,1.1792147,1.4981052,0.551579,1.3705342,1.3005202,1.0025854,1.4842954,1.3324528,1.1681514,0.40087008,0.43667614,1.1914974,0.6158165,0.8001921,0.64889973,1.0288392,0.614473,1.1516378,0.82624483,1.2970827,1.3702741,0.66615397,0.38182443,1.3294978,1.3927383,1.0440664,1.1254796,0.72377807,0.75282276,1.3757069,1.2676511,0.38616443,1.4876381,0.42118633,1.020257,1.0658464,1.1342643,1.1297663,1.0787839,1.0345657,1.4412794,1.009823,0.6272312,0.39496088,1.3132288,1.1738904,0.9222338,0.82968664,0.71735865,1.1562955,0.6852898,0.8281524,1.2419344,0.62107956,1.3025132,0.4890625,1.268843,1.1517476,1.3940222,0.39545608,0.9547432,1.2845793,1.4146984,1.142016,1.4682641,0.82900155,1.3740264,0.43537605,0.9189133,0.9848893,1.1806598,1.1935009,1.4335036,1.1731132,0.79436415,1.0421207,0.3605883,0.6888031,0.6840717,0.6242026,0.33065683,1.2418233,1.0988667,1.5081083,1.4646001,1.4199976,0.59904504,0.6539278,0.8149033,0.8966824,0.77312076,0.7136794,1.2964127,0.79016095,0.6426038,0.87729806,0.5121443,1.0132998,0.7037508,0.7066158,1.2115561,1.0811632,1.2896081,1.3311305,1.0161006,1.4393113,1.2233922,1.2613478,0.990197,1.4199336,1.1013093,1.3276544,0.5175031,1.1148187,0.5711575,1.1975551,1.043769,0.5732417,1.1033194,0.5212876,1.2353489,1.4097371,1.1083665,1.4458576,0.31608963,1.2547288,0.742281,0.7324959,1.2895168,0.8015778,0.6366999,1.3760908,1.0944431,0.9345436,0.7638058,1.1167622
banana,1.2367291,0.981236,0.5484043,1.3975189,0.63268363,0.65236413,0.0,0.63824165,1.397536,1.1343706,1.4279443,0.83780384,1.3306122,1.126801,0.86225736,1.2979512,1.2064304,1.0783358,0.60043967,0.42946398,1.1653076,0.5259553,0.85836565,0.7617701,0.9698341,0.76304215,1.1339059,0.90310013,1.3552314,1.3137188,0.6424383,0.80207944,1.3297597,1.4109913,1.228686,0.88980645,1.042017,0.7171706,1.3273354,0.9986631,0.6458564,1.4286089,0.6282277,0.9604393,1.059306,0.98008823,0.90370995,1.1963017,1.0557638,1.3813711,0.9268354,0.8526245,0.7696741,1.2688081,1.2734649,1.0462325,0.85437936,0.54245186,1.144316,0.7663282,0.7043146,1.1668886,0.9124411,0.9930731,0.6777184,1.3794317,0.751336,1.2797229,0.7141461,0.89754736,1.2108836,1.4142313,1.0902199,1.3976035,0.78254426,1.3126892,0.76091456,0.9692834,0.9261107,0.92987424,1.1605619,1.2265078,1.0825282,1.0554903,1.0804875,0.82789195,0.47686005,0.89240193,1.0228382,0.5417142,1.2508823,1.0643135,1.4411566,1.4294837,1.2747929,0.6831608,0.69445735,0.7710671,0.6213517,0.83454,0.7592086,1.0596343,0.5764053,0.68049836,0.8324971,0.55321217,0.7607485,0.7958641,1.090752,1.220775,0.80452585,1.0521111,1.2543133,0.64743817,1.4528906,0.98728615,1.2887108,0.78695667,1.3966949,1.1229236,1.2131581,0.7009789,1.1483763,0.6580161,1.1062586,0.7203472,0.50429225,1.1195745,0.65270627,1.0708259,1.4048779,1.1219442,1.343754,0.39071053,1.0634205,0.9746108,0.86408037,1.1466819,0.6697243,0.6424213,1.20062,1.2037749,0.95466465,0.9267317,1.3213594
basket,1.208178,0.9063964,0.99245507,1.3837053,0.88955694,0.8222132,0.63824165,0.0,1.1971817,0.9385836,1.225738,0.87900037,1.0322882,1.0637048,0.9064534,1.182181,1.1900005,0.90780985,0.6369326,0.636876,0.85155123,0.7098975,0.7584876,0.7154287,0.9801823,0.65558434,1.1091707,1.0024117,1.2266933,1.0378484,0.91698784,0.79913723,1.1864926,1.3710911,1.1225787,0.5764226,1.0459678,1.0438834,1.1937065,1.1119024,0.7769972,0.956263,0.6669516,0.99757457,1.0181694,1.053217,0.9372426,0.95874536,0.8186668,1.3060744,1.0605398,0.93699366,0.9940368,1.1213005,1.2935884,1.0972111,1.0469092,0.6411915,1.1184359,0.62094855,0.9474204,1.1833179,0.9141233,0.98827785,0.93088484,1.3144348,1.027368,1.2987095,0.66667825,0.94685733,1.1190603,1.377841,1.0119503,1.4183809,0.7393408,1.0384452,0.57856244,0.97926736,1.0853078,1.1469483,1.1011986,1.2244118,0.99288225,1.0327239,1.154563,0.9229316,0.56203485,0.8439721,1.0111384,0.77664286,1.1468328,0.88782793,1.3558929,1.4361135,1.1894876,0.70493394,0.7070316,0.7587926,1.0371933,1.0069234,0.7409638,1.1415052,0.69309604,0.7836107,0.8745468,0.76267385,0.705366,0.86209434,1.2150291,1.0327158,0.8908493,1.165385,1.1539401,0.6795887,1.3874917,0.85156703,1.2923949,0.6519781,1.3086458,1.0146514,1.1346089,0.7528652,1.009965,0.87639034,1.032962,1.0698924,0.5518606,1.0048323,0.9140643,0.9138473,1.3305618,1.1117415,1.256233,0.6187351,1.0529888,1.0259677,0.9383143,1.115826,0.6524727,0.7749968,1.0906804,1.2285074,0.75262547,0.8151027,1.1384641
bathtub,0.7524536,1.2680615,1.4303229,0.62682056,1.3774577,1.3903496,1.397536,1.1971817,0.0,0.8436085,0.36067927,1.2301197,0.43610257,0.79802144,1.1483066,0.5473974,0.547539,0.9064483,1.3737037,1.189565,0.69295526,1.3932881,1.1731082,1.0914608,1.1484052,1.2347577,0.84700453,1.3054609,0.6298599,0.5757878,1.3100035,1.2411684,0.58916175,0.74876577,0.72126347,1.0668339,1.1218961,1.3834096,0.5400464,0.93540335,1.4461893,0.531314,1.270622,1.1955756,0.77264464,1.0953828,1.1616476,0.62096393,0.79225606,0.76990294,1.2429519,1.3839984,1.3311754,0.76216185,1.006717,1.2500762,1.1801367,1.230797,1.1388993,1.1951698,1.2780354,0.72036356,1.3945892,1.087688,1.3662603,0.9374659,0.99967897,0.8829832,1.4422684,1.2857882,0.71336514,0.7566026,0.9039415,0.6816714,1.0788625,0.6787547,1.1823369,1.2561245,1.062143,0.76023674,0.7304231,0.8482123,0.75010717,1.2994903,1.0397794,1.4154968,1.2431364,1.4138813,1.3274319,1.4249736,0.6332497,1.0231766,0.695959,0.6876863,0.5955291,1.309371,1.2644138,1.2375071,1.1719474,1.3236845,1.1146259,0.8741964,1.1502166,0.7961313,1.289313,1.3989418,1.1282727,1.3469177,1.258451,0.67998564,1.2945399,1.015026,0.8893413,1.114228,0.7151951,1.0930641,0.8015881,0.9621775,0.40936506,0.25745714,0.5653119,1.446002,0.6395177,1.2003795,0.9553846,0.9111431,1.2322694,0.75721955,1.3782625,1.0222485,0.7775702,0.8830228,0.42188048,1.4128953,0.97106135,1.3449134,1.3375504,0.6855217,1.199287,1.258877,0.57400095,0.8248657,0.958459,1.417067,0.6404719
bear,0.66443,1.198158,1.2286091,0.72485274,1.1460975,1.1792147,1.1343706,0.9385836,0.8436085,0.0,0.727567,1.0909802,0.90885085,0.86395866,1.0025054,0.6047102,0.7759626,1.0306239,1.2002387,1.2366759,1.103552,1.110238,1.0288187,1.3151699,1.0887018,1.1958421,1.0781767,1.1549416,0.3998437,1.021616,1.1569443,1.0052807,0.93275136,0.68047833,1.1590633,0.8285955,1.1853352,1.1832165,0.93748295,1.0364698,1.1959481,0.84061027,1.2718998,1.0525919,1.0805669,0.7824982,1.0115008,1.0681751,1.0544478,0.9090339,1.168365,1.1450458,1.207689,0.20284808,1.0275575,1.2254575,1.1746843,1.0417936,1.160176,1.1455568,1.0498314,1.0572435,1.1051242,0.8807637,1.2738608,0.98653734,0.98906565,1.0707811,1.1031374,1.0467867,0.9484632,0.70652163,1.2276254,0.8070065,1.1963971,1.0051215,1.0379604,0.9984736,1.1986051,0.9428134,1.0998087,0.77278876,0.7588241,1.1757104,1.190343,1.1706002,1.0258275,1.1368552,1.1294315,1.1986948,0.9625054,0.35132766,0.6334577,0.87738895,0.86902916,1.1214978,1.1169907,1.0066592,0.94924986,1.0803666,1.0900291,1.0580115,1.0307424,1.1696692,1.0079665,1.2123076,0.99256057,1.2346799,1.2138861,1.1909142,1.147,1.0540593,0.9324457,1.1459947,0.65963745,1.0673335,0.85668916,1.1470298,0.88828325,1.0523392,0.59795576,1.170345,0.6387044,1.2537019,1.0302744,1.1010557,1.1627738,1.0243707,1.2002202,1.1159623,0.7232262,0.8909551,0.8203893,1.2423462,1.1048902,1.2336776,1.1459461,0.95946765,0.9424768,1.1840324,0.94654393,0.86727846,1.155177,1.0912564,0.88868654
