,alligator,ankle,apple,arm,ball,balloon,banana,basket,bathtub,bear,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,butterfly,can,car,carrot,cat,chair,chips,clock,closet,coffee,comb,cookie,corn,couch,cracker,crayon,crib,cup,dish,dog,doll,door,drawer,dress,ear,egg,elephant,eye,face,finger,fish,flower,foot,fork,frog,glass,glasses,glove,grass,gum,hair,hamburger,hand,hat,horse,hose,jacket,jar,jeans,knife,ladder,lamp,leg,meat,melon,milk,mitten,motorcycle,mouth,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pen,pencil,pickle,pillow,pizza,plant,plate,pony,pumpkin,purse,radio,refrigerator,rock,rooster,scarf,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,snow,soap,sock,soup,spoon,sprinkler,strawberry,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,truck,vacuum,watch,window
alligator,0.0,1.0553619,1.3867373,0.76188266,1.2938036,1.1243097,1.3342496,1.2852333,0.8042136,0.8874172,0.8639507,1.4321342,0.96554005,0.7439803,0.33677435,0.8410263,0.8843883,0.59074515,1.4479887,1.5233073,0.6908183,0.6955902,1.1269419,1.3200523,0.69392824,1.5264671,0.98963577,0.83270687,0.4989608,1.1566143,1.1868005,1.366972,0.7885534,1.0177369,0.8366926,0.92224014,1.2687814,0.9720864,0.93907136,1.4652798,0.9447878,1.4776845,0.8680273,0.48204464,0.88553333,1.0400864,1.189606,0.8094139,0.7885016,1.1166518,0.898488,1.3622301,0.84647214,1.2446752,0.49371254,1.0476414,1.2067374,1.1758904,0.3823316,0.8637342,1.2348676,0.984204,1.0423553,1.0331388,0.86102116,0.6903274,0.8000381,1.360702,0.8683994,0.9472955,0.96884394,1.0501089,0.83437395,1.1857806,0.9253334,1.4440912,0.8687204,0.7176018,1.2823709,1.0640745,0.6139265,0.750264,1.1991221,0.78406507,1.4355474,1.4471191,1.4550962,1.2208235,1.1630797,1.065221,1.180786,0.75782204,0.8619796,0.36461174,1.4416299,1.4591024,0.99267983,1.3826704,0.90968037,1.0506792,0.939015,0.6955125,0.95348305,1.2053419,1.0134028,1.0933508,1.023419,0.19230181,0.86740255,0.88294464,0.837491,1.0312463,0.9994877,1.0647409,0.9733036,1.123113,0.79586995,1.4778094,0.93042207,1.4670439,0.96066666,0.98749614,1.2543333,1.1137629,1.1242542,0.7479783,0.7448015,0.65267557,1.3812964,1.3522401,1.4181643,1.2958496,1.4040667,0.8851009,1.0726471,0.95459104,1.2945448,0.95597917,1.4676285,0.942841
ankle,1.0553619,0.0,1.042309,0.8323163,0.9574505,0.981469,1.1081829,1.0314684,1.1522557,1.1009223,1.0490768,1.0954899,1.1799603,1.0354571,1.0355475,1.0237179,1.0207404,1.0524483,1.0822271,1.1206003,1.1085491,1.0356429,0.87832457,1.059443,1.0434122,1.0909183,1.1036457,0.83108073,1.086107,1.1028796,1.0447015,1.1077744,1.1491001,0.9184394,0.88103825,0.8934472,0.9045746,1.0353832,0.9454249,1.1043826,1.0571146,1.0766903,1.0891043,1.0110549,0.9097467,1.1096052,1.1561757,0.9930997,0.8964727,0.9917152,1.0835843,0.9773679,0.9730121,0.7871753,0.9897046,0.98561543,0.9349309,0.8380905,1.0976428,0.9843787,0.9842855,0.9735438,1.1760702,1.0160939,0.96162355,1.0467917,0.72293615,1.0554163,0.9894963,0.98302025,0.9972029,1.0575287,1.0383115,1.1468496,1.0505291,1.0434248,0.5660618,1.1044723,1.1187009,0.959017,0.91838443,1.036146,0.78194606,1.0415207,1.0454726,1.0760286,1.0363724,0.76536757,1.0665509,1.1261302,1.0752589,0.931771,0.86239845,1.0692818,1.1779182,1.1551093,1.0207744,1.0614036,1.0237025,0.9543593,1.1231451,0.9564816,1.0448157,1.0298747,0.9819418,1.1483164,1.0841548,1.0983287,0.9603387,1.1093961,0.99395293,0.9762667,0.94119304,0.8493284,1.1020764,1.2182782,1.0064236,1.0537727,1.1315513,1.0962617,0.5704104,0.93462336,0.9940595,1.0631661,0.9522009,1.1432067,1.0465108,1.1421499,1.0932938,0.73924077,1.099688,1.1029547,1.0751941,0.96154904,1.077192,1.086393,1.0728868,1.0403113,0.9456083,1.0705137
apple,1.3867373,1.042309,0.0,1.2821221,0.6214683,0.9178321,0.18837744,1.0978135,1.3649895,1.1103456,1.3865728,0.74505424,1.3907174,1.419359,1.0936174,1.3945756,1.1685495,1.1132673,0.19849753,0.25498736,1.3815756,1.2796471,1.0348262,0.84258616,1.1113489,0.74115276,1.0130459,1.2399309,1.1998912,1.2563152,0.5616589,0.40298045,1.334381,1.1448243,1.3171564,1.0283066,0.84567666,1.3278368,1.1341083,0.35560048,1.3998355,0.25000083,1.1545141,1.2589675,1.1374121,1.2136039,1.1255785,1.3547784,1.1505411,0.7421885,1.1907231,0.6437339,1.1049032,0.8085458,1.0155339,0.8449525,0.94196165,0.7965106,1.1776769,1.2304869,0.77125764,1.0617231,1.0757047,0.79545957,1.1515406,1.284402,1.2862544,0.6554146,1.0954343,1.2596838,1.2561996,1.0705748,1.4068754,1.075019,1.3391397,0.44103432,1.1645427,1.1828697,0.50641024,1.1169163,1.4693193,1.1896217,0.91321534,1.2568276,0.23276818,0.6798814,0.5607009,0.7279718,0.16512525,1.2753916,0.9762387,1.4065077,1.3006098,1.3048451,0.33359528,0.26004553,1.0705378,0.81589615,1.1747588,0.984609,1.0308698,1.1838161,0.7660925,1.1006161,1.086053,1.1424277,1.0482273,1.2971895,1.3234911,1.2661905,1.3041574,1.1261663,1.2207608,0.96819735,1.3004727,1.0039765,1.2329073,0.36398852,1.191065,0.33915412,1.1870188,1.0499114,0.8482129,0.85851085,0.8563407,1.3328826,1.339205,1.41469,0.20900178,0.5893879,0.30394673,0.5384332,0.8472737,1.1407595,1.0690806,1.0422152,0.5726279,1.2709706,0.46120137,1.1740587
arm,0.76188266,0.8323163,1.2821221,0.0,1.2547625,1.1289499,1.3771001,1.3541312,0.760409,0.94819987,0.5854074,1.2301673,0.80617267,0.5266894,0.9930024,0.66702247,0.9882667,1.1351113,1.4630101,1.481919,0.97278434,0.69993436,1.0533885,1.350883,1.0492933,1.4318397,1.1497298,0.6070301,0.90065694,1.0418444,1.1694216,1.3664246,0.7933807,0.987299,0.6909332,1.0849315,1.2220502,0.75867146,0.95277315,1.4261925,0.7971649,1.4664302,0.9951113,0.82364213,1.0456135,0.9245963,1.0382231,0.45961654,0.8799107,1.0807889,0.77094537,1.3304056,0.84090805,0.8918287,1.1136427,1.3036846,0.93282145,1.2797225,1.0737662,0.80735564,1.161055,0.978121,1.008223,1.2909596,0.73548484,0.7413206,0.42789245,1.4090309,0.98277247,0.8165406,0.9056207,1.0846287,0.476151,1.0514051,0.8624363,1.4502687,0.4797715,0.8397757,1.2646443,1.1133556,0.63835883,0.8156585,1.0625445,0.85177445,1.2447417,1.3930616,1.2136354,1.1016657,1.1171598,0.9907957,1.1810818,0.45914412,0.6040155,0.8125181,1.4112065,1.3880315,0.9951034,1.2315596,0.9296836,1.2438849,1.0714666,1.007183,1.0362139,1.2645001,1.1211509,1.0621852,1.0093603,0.9173302,0.60030955,0.91525185,0.43827522,1.0795741,0.5515475,1.1563756,0.8278841,1.0835421,0.7984539,1.3129631,0.81884396,1.4652407,0.69877064,0.9791848,1.3034507,1.1777215,1.2680042,0.890374,0.5165129,0.6927694,1.3601427,1.0409553,1.2531581,1.2239367,1.3449192,1.1668518,1.2769804,1.0748093,1.3560457,0.8877528,1.1943437,0.92337716
ball,1.2938036,0.9574505,0.6214683,1.2547625,0.0,0.29722857,0.7356975,1.012719,1.3442326,1.2225022,1.4005808,0.7758579,1.3980583,1.3265487,1.0559261,1.3668987,1.1152381,1.1319158,0.6971647,0.6156171,1.2982194,1.0581613,1.0081332,0.68496305,1.1031277,0.7780435,1.0325773,0.9942811,1.1977621,1.257189,0.6941613,0.5176556,1.4630067,1.0266178,1.2055987,0.6221558,0.86951715,1.3238838,0.92911625,0.63037556,1.4195073,0.6358273,1.0947789,1.1943673,0.978661,1.3244274,0.9658122,1.3034023,0.8764297,0.5049797,1.2152106,0.6429913,1.138645,0.8015137,1.0166343,0.88925385,0.8770466,0.8730998,1.0160275,1.1053169,0.8528311,0.9169316,1.1298337,0.67985576,1.1986753,1.1356351,1.1447599,0.63426757,1.1465168,0.97507536,1.206362,0.9853926,1.3174417,1.1292554,1.3440683,0.6318084,1.0874068,1.1825863,0.49055254,0.9883659,1.138915,1.1534534,0.8999158,0.93159854,0.57237655,0.8584191,0.74605626,0.68393445,0.66341615,1.3235116,1.0510892,1.3822923,1.2531005,1.3279881,0.76354885,0.73432255,0.88835305,0.8899279,1.1647582,0.9172774,1.0063741,1.1242554,0.62397575,0.95611316,1.0752901,1.2632931,1.1421477,1.2512922,1.2541311,1.2227854,1.3274591,0.8761027,1.1395998,0.8154088,1.3601606,1.1302516,1.2777871,0.634467,1.296435,0.6234507,1.1130047,0.80738163,0.83180195,0.7470113,0.61578065,1.2758932,1.3498454,1.4131542,0.65355206,0.68377376,0.7482348,0.92823553,0.9201694,0.9474945,0.9133043,1.1087816,0.80434704,1.241738,0.7293733,1.258962
balloon,1.1243097,0.981469,0.9178321,1.1289499,0.29722857,0.0,0.9799657,1.0434883,1.0427634,1.1831694,1.2946848,0.8708635,1.2103326,1.1456382,0.9888202,1.2574266,1.0152419,1.0590594,0.92278874,0.8201468,1.1352152,0.94350636,1.0338734,0.6375273,1.0175265,0.87186885,1.0622873,0.87448454,1.1251644,1.2103009,0.81609786,0.7507451,1.3219495,0.99063456,0.95495975,0.69524014,0.9928581,1.2331245,0.8960366,0.75601417,1.31542,0.8600272,1.1737984,1.1693668,1.0690438,1.1662215,0.93930244,1.2039113,0.83010507,0.6173406,1.1598012,0.8064326,1.1108711,0.7999957,0.89670837,1.0948507,0.8871856,1.0025345,0.92397726,1.0957193,0.91984713,0.8637613,1.0911044,0.7294018,1.1356114,1.0810004,0.94572026,0.8530846,1.1768565,0.76859486,1.2157713,0.9897871,1.1084036,1.0601233,1.2579607,0.88900006,1.0863607,1.1950787,0.73091996,0.9817685,0.94013023,1.0999789,0.8392453,0.8469429,0.81266105,0.91108954,0.86787915,0.8162799,0.9062945,1.2261287,1.0790985,1.2394819,1.1315508,1.1659093,0.92895746,0.96171814,0.8053569,0.9961436,0.9844206,1.1236595,0.8790337,1.1526899,0.80135256,0.93554664,1.1512325,1.1851041,1.174374,1.1715579,1.1435337,1.0989074,1.2239264,0.9312496,1.0454968,0.90022105,1.2483922,0.9190924,1.1239526,0.86822593,1.1788608,0.8350652,0.98923135,0.76815987,0.9226892,0.7938905,0.8429948,1.2180552,1.2465887,1.203558,0.84824944,0.8118605,0.8513463,0.91655374,0.9165613,0.9015948,0.9262807,1.0754194,0.9351698,1.1875316,0.97554094,1.1645468
banana,1.3342496,1.1081829,0.18837744,1.3771001,0.7356975,0.9799657,0.0,0.99330056,1.3754551,1.1381154,1.4112043,0.686111,1.3559282,1.4402444,1.1149747,1.3886249,1.1818005,1.1102732,0.26593757,0.28128672,1.3724432,1.2174726,1.0593554,0.84362227,1.094937,0.6807657,1.0408517,1.2235715,1.2072362,1.2136505,0.4439596,0.4884097,1.3530722,1.1961261,1.2841511,1.0485861,0.7801168,1.3331189,1.0789285,0.2683115,1.4036634,0.31345665,1.1545526,1.2771823,1.1501949,1.2659804,1.1060058,1.4087772,1.07475,0.6933543,1.2244196,0.601922,1.1288911,0.79743445,0.95043015,0.8090338,0.8630894,0.7884407,1.0586298,1.2273269,0.7621823,0.92763156,1.0664669,0.81082433,1.1996735,1.2035868,1.347162,0.65119404,1.0375476,1.3126837,1.2583389,1.0941818,1.3835901,0.9510708,1.3234286,0.4895631,1.187692,1.1795673,0.3109995,1.1742572,1.4979382,1.2760007,0.9113933,1.2421346,0.3606723,0.54794717,0.51276267,0.7947873,0.4036759,1.2015928,0.9964261,1.4433223,1.2774847,1.3473172,0.312674,0.26135498,1.0295551,0.72471064,1.1167008,0.9806567,1.0164908,1.1687431,0.7330552,1.0460389,1.0410731,1.1446564,1.1103014,1.2602375,1.3001487,1.2559092,1.3611999,0.98219806,1.2472057,0.917936,1.3333409,0.99766165,1.2922544,0.30763185,1.2433753,0.29878736,1.1847134,1.1245614,0.7664786,0.7734773,0.8529639,1.2983469,1.3702983,1.475643,0.29171526,0.617542,0.35262835,0.5046959,0.6707259,1.1964431,1.0531651,1.055515,0.5163325,1.253785,0.5171064,1.2182221
basket,1.2852333,1.0314684,1.0978135,1.3541312,1.012719,1.0434883,0.99330056,0.0,1.1141428,1.0364712,1.0400164,0.766152,0.86405826,1.117397,1.1359849,0.9130233,1.0191921,0.9162865,0.84493476,0.76254374,0.7979735,1.132751,0.90187556,0.62950504,1.0985504,0.550251,0.9635237,1.1649725,1.2061225,0.6890192,1.1435866,0.93734026,1.1539004,0.94947994,0.9301917,1.0532229,0.69550264,0.8937936,0.8441839,0.8709675,0.7944262,0.8134085,0.9830014,1.1999453,0.8706964,1.0214049,0.7504906,1.198935,1.3140334,1.1811323,1.0454539,0.98364437,1.3114147,1.1780121,1.0256137,0.8957777,1.0758345,0.807342,1.0936844,1.0668775,1.0595403,0.87306523,0.9336365,0.88406837,1.3863328,1.1468456,1.2661297,0.843608,1.1577139,1.0328425,0.96441793,0.7955676,1.1535915,0.8630983,0.9240797,0.81374085,1.2901883,1.2031653,1.067942,0.7278367,1.0144272,1.1998411,1.0238106,1.0516323,1.1368705,0.58558875,0.9540469,1.161768,1.2204366,0.77538264,0.81446815,1.1959064,1.2109027,1.1904536,0.8356321,0.86469877,1.0761077,0.48872298,0.9683043,0.81673586,0.98988056,1.0184044,1.2510972,0.37267578,0.8295643,0.92490053,0.9784057,1.2128347,1.0146934,1.052773,1.2996411,0.8158281,1.1434196,0.85388505,1.0846571,0.8884105,1.1873405,0.96264017,1.1093856,0.7375407,1.0372888,1.100271,0.7024516,1.0565372,0.9102139,1.0488474,1.3183422,1.179305,0.9169018,1.1634108,1.0652428,1.0047759,0.5301272,0.83598244,0.5479102,0.96063554,0.7881497,1.0525901,0.8751299,1.0795189
bathtub,0.8042136,1.1522557,1.3649895,0.760409,1.3442326,1.0427634,1.3754551,1.1141428,0.0,0.86225057,0.68031067,1.3386555,0.5660968,0.6804299,0.9300595,0.8022933,0.7838898,0.9053467,1.394949,1.3260312,0.5531636,0.71179485,1.0783993,1.168462,0.9756261,1.3324174,1.0557971,1.0009987,0.95116675,0.90271914,1.1615396,1.3436192,0.6545709,1.028032,0.79563385,0.9282613,1.0813044,0.82894456,0.82174027,1.4412096,0.667117,1.4146116,0.8923177,0.96276945,1.2104738,0.6439706,0.83042467,0.80514777,1.105895,1.2558806,0.8057224,1.3456175,0.98738885,1.2576032,1.1005673,1.254723,1.222304,1.1912448,0.9756144,0.88759285,1.2377524,1.227198,0.8163293,0.973629,0.93955183,0.79689145,0.801422,1.5059419,1.0787879,0.8043047,1.0260428,0.9243162,0.7635002,0.92553985,0.79604894,1.3439425,0.9460519,0.94071037,1.2914058,0.8972484,0.79034114,0.89661723,1.140948,0.74193233,1.4031193,1.2704419,1.3351068,1.3275862,1.1949837,0.8032178,0.92317504,0.78869987,0.9164388,0.70630354,1.3463091,1.3695874,1.0411509,1.3032827,0.7158644,1.2213961,0.32980835,1.0846395,1.123601,1.1966047,1.1139412,0.7886852,0.8719667,0.9008235,0.8691156,0.8337492,0.76692414,1.1969484,0.9672754,1.1629522,0.63064593,0.36250657,0.77142394,1.4460402,0.62549794,1.378314,0.9777878,0.77712905,1.19446,1.1770848,1.3018377,0.7107359,0.79984784,0.4284292,1.3699718,1.3946719,1.2814931,1.1309255,1.265727,1.0105942,0.84180146,0.9177661,1.3046019,0.9267732,1.4220381,0.878217
bear,0.8874172,1.1009223,1.1103456,0.94819987,1.2225022,1.1831694,1.1381154,1.0364712,0.86225057,0.0,0.8040165,1.1376806,0.91512,0.7199824,0.9728026,0.78371227,1.0200914,1.1317126,1.1644459,1.195803,1.0911915,0.97935855,1.1351693,1.2886479,1.0208871,1.2263414,1.0055035,1.1189668,0.75777626,1.1262709,1.0790555,1.0837213,0.9500329,1.2378927,1.0549145,1.1525456,1.0747564,1.0176356,1.1050653,1.1969631,0.96221447,1.1845869,1.0190905,0.9283043,1.1927624,0.8901043,1.1791458,0.8831455,0.9425221,1.1578672,0.17408776,1.0456495,1.0535005,1.0823133,0.96073896,1.118165,1.0346544,1.2221733,1.079424,0.83968127,1.0677689,1.0463183,0.6575444,1.1997119,0.9551517,0.8749807,1.0064776,1.1796759,0.8324094,1.0877935,0.78023803,1.2164807,0.7768625,1.0616585,1.0698795,1.1477655,1.0430241,0.83773017,1.1900923,1.080679,0.900928,0.9278183,1.062566,1.0342296,1.1120231,1.0909817,1.0772537,1.0744575,1.0200571,1.1154588,0.4958828,0.77087057,0.85453814,0.9433623,1.105316,1.1917287,1.073444,1.0466149,1.1508087,1.0863179,1.0615786,0.9804812,0.9619943,1.1429424,1.1392279,0.95953107,0.3335613,0.8875048,0.9178041,1.0257474,0.6962761,1.0892675,0.92141575,1.2248756,0.8138791,1.1324815,0.98686445,1.1396164,0.41832614,1.2374401,0.9907888,1.0749042,1.209937,1.1058389,1.067713,0.98364073,0.82804054,0.9665287,1.1819035,1.1470492,1.0808761,1.216215,1.0495145,1.202468,1.2557204,0.80503345,1.0895866,1.2055886,1.1134406,0.91966575
