,alligator,ankle,apple,arm,ball,balloon,banana,basket,bathtub,bear,bed,belt,bench,bib,bird,blanket,book,bottle,bowl,box,bread,bucket,butterfly,can,car,carrot,cat,chair,clock,closet,coat,coffee,comb,couch,cracker,crayon,crib,cup,dog,doll,door,drawer,dress,duck,egg,elephant,eye,face,finger,firetruck,fish,flower,fork,frog,glass,glasses,glove,grass,gum,hair,hamburger,hand,hat,horse,jacket,jeans,knife,ladder,lamp,meat,melon,mitten,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pen,pencil,penguin,pickle,pig,pillow,pizza,plant,plate,pony,pumpkin,purse,radio,refrigerator,rooster,scarf,scissors,shirt,shoe,sink,slide,slipper,spoon,strawberry,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,truck,vacuum,watch,window
alligator,0.0,1.0528469,1.4330337,0.7165047,1.3071582,1.4114435,0.9231396,1.3088022,0.90485084,1.1500326,0.7014444,1.3710272,0.87403405,0.43521303,0.7604182,0.66455424,0.5846214,1.4021225,1.5313021,0.6012509,0.84552515,1.4086522,1.019362,1.5254042,0.96197945,1.1713165,0.56625265,1.2160277,1.3720243,0.89252675,0.9122529,1.1912978,0.83733875,0.9801633,0.39442605,1.3889614,0.6708593,1.4826515,0.58491457,0.55739456,1.1096317,1.0878377,1.0137745,0.7827376,1.093023,0.8778473,1.3541595,0.80478805,1.2510047,0.93283296,0.90763235,1.2895123,1.339818,0.75761914,0.67360675,1.3017353,1.1102815,0.9575687,0.9770162,0.86229384,0.8799705,0.75337535,1.1625662,0.8300611,0.86380255,0.79299736,1.1693797,1.2484086,1.4484158,0.5925269,1.0427434,0.80818236,1.1309199,1.4399343,1.191348,1.3337568,1.1361103,1.3556359,0.8088162,0.9741181,0.8585148,0.74652016,0.64928854,1.4037864,1.1416087,0.75663096,1.3521401,0.76717323,1.2818142,0.50367916,0.9890884,1.371794,0.93942136,1.3913846,0.83137155,1.1523869,1.416297,0.8703851,0.8104444,0.5486984,0.8453298,0.669845,1.4029248,0.88537204,1.3550545,1.2066271,1.1182151,0.9962856,0.8097415,0.6681864,1.2107606,1.2779958,1.3314095,0.9279286,1.1813904,0.90183806,1.1543403,0.9281769,0.9721662,1.2133626,1.4023521,1.172082
ankle,1.0528469,0.0,0.9717883,1.024208,1.1300995,0.79367733,1.0844004,1.0807884,0.9637653,1.0319594,1.2836373,0.7235142,1.1182809,1.201326,0.9891571,1.2061516,1.2034736,1.0873168,1.1073151,1.243119,0.92911285,0.9392127,1.165815,0.93003136,0.92363447,0.93190897,1.1776445,1.0719407,1.0938914,1.0016345,1.0807734,1.0041397,0.78280056,1.0755792,0.9793268,0.735973,1.1829035,1.0808058,1.201972,1.0049628,0.94871837,0.74624455,1.0866106,1.0879022,1.1211246,0.92315406,0.82556605,0.93705374,0.5556391,0.9758408,1.0030842,1.1711419,0.683161,1.1722634,1.004579,0.58323413,0.73937446,1.1792603,1.0936007,1.1072541,0.7549891,0.88247633,0.75640017,1.1859101,1.0054042,0.7931766,0.90091133,1.1280155,1.112356,1.2077028,1.0100703,0.9245064,1.0050035,0.7171192,0.83429503,0.60567296,0.699269,1.1114615,1.0737143,1.0637856,0.93034405,0.8670584,1.2358539,0.75296247,0.6555854,1.1160829,0.9177568,1.0268999,0.90823627,1.078221,1.1186372,0.8788924,1.148026,0.9703274,0.89201736,0.87784785,1.1700448,1.1141516,1.0867734,1.0260549,1.0553458,0.8143103,1.0240136,1.2941214,0.477089,0.9447607,0.9070147,1.3092207,1.0715203,1.2188592,0.7734169,0.5800318,0.80978894,1.0476011,1.0127294,1.1499839,0.71933746,1.1957357,1.0184044,1.1435931,0.60596657,1.2426791
apple,1.4330337,0.9717883,0.0,1.3283248,0.47383136,0.53385854,0.8952717,0.626344,1.4063433,0.98752975,1.382574,0.5311537,1.3842626,1.4842985,1.02254,1.4709272,1.4205612,0.19599807,0.34055185,1.4339432,0.9483631,0.8818891,0.97714764,0.49434656,1.1551645,0.8053655,1.3023782,1.1610718,0.467237,1.3372228,1.311938,1.0781628,1.2895311,1.3980327,1.3765453,0.38118088,1.409554,0.23571348,1.3132045,1.1410644,1.20297,1.0656002,1.2077852,1.1138564,0.89725024,1.196163,0.45752847,1.1453631,0.7178335,1.1485641,0.8073565,0.70623815,0.55536,1.040901,1.3241587,0.5737873,0.9757177,1.196693,1.2208694,1.2725741,0.88559234,1.3937368,0.50243026,1.207097,1.2598886,1.3942325,0.8764683,1.0779583,0.5618374,1.3032196,0.92050874,1.3379931,0.8662053,0.19069964,1.077226,0.38576055,0.6664994,0.09812862,1.3096986,1.0137266,1.365278,1.3647422,1.363418,0.5246072,0.74981284,1.2107074,0.6257074,1.1576933,0.9282739,1.2908137,1.1349952,0.40691406,0.8794964,0.031339645,1.3045018,1.0115308,0.7849364,0.8620318,1.2610872,1.3980136,1.4141064,1.3240719,0.6667342,1.2656443,0.46243107,0.60281914,0.7340967,1.1811944,1.4094391,1.5161893,0.85807854,0.6383858,0.35627866,1.2436076,1.0465246,0.8825024,1.0307131,1.2360439,1.0949143,1.0772191,0.3219419,1.1630424
arm,0.7165047,1.024208,1.3283248,0.0,1.1534501,1.3672463,1.1772015,1.3494406,0.8471463,1.0539805,0.6558269,1.4476712,0.82357824,0.73087573,1.1847233,0.5771809,0.7550048,1.3468208,1.3817629,0.78044647,0.84365165,1.1835186,1.1766886,1.3830653,1.0799519,1.1574289,0.84296393,1.153217,1.3832546,0.74158776,0.7883254,1.0353876,0.84684926,0.9026556,0.6687541,1.3790116,0.87790346,1.3606238,0.88783604,1.0534248,0.91866845,1.0277858,1.0005661,1.0331373,1.07795,0.7765092,1.1507409,0.7063459,0.8023089,1.0545156,1.2654117,1.3079071,1.3281,1.1471395,0.60728735,1.1801183,0.91093224,0.9879725,0.7965926,0.7040905,1.1840696,0.4001835,1.3369687,0.85721934,0.91608334,0.7350287,1.1177617,1.0468842,1.3536522,0.69767606,0.8814418,0.52073956,0.94583416,1.3463875,0.91903114,1.3381872,1.1130909,1.2516413,0.81591594,1.0664282,0.6936822,0.7784166,0.74537575,1.3636087,1.1887739,0.8475913,1.390192,0.8557507,1.155228,0.6907117,1.1271659,1.4146949,1.2154467,1.3017635,0.7611575,1.1930549,1.247328,1.2264667,0.7558863,0.6653502,0.7176881,0.8569537,1.3029715,0.83694255,1.2350712,1.3274918,1.2457258,0.96413064,0.72478867,0.65907013,1.2530366,0.95553833,1.2520074,0.66199017,1.0093174,1.1982136,0.9705967,0.9548059,1.0665636,1.0364138,1.2867837,0.93222564
ball,1.3071582,1.1300995,0.47383136,1.1534501,0.0,0.7009181,0.68775964,0.7949296,1.147967,0.9277635,1.2582681,0.92334783,1.1909196,1.3043842,0.9773702,1.2988389,1.3131189,0.5910877,0.5964154,1.2938247,0.7397649,0.7569734,0.9869697,0.82487106,1.1857592,1.0958534,1.1987582,1.1403605,0.7952452,1.2723712,1.1929778,0.9558618,1.2540118,1.1983606,1.1335406,0.9073807,1.2429539,0.5767143,1.1951238,1.1007999,1.2136722,1.0476395,1.1383357,0.78063583,0.6631221,1.1598947,0.74684465,1.1803166,0.84141505,1.2056466,0.97197115,0.79157174,1.0209202,0.8911677,1.2048174,0.90670604,0.9491056,1.1613871,1.1074466,1.2024435,1.0410545,1.1971946,0.666758,1.1151657,1.213738,1.306513,1.1014047,1.124732,0.64282364,1.1082536,0.44584334,1.0646615,0.5942786,0.60212445,0.99594134,0.7530568,0.650719,0.47906613,1.3035767,0.57097566,1.2737161,1.2222655,1.2406723,0.9156812,1.1261704,0.87374836,0.95768636,1.022204,0.8535392,1.1396059,1.0951474,0.7950403,0.83337426,0.4088,1.3112249,1.0553486,0.92519385,0.93076336,1.1584077,1.2774676,1.2931223,1.2147512,0.8928303,1.1538601,0.79417735,0.82101643,0.82161,1.0621644,1.2641242,1.2192858,0.8418398,0.77438635,0.77225167,1.017024,0.9348423,0.87371784,1.0984336,1.1637087,1.0883423,1.1244705,0.75256956,1.1023515
balloon,1.4114435,0.79367733,0.53385854,1.3672463,0.7009181,0.0,0.77524686,0.6075476,1.376044,1.0527904,1.5180022,0.43399334,1.4256626,1.4852746,0.8420762,1.5464739,1.4281583,0.6545229,0.62810266,1.4183455,0.98967403,0.6343321,0.9274515,0.5097154,1.0417495,0.6901396,1.3676722,1.0721536,0.57478297,1.2803781,1.2607641,0.89905113,1.1435608,1.3801326,1.3321242,0.4131317,1.4701294,0.65672845,1.3463802,1.0552696,1.0319468,0.9987823,1.109064,1.0670742,0.614108,1.2815312,0.65455276,1.347934,0.7205446,1.0652639,0.55468595,0.650358,0.5552929,0.84613013,1.3963001,0.82037896,0.63483727,1.3324946,1.0938847,1.4520288,0.8469348,1.3727571,0.62206477,1.3042268,1.257364,1.2715487,0.7222978,1.0269243,0.6049436,1.3871377,1.0123425,1.1678207,0.8036659,0.4154744,0.92820555,0.48831415,0.57445127,0.6887242,1.3518616,0.9156564,1.2559345,1.217627,1.385273,0.4752211,0.7410354,1.1632793,0.498181,1.1314526,0.93719965,1.3574991,1.0756662,0.6263665,0.8199115,0.5949656,1.2253678,0.92711323,0.8840905,0.60606706,1.3590094,1.2183025,1.3851213,1.2533841,0.7440655,1.4082532,0.5130359,0.50471735,0.35565996,1.1904417,1.4340358,1.5148275,0.5885402,0.7090697,0.67661554,1.1017154,0.9973881,0.82813346,0.759317,1.3260076,1.0318376,1.0286758,0.5329934,1.1757098
banana,0.9231396,1.0844004,0.8952717,1.1772015,0.68775964,0.77524686,0.0,0.91222537,1.1813407,1.0869868,1.2989404,0.98285896,1.2434372,1.1349126,0.63236094,1.366413,1.1716002,0.96262234,0.9747504,1.1295985,0.7827301,0.8739847,0.8347055,1.027944,0.97771496,0.90407,1.1305012,1.1680107,0.9635399,1.2292056,1.2491119,1.0363768,1.1552188,1.2469357,0.91304195,0.9551746,1.2090572,0.9843195,1.0558988,0.80106735,1.1551208,1.0505443,1.1510053,0.46847016,0.6041442,1.2771639,0.9461643,1.1340744,0.93073505,1.0508858,0.617694,0.88010156,1.0780532,0.44657904,1.2333905,1.0228624,0.95817596,1.20877,1.0415311,1.2540382,0.9419895,1.1834023,0.8509754,1.1305912,1.2509435,1.2931032,1.0624248,1.0609535,0.89687145,1.0988051,0.7136128,1.067801,0.57039076,0.90761924,1.0835034,0.9249505,0.7165642,0.90102994,1.2271976,0.49148762,1.3180573,1.2322769,1.0750971,0.9789304,1.1122775,0.7483586,0.9368426,0.8233367,1.0939167,1.0129821,0.954728,1.0040435,0.7248198,0.8467113,1.2635392,1.0189191,1.0437059,0.6592054,1.255204,0.9063005,1.3240979,1.2419248,1.0241083,1.2560661,0.93284774,0.7375325,0.6172823,1.1436442,1.2817214,1.192207,0.7775936,0.878909,0.9813198,1.0286367,1.1355247,0.5683635,0.98485535,1.1450443,0.9549733,1.0478342,0.9773905,1.1616547
basket,1.3088022,1.0807884,0.626344,1.3494406,0.7949296,0.6075476,0.91222537,0.0,1.2840132,0.99370295,1.3205184,0.6717652,1.184217,1.3397967,1.1201708,1.3385081,1.2205698,0.59149766,0.56513894,1.2361047,0.96599114,0.695136,0.89364845,0.5104257,1.0289522,0.86760163,1.3219686,0.75490254,0.6021757,1.1941879,1.2330778,1.0032653,1.0320148,1.1633825,1.3320625,0.6317576,1.2132854,0.6440505,1.3195152,1.0370842,0.9907582,0.90933377,1.1012979,1.2039638,0.89260995,1.2227318,0.7650796,1.2713943,1.0043694,1.1224391,0.7985437,0.49785036,0.7929116,0.9249522,1.2532028,0.94447446,0.8447739,1.2153863,1.0222772,1.3115499,0.918849,1.3076384,0.7032851,1.2399971,1.2411048,1.275239,0.8920672,0.76012254,0.47085762,1.227071,1.1279032,1.15054,0.93280494,0.70842326,0.94933516,0.6471787,0.9162282,0.71885884,1.0381027,1.1167853,1.242456,1.2899066,1.2758415,0.55564964,0.7929913,1.2523372,0.6765995,1.1859611,0.7349742,1.1418171,0.9390575,0.7064964,0.84988743,0.6611439,1.0518526,0.8578038,0.55142826,0.8771893,1.3613883,1.105851,1.2836733,1.1752591,0.7396307,1.3068968,0.75376725,0.827095,0.7563956,1.0551568,1.304618,1.1911899,0.7874962,0.9091161,0.7003354,1.0632113,0.9710977,0.813074,0.7166127,1.236433,1.0552199,0.7493741,0.67277825,1.0419844
bathtub,0.90485084,0.9637653,1.4063433,0.8471463,1.147967,1.376044,1.1813407,1.2840132,0.0,0.9607195,0.88551253,1.2755308,0.2963915,0.9080628,1.2132705,0.7298783,1.000694,1.303047,1.144892,0.94808453,1.0880101,0.9694679,0.9963886,1.1029085,1.0575811,1.1011474,0.9134111,0.77656806,1.2420788,0.67013407,0.8045727,0.8421705,0.81453323,0.35572493,0.9400128,1.3032639,0.5010157,1.2456495,1.0083623,1.2225128,0.60048175,0.545795,0.8609448,1.0208633,1.139359,0.69832116,1.3744944,0.9439106,1.1371639,1.0941926,1.2711453,1.2363292,1.2734218,1.1967616,0.89224666,1.2354418,1.0831102,0.66304344,1.1092944,0.9041893,1.1413274,0.8759443,1.3169689,0.92331564,0.8916578,0.7432476,1.0719392,0.88603735,1.0878458,1.038511,0.8596231,0.88410854,1.1834788,1.4448514,0.6346164,1.3573685,1.2807695,1.3138129,0.86329675,1.0284936,0.8441255,0.7207383,1.0224367,1.2064127,1.0710105,1.0064123,1.2714086,1.05145,0.7089534,0.9060797,0.94620305,1.1797158,1.2417675,1.3721786,0.88477063,0.99006397,0.9362551,1.3146393,0.88787794,0.9014998,0.7798059,0.82685864,1.00124,0.8128984,1.2735513,1.2655632,1.3097472,1.027326,0.8320643,0.6576761,1.1512821,1.2545714,1.1771615,0.8470111,0.6075845,1.3859996,0.8974634,0.7806921,1.1236466,0.8986501,1.360349,0.70589316
bear,1.1500326,1.0319594,0.98752975,1.0539805,0.9277635,1.0527904,1.0869868,0.99370295,0.9607195,0.0,1.1252689,0.83595103,1.1205345,1.1573741,1.1672926,1.0440072,1.1468475,0.91446805,0.8365016,1.1516577,1.0024023,0.8742187,1.0363398,0.88901323,1.062038,0.9880766,1.0388718,0.9277152,0.9367183,1.0527678,0.94891477,0.8673377,1.0118895,1.0005715,1.0613269,0.9775626,1.0822686,0.8838423,1.0666325,1.1307375,0.9724103,0.99685603,1.0792028,1.113743,0.98476374,0.8322817,0.91634834,0.9547775,1.0263578,1.118205,1.0448204,0.87256086,0.9598469,1.1038272,0.99214095,0.98512346,0.93085283,0.81325877,1.08441,0.96232814,1.0372549,1.1431384,1.0851251,1.0354075,0.98185045,1.0282501,1.0465024,0.9365571,0.9424117,1.025917,0.9843367,1.0287129,0.860606,1.043428,0.85741997,1.0051626,0.97828096,1.0059469,1.0715498,1.0322208,1.0675495,1.0314976,1.151991,0.9124726,0.8852124,1.0903993,0.92927885,1.0306424,0.78695136,1.0174733,0.94381464,0.8987307,1.0522864,1.000993,0.9773861,0.9641883,0.8866364,1.1432488,1.0949185,1.164782,1.0795486,1.0881015,0.80749816,1.0159932,0.99961466,1.1227803,1.1206111,1.0351189,1.0344373,1.1836926,0.9238332,1.0234613,0.8449905,1.1489046,0.82793915,1.1528722,0.9646758,0.99203396,1.1116639,0.96218914,1.0315427,0.8571992
