,alligator,ankle,apple,arm,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,can,car,carrot,cat,chair,chips,clock,closet,comb,cookie,corn,couch,cracker,crayon,crib,cup,deer,dish,dog,doll,door,drawer,dress,ear,egg,eye,face,finger,firetruck,fish,flower,foot,fork,frog,glass,glasses,glove,grass,gum,hair,hamburger,hand,hat,hose,jacket,jar,jeans,knife,ladder,lamp,meat,melon,milk,mitten,mouth,muffin,nail,napkin,necklace,nose,orange,oven,pajamas,pants,paper,pastry,pen,pencil,pickle,pillow,pizza,plant,plate,pumpkin,purse,radio,refrigerator,rock,rooster,sandwich,scarf,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,snow,sock,spoon,sprinkler,strawberry,stroller,sweater,swing,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,tricycle,truck,vacuum,watch,window
alligator,0.0,1.1968491,1.437182,0.4345101,1.3203309,1.433904,0.782088,1.3314992,0.63667125,0.49730635,1.5088478,0.65272987,0.5938267,1.4526768,0.56914854,0.7610277,1.2534852,1.5503378,1.1943626,0.8154509,1.0905,0.6743963,1.2934878,1.4731319,1.3049881,1.3657781,0.72331625,0.9760567,0.5321339,1.5045624,0.94359595,0.6196318,1.0006564,1.1550405,0.62150615,0.83387274,1.5730034,0.885487,1.6018045,1.0766355,1.0037614,0.3287351,0.9810322,0.95292574,0.81018853,0.8319257,1.1555662,1.419609,1.0857893,0.7555605,1.2549999,0.8956802,0.98480487,1.25986,1.0909331,1.320644,0.89829874,0.7397109,1.4135199,1.2434056,0.9717233,1.4028165,0.7780927,0.9756573,0.85873526,1.4671168,0.5218403,0.65515065,1.3269944,0.7114055,1.0737416,0.6008868,1.5471822,0.95257264,1.1525067,1.1412134,0.7229378,1.3893397,1.0586319,1.4918048,1.3059086,1.3444083,1.0250819,1.0690153,0.7872574,0.55669713,0.51802444,1.0522683,0.87611145,1.4863313,1.4412286,1.3546741,1.2801871,0.78169286,1.218411,0.9853398,1.0696102,1.0479008,1.2390177,0.78960073,1.1872367,1.1278625,0.67139745,0.9355416,0.83590275,0.61772233,1.092522,1.0402788,1.0332961,1.0236924,0.9687593,0.67436033,1.5162511,0.8040713,0.9206841,1.3633022,0.8879139,1.4347696,1.0180974,0.5869374,0.8292882,0.556731,1.2790008,1.372386,1.4034655,1.0473399,1.2325445,1.1753778,0.78422403,0.8566719,0.85715795,1.0455678,1.1507502,1.4276867,0.7779365
ankle,1.1968491,0.0,0.88703525,1.0473387,0.9850815,0.81827855,1.0441078,1.2564108,1.2441074,1.2621582,0.76447666,1.2050902,0.9817968,1.0358369,1.1542228,1.2267731,1.1245515,1.0258398,1.2559742,1.2319808,0.9080796,1.3330448,1.091277,0.9184525,1.2066287,0.59719694,1.1257234,1.0913118,0.9858235,1.0073619,1.2132823,1.2765465,1.062417,0.9657578,1.046567,1.0281198,0.8584877,1.2997755,1.0395247,0.84320855,1.1994524,1.0670644,0.97956795,1.2254497,0.97939,0.883742,0.5144439,0.79133993,0.76590836,1.1021748,0.46689194,1.2805414,1.0982354,1.1986936,0.6764772,0.548899,1.111,1.1626527,0.7470766,0.6865302,1.0958049,0.8860433,1.0567598,0.79540735,0.6632145,0.92723787,1.3541623,1.0332906,1.0731754,0.8445652,0.9768248,1.2524183,1.0074906,0.72861135,1.0902307,1.0818481,0.90386933,0.65200067,1.1445503,0.6837613,1.0285339,0.57117057,0.6498563,0.8100189,1.0863988,1.0918237,0.97284615,1.1485212,1.003289,0.76854706,0.8105266,0.60162276,0.86639726,0.9887333,1.2100897,1.2473847,0.8577813,1.0987325,0.9698178,1.2236228,1.1012491,0.9941995,1.1174428,0.93390334,1.2158561,1.0132098,0.94101465,0.7582533,1.2365407,1.0582943,1.2445891,1.1719122,0.75941867,1.3165575,0.841223,1.0014268,1.085548,0.8496274,0.863715,1.0274963,1.2262647,1.2762213,1.1078787,0.5322859,0.546315,0.80195254,1.0556822,1.1485698,1.242419,1.1541568,0.8225742,1.1222405,1.1958144,0.7222809,1.2163188
apple,1.437182,0.88703525,0.0,1.4840415,0.42375314,0.3252148,0.7871609,0.79782605,1.4537537,1.4830697,0.52195656,1.4205782,1.455133,0.5733377,1.309674,1.4013169,0.95732313,0.48722965,0.9894315,1.3806543,0.58349675,1.3262689,0.99488616,0.68651116,0.7474121,0.53810817,1.1693825,1.1948397,1.1240461,0.4921341,1.3183678,1.3227757,0.83733416,0.5980623,1.4120271,0.945097,0.39946276,1.3177522,0.5080683,0.9024278,1.0712733,1.3759501,1.0016062,1.2613276,1.3514086,1.2707262,0.8954296,0.37223828,0.8650735,1.1963154,0.7703941,1.2910264,0.8087789,0.6251025,0.90813154,0.85090524,0.8057594,1.3627189,0.57155585,0.7203852,1.1161965,0.5431682,1.2540363,0.7515316,1.2147661,0.4388522,1.4832613,1.3620069,0.8102432,1.3086476,1.1907914,1.4331837,0.5690719,1.0114653,0.44404495,1.0242114,1.2394048,0.80493724,0.87118936,0.40232623,0.77378297,0.8156727,0.931452,0.58266807,1.4356804,1.4592383,1.4564761,1.1966714,1.0444019,0.56774426,0.60524976,0.3756312,0.8040452,1.059384,0.8461922,1.1534392,1.0027237,1.0999867,0.9694213,1.3839133,0.65716463,1.0086946,0.9034389,1.1944257,1.1299539,1.3775123,0.91955274,1.1433015,1.1136144,1.1184016,1.2546778,1.2337562,0.3802724,1.236516,1.2178156,0.72405696,1.1812397,0.6440444,0.8625381,1.4028194,1.1671416,1.5082098,0.6387845,0.6547089,0.64067024,1.0166732,0.8260138,0.68971527,1.3487483,1.1537535,1.2169445,1.1534748,1.0302789,0.58063173,1.346191
arm,0.4345101,1.0473387,1.4840415,0.0,1.4530618,1.3580306,0.9480289,1.44789,0.5833641,0.5687923,1.4588487,0.7525734,0.5021119,1.4911591,0.69221276,0.8279978,1.1566875,1.5088185,1.2573428,0.83149743,1.3267936,0.75719815,1.1187792,1.4398738,1.3132579,1.2832282,0.7598191,1.0645512,0.690814,1.564117,0.95041895,0.57887536,1.1448039,1.2401891,0.6829144,0.99348056,1.4950838,0.9650545,1.5472147,1.2119606,1.1539395,0.5249191,1.1154885,0.9667844,0.77559376,0.83493996,1.0724057,1.4445574,1.0642505,0.6654674,0.98855644,0.9022406,1.1103333,1.3910373,0.933977,1.0365573,1.1369548,0.8068267,1.3631877,1.1919637,0.89341223,1.3141549,0.657063,0.97436726,0.48794556,1.5119636,0.5822866,0.5457231,1.2994968,0.5798544,0.76431566,0.70935816,1.5503883,0.9321366,1.195656,1.0831811,0.6997504,1.2984562,1.2221847,1.4360372,1.3747861,1.1539369,0.9273152,1.0713681,0.7784077,0.44125044,0.43996066,0.94383293,1.0731969,1.3610225,1.3405063,1.3203577,1.2703061,0.9023767,1.2764871,1.099672,1.1382918,1.1198173,1.2083384,0.69142604,1.373607,1.1671886,0.89002144,0.8972236,0.7518572,0.39290625,1.1428384,0.827875,0.95187515,0.9164701,0.85228074,0.75334305,1.5214493,0.79016596,0.813105,1.3123713,0.9428194,1.2656586,1.1905655,0.3706709,0.87948513,0.5493026,1.3803641,1.160927,1.3211195,0.8281282,1.3284185,1.3261458,0.8282641,0.90229785,0.8687036,0.997201,1.1620799,1.2706571,0.7177376
ball,1.3203309,0.9850815,0.42375314,1.4530618,0.0,0.41551942,1.1360872,0.8050432,1.3281535,1.3373787,0.66879743,1.3018324,1.3459992,0.6920376,1.2255725,1.2645066,0.95197916,0.49728346,0.87706035,1.2219791,0.69650644,1.2103441,0.86585534,0.7124987,0.72428095,0.84890896,1.135758,1.1583544,1.2701066,0.40535188,1.2711729,1.3571594,0.59586155,0.8205599,1.3592305,1.1212938,0.56734526,1.2201718,0.5052911,1.0653081,0.9903974,1.2431575,0.86503386,1.1746304,1.4033294,1.1648854,1.05044,0.3336897,0.86711663,1.1627862,0.921573,1.2019669,1.0065941,0.71086234,1.07797,1.0115107,0.7973789,1.2191942,0.67171264,0.754643,1.098375,0.62869644,1.2064482,0.9519669,1.2660751,0.4264009,1.3026124,1.354132,0.79022753,1.3634182,1.2775279,1.30979,0.5670161,1.1812433,0.682838,0.9111851,1.1764565,0.9773041,0.72252,0.4105748,0.8123779,0.92293984,0.98461944,0.6414827,1.3918636,1.3683344,1.4209988,1.1231439,0.884021,0.7126485,0.7064388,0.70178306,0.88870347,1.2619836,0.93340385,0.90129304,0.9245708,1.0944515,0.8765705,1.4049664,0.39406013,1.0585063,1.0887054,1.1473467,1.1217823,1.3837863,0.911295,1.2124617,1.0098678,1.2032597,1.2561785,1.0879662,0.53076345,1.1189686,1.0736132,0.76962686,1.1106173,0.67921185,0.9214584,1.3776581,1.0981089,1.333722,0.5963895,0.7828715,0.8584801,1.1365426,0.83915985,0.5634763,1.1398523,1.1325645,1.2216798,1.1802007,0.95844066,0.61009365,1.2761883
balloon,1.433904,0.81827855,0.3252148,1.3580306,0.41551942,0.0,1.0707016,0.8366668,1.3682815,1.4028382,0.5575429,1.3063202,1.3896842,0.6570919,1.2642071,1.3115735,0.9570415,0.5253497,0.93214935,1.3118805,0.85138106,1.3517325,0.7166201,0.6064182,0.7784498,0.69783777,1.09692,1.0335447,1.2414972,0.5307928,1.17523,1.3646443,0.9494796,0.84680766,1.2190282,1.0873166,0.5349423,1.224435,0.48270547,1.0222349,1.0906987,1.3373685,1.0195237,1.0877104,1.2209923,1.1603609,0.9644205,0.35855865,0.92539954,1.2047865,0.83601403,1.1888607,0.95030105,0.76908624,0.9303229,0.83090127,0.9599434,1.2890356,0.7028545,0.78797305,1.0593714,0.61705995,1.221709,0.9845386,1.1580395,0.5735929,1.3754939,1.2277998,0.84637886,1.2121602,1.0655683,1.3602148,0.578481,0.97954834,0.62007797,1.0082963,1.1612339,0.8066934,0.9620082,0.46950603,0.8006015,0.7653066,0.98849756,0.5509355,1.3108842,1.4247203,1.2838193,1.1469567,1.0447601,0.6766701,0.7040819,0.52102053,0.782291,1.1959313,0.94632125,1.0809165,1.0663552,1.0942781,0.9217536,1.2053328,0.71800685,1.0326253,1.1843265,1.1616796,1.0635436,1.2679543,1.0258899,0.96070856,1.0775447,0.98894197,1.0694065,1.1528018,0.5709471,1.2151986,0.9966546,0.69786775,1.0776187,0.5939803,0.9698672,1.3214833,1.1801049,1.4046508,0.6808059,0.7397046,0.73003745,0.9738997,0.86878574,0.7071291,1.2713954,1.1494638,1.1846967,1.0589595,0.9297824,0.6809494,1.2069297
banana,0.782088,1.0441078,0.7871609,0.9480289,1.1360872,1.0707016,0.0,1.1157649,1.0341163,1.2154769,1.1619716,1.2003176,1.0761073,1.1003648,1.0395675,1.1322967,1.0750874,1.12317,1.0434111,1.1242185,0.42667127,1.0972208,1.2541114,1.231873,1.1896617,0.98794585,1.2370716,1.3187718,0.4634608,1.1679306,1.16595,0.9057595,0.7703599,0.38617098,1.2445492,0.33494818,1.0589943,1.2624991,1.1891836,0.91490936,0.85589945,1.1305063,1.0256705,1.2099591,1.0593486,1.1700824,1.0412147,1.0768102,1.1260285,1.0884912,1.0102127,1.1925038,0.29522228,0.8888286,1.0550494,0.9330683,0.7671478,1.0861559,1.1679821,0.9470255,1.2451216,0.85525876,1.1374729,0.5014573,0.89483863,1.1065775,1.1262642,1.1571544,1.0051057,1.1110916,0.89995563,1.1919638,1.2335348,0.93511206,0.6208995,0.9508021,0.85748184,1.0754262,0.7990263,1.1234667,1.0443089,1.1015356,1.0434135,0.86581635,1.1124694,1.1646198,1.1296598,1.0296481,0.879063,1.0598437,1.0682126,0.89851594,1.2190876,0.44080758,0.9728795,1.0314626,0.9231236,1.164158,1.1888928,1.2032722,1.1066269,0.8936014,0.18668681,1.1255747,0.8985999,1.1334177,0.9041795,1.1649328,0.8720673,1.1452168,1.1198384,1.0164623,1.0571884,1.2487384,0.94300514,0.85418713,1.023991,1.0603379,1.087116,1.1346241,0.99369985,1.1693267,0.83818674,1.0541407,0.91337115,0.69053745,1.0139544,0.9463193,1.0897907,0.97464174,1.1083307,1.2130412,1.2504907,1.1306423,1.2189984
basket,1.3314992,1.2564108,0.79782605,1.44789,0.8050432,0.8366668,1.1157649,0.0,1.3349261,1.2202524,0.635821,0.73508227,1.4704088,0.524818,1.2315781,1.06825,0.6309021,0.4899056,0.77062786,1.0083594,0.85643226,1.21528,0.7702701,0.46918392,0.54902774,0.9279956,1.1354693,0.5384996,1.3703976,0.59126085,0.82074046,1.1800525,0.845018,0.8733023,0.92187357,1.1121371,0.6407427,0.5574708,0.41410983,0.9640146,0.87106633,1.3222526,0.9455873,0.784161,0.9937035,1.0905092,1.212785,0.8968795,1.2583619,1.3455389,1.16981,0.969594,0.9061446,0.655022,1.1965082,1.0990471,1.0784934,1.1594263,0.8306406,0.89668494,1.0232826,0.89713144,1.3172992,1.1460342,1.3773825,0.57921654,1.240171,1.3293823,0.75841117,1.4213911,1.0721152,1.0253636,0.49221337,1.2417789,0.8900019,0.88340163,1.3337626,0.838434,0.8428916,0.8948631,0.40572202,1.0153471,1.3711154,1.1817065,0.94978404,1.418824,1.4180558,0.85293376,1.0869838,0.73438597,0.7223051,0.9331665,0.58460075,1.1398413,0.69696,1.0300127,0.9053368,0.653584,0.58362174,0.9454777,0.7884213,0.95329946,1.1084632,1.1827478,1.2311705,1.434751,0.92246866,1.0019748,0.9214649,0.99877435,0.9113316,1.2420573,0.6856746,1.0779494,1.0952739,0.88509345,1.1171106,0.9252848,0.895516,1.4510839,1.1340623,1.221484,0.8149819,1.0452911,0.9635707,1.3031349,0.4715659,0.82365775,1.1611061,1.0849087,1.0979768,0.92602503,0.47630435,0.7688447,1.0349818
bathtub,0.63667125,1.2441074,1.4537537,0.5833641,1.3281535,1.3682815,1.0341163,1.3349261,0.0,0.5175407,1.4753789,0.89288396,0.5836782,1.4062698,0.78362435,0.46435905,1.0099078,1.4084072,0.5193042,0.3361957,1.4077249,0.69645476,0.68056154,1.4560351,1.2570148,1.4302192,0.9059025,1.1248901,0.9672344,1.4236598,0.8657477,0.5284652,1.2082846,1.1997769,0.8783109,1.0269688,1.4549719,0.77338743,1.3539579,1.2311382,0.91001153,0.78612626,0.8440652,1.0081762,0.7043319,0.96026576,1.2530293,1.4094524,1.1510777,0.8503909,1.2952126,0.6284347,1.0974076,1.1941528,1.1147625,1.237973,0.8746378,0.62346745,1.461755,1.4193792,0.8659395,1.1489921,0.831025,1.1440872,0.9053745,1.5127535,0.59316015,0.80680287,1.0433866,0.8960798,0.8900921,0.74097836,1.4486421,1.1330297,1.1893198,0.94896346,0.82332695,1.3201878,1.1666527,1.4390833,1.4526362,1.3756447,1.1382098,1.1332189,0.96307814,0.6393446,0.7288338,0.9002108,1.0340288,1.4277562,1.4134732,1.3267875,1.4595745,1.0221981,1.1802804,0.45198512,1.110391,1.1309632,1.2146859,0.8527119,1.2746273,1.0123286,0.99234957,0.88216954,0.64630127,0.7523794,1.0653032,1.2048433,0.85147655,1.0539844,0.49744993,0.49153966,1.497195,0.7083683,0.88830876,1.123727,0.8500314,1.2497547,1.2961891,0.7277586,0.6951283,0.3541988,1.0587412,1.4008787,1.4209788,0.9128181,1.402556,0.89179343,0.28201962,0.9429068,1.0465239,0.8368221,1.2793634,1.4331628,0.799549
bed,0.49730635,1.2621582,1.4830697,0.5687923,1.3373787,1.4028382,1.2154769,1.2202524,0.5175407,0.0,1.4258335,0.64315647,0.55895036,1.3681934,0.31811082,0.58937657,1.0708905,1.4827626,0.9906503,0.6012533,1.4583669,0.6453105,1.0810885,1.3682215,1.1840856,1.3548156,0.7268543,0.82265306,0.9348834,1.4209063,0.71756613,0.6981309,1.2340231,1.3565614,0.44217217,1.2041581,1.5257618,0.5151392,1.4652126,1.2570261,1.0362133,0.54459006,0.9907304,0.7746063,0.68786895,0.7489709,1.2473783,1.3878179,1.0671564,0.75997114,1.3069664,0.7116845,1.242394,1.2916174,1.1201183,1.3314424,1.0642862,0.735507,1.3912055,1.2865586,0.75187314,1.3996167,0.7340958,1.1630982,0.9585357,1.4486387,0.5431388,0.610673,1.2922406,0.6603364,1.1470764,0.2734803,1.3956168,0.9775914,1.3090591,1.117128,0.8525281,1.3208284,1.2277851,1.460367,1.242062,1.3520248,1.1091894,1.1902438,0.80203044,0.38172853,0.49407113,0.90515494,1.0260549,1.4541489,1.4121873,1.3823392,0.97294986,1.0274326,1.1770992,0.83276504,1.1674042,1.0065253,1.223582,0.6677108,1.1899755,1.2666104,1.0495392,0.8540748,0.9483784,0.5490461,1.1845651,1.0598831,1.136847,0.88823396,0.755764,0.6582826,1.5290143,0.52239007,0.94576204,1.3736697,1.0365148,1.4265687,1.2202026,0.5267379,0.81571054,0.39729494,1.257513,1.3978808,1.4512242,1.199651,1.1728171,1.1796235,0.59196097,0.8744199,0.8806119,0.9071783,1.0809877,1.4520471,0.5894072
