,alligator,apple,arm,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,bucket,can,car,carrot,cat,chair,clock,closet,coat,comb,couch,crayon,crib,cup,dog,doll,door,drawer,dress,ear,egg,face,finger,fish,flower,fork,frog,glass,glasses,glove,gum,hair,hand,hat,horse,jacket,jeans,knife,ladder,lamp,leg,melon,milk,mitten,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pen,pencil,pickle,pillow,pizza,plant,plate,purse,radio,refrigerator,rooster,scissors,shirt,shoe,shorts,shovel,sink,slipper,snow,sock,spoon,sprinkler,strawberry,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,vacuum,watch,window
alligator,0.0,1.074892,1.0862098,1.1178467,1.0839518,0.92998916,0.99629366,0.9724816,1.0803003,1.1300485,0.9701527,0.8853402,1.0085545,1.1208684,1.0904114,0.82789314,1.1490796,1.0665811,0.96748567,1.0847473,1.0149013,1.1845797,0.9009103,1.0156498,1.0743173,1.0680039,0.96200126,0.955234,1.0836025,0.82665807,1.0541255,1.0590352,0.96979254,1.1546309,1.0264001,1.0419183,0.96721697,1.0331026,0.87798107,1.1074581,1.0620213,0.9401286,1.133514,0.91607964,0.90078515,0.95403475,0.64973605,0.84908783,1.0880824,0.9611527,0.9879922,0.7793146,0.9774291,1.1184024,0.79085207,1.011964,1.2196844,0.9805479,1.1149293,0.87430316,1.0128257,1.1250782,1.0240643,1.0021805,1.1766105,1.0341996,0.9441832,1.0105097,1.0523123,1.1396558,1.2296473,1.0869889,1.147252,0.8476479,0.9865409,1.0034863,0.9916716,1.1988266,1.0043151,0.7865803,1.1272334,0.874853,1.0561229,1.0511881,0.78855836,0.9019731,0.9826777,1.0120145,1.0889387,1.0051566,1.1122208,1.1292185,0.96555585,1.1496885,0.9638509,1.002319,1.0866263,0.80770695,0.9587238,1.046083,1.0860063,1.167519,1.0153285,0.8781537,1.0681417,1.0132537,0.91378844,0.86490154,1.1902167,0.93132854
apple,1.074892,0.0,1.1121708,0.56567943,0.7093886,0.5900202,1.0859028,1.4067788,1.2109582,0.9326896,1.1893679,1.0454165,0.94986343,1.1883289,1.1640179,1.0598874,1.0210065,0.944884,1.016367,0.87247264,1.0179353,1.0621693,1.0593096,0.80095947,1.2732831,1.3910184,0.82588035,1.2570702,1.1000481,1.0690907,1.1902434,0.86399746,1.3356869,0.99678504,1.1672263,0.7674412,1.3665408,1.2165394,1.2486706,0.8218944,0.5439114,0.907234,0.669845,0.8946341,0.86477304,1.1013964,0.69035894,1.0885303,0.91433877,0.86717194,0.5723465,1.0458909,0.74191713,0.75438285,1.0382998,1.1772906,1.1603969,1.1928337,1.2791266,1.1212574,1.1354803,0.86362875,0.98844117,0.9142351,0.7223693,1.0585797,0.89338416,0.80157095,0.6749901,1.1968544,1.1630354,1.1643668,1.1042368,1.1161152,1.018556,0.9878189,0.78616834,1.0589793,1.0284997,0.92451686,0.92653465,0.88845944,0.84234476,1.4214127,1.0967664,0.9330831,1.1700991,0.8419287,1.1151642,1.0629424,1.2661107,0.7864,1.1290514,1.1064272,1.0989128,0.9112151,0.94180304,1.0498911,1.1583521,1.2096872,0.7277474,0.6714952,0.9566783,1.0385815,1.0881113,0.58641964,0.97052515,1.2721655,0.83192444,1.3426666
arm,1.0862098,1.1121708,0.0,1.3083504,1.2082355,1.3124523,1.2575177,0.77312577,0.6719358,1.1560148,0.7924781,0.85600865,1.0894451,0.6242296,0.8741304,1.4664497,1.4166044,1.5283272,1.101802,1.3636332,1.1334419,1.3384991,1.0625201,1.112769,0.7382971,0.8427392,1.4049146,0.7500652,0.40739727,0.87321544,0.6999649,1.4166119,0.8768681,1.434952,0.5148119,1.0640547,0.6613451,1.1406753,0.7372819,0.94864094,1.2739717,0.7468945,0.9413422,1.1597041,1.3955368,1.331471,1.3103901,0.9636367,1.2852111,0.76656055,1.374607,0.63104856,0.7574639,1.2914569,1.3109839,0.43905556,0.3134699,1.3716773,0.6857966,1.2841632,1.0602577,1.2630093,1.0340166,0.7037479,1.1559072,1.3119371,1.3443036,0.87929523,1.2422385,0.92845345,0.7002641,0.31540185,0.37052274,1.2028239,1.3884152,1.3631746,1.3530338,0.8693491,0.77912605,1.2113698,1.5237412,1.0078995,1.1738302,0.6894178,0.7349113,1.2822009,0.47244322,1.2203628,0.55652106,1.1687824,1.0210029,1.3499053,0.7727842,0.9435114,1.4030482,1.0278891,1.3488946,1.0737432,0.3828215,0.71095157,1.4135058,0.9937843,0.9754754,1.0601045,1.3631146,1.4417807,1.0845048,1.1247358,1.219226,1.081081
ball,1.1178467,0.56567943,1.3083504,0.0,0.45276082,0.851945,1.07377,1.3366731,1.2807009,0.92093223,1.3985025,1.3776207,0.8589316,1.3092542,1.1883556,0.9796539,0.700181,0.7712722,1.1885896,0.7855959,1.0677179,0.78662443,0.96353954,0.9435573,1.1070114,1.420173,0.46717918,1.2767305,1.2385752,1.1204479,1.4835372,0.5666803,1.4031687,0.6550581,1.3159517,0.7963637,1.3612593,1.2646543,1.3022728,1.0135176,0.15428245,1.1571792,0.83307254,0.8536311,0.70126975,0.91303986,0.87178874,1.193341,0.73453647,1.196713,0.28006828,1.234641,1.1174127,0.560634,0.6863491,1.3241765,1.3441379,0.9864375,1.3669335,0.81876314,1.0016787,0.7633034,1.1280643,1.2894206,0.4747764,0.9711057,0.714591,1.0272651,0.490628,1.3027091,1.133362,1.3141148,1.3967782,1.1320915,0.7625495,0.72195065,0.7075236,1.1896089,1.189356,1.0203837,0.69549966,1.2148049,0.74269956,1.4164035,1.2193003,0.8832972,1.3390671,0.9494836,1.2420075,1.1531931,1.2165393,0.5249722,1.2097287,1.2141538,0.8888831,1.0078981,0.6275182,1.1400056,1.3808489,1.3333001,0.36791998,0.72508097,0.9567107,1.1260406,0.8767181,0.3433398,1.1082792,1.1872057,0.69289553,1.0450549
balloon,1.0839518,0.7093886,1.2082355,0.45276082,0.0,1.0133675,1.029498,1.1409695,1.200571,0.9826941,1.2372702,1.2873468,0.96056205,1.2082355,1.1562833,1.1197215,0.8095631,0.8329954,1.0783207,0.9767203,0.95039386,0.78888977,1.1884005,0.9859436,1.050501,1.2955133,0.6674563,1.0994377,1.1858902,1.2474332,1.3127369,0.8773102,1.2255261,0.72002006,1.1546346,0.88343346,1.072915,1.1110058,1.2215643,0.9097625,0.5541816,1.051084,0.9212789,0.92667145,0.8493785,0.9013055,1.0116953,1.0884597,0.8248811,1.2072674,0.696575,1.0845121,1.0379499,0.696252,0.93878907,1.287392,1.1944885,0.9445984,1.1272004,0.6389074,0.90679103,0.82132244,1.100266,1.2249405,0.69953465,0.8841472,0.886971,0.8655741,0.7362502,1.1898445,1.098806,1.2455585,1.3042501,1.0877318,0.8983627,0.854561,0.88575137,0.9111933,1.164917,0.85606194,0.8625731,1.1898583,0.9060608,1.134331,1.1336775,1.087811,1.1993184,1.0292515,1.2496374,0.9822699,0.9030255,0.8358806,1.157716,1.127328,0.8312463,0.8520707,0.7119646,0.9875341,1.2700424,1.1990546,0.7000412,0.8482367,1.0593965,1.1657227,0.8664756,0.82971954,1.1711651,1.049266,0.91795444,0.80429345
banana,0.92998916,0.5900202,1.3124523,0.851945,1.0133675,0.0,1.1666616,1.2739712,1.2910895,0.87870646,1.2998741,1.0744487,0.9264298,1.2397187,1.1364603,0.9613413,0.93767536,0.748978,1.1875558,0.65746325,1.041029,0.9389664,0.8313754,0.84208393,1.2587764,1.3559186,0.7711965,1.2962462,1.1927308,1.0711644,1.2048236,0.7133683,1.3381715,0.9547547,1.2729442,0.9810748,1.3442802,1.2150867,1.0965348,0.9356866,0.74833333,1.0178039,0.8696029,0.80660546,0.8086978,0.95756876,0.5617103,1.0285057,0.7930409,1.0499089,0.79256815,1.1235104,1.0251318,0.82628673,0.85541797,1.1542556,1.2786521,0.99650276,1.3682579,1.045111,1.1803627,0.7229532,1.0779331,1.0374972,0.79248464,0.9399291,0.8313912,0.9437605,0.7189752,1.3098588,1.166219,1.2352382,1.1929057,0.9869802,0.7606135,0.7423209,0.46692252,1.1192285,1.0389979,0.8806023,0.65828395,0.9240001,0.8428395,1.4289978,1.151411,0.85309505,1.2273214,0.936212,1.1758912,0.9150347,1.175539,0.7481537,1.1345655,1.0408041,0.94320935,0.9676116,0.8511122,1.0207664,1.1998279,1.2501558,0.7812732,0.8401715,1.047604,1.0186473,0.9181997,0.6219853,0.9751567,1.1929729,0.8499897,1.2007352
basket,0.99629366,1.0859028,1.2575177,1.07377,1.029498,1.1666616,0.0,0.831952,0.89490515,1.3040867,0.69387555,0.90191835,1.2682037,0.95193565,0.9333219,0.6184302,0.807655,0.80469894,0.38151276,0.820499,0.64544886,1.0656617,1.0696247,1.2473507,1.2285945,0.87050223,1.0199459,0.878002,1.2338083,1.0570891,0.81142527,1.1528804,0.45221078,0.8134324,1.125838,0.9432677,0.93698543,0.59181577,1.0180262,1.3198591,1.0618589,1.2394903,1.3113321,1.3028883,0.81759346,0.8642097,0.9347211,1.1016126,1.2945085,0.98706937,0.93402946,1.1844397,1.1457505,1.1689603,1.0161512,1.1908139,1.3176918,0.80811536,0.94979286,0.9129211,0.94253063,0.92747664,0.7729045,0.9147336,1.3414093,0.8676107,1.122151,1.1930562,1.0887868,0.8658731,1.0529913,1.2303537,1.2853589,0.84538543,1.1791193,1.1757574,1.2090433,0.9905305,0.9115138,0.78878105,0.93791664,1.0041786,1.0903779,0.8617286,1.025065,0.8251096,1.1604421,0.68787456,1.182522,0.952781,0.7538035,1.1433411,0.9778436,1.0238478,0.91634643,1.096441,1.101948,0.83771676,1.1554558,0.83631563,0.96267295,1.3700218,0.9062948,0.7242919,0.92989695,0.9634398,0.68424815,0.69309974,1.2205175,0.91586673
bathtub,0.9724816,1.4067788,0.77312577,1.3366731,1.1409695,1.2739712,0.831952,0.0,0.6076203,1.1832256,0.7304807,1.0223261,1.1682754,0.7524914,0.57942873,1.0426592,1.2861094,1.0269289,0.76755154,0.9811561,0.8419372,1.2096988,0.8739966,1.1950307,0.59888023,0.7634431,1.3235735,0.6772662,0.92523736,1.0326203,0.64273995,1.361574,0.6056218,1.2499985,0.75920665,1.3213527,0.4808734,0.49274755,0.82931393,1.2344152,1.2884886,1.1152889,1.3117257,1.0939701,1.3174491,1.0520815,1.1955342,0.95601785,1.3348942,1.0945575,1.4281604,0.95296115,1.1279907,1.4394013,1.2059324,0.78098816,0.85011303,0.9556117,0.8412804,0.96440804,0.9176464,1.0951862,0.93850905,0.90702593,1.4015982,0.8979816,1.3209229,1.1311214,1.1834505,0.92152655,0.8115735,0.78615355,0.9094671,0.88504845,1.1784399,1.2696228,1.1975515,0.84385264,0.92956555,1.0884904,1.1291763,1.1089239,1.3586246,0.5555644,0.9313168,1.1017004,0.8762411,1.2208279,0.8775048,0.8859825,0.39143324,1.4264107,0.6614991,0.9578839,1.0434898,1.06259,1.2424242,1.0537102,0.8794169,0.65375704,1.2965175,1.3826433,1.0956113,0.88803005,1.0160437,1.4870622,0.96886146,0.9345517,1.4152877,0.67442644
bed,1.0803003,1.2109582,0.6719358,1.2807009,1.200571,1.2910895,0.89490515,0.6076203,0.0,1.3772283,0.5750408,0.78506273,1.2836355,0.22837901,0.6609731,1.1220661,1.4257962,1.3137087,0.8056859,1.1635919,0.91712296,1.3588395,0.88668716,1.4097786,0.7701279,0.691012,1.3256361,0.5719097,0.7130326,0.9667249,0.40752316,1.4885349,0.556396,1.4131105,0.547686,1.208567,0.59157044,0.76576996,0.7851825,1.2261031,1.2014381,0.98165613,1.3839056,1.3676014,1.3135843,1.1274567,1.2715923,1.036164,1.4813209,0.8905175,1.4021971,0.8847163,1.1087698,1.4745721,1.2501438,0.6304841,0.59364086,1.1718141,0.76165533,1.0757374,1.311637,1.287921,0.99629134,0.7299801,1.4199626,1.0544522,1.4735394,1.10153,1.2576847,0.9068493,0.67373747,0.4914022,0.6971564,1.1945217,1.4653466,1.5186446,1.4365261,0.85435665,0.52530307,1.1865432,1.3355742,1.1198537,1.3452646,0.6114746,0.735813,1.1676224,0.6552279,1.0722686,0.74207115,1.1482568,0.620118,1.4863987,0.6007292,1.0589848,1.1836008,0.9980226,1.3359145,1.1136158,0.6490167,0.3547393,1.2486249,1.4383209,0.9647371,0.93467796,1.3979667,1.3429539,0.6695099,0.8613474,1.4753788,0.93409956
belt,1.1300485,0.9326896,1.1560148,0.92093223,0.9826941,0.87870646,1.3040867,1.1832256,1.3772283,0.0,1.2679996,1.0965229,0.6134293,1.3779051,1.2488497,1.07289,0.8068172,0.92120075,1.2979851,1.052477,1.159219,0.52148455,1.0706359,0.45114,0.89688456,1.125223,0.97343576,1.3530927,1.1846967,0.97213024,1.2722679,0.45869267,1.3759964,0.8223189,1.2149248,0.9732629,1.2756355,1.163893,1.2522315,0.5841063,0.99204147,0.8996979,0.45352638,0.37136865,1.1101166,1.1745929,1.0144421,1.0410274,0.29196972,1.0749992,0.9397219,1.0215837,0.89587057,0.54195243,0.9926766,1.2860758,1.1516082,1.0475061,1.1504157,1.0835768,0.8150309,0.89367753,1.1537188,1.2366858,0.4079585,1.1368147,0.4504825,0.74923706,0.9281013,0.9175998,1.1598605,1.2910337,1.105658,0.80553514,0.39894444,0.4332356,0.54389477,0.7986245,1.2589847,1.1571134,0.81665933,0.99060714,0.8562083,1.2130826,1.245717,1.0730797,1.2676401,1.1349101,1.1258281,1.0629832,1.3041744,0.4225644,1.2676387,0.99791867,1.0687077,1.275458,0.64483786,1.1626563,1.3117145,1.4305749,0.9891035,0.37080365,0.8604387,1.248773,0.6858001,0.91747224,1.3174624,1.2156837,0.35815847,1.0130081
