,alligator,ankle,apple,arm,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,bucket,can,car,cat,chair,clock,coat,comb,couch,cracker,crayon,crib,cup,dish,dog,doll,door,drawer,dress,duck,elephant,face,finger,firetruck,fish,flower,foot,fork,frog,glasses,glove,grass,gum,hair,hand,hat,horse,jeans,knife,ladder,lamp,leg,mitten,motorcycle,mouth,nail,napkin,necklace,orange,oven,owl,pajamas,pants,paper,pen,pencil,pickle,pillow,plant,plate,pony,pumpkin,purse,radio,refrigerator,rooster,scissors,shirt,shoe,shorts,shovel,sink,slide,slipper,snow,sock,spoon,sprinkler,strawberry,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,vacuum,watch,window
alligator,0.0,0.7128854,0.9524958,0.7089013,1.1662122,1.3305708,0.89632875,1.2499686,0.889594,0.7761457,1.2153212,0.68980634,0.80945945,0.84546,0.5909343,0.9235327,1.1914872,1.3817476,1.1806917,1.0384427,1.0346159,1.013811,1.2819605,1.1964364,1.0273143,1.098251,1.2591445,0.83054173,1.0337371,0.67589223,0.9518276,1.3184875,1.0668653,1.3663373,1.101876,0.78592384,1.0974236,1.0041046,1.2630566,0.9776229,1.2667077,1.0091366,0.88146347,0.846063,1.0633996,0.75138104,1.2520754,1.0370212,0.8130555,0.8291684,1.3148993,1.0897033,0.9355629,1.1171446,0.9106327,0.75239646,1.2601001,0.8179037,0.7410029,0.9412471,0.9605175,1.3363953,1.1189427,0.8869561,1.0055081,1.1096863,1.2768009,0.8116241,1.281782,1.1103103,0.9399064,1.1955734,0.8590821,0.68000984,0.9166417,1.2409385,1.2598612,1.0604441,1.1300899,1.1692381,1.348916,0.81745493,0.5720027,0.94435525,1.1001287,0.96876246,1.0589473,1.2906421,0.8505926,1.0955093,0.9895422,1.0731153,0.9888322,0.9122881,1.2821336,0.9577879,0.8319579,1.3632563,1.0226382,1.1949067,1.1148664,0.8982771,1.0078853,1.2185636,0.96980196,0.8489863,0.95885277,0.75863457,1.2293532,1.0318091,1.1498367,1.1593404,0.97840285
ankle,0.7128854,0.0,0.75989515,0.8858435,0.7500104,1.010881,0.8541986,1.1408174,1.267384,1.2332544,0.89750165,1.117375,0.99131334,1.0971063,1.110221,1.2445208,0.99877715,0.97723025,1.1650901,1.2691251,0.7902732,1.2042291,1.1085119,1.1574868,1.1479734,1.1152115,1.0049849,1.0845217,1.1170341,1.1285516,1.1001719,0.9139365,1.2574633,1.050706,1.0685533,0.99254733,0.85510206,1.162033,1.0593747,1.0495887,1.0454962,1.0656593,0.9006944,0.490461,1.1685624,0.9369397,0.87884444,0.72689915,0.91118705,1.0305749,0.8577611,0.8876143,0.9022255,0.9048625,0.959225,0.6664555,1.0072768,1.0619845,0.9571569,1.1974845,1.22209,0.9802284,0.9200849,1.1243887,1.113056,0.82430845,0.84464324,0.94202703,0.79818964,1.1212335,1.2227938,0.9652644,1.0057169,0.75270057,1.1559756,0.83782727,0.8653149,1.0337368,0.97343516,0.9819217,1.0813856,1.0679215,0.6498831,1.1235604,1.081353,1.307466,0.81843984,1.0726304,1.0316188,1.0408362,0.8524052,1.0938761,1.2689536,1.2415146,0.8619223,1.1874919,0.9762042,0.913948,0.8887875,0.8266435,1.2096944,1.0785338,1.3367021,0.9623995,0.50532526,1.2177575,1.1792918,0.9536762,1.0234753,1.2556801,1.1818892,0.6839481,1.221949
apple,0.9524958,0.75989515,0.0,1.0493777,0.5829412,0.7796616,0.4701181,1.1373472,1.1796138,1.3152728,0.89541054,1.294264,1.2006515,1.0619727,1.1869345,1.2443295,0.9524974,0.8619472,1.040771,1.2076185,0.6191988,1.1278977,1.0760546,0.96834147,0.9930514,1.162389,0.95685124,1.25055,1.1628937,1.2698663,0.87928396,0.78702235,1.2555616,1.0270001,0.9347437,1.0017842,0.83717144,1.2174344,0.95595324,1.1955153,0.9955419,0.9674457,1.0562375,0.71135044,1.0591906,1.0481044,0.7520057,0.999674,1.1518033,1.0772799,0.79711854,0.7963076,1.112033,0.6862605,1.0561563,0.9210633,0.9568152,1.1331446,1.0526047,1.0884554,1.1539893,0.98845005,0.93115824,1.0722896,1.1652081,0.9105142,0.79667133,0.9712517,0.8115542,0.80507654,1.2189674,0.9015,1.2683486,1.0931051,1.1051016,0.78566474,0.72248083,0.7482232,0.93250775,0.9507907,0.8326363,1.1307294,0.85490155,1.2406846,1.0791577,1.2820729,0.6606593,1.0346514,1.2021604,0.7796482,1.0376089,1.106455,1.1652625,1.151971,0.6516359,1.1386311,0.9583006,0.7937076,0.9433406,0.89205503,1.1329303,1.2387319,1.3308845,0.7195468,0.7297473,1.1053183,1.1363789,0.9834058,0.9041551,1.2000582,1.1962768,0.8622844,1.1859342
arm,0.7089013,0.8858435,1.0493777,0.0,1.1338764,1.212796,0.8685582,1.1696205,0.9577563,0.9585468,1.0778768,0.9100997,0.78724587,1.1126552,0.872086,0.9059379,1.1639193,1.265496,1.2632209,1.1419296,1.0988431,1.0231447,1.1447213,1.3120899,0.957236,1.0255543,1.1508963,0.830537,0.9166448,0.91245615,0.9989055,1.2040626,1.0483451,1.1601702,1.2161659,0.940693,1.2136157,1.0699791,1.1981807,0.9562483,1.1617482,1.0281769,0.88707954,0.8141618,0.9345287,0.9343492,1.1866355,0.8955513,0.8237555,1.0158523,1.1535906,1.039436,0.88493186,1.162909,0.86676294,0.73749244,1.1800361,0.8644285,0.9298879,0.8233311,0.8489655,1.2014936,1.0780433,1.0250044,1.0148121,0.9870993,1.1943622,0.98309416,1.1199613,1.1383162,0.92697877,1.12818,0.87909245,0.90803665,0.9504836,1.2116971,1.1613505,1.0958339,1.2355137,1.0917139,1.2167591,0.86045295,0.9499187,0.97580606,1.1419344,0.9771248,1.0053355,1.1042938,0.8194235,1.1483687,0.92101836,0.9989101,1.086923,0.80881417,1.2880287,0.98313963,0.9525383,1.1607642,1.0560005,1.0135013,0.8971543,0.8501743,0.94598866,1.2044436,0.8751737,1.0071851,0.8894211,0.98106885,1.2584616,1.0640196,1.0162537,0.95425373,0.9214775
ball,1.1662122,0.7500104,0.5829412,1.1338764,0.0,0.5910859,0.9245289,0.7963395,1.2606587,1.4612277,0.674297,1.4899132,1.3617889,1.22766,1.4465902,1.324203,0.79930973,0.5516528,1.0020481,1.2776066,0.84081393,1.099607,0.7735844,0.79315966,1.1028258,1.0017539,0.7898456,1.2150599,1.2509503,1.4341477,1.0520253,0.5684954,1.2156812,0.6826196,0.98002994,1.2869593,0.62161237,1.0928919,0.8176069,1.2069747,0.8256073,1.1515338,1.1761429,0.8101208,1.3466158,1.1483363,0.49999464,0.8680921,1.2775583,1.1403124,0.6507707,0.58047765,1.1979579,0.60091144,1.1478565,1.0318929,0.62904763,1.3230047,1.1291965,1.148032,1.3960538,0.6255607,0.6844673,1.030534,1.2923641,0.8625705,0.5689809,0.96834517,0.61199343,0.8281127,1.3350371,0.47632664,1.3065596,1.1644465,1.2215118,0.7747549,0.6897399,1.0304091,0.5813546,0.6742535,0.6603721,1.3309228,0.828919,1.1041816,0.93531084,1.4003692,0.7611119,0.6816957,1.3672135,0.6858215,0.9903179,1.1151704,1.1292065,1.372788,0.43995517,1.2645031,1.0639541,0.5516583,0.77114356,0.5907904,1.1674232,1.290144,1.4699147,0.5276635,0.6888977,1.204927,1.1648769,0.91857064,0.6778037,1.3802629,0.9620748,0.64094514,1.2613132
balloon,1.3305708,1.010881,0.7796616,1.212796,0.5910859,0.0,0.8548108,0.7879974,1.364406,1.4866948,0.42129266,1.4306647,1.4143239,1.3174113,1.550318,1.4236779,0.84646547,0.2969045,0.81128883,1.3094094,0.89980555,1.1464285,0.53674346,0.65314984,1.0263178,0.87513185,0.40047193,1.2674346,1.1944513,1.3655903,1.049898,0.25264406,1.2160995,0.27467006,0.8786647,1.3884085,0.8372828,1.0680292,0.781537,1.2501255,0.3624519,0.94062793,1.2068424,0.9336062,1.1496725,1.3645616,0.57577664,0.7986585,1.3980714,1.3448987,0.41553932,0.5655507,1.2404957,0.76328254,1.2255173,1.2467186,0.5939651,1.328394,1.2715542,1.2563403,1.2542677,0.49045873,0.51793176,1.2718657,1.3032169,0.93359584,0.3341282,1.0132812,0.34833527,0.45618963,1.3640476,0.8024771,1.4173728,1.319747,1.3608162,0.61306053,0.44821787,0.9621483,0.5390097,0.87713426,0.641189,1.3323829,0.8723944,1.2856606,0.9710301,1.312644,0.93827987,0.6028737,1.3980958,1.0144483,1.0263255,1.2214812,1.1280521,1.2847509,0.3523456,1.2924916,1.2533338,0.56021196,0.87108123,0.7055552,1.1500287,1.3657154,1.4722188,0.61517704,0.7547618,1.2888292,1.0855389,0.92457044,0.6869479,1.3376985,0.7519494,0.6048616,1.2096586
banana,0.89632875,0.8541986,0.4701181,0.8685582,0.9245289,0.8548108,0.0,1.1299791,1.155488,1.2782022,0.8657568,1.1474729,1.1124598,1.0753849,1.1086897,1.1713073,0.90495276,0.9831687,0.9574938,1.1912594,0.76850456,1.0880961,1.0270706,1.0568603,0.8905408,1.0269727,0.9215793,1.2287965,0.9907207,1.1953341,0.8258438,0.7827722,1.2840694,0.99794364,0.95279944,0.948219,1.1222126,1.2028406,0.962109,1.1900926,0.93155295,0.8107457,1.0899366,0.67044413,0.92609346,1.0627415,0.9041989,1.0244454,0.99232644,1.2365987,0.8017051,0.9515426,1.0791073,0.78145164,1.092415,0.9126537,1.0738925,1.1144019,1.0421765,0.9603301,1.0751983,1.0296257,0.9322536,1.0976998,1.2059186,0.9459507,0.9425064,0.8287617,0.76853377,0.6634885,1.2174674,1.1536727,1.249424,1.0756942,1.111806,0.7048022,0.6799636,0.6544351,0.9212567,1.0494449,0.9116324,1.110346,0.9061594,1.2284245,1.1852745,1.1977894,0.73280984,1.0400305,1.0951438,0.98911625,0.87810904,1.0477157,1.0995166,1.1189302,0.8333732,1.0319018,0.9854924,0.8945023,1.040319,0.96194184,1.1080415,1.2506816,1.2824258,0.91166854,0.7473216,1.1212944,1.0351613,0.8467616,1.0646906,1.1975989,1.0420625,0.8311036,1.2121981
basket,1.2499686,1.1408174,1.1373472,1.1696205,0.7963395,0.7879974,1.1299791,0.0,0.82695067,1.1149219,0.832749,1.1656809,1.4118061,1.2027735,1.3259535,1.0131272,0.5872424,0.7366123,0.62340397,0.70515215,1.179781,0.695035,0.66719097,0.80801064,1.2473054,0.74030674,0.9128061,1.0979066,0.88682616,1.2253593,1.101231,0.71265435,0.63193005,0.7032554,0.8663636,1.4743028,0.9408041,0.75827277,0.6223255,1.134262,0.84446025,1.1034135,1.2962365,1.2105165,1.098004,1.2508348,0.8219352,0.85960126,1.1547787,1.3133347,0.98476976,0.8120036,1.1377505,0.8027798,1.3393703,1.269509,0.8794997,1.299287,1.2971544,1.1282042,0.9946568,0.6560426,0.9517686,1.0685705,1.2137045,0.9795073,0.87723595,0.8958494,0.8912618,0.89966387,0.90892506,0.7945858,1.289212,1.2821977,1.0733597,0.8477856,0.80327606,1.2221583,0.5876449,0.7694534,0.64411426,1.2969656,1.2605681,0.70563674,0.8077234,0.85682553,1.1912413,0.6936214,1.4264529,0.78293264,0.9721209,1.1129329,0.7268881,1.072298,0.74491906,1.2032775,1.2629133,0.7584951,0.8425877,0.63995546,0.91276306,1.273041,1.1304921,0.6268006,1.1247852,1.1270692,1.0990386,0.88881886,0.55910516,1.0348932,0.7117651,0.8576564,1.1673772
bathtub,0.889594,1.267384,1.1796138,0.9577563,1.2606587,1.364406,1.155488,0.82695067,0.0,0.5519408,1.3398908,0.6616013,0.8993349,0.86592233,0.6774585,0.6636276,0.93477607,1.4383818,0.62205845,0.3529353,1.2874944,0.1968987,1.052067,1.1651857,1.067945,0.9612389,1.3369925,0.8830852,1.0736352,0.73775995,0.94281334,1.4545727,0.51237977,1.2669263,0.95783305,1.0840106,1.290627,0.8187188,1.0648642,0.91137105,1.2611449,1.1467412,1.0731679,1.3326735,0.88044214,0.89497024,1.2588038,1.2633164,0.96775603,0.9373164,1.5168602,1.2565485,1.0200583,1.0958283,1.0614223,1.0352635,1.3452246,0.9051729,0.89608604,0.8740732,0.7188928,1.2557037,1.3322189,0.83071136,0.8493022,1.1755524,1.4390883,0.86527085,1.5067617,1.1295762,0.66715324,1.2002766,0.9076824,1.003763,0.61194515,1.3774712,1.4454458,1.0395253,1.18206,1.1025431,0.85125995,0.89922273,1.1607583,0.7021767,1.0440451,0.6846311,1.2554283,1.2738075,0.9609535,0.88528013,1.080735,0.9445698,0.16466004,0.66849864,1.4017076,0.8679868,0.93737173,1.3162161,1.0581342,1.1790998,0.81877244,0.91672903,0.54581773,1.0123011,1.4220273,0.7252939,0.8661157,0.91986644,1.055288,0.5635465,1.005184,1.4792311,0.75522417
bed,0.7761457,1.2332544,1.3152728,0.9585468,1.4612277,1.4866948,1.2782022,1.1149219,0.5519408,0.0,1.390919,0.370829,0.72371626,0.72330034,0.29427707,0.6672325,1.1514713,1.4888978,1.034546,0.6743695,1.288909,0.8006406,1.2743999,1.241071,0.8780399,0.9443252,1.3208184,0.7220507,1.0178971,0.40773082,1.0817611,1.5932001,0.41055077,1.3946002,1.0867177,0.8021444,1.267463,0.77690995,1.1876439,0.8556131,1.2718527,1.0412378,0.8430426,1.4010295,0.810302,0.8379798,1.3735738,1.2867856,0.8939197,0.78472865,1.5548944,1.4955977,0.8741341,1.4043845,0.8848076,1.0587956,1.3676083,0.691471,0.91802835,0.89260346,0.57610124,1.3072596,1.3350075,0.8071815,0.81840235,1.2085137,1.4582019,1.0306513,1.5716496,1.2578626,0.6189966,1.2383871,0.58887875,0.7756455,0.6271009,1.4677526,1.5263727,1.1141948,1.2520853,1.1792579,1.2908323,0.6755872,1.1548172,0.8053559,1.0500546,0.42851913,1.3164895,1.3972888,0.6859206,1.1499037,1.1904202,0.95291895,0.7206462,0.63422143,1.5867789,0.5642844,0.9463116,1.4601516,1.2442076,1.3645127,0.89002866,0.64805955,0.33604574,1.3106349,1.4519299,0.64701974,0.91520625,1.0083156,1.3191049,0.62410617,1.0407424,1.5368651,0.55044234
