,alligator,ankle,apple,applesauce,arm,ball,balloon,banana,basket,bathtub,bear,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,can,car,carrot,cat,chair,chips,clock,closet,coat,coffee,comb,cookie,corn,couch,cracker,crayon,crib,cup,deer,dish,dog,doll,door,drawer,dress,duck,ear,egg,elephant,face,finger,firetruck,fish,flower,foot,fork,frog,glass,glasses,glove,grass,gum,hair,hand,hat,horse,hose,jacket,jar,jeans,knife,ladder,lamp,leg,meat,melon,milk,mitten,motorcycle,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pen,pencil,penguin,pickle,pillow,plant,plate,pony,pumpkin,purse,radio,refrigerator,rock,rooster,sandwich,scarf,scissors,shirt,shoe,shorts,shovel,sink,slide,slipper,snow,soap,sock,soup,spoon,sprinkler,stick,strawberry,stroller,sweater,swing,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,vacuum,watch,window,zebra
alligator,0.0,1.1845391,1.1469542,1.1607151,0.8182361,1.1288906,1.1755366,0.97375196,1.0967424,0.915805,0.7509398,0.76596403,1.2349107,1.0656743,0.63040507,1.1499605,0.7307903,0.9639942,1.1253685,1.188824,1.2324663,1.1019672,1.0598773,1.0982356,1.2380791,1.1313037,0.89375746,1.1824343,0.80905175,1.2137358,0.98213524,1.1335192,0.9770221,0.98297197,1.130094,0.9398243,1.0177814,1.0800852,0.7978264,1.0868247,1.2324659,0.9338056,1.3177658,1.1263647,1.1179211,0.7038623,1.0527191,1.0749652,1.154191,0.8036752,0.899675,1.3065231,1.2232778,0.67362297,0.8973976,1.3153551,0.8588285,0.9786347,0.5691149,1.0828271,1.1111683,0.55573577,0.8301642,1.2160298,1.239172,0.79022133,1.1911381,0.98425096,1.1200453,1.2785181,0.7826173,0.7247565,0.8875985,1.0274993,0.89227295,1.183603,0.98943233,1.1176383,1.2078973,0.9680291,0.78882915,0.9819821,0.8397627,0.9564693,0.95986646,1.266131,1.2296365,1.316463,0.99853855,1.241565,1.1540954,0.7379298,0.83027565,1.0009826,0.9381397,1.2014133,1.2023884,0.886395,0.9996816,0.94118875,0.5033774,1.1198721,0.8640113,1.1192248,1.0563879,1.1193727,0.932167,0.6690356,1.0411634,1.1038433,0.89733124,0.9960423,0.86726224,1.0101953,0.980877,0.87702405,1.1530403,0.7817544,1.3110921,0.65595764,1.1777903,1.2293576,1.1172907,1.0410647,0.85777986,0.7855897,1.0210524,1.1484265,0.88744104,0.86438894,0.87037516,1.1104414,1.3437805,1.1726847,1.0234483,1.1934108,1.1173892,1.0816045,0.857218,1.1285269,1.3547734,0.86036503,0.88520944
ankle,1.1845391,0.0,0.8012963,0.9366473,1.0849802,0.81812,0.8810265,0.8679698,1.2045343,1.278239,0.9675234,1.3090737,0.5704445,1.1178215,1.2700183,0.5825645,1.1433953,0.93381506,0.9032125,0.75077236,1.0514767,1.3615581,1.1380376,0.98695695,1.0302452,0.88264245,1.1302902,0.79520917,0.8588284,0.980497,1.1159538,0.82840043,1.3237253,1.1166143,0.9353833,0.9375267,1.0008202,0.814373,1.3051643,1.0835061,0.49779987,1.4380975,0.7544913,0.5637526,1.2580626,0.88132507,1.1633251,0.9431557,0.9986392,1.2514616,1.0290859,0.7558157,0.8200339,1.0503833,1.1597956,0.7033801,1.1692846,0.63614804,1.3352413,0.893184,0.61573017,1.2382808,1.3686581,0.7714434,0.5789908,1.2916722,0.77004325,1.1298416,0.9914754,0.62898797,0.9855573,1.1849122,1.2629802,1.2531712,1.052526,0.57321894,1.2622553,0.63783914,0.83333814,1.0088685,1.2608832,1.152569,1.1927322,1.3077908,1.0650612,0.6033421,0.70763075,0.7166705,0.9499807,0.88953274,0.89659894,1.0577086,1.2637647,1.0728924,1.2149925,0.54142404,0.59436154,0.8656136,0.75597054,0.81677675,1.2531229,1.0606997,0.9099239,0.81979316,1.2162936,0.94370663,1.3089501,1.0826657,0.84830725,1.2003468,1.0521178,0.8916401,1.2301292,1.026657,1.096531,1.2050173,0.9223724,1.3682549,0.48396146,1.1648844,0.5758091,0.4370818,1.0563455,0.8996804,1.2688107,1.1719555,0.84459996,1.1156701,1.2763183,1.3095565,1.4718225,0.7281741,0.6509926,0.8288022,1.0478451,0.7569567,1.0349396,1.3835759,1.0457842,0.94827765,0.53547245,1.1375071,0.9576712
apple,1.1469542,0.8012963,0.0,0.7343192,1.3410519,0.35134333,0.4615475,0.6735795,1.2809892,1.3963535,1.032239,1.5313442,0.5619789,1.393624,1.2482085,0.56196064,1.4937654,1.1482124,0.9185848,0.5380881,0.70925516,1.2705033,0.9722992,1.1035903,0.7387393,1.0182773,1.2114036,0.4721582,1.17516,1.179775,1.1090174,0.748636,1.3569155,1.2642355,0.75581884,1.2979774,0.9390428,0.8339233,1.4876173,1.0765646,0.40224433,1.524083,0.5078641,0.8432099,1.0949062,1.0274668,1.0867538,1.1574713,1.094104,1.3966224,1.1764774,0.71058136,0.31242228,1.2638721,1.1174539,0.613369,1.2015998,0.44032383,1.0321641,0.96804726,0.835402,1.0114408,1.1885831,0.71276695,0.76614034,1.356312,0.4473381,1.1668026,1.0242789,0.4942252,1.0819983,1.2050346,1.3991771,0.9888275,1.3946836,0.8185114,1.4299482,0.7663918,0.8212191,1.0817516,0.83882093,1.1842854,1.141972,1.2454139,0.97303057,0.27032793,0.8461537,0.8059833,0.76405567,0.31620944,1.0836093,1.2272602,1.4740226,1.3406625,1.1879524,0.5707358,0.6758287,0.77434,0.54482025,1.1894252,0.9781947,0.9863428,0.90072346,0.3225006,1.3298187,0.8065709,1.3171121,1.3585563,0.9922757,1.1807581,1.087297,0.9117592,1.4012611,1.2318231,1.2031579,1.1785711,0.90885866,1.34572,0.4539895,1.3571796,0.41835523,0.9152295,1.0075676,0.98639673,1.2582309,1.2526708,0.20786023,1.3183556,1.3973327,1.2378885,1.4539905,0.45510638,0.5332148,0.62334424,1.0656874,0.9667794,0.6177572,1.2508693,1.1372359,1.144401,0.43930578,1.2670299,1.2011313
applesauce,1.1607151,0.9366473,0.7343192,0.0,1.3041177,0.50011706,0.6647154,0.67383724,0.9630807,1.14411,1.2079676,1.256606,0.98945975,1.1375955,1.1422899,0.9495838,1.2291853,0.8215288,0.92862993,0.7137359,0.60985845,1.0250723,0.86794984,1.1508881,0.7330298,0.82651216,1.2449759,1.0816673,1.2068826,1.1686294,0.91930676,0.6060884,1.1307712,1.216089,0.49454635,1.0247834,0.8235378,0.6947193,1.2211504,0.88936305,0.82249933,1.2819066,0.6287217,1.1242497,0.8099593,1.150579,0.9216667,1.1356223,1.038651,1.3225491,0.96294516,0.9031967,0.4904073,1.1150593,1.1597328,0.99611807,1.1688327,0.8181848,1.0720143,1.059356,0.8486799,1.0737263,1.0879402,1.0535955,0.92999697,1.1946793,0.6947061,1.2386081,1.1127366,0.8587225,1.1549453,1.1700277,1.3558863,0.9432986,1.2803216,0.83973217,1.276153,0.8514905,0.9999456,1.1611408,0.88237226,0.8759807,1.0741357,1.2019651,0.8310596,0.8656559,0.8893278,1.0914202,0.96742356,0.5851544,0.9665061,1.1839243,1.2932726,1.3327805,1.1722294,0.8515258,0.85635364,0.94301957,1.0052778,1.0895216,1.1845224,0.6952547,0.99292606,0.9399167,1.138864,0.885015,1.2224413,1.1391486,1.1420343,1.0047545,1.2639854,0.8909625,1.3532395,0.91385955,1.2998071,1.0207019,0.9182775,1.2010158,0.8439218,1.1259907,0.8019288,0.9620475,0.65034556,0.8042523,0.9525873,1.1633012,0.8935307,1.241454,1.3303134,1.1772019,1.2090131,0.6816334,0.9797444,0.96044433,1.039672,0.9613626,0.77013636,0.9210135,1.1027322,1.142695,0.87612945,1.2105649,1.0984527
arm,0.8182361,1.0849802,1.3410519,1.3041177,0.0,1.3800718,1.3259597,1.2733438,1.1529998,0.8824397,0.8639651,0.58936954,1.3442643,0.91622543,0.7027985,1.3829043,0.61145043,1.0991452,1.3034788,1.4633608,1.4391428,1.0702127,1.0683713,1.0693355,1.421071,1.2775502,0.84802794,1.1878468,0.73670673,0.9735821,1.0809759,1.3998891,0.8449484,0.7343302,1.3344281,0.7174513,1.0490713,1.1147901,0.65242267,1.0914556,1.4330807,0.7234539,1.5244012,1.1286217,1.2392693,0.9489091,0.9974732,0.9266574,1.1158173,0.5749561,1.0670311,1.0577936,1.3616066,0.7183567,0.8080658,0.91211873,0.98574257,1.3687749,1.062861,0.7487439,1.2366005,1.0178547,0.88691616,1.0893469,1.0125369,0.78282833,1.4325684,0.7768588,0.572066,1.2738976,0.89389056,0.85291135,0.42051935,1.209644,0.47698867,1.2662902,0.75965846,1.3603114,0.7977938,0.7373868,0.94124067,1.119987,0.5821972,0.8663945,1.0333662,1.3438785,1.2362815,0.87503624,1.1238725,1.2922703,1.1162218,0.7549486,0.43161273,0.42704087,0.86303806,1.3176507,1.2362486,1.2651796,1.4341851,0.85591745,1.0200032,1.3706427,1.127249,1.1454189,0.8413362,1.3924512,0.7896007,0.77971196,0.86904067,0.9383192,0.8249011,1.1633072,0.40799314,0.95961136,0.5962768,1.0617216,1.3289297,0.8159858,1.4058247,0.7108662,1.4496257,0.96181214,1.2003701,1.2482255,0.91270167,0.74811465,1.3308724,0.8860849,0.44338053,0.92425245,0.72029674,1.5236318,1.0524551,1.0012609,0.75967443,1.0689781,1.4811745,1.1113503,0.9187567,1.0172963,1.2687364,0.80171615,0.7680489
ball,1.1288906,0.81812,0.35134333,0.50011706,1.3800718,0.0,0.22836518,0.68004113,1.182476,1.2991464,1.0097216,1.4046391,0.7746913,1.3756835,1.1891959,0.7311121,1.3538268,0.97961205,0.9915716,0.6028396,0.74867284,1.2342646,0.95566547,1.2381576,0.83266973,1.0805025,1.222713,0.79945034,1.150377,1.2771497,1.0289642,0.5690686,1.3369153,1.2607152,0.6539856,1.2096592,0.8571837,0.808741,1.3717356,0.9847415,0.562765,1.4728441,0.53655636,0.8760546,1.0143836,0.9301876,1.0376656,1.1576673,1.1467845,1.349583,0.9761454,0.88657844,0.09227258,1.2056235,1.1322613,0.8128779,1.2080603,0.48504227,1.0844492,0.92828494,0.8555566,0.9991214,1.1979599,0.92516536,0.81440103,1.2130017,0.4281829,1.1963599,1.1466516,0.6311945,1.0405381,1.1720433,1.3982364,0.9860073,1.387509,0.87468857,1.4734442,0.755868,0.9709332,1.2487364,0.83188707,1.0335472,1.1941543,1.2450641,0.90845937,0.4602486,0.81097084,1.0396158,0.8613176,0.29032576,1.1372247,1.1694709,1.3899573,1.3514086,1.1892543,0.659257,0.7215672,0.75527596,0.73890746,1.1055605,1.1090169,0.8620173,0.8256529,0.5027181,1.3520476,0.83572036,1.3536654,1.2131252,1.1087428,1.1344361,1.253089,1.0420835,1.3669329,1.1813622,1.2568506,1.1844541,0.9432539,1.3117024,0.57828474,1.2371006,0.50616086,0.9149167,0.90845484,0.9860434,1.1238344,1.210178,0.55342364,1.3286519,1.3673009,1.1846285,1.3923941,0.48260963,0.7161684,0.78505236,1.102025,0.93034077,0.609144,1.1941983,1.1417868,1.2766707,0.6459569,1.2776845,1.1447401
balloon,1.1755366,0.8810265,0.4615475,0.6647154,1.3259597,0.22836518,0.0,0.79500437,1.0617503,1.2950873,0.9266584,1.3999463,0.79056,1.2159356,1.239978,0.7368732,1.3552939,1.0625092,0.96791685,0.73363453,0.7173823,1.1126782,1.1003946,1.13569,0.6790359,1.1007144,1.2168608,0.7848134,1.1711051,1.2066334,1.1100429,0.735665,1.2888236,1.201143,0.7108021,1.1444099,1.0125421,0.8278708,1.3620695,1.115188,0.636737,1.3664203,0.6164028,0.8521548,0.99212736,0.9515213,0.96585107,1.1469778,1.1242776,1.2760026,0.9641964,0.9270196,0.29894185,1.2199421,1.1044992,0.8269398,1.171105,0.55095196,0.9795335,1.0464256,0.9249861,0.94354737,1.1622181,0.9561005,0.7304021,1.1855454,0.5310183,1.1770866,1.0941675,0.6952672,0.9784287,1.0543303,1.3072622,0.9243253,1.2949885,0.93971086,1.3351023,0.83068097,1.0235039,1.20194,0.8945332,1.0878987,1.0689648,1.1524922,1.004041,0.61957866,0.8913201,1.0173234,0.86173904,0.40973663,1.0769099,1.179485,1.3261881,1.2875116,1.1521108,0.75862026,0.79171824,0.7600587,0.7219378,1.164732,0.98728985,0.9700227,0.7859272,0.67129177,1.17421,0.829023,1.306397,1.2050182,1.141418,1.176151,1.0887051,0.9154618,1.2836974,1.1394967,1.190757,1.053528,0.9955349,1.2722574,0.673844,1.2363833,0.7017377,0.88399804,0.939256,0.9544343,1.0993398,1.240828,0.64952546,1.2269881,1.2943292,1.0794812,1.3506896,0.54515755,0.8011466,0.80132633,1.0198061,0.9714063,0.5837866,1.1620581,1.1204586,1.181126,0.75773394,1.2085054,1.0475875
banana,0.97375196,0.8679698,0.6735795,0.67383724,1.2733438,0.68004113,0.79500437,0.0,1.1197288,1.3171463,1.1499219,1.4108992,0.9210471,1.1932396,1.0946923,0.76627815,1.3398157,0.8287886,0.89014053,0.78476,0.7092578,1.1147861,0.61922556,1.1996379,0.8381393,1.0522681,1.2683189,0.82116574,1.2838469,1.2424732,0.88193715,0.86874115,1.3106003,1.2316977,0.73805463,1.0939543,0.67175364,0.2729833,1.366037,0.6757661,0.62371176,1.4309595,0.78504264,0.9089665,0.8111254,1.1081582,0.9192126,1.1695936,0.9199472,1.3794206,0.8834579,0.98109514,0.65689147,1.2514303,1.1600858,0.8810049,1.2021661,0.64688855,0.9524934,1.0794904,0.77351,0.7899459,1.218541,1.015729,0.8399365,1.281816,0.53876096,1.2533758,1.0275558,0.9036031,1.1506057,1.0055369,1.4266359,0.91878873,1.3534414,0.7725169,1.3932554,0.83791053,1.0562836,1.1100516,0.71599454,0.97696817,1.0514741,1.1852549,0.6705087,0.8022368,0.82119143,1.088419,0.8958924,0.5850858,1.0577497,1.1457329,1.4239643,1.3704877,1.2180514,0.70109916,0.70994693,1.0104566,0.7832594,1.0347632,0.9584711,0.7701318,0.9769034,0.7587579,1.1989875,0.92050934,1.3232403,1.2717015,1.088021,0.96428406,1.0079061,0.74899745,1.4303303,1.058923,1.3056669,0.9326256,0.98592234,1.1434737,0.763703,1.2951705,0.70446026,0.91388047,0.74273837,0.7366217,1.0851964,1.0660526,0.71486354,1.2860839,1.4101194,1.2108153,1.3343756,0.61688703,0.90226704,0.8708018,0.96307933,0.90543157,0.60675967,0.9353089,1.1928169,1.207291,0.8629621,1.3035493,1.231247
basket,1.0967424,1.2045343,1.2809892,0.9630807,1.1529998,1.182476,1.0617503,1.1197288,0.0,0.48197544,1.3301222,0.89499474,1.3379343,0.65275544,0.9334732,1.2811757,0.9817631,0.9022807,0.84557784,1.0853381,0.58502495,0.3034309,1.1320093,0.91527367,0.63675636,0.6913855,0.8646451,1.3572345,1.1477901,0.97930896,1.0660121,0.811166,0.56409013,1.0300491,0.9080581,0.79417706,1.2274541,0.9447163,0.86464614,1.0664113,1.2534292,0.520919,0.94038457,1.3429909,0.5710838,1.3164144,0.90897125,1.0088108,0.84619445,1.1071656,0.8904883,1.3090372,1.1982673,1.0688648,1.0615581,1.4398166,0.81285703,1.3154457,0.8653445,1.3677511,0.9354663,0.98730826,0.65080416,1.3625456,1.3616393,0.82793254,1.1193874,1.1046306,1.220658,1.284266,1.3024634,0.91578805,1.0817964,0.63436615,1.1635425,0.99727607,0.7327823,1.02153,1.3173614,1.157071,0.9700947,0.7837612,1.0629768,0.8713932,1.0840461,1.3496497,1.1341268,1.271,1.1734985,1.1761796,0.8464812,1.0314046,1.0515146,1.2503716,0.84815097,1.2668037,1.213269,1.2427704,1.2083731,1.2363514,0.9390901,0.46341497,1.2413341,1.4097593,0.5877714,0.84024626,0.79454374,0.97628796,1.227084,0.86820817,1.0205567,0.7633505,1.0864732,0.9029936,1.253129,0.71630937,0.77278924,0.67982495,1.3248911,0.9503146,1.3420527,1.3054255,0.69993174,0.72991836,0.9323256,0.8764624,1.1710626,0.96097285,1.0549597,0.7425771,0.6350366,1.0570195,1.4913883,1.3888438,1.0734789,1.1361874,0.7960824,0.40226042,0.8844794,0.8790339,1.4126225,0.8854216,1.0034839
bathtub,0.915805,1.278239,1.3963535,1.14411,0.8824397,1.2991464,1.2950873,1.3171463,0.48197544,0.0,1.074258,0.5920372,1.2846882,0.75390685,0.742606,1.358268,0.6797787,0.92065406,0.98811454,1.1340853,1.0059863,0.6458218,1.1498327,1.080092,1.0592041,0.77053994,0.61768174,1.4185246,0.8739236,0.9088351,1.1156557,0.94937605,0.6131571,0.8398667,1.1370324,0.81837094,1.214793,1.2268218,0.65099317,1.126479,1.380716,0.37508917,1.1342496,1.2313083,0.83378077,1.1316096,1.2097607,0.7763387,0.707131,0.90018266,0.89255387,1.3942509,1.3276341,0.8790643,0.9942972,1.3906193,0.85549366,1.3478444,1.0369507,1.2091154,1.085755,1.1352047,0.5085447,1.3437129,1.4112659,0.8010374,1.4092349,1.0132287,1.1925166,1.3718301,1.1255734,0.97610736,0.8003286,0.9704431,0.9047259,1.1090435,0.682345,0.9976617,1.181141,1.0167474,0.9882018,0.71574044,1.0941523,0.81606054,1.2363224,1.380325,1.1190482,1.2741499,1.2894157,1.3757304,0.69450265,0.9241537,0.8120033,0.94720477,0.81457174,1.2725134,1.2369,1.1787308,1.3034486,0.97743094,1.0454313,0.70027745,1.2002176,1.4370127,0.76118445,1.0283691,0.49787652,0.85972726,1.1426766,0.93061286,1.210722,1.0961797,0.8218508,0.94754064,0.9545234,0.96249235,0.6248109,0.6632359,1.3614907,0.782258,1.3206513,1.3262758,0.9072621,0.9189097,0.8700464,0.789035,1.2744457,0.7828139,0.8032924,0.89643943,0.51246166,1.3277545,1.4201066,1.3284664,1.0269762,1.1503733,1.2767546,0.65825105,0.7743328,0.974766,1.3943591,0.6469388,1.0369145
