,alligator,ankle,apple,applesauce,arm,ball,balloon,banana,basket,bathtub,bear,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,butterfly,can,car,carrot,cat,chair,chips,clock,closet,coffee,comb,cookie,corn,couch,cracker,crayon,crib,cup,dish,dog,doll,door,drawer,dress,ear,egg,elephant,eye,face,finger,firetruck,fish,flower,foot,fork,frog,glass,glasses,glove,grass,gum,hair,hamburger,hand,hat,horse,hose,jacket,jar,jeans,knife,ladder,lamp,meat,melon,milk,mitten,motorcycle,mouth,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pastry,pen,pencil,penguin,pickle,pig,pillow,pizza,plant,plate,pony,potato,pumpkin,purse,radio,refrigerator,rock,rooster,scarf,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,snow,soap,sock,soup,spoon,sprinkler,stick,strawberry,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,tricycle,truck,vacuum,watch,window
alligator,0.0,1.4234786,1.4278998,1.1584743,0.6266607,1.267364,1.3036082,1.1718875,1.1653284,0.7036781,0.79398215,0.6025162,1.3566803,0.7443653,0.49487007,1.0928936,0.5637195,0.8916526,0.9187561,1.5392212,1.4727256,0.9740715,1.2398655,1.2704465,1.4506702,0.99142253,1.4748899,1.3487166,1.0300919,0.8404948,1.0554203,1.2430829,1.2253617,0.73988515,1.1259539,0.93217164,0.93090886,0.6672859,0.609203,0.8341094,1.441618,0.77330154,1.5658332,0.9690198,0.8560573,0.7897631,1.058552,1.1553378,0.7850245,1.0353687,1.1608491,0.8880086,1.2874181,0.9130324,1.2412288,0.9042184,1.1304138,1.1156949,1.0840974,1.2226038,0.6158591,0.72320986,1.2937387,1.103103,0.5842889,1.1207994,0.83891964,1.3417557,0.7797602,1.246356,0.60313797,0.69501185,0.7290979,1.1376911,0.60427636,1.3303013,0.8328489,1.427107,0.7729572,0.8311111,0.9908629,0.5328884,0.90373695,1.0082729,1.0946363,1.4877979,1.1500978,1.2684661,1.2579229,1.2783263,0.9969889,1.1487187,0.5589987,0.77194,0.81982356,0.776175,1.4136239,1.4483061,0.95163363,1.0318482,0.64538294,0.8522121,0.9405666,0.88214517,1.4453695,0.85363936,1.2280364,0.97669196,0.978816,1.2615666,1.0066183,0.81131816,0.77411264,0.9463276,1.0265406,0.71933854,0.9117796,1.0144488,1.2375965,0.8960668,1.0190172,0.58266497,1.4377607,0.804328,1.4397125,1.1776127,0.8456241,1.2890906,0.7307823,1.1775591,1.1871285,0.96597993,0.73661137,0.67323554,1.4641147,1.3610014,1.223286,1.0831834,1.0802507,1.1417036,0.75396776,0.9532281,0.830018,1.0609214,1.0625603,1.4090854,0.88967365
ankle,1.4234786,0.0,0.66401154,0.9693831,1.0363413,0.8354553,0.68938875,0.8651607,1.1731492,1.4231471,1.0525438,1.3934505,0.55912364,1.3252308,1.3661981,0.6646461,1.3562329,1.2236222,1.1034218,0.592061,0.8084349,1.2618513,0.8362341,0.7039763,0.8091986,0.9153457,0.5597323,0.8077043,0.75196445,0.9931539,1.0270126,0.9079281,0.9056522,1.4566373,0.9229675,1.1972336,1.0581205,1.2703909,1.3721774,1.2698476,0.5477708,1.475555,0.5976491,1.3408872,0.94137424,0.97253484,1.1654987,0.9149138,1.1948874,0.58978045,1.0650171,1.0832634,0.5629314,1.0672225,0.4091028,1.231828,0.70595753,0.98174906,0.4614988,0.7841927,1.0658153,1.478595,0.46590292,0.49805415,1.4658725,0.82451475,1.0107117,0.722425,0.8983417,0.3667606,1.1854949,1.3204712,1.1991378,1.0273136,1.204412,0.6413009,1.3131977,0.68402624,1.334821,1.3480775,1.1974815,1.0992302,1.2215152,0.8440423,1.0242105,0.4963085,0.8320056,0.45377982,0.51899993,0.88220054,1.2143492,0.7246003,1.3198612,1.0566573,1.2660867,1.2012317,0.5349678,0.51247156,1.0128738,1.0196596,1.1810505,1.0167472,0.97120285,1.0622698,0.83600855,1.1586686,0.76332796,1.1318798,1.133358,0.9946072,1.3662804,1.2038509,1.1638225,0.98421353,0.8313738,1.1097056,0.9134197,0.6763353,0.8537135,1.3440398,1.2070677,1.4240574,0.25537848,1.3143958,0.6767887,0.33197963,1.2401127,0.7592265,1.3460351,0.865389,0.85221905,1.20045,1.1440446,1.49616,0.6651294,0.3094107,0.59722304,0.8653741,0.810849,1.0082288,1.4780062,1.2561938,1.3543919,1.0842235,0.9967464,0.30843925,1.2957132
apple,1.4278998,0.66401154,0.0,0.5095447,1.3756704,0.49795294,0.3111019,0.40337706,1.0865972,1.513638,1.2490815,1.5151346,0.7261187,1.60906,1.5142591,0.7173103,1.4958386,1.1466115,1.0177053,0.52639693,0.562485,1.1833779,0.60659766,1.0020908,0.75090873,0.7771511,0.83776045,0.7440792,0.7363275,1.2453258,1.3992628,0.6307361,0.76800716,1.5053458,0.7430816,1.2916654,0.84216154,1.0131065,1.5222726,1.0472412,0.4454375,1.4459703,0.4961121,1.1084605,1.0856364,1.0611513,1.3305364,1.1638861,1.3609824,0.9307749,0.7120226,1.1795778,0.70103747,1.1174699,0.69749063,1.1577849,0.54540527,0.65623736,1.0150907,0.8061582,0.73242277,1.3132799,0.7241119,0.81329906,1.3808056,0.47498953,1.2294713,0.5160154,1.171118,0.6649839,1.2216169,1.4219201,1.4728358,0.943467,1.495155,0.7771643,1.5492578,0.7367656,1.1229745,0.8622714,1.1301708,1.1892788,1.3445132,0.9569125,0.7317982,0.38035667,1.0379196,0.8906256,0.62786245,0.1581105,1.4003394,0.83424234,1.523695,1.4018102,1.1408877,0.9939791,0.5786555,0.54277045,0.9520053,0.6312996,1.2083786,1.2191733,1.0878392,0.89343905,0.54224277,1.0517128,0.71007186,0.60012573,1.2327337,1.0068185,1.424327,1.2214351,0.80894464,1.199807,0.8879479,1.4259056,1.1708045,1.1599795,0.8446129,1.3934748,1.2075946,1.4374532,0.566041,1.290555,0.57646865,0.9823292,1.2120465,0.6924805,1.2897089,0.9831208,0.585963,1.3599021,1.4143168,1.5078038,0.34439683,0.5733466,0.64184076,0.8998182,1.0730977,0.6754084,1.2866256,1.1562103,1.364507,1.0070963,1.3583555,0.57452464,1.3268487
applesauce,1.1584743,0.9693831,0.5095447,0.0,1.1153817,0.7081996,0.6514791,0.65465355,0.9653335,1.1534282,1.2109277,1.2371655,1.0241343,1.263124,1.2393558,0.974648,1.2451394,1.0579889,1.0518249,0.8012038,0.66795456,1.0454835,0.5981778,1.0838573,0.6872742,1.0183619,0.9872249,1.0347503,0.9030553,1.2474234,1.2257247,0.6372005,0.89739615,1.2782983,0.8513026,1.1046112,0.8064107,0.8962549,1.2302345,0.95852894,0.9200776,1.1734123,0.7387133,0.90679455,1.1364322,1.0373399,1.2250271,1.1485835,1.2230463,1.0996327,0.633291,1.1464822,1.056734,1.1736526,0.99488324,1.1703181,0.91800237,0.8391316,1.1043851,0.8989717,0.8734925,1.0668471,1.125847,0.9511409,1.1768012,0.7643781,1.2019807,0.9065194,1.101117,0.98565054,1.1008084,1.1684343,1.3165908,0.7413629,1.2742506,0.94143707,1.3166379,0.9535412,1.0232074,0.46419573,0.9883856,1.0447078,1.2667971,1.01421,0.7258433,0.92948973,0.9919498,1.0832742,0.96831644,0.42779505,1.1596216,1.0314987,1.2731946,1.2885058,1.0343459,0.94409746,0.9419586,0.9396542,0.852903,0.49481642,1.1017729,1.1221435,1.1897463,1.0264229,0.75735533,0.9952549,0.8171523,0.7181893,1.1677612,0.93582284,1.1215672,0.9619918,0.9628575,1.2189504,1.0230707,1.266006,1.1252193,1.1949995,0.96015954,1.2156614,0.8669468,1.083367,1.0136849,1.1654241,0.75524163,1.044112,0.9692502,0.8137202,1.0750414,1.0206705,0.8882581,1.2582678,1.251478,1.2076951,0.6215035,0.98315185,1.0673137,1.0816875,1.0691867,0.9024667,0.99028486,1.087559,1.287297,1.06377,1.2319113,1.0424882,1.2075844
arm,0.6266607,1.0363413,1.3756704,1.1153817,0.0,1.3130322,1.3790127,1.2560372,1.252999,0.7078159,0.8993006,0.60848427,1.2945764,0.57539654,0.5142764,1.3253272,0.6689683,0.79097176,1.1340128,1.4206481,1.4149324,1.0594802,1.1895787,1.2058889,1.3616033,1.268729,1.2691712,1.4038982,0.7545145,0.86364144,0.86701995,1.253293,1.3380368,0.7476436,1.1890233,1.0171624,1.1552572,0.77513266,0.56186587,0.83538723,1.3572786,0.83067894,1.4417422,1.1404918,0.9980258,0.80942273,0.88688815,1.0469738,0.71515375,0.79723454,1.1061715,0.9889937,1.1663381,0.82032967,0.7659615,1.0685188,1.2323226,1.3062143,0.5473363,1.3078444,1.2871487,0.86245394,1.077773,0.97727334,0.8420029,1.2505085,0.67849827,1.3896401,0.3774076,1.1213912,0.90344137,0.8580785,0.6571805,1.203432,0.49914902,1.2361212,0.74207103,1.3290708,0.7917481,0.96350276,1.0272893,0.5612552,1.0017298,0.8677184,1.0297459,1.3113198,1.0440731,1.019812,1.0623494,1.2383447,0.8781486,1.2987199,0.47526282,0.6252072,0.8741919,1.0615062,1.3258569,1.272291,1.2025089,1.1559811,0.8747457,0.8199981,0.83685887,1.2389375,1.4680597,1.0843482,1.0789869,1.0568506,1.081818,1.1470113,0.90654284,0.87478364,1.1208142,0.96117145,1.2702575,0.4639297,1.0560043,0.80064285,1.2274233,0.85040116,1.0188988,0.7630043,1.2064457,0.944348,1.381531,0.7677988,0.8810049,1.3393617,0.902822,1.0561564,1.3597085,1.0364656,0.492837,0.66435915,1.4663734,0.9274005,1.0853101,0.9978807,1.0464399,1.3933944,0.9243106,0.98197305,0.9524791,1.0915465,1.0334395,1.1438386,0.83051085
ball,1.267364,0.8354553,0.49795294,0.7081996,1.3130322,0.0,0.3775968,0.88697875,0.9154389,1.2989094,1.1054492,1.2112784,0.9587216,1.351268,1.226776,0.882217,1.2012259,1.1047086,0.9990795,0.7598001,0.81820416,1.010545,0.8453605,1.1000725,0.7916781,0.9410474,1.0279531,0.88736856,1.0823052,1.2010933,1.263771,0.93702847,0.67312807,1.2846683,0.7778194,1.1611708,0.8601123,0.9853161,1.2281764,1.2075869,0.82013154,1.1821249,0.70240635,1.0110519,0.96065515,0.89667124,1.2195535,1.2810295,1.2014592,1.1101767,0.6236712,1.1165937,0.9288647,1.1382215,0.98738015,1.135497,0.86773145,0.78142524,1.087695,0.936846,0.8184481,1.0950794,1.0646745,0.8507403,1.0985138,0.6594789,1.2064614,0.9212004,1.1540303,0.77594507,0.98748887,1.1275101,1.2935158,0.8269734,1.3389487,0.990241,1.3383448,0.91548103,1.1589239,0.90985954,1.040725,1.0476029,1.0973434,1.0531032,0.7552107,0.73958516,1.0373611,1.0428208,0.86404765,0.554399,1.2653102,0.82037544,1.3081434,1.3324099,0.98959553,0.9210601,0.87455595,0.92158955,0.8634275,0.98152333,0.9769453,1.0911918,1.2022779,0.9397272,0.8539841,0.93434095,0.9069913,0.756497,0.97986203,0.7956178,1.2336154,1.0425603,0.8825681,1.1523541,0.9143394,1.3020349,0.9612375,1.1223474,0.9858019,1.2216254,1.0901945,1.1264846,0.92389965,1.1312277,0.82183284,0.98641825,0.98263294,0.85473245,1.0993602,0.998132,0.6766025,1.1375337,1.2981282,1.1894792,0.51656306,0.912658,1.0441107,1.0854423,1.0915208,0.5818762,1.0971941,1.0804746,1.1355133,1.1650658,1.1764753,0.94586563,1.2149751
balloon,1.3036082,0.68938875,0.3111019,0.6514791,1.3790127,0.3775968,0.0,0.7429249,1.0452781,1.4119064,1.1766744,1.4056835,0.75690126,1.441365,1.3994378,0.7247652,1.3525493,1.1340168,0.9876864,0.5899875,0.71808463,1.0944773,0.85779583,0.9030967,0.68252087,0.76834124,0.78724694,0.78405875,0.8806941,1.171624,1.217513,0.8377614,0.73847246,1.4092642,0.6770464,1.164436,1.0186331,0.9736435,1.3963382,1.2170871,0.5795603,1.3038422,0.54357433,1.0854104,1.0563158,1.0494934,1.243847,1.1210551,1.2794914,1.0282073,0.6749982,1.1247313,0.83643854,1.200181,0.8721428,1.088169,0.62111485,0.7655861,1.0787896,0.9215691,0.74184346,1.2876084,0.89408827,0.6640979,1.2733603,0.49028313,1.2233955,0.68992645,1.2335091,0.61979926,1.0971215,1.2805882,1.3257196,0.8811846,1.4026898,0.8663018,1.4116087,0.7793323,1.167333,0.8900581,1.1440583,1.0372703,1.2268624,1.0819892,0.90007716,0.54611576,0.9475167,0.93313175,0.78404874,0.45739895,1.3202487,0.83398974,1.4470434,1.2983568,1.0783265,1.1042767,0.64953816,0.7047607,0.89908457,0.809359,1.1330326,1.0814865,1.120242,0.84226966,0.71999186,0.9862507,0.92851985,0.81500894,1.089327,1.008568,1.3553138,1.1434357,0.77816856,1.1139828,0.8134752,1.3686876,1.1105826,1.0154216,0.8514352,1.3136089,1.1499962,1.210641,0.70901537,1.210789,0.5784918,0.8388066,1.1320046,0.79521954,1.1738944,0.97046185,0.6366218,1.2641034,1.3535671,1.3847039,0.4106986,0.7869132,0.84580016,0.8722236,0.9573864,0.63963646,1.2529423,1.1818539,1.2587926,1.0135926,1.1637032,0.7203257,1.2719014
banana,1.1718875,0.8651607,0.40337706,0.65465355,1.2560372,0.88697875,0.7429249,0.0,0.9666387,1.4448539,1.2357837,1.4411561,0.83886963,1.4918985,1.4021856,0.72889143,1.3913114,1.1558759,0.9862377,0.7008265,0.59323883,1.1008986,0.5139577,0.96717095,0.81063884,0.76844215,0.9259747,0.84056413,0.7423805,1.313276,1.2869768,0.42744046,0.91611946,1.4140898,1.037189,1.1218861,0.76267505,0.776795,1.4337304,0.8326049,0.6490838,1.3683738,0.7237395,1.0565348,1.0653063,0.9722262,1.3332661,1.1205604,1.2584188,0.9916952,0.9409488,1.1949959,0.88253975,1.1603178,0.8684963,1.1095927,0.70628476,0.5778955,1.0477102,0.67680424,0.68798363,1.251651,0.8958511,0.7899504,1.3489734,0.6703563,1.2859979,0.6450248,1.1252191,0.8906758,1.1936185,1.2506557,1.3759419,0.9302637,1.3279228,0.6788235,1.3877003,0.8658061,1.0768081,0.79581213,1.0220811,1.0556871,1.2357125,1.0347098,0.7514856,0.7410705,0.9518664,0.9712314,0.9054954,0.45129395,1.3148358,0.8414711,1.3782179,1.2979646,1.169795,0.9245871,0.6911042,0.6807486,0.93657696,0.540576,1.1874274,1.1701373,1.180987,0.73888975,0.64568955,1.030759,0.6159725,0.63295,1.0663068,0.9836798,1.3110281,1.180598,0.8607854,1.0434601,0.7669708,1.4095484,1.0459713,1.0742575,0.81230825,1.3375213,1.1349052,1.2851504,0.79645026,1.3579973,0.76438236,0.9824725,1.1295897,0.6410354,1.1804366,0.96258795,0.79245794,1.1855825,1.382999,1.4124582,0.5636678,0.83077264,0.8325513,0.95492107,0.9443689,0.74812603,1.0749291,1.1635119,1.2892779,0.9793215,1.1947873,0.79328364,1.3268485
basket,1.1653284,1.1731492,1.0865972,0.9653335,1.252999,0.9154389,1.0452781,0.9666387,0.0,1.0411887,1.2306011,1.1297829,1.0276097,1.1017121,1.1291445,0.97507864,1.1131107,1.1250932,0.55905026,0.77165693,0.65607107,0.4117183,0.96468043,0.77306736,0.4764712,1.1119398,0.8306547,0.76216835,1.3339304,1.2935193,0.8416579,0.8239893,0.6934688,1.0041326,1.0699024,0.57158697,1.0199435,0.91655594,1.1618631,0.9850152,1.0089561,0.82604384,0.7392087,0.67163557,1.2000585,1.0234413,0.95040035,0.8322123,1.1198068,1.370762,0.81673944,1.1269954,1.2727057,1.2515612,1.2956156,0.9499787,1.1180031,0.78051686,1.2851644,0.75556576,0.9434993,0.7882779,1.3356605,1.0416828,1.100889,0.83638704,1.3100443,0.9946327,1.2189062,1.2291932,1.0473003,1.0441313,1.2981077,0.63139546,1.3442855,0.881021,0.9458483,0.7890619,1.1132536,0.80788136,0.6566085,1.2061807,1.0029402,1.282879,0.8894574,1.1746097,0.7224779,1.1027672,1.2276894,1.0332297,0.8992888,0.86899626,1.221877,1.4093071,0.83363104,1.0454478,0.92894757,1.026483,0.9809014,0.92777765,1.0574629,1.000968,1.1895975,0.80634236,0.68715763,1.0463423,1.1181612,1.0745766,0.7051139,0.6034538,0.74486727,1.1246905,1.0584023,1.0235755,0.8412764,1.3394698,0.9017537,1.0557564,0.86764765,1.0312451,0.7446502,0.92593396,1.212533,1.1684995,0.78997976,1.1819546,1.0744053,0.75367945,1.0445305,0.95745933,0.8233063,0.86348546,1.3559585,0.9900233,0.8204402,1.2783515,1.3282678,0.9744721,0.81529915,0.61960506,0.58939916,0.93996376,1.0308228,0.90485275,0.7693334,1.2825081,0.9748751
bathtub,0.7036781,1.4231471,1.513638,1.1534282,0.7078159,1.2989094,1.4119064,1.4448539,1.0411887,0.0,0.6637155,0.47362745,1.3220251,0.43628109,0.61582744,1.3247924,0.62807834,0.69646996,1.149641,1.4421558,1.3124394,1.0203959,1.3515614,1.2391411,1.2355009,1.3059688,1.233042,1.2600245,1.1695057,0.66847074,0.827493,1.2921944,1.1104232,0.41435254,1.1107496,0.8315865,1.1729379,1.041482,0.52059054,1.0668743,1.4069486,0.504232,1.3961798,0.8160172,1.2683623,1.2721802,0.45902824,0.93081975,0.9185988,1.2423887,1.0993776,0.5907071,1.311058,0.8878695,1.3420697,0.922255,1.3619704,1.2620034,1.2723141,1.2424021,1.2888256,0.5776433,1.3001897,1.499582,0.56183445,1.4611708,0.80647206,1.4074435,1.0318415,1.4309018,0.90258867,0.56402683,0.55398476,1.1900787,0.64529634,1.2507304,0.55299336,1.0856199,0.84750223,0.82547164,0.9335701,1.0786699,0.84867024,1.0565317,1.328595,1.4100105,1.1618441,1.3717332,1.3229955,1.368711,0.49860054,1.3335496,0.63541794,0.71099913,0.873329,1.0521647,1.3469262,1.3611789,1.139695,1.0977216,1.0370953,1.0042223,0.9787752,1.2571094,1.2846375,1.1050148,1.3253013,1.2023807,1.1198165,1.060279,0.4377467,0.60081804,1.2262052,1.1367693,1.2032788,0.5979973,1.1948293,1.1864365,1.17054,0.41727364,0.5455152,0.3610747,1.4749825,0.44240105,1.393254,1.2941401,0.7710128,1.291383,0.6534188,1.0313374,1.3680118,0.9399025,0.594828,0.46570313,1.4233683,1.4300678,1.3461915,1.116429,1.1690134,1.3192397,0.6682055,0.71104836,0.6862208,1.1072737,0.87296605,1.4226213,0.47644943
