,alligator,ankle,apple,applesauce,arm,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,bird,blanket,book,bottle,bowl,box,bread,broom,bucket,can,car,carrot,cat,chair,chips,clock,coat,coffee,comb,couch,cracker,crayon,crib,cup,dish,dog,doll,door,drawer,dress,ear,egg,elephant,face,finger,fish,flower,fork,frog,glass,glasses,glove,grass,gum,hair,hamburger,hand,hat,horse,jacket,jar,jeans,knife,ladder,lamp,meat,melon,milk,mitten,motorcycle,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pastry,pen,pencil,penguin,pickle,pig,pillow,pizza,plant,plate,pony,pumpkin,purse,radio,refrigerator,rock,rooster,sandwich,scarf,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,snow,soap,sock,soup,spoon,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,truck,vacuum,watch,window,zebra
alligator,0.0,0.96828735,0.94087434,1.1862271,1.2335573,1.0118146,1.0377883,0.8216672,0.8507811,1.234169,1.1962242,0.9345095,1.2531109,1.197181,0.20514476,1.1913688,0.78010595,0.90269804,1.0652884,1.0396117,0.90150523,1.169126,0.79841626,0.9496737,0.9470348,1.0940104,1.1340786,1.2583158,0.9794644,0.8337601,1.1159075,0.94826204,1.1529963,1.182099,1.0708995,0.8176622,1.2058282,0.79433155,1.1721232,0.60089076,0.8199911,1.2293886,1.2464747,1.1354206,1.1621275,0.9635434,1.1151268,1.1805661,1.1693742,0.764462,0.7874395,0.81106114,0.3733759,1.0680001,1.1184102,0.9868304,1.0257918,0.84828854,1.2374676,1.1026917,1.2374518,0.98744744,0.56484234,1.2639394,1.1281785,1.3258802,0.68991435,1.3249077,0.90920335,1.2728131,0.912017,0.9587232,1.1560394,0.9795585,1.0238296,1.0760622,0.9605094,0.94029045,1.0610275,0.83840007,1.1812143,0.65260684,1.2639023,1.3650975,0.97802484,0.8769528,0.7380501,1.0097076,0.9393584,1.1485904,0.7285981,0.95220953,1.0440125,0.87710667,0.9347185,0.67810744,0.8549622,1.197503,0.9040704,1.0956259,1.1903418,0.6738194,1.1083269,1.175962,0.7236823,1.3196003,0.84215873,1.0091401,0.6994396,1.1004436,1.1450083,1.1144544,0.9821478,1.1579924,0.90156335,1.0480049,1.0586035,0.5750081,1.2187281,1.2633712,1.2291442,0.8048572,1.0271006,1.0248936,0.9047408,0.8739054,0.8120662,1.14262,1.0708842,0.91923904,1.0746464,0.9993303,1.088524,0.69928855
ankle,0.96828735,0.0,1.0870667,0.8114468,0.85148805,0.9729663,1.0658334,1.1349435,0.9213505,1.1871464,1.0633719,0.896222,1.0503099,1.0992771,1.080363,0.9998058,1.1312848,0.91471815,1.1448323,1.1371825,1.0736326,1.1657177,0.94535506,0.88188154,1.1188467,0.9372742,1.0576662,0.9578426,1.0565112,0.9732341,1.040777,0.88939476,0.8242927,1.0642993,1.1991527,0.93314797,1.1864202,0.8505104,1.218713,1.0583408,1.0080497,1.1042738,1.1366551,0.9691673,0.76890314,1.0587138,0.9590211,1.129838,0.7042583,1.0138868,1.0822533,0.97169644,1.0913094,1.2966577,0.8279978,0.6321444,1.1632197,0.96846485,0.99510825,1.1705656,0.70296,0.71667475,0.9262287,1.0293957,1.2262179,1.0108175,0.8453549,1.1591845,0.9232067,1.1262136,1.0242558,1.1097784,0.88998413,1.1850649,1.0944841,0.902094,1.0994897,0.8499718,0.9415575,1.0522655,1.0879366,0.9469729,1.0753052,0.94065,1.0583694,1.0844488,0.856603,0.895291,0.93978727,0.89248085,0.893959,0.7927593,1.1283522,1.1204252,1.0987071,1.1070786,0.9635109,1.0075849,0.82845616,1.1198156,1.1220112,0.8884229,1.1040298,0.6080787,0.8737321,1.0901864,0.81469727,0.6654082,0.7814094,1.1158302,1.1860495,1.186918,0.58256,1.1081561,1.0548949,0.35389102,1.1438131,0.89449424,1.0839516,1.0633222,1.2460299,0.9966547,0.6901048,1.0460975,0.91978025,0.83616006,1.1845711,1.1966908,1.1176901,1.0990081,0.92337596,0.88234496,1.1373999,0.9182854
apple,0.94087434,1.0870667,0.0,0.6913471,1.2177105,0.50762403,0.592421,0.5705694,1.0993758,1.3621339,1.3888433,0.62297624,1.4181316,0.94021076,0.8943361,1.3843144,1.1218088,0.7106388,0.95349574,1.1855927,0.6448427,1.2271057,1.0466058,0.91814566,1.1546371,0.8841114,1.1220267,1.2793252,0.96828556,0.9412345,1.1292939,1.0216205,1.2663584,1.3626931,1.0852269,0.66917825,1.3611956,0.8820599,1.0474734,1.1846597,1.055687,1.2278022,1.1533899,1.0517262,0.8778678,0.4941799,1.1314011,1.0209566,0.7340208,0.66879684,0.59054565,1.0246334,0.6979471,1.1325834,0.7542317,0.8320359,1.2401481,0.87432706,1.1217675,0.98997897,0.9769509,0.73062575,1.0089669,1.323561,0.97043526,1.3273977,1.0037135,1.3686955,0.9039617,1.1939014,0.45139337,1.0759575,1.171246,0.9964391,0.72676075,0.58720523,1.1250719,0.760992,0.48867196,0.3028052,1.367225,0.9969297,1.352361,1.3007581,1.1370299,0.76301956,0.7943907,0.9062031,0.85622424,1.0679123,1.0214577,1.1078082,0.88354284,0.8723812,0.8809034,0.901277,0.63192594,1.2907894,0.93162656,1.3553162,1.2034369,1.0233365,0.93821275,0.99320936,0.91647315,1.333234,0.9935557,1.1480983,1.1464051,1.178145,1.1745092,1.2908043,0.7043251,1.1937706,0.72616994,1.024247,0.92249036,0.93400353,1.294562,1.3274949,1.3166953,0.6305236,0.60623944,0.73872894,0.88840497,1.0905561,0.7647971,1.2579715,1.1469989,1.0455811,1.2298485,0.69635063,1.1967815,1.0401943
applesauce,1.1862271,0.8114468,0.6913471,0.0,0.87888044,0.8180419,0.80475944,0.98757505,1.2570317,1.1885408,1.2245113,0.9210023,1.1517701,0.9161761,1.1810322,1.2143263,1.2456832,1.020171,1.0296528,1.2267848,0.80532527,1.0766848,1.223874,1.1038218,1.0586212,0.7737018,1.1323404,1.1239953,0.9490119,1.1479067,0.94183296,1.172486,1.1379282,1.1998663,1.0079309,0.9915079,1.2782314,1.1894909,1.0486059,1.2488844,1.1285806,1.096578,1.0119747,0.9652605,0.3567387,0.77321047,0.9477504,0.95141834,0.35517538,0.9788235,1.0621674,1.1348302,1.072942,1.2166209,0.6116281,0.51646686,1.143182,1.048224,0.89605767,0.9082581,0.47006476,0.61400104,1.061624,1.0606741,0.98427534,0.9800851,1.1749583,1.1855268,1.0389347,1.078526,0.8122505,1.1482201,0.82877153,1.1666671,0.8143672,0.667561,1.0049038,0.7464309,0.81585336,0.85166895,1.2478025,1.1598711,1.137413,0.9221017,1.1885077,0.9295711,1.0228418,0.86411893,1.0105058,0.8070086,0.9802339,1.0148238,0.91187763,1.1153121,1.1281838,0.98305255,0.99791455,1.1899818,1.179136,1.263422,0.9398908,0.9916665,0.85130996,0.76058984,1.1569157,1.0254939,0.9459893,1.0395064,1.1035484,1.066095,1.085821,1.1778791,0.65165216,1.0644917,1.1428611,0.70149225,0.96292305,1.1033338,1.2355459,1.1230413,1.1700162,1.0030757,0.49117553,1.0084677,1.0050563,0.9615998,1.1040441,1.218925,1.1836339,1.1450562,1.1669102,0.84383595,1.177245,1.0720114
arm,1.2335573,0.85148805,1.2177105,0.87888044,0.0,1.1819426,1.094523,1.1092508,1.316634,0.7398251,0.7941707,1.1443374,0.7219148,0.9941032,1.2848654,0.81717473,1.25014,1.2877337,1.1718545,1.1478856,1.167919,0.8971375,1.2559886,1.256881,0.9551795,0.98573494,0.81197214,0.87469137,0.992393,1.2444335,0.850984,1.1221988,0.89205503,0.793203,0.8843154,1.2945286,0.89873385,1.3244704,1.040364,0.9457875,1.0100856,0.79531974,0.9972978,0.8049565,0.788446,1.2460382,0.6014942,0.800235,0.7648537,1.2737796,1.3481504,1.196186,1.3038831,0.9831039,0.958906,0.87955093,1.0463135,1.3352908,0.78692406,1.0331396,0.53537256,1.0400726,1.1005286,0.5431466,0.93341655,0.7054919,1.1331949,0.7271366,1.1340431,0.98150355,1.2351745,1.124887,0.64405036,1.0773141,1.0141939,1.1268762,1.0205972,1.0918847,1.1625345,1.2502431,0.8641361,1.2403774,0.6446247,0.4905926,0.9662835,1.0635165,1.2172462,0.9975022,1.1389695,0.75198185,1.0129387,0.97878593,1.0265538,1.154664,1.2991168,1.2191985,1.1403728,0.94818795,1.2964897,0.81433994,0.8005179,1.00114,1.011787,0.9008306,1.2410768,0.38472986,1.196684,0.95570517,1.0579075,0.9925427,1.0317211,0.7924825,1.1116054,0.86518276,1.2491176,0.81403446,1.1166478,1.2458925,1.0053835,0.48139483,0.9033203,1.3382756,1.032643,1.2155514,1.1458776,1.0086341,1.307426,0.9394147,0.9912311,1.192223,0.93873006,1.1424018,0.84581196,1.1624818
ball,1.0118146,0.9729663,0.50762403,0.8180419,1.1819426,0.0,0.17373621,0.9473054,0.99146646,1.3021439,1.182589,0.6700214,1.2421087,1.0803833,1.0207181,1.1381097,1.0823741,0.66030437,0.92114544,1.101312,0.80385494,1.246164,0.9451909,0.8602459,1.090439,1.0351028,1.0687783,1.2627337,1.1083386,0.7831722,1.1516901,0.9264846,1.1723633,1.182931,1.1775162,0.7033799,1.2639277,0.8087384,1.1609277,1.0977491,0.9497776,1.2884066,1.0508215,1.1493621,0.95841265,0.5966748,1.1092775,1.1177311,0.79505956,0.77716243,0.73488224,1.1884533,0.9044564,1.2229222,0.87349606,0.8218119,1.1052651,0.749554,1.1306322,1.0421536,1.0060158,0.76843274,1.0562377,1.2601974,1.1115427,1.2334197,1.0877342,1.3402772,1.0377101,1.150618,0.6736705,1.1260172,1.1086686,1.1069454,0.8265238,0.604009,1.0188439,0.852122,0.5829463,0.56948936,1.3857899,0.87361485,1.2079406,1.2286043,1.2278149,0.9722664,0.79843926,0.89858574,0.9153767,1.1552141,1.0803897,0.9347701,1.0864674,0.9132895,0.80465794,0.95724946,0.7541428,1.2008492,0.9521426,1.3671288,1.0009056,1.0579029,1.077788,0.92017204,0.89527714,1.2779814,0.9515833,1.0270085,1.053576,1.1281675,1.1414341,1.1883866,0.74399865,1.1120806,0.75931233,0.98680097,1.0293366,0.9724259,1.2446399,1.2327561,1.228714,0.5619163,0.7251128,0.7211677,0.9131227,1.0495543,0.7375623,1.1350242,1.0899234,1.0565844,1.2655277,0.71116084,1.167999,0.9243552
balloon,1.0377883,1.0658334,0.592421,0.80475944,1.094523,0.17373621,0.0,0.9192858,0.97363883,1.150288,1.142339,0.85157645,1.1118302,1.0930884,1.0378147,1.0993432,1.0698706,0.9274494,0.82721484,0.9625405,0.86211157,1.0458618,0.93077403,0.9664871,1.0997146,1.0109608,1.0980636,1.1927218,0.9707493,0.81903744,1.0893595,0.9646798,1.0330168,1.1152623,1.0513716,0.9130007,1.1883146,0.9374486,1.0019523,1.0550473,0.9678861,1.1821533,0.85609555,1.0611886,1.0205022,0.7821635,1.0901953,1.0801615,0.8542664,0.9634108,0.90636766,1.2140522,0.92603856,1.194957,1.0457048,0.90773904,1.0094601,0.69584465,1.1088423,1.0001922,0.90348256,0.9606893,1.0976808,1.2032962,1.0260973,1.1862001,1.1010046,1.2127005,1.0761813,1.0806756,0.77264065,1.0316933,1.0722494,1.0825748,0.82435656,0.88691163,0.92634475,0.9087436,0.855798,0.72796315,1.3018918,0.9946231,1.1689924,1.176001,1.1411321,0.9892652,0.9800068,1.0113581,1.0202601,1.0567963,1.0873424,0.95912206,1.0440445,1.0510887,0.8057872,0.9158132,0.8506957,1.0807171,1.0615658,1.2950176,0.9333204,1.0811089,1.081122,0.9549147,0.98336834,1.1945897,0.94735616,1.0067251,1.0216011,1.0873537,0.9842749,1.0547224,0.95897096,1.0365267,0.92524785,1.066263,0.93038064,1.0419531,1.1521573,1.1722549,1.1450055,0.63994324,0.9224005,1.007267,1.0463282,1.0818889,0.6993182,0.9318552,1.0921493,1.0344927,1.177103,1.0099279,1.1266985,0.92022127
banana,0.8216672,1.1349435,0.5705694,0.98757505,1.1092508,0.9473054,0.9192858,0.0,1.0166309,1.0811011,1.2130101,0.8898135,1.1956145,1.019095,0.82734084,1.1781934,1.0549319,1.0410345,0.6626904,1.0318081,0.6095512,0.9929333,0.9352656,1.1112615,1.146519,1.1418927,1.1408281,1.3314342,0.55529046,0.962385,1.1105914,1.0363925,1.0809968,1.2036843,0.9183691,0.9621064,1.1671946,0.95517194,0.764926,1.0284334,1.079694,1.1553853,1.085797,1.1700397,1.1431952,0.78006625,1.0390179,1.0997083,1.1243839,0.9222967,0.8082204,0.6929517,0.7074154,1.0390753,1.1213804,1.1411024,1.0865991,0.8485939,1.1903589,0.7574662,1.1250551,1.1394334,1.0010651,1.2590128,0.8269261,1.2419187,0.73014414,1.2113252,1.0031002,1.1882883,0.7608724,0.96034366,1.1505377,1.0232475,0.69329447,1.0454125,0.910696,1.0659131,0.9942508,0.50478435,1.087188,1.0268897,1.2392571,1.2801874,0.888453,0.6893665,0.9498902,1.0442575,1.0830809,0.9110893,1.1768724,1.1328969,0.74345803,1.0040065,0.7911607,0.9940822,0.6944516,1.1661594,1.0293565,1.0803148,1.014438,0.97421443,0.75611603,1.1918303,0.9417995,1.2581244,1.0457331,1.1674433,1.0369166,1.0875603,0.9498048,1.027246,1.1077147,1.123382,0.97206354,1.1486478,0.6666476,0.8018146,1.21278,1.2204621,1.0506299,0.87102437,1.0684954,1.0219369,1.0536758,0.93400264,0.88005435,0.9530706,1.0413508,1.0818292,1.0716912,1.0608385,1.0716453,1.0336024
basket,0.8507811,0.9213505,1.0993758,1.2570317,1.316634,0.99146646,0.97363883,1.0166309,0.0,1.1672332,1.0824523,0.90314806,1.1861196,1.0666268,0.9103855,1.0069299,0.6221283,0.79571295,0.87790257,0.5739759,1.0330459,1.0510118,0.52903426,0.6750455,1.2475196,1.081622,1.2261715,0.9885015,1.030842,0.8123869,1.2367339,0.75007117,0.7943015,1.0666314,1.0479472,0.9042395,0.9525335,0.58533573,1.0195152,1.0886506,0.91948026,1.1406336,0.8824776,1.0234777,1.2959065,1.0602418,1.2866656,1.2285974,1.162411,1.0010368,0.8882859,0.87372684,0.92528176,0.87979245,1.2265947,1.0987604,1.0101249,0.46038038,1.3096006,1.1086526,1.1939874,1.1239113,1.00649,1.2795155,0.99649066,1.2377777,0.8285898,1.1208681,0.8941761,1.1155666,1.0860786,0.6921512,1.2067233,0.9921083,1.1444237,1.1189101,0.9207989,1.0793247,1.0941689,1.0251348,1.0455086,0.6726985,1.2002814,1.3734218,0.80394584,1.0942374,0.8601522,1.1186203,1.0002792,1.2608204,0.921867,0.87038404,1.1260478,1.0198654,0.8442824,0.9258381,0.9014633,0.90642977,0.67124474,0.9313305,1.0713325,1.0701995,1.150249,1.0556544,0.8332114,1.3310869,0.93368655,0.85321546,0.69820577,1.0233814,0.97525465,1.0801133,1.0396549,1.213171,0.9234226,1.0111486,1.0433929,0.8087802,0.90194464,1.273793,1.0473399,0.6591372,1.1047326,1.0259948,0.90906596,0.9427164,0.7644354,0.7726598,1.0503695,0.7761016,0.96488786,1.1040775,1.1183279,0.910656
bathtub,1.234169,1.1871464,1.3621339,1.1885408,0.7398251,1.3021439,1.150288,1.0811011,1.1672332,0.0,0.6203802,1.3822465,0.45641196,1.0881077,1.1510108,0.78110105,1.1372712,1.4592649,0.703711,0.99022025,1.2738343,0.7722002,0.99869955,1.2653438,0.6074485,1.2578716,0.73598725,0.7617272,0.8898518,1.2155883,0.7889207,1.139643,0.8506012,0.69263756,0.9927291,1.4636172,0.5354666,1.1641622,0.48636246,0.96114355,1.2415171,0.50101924,0.8859016,1.2161105,1.1088982,1.2891489,0.67368746,0.8833262,1.2726837,1.4477886,1.3662167,0.9901215,1.3509748,0.83215743,1.2707009,1.5038636,0.59148204,1.2086849,0.81386214,1.0285449,1.1063368,1.4058764,1.1193428,0.64795434,0.98054165,0.73561096,1.0575954,0.5452411,1.0524688,0.8617958,1.313992,0.8877504,1.0906452,1.0510061,1.2043188,1.3941627,0.872207,1.3926337,1.3208903,1.3806474,0.47498065,1.2425883,0.7287083,0.67419887,0.78310716,1.150717,1.3711327,1.2164252,1.2570584,0.7959031,1.3267721,1.2919428,1.1518998,1.2575424,0.9634379,1.2141247,1.2235323,0.8110727,1.1749054,0.52385634,0.7147432,1.020763,1.0784417,1.2700751,1.277971,0.6160546,1.1783297,1.2729149,1.0488778,0.4158461,0.3158639,0.56751245,1.4660169,0.6436814,1.276109,1.3298248,0.9103836,1.128092,0.9158337,0.65078926,0.44272345,1.3001457,1.4283938,1.264278,1.2290226,1.1173351,1.3094226,0.6358429,0.7793221,1.1674954,0.8502494,1.416683,0.66493905,1.1303415
