,alligator,ankle,apple,applesauce,arm,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,butterfly,can,car,carrot,cat,chair,clock,closet,coat,coffee,comb,cookie,corn,couch,cracker,crayon,crib,cup,deer,dish,dog,doll,door,drawer,dress,ear,egg,elephant,face,finger,firetruck,fish,flower,foot,fork,frog,giraffe,glass,glasses,glove,grass,gum,hair,hand,hat,horse,jacket,jar,jeans,knife,ladder,lamp,leg,meat,melon,milk,mitten,motorcycle,mouth,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pastry,pen,pencil,penguin,pickle,pig,pillow,pizza,plant,plate,pony,pumpkin,purse,radio,raisin,refrigerator,rock,rooster,sandwich,sauce,scarf,scissors,shirt,shoe,shorts,shovel,sink,slide,slipper,snow,soap,sock,spoon,sprinkler,strawberry,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,vacuum,watch,window,zebra
alligator,0.0,1.3919077,1.4811922,1.0289093,0.5992536,1.3821166,1.2126046,0.9842596,1.2911508,0.66510975,0.5610117,1.3892589,0.66057426,0.7153227,0.4814654,0.5771717,0.8179188,0.7722599,1.5098712,1.22963,0.94849014,1.1403716,1.0329684,1.2703533,0.9732407,1.4748888,1.1608739,1.339395,0.52055764,1.0168006,0.88883394,1.1154082,0.66695106,1.2071052,1.0276697,0.8844492,1.1693666,0.5764563,0.6787457,1.538788,0.66630757,1.5873976,0.7589034,0.94045496,0.2772647,0.887572,1.0786368,1.2515043,0.7614087,1.0240386,1.3247392,0.4739986,0.85305715,1.4021825,0.8828227,1.1081061,1.1715949,1.0982947,1.4554763,0.7777812,0.6277263,0.78368115,1.2890103,1.1317942,0.6516246,1.4890735,0.88748574,0.9125746,1.4399364,0.8909355,0.85585463,1.2273935,0.8253037,1.2668446,0.8733147,1.4340906,0.72807086,0.8405209,0.94806325,1.0933204,0.67014766,1.2047188,1.2599299,1.1939734,1.5206677,1.2681507,1.2888908,1.3389156,1.3901229,1.119709,0.5894151,0.66987497,0.86580396,0.5096204,0.9152403,1.5103736,1.5034828,1.1771498,1.2331312,0.7448108,0.9453877,0.8812406,0.9044171,1.122449,0.7926734,1.3695714,1.091441,1.2137369,1.4665363,1.081128,1.0215489,0.6442728,0.8091469,0.8501606,0.72160447,0.9574762,0.7349342,0.9443418,0.88778126,1.0073246,1.3531375,0.6969898,1.36597,1.0414766,1.4789517,0.9565663,1.0531951,0.7244661,1.3535376,1.1014228,0.7237072,0.69562453,1.503921,1.4458519,1.4639006,1.1826227,1.2409031,1.3527153,0.8054168,0.9269404,1.119569,1.497957,0.7898805,0.5704956
ankle,1.3919077,0.0,0.73075426,1.0601248,1.2555634,0.73708045,0.7389773,1.069123,1.07784,1.4293014,1.3436507,0.8592749,1.4325941,1.230934,1.2715249,1.2974813,1.3670477,1.1437837,0.67343956,1.0271989,1.3038867,0.7655264,1.0845438,0.9706737,0.9383188,0.754998,1.1425848,0.7928186,1.2472154,1.0743834,1.1436778,1.059283,1.3411257,0.78331053,1.0684034,1.0022328,0.9595513,1.3256521,1.0680724,0.6806806,1.451225,0.6674808,1.0125388,1.2112937,1.2391555,0.9733428,1.0986439,0.83165336,1.1451863,0.7870441,0.6716161,1.162604,1.095231,0.47518075,1.2631564,0.90429914,1.051821,0.48000193,0.7166908,1.1507852,1.1598718,1.2958664,0.6996465,0.63916004,1.3623068,0.6405246,1.051525,0.8968621,0.5627071,0.9445949,1.1015084,0.9859504,1.0281066,0.83089435,1.3220801,0.76686615,1.0996177,1.2092258,1.2129946,0.96238613,1.0236334,0.8534234,0.7486992,0.72608316,0.58774596,0.74769294,0.57969534,0.5850429,0.75835294,1.0789582,1.2308334,1.2769618,1.0127165,1.294869,0.98879915,0.7056412,0.6480807,0.9627724,0.75823265,1.1037503,1.0301476,1.1577885,1.1793836,1.1275263,1.0097101,0.81893015,1.0386976,0.8093363,0.6010538,1.1040943,0.9817658,1.1911886,1.2122747,1.0115914,1.2946786,1.0628974,1.2405097,0.64437336,1.0575428,1.0316869,0.98521227,1.4251994,0.33351696,1.0274365,0.60508484,0.6608272,0.9547335,1.2900383,0.8319045,0.916177,1.2298725,1.442512,0.70643,0.34746855,0.7450439,1.0096372,0.80505997,0.8741119,1.3407658,1.1559982,1.0152695,0.50800395,1.2407137,1.1348848
apple,1.4811922,0.73075426,0.0,0.7595427,1.4830222,0.35685754,0.6062939,0.7023102,0.8826481,1.5110562,1.546108,0.622843,1.540321,1.3591506,1.2040468,1.5308259,1.2861857,1.1680365,0.4904884,0.54700303,1.2000352,0.68171906,1.0829171,0.622275,0.8088703,0.70051205,0.9909536,0.58381283,1.3999155,1.3005271,1.1920625,1.1700556,1.3990351,0.760551,1.1986784,0.9608457,0.6290089,1.5071192,1.2055335,0.3671745,1.537858,0.3830282,1.0617888,0.9971608,1.369165,1.0576763,1.2567704,0.9913877,1.3599418,1.0063201,0.46478522,1.2609547,1.2415885,0.73890877,1.261629,0.59088564,0.54722106,1.0539594,0.66583365,0.8124905,1.1752049,1.2251925,0.8648087,1.0017688,1.4055201,0.37691784,1.2841933,1.1738096,0.6968785,0.96087736,1.3767858,0.7180475,1.3973229,0.9701441,1.2868271,0.7066055,1.3761274,1.0650588,0.8360454,1.0146713,1.3802435,0.88400024,0.8766672,0.91714674,0.3954994,0.80022085,0.8610192,0.69945276,0.34384048,1.1051316,1.2151356,1.4241745,1.3769448,1.4344579,0.97132796,0.5280403,0.55143344,0.8067376,0.59719,1.0701776,1.2030494,1.1451796,0.98848283,0.74768865,1.0127132,0.08209276,1.0662138,0.89112186,0.388048,1.2416916,1.1981863,1.123181,1.1406465,1.0602477,1.4123106,1.0369433,1.4622544,1.2921958,1.341054,0.96819955,0.88015765,1.3666365,0.8121472,1.1010909,0.5387489,1.2421137,0.9171479,1.3390429,0.51070523,1.0084449,1.4701378,1.4227622,0.27788234,0.64740086,0.6009867,0.8295971,0.9231598,0.42242754,1.1379215,1.0993026,1.0227476,0.57185566,1.3247473,1.2030383
applesauce,1.0289093,1.0601248,0.7595427,0.0,1.0044109,0.70320684,0.91006404,0.51968706,1.0403237,1.0721439,1.0882839,1.1895322,1.1147462,0.93050253,1.0731059,1.0906143,0.94918394,1.0085891,1.0188015,0.77278125,0.99630713,0.75622183,1.1677272,0.8395409,1.208273,1.2330792,1.0651648,0.82053626,1.307295,1.2511289,1.0196064,1.2577896,1.0985029,1.0043547,1.218033,1.1477723,0.57013834,1.0667299,0.7490016,0.9824978,1.1188375,1.020072,1.1262895,0.81184673,1.1467003,0.9238686,1.295696,1.2255597,0.99836516,1.1251839,0.680815,1.0720043,1.0112933,0.88867056,1.1612236,0.9311947,0.96794695,0.9776498,1.191654,0.8706942,1.0346638,0.91646886,0.9963085,0.8569463,0.9231035,0.71725893,1.0081345,0.77884406,1.0458575,1.1858077,1.256856,0.89490414,1.0700455,1.0635912,1.0278076,1.2447041,1.1033864,0.9975487,0.40762323,1.0383388,0.7837479,1.184479,0.90159124,0.87617874,0.9770387,1.0685743,0.9729441,1.0105212,0.68581057,1.1468892,1.010008,1.010134,1.099664,1.0149918,1.1629834,1.1587933,1.1277169,0.91422904,0.77371836,1.2456952,1.1272929,0.89003366,1.1084358,0.7126541,1.1752636,0.8072356,1.1968962,1.1399143,0.9986136,1.278129,1.1684698,1.010944,0.46184438,0.93550235,0.9706181,1.096378,1.0773499,0.9497998,1.0925826,0.7060734,1.1255946,0.9985522,0.96898603,1.1243157,1.1967547,0.9853933,0.7653481,0.94308954,0.94426084,1.1896805,1.1313689,0.9359984,0.8072394,0.95528704,0.9877692,0.7725904,1.1398962,0.7137008,0.72145903,1.2249308,1.2329888,1.0208615,1.2222174,1.087811
arm,0.5992536,1.2555634,1.4830222,1.0044109,0.0,1.460253,1.2467961,1.1341269,1.3383915,0.44624877,0.41602778,1.3500001,0.5186395,0.5272794,0.9274099,0.39313728,0.7615469,1.0557642,1.4568012,1.3579137,1.0036585,1.2332028,1.1099207,1.323081,1.256735,1.354799,1.0577738,1.1826023,0.7300364,0.81257004,0.8099144,0.9006313,0.32241416,1.2067959,0.88327396,1.2438041,1.1658356,0.49443763,0.797402,1.5188261,0.57294565,1.5183625,1.0346951,1.0946616,0.82889783,1.070718,0.8554127,1.2434231,0.64590734,1.0791861,1.3722447,0.8741413,0.7800424,1.0926423,0.836645,1.3773189,1.3333759,1.143865,1.4013982,1.2902015,0.92842484,0.65031165,1.122998,0.9222378,0.613872,1.5078841,0.7670437,0.58450025,1.2372913,1.157314,0.4637758,1.2488974,0.3995521,1.1594938,0.7921905,1.3988264,0.53097713,0.81215763,1.0322205,1.1642047,0.560472,1.2876458,1.1299275,1.1075699,1.3920486,1.328428,1.0665195,1.2470359,1.3637682,1.0589943,0.97414887,0.47241908,0.41686875,0.7896639,1.2394632,1.4451602,1.3782305,1.1750574,1.1916444,0.98422223,0.87931585,0.90500164,1.1938691,1.2893841,1.2876444,1.4206364,1.0233787,1.3345444,1.46995,0.9220131,0.94911224,0.9179509,0.8054533,0.9536866,0.48139077,0.927999,0.27436876,0.8069782,0.45349526,1.1166489,1.2235293,0.5935025,1.2385132,0.85829604,1.4060768,0.6789915,1.1858426,0.80958647,1.3516092,1.2140938,0.30018276,0.5332587,1.5708284,1.2100788,1.2939477,0.9843816,1.2195767,1.5400136,0.8701905,1.058714,1.1588635,1.3551018,0.7758764,0.95300376
ball,1.3821166,0.73708045,0.35685754,0.70320684,1.460253,0.0,0.436306,0.9012596,0.91807485,1.4071151,1.4122672,0.8259229,1.47578,1.2138379,1.0966872,1.3836894,1.1778196,1.0940716,0.5895952,0.53996843,1.2111881,0.7812504,1.1674495,0.6015108,0.89613014,0.9550029,1.0390573,0.71446645,1.3363283,1.4173862,1.0246341,1.2776709,1.3701849,0.91600645,1.1842698,0.93633187,0.77824795,1.366743,1.1124799,0.5875734,1.4794147,0.53283846,1.1109936,1.0002284,1.2529275,0.88400626,1.3170333,1.0796437,1.2289908,1.0430744,0.24436367,1.1937488,1.1438375,0.828086,1.185692,0.5920615,0.6142228,0.9482469,0.85501766,0.63439256,1.176909,1.1281682,0.9330257,0.9227844,1.180115,0.33302605,1.2137434,1.1247351,0.63219357,1.0251695,1.429489,0.8075055,1.3814379,1.0607398,1.2726917,0.8500293,1.3550463,1.0010024,0.7426881,0.97690487,1.1433772,0.95709586,0.9742576,0.94800407,0.49719757,0.8850242,0.963893,0.7699659,0.34987038,1.2340125,1.0208943,1.2991378,1.4007864,1.2300868,0.91104895,0.7390487,0.791983,0.71045184,0.6751694,1.1124098,1.1772265,1.0412151,1.0314374,0.76423407,1.0505092,0.4477315,1.1367638,0.894921,0.42186135,1.3435638,1.2371511,1.1370531,1.0425708,1.0791147,1.3067542,1.1309131,1.4279453,1.2050697,1.3549882,1.0198218,0.96811444,1.2687125,0.8301228,1.0626535,0.76988524,1.1826586,0.861701,1.1344155,0.60821027,1.0330759,1.4350021,1.3398092,0.2581483,0.7252178,0.77997273,0.85155195,0.9676591,0.27932262,1.0192214,1.1555399,1.1931849,0.66358733,1.2935027,1.1746701
balloon,1.2126046,0.7389773,0.6062939,0.91006404,1.2467961,0.436306,0.0,1.0008391,1.121261,1.3886447,1.3956802,0.95325154,1.3896592,1.2068012,0.89793926,1.3065027,1.3374146,1.2535348,0.72419024,0.7862653,1.274437,0.7415597,1.2378579,0.77707404,0.8697697,0.99567425,1.1929832,0.672629,1.2598395,1.2837257,1.0618317,1.0713581,1.2436903,0.9314613,1.063146,0.97027504,0.81902003,1.3722126,1.1302247,0.78374135,1.4116321,0.7056466,1.0180141,1.1359746,1.2152014,1.0055504,1.1438652,1.01019,1.1936649,0.80161774,0.49906838,1.1763172,1.0372099,0.62879086,1.2615747,0.6555188,0.849586,0.9831849,0.86184764,0.93909734,1.106295,1.1763604,0.7803449,0.8935622,1.3212357,0.6144227,1.0728507,0.920164,0.6122889,0.9354903,1.212748,0.953773,1.2939026,1.0708864,1.3522002,0.8454337,1.234966,0.75253755,0.9707837,1.0073203,0.9927808,0.98742455,0.81687874,0.68139166,0.5342646,0.9694168,0.71077704,0.6748568,0.46517015,1.19446,1.0269606,1.3342735,1.279849,1.347067,0.97423357,0.8240243,0.7835016,0.96985424,0.72874177,0.76414025,1.0996144,1.1794167,1.2106797,0.9974354,0.981641,0.66142714,1.1116819,0.9432674,0.5681374,1.173636,1.1734607,0.5416075,0.9169491,1.0334721,1.3554106,1.0664452,1.2626481,1.1863786,1.2284536,1.18758,1.0512382,1.2687337,0.92414,1.1943622,0.7490806,1.0844172,0.93309,1.1673021,0.6189227,1.073112,1.293926,1.369969,0.6828227,0.5775249,0.80096793,0.9071399,1.0322633,0.72146964,1.0900974,1.1126331,1.1480702,0.591148,1.1647176,1.1414917
banana,0.9842596,1.069123,0.7023102,0.51968706,1.1341269,0.9012596,1.0008391,0.0,0.9807165,1.1466578,1.2096438,1.1472042,1.1162847,1.116858,0.9760109,1.1968088,0.9748888,1.0423571,1.070545,0.6638096,0.9719302,0.6903867,1.1137384,0.79874444,0.96738625,1.0685236,1.1181759,0.817015,1.2781278,1.1436396,1.0411631,1.1888288,1.1932542,0.9675256,1.1332049,0.88542217,0.3358643,1.2022636,0.7117696,0.9228503,1.1643188,0.99342567,1.0465958,0.5698283,1.1110735,0.9914345,1.2458643,1.0034314,1.1759739,1.126389,0.88620573,1.0844687,1.1420629,1.0547712,1.2200972,0.9452939,0.9776991,0.9664792,1.1018319,0.7666271,1.0615935,1.060211,1.1471839,0.9816205,1.1235435,0.8227697,1.2213916,0.9867398,1.1786788,1.1267835,1.2154585,0.9016978,1.1506569,0.9194702,1.070567,1.0541565,1.1742218,1.0271826,0.46538216,1.0453856,0.932838,1.058367,1.0175502,0.95564246,1.1287992,0.9009595,1.0964485,1.1284106,0.7277268,0.9636185,0.9743345,1.215844,1.198341,1.1290545,0.95945954,1.082097,1.0209582,0.95107144,0.68821704,1.1412394,1.0680664,0.86945564,0.9688314,0.45967567,1.0339015,0.62271756,1.0897563,1.0464289,1.0088823,1.1724777,1.2124639,0.9768206,0.7536224,0.8493198,1.1278346,0.8947671,1.2226079,0.9595721,1.1905136,0.63771296,1.0897933,1.0443734,0.94504124,1.1677418,1.1671333,0.9838488,0.6864508,1.1021427,0.9543009,1.082806,1.2661624,0.9735787,0.8337339,1.0816921,1.0879234,0.8317412,1.0142717,0.8069663,0.67286205,1.1064305,1.0209948,1.0900147,1.1467829,1.11784
basket,1.2911508,1.07784,0.8826481,1.0403237,1.3383915,0.91807485,1.121261,0.9807165,0.0,0.9674339,1.125748,0.86851484,0.99318963,1.1988615,1.1912737,1.1790223,0.974732,0.65306246,0.65149516,0.6159308,0.35355383,1.229353,0.77852196,0.51232517,0.8674171,0.55869555,0.883538,1.1090076,1.3804264,0.8570427,0.96953106,1.1054692,1.231086,0.7768486,0.88833624,1.0274717,0.9581134,1.0888973,1.2252101,0.88522154,0.8967653,0.63636243,1.2042773,0.7253902,1.279921,0.8538825,0.9791641,0.80961853,1.0766602,1.2367158,0.9914305,1.1693331,1.2445581,1.2445264,0.95440453,0.98408866,0.72152674,1.0058137,0.91479886,0.9960712,1.2999885,1.0985583,1.2856412,1.2278732,1.0509658,0.88353306,1.2898608,1.2754444,1.0761608,1.0937217,1.1528833,0.62404525,1.3686326,0.92653835,0.77732664,0.71720785,1.2797141,1.0677603,0.95907986,0.64598525,1.3157171,0.71235585,1.2256938,1.2150569,1.0937815,0.72097707,1.3091999,1.304707,1.0212606,0.6499521,1.1496829,1.1110687,1.3551408,0.8914963,0.9856931,0.88263,0.9432666,0.9370162,1.0145139,1.2169363,1.0445857,0.870796,0.7800603,0.7275357,0.90473855,0.8767503,0.5896511,0.639701,1.0533273,0.77095777,1.1266809,1.0847428,1.1874429,1.2023257,1.2596579,0.91791165,1.3388283,1.1701865,1.3796446,0.8351239,0.82041466,0.9417967,1.0679712,1.0072685,0.8400202,1.1223752,1.0037332,1.0078046,0.95453084,0.73269105,1.280694,0.9954457,0.79385555,1.2044609,1.1065766,0.95507663,0.7027484,0.5857074,0.8065248,0.8877938,0.662576,1.1256579,0.9890102,1.1252003
bathtub,0.66510975,1.4293014,1.5110562,1.0721439,0.44624877,1.4071151,1.3886447,1.1466578,0.9674339,0.0,0.2530607,1.2555876,0.291762,0.7359549,0.8935174,0.35048997,0.55022275,0.9207751,1.3914716,1.1114002,0.6591813,1.502249,0.9566472,1.1518731,1.2862058,1.1446005,0.9018105,1.4293962,0.71204644,0.65315855,0.75115263,0.76598036,0.532524,1.2000209,0.9465263,1.2234778,1.27617,0.3371253,1.0502056,1.5295348,0.28655875,1.4047136,1.1642923,0.8353504,0.8598064,1.126411,0.58721006,1.0733857,0.7983143,1.2664258,1.346271,0.8413109,0.8598705,1.4452319,0.7090683,1.3913352,1.2938669,1.2336879,1.4012488,1.2542033,1.0406886,0.61252123,1.2903016,1.2742245,0.44533646,1.5768685,0.8436404,1.0360886,1.3203634,1.2157619,0.6166432,1.2215176,0.63032746,1.0735853,0.6387014,1.1569476,0.6676289,0.8146169,1.0278285,1.0038217,0.905909,1.1677561,1.2806294,1.371193,1.4881439,1.1678344,1.3720188,1.3700651,1.491137,0.8219877,0.9715531,0.58168316,0.6626642,0.60751307,1.2012694,1.439086,1.4933672,1.2074847,1.3707342,1.0420786,0.76492167,0.8171121,1.0307355,1.0256432,1.2639241,1.4473908,0.8639952,1.1658692,1.4688574,0.683304,0.9025866,1.0286608,0.92765075,1.0968939,0.5691453,0.90438384,0.5857254,0.9372078,0.72892296,1.04336,0.9124008,0.37657237,1.3478887,0.84484524,1.4333111,1.0209308,1.0700731,0.680063,1.4419365,1.0824872,0.56353056,0.37483644,1.4292815,1.5394566,1.352715,1.1405834,1.0723029,1.38831,0.6582061,0.91256154,0.9742386,1.5031421,0.6075598,0.9768119
