,alligator,apple,applesauce,arm,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,blanket,book,bottle,bowl,box,bread,bucket,can,car,carrot,chair,chips,clock,coffee,couch,cracker,crayon,crib,cup,dish,dog,doll,door,drawer,egg,finger,fish,flower,fork,frog,glasses,glove,gum,hamburger,hand,hat,jar,jeans,knife,ladder,lamp,meat,melon,milk,mitten,motorcycle,muffin,nail,napkin,necklace,orange,oven,pajamas,paper,pen,pencil,pickle,pillow,pizza,plant,plate,pumpkin,purse,radio,refrigerator,rooster,sandwich,sauce,scissors,shirt,shoe,shovel,sink,slide,slipper,soap,sock,soup,spoon,stroller,sweater,table,tape,toe,toothbrush,towel,toy,tray,vacuum,watch,window
alligator,0.0,1.3207543,1.0074129,0.7944452,1.2455459,1.2904584,1.058734,1.0448356,0.97048825,0.7213938,1.1956984,0.8445618,0.87559885,0.7558088,1.1360779,1.3158271,0.8480776,0.83584553,1.3063326,1.157145,1.3053181,1.0739887,0.94683456,0.9170132,0.7812692,1.3806067,1.1332877,0.7992111,0.83891463,1.2701621,0.9084979,1.1642655,0.8889649,1.0210823,0.87346166,0.9178548,1.0280224,1.2798715,0.81963855,1.0635679,1.1552597,1.262781,1.0235764,1.039761,1.1025105,0.9535925,1.0937555,0.73801607,1.373426,1.0367929,0.71982384,1.33032,0.84621555,1.3668296,0.9209806,0.8937051,0.9082905,0.7574796,1.156805,0.95501167,1.1210619,1.148913,0.96397173,1.13607,1.0124031,0.7751268,1.0991179,1.2285249,1.2364293,0.9666803,1.1158792,0.8531194,1.169384,1.11991,0.806769,0.87159187,1.1521435,1.0626152,1.1936288,0.75751853,0.84379756,0.98251843,0.8797005,1.1059339,1.0657967,0.9068995,0.71655566,1.2607133,1.3016014,1.029356,0.8313188,1.1248095,1.1075461,0.87278384,0.85815114,1.2800496,1.1131682,1.0784068,1.0459042,1.0292337,1.113134,1.2140949,1.2874154,0.9542809
apple,1.3207543,0.0,1.121433,1.3001242,0.9074303,0.38770097,1.0363493,1.1515998,1.2592648,1.4419025,0.3292163,1.44722,1.3275691,1.4603071,0.86791027,0.44392073,1.1423718,1.3691373,0.5097077,1.0815488,0.5912438,1.0003095,0.9313041,1.4587147,1.2060988,0.34222245,1.0857177,1.4140308,1.2374679,0.35418558,1.4084626,0.92710245,1.1665219,1.1757268,1.1949524,1.2922478,1.0103483,0.33470428,0.89689577,0.6221993,0.7701113,0.5490898,0.8789188,0.6615078,0.734374,1.1150897,1.0772908,1.2456868,0.5434261,1.1054943,1.3460913,0.3352598,1.3650172,0.6359148,1.1650918,1.2064676,1.3381814,1.394297,1.1105684,1.0177698,0.560626,1.1721265,0.9616908,0.4905995,0.94400525,1.3553195,1.175524,0.4906959,0.54064184,0.9428036,0.8961533,0.77801853,0.8594607,0.6957694,0.9815413,1.468589,0.7634031,1.2960324,0.7632769,1.2798799,1.1944044,0.91055197,1.284383,0.73483855,0.7837653,1.1728308,1.3590355,0.38935614,0.4686486,0.81278586,1.3062805,0.7774286,1.1559982,1.3080397,1.339679,0.59118444,0.68613106,0.7791898,1.3068376,1.0221106,0.88483685,0.4237854,0.3909223,1.178426
applesauce,1.0074129,1.121433,0.0,0.9031716,0.7325418,1.0038711,0.9308494,1.1689156,1.1006745,1.0291159,1.2137811,1.0624892,0.94877356,0.951476,1.1834898,1.1558268,0.65940255,1.0689478,0.6240884,1.1022985,1.2028048,0.8359766,0.7679742,0.98378766,1.0934489,1.126739,0.8272712,1.0756248,0.8418069,1.2810133,1.1003735,1.0281553,0.6641322,1.0143588,1.1013874,0.93571496,1.0789727,1.1392841,0.85473907,1.0614195,1.2090639,1.2089595,0.9598161,1.0701104,1.130996,1.061623,0.5580261,0.761063,1.021966,0.98295134,0.9522421,1.1815174,1.1320043,1.1613553,1.0624139,0.9299878,0.94550014,0.72326255,1.2235287,0.93885726,0.96781254,1.0357606,0.7790544,1.1049801,1.1543653,0.8921385,1.1641054,1.1505908,1.2227594,0.7799004,1.1761509,0.82105017,1.2155125,0.94138575,1.0074284,1.0271181,1.0905011,1.0587609,1.1630946,0.98710364,0.7758444,1.1376597,0.98137087,1.0911579,1.224377,0.54999125,1.0389239,1.162969,1.2314756,0.8901934,0.7379394,0.93872637,1.1857309,0.9544846,0.857458,1.0547498,1.0466632,1.2237923,1.060799,1.2237971,1.0288252,1.3219029,1.2281917,0.9936218
arm,0.7944452,1.3001242,0.9031716,0.0,1.223928,1.3327463,1.0573488,1.1449091,0.9369975,0.81684566,1.2153921,0.81129926,0.7669063,0.8157001,1.1133955,1.2619845,1.0473393,0.9641827,1.0900114,1.1953664,1.2687416,0.8414851,0.9760815,0.886547,1.0381551,1.2577982,1.1275709,0.8994057,0.8232132,1.2118356,0.9528458,1.133943,1.0886853,1.0361351,1.0217757,0.863037,1.0419219,1.2230681,0.6794766,0.7595818,1.2741709,1.2269219,1.1254638,1.0222515,1.1324496,0.9857437,0.85192996,0.45298553,1.3383005,1.098266,0.7503024,1.1965692,0.809325,1.2748299,0.7854805,1.0085135,1.0381162,0.714989,1.1682516,1.0503949,1.1201812,1.0922446,0.9731926,1.132041,1.0105543,0.701177,1.0100515,1.0666034,1.1022828,0.9821147,1.0248655,1.042616,1.2426418,1.2296805,0.93943816,0.79066753,1.0152103,0.90592504,1.3761996,0.90181494,0.95336616,1.2010742,0.6486005,1.2445494,1.1556658,0.94400007,0.752071,1.2478288,1.1744486,1.1032491,0.9208381,1.1851104,1.1426088,0.80510676,0.79565835,1.3165381,0.9927227,0.8648919,1.0312985,1.2451121,1.1006734,1.2287037,1.0830438,0.9064424
ball,1.2455459,0.9074303,0.7325418,1.223928,0.0,0.8159968,0.9413476,1.0028015,1.1627843,1.171509,1.0331327,1.0753021,1.1324108,1.1169608,0.98834753,1.0391796,1.0085477,1.0201746,0.6770241,0.92102236,1.1063446,1.0906084,0.99924743,1.1059421,1.1108587,0.87298083,0.75481033,1.1557108,1.0441672,1.073589,1.2010441,0.8238746,0.9823745,0.85292506,0.82679296,1.167908,0.90830123,0.9264529,1.1189963,1.1553595,0.9604979,1.0295801,0.8466424,0.9480408,1.0358515,1.0138181,0.6631474,1.015623,0.7600807,0.8747933,1.1598334,1.0822327,1.1918336,0.835064,1.0467165,1.001694,0.9405904,1.0890377,0.98935956,0.9314998,0.903381,0.90949357,1.0932041,1.0077305,1.1464767,1.1514287,0.92111135,1.0164046,1.040222,1.0013391,0.9712484,1.0846076,0.8981502,0.99704474,0.9051914,1.1196362,1.0093656,1.0406532,0.90440005,1.1055688,1.0418949,0.8312134,1.0985321,0.7344103,1.0700603,0.95397335,1.242079,0.9421771,1.0035527,1.0465599,1.0782899,0.78084004,0.99405205,1.1245458,1.0939062,0.70296216,1.0087024,1.125303,0.96904856,0.66883016,0.8805051,1.1295198,0.9891074,1.0692514
balloon,1.2904584,0.38770097,1.0038711,1.3327463,0.8159968,0.0,0.9612304,1.192371,1.2948866,1.4389367,0.5928565,1.445203,1.281465,1.4038641,0.96527725,0.5963127,1.0893297,1.3149257,0.69519985,0.96295017,0.65311337,1.0897019,0.8883133,1.4411497,1.1819751,0.40725803,0.8672819,1.3978953,1.2245636,0.60123533,1.3698457,0.917125,1.0496774,1.1242243,1.1997826,1.2436053,1.069909,0.5871976,1.0497551,0.8155983,0.6786188,0.67449605,0.8584166,0.8930573,0.7472151,1.0805703,1.0403847,1.3277779,0.34581918,1.0542337,1.3774166,0.69976425,1.3574312,0.56463623,1.1119238,1.1222357,1.1849009,1.2543272,1.0224342,1.0425819,0.62426376,1.1150954,1.0079557,0.6540622,1.0291017,1.371881,1.1624461,0.78552616,0.74526024,0.8806893,1.0089856,0.83697826,0.74928117,0.6662569,0.9517174,1.4865444,0.7724218,1.1778574,0.5809362,1.2261941,1.0353544,0.9157644,1.2261292,0.7943102,0.77215046,1.1550567,1.3841112,0.6427033,0.61764455,0.85456073,1.1805015,0.87517715,1.1083705,1.2600038,1.3148004,0.49890333,0.8164374,0.79127324,1.2236997,0.94725084,0.92736197,0.65310407,0.6672205,1.1502986
banana,1.058734,1.0363493,0.9308494,1.0573488,0.9413476,0.9612304,0.0,1.2186689,1.2518829,1.1291267,1.0791355,1.249581,0.96344167,1.0333484,1.217184,1.1847029,0.75871116,1.103638,0.8303165,1.1903888,1.239177,1.0275981,0.9520516,1.333753,0.4334221,1.2096205,1.0043736,1.1354978,0.5653469,1.1966815,1.2360501,1.1144108,0.7249857,1.0567936,0.9680243,1.0502628,1.1075853,1.1646854,1.0512844,1.0536665,1.0320784,1.1419121,0.29314494,1.124005,1.0807943,1.0875362,1.0357718,1.0767612,1.0491961,1.1131384,1.1426637,1.1943918,1.1932809,1.1327748,0.9925012,0.3841452,1.1012672,0.93783015,1.1100044,0.6226538,1.0826548,0.88224626,1.0253825,1.105556,1.2221575,1.109273,1.121811,1.2325925,1.1784672,0.23067576,1.1616718,0.82435983,1.0529789,0.59785527,0.97173643,1.0954995,1.1300491,1.1021336,0.90242285,0.41080016,1.0817096,0.9904554,1.0747445,1.0844907,1.2059531,1.0151374,1.2353436,1.0770726,0.748322,1.0560013,0.7155474,1.0705925,1.1335047,1.1373751,0.957906,1.0755692,1.0990238,1.0147451,0.9236858,1.0274891,1.0888598,1.2444867,1.2053797,1.1505877
basket,1.0448356,1.1515998,1.1689156,1.1449091,1.0028015,1.192371,1.2186689,0.0,0.93147147,1.0348319,0.96279263,0.7867563,1.0259387,1.003727,0.668894,0.88372374,1.2006235,0.83988017,1.1748765,0.58449495,0.6688914,1.0181303,1.3263459,0.74588597,1.1298908,1.1022387,1.0317323,0.9800036,1.1936835,0.9650691,0.77375287,0.8499378,1.0718392,0.958826,0.89955145,1.0212549,0.6765608,1.1165802,1.1826081,1.2911198,0.85944426,0.89707124,1.2187978,1.1036968,0.9851021,1.052078,1.0994778,1.1909628,1.0008261,0.5808624,0.92668724,0.9757119,0.9593243,0.9801311,0.9499224,1.1713107,0.70351416,1.1520295,0.77899384,0.9185905,1.1507,0.89639413,0.960536,1.1346384,0.57534623,1.1192756,0.8176285,0.9305437,0.89091116,1.2301953,0.61131114,1.1364969,0.8231191,1.0807592,1.1020058,0.88005143,0.84855384,0.91939545,0.9667192,1.222801,1.216174,1.0005789,1.1384016,0.8118242,0.8669605,1.2200695,1.107394,0.89133984,1.1040957,0.95717573,1.2561324,0.9721998,0.73861957,1.1530865,1.2291826,0.86152565,1.0192863,0.94123113,0.9071573,0.8475593,0.8423577,1.0089756,0.99074596,0.9601705
bathtub,0.97048825,1.2592648,1.1006745,0.9369975,1.1627843,1.2948866,1.2518829,0.93147147,0.0,0.60889775,1.220423,0.60098696,1.0961784,0.78121895,0.9959959,1.1452067,1.054225,0.7548838,1.271752,0.9584049,1.1005142,1.0266788,1.1113522,0.6326538,1.044818,1.1923338,1.1193786,0.58451736,1.1328206,1.188649,0.53371507,1.0463572,1.111029,0.8576206,1.0777674,0.6230111,0.9294128,1.1560684,1.2244071,1.1644816,1.199753,1.198066,1.2850373,1.1282874,1.2870224,0.94702286,1.0650873,1.1112568,1.2517451,1.0243456,0.9038727,1.0794082,0.6565727,1.0754473,1.07806,1.1014678,0.89052564,0.979221,0.8008643,1.2076619,1.203867,1.038441,1.13554,1.1788124,0.9509611,0.78895205,0.85056645,1.2141157,1.2237256,1.3005699,1.132448,1.2206221,1.0978585,1.2449534,1.0187464,0.790442,1.1096643,0.68950605,1.1864903,1.0009326,0.8744036,1.2721405,0.8663785,1.1453295,1.1599723,0.8851705,0.5640464,1.1954908,1.2378758,1.1422565,0.9087495,1.1522641,0.8457396,0.76485354,0.7696644,1.293977,1.2948313,1.1813693,0.9694514,1.022776,1.0510949,1.1415488,1.2020895,0.831869
bed,0.7213938,1.4419025,1.0291159,0.81684566,1.171509,1.4389367,1.1291267,1.0348319,0.60889775,0.0,1.4389038,0.5641623,0.64021397,0.17797166,1.2335494,1.4222968,1.0466536,0.73506737,1.371868,1.2392349,1.4461199,1.0314037,1.05394,0.5795187,0.92474043,1.4381173,1.1627007,0.054686546,0.9256438,1.4324276,0.4899115,1.2596626,1.0759807,0.5260834,0.84888357,0.72691035,1.0353451,1.2996844,1.1258723,1.1162777,1.3435638,1.4453523,1.1492941,1.1918677,1.2137761,0.968926,1.1108865,0.93740636,1.4504693,1.1716675,0.6676369,1.3437614,0.68793535,1.2746677,1.0064771,0.9497891,0.945574,0.74011475,1.0241861,1.0531206,1.2900403,0.9761504,1.1449087,1.2803241,1.1388507,0.46643215,0.95279896,1.444977,1.4238371,1.1326394,1.0459322,1.1238174,1.2292504,1.3127553,1.0051125,0.6360228,1.2023977,0.83899486,1.3068945,0.8355036,0.8379733,1.230221,0.72682655,1.2294145,1.2940152,0.94411355,0.5611146,1.4110239,1.3192377,1.2298766,0.8506615,1.3468757,0.97564125,0.5449877,0.6646236,1.4986833,1.2894082,1.2892054,0.82219315,1.0553453,1.2001811,1.3122017,1.382031,0.8741237
