,alligator,ankle,apple,arm,ball,balloon,banana,basket,bathtub,bear,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,bucket,butterfly,can,car,carrot,cat,chair,clock,closet,coat,coffee,comb,cookie,corn,couch,cracker,crayon,crib,cup,deer,dog,doll,door,drawer,dress,duck,ear,egg,elephant,eye,face,finger,firetruck,fish,flower,foot,fork,frog,glass,glasses,glove,grass,gum,hair,hamburger,hand,hat,horse,hose,jacket,jar,jeans,knife,ladder,lamp,meat,melon,mitten,motorcycle,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pen,pencil,pickle,pillow,pizza,plant,plate,pony,pumpkin,purse,radio,refrigerator,rock,rooster,scarf,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,snow,soap,sock,soup,spoon,sprinkler,stick,strawberry,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,truck,vacuum,watch,window
alligator,0.0,1.1132429,1.3770816,0.6502202,1.104871,1.0142754,1.0823824,1.0695709,0.7682203,0.7447226,0.4293186,1.4702029,0.7985334,0.6177192,1.1409546,0.44548738,1.0967407,1.4489636,1.5715227,1.5906321,0.9754877,1.2906466,1.340226,0.9990898,1.5404248,1.1186987,1.0345881,0.6032116,0.93557197,1.4874355,0.9213898,0.97488,0.8375309,0.92106944,1.0589283,0.7441649,0.45826322,1.012618,1.5670433,0.6850172,1.5739377,0.9030706,0.6089243,0.9098156,0.88179946,1.2012533,0.6692128,0.94106203,1.0825254,1.3737667,0.85630274,1.2509238,0.8885628,1.2552505,0.9281054,1.3275919,1.0429319,0.82612956,1.444683,1.0023903,0.7238385,1.3315326,0.9131735,0.86349547,1.3633995,0.81408477,1.2337136,0.8465775,1.4843736,1.0796568,0.78625965,0.6387888,0.6424556,0.5448705,1.2306206,0.8731481,1.4935741,0.9326507,0.7745892,0.34765714,1.1730328,0.73263526,1.493019,1.2762773,1.4469247,1.1232446,1.3987141,0.89834464,0.6646669,0.5417983,0.6143807,1.0752153,1.5749987,1.5423133,1.3900898,1.101178,0.8470274,1.0469928,1.189353,1.1209574,1.3431481,1.1554394,1.446844,0.9078035,0.71172774,0.92876995,0.841187,1.0061647,0.62567264,1.1358547,0.64468473,1.2371558,0.70074934,1.2709819,0.6187626,1.5233054,0.74606436,1.3634057,0.90757895,0.76806283,1.3378651,1.1137253,1.2128508,1.1229626,1.0081829,0.62631834,0.6139381,1.5554516,1.3073556,1.0716631,1.0274551,0.92706835,1.2357268,0.98720485,0.8729074,1.0566279,1.2843286,1.5072553,0.791186
ankle,1.1132429,0.0,0.9461706,0.83953,0.93610173,0.96304804,0.98787516,0.92190343,1.1983463,1.1015719,1.1887844,0.9049196,1.1646922,1.0291511,0.94937104,1.032003,1.1026194,0.9625654,0.847172,0.8829277,1.1252267,0.83342576,0.9403382,1.0122824,0.81773305,1.2806262,0.9944743,1.1086159,0.96805894,0.8697022,1.1105373,1.0109029,1.1014197,1.0944469,1.0804446,1.1295455,1.1801168,1.0008621,0.89690274,1.2645731,0.7267816,1.0215265,1.1008922,0.9011766,1.1432192,1.099988,1.0226954,0.9443315,0.95120716,0.6228615,1.1302257,0.9496342,1.16947,0.54378533,1.2632225,0.9464211,1.0356891,0.7143987,0.8348223,1.0418842,1.2450284,0.983481,0.5828487,1.1554863,0.9642139,1.1680539,0.9256978,0.8379875,0.81795424,0.92304313,1.1161468,1.129438,1.1487465,1.1029595,1.0169704,0.99365735,0.8001738,1.0776777,1.1633765,0.8703083,1.1647997,1.069832,0.8368402,0.5724897,0.8711959,1.0382081,0.7890883,1.1758283,0.95991594,1.0970051,1.0444682,0.91872853,0.9168315,0.90932643,1.0350927,0.76068133,0.99468654,1.0307347,0.940548,0.94445837,0.9673933,0.98599523,0.9591277,1.1354873,1.044702,0.87850845,1.1195734,1.1637821,1.1276872,0.7864219,0.9640705,0.9907322,1.1104082,0.9943227,1.0928756,0.88032395,1.1492505,1.0113876,0.20320237,1.1729765,0.7642199,0.98084414,0.8970447,1.0761336,1.2168999,1.1861258,1.2402126,0.79445267,0.46162248,0.9629801,1.1318505,0.71766376,0.98810756,1.0362678,1.1116097,1.3005357,0.9199709,0.8358846,1.1107304
apple,1.3770816,0.9461706,0.0,1.2949741,0.7372574,0.88807607,0.38687325,1.2041785,1.4309952,1.0520552,1.4752873,0.6617792,1.4440377,1.3866389,0.83674556,1.3890461,1.1003497,0.8103918,0.45747805,0.5802115,1.3032631,0.6093919,1.0155513,0.93823576,0.75673664,1.1587957,0.74859214,1.2224877,1.2700878,0.6824343,1.3254654,1.1598873,1.4045842,1.2595787,0.9264941,1.1935885,1.4150865,0.8172699,0.39621204,1.5508819,0.6825359,1.0759438,1.2451476,0.9839311,1.3184187,1.0933853,1.2504697,1.0139695,0.80116343,0.3756591,1.1173701,0.5849073,0.99252397,0.6568017,1.1985159,0.5199054,1.1294179,1.0899681,0.7548006,0.54357684,1.3652544,0.5629897,1.0287446,1.1788659,0.6784226,1.141691,0.81949115,1.0770131,0.49354166,0.9700549,1.2873574,1.3501532,1.3214632,1.4306695,0.9446999,1.3434283,0.63976955,1.013736,0.7871458,1.19574,0.9516417,0.94456047,0.32351804,0.8570681,0.49317825,0.8076712,0.25732803,1.4055749,1.1100677,1.3832142,1.3511058,1.2541854,0.5060983,0.52576435,0.29134893,0.93527174,1.0762051,1.1539993,0.859727,0.8640419,0.3438127,1.2321582,0.75055635,1.4152129,1.262971,1.0170498,1.1802889,1.1544199,1.3565795,0.9936512,1.3761344,0.8538977,1.2935812,0.9917742,1.3845397,0.33224177,1.2976903,0.527181,1.0374652,1.2961268,0.69774437,0.8313544,0.8127316,0.8003051,1.2030636,1.3893088,1.481072,0.46305102,0.49920297,0.7843367,1.1613389,1.0615715,0.73381734,1.3150027,1.1973329,1.1343466,0.9507989,0.4267764,1.272636
arm,0.6502202,0.83953,1.2949741,0.0,1.1175691,1.0597843,1.1487967,1.1395257,0.7182092,0.84378153,0.6776167,1.2617595,0.9046607,0.59507436,1.3921218,0.7539294,1.0806433,1.3415186,1.3860903,1.4049159,0.9855488,1.3396888,1.193938,1.2307582,1.3200252,1.0780888,0.96339566,0.9483754,0.94127727,1.3329701,0.8944835,0.9422711,0.9071264,0.9143422,1.1389196,1.0240756,0.7077943,0.949134,1.3427033,0.8364719,1.3666778,0.90448785,0.9809765,1.0788995,0.82792914,1.0340555,0.5424961,1.3021507,1.082454,1.2161076,0.8186872,1.1379278,0.9160393,0.82794285,0.98157156,1.4186875,1.0497023,0.952949,1.2242187,1.2899444,0.823869,1.0857718,0.7810153,0.9076556,1.2283818,0.8376583,1.2631487,0.39543343,1.3446739,1.2174915,0.87982535,0.6080332,0.9898994,0.5126342,1.012939,0.93423647,1.3577623,0.9990896,0.9743315,0.57008594,1.1798886,0.96967226,1.2678373,1.1579813,1.1086744,1.2684993,1.2620679,0.83896136,1.0094259,0.4776954,0.645786,0.9848727,1.299645,1.2608186,1.3573887,1.2062668,1.0519359,1.0387383,1.2052914,1.1537063,1.340409,1.2034321,1.3640186,0.80342245,1.0249497,1.1674076,0.74724174,0.96975446,0.47624135,1.1346664,0.5630692,1.05514,0.7136463,1.1001521,0.7404727,1.3770522,0.8579431,1.216548,0.80154604,0.87992513,1.1988323,1.1586871,0.937803,1.0590402,1.0838864,0.64380634,0.7237281,1.3957858,1.0082525,0.9619592,0.7650415,1.0527406,1.3025329,1.0279286,0.9202188,0.94136894,1.2189009,1.2716472,0.8500589
ball,1.104871,0.93610173,0.7372574,1.1175691,0.0,0.06527257,0.932343,1.098143,1.1533383,0.91237915,1.0710526,1.0740942,1.1950902,1.1437267,1.1264125,1.0877848,1.0414107,1.0974905,0.9476504,0.86517525,1.1338452,1.062503,0.8397297,1.0228534,1.094898,0.99855506,0.9570443,1.0324292,1.1757134,0.7932663,1.1862448,1.0841318,1.0073086,1.0514446,0.82432604,1.1442777,1.063793,1.1916797,0.94573367,1.1659985,0.97579956,0.993281,1.0492755,0.98029405,1.214086,1.1969578,0.97023267,1.0606112,0.9045221,0.5848409,0.99359953,0.8678504,0.9669174,0.9155215,1.0232409,0.9081969,0.96914726,1.1182947,1.2685194,0.9451563,0.9899314,0.9921575,1.0383689,1.1204772,0.8275184,0.98934823,1.0273685,1.0584693,0.8266376,1.0542632,1.0611289,1.0622813,1.0345685,1.0608637,1.2824166,1.179702,0.92916673,0.9082583,0.8163669,0.94514835,0.9183009,0.82101786,0.74101245,1.168237,1.0572329,0.7972969,0.5478039,1.2138419,0.99272853,1.1797514,1.0580081,1.0610489,1.0270592,1.0150621,0.97706443,1.1150575,1.0834837,1.0348214,1.0712367,1.0138013,0.9028566,1.1504304,1.055581,1.2391794,1.0118961,1.0648633,1.0802251,1.0452743,1.0769453,1.0307857,1.0418662,1.2296189,1.0842922,1.1985698,0.82530427,0.979167,1.1153373,1.006963,0.9767174,1.0368019,1.1467614,1.0254989,1.0299697,0.8986876,0.94289565,1.0266954,1.083858,0.82445085,0.83077043,0.990952,1.0627366,1.1636474,0.7734271,1.1856973,1.0381181,1.0691342,1.0324757,1.0105991,1.1425916
balloon,1.0142754,0.96304804,0.88807607,1.0597843,0.06527257,0.0,0.99754876,1.0893767,1.0195179,0.9229413,0.98109514,1.0965589,1.0470074,1.0982678,1.1722639,1.0279218,1.0758814,1.1532254,1.0519199,0.92314565,1.0632166,1.1724995,0.8426734,1.0605538,1.0928781,0.9771602,0.97926885,1.0021006,1.0295926,0.89919496,1.0957909,1.087377,0.91022563,1.0253595,0.86886126,1.0928613,0.9645957,1.2236544,1.0631192,1.0428567,1.0208454,1.0000808,1.0211208,1.0254724,1.0671979,1.0988718,0.91599786,1.0880163,0.94412893,0.7535831,1.0222251,0.9469104,0.9595854,0.99575776,0.97036904,0.9777763,0.9694495,1.0853167,1.2998345,1.0491031,0.92980784,1.0863616,1.0828353,1.0889848,0.92284614,0.98541284,1.0862744,1.056499,0.9624946,1.082917,1.0065693,1.0251106,0.94528663,0.9863832,1.253832,1.0899177,0.979297,0.85517454,0.8046925,0.92448616,0.9199569,0.8477119,0.8958583,1.1866636,1.1433523,0.88612586,0.6803782,1.0873777,1.0274988,1.1178716,0.9794751,1.0051516,1.1166533,1.105696,1.107224,1.1293579,1.034291,1.0280037,1.0410668,1.0489519,1.0410904,1.1163868,1.1106373,1.0891938,0.9697918,1.1098784,1.0585924,1.0521067,1.0108769,1.0814495,0.95787525,1.2090735,1.0226098,1.1011826,0.7208802,1.1174026,1.0595859,1.049214,0.96811396,1.0072999,1.2023387,1.0934246,1.070874,0.8929819,0.9170544,0.96361005,0.9657631,0.9487552,0.9547564,1.0406959,1.0521063,1.1491734,0.84190595,1.0745327,1.0259507,1.0457516,1.0039986,1.1510595,1.0472802
banana,1.0823824,0.98787516,0.38687325,1.1487967,0.932343,0.99754876,0.0,1.1689597,1.3134117,1.068456,1.3902593,0.9146212,1.2539698,1.214508,0.94100994,1.2419218,0.97501653,0.85780686,0.85159576,0.86746377,1.1344616,0.76820904,1.0266086,0.90999043,0.94168335,1.0785003,0.66555876,1.2505759,1.051497,0.9144189,1.2561845,1.223618,1.2788615,1.0831282,0.94928664,1.1271042,1.3210415,0.6320604,0.7013738,1.3251116,0.95934296,0.9398228,1.1994672,0.88910514,1.2328681,1.02282,1.2073499,0.9687139,0.85285765,0.70957655,1.1089442,0.84425473,1.0546523,0.81140625,1.2199667,0.63642263,1.1324482,1.0070895,0.59559983,0.35174626,1.264261,0.8212581,0.85412294,1.1722383,0.73344755,1.1527423,0.7872617,0.9788713,0.7669736,1.0354725,1.1517336,1.3047898,1.1980522,1.2970802,0.70753676,1.143555,0.82908607,1.0450922,0.5488294,0.91468096,0.85876006,0.93967867,0.8618233,0.7339544,0.7782654,0.84838533,0.64639306,1.2358825,1.0584928,1.2481569,1.2664335,1.1638919,0.80094635,0.7716446,0.60334,0.87724227,0.84581006,1.1666739,0.72400856,0.8940053,0.75823534,1.0611864,0.87956643,1.2411883,1.1595551,0.97200215,1.1376525,0.9044252,1.3064342,0.91497386,1.3060555,0.77512836,1.279812,0.9761505,1.2637591,0.7304241,1.3618667,0.6595512,0.91038465,1.1876785,0.50034285,0.94224,0.7453198,0.942026,1.0554844,1.332494,1.3226211,0.52761674,0.77350914,0.664141,0.8825729,0.8775407,0.68510497,1.0326544,1.251388,1.0278493,0.85910356,0.8560158,1.3012235
basket,1.0695709,0.92190343,1.2041785,1.1395257,1.098143,1.0893767,1.1689597,0.0,1.0331773,1.0598283,0.9423387,0.9404881,0.8604504,1.0497311,0.954412,0.74120164,0.8957643,0.7310241,0.91978365,0.7037864,0.65788466,0.7440694,0.5858947,0.9698489,0.7604902,1.0742638,1.3370516,1.1134181,0.69596225,0.95595896,0.86347127,0.9927204,0.8677996,0.95468795,1.0814718,0.68121165,0.954839,1.1421272,1.0611472,0.7379248,0.7238646,1.1295602,1.0496678,0.9451466,1.0536938,0.77552974,1.2424716,0.9072848,1.2002984,1.0867162,1.0343405,1.2239155,1.3366859,1.1706765,1.0972133,1.0363407,0.91597146,0.93478864,0.9227836,1.0904133,1.1214232,1.2379191,1.0898738,1.1037894,0.96071327,1.2919456,0.89723873,1.2382462,0.99359137,0.8753725,0.9647565,1.1417742,1.030969,1.2513249,1.2528937,0.9505475,0.89330554,1.0980724,1.0691992,1.0785952,1.0640676,0.79734975,1.1532204,0.68691933,1.0767097,1.0255722,1.0671072,0.9424976,0.9540419,1.0819277,1.2715517,0.7893062,1.0661081,1.0426849,1.107075,0.5642156,0.9308744,0.9603382,0.8796402,1.0725471,0.9672901,0.5087437,0.7357742,1.0075717,0.63633406,0.94928724,1.1569606,0.9920629,1.2268896,0.82044214,1.140898,1.0695914,1.0874761,1.0296317,1.0473695,1.0660682,1.0755653,1.0561653,0.93093085,0.84117603,1.028062,1.0398308,1.0783185,1.0638531,0.96241933,1.1363934,0.95604074,0.77294797,1.1541483,1.156807,1.0794766,0.61237264,0.83260006,0.5748342,1.0631869,1.0955989,0.9203119,1.0735033,1.1448357
bathtub,0.7682203,1.1983463,1.4309952,0.7182092,1.1533383,1.0195179,1.3134117,1.0331773,0.0,0.8823578,0.43193996,1.3292388,0.6261591,0.76495415,1.3472545,0.7207298,1.0507733,1.3141831,1.485157,1.258763,0.65637314,1.4576497,1.1789019,1.178258,1.2724717,0.9644979,1.1570101,0.9112917,0.8082087,1.2846977,0.60197115,0.8526571,0.7335077,0.76050854,1.0006721,0.76379275,0.52882415,1.2179996,1.4520853,0.57076716,1.3923078,1.1044743,1.0010748,1.3513858,0.46705633,0.7210718,0.7799398,1.2198467,1.1840023,1.4384373,0.7622585,1.208743,0.9036319,1.3731788,0.83529246,1.5418411,1.0616347,1.135514,1.2724462,1.4202551,0.5807945,1.2887244,1.3189437,0.7411077,1.3854825,0.8977109,1.2702107,1.0054228,1.521383,1.3679619,0.71171594,0.69177604,0.8423685,0.5738777,0.8809335,0.781377,1.2724872,0.8997799,0.9771972,0.9543066,1.2133665,1.0586149,1.3700163,1.2937493,1.4070876,1.2964674,1.419119,0.44443822,1.1491195,0.6633084,0.63462406,0.7130697,1.3702353,1.3320926,1.3324568,1.3166707,1.0473835,1.0812764,1.0897965,1.3160768,1.402575,1.1437808,1.2922424,0.4033929,0.8691458,1.4040071,0.81113076,0.9728025,0.6038296,1.3152299,0.6640156,1.1932697,0.39686567,0.5821446,0.4600296,1.466084,0.5478195,1.2084934,1.1862794,0.77092075,1.3163021,1.0034574,1.2739868,1.1139195,0.9931003,0.64571536,0.39609694,1.4088149,1.4551713,1.0938536,0.8896176,1.2091012,1.3654573,0.8411293,0.81539094,0.8685539,1.112954,1.4962376,0.61321676
bear,0.7447226,1.1015719,1.0520552,0.84378153,0.91237915,0.9229413,1.068456,1.0598283,0.8823578,0.0,0.80900323,1.0699346,1.2125086,0.84259427,1.1297348,0.75428545,0.9214518,1.3133142,1.2339743,1.2066649,1.1722543,1.1698604,1.1884261,1.0808302,1.2633622,0.9496822,1.0440067,0.86363286,1.1902618,1.1701834,1.0771161,0.9555433,1.0902016,0.88305056,0.9489074,1.0585498,0.8924931,1.0021554,1.2198467,1.0355911,1.2877901,1.0229541,0.83509827,1.1418214,1.1102151,1.197969,0.90045285,1.1315836,0.9384821,1.0857091,0.5301624,1.0248865,0.97503847,1.0641657,0.9871096,1.1048645,1.1211214,1.0009886,1.2040703,1.1143148,0.887665,1.1097507,0.9800956,0.6879528,1.2047188,0.9850743,1.141441,0.92763686,1.232356,1.0667647,1.0199995,0.82274747,1.016411,0.7385156,1.1286602,1.2418554,1.2997615,1.0711719,0.89846396,0.8182414,1.11972,0.7053421,1.116971,1.238368,1.11196,0.98990977,1.0638839,0.97419393,0.8447981,0.78398085,0.820326,1.1091074,1.1872765,1.2054073,1.0866815,1.1126671,1.0561603,1.1143298,1.1763909,1.0271165,1.0853776,1.3087473,1.2902215,0.9835432,0.830137,1.0977477,0.77921444,1.1226022,0.7694491,1.0673923,0.7710306,1.2623405,0.8857563,1.0932724,0.80731475,1.1771021,0.85382473,1.1271379,1.0307536,0.94622093,1.2499864,1.099113,1.1442852,0.91486394,0.98558146,0.84895563,0.98554635,1.2362975,1.10086,1.0667889,1.0281754,1.1133701,1.2152606,1.2536042,0.92343485,0.819893,1.3207476,1.1547095,0.97976375
