,alligator,ankle,apple,arm,ball,balloon,banana,basket,bathtub,bear,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,bucket,butterfly,can,car,carrot,cat,chair,clock,closet,coat,coffee,comb,cookie,corn,couch,cracker,crayon,crib,cup,dish,dog,doll,door,drawer,ear,egg,elephant,face,finger,fish,flower,foot,fork,frog,giraffe,glass,glasses,glove,grass,gum,hair,hand,hat,horse,hose,jacket,jar,jeans,knife,ladder,lamp,leg,meat,melon,milk,mitten,motorcycle,mouth,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pen,pencil,pickle,pillow,pizza,plant,plate,potato,pumpkin,purse,radio,refrigerator,rock,rooster,sandwich,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,snow,soap,sock,spoon,sprinkler,stick,strawberry,stroller,sweater,swing,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,vacuum,watch,window
alligator,0.0,1.2778729,1.3171711,0.7970023,1.2282852,1.1473519,0.8795502,1.1392989,0.8653928,0.8967598,0.68801033,1.2956722,0.9176268,0.83214843,0.85824496,0.9157092,0.81155384,0.8664809,1.2962251,1.314075,0.9485104,1.2273226,1.1883398,0.7578645,1.3456621,0.9901934,1.3443466,0.8576518,1.180527,1.2761352,0.8523074,0.8941568,0.8427822,0.89512485,0.90799665,0.91441214,0.727445,0.73942184,1.3969479,0.76183,1.3643285,0.99385446,0.85872996,0.882005,0.80594516,1.0582166,1.2299851,1.3286483,1.0190098,0.8413626,1.2817708,0.7599675,0.8774202,1.073949,1.3190124,0.72560763,0.8716093,1.0472313,1.1763115,0.9840904,0.87473667,1.2992783,0.8300783,1.0151151,1.2471153,0.89068717,0.7517326,0.75389856,1.0561849,0.8100791,1.1556557,0.9593555,1.1920947,0.7873513,0.94056517,1.1898202,1.0301723,1.1137602,0.89926577,1.1576844,1.0948615,1.3429757,1.2071699,1.2474903,1.0948665,1.326407,0.9021765,0.85286075,0.7878998,0.8627267,0.6778558,1.2841711,1.2794366,1.1530378,1.2245567,1.0254331,0.8962264,1.1021415,1.1949457,1.144187,0.99587834,1.2679043,0.80613834,1.0245497,0.583118,0.99210876,0.8677368,0.75221753,1.0878325,0.8508376,1.1489644,0.7895048,1.0195132,0.82135206,1.3290969,0.807414,1.3315856,1.1951315,1.3392503,0.91567487,1.1050075,1.3507847,1.1033002,0.73291385,0.81306946,0.82516116,1.3248024,1.3582243,1.3636596,1.2355735,1.1346269,1.0730742,0.8630682,0.7511648,1.0016668,1.356907,0.8594148
ankle,1.2778729,0.0,0.8974437,1.0726064,0.741962,0.91503143,1.0647787,0.8186695,1.1488836,1.1337872,1.2420297,1.0447412,1.1619903,1.0187757,1.0494467,0.97544694,1.2953975,1.0714107,0.7250519,0.8582421,1.0949298,0.7406374,0.7403916,1.1132735,0.74937284,1.0822415,0.8454533,1.0921967,0.93192726,0.9193075,1.0498,0.93945086,1.2890545,0.9410109,1.1539915,1.1513236,1.2247745,1.1110492,0.84436035,1.3112242,0.7810538,1.1818117,1.108454,0.8596032,1.0671706,1.1884499,0.97004896,0.94888693,1.0074661,1.1893358,0.67007774,1.08161,0.9862062,0.51098645,0.9386567,1.0207103,1.2380943,1.0694095,0.9848312,0.73889506,1.1904211,0.913533,1.0906837,0.96551096,0.7961584,1.1664213,1.153399,1.1933892,0.8429872,1.0014467,0.9865565,1.0351189,0.85186255,0.9864245,1.0988656,0.8103137,0.7353927,0.7255333,1.1136926,0.99527764,0.8420937,0.8859625,0.6745692,0.88907146,1.0100754,0.95314634,1.2549559,1.0541906,1.1042012,1.0569011,1.2397128,0.9653068,0.9773642,0.9484579,0.66023606,0.9677472,0.96458364,1.0637465,0.81243193,0.6566587,0.85192174,0.9151201,1.2643427,0.89593655,1.1262407,0.8953537,1.2449801,1.1994599,0.62930256,1.1150334,0.89765686,1.0557798,1.216869,1.2630864,0.50648856,1.2467818,0.86132586,0.11358225,0.82900095,1.020103,1.0320683,0.85600734,0.94341177,1.2085673,1.2067602,1.3065784,0.7227479,0.41878653,0.8496118,0.73358953,0.7354978,0.9845603,1.2772548,1.229883,1.0072018,0.8561607,1.0954413
apple,1.3171711,0.8974437,0.0,1.4311785,0.7531389,0.7003866,0.76601934,1.0400962,1.5425841,1.08799,1.529403,0.47565836,1.4074223,1.332161,0.96127623,1.265148,1.3173766,1.1720285,0.42959106,0.8099612,1.2776824,0.8858823,0.9402892,0.9192909,0.6820878,1.1169944,0.4451306,1.0465684,0.95048684,0.31953228,1.2347192,1.1122792,1.3508104,1.1032693,1.1677977,0.8523755,1.423754,1.264684,0.28530174,1.5141218,0.46368623,1.1816547,1.1030499,0.9654895,1.2019509,1.2284617,0.64722013,0.24840379,1.1133904,1.1221657,0.72715664,0.72630155,0.8752565,1.1939758,0.7839643,0.7857822,1.1760025,1.1557813,0.73813677,1.2224805,1.1158128,0.39509004,1.1512418,1.2018865,0.8607956,1.1495084,1.2927823,1.400046,1.1364706,1.4037545,1.0364375,1.1550243,0.6930717,1.306477,1.0994686,0.68754214,1.1683745,1.0189155,1.2799337,0.9089478,0.63930815,0.24925125,1.097784,0.68765867,0.849558,0.2683429,1.3705907,0.9563515,1.4088782,1.2664275,1.4004574,0.7202672,0.7083535,0.60884845,0.7413579,1.0424911,0.95002943,1.0812228,0.58768344,0.8296076,1.18989,0.76253736,1.4094636,0.90890414,0.94276637,1.2445306,1.3260024,1.3688284,1.1297469,1.3067822,0.9985266,1.186377,1.0975177,1.3910978,0.545678,1.2544715,0.15748179,1.1000676,0.6130353,1.2261786,1.086059,0.24606186,0.56713074,1.4408734,1.2249936,1.4442831,0.5649099,0.48279405,0.29921395,0.7094779,1.1125592,0.79173386,1.3433831,1.1172159,1.1799906,0.30720115,1.1960913
arm,0.7970023,1.0726064,1.4311785,0.0,1.3379853,1.1476425,1.0476781,1.3644178,0.64526325,0.8739057,0.54694533,1.3460774,0.8520255,0.70678127,1.2232871,0.8636517,0.7541403,1.0711403,1.479497,1.3783379,0.97302526,1.2431011,1.4010297,1.2429157,1.4251646,1.0767319,1.2615881,1.0638331,1.2343853,1.48139,1.0353559,0.9100486,0.8068324,0.8572185,0.9973076,1.0331856,0.6296689,0.53110045,1.4317527,0.7705983,1.5249269,1.0925319,1.0605484,1.1622051,0.8812913,0.9497157,1.1476643,1.3879719,0.8647234,0.77962434,0.9061264,1.291851,1.2738069,0.7641959,1.2096684,1.361825,0.8093519,0.8975275,1.1098372,0.56882775,0.8255083,1.3281796,0.7489377,0.5270928,1.3147968,0.81926036,0.86907274,0.4691226,1.0149955,0.36471093,1.0986009,1.0766158,1.4531274,0.4579898,1.1081147,1.2019707,1.0350195,1.0127438,0.95110565,0.9541302,1.2823502,1.2854152,1.2283032,1.0694565,0.91926634,1.3636003,0.78606474,1.1512752,0.325109,0.43706244,0.763988,1.2883099,1.2952508,1.2120638,1.3925102,1.1934662,1.1968257,1.0600383,1.1311475,1.178642,1.2300733,1.3757213,0.73324335,1.2452481,1.0858531,0.65814424,0.7971885,0.38103712,1.0030168,0.46342826,1.0767494,0.9422397,0.8778204,0.7824459,1.3450032,0.77460134,1.4694089,0.8541063,1.4101222,0.98486066,1.0954903,1.41501,1.338748,0.34305298,0.9637693,0.6017711,1.4442931,1.2197113,1.3172559,1.2271557,1.1464207,1.4147955,0.88747084,0.91184545,1.2211188,1.3255835,0.91436946
ball,1.2282852,0.741962,0.7531389,1.3379853,0.0,0.5102754,0.97763056,0.6415312,1.2065257,1.0941153,1.3165629,0.9658611,1.2249628,1.0457944,0.8660823,1.0869296,1.1899338,0.92004853,0.63196194,0.7230322,1.021837,0.80810297,0.51146406,0.8679989,0.90132326,0.89877987,0.99068826,0.99522126,1.0434436,0.6311465,1.1972263,1.2058129,1.1235236,1.189144,0.7679641,1.1461325,1.2621422,1.322531,0.8858948,1.1313373,0.6134218,0.8601301,0.9654216,0.8738594,1.3152537,1.1299875,1.1150514,0.7895574,1.1320354,1.1150589,1.0878766,0.96356606,0.86270046,1.069825,1.017004,0.7191936,1.1210706,0.82904714,1.1240109,1.1412537,1.0874525,0.6519904,1.23102,1.1752989,0.7792573,1.1115104,1.1065412,1.3343526,0.9138705,1.3781157,1.0225822,1.2431595,0.63273746,1.300917,1.0070062,0.69026566,0.81127715,0.85098445,0.940456,1.1412144,0.7563585,0.8338228,0.77469236,1.2317216,1.137217,0.7863096,1.2520621,0.81308806,1.3375037,1.414629,1.0456215,0.92035794,0.91414875,0.9304877,0.7906843,0.89079535,0.90361303,0.770854,1.073363,0.75153637,0.89636123,0.8913016,1.2911308,0.80906534,1.022781,1.1130263,1.1899751,1.3482049,0.9885752,1.3594705,0.9752381,1.1636848,0.9425885,1.0401907,0.85539365,1.1682218,0.80515426,0.86644053,0.8355123,0.885073,0.9934192,0.8956644,0.80300236,1.3044032,1.088105,1.1033453,0.39500213,0.8607491,0.96049625,0.88904613,0.8802279,0.45213234,0.88625616,1.1474948,0.9241272,0.973362,1.1806598
balloon,1.1473519,0.91503143,0.7003866,1.1476425,0.5102754,0.0,0.82273006,1.0321573,1.0899999,1.0461693,1.2588644,1.025343,1.2782032,1.0147518,1.1083293,1.1529368,1.086914,1.0603051,0.68508923,0.7881253,1.1096246,0.7910365,0.6154849,0.97389597,1.0443051,1.186014,0.8367669,1.0707371,1.144707,0.8358975,1.1711181,1.1123875,1.140201,1.0664935,0.84760845,1.0374005,1.2037404,1.1944807,0.9548094,1.2421126,0.75800204,0.891014,1.0777725,1.0409366,1.1869546,1.1074575,0.96900487,0.8401865,1.2086833,0.9765702,0.8780322,0.85096747,1.1253757,1.1053789,0.9721398,0.91707987,1.1157516,0.5972514,1.0011543,0.9492239,1.1539825,0.6529463,1.0607923,0.92108494,0.7484622,1.0698843,1.0468829,1.2020882,0.7895957,1.1357005,1.0495197,1.2228005,0.8435663,1.0577769,1.0740658,0.81661344,0.96393543,0.7277076,1.1552265,0.91418576,0.92886853,0.8568987,0.8752481,0.90730405,0.899415,0.8200168,1.1956353,1.0567348,1.0737768,1.1130104,1.0461761,1.0404872,1.0383307,0.89539737,1.1296767,1.051664,1.1317842,0.5515947,0.9377812,0.69438577,1.2266575,1.0981605,1.2032808,0.9929901,1.0771092,0.9468993,0.9829609,1.063542,1.1213607,1.1109684,0.8098651,1.157663,0.7269035,0.97959644,1.0329884,1.1476672,0.8810087,0.9780668,0.78142494,1.074448,1.1141558,0.83192533,0.951945,1.115452,1.0805231,0.947878,0.6267916,0.9381605,0.96772945,0.7348598,0.92734134,0.6250332,0.65828466,1.180634,1.1553109,0.98675275,1.166166
banana,0.8795502,1.0647787,0.76601934,1.0476781,0.97763056,0.82273006,0.0,1.1123619,1.1168079,1.0030488,1.1713132,1.1137657,1.2295942,1.0183579,1.0538882,1.0812467,1.1086158,1.0103037,1.000719,0.94951856,1.1524308,0.8102527,1.0381486,0.7750217,1.1966193,1.225275,0.8505331,1.0804505,1.1358774,0.947518,1.2529758,1.189065,1.1472708,0.9486249,0.84473825,0.85162413,1.1515975,0.8038023,0.9963862,1.183954,1.0571256,0.8396801,1.1015512,0.8751075,1.1709083,1.0562751,0.95787513,1.0288535,1.0988584,1.0286652,0.9101083,0.6302402,1.1349533,1.0666069,1.0160241,0.62584925,0.92976296,1.01734,0.9758681,0.896774,1.2274811,0.87826896,1.06771,0.96183646,0.9077249,1.1315295,0.9500691,1.1729422,1.0465972,1.0695392,1.080561,1.0760915,1.0125571,1.0060613,0.8243548,0.6615458,1.0875243,0.79425055,1.1263262,0.9285109,0.787147,1.0621085,1.0338534,0.91541874,0.86541796,1.0141252,1.1338663,0.9677247,1.0918808,1.0567532,0.9737751,1.0610285,1.0582298,0.62865853,1.0541638,0.8815594,1.1567844,0.8996464,0.77573156,0.84076005,1.1472852,1.0655863,1.1860445,1.0677037,0.92265713,0.88607675,0.84275305,1.1303382,1.0982404,1.0537305,1.0325546,1.2485788,1.0167282,0.9451742,1.0164104,1.1992671,0.8375981,1.0739017,1.0072727,0.93102443,1.096121,0.9302908,1.0094116,1.1604662,1.0115824,1.060744,0.80058396,0.99451166,0.96706086,0.85940117,0.9378217,0.7391242,0.92647153,1.1569219,1.1752,0.9896198,1.2590019
basket,1.1392989,0.8186695,1.0400962,1.3644178,0.6415312,1.0321573,1.1123619,0.0,1.0657898,1.0520862,1.239755,1.016487,0.8714433,1.0614784,0.7797083,0.86491525,1.1565183,0.8758974,0.8135189,0.49081147,0.91104645,0.72149134,0.40525377,0.7355066,0.69887733,0.81948614,1.0790507,1.0172808,0.8529866,0.8815701,1.0547673,1.1301425,1.0285589,0.8535681,0.9416666,1.1586155,1.2146426,1.2069356,0.96517235,0.95869505,0.6019368,0.85400915,0.96499246,0.9613607,1.2243762,1.0710971,1.2048634,1.0205282,1.0953878,1.2751274,1.2212267,0.9602072,0.73951346,1.0391811,0.9509142,0.7669648,1.1616501,0.94165903,1.2330623,1.185883,1.1544423,0.95088965,1.3235339,1.2902695,0.70951974,1.1826587,1.0379453,1.3273528,0.89717054,1.3558357,0.9747973,0.9261193,0.76227856,1.2836285,0.78898704,0.681129,0.8233368,0.92599577,0.9839061,1.1255827,0.8963542,1.0824857,0.57042897,1.2958629,1.2961226,1.0227575,1.0401988,0.83206207,1.3363276,1.4613217,1.0827963,0.89733243,0.8899195,1.0113182,0.69798136,0.6804787,0.77073103,0.8248859,1.2238984,0.8824033,0.45736635,0.70468175,1.107268,0.80565107,1.0374072,1.1748796,1.1572381,1.3307168,0.7986881,1.3241981,0.8930463,1.1276915,1.0912099,1.0719181,0.801502,1.2186284,0.96550226,0.8677833,0.819412,0.8798857,0.89007235,0.98798394,0.8923472,1.3103532,1.0070933,1.1720024,0.5976056,1.004063,1.1534681,0.95515114,0.69844687,0.7201498,0.9096613,1.1114862,0.83107966,1.1103574,1.1368699
bathtub,0.8653928,1.1488836,1.5425841,0.64526325,1.2065257,1.0899999,1.1168079,1.0657898,0.0,0.9396362,0.3671894,1.3464601,0.5224037,0.7496889,1.202659,0.8937359,0.4652338,0.9369558,1.5106236,0.95297563,0.62532574,1.1215757,0.99956524,1.2461097,1.0881631,1.000624,1.3424683,1.0529842,0.8411754,1.5470812,0.76329803,1.1159828,0.5941179,0.87797785,0.97694105,0.9178965,0.6141887,0.8358901,1.5281594,0.43398345,1.3005253,0.7075442,1.033174,1.2317419,0.75441754,0.6320174,1.3505243,1.4878886,1.0352548,0.9517265,1.2661084,1.3017808,1.2919103,1.0188708,1.1884522,1.3716062,0.90907586,0.6498203,1.293714,0.95872784,0.8586112,1.3729832,0.9367913,0.9072456,1.0899578,1.0234737,0.77620494,0.74774003,0.86296904,0.65506727,1.074788,0.9099078,1.2137744,0.8138826,1.0103157,1.1689653,0.93158567,1.0517471,0.7796223,1.137532,1.4229401,1.4450355,0.93962973,1.2938439,1.1803184,1.4652709,0.4648816,1.1922773,0.659359,0.72065103,0.64477074,1.3427496,1.3542416,1.2911627,1.3471426,1.0538422,1.1630428,0.5863649,1.3489106,1.2312334,0.9858114,1.1814883,0.43284607,1.2045112,1.2186213,0.7592747,0.6226289,0.7263793,1.1248617,0.7086051,1.1296089,0.69899285,0.3865142,0.5841309,1.4593278,0.6684059,1.5004988,0.99081117,1.2124784,0.8899629,1.1033202,1.5353812,1.4035997,0.6743152,0.9098388,0.38013387,1.2717496,1.5005425,1.4790624,1.208564,0.9590564,1.2209997,0.488738,0.9655949,1.0581934,1.4630003,0.833384
bear,0.8967598,1.1337872,1.08799,0.8739057,1.0941153,1.0461693,1.0030488,1.0520862,0.9396362,0.0,0.73816335,1.0874162,0.976483,0.845017,0.94064915,0.79990023,0.95117867,1.0643386,1.2647446,1.1713006,1.1515554,1.0850186,1.1324309,0.96261,1.2396984,1.0745817,1.0504549,0.9015337,1.0704305,1.1213833,1.083149,0.95113975,0.91370034,0.91549385,1.0055467,0.8361366,0.86308753,0.8092873,1.1353914,0.9166769,1.2490923,1.0988357,0.85470116,1.0474305,1.0488964,1.1289023,1.0524265,1.0742062,0.69372016,1.0140508,1.122322,0.9782397,1.1430863,1.0483181,1.1494592,1.0480652,0.9285051,1.0710794,1.0865525,0.9998448,0.8929749,1.084597,0.9487741,1.0927651,1.1067866,1.0071726,1.0034485,0.74821365,1.2109689,0.7977952,1.0482031,1.0772228,1.2035841,0.93552786,0.9911971,1.1503539,1.1036496,1.0393984,0.9984681,0.9877167,1.0013934,1.0603387,1.1304563,1.0574343,1.0545541,1.085251,0.9803787,0.93692476,0.76268876,0.8116084,0.9192957,1.088075,1.0929612,1.2115451,1.0965114,1.0199275,1.1523633,1.0906619,1.0764534,1.0801859,1.1051097,1.1624736,0.9048047,0.887694,0.8869723,1.0711313,0.92681336,0.7929571,1.08961,0.7981411,1.1835946,0.9837815,1.0306321,0.9169437,1.1799736,0.8140072,1.0859587,1.1256602,1.2021738,1.0111997,1.0131242,1.1268045,1.1968789,0.8495586,0.9818027,0.8833501,1.2221023,1.176931,1.0843891,1.1991241,1.044309,1.2159489,1.0612804,0.992942,1.2294962,1.0618317,1.0424945
