,alligator,apple,arm,ball,balloon,banana,basket,bathtub,bear,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,butterfly,can,car,carrot,cat,chair,clock,closet,coffee,comb,cookie,corn,couch,cracker,crayon,crib,cup,dish,dog,doll,door,drawer,dress,ear,egg,elephant,face,finger,fish,flower,foot,fork,frog,glass,glasses,glove,gum,hair,hand,hat,horse,hose,jacket,jeans,knife,ladder,lamp,meat,melon,milk,mitten,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pen,pencil,pickle,pillow,pizza,plant,plate,pony,purse,radio,raisin,refrigerator,rock,rooster,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,soap,sock,soup,spoon,sprinkler,strawberry,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,truck,vacuum,watch,window
alligator,0.0,1.5085793,0.63920313,0.9971692,1.464359,1.315352,0.7838956,0.6236025,0.902217,0.45208174,1.4347024,0.5590211,0.5836481,0.87432885,0.448,0.83910215,0.7843887,1.5682855,1.3133535,0.78136134,1.3497703,1.0031877,1.3696144,1.3554685,1.6360528,1.316702,0.95789677,0.5879559,1.204825,1.4656914,0.9825181,0.8369454,0.79090273,1.2747884,0.60111034,0.5356178,1.1085181,1.5830264,0.5614971,1.5291343,0.79426855,0.9292328,0.61755025,0.9191576,1.1171697,1.2514358,0.82686424,1.561795,0.67092526,1.0088525,1.3432797,0.95662016,1.0503576,0.98959416,1.266398,0.7146589,0.6737642,1.3633858,0.5525918,1.2691088,0.88320816,0.98572266,1.5181067,1.2809429,0.6131359,0.7484776,0.49114215,1.3641274,1.0392236,1.2820647,0.83476067,0.96187645,1.1243453,0.3971629,0.7372472,1.4821272,1.0478692,1.5529497,0.9655944,1.5901496,1.436142,0.6230843,0.56422746,0.76690453,1.2601409,1.5543658,1.5248499,0.8547273,1.0035363,0.9998716,1.1095288,1.1560577,1.0975269,1.1086208,1.4275997,1.388038,0.95790595,0.5351336,0.7407424,1.043419,0.69598013,1.3756686,0.82952046,1.4016724,0.80809766,1.0961801,0.7755501,1.5868897,1.2022618,0.8126848,1.1400107,1.417036,0.77451503,1.4092155,0.7506219,0.7226356,0.6256145,1.3696845,1.4012705,1.2147369,0.92709696,1.011736,1.1516428,0.9870073,0.97909486,0.86307144,1.2317854,1.4696617,0.9628781
apple,1.5085793,0.0,1.4829178,0.8256596,0.3388567,0.6403732,1.1882579,1.5085175,1.1646843,1.5693572,0.49623287,1.582307,1.4305732,1.178499,1.5688581,1.2104684,1.2600452,0.36141855,0.75446784,1.2827635,0.5252682,1.1784701,0.82872486,0.53788394,0.44548225,0.81698626,1.016628,1.2888637,0.80050534,0.6809225,1.2771502,1.3830369,1.3047539,0.5930666,1.3591187,1.5439321,0.9553071,0.29226983,1.3587171,0.5116942,1.2577094,1.0211791,1.1224427,1.4131038,1.1550242,0.7677199,0.95972353,0.26115787,1.4123821,0.9257276,0.643813,0.67644286,1.1061009,1.1020406,0.9914633,0.8968322,1.4079952,0.5973169,1.2088455,0.6973276,1.0843699,1.1554465,0.22562611,0.70922136,1.3977685,1.3571868,1.5298004,0.83860433,1.311941,1.0465602,1.1280612,0.7904779,1.1079535,1.1628013,1.121702,0.23596245,0.9896964,0.41991997,0.7096546,0.22441727,0.9401965,1.1647347,1.4673818,1.3494368,0.86411744,0.5110099,0.4007262,0.95168465,1.0908464,0.93371195,1.0623416,0.989221,0.8979972,0.9440495,0.61466944,0.24626291,1.4162301,1.3923364,1.0635933,1.0712959,1.3492887,0.54339224,1.2939637,0.5166821,1.3351326,1.1798767,1.4395921,0.23032308,0.5503162,1.2878574,0.73947024,0.7120244,1.2225275,0.34423327,1.2508956,1.3126726,1.4822711,0.5408207,0.48720556,0.6805139,1.2828895,0.99514425,0.66655856,1.1078312,1.1965916,1.1537117,1.1432867,0.29853326,1.2734776
arm,0.63920313,1.4829178,0.0,1.3136946,1.4619204,1.1629477,0.8440174,0.5773073,0.9088463,0.50677913,1.3493891,0.4072457,0.44960994,1.0644627,0.39237928,0.9965015,0.8571295,1.5021151,1.3138118,0.8941137,1.3582993,0.9638718,1.3309166,1.5292761,1.4414831,1.3257254,0.84577197,0.932348,1.1104484,1.4072547,0.77912486,0.84283805,0.7191316,1.2872941,0.6665648,0.489089,1.1773758,1.478234,0.90995365,1.4895513,0.87649167,1.2070315,0.8364636,0.6774968,0.96599483,1.2261528,1.0422757,1.4839594,0.62515736,1.1929295,0.9385998,1.2394733,1.121605,0.886453,0.99197274,1.254436,0.5718466,1.2428379,0.6297471,1.3180733,0.9345283,0.46186632,1.4915851,1.4742563,0.73108125,0.5921045,0.49568766,0.9349029,0.8607654,1.271737,0.537141,1.0881348,1.1422199,0.70910555,0.8202293,1.3136501,1.1234603,1.297054,1.1332804,1.461158,1.2635916,0.96716756,0.3847894,0.6001647,1.1388286,1.3453718,1.3924677,0.99739474,0.9859344,1.0629855,1.17035,0.9911953,1.375314,1.1531718,1.4141154,1.38135,0.7607087,0.74243337,1.1225957,1.0239347,0.53555,1.3336843,0.67287403,1.234962,0.84684116,0.71517825,0.79004526,1.4331162,1.244937,0.62023693,1.1680387,1.242442,0.95024884,1.3954492,0.9469805,0.664709,0.5762377,1.3951764,1.0858904,1.1626232,0.6978177,1.1119152,1.3062589,1.0138264,0.96944904,0.97171336,1.0334145,1.3731914,0.8739964
ball,0.9971692,0.8256596,1.3136946,0.0,0.8098848,0.94338596,1.0562232,1.2718518,1.0849477,1.1423295,0.99914545,1.2618203,1.2587211,0.78670824,1.1055868,0.992855,1.044744,0.90227824,0.8511621,1.0608416,0.88009584,1.0433972,0.9015175,0.78180623,0.90474564,0.89048195,1.1622641,0.64718443,0.9522399,0.82630473,1.1163237,1.1081996,1.2217867,0.7628565,1.1942062,1.1523356,0.9671691,0.9924358,0.5715795,0.7567647,1.101486,0.5138178,0.9280405,1.1939102,1.0969119,1.0155354,1.0663186,0.8607882,1.2352515,0.63487417,1.1144574,0.8120191,0.97339034,1.1517279,1.146803,0.60656714,1.2516929,0.88196623,1.0955961,0.955569,1.0222187,1.2409414,0.7943212,0.69162464,1.0205733,1.2640266,1.3223348,1.2717087,1.1128283,0.92036706,1.260171,1.0049553,0.9754662,1.0988663,1.0763386,0.950123,0.8546207,0.9487554,0.9438988,0.8572898,0.92605036,0.39239037,1.3134062,1.3469276,1.0737157,0.96778095,0.9943764,1.0653398,0.82004124,1.0116484,0.9538883,1.1188463,0.7081766,0.8105033,0.71784294,0.89642936,1.1472397,1.0637546,0.66175836,1.1007437,1.2730877,0.9570902,1.3014657,0.97737485,1.0643239,1.2804304,1.1675887,0.91327304,1.0758693,1.3330884,0.8836159,0.90176547,1.1336753,0.82651436,0.7840621,1.1743112,1.2094953,0.8242275,1.0515739,1.1107018,1.309764,0.8653751,0.8486322,0.90147346,1.1360531,1.0285083,0.9816972,0.95172745,1.1316065
balloon,1.464359,0.3388567,1.4619204,0.8098848,0.0,0.5901244,1.2111887,1.3451248,1.103225,1.4409996,0.78664553,1.4737141,1.4281758,1.1445867,1.4335077,1.1924753,1.1812905,0.53303033,0.58162403,1.1306117,0.49490356,1.173734,0.6842164,0.6072935,0.62397915,0.89241546,1.1082662,1.2388432,0.6608482,0.6569292,1.3104231,1.1643581,1.3167341,0.55610913,1.3148544,1.4495456,0.90031683,0.5185021,1.2634068,0.50962317,1.0303293,0.9812516,1.2280197,1.415385,1.0187396,0.75954986,0.9551396,0.44460762,1.3940717,0.9516658,0.85219896,0.8883826,1.0758272,0.9460029,0.978199,0.9262678,1.2233038,0.84296906,1.2111982,0.53688383,1.2307218,1.2036525,0.58375686,0.68515223,1.4008793,1.3800015,1.5515413,0.8275718,1.2444062,0.7995422,1.2293234,1.0006193,0.91041803,1.2376438,1.1080093,0.5243143,0.84329927,0.6613284,0.85189086,0.43779492,0.8652539,1.2024548,1.5062218,1.4660968,0.67475265,0.56641257,0.5638517,1.0538061,1.041087,0.98560524,1.0440435,0.7862981,0.81932795,0.8922706,0.6308088,0.57874227,1.3529932,1.2662416,1.2133338,1.0787921,1.4262607,0.6495879,1.4024119,0.81183314,1.272527,1.0810736,1.2525476,0.5664822,0.658702,1.245389,0.6328476,0.5968145,1.0081537,0.42136312,1.1484344,1.3494043,1.3304136,0.37825757,0.76414317,0.8965063,1.0698186,0.8773681,0.6082485,0.8627827,1.1447797,1.2013196,1.0895329,0.65117496,1.290452
banana,1.315352,0.6403732,1.1629477,0.94338596,0.5901244,0.0,1.0530456,1.2810466,1.1215378,1.3113676,0.90634906,1.2990466,1.2747853,1.1500254,1.2949573,1.1839365,0.9227791,0.87221104,0.8385624,1.0081221,0.6054742,1.103227,0.8859253,0.92139155,0.8098985,0.86848235,0.7332911,1.2538242,0.7784831,0.8852292,1.0590388,1.1700884,1.0871031,0.5801929,1.1403465,1.3327875,0.7553953,0.57632244,1.3048637,0.7668972,1.0849837,1.1008393,1.1422985,1.2758694,1.054012,0.8025353,0.97454447,0.81840587,1.3255293,0.9946026,0.68656933,0.97147095,0.9861387,0.9953928,0.7823902,0.9174204,1.090127,0.8204688,1.0540608,0.675663,1.2038121,0.8860173,0.8168063,0.95142764,1.3170576,1.2002659,1.3447001,0.661518,1.0698318,1.1277422,1.1061664,0.828098,1.010112,1.0592533,1.111388,0.84847623,0.94203824,0.7567785,0.99221677,0.6817514,0.78539014,1.1473233,1.2836155,1.23919,0.7833304,0.51165426,0.6226812,0.7002683,1.00518,0.8135446,0.9747964,0.8056647,1.0236285,0.9169188,0.8302487,0.8737719,1.1792021,1.2600089,1.140167,0.9247709,1.2348362,0.76848364,1.2222064,0.9027954,1.2841078,0.94637746,1.1578611,0.7141298,0.6447513,1.0708675,0.8622198,0.6412803,1.200949,0.8135646,1.241378,1.2919883,1.2229044,0.7282381,0.76048255,0.8734453,0.96995217,0.9672057,0.7155266,0.7375995,1.1210303,1.1328593,1.0648565,0.82278275,1.2428869
basket,0.7838956,1.1882579,0.8440174,1.0562232,1.2111887,1.0530456,0.0,1.007742,0.88642126,0.8600509,1.0551538,0.83833975,0.84391433,0.9964326,0.5530169,1.0727522,0.7174763,1.168706,0.8612845,0.608042,1.1562641,1.1291474,0.77172005,1.2681146,0.9962049,0.9623696,0.99445343,1.0354215,0.9157076,0.99995655,0.79019314,0.83495283,0.6793954,1.132515,0.67150843,0.87731034,0.96374947,1.0815781,0.7905597,1.0326769,0.95212775,1.162331,0.8576201,0.99504167,0.87406576,1.0574578,1.0621942,1.2200359,1.0681149,1.1593608,1.2543561,1.0609365,0.93728614,1.034686,1.1551034,0.9946979,1.0148442,1.2366139,0.89466745,0.88199866,1.1256623,1.110939,1.1700897,1.1774273,1.1203953,1.0134897,0.9615706,1.1388881,0.881806,1.1471725,1.009604,0.90157884,0.9630804,0.6930743,1.0304091,1.3056014,0.7744939,1.1596962,1.1473286,1.1926293,0.95839286,0.9266026,0.8142384,0.9972963,0.9570757,1.0968801,1.0432104,0.9695918,0.7922225,0.9425901,0.94006693,0.9426856,1.2375625,0.7574083,0.98898333,1.2710191,1.0044127,0.8602146,0.9349904,1.0645134,1.0914176,0.94586563,0.99786425,1.1889023,0.93877286,0.98919845,1.1263382,1.131875,1.0421276,0.95901185,1.1571141,1.1236656,1.0231429,1.2280043,0.79753864,1.1514028,0.9084431,0.9636647,1.23427,1.1846055,1.0730238,0.70808053,0.82203376,0.5519279,0.98907936,1.0324824,1.0417658,1.237159,0.9533754
bathtub,0.6236025,1.5085175,0.5773073,1.2718518,1.3451248,1.2810466,1.007742,0.0,0.7266182,0.28605628,1.234043,0.277923,0.64180744,1.0113851,0.5479237,0.7406746,1.0246905,1.4797955,1.1906531,0.9224943,1.4330153,0.79802954,1.2599497,1.46194,1.436435,1.2360636,1.1567945,0.9251585,0.988254,1.341403,1.0186425,0.7259202,0.7654363,1.4138242,0.6969552,0.37443948,1.2489519,1.5241966,0.7586404,1.4598352,0.92140335,1.1803024,1.1187516,0.46676493,0.84644353,1.1971734,1.1103873,1.3775787,0.37303615,1.0956877,1.2764277,1.2924734,1.2401408,1.1194184,1.1088018,1.2381932,0.56198406,1.3221729,1.025234,1.4095134,0.93652594,0.9792414,1.513655,1.4522505,0.5711855,0.66404456,0.471151,1.1654634,0.87685823,1.0530163,0.9277964,1.0714499,1.019449,1.0224845,0.80870754,1.3487613,1.1542212,1.4660076,1.0852609,1.465077,1.1882684,0.9222079,0.5244558,0.6921873,1.0411121,1.4160852,1.3503879,1.1478503,1.0630049,1.1578184,1.2954319,0.85899794,1.3523443,1.2968967,1.3810545,1.3645365,0.58151513,0.4975859,1.1622467,1.052118,0.6413647,1.4284873,0.82692367,1.3675696,0.58538336,0.524059,0.6280782,1.4848379,1.1640663,0.9212495,1.2370679,1.3450849,0.7281284,1.3905524,1.0639521,0.5904038,0.40909028,1.3120005,1.3837397,1.191128,0.8376709,1.1713617,1.3896471,1.0023438,0.86837256,0.99460614,1.058524,1.3784153,0.6924324
bear,0.902217,1.1646843,0.9088463,1.0849477,1.103225,1.1215378,0.88642126,0.7266182,0.0,0.78387046,1.0422757,0.8456816,0.87874234,0.8473185,0.680657,0.8492045,1.0960472,1.1928618,1.1129233,1.1351448,1.1195458,1.1645613,1.1950489,1.1085943,1.1765367,1.0757961,1.0799412,1.0321568,1.1472359,1.0694603,1.0967094,1.0492326,0.7096313,1.1816801,0.7271365,0.8532978,1.161598,1.1292081,0.9682724,1.2604964,1.0989283,1.1622214,1.1179904,1.0532091,1.0489526,1.147564,0.8476357,1.0728366,0.7458853,1.1319909,1.0277213,0.8826554,1.0123358,0.95564973,1.0122792,1.154141,0.88425165,1.0762521,0.9433087,1.1114573,1.0449014,1.0369343,1.1496502,1.1398112,0.9461513,0.92856205,0.7533107,0.9897826,1.1590005,1.0998472,1.019086,0.9166707,1.1495216,1.0061281,0.99700004,1.0790573,0.98358715,1.1126703,0.9705876,1.1077528,1.1285502,0.7956568,0.8133284,0.8238026,0.9935478,1.0729477,1.0450184,0.9682205,0.9053288,1.1444935,1.0059123,1.0373366,1.0986115,1.1620448,1.1150862,1.1552742,1.1135318,0.6827935,0.9513562,0.95874906,0.89367664,1.0756865,0.86928385,1.1959664,1.0303152,0.9248639,1.0232006,1.1381857,1.0526342,0.7958977,1.0852512,1.1645491,1.0083157,1.138706,1.0640802,0.988298,0.97142607,1.1268297,1.1421039,0.9772876,0.9619129,0.93427044,1.2797801,1.1281633,0.9267702,1.0216788,1.301584,1.110158,1.0138246
bed,0.45208174,1.5693572,0.50677913,1.1423295,1.4409996,1.3113676,0.8600509,0.28605628,0.78387046,0.0,1.3242557,0.19559354,0.49530333,0.97569823,0.37633705,0.7183628,0.6499444,1.5190098,1.3056011,0.7198677,1.5009154,0.88630843,1.3570242,1.5058829,1.5716925,1.2959083,1.1078994,0.8572343,1.0037875,1.3536103,0.8749258,0.6327934,0.79562724,1.476874,0.6004772,0.09295356,1.2333393,1.5608915,0.53768575,1.4933912,0.9311402,1.103173,0.92346936,0.6738833,0.97848904,1.3353134,1.0935719,1.4762723,0.4168285,1.0384486,1.3118365,1.2625239,1.1922802,1.1474526,1.2144185,1.1160029,0.5818695,1.3442717,0.94510996,1.3623658,0.89237815,0.97344327,1.5453291,1.4554527,0.56857914,0.64172876,0.47826195,1.3145007,0.8767419,1.103927,0.90400803,1.1114794,1.0595585,0.89674926,0.8195096,1.3721893,1.1266116,1.5240314,1.1526794,1.5158228,1.3562639,0.8025033,0.40305996,0.7359439,1.001888,1.5001949,1.4444783,1.163343,0.9789371,1.1984557,1.253252,0.97582763,1.3250974,1.2169975,1.4485574,1.412009,0.7410979,0.46452594,0.99530566,1.0170709,0.5864951,1.4848902,0.84730494,1.4348438,0.6651175,0.8285971,0.61766917,1.5845414,1.2940936,0.91734964,1.3196244,1.4702034,0.7837168,1.4265046,0.9822504,0.5656715,0.29357016,1.3657271,1.4379668,1.2347922,0.89602387,1.1396095,1.2958758,0.8747798,0.8937396,0.9842594,1.1046376,1.4287317,0.74468076
