,alligator,ankle,apple,arm,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,blanket,boat,book,bottle,bowl,box,bucket,butterfly,can,car,carrot,cat,chair,clock,closet,coat,coffee,comb,couch,cracker,crayon,crib,cup,dog,doll,door,drawer,dress,ear,face,finger,fish,flower,frog,glass,glasses,glove,gum,hair,hand,hat,horse,hose,jacket,jeans,knife,ladder,lamp,mitten,motorcycle,nail,napkin,necklace,nose,orange,oven,pajamas,pants,paper,pen,pencil,pillow,plant,plate,pony,pumpkin,purse,radio,refrigerator,rooster,scissors,shirt,shorts,sink,slide,slipper,soap,sock,spoon,sprinkler,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,vacuum,watch,window
alligator,0.0,1.1072756,1.0303326,0.75518274,1.1111894,1.407668,0.788416,1.1225908,0.7036774,0.7123077,1.2047138,0.9615131,0.74541867,0.8469575,1.2734046,1.1427889,1.388237,1.4431901,0.90870583,1.0798985,1.1684601,1.4139348,1.3264506,1.4023404,0.8443872,0.972168,1.3438787,0.8182016,0.690279,0.79863226,0.9477905,0.81559753,0.99069494,1.3764095,0.7088936,1.4520848,0.8937098,0.9561806,0.8109175,1.0126319,1.1256155,1.0845615,0.93942386,0.9656264,1.16856,0.87418133,0.7613857,0.81719625,1.1952121,1.0128843,0.9176716,0.8753661,0.816383,1.3725157,0.79740924,1.0018924,0.82384825,0.6930945,0.86865735,0.7736374,1.241338,0.94926786,1.208971,1.3741424,1.2782431,0.56961584,1.1109614,1.050679,1.3853388,0.6359707,0.89665216,0.7513664,1.323457,1.2904776,1.2144513,0.8685821,1.2997735,0.9499951,1.1879872,0.97729754,1.233015,1.2475731,1.0084641,0.9851717,0.71704143,0.92704594,0.84951097,0.9458419,1.4248025,1.2872068,1.0992068,1.0238283,1.0324403,0.89139533,0.7035291,1.3932667,1.2635442,1.1453325,0.6159129,1.3232994,1.0963202,0.9993561,0.79398334,1.1114321,1.318252,0.8948653
ankle,1.1072756,0.0,0.6347971,0.9862342,0.6559347,0.9388066,1.1428113,1.0759165,0.9731095,1.0405215,1.1669297,0.87776,1.0442541,0.9189619,1.1548615,1.210294,1.2170454,1.0079788,1.1538709,1.0659542,1.1299566,1.1364498,1.099219,1.143671,1.078855,0.88370526,1.1809294,1.0574837,1.0234886,1.0747461,0.99430925,0.94864225,1.1117903,1.1816386,1.1035126,1.1126829,0.82467777,0.8727919,1.0966322,0.93124735,0.9477914,0.82230985,1.0635844,0.921498,1.1203899,1.1437712,1.0614779,1.0203222,1.0098256,0.86142266,1.0758531,0.8568181,0.9267705,1.0280591,0.9275401,1.0515028,0.99079746,0.9162331,1.1442128,1.0920359,1.1353451,0.82648695,1.0277328,1.1167247,1.0633346,0.9863713,0.76510507,0.87250483,1.1774997,1.1610568,0.7956363,1.1352673,1.1174423,1.1732411,0.8818206,1.0648365,1.12363,0.7999928,0.9878317,0.9371015,0.95391417,1.1129278,0.91037077,0.92338353,1.0644951,0.8336201,0.8637413,0.9237799,1.1031095,1.2323426,0.380481,1.0320281,0.95146865,0.93972653,1.1192805,0.8842471,0.97878844,1.1425872,1.0760877,1.0267695,1.0809609,1.0851411,1.0676374,1.1004474,0.9391857,1.0412216
apple,1.0303326,0.6347971,0.0,0.9904261,0.28557694,0.6201364,1.1375961,0.9756638,1.0346017,1.1239222,1.1622536,1.064469,1.2050164,0.98261625,1.0138826,1.0075297,0.96659154,0.8884037,1.0989765,1.0502627,0.90091074,1.0985777,1.0197155,0.9650298,1.2164344,0.9067263,0.9815796,1.1449109,1.1062586,1.1014291,1.1325411,1.1680306,1.0393497,0.98321855,1.0303342,0.95174587,1.0339136,1.0086281,1.2065066,0.9795805,1.0761377,0.8936976,1.1383314,0.934066,0.9405276,1.0081863,0.9765332,1.0440513,1.0979755,0.85748893,0.94689107,1.0828571,0.91661227,1.0660759,0.942735,1.041272,1.1619858,1.203408,1.1679118,1.192095,0.91453457,0.9040888,0.99729234,0.8065118,1.0736998,0.8389771,0.5625074,0.54413843,1.1174421,1.0869315,1.0455406,0.9923759,1.0142796,0.8934814,0.9414281,1.0656382,0.9441868,0.98730284,0.7606555,1.2656875,1.0937244,0.9924647,0.8666894,1.0066751,1.1505169,1.230132,0.97525275,1.0519718,1.006815,1.0726646,0.9644061,0.98073614,0.9106912,1.1231709,1.0400057,0.73216534,1.0105238,1.0617121,0.9188905,1.1600295,0.9744476,1.0799915,1.0437791,1.146552,0.980515,1.124417
arm,0.75518274,0.9862342,0.9904261,0.0,1.0789601,1.2265589,0.98020655,1.100608,0.88668716,0.8919303,0.99813956,0.8925009,0.8404929,0.89033616,1.0765749,1.2195202,1.2601876,1.2180147,0.9848592,1.184179,1.132463,1.2337271,1.1740122,1.238826,0.9800724,0.9368273,1.1864955,1.0076387,0.6463038,0.96773505,0.96772414,0.77409023,1.0755384,1.269074,0.9072925,1.2717804,0.9918936,0.94969743,0.98199445,1.0650406,1.1323148,1.038464,1.0310043,0.8452626,1.2233586,1.1155523,1.0929953,1.0081947,1.1012739,0.9877262,1.0318555,0.9828516,0.77382106,1.2170527,0.85039526,0.978029,0.8443259,0.6121545,1.2243367,1.0144925,1.2169489,0.89721847,1.1306275,1.2083905,1.1296269,0.9201839,1.1089026,1.0137634,1.237804,0.62048435,0.94166523,0.7331817,1.1161848,1.1647549,1.131846,1.0820473,1.2753359,0.9864322,1.1444505,1.023615,1.1174052,1.1795713,1.1428539,0.87685245,0.7667524,0.81926244,0.9832056,0.9221643,1.2074697,1.1259702,0.9641428,0.9786312,1.0010358,0.93357855,0.91977537,1.2224077,1.0988541,1.1129206,0.7682333,1.1844807,1.1484294,1.0354383,1.0420439,1.1347209,1.1698239,1.0207353
ball,1.1111894,0.6559347,0.28557694,1.0789601,0.0,0.4681123,1.0116351,1.0412478,1.0384231,1.1535319,1.0823287,1.0408534,1.2628609,1.0378369,1.005005,0.9413815,0.9710276,0.81188,1.0673088,1.1073544,0.9304428,1.1537893,1.0471015,0.9686981,1.1910274,0.9540906,0.9961944,1.1636058,0.9930668,1.0428696,1.0660162,1.0952781,1.0020931,0.9422221,1.1040798,0.9083524,1.0401793,1.008272,1.1814238,1.0357431,1.1250823,0.9526547,0.9388599,0.9869542,0.8990829,1.0982338,0.9453634,1.1177992,0.9730552,0.9949263,0.9685217,1.0486147,1.0716999,0.9762355,1.0019425,1.1154789,1.067616,1.1109401,1.1318729,1.2051775,1.0086389,1.0199547,1.0796094,0.78395295,1.1610464,0.9317641,0.5130584,0.53956604,1.2061125,1.1138463,1.1574163,1.1408262,1.0518516,0.9540912,0.9167168,1.0923487,0.8041015,0.99684477,0.6376701,1.2724397,1.0988426,1.1730375,0.95907,1.0888468,1.1011469,1.0575899,1.0375566,1.1220809,0.95811754,1.034388,0.9414086,0.9116768,1.0377401,0.9743734,1.078381,0.64961106,1.0136578,0.96530086,0.9661417,1.1631606,0.9347085,1.0517468,1.0132477,1.1346992,0.9806407,1.1902359
balloon,1.407668,0.9388066,0.6201364,1.2265589,0.4681123,0.0,1.1125853,0.95408803,1.3970168,1.429566,0.84073246,1.3095608,1.3748803,1.2365888,0.68578887,0.82461476,0.41348255,0.463807,1.1730729,0.8552911,0.66793495,0.49929988,0.77008474,0.5092815,1.1826931,1.0609651,0.43214703,1.2810252,1.2293856,1.3451364,1.2585738,1.3900536,0.9934166,0.5019715,1.3421218,0.47510457,1.2074513,1.0948694,1.2084157,1.1109065,0.9102208,0.9476647,1.0893555,1.0346515,0.6846373,1.0597606,0.9411782,1.2873157,0.8144708,1.0183314,1.0384346,1.2283082,1.2317662,0.59673923,1.2398379,1.0915917,1.3351777,1.448751,1.1226637,1.273119,0.59044546,1.236381,0.98304987,0.384189,0.6037092,1.1358734,0.7320516,0.5352137,0.60571736,1.4031777,1.2963398,1.2983491,0.7255556,0.67815316,0.8178774,1.1351167,0.38737285,1.1984758,0.6023004,1.2138649,0.95150936,0.80765414,0.8493067,1.1249148,1.3679247,1.1699642,1.2531013,1.2867781,0.52479637,0.6435008,0.9713524,0.91186017,1.011141,1.2559205,1.329926,0.48729515,0.7235341,0.9077762,1.2489309,0.6724493,0.8279692,1.1251925,1.1939511,0.9774788,0.65854335,1.1628091
banana,0.788416,1.1428113,1.1375961,0.98020655,1.0116351,1.1125853,0.0,1.1213454,0.89193237,0.95942587,1.0410568,1.0112633,0.94764954,0.95706815,1.1534625,0.8545296,1.0927722,1.0085918,0.91638786,1.1317961,1.1154778,1.2797135,1.1437098,1.1001532,0.98067963,1.0319561,1.2736418,1.0466142,0.93212914,1.0153404,1.0235566,0.96333,0.91224676,0.91035545,0.96464336,1.1705445,1.014304,1.0874004,1.0595847,1.2228347,1.0923558,1.0925698,0.8640704,0.9972455,0.90855044,1.0931687,0.7097497,1.1433823,0.9063879,1.043697,0.77046627,0.81018615,0.9282851,0.85919267,1.044122,1.0577656,0.86414397,0.8168855,0.9871955,0.99940234,1.2180274,1.0482198,1.2630193,1.0898266,1.0878437,0.7554263,1.1726893,1.1349094,1.2790041,0.8699062,0.9371501,0.90090895,0.94973373,0.91163903,1.1088055,1.1189555,1.022985,1.107769,0.9140923,1.0012311,1.0862849,1.280279,1.105366,0.8465868,0.73946893,0.82554376,1.0445704,1.0733439,1.0511582,0.98304695,1.1293194,0.69706583,1.3008776,0.85691625,0.86229265,1.016042,1.0674732,1.0010054,0.6537879,1.0099851,0.88205796,0.86047876,0.9946124,1.0831833,1.0398089,1.2248049
basket,1.1225908,1.0759165,0.9756638,1.100608,1.0412478,0.95408803,1.1213454,0.0,0.78445995,1.0828186,1.0964322,0.91751075,1.0316724,0.8774477,1.0092431,0.76248896,0.925387,0.95856434,0.67452204,0.57264364,1.0363044,0.7403145,0.9506475,0.9862716,1.257823,0.87027526,0.8594903,1.0162978,1.1877582,1.0454108,1.0778852,1.1726489,0.7206509,1.0631738,0.5808822,0.72249126,1.133533,1.0719419,1.127188,0.8322922,0.98713064,1.1220324,1.1385393,1.1229377,1.1245852,0.93090045,0.9335103,1.0183265,1.2339671,1.0992551,0.8017192,1.2192596,1.0634621,1.1565771,1.0545719,0.8155584,1.081386,1.2948565,1.1325382,1.071192,0.7850075,1.0203984,1.0192082,1.087349,0.9462778,1.0204294,1.0707562,1.0095646,0.85894287,1.0416852,1.1121908,1.0151714,1.0417855,0.9983016,0.79686654,1.0449021,0.89146435,1.0508345,1.0261074,1.0298336,0.895674,0.73894405,0.9001516,0.89292574,1.1225021,1.1610432,1.0388422,1.0219488,1.1506088,1.071255,1.1856706,1.143039,0.8348724,1.1066341,0.8794882,0.8412391,1.1675342,1.1653402,1.0082988,0.8994062,0.7439805,0.81645364,1.0747312,0.7826451,1.1644511,1.0836577
bathtub,0.7036774,0.9731095,1.0346017,0.88668716,1.0384231,1.3970168,0.89193237,0.78445995,0.0,0.6190289,1.2515253,0.53950953,0.8980722,0.6342541,1.3806849,1.0745289,1.5136526,1.3414747,0.6777068,0.7023425,1.3649688,1.1931033,1.319913,1.4423727,1.0296766,0.67505884,1.4461054,0.8366834,0.9168248,0.58622557,0.75352126,0.6519723,0.97151023,1.5118847,0.26758456,1.3407865,0.93639994,1.0411774,0.6953139,0.6341478,1.0860418,1.286315,0.97305256,1.1840521,1.4007999,1.0403148,1.0739623,0.8670099,1.3443685,1.0533694,0.9555812,0.9842941,0.9125489,1.4434689,0.91950405,0.9400289,0.7729423,0.7364042,0.89003795,0.8190044,1.2498335,0.7828608,1.1664075,1.4748554,1.3443911,0.8047924,1.009969,1.1838189,1.3231287,0.694504,0.8693869,0.824703,1.4100771,1.3268601,1.163161,0.9977032,1.332531,0.88225615,1.249579,0.96324307,1.0309788,1.1945548,1.1579641,0.84629786,0.827702,0.8988111,0.5450356,0.82520324,1.4596227,1.294585,1.061374,1.1590588,1.093982,0.7770524,0.6050247,1.2121124,1.4854231,1.164199,0.6808683,1.2870872,1.1492013,0.9077517,0.84402007,0.94279104,1.4789753,0.96178555
bed,0.7123077,1.0405215,1.1239222,0.8919303,1.1535319,1.429566,0.95942587,1.0828186,0.6190289,0.0,1.1567469,0.56015563,0.7739006,0.6219632,1.2422273,1.177297,1.4497375,1.3857121,0.8576009,1.1633104,1.3413723,1.3181102,1.2285224,1.4325824,0.76948875,0.87759286,1.3887173,0.5595469,0.9269843,0.5683785,0.71312743,0.481283,1.162363,1.4512806,0.5400479,1.517542,0.9262731,1.2090154,0.5911155,0.85249543,1.1817528,1.1476886,0.8477273,1.2705438,1.439935,0.98430604,1.1641827,0.65034753,1.2971201,1.0825224,1.0982348,0.8670416,1.0648321,1.4267361,0.83020985,1.0635666,0.69440186,0.62156624,0.8966195,0.6572833,1.2822099,0.77558386,0.96378326,1.45736,1.2484821,0.9171965,1.1442921,1.1967664,1.2229477,0.68039924,0.86117405,0.88713527,1.4338353,1.4043564,1.254107,0.97938883,1.4379506,0.94376135,1.3354723,1.0000714,1.1203681,1.0963097,1.2446048,1.0736022,0.7153311,0.94276595,0.7565532,0.71406543,1.4090458,1.1890929,1.0636332,1.2528636,0.97775203,0.718361,0.62720346,1.436127,1.4884269,0.92099833,0.8496273,1.1858335,1.325777,0.8370166,0.7773256,1.1085095,1.469388,0.7681199
