,alligator,ankle,apple,applesauce,arm,ball,balloon,banana,basket,bathtub,bear,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,butterfly,can,car,carrot,cat,chair,clock,closet,coat,coffee,comb,cookie,corn,couch,cracker,crayon,crib,cup,dog,doll,door,drawer,dress,duck,ear,egg,elephant,eye,face,finger,firetruck,fish,flower,foot,fork,frog,glass,glasses,glove,grass,gum,hair,hamburger,hand,hat,horse,hose,jacket,jar,jeans,knife,ladder,lamp,leg,meat,melon,milk,mitten,motorcycle,mouth,muffin,nail,napkin,necklace,orange,oven,owl,pajamas,pants,paper,pastry,pen,pencil,pickle,pig,pillow,pizza,plant,plate,pony,pumpkin,purse,radio,raisin,refrigerator,rock,rooster,sauce,scarf,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,snow,soap,sock,soup,spoon,sprinkler,strawberry,stroller,sweater,swing,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,tricycle,truck,vacuum,watch,window,zebra
alligator,0.0,1.1065186,1.3492366,1.2454935,0.7305023,1.2910688,1.3687217,1.0787861,0.93415874,0.7261564,0.8385904,0.46922302,1.2797776,0.7900895,0.75919867,0.98102486,0.44239795,0.90105504,1.2987456,1.3636892,1.0005258,1.0818359,1.361059,1.1732538,1.196687,1.0488807,1.351185,1.1001642,1.2864585,0.8217583,0.86739933,1.1210628,0.7907847,1.3009682,0.79900146,1.0196209,1.1811237,0.9984222,0.5681843,0.9986508,1.4064596,0.5442423,1.3855455,0.67391086,0.9485483,1.082123,0.78163695,0.83225507,1.3043655,1.0229881,1.372494,0.7371525,1.1975195,0.8755924,1.2562187,0.86849105,1.3564259,1.2484872,1.2008022,1.1242247,0.99011064,0.7786549,1.2603993,1.076391,0.85402036,1.2364225,0.9460028,1.2093736,1.0152372,1.2721037,1.027352,0.8233559,0.6213542,1.006128,0.8089928,1.1043131,0.8227079,1.2984717,1.128828,1.2041731,1.0194448,0.9621865,0.79109484,0.8887875,1.1538098,1.2316108,1.2994423,1.1868731,1.2923195,1.3882334,0.8458129,0.74273217,0.53214335,0.84897184,1.0590607,1.168982,1.4002532,1.4282494,1.219047,0.8337176,1.1566001,1.0958114,1.2683413,1.2163914,1.0441784,1.1017781,0.939063,1.2608021,1.2228818,1.025102,0.6415036,0.8667309,1.0093638,0.9241246,0.8956558,0.8134461,0.87859285,1.0022207,1.0117222,0.6544228,0.81026334,0.7334563,1.3459809,0.7636956,1.3414571,1.1296779,0.8947078,1.0582967,0.9499341,1.2690889,0.7648134,0.59389555,0.993838,0.6615445,1.3153168,1.32638,1.3891844,0.90664107,0.85974723,1.1037749,0.72458196,0.35041285,0.9121796,1.2077667,0.9811235,1.3923099,0.9194757,1.0512232
ankle,1.1065186,0.0,1.1080425,0.9383473,0.82537985,1.0469724,1.1142476,1.0489357,1.2395773,1.1552126,1.1465143,1.1121683,0.8118633,1.1020832,0.8634205,1.0929524,1.0459017,1.2488993,1.1044286,1.0470941,1.2115966,1.2112665,1.0684828,0.8104299,1.0860838,1.1173768,0.9526006,1.2724121,0.8663795,1.0219188,0.9305814,1.0630046,1.2317888,0.7307822,1.1707003,1.0148262,1.0011735,1.1196301,1.102448,1.0420318,1.0547901,1.2363863,1.1173973,1.0976222,1.07913,0.9954191,1.0203308,0.886259,1.0425155,0.73777395,0.95042276,0.9877668,0.81010735,1.0405704,0.41398126,1.1769115,1.0648676,1.0245873,0.5464919,1.1273688,1.1335472,1.2600589,0.68940204,0.74594295,1.0681598,1.0267811,0.94266874,1.1371942,0.5052406,0.9116378,1.1436013,0.9850886,1.0584053,0.9976295,0.8214575,0.9331511,1.0073583,1.0423677,0.5251027,0.9446243,1.0450565,1.1475315,0.7866541,1.2530532,0.75683236,0.9221628,0.9994535,1.0960199,0.4399917,0.9751715,1.1360043,1.1314585,0.9924657,0.8362927,1.0605369,1.0376061,1.0135932,0.9094098,1.0571159,1.1017225,0.9809906,0.87291026,0.95570326,1.2388374,1.1391176,0.9628624,0.8063706,1.0904422,0.8752326,0.9287398,1.1269078,1.0853643,1.1054039,0.89810264,1.1510735,0.94634956,0.6030569,0.7662522,1.0821259,1.1487911,1.1506567,1.2011824,0.8692359,1.1098269,1.0368253,0.54237807,1.1639324,1.0610905,0.9198322,0.91747254,1.0994436,1.1409798,0.9883592,1.185552,1.1250734,0.47577786,0.7657781,0.87942934,0.93149745,1.1885153,1.2626206,1.1297057,1.1868161,1.2333999,0.94848144,0.83403915,1.1748732,1.054788
apple,1.3492366,1.1080425,0.0,0.84930027,1.4126196,0.37017936,0.17620063,0.93275625,1.197285,1.4414868,1.122753,1.4435142,0.76729274,1.4545717,1.4839294,0.80713904,1.436844,0.97264636,0.56217486,0.32424843,1.0941738,0.87588954,0.46206868,1.0697149,0.78210515,0.81944776,0.43695468,1.1064159,0.69173145,1.2235202,1.2618386,0.7513927,1.2560965,0.8140896,1.3548009,1.2748888,0.89228266,1.1408846,1.4320068,1.2886386,0.2780652,1.4433974,0.32589328,1.2873466,0.877002,1.0610331,1.3129766,1.3386333,0.69225097,1.1437914,0.3656044,1.197309,0.9004399,1.1534648,0.8404971,1.1556128,0.46126252,0.42342448,1.0484946,1.0616982,0.7799163,1.3719494,0.73375535,0.990228,1.1321899,0.80103666,1.2727597,0.5718349,1.2771316,0.42619908,0.85558057,1.3372012,1.4071289,1.0948076,1.4041041,1.0200111,1.4302151,0.49448085,1.0602912,0.8580202,0.7739978,1.0627108,1.4427729,1.2537166,0.9901483,0.8897096,0.29542696,0.61492455,0.8466007,0.30952466,1.396902,1.1020252,1.4627593,1.4127249,1.1260314,0.89950645,0.39453435,0.43042362,0.69474965,1.1616056,0.86612445,1.0517052,0.5870468,0.63112605,0.7705104,0.7118757,1.085552,0.8570976,0.76623523,1.0355333,1.1839783,1.2289689,0.96730566,1.1965848,1.127675,1.4526124,1.2648757,1.2235582,1.141483,1.3220978,1.4317052,1.2618105,0.3893075,1.3148191,0.39834738,1.0338035,1.2218741,0.9504753,1.0303907,0.43227172,1.3223057,1.3945707,1.1036512,1.4472061,0.54603,0.6966103,0.6591266,1.3965895,0.93445474,0.47791517,1.2451165,1.277185,1.2166404,0.90729606,1.2299874,0.38765192,1.174645,0.8915688
applesauce,1.2454935,0.9383473,0.84930027,0.0,1.3438028,0.8116603,0.8088707,1.1083552,1.2343339,1.3193616,0.94298184,1.3477108,0.8388663,1.1753885,1.342482,0.8492749,1.2038208,1.0490366,0.7733567,0.7807249,1.1023982,1.120714,0.64291894,0.6803553,1.055515,0.98546433,0.7061505,1.0708821,0.7709912,0.8097778,1.2018884,0.8830148,1.2094487,0.6411046,1.1325111,1.0977826,0.79828453,1.1691431,1.3224815,0.9460214,0.66970086,1.3132601,0.7605313,1.1215316,1.0349774,0.90573525,1.2084832,1.3033118,0.6384164,1.2382796,0.8214414,1.0299206,0.83136636,1.2174956,0.8804561,1.2042831,0.5343513,0.7380009,0.8285953,0.8844292,0.877082,1.3164335,0.91014004,1.0006152,0.84449035,0.88864034,1.2469584,0.8700682,1.1968104,0.77783585,0.85104346,1.2995217,1.2629044,1.1491386,1.1620451,0.85160697,1.2073617,0.73763055,0.79167116,0.7452142,1.0123566,1.0764332,1.3307394,1.2877471,1.0617207,0.62576246,0.7795794,0.5077752,0.71186316,0.7359097,1.205449,1.0480473,1.3251476,1.2211682,0.83438045,0.80823916,0.6230956,0.62606966,0.9430528,1.1620235,0.64836824,0.8738648,0.7681943,0.882574,0.9192056,0.8627788,1.1228341,0.8561731,0.8318801,0.9822548,1.1926442,1.2148492,0.8916312,1.1904318,1.2596856,1.3245994,0.90343386,1.1379821,1.0747635,1.3748133,1.2837207,1.4119904,0.66356885,1.0044608,0.7807153,0.82196903,0.9892156,1.0462501,1.0668509,0.8662474,1.4089411,1.3391993,1.0696005,1.3556513,0.9402322,0.8106973,0.5589949,1.2475281,0.66063,1.0809795,1.3612496,1.1348501,1.2173474,0.8949001,1.1803159,0.7049603,0.93420124,0.9045828
arm,0.7305023,0.82537985,1.4126196,1.3438028,0.0,1.4456329,1.5006055,1.1314236,1.0042025,0.6234373,0.9554135,0.27405852,1.1694504,0.57284844,0.35995376,1.2185751,0.44140768,1.050085,1.3944501,1.4449286,1.0057433,1.193351,1.3962362,1.2551937,1.3186312,1.3045449,1.4127297,1.039946,1.2323762,0.900349,0.78915143,1.3698295,0.82204103,1.2484344,0.7102773,0.9114533,1.2742364,1.084621,0.36347628,0.93044037,1.4636879,0.6949603,1.4212697,0.7868606,1.2135464,1.092416,0.81840587,0.36755615,1.3703429,0.7229331,1.304106,0.7604877,1.1959074,0.78833556,0.94313705,0.9353335,1.5043204,1.4556935,0.9518422,1.1905565,1.3701311,0.7859132,1.1328707,0.9792955,0.95019567,1.3007452,0.6119585,1.3653882,0.5011606,1.464548,1.2443997,0.7924501,0.48711598,1.1210607,0.46187907,1.2072302,0.6519235,1.4380133,0.922772,1.3072957,1.1272215,1.0997775,0.553164,0.875531,0.92817765,1.2679794,1.2587032,1.4050972,1.1863933,1.4044273,0.7242926,0.9441263,0.29083633,0.522936,1.1171538,1.2680154,1.4405754,1.376571,1.260541,0.8451441,1.139579,1.0646298,1.342533,1.2734319,1.271934,1.2010156,1.019025,1.3317538,1.317081,1.15902,0.7544104,0.9350306,1.1276672,0.60116833,0.9359675,0.37423658,1.0192542,0.7019546,1.1098008,0.5365954,0.7005595,0.5988455,1.4336529,0.816561,1.5164552,0.9776878,0.9914711,1.2538866,1.0805804,1.3960657,0.75102925,0.48550242,0.94050324,0.56595635,1.4645401,1.0884708,1.1830028,0.6046571,1.1199633,1.393981,0.7793493,0.7625913,0.9666853,1.2666156,0.8906069,1.4212509,0.8691968,1.1505831
ball,1.2910688,1.0469724,0.37017936,0.8116603,1.4456329,0.0,0.13698399,0.978381,1.202477,1.4151728,1.1599154,1.4488425,0.8704012,1.340316,1.4517386,0.77809215,1.3875977,0.95598054,0.60090506,0.4133032,0.9318756,0.7794187,0.69022536,1.0412418,0.5723924,0.8392314,0.5588387,1.0451328,0.8420174,1.1607608,1.2428579,0.55945724,1.2336495,0.9077418,1.2723078,1.1206763,0.90003574,1.1634289,1.4290837,1.2794312,0.52468514,1.4083226,0.50433177,1.2169139,0.84490365,0.98239756,1.0831468,1.3426417,0.86070746,1.1797158,0.44792473,1.2306925,0.9711163,1.1693416,0.910778,1.1315324,0.57178193,0.4774366,1.0846183,0.988848,0.7588604,1.2354176,0.8045436,0.7976255,1.1036055,0.7021093,1.3133485,0.7054937,1.2839122,0.34788358,0.83422095,1.2720802,1.3743241,0.94935435,1.4133825,1.0330728,1.4178556,0.44381046,1.0294213,0.8474591,0.7543419,1.0155855,1.2962801,1.2321076,1.0988472,0.8284606,0.53657985,0.6847925,0.90327257,0.40903378,1.3382819,1.0215193,1.4180007,1.4420955,1.0212708,0.9180437,0.5848782,0.6349662,0.82807153,1.147074,0.83595824,1.0992527,0.66184217,0.67733365,0.7739432,0.6234714,0.8944849,0.84099317,0.6453345,1.0602151,1.2326311,1.1185489,0.919443,1.2291119,1.0705415,1.4455526,1.0062143,1.2518935,1.1692033,1.3320332,1.3341498,1.2775929,0.57062334,1.2946509,0.40483344,0.9245439,1.1897454,0.91823906,0.9389817,0.5191864,1.2870277,1.4163628,1.1064816,1.3786737,0.3400451,0.8274784,0.7610979,1.2646585,0.86438787,0.48762488,1.2779422,1.2981652,1.2604597,0.9022142,1.231876,0.5698542,1.1222967,0.88988566
balloon,1.3687217,1.1142476,0.17620063,0.8088707,1.5006055,0.13698399,0.0,0.93095446,1.1988314,1.4877836,1.1527659,1.4969646,0.7598449,1.372169,1.546546,0.77319115,1.4501985,0.9074746,0.4850663,0.306998,0.9779163,0.75395447,0.6236466,1.0163057,0.5869771,0.77984154,0.43950385,1.0701699,0.7557661,1.194226,1.1970056,0.55682635,1.2647092,0.8050212,1.3193223,1.1907467,0.9529822,1.0920874,1.4706492,1.3609445,0.3411327,1.4640242,0.36986083,1.2937527,0.8692219,0.9740996,1.2133904,1.3847393,0.7072041,1.2342653,0.37476587,1.2351598,0.9629039,1.250484,0.9231672,1.1662079,0.4750958,0.4067492,1.0764405,0.94467944,0.7586667,1.3207073,0.76584905,0.8296486,1.1187352,0.72521484,1.3763204,0.5747185,1.3709295,0.2828138,0.8269177,1.2940226,1.408798,1.0086284,1.4204289,0.99980086,1.4312154,0.3608654,1.0385199,0.9108475,0.76442236,1.0304629,1.4628203,1.2332038,1.0825045,0.9087678,0.4568841,0.65126467,0.8722589,0.28246105,1.3991076,1.1348972,1.4981318,1.4599495,1.0850443,0.9636847,0.42566472,0.49052447,0.7449869,1.2258462,0.74807656,1.165692,0.5997242,0.6339441,0.7010804,0.6510775,0.99287105,0.7946264,0.7068106,1.0010222,1.2505056,1.1973892,0.94858885,1.2554868,1.056946,1.5113528,1.1379269,1.2259885,1.1380082,1.3593063,1.4188216,1.2913682,0.4597062,1.3366064,0.3203646,0.93768615,1.2192556,0.87996316,0.9752503,0.44783628,1.3305143,1.4724658,1.0932512,1.4064878,0.32018983,0.79896915,0.692739,1.3544625,0.8690728,0.44501287,1.2985783,1.3201754,1.2227513,0.8689501,1.1818243,0.4401462,1.1265366,0.84899855
banana,1.0787861,1.0489357,0.93275625,1.1083552,1.1314236,0.978381,0.93095446,0.0,0.845404,1.0671421,1.0669459,1.2570579,1.0398045,1.2184999,1.0474619,0.8479604,1.2399808,1.049541,0.92208356,1.0304822,0.92551106,0.9557568,0.7953048,1.0359658,0.8789217,0.8809068,1.1034576,1.0169364,0.65231395,1.3300508,1.2526175,0.9418549,1.2263398,1.0157936,1.1039958,0.9484904,0.75613374,0.7299492,1.235892,0.8748028,1.0310252,1.1734371,1.1248847,1.1406019,0.84202266,1.3012378,1.1166426,1.0895181,1.0185721,1.0296481,0.76061887,1.1911112,1.086441,1.1188725,1.0547656,0.9901515,0.9663011,1.0704743,1.148905,0.8502731,0.6754168,1.0223917,1.0766289,1.0592214,1.2389799,0.7438905,1.1455655,0.94640625,1.0738022,1.0558543,0.96514285,0.8742933,1.3289251,0.75487816,1.2214773,0.6565935,1.1286184,1.1481435,1.0236737,0.80850726,0.56322056,0.88370925,0.9024202,0.97725064,0.9406666,0.98013747,1.1811801,0.9949964,1.0181918,0.78357434,1.1409513,0.83922815,1.2263902,1.2039641,1.0166701,0.72569585,1.0576152,1.0321077,0.78996074,0.9740246,1.2194636,0.71319515,1.0103807,0.94592714,0.961472,0.7046749,1.0059899,1.1136539,1.1064808,1.1365185,1.1258236,0.826543,0.9299753,0.89630353,0.6558973,1.0841293,1.0566415,1.0930873,0.5939119,1.1354014,1.0351398,0.8791119,1.110468,1.2523463,0.83352846,1.2078657,0.9062134,0.46417558,1.002132,1.0152664,1.0157254,1.1321915,1.0386128,1.1423702,0.70302427,1.1055738,0.90842426,0.84229,1.0725272,0.7936051,0.8799193,1.2170482,0.9444709,0.98960614,1.0365492,1.1305084,1.28748,1.0193753
basket,0.93415874,1.2395773,1.197285,1.2343339,1.0042025,1.202477,1.1988314,0.845404,0.0,0.7498011,1.0421598,0.8956152,1.198527,0.75870097,0.94732076,1.0276803,0.95685613,0.8793076,0.87665325,1.1361827,0.6538646,0.5767616,1.2787235,1.0427967,0.75910914,0.97899485,1.3044796,0.8960681,1.0842457,1.169574,0.9395755,1.0018833,0.7229307,1.2621502,0.82721776,0.6716775,1.1209964,0.82491755,0.9217762,0.9226727,1.266031,0.590776,1.1674016,0.9530869,0.97060716,1.0224946,0.7694321,1.028449,1.1691239,1.055392,1.2987318,1.2129232,1.3044773,1.121964,1.3719242,0.82615256,1.3044202,1.1613584,1.3298688,0.7401979,1.0232128,0.7779393,1.3080597,1.1739999,1.1143047,0.7603115,1.0382721,1.0774632,1.0994986,1.3291085,1.0171778,0.8821498,0.96907026,0.5805995,1.1187665,0.79797304,0.91606677,1.2322962,1.1848316,1.1657022,0.8979753,0.8672459,0.94495136,0.87051916,1.1033257,1.18666,1.3990632,1.2963688,1.3452158,1.246916,0.67447525,0.96149886,0.9914755,1.1112161,0.7773917,1.0634719,1.2574384,1.2889783,0.8141461,0.87596047,1.1444241,1.0407547,1.1305325,0.9156056,1.0523942,1.0463575,0.7630446,0.9089833,1.1892068,0.8465103,0.92463833,0.9528321,0.7682698,1.1243016,0.7855572,0.99893403,1.1009697,1.1874278,0.5252315,0.8352672,0.65217334,0.92234164,1.3936667,1.0064805,0.997805,1.1909728,0.77608854,0.6841086,1.1086094,1.1132113,0.79106414,0.80658126,0.90316045,0.6604334,0.9212261,1.4483113,1.217823,0.80162823,1.1463076,0.869887,0.4249769,1.0058004,0.8154075,0.9249753,0.92526925,1.3828771,0.8848006,1.0467829
bathtub,0.7261564,1.1552126,1.4414868,1.3193616,0.6234373,1.4151728,1.4877836,1.0671421,0.7498011,0.0,0.92242944,0.5127701,1.3632302,0.6529569,0.6906543,1.1856363,0.7049217,0.9921002,1.4167674,1.4682965,0.69576657,1.0692003,1.2449963,1.1806561,1.1084014,1.20139,1.4267231,1.0791677,1.3266183,0.90996027,0.9008325,1.2866751,0.5689417,1.3791673,0.5213251,1.0345579,0.989555,0.9968953,0.57560843,0.63613456,1.514895,0.59941167,1.3301892,0.932694,1.2497146,0.8666709,0.51725185,0.7340126,1.3571322,0.88153505,1.3139678,0.93038106,1.2356005,0.87044126,1.277853,0.9386939,1.4899294,1.4778917,1.1904058,1.1334679,1.2760756,0.59639025,1.3487991,1.3349977,0.8934611,1.2008436,0.8010205,1.3498212,0.9287102,1.5719817,1.2304255,0.71294117,0.6901106,0.91691446,0.8130557,1.1571016,0.7053543,1.3737359,1.1450068,1.0464282,1.0522147,0.893274,0.804315,0.9299948,1.0658764,1.1253957,1.3232687,1.293857,1.3423307,1.4249365,0.490875,0.9326073,0.62436926,0.74586356,0.9099683,0.9750371,1.495314,1.4913554,1.2287831,0.8309976,1.3658271,0.95133907,1.3980256,0.84917223,1.221983,1.1965309,1.1237596,1.140419,1.2236369,1.0259944,0.7206193,0.93104875,0.9984236,0.88701075,0.978976,0.72432274,1.1232942,1.0253383,0.84887505,0.41449213,0.085332036,0.635535,1.4987133,0.533236,1.3544505,1.3331237,0.7094176,0.9933229,0.86772764,1.4126538,0.85896647,0.5402308,1.017749,0.47997606,1.3030732,1.366355,1.3570638,0.7560406,1.2224022,1.3854595,0.5345527,0.742255,0.88807344,1.2627827,0.95244205,1.5274224,0.85301745,1.1609771
