,alligator,ankle,apple,arm,ball,balloon,banana,basket,bathtub,bear,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,bucket,butterfly,can,car,carrot,cat,chair,clock,closet,coffee,comb,cookie,corn,couch,cracker,crayon,crib,cup,dish,dog,doll,door,drawer,dress,ear,egg,elephant,eye,face,finger,firetruck,fish,flower,foot,fork,frog,game,glass,glasses,glove,gum,hair,hamburger,hand,hat,horse,hose,jacket,jar,jeans,knife,ladder,lamp,leg,melon,milk,mitten,motorcycle,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pastry,pen,pencil,penguin,pickle,pig,pillow,pizza,plant,plate,purse,radio,raisin,refrigerator,rock,rooster,sauce,scarf,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,snow,soap,sock,soup,spoon,sprinkler,strawberry,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,truck,vacuum,watch,window,zebra
alligator,0.0,1.2557335,1.38644,0.5427419,1.2858777,1.4098173,1.2653426,1.1605916,0.6967576,0.81391346,0.5065421,1.4474189,0.6082723,0.5636196,0.5006654,0.39255828,1.0880119,1.1113756,1.4664636,1.0912199,0.67091835,1.0466151,1.2958951,0.6789802,1.5824451,1.3110726,1.0712359,0.9862329,1.2317008,1.3090278,0.7785976,0.8388509,0.9479,1.084105,1.1929579,0.561607,1.0818638,1.4362972,0.68266386,1.4191346,0.95569444,0.6192337,1.0246687,1.0983233,1.0581597,0.7934029,1.2070053,1.4753159,0.6557129,1.2687855,0.8805839,1.3203189,0.93689466,1.1710908,1.2685056,1.1304047,1.3207593,0.8720118,0.88086075,0.5627294,1.4971622,0.7820838,1.022454,0.8922678,1.3633511,0.7123318,1.5005202,0.926461,0.6334936,0.4558428,1.3150542,0.46294427,1.2552905,0.7889799,1.4907963,1.3010507,1.3060901,1.1336242,0.4630897,0.98790944,0.925622,1.455463,1.1025552,1.3790741,1.3836614,1.5140237,0.84117925,1.1627778,0.4552685,0.7236403,0.4982549,0.9892726,1.4510794,1.4038405,1.3515502,1.3776118,0.7947814,1.0763664,0.5657618,1.2501799,1.083744,0.8624567,1.2487171,1.0449166,0.99606454,0.84121186,0.81312203,0.84282404,0.6710963,0.74534494,0.6641229,0.95021045,0.9042415,1.1431432,0.7652639,0.80661225,0.6028378,1.4699104,0.7687021,1.4411745,0.9531234,0.67153823,1.3350358,0.97470796,1.2099575,0.8424822,0.66191876,0.58346266,1.4298923,1.4041245,1.3567932,0.6822981,1.0420353,1.1257963,0.7410859,1.1515496,1.1434205,1.4722755,0.96066636,1.0402862
ankle,1.2557335,0.0,0.77846444,1.1918588,0.87357044,0.83752716,0.7758844,0.9442493,1.2949802,1.0759122,1.2160848,0.8133173,1.3219529,1.1796367,1.1084645,1.2201977,0.9083611,0.82218647,0.75160325,1.1594653,1.2528138,1.066929,0.9414015,1.2017928,0.77496815,0.80270433,0.8901154,1.1769433,0.9930236,0.8018634,1.2604327,1.2582551,1.0533166,1.0329775,0.8039078,1.2577388,1.0267863,0.6613425,1.2539123,0.9274661,1.1903692,1.2232788,0.81739545,1.0642895,1.1778467,1.1062963,0.84807104,0.7696868,1.1302083,0.8420507,1.1001692,0.6303104,0.9975487,0.7933354,0.7563957,0.8445561,0.758528,0.93930495,1.0781063,1.412255,0.70341927,0.9808835,0.88649845,1.1019421,0.6729736,1.0829779,0.69304967,1.039577,1.0995624,1.2968049,0.8831343,1.2312424,0.8971846,1.1971306,0.81643116,0.8681048,0.83823097,1.0387987,1.2067939,1.0379398,1.1671599,0.7291915,0.8727125,0.7617416,0.82615834,0.7337467,1.3124701,0.8794294,1.1535654,1.2006145,1.254729,1.1217667,0.65228266,0.67987424,0.8553726,0.81726223,1.1475158,1.0318441,1.1961353,0.77132237,0.9965961,1.0197601,0.94135886,1.0887773,1.1544988,1.100168,1.1897979,1.1742002,0.999925,0.9449215,1.2640007,0.7846483,1.1237104,1.0167428,1.2530645,1.2549505,1.1754329,0.5666038,1.163236,0.70886785,0.83737004,1.2795908,0.914136,0.8929583,0.84770304,1.1828634,1.1636648,1.3433597,0.7257833,0.5673113,0.59559953,1.0642091,0.83393574,0.86418843,1.232465,0.8853555,0.9614949,0.721901,1.1423695,0.9118769
apple,1.38644,0.77846444,0.0,1.3859671,0.6470375,0.5606352,0.71625495,1.0102347,1.3042793,1.130692,1.3377717,0.6060244,1.3942685,1.3771918,1.2456522,1.3733997,0.9382777,0.8293018,0.18244493,0.9953551,1.3901303,1.1392508,0.8285136,1.2425265,0.57194066,0.6532141,1.1863911,1.108494,1.0434294,0.65040493,1.2328278,1.203289,1.1705387,1.1267935,0.8450694,1.3501772,1.1231884,0.3108279,1.3765275,0.44827068,1.187073,1.3181659,1.028322,1.1311834,1.2768742,1.2084497,1.0360502,0.40936023,1.089267,0.9886918,1.153376,0.8508587,1.0831481,0.67287546,0.46561944,1.1672131,0.7588638,1.0249729,1.1067374,1.379003,0.32201135,1.2490115,0.9224424,1.1847309,0.5939518,1.3727274,0.38988543,1.0912677,1.2641264,1.3290099,0.7711023,1.4881866,0.46065104,1.3316262,0.33390766,0.8413171,0.5647577,1.0693971,1.4837519,1.0789973,1.0967354,0.18169487,0.86912435,0.7732637,0.7053983,0.3726027,1.2739234,0.96150815,1.3881228,1.2984936,1.3923342,1.1318345,0.50391746,0.48097718,0.58158684,0.7686666,1.2087157,1.0983852,1.316706,0.71767634,0.897289,1.1320176,0.8602333,1.0386856,1.1413403,1.070332,1.2606356,1.2041492,0.99948764,1.2283444,1.3805455,1.113848,1.2875502,0.9228107,1.2107303,1.2885026,1.2673589,0.42587256,1.1269925,0.3033651,1.2552996,1.2857656,0.6431413,1.0640309,0.81519514,1.2912109,1.2970715,1.4280097,0.6141778,0.7257336,0.6522076,1.3803784,0.8619884,0.76993054,1.285321,0.9570529,0.9822,0.49126518,1.1571624,0.9813151
arm,0.5427419,1.1918588,1.3859671,0.0,1.4011338,1.4891133,1.3802259,1.1971118,0.5770324,0.7286697,0.37845385,1.4193604,0.47480875,0.43628263,0.826966,0.4266287,1.1226487,1.1992599,1.4772596,1.117823,0.64685357,1.1258652,1.3506341,0.81180817,1.4968843,1.4022214,0.8471087,0.9622667,1.1097612,1.38071,0.66625905,0.75684035,0.9864483,1.1254836,1.3938763,0.35124218,1.134318,1.4986318,0.59768367,1.3726128,0.9969304,0.7679254,0.99197245,1.0052452,0.99004036,0.6191955,1.1279675,1.4052562,0.8772506,1.1364838,0.71377957,1.0819505,0.9603641,1.4930651,1.3606439,0.8682887,1.3681096,1.2958357,0.8667557,0.47466564,1.4606978,0.89244646,1.2223787,0.6911447,1.3268267,0.30984604,1.5807292,0.85139,0.77670944,0.43749684,1.3935709,0.44219708,1.2784421,0.82031,1.5301678,1.3310245,1.358229,1.1110018,0.4667573,1.0703881,1.0585519,1.3955303,1.3274752,1.2696484,1.3374889,1.4490895,0.67486435,1.2297156,0.474465,0.6435789,0.5151615,1.0324402,1.4991269,1.408516,1.3531181,1.4909067,0.78935266,1.0444679,0.5953982,1.3957746,1.1627462,1.0303979,1.3067417,0.96790844,0.87338346,0.8928193,0.8665696,0.7398826,0.86532444,0.9815482,0.38496906,1.1580844,0.7510472,1.1035104,0.6169688,0.70528746,0.61993295,1.5207374,0.9002639,1.4884706,0.78524005,0.8937873,1.3748672,1.0081025,1.3484604,0.85798395,0.42521942,0.5176078,1.5970902,1.1972537,1.2887571,0.61495453,1.3136723,1.2656653,0.7376771,1.1218829,1.1130415,1.3317212,0.85714424,1.1697235
ball,1.2858777,0.87357044,0.6470375,1.4011338,0.0,0.089402795,0.78897285,0.9587668,1.3341639,0.99305993,1.2984153,0.7764131,1.350708,1.3692387,1.165396,1.2719746,0.8444729,0.8841809,0.66845524,0.9073973,1.2430196,1.0295365,0.82604086,1.1884363,0.7076508,0.6853692,1.2193125,1.0284244,1.0161003,0.615037,1.2016233,1.2455902,0.92120445,0.981098,0.8508235,1.3326588,0.99251723,0.70120746,1.3430234,0.74283254,1.001659,1.1739455,0.94140863,1.1146673,1.0094695,1.231627,1.0535133,0.65051025,1.087146,0.93212694,1.1766739,0.97926545,1.0741233,0.7432115,0.69030696,1.1948373,0.8239565,0.88913274,1.0539302,1.4068428,0.7247977,1.040446,0.81346446,1.1883935,0.79137087,1.3236217,0.5156365,1.0534307,1.1095147,1.3273892,0.69531226,1.3440795,0.8961357,1.2760353,0.6159512,0.7857317,0.8245514,1.0477176,1.247457,0.91564703,1.1423093,0.6634558,0.81492627,0.87471646,0.60153115,0.69516355,1.3153261,0.9288618,1.2782127,1.2785628,1.2746768,1.0881437,0.71114767,0.77126837,0.7819624,0.76430726,1.0694507,0.9626432,1.3301964,0.729322,0.89724195,1.0075674,0.86756754,0.9596221,1.2172608,1.1433529,1.1567028,1.187081,1.0692406,1.2382404,1.3664534,0.8528457,1.2189963,0.85621846,1.2793978,1.2764102,1.208871,0.6717215,1.0759888,0.6134766,1.0719738,1.2001184,0.7652669,1.0989115,0.9269216,1.1768322,1.273042,1.3505517,0.5877412,0.87093943,0.85889316,1.2370534,0.82125556,0.7242029,1.2315867,0.9251627,1.0980043,0.7277722,1.1013683,0.9074899
balloon,1.4098173,0.83752716,0.5606352,1.4891133,0.089402795,0.0,0.75599355,1.0290294,1.425574,1.1027658,1.377522,0.5499208,1.417107,1.4714091,1.2052574,1.3485782,0.919256,0.8653395,0.54569024,0.98456824,1.340806,1.0823965,0.81235504,1.2044553,0.50597936,0.7138332,1.0702263,0.9622312,0.9833,0.66426665,1.2666749,1.2853895,0.972468,1.0650611,0.7924882,1.393301,1.0702775,0.51508373,1.449012,0.62654006,1.1045372,1.2337768,1.0492944,1.0991759,0.9935179,1.2716135,0.9294334,0.51447123,1.1264467,0.77108514,1.2043921,0.83238876,1.1200068,0.5994727,0.6950191,1.0513153,0.6508906,0.87938356,1.1492347,1.5100511,0.5396466,1.020904,0.79290664,1.2136292,0.72973245,1.3758663,0.394194,1.1410527,1.2116525,1.3924456,0.76001704,1.3912191,0.78159595,1.3506427,0.4937235,0.59090054,0.710979,1.1118393,1.3375304,1.0274622,1.1325861,0.49902433,0.8362242,0.7133979,0.4860692,0.5459682,1.3620443,0.97008586,1.372164,1.2531091,1.3778422,1.040441,0.54140186,0.59142053,0.61604106,0.57308096,1.1215765,0.87115324,1.402912,0.6672673,0.97236025,1.0947813,0.81311417,0.9400226,1.2373567,1.1680984,1.2021998,1.2362583,1.047038,1.2323226,1.4081364,0.91722554,1.1381879,0.87868977,1.3280084,1.3720565,1.2922889,0.49312782,1.1466523,0.5002637,1.0259008,1.2689928,0.68632233,1.0842102,0.7442586,1.277497,1.3125882,1.4674997,0.46995127,0.7084247,0.73418164,1.2856454,0.83881617,0.81683,1.3468497,0.98261493,1.0300772,0.545213,1.13214,0.9662278
banana,1.2653426,0.7758844,0.71625495,1.3802259,0.78897285,0.75599355,0.0,0.8885198,1.3113033,1.1675105,1.3593025,0.8370943,1.3735309,1.3649629,1.1562951,1.3173625,0.83423615,0.68488383,0.68277526,0.8844542,1.1871002,0.78067476,0.81558937,1.1878871,0.7687672,0.65914273,1.0515172,1.2126027,1.0040898,0.7365056,1.3300608,1.2801396,1.0256841,0.8162137,0.524003,1.3926563,0.80843765,0.6105382,1.2990359,0.82404554,1.11573,1.2758073,0.9609413,1.1458573,1.1291293,1.264164,1.0557134,0.7696508,1.2012259,1.0463513,1.2072787,0.9912068,1.0918062,0.599285,0.6330026,1.0490233,0.82749766,0.74340135,1.0199527,1.3334883,0.7962126,1.023505,0.8194442,1.2845938,0.5261817,1.3793397,0.65938103,1.0909522,1.240658,1.3519862,0.5899302,1.3751342,0.8211502,1.1697236,0.77163076,0.8483079,0.61927855,0.95910126,1.3309655,1.0355122,0.86136454,0.7906377,0.60076714,0.92889166,0.925495,0.67278636,1.2472583,0.79670155,1.3740549,1.3393596,1.3181648,0.9462789,0.63109213,0.6746667,0.7818059,0.59042984,1.1494783,0.97655016,1.2010127,0.8348497,0.71556354,1.0468768,0.79955053,1.1384481,1.0992404,1.1068327,1.2733719,1.1624289,1.1471965,0.8721513,1.410656,0.9204724,1.265734,0.9623676,1.3213315,1.1783578,1.1574501,0.6413568,1.1236897,0.44337827,1.0823653,1.1998221,0.82998925,1.0651119,0.8451989,1.1890066,1.3852959,1.3267877,0.48867726,0.9265299,0.84358037,1.2363565,0.5775263,0.72299355,1.0729566,0.957809,0.9895216,0.8946928,1.208633,0.96088403
basket,1.1605916,0.9442493,1.0102347,1.1971118,0.9587668,1.0290294,0.8885198,0.0,0.9975871,1.1679453,1.1196778,1.1492712,1.0617747,1.0566188,1.2295023,1.1707817,0.6542955,0.55937016,0.87782633,0.7531452,0.64590204,1.0302892,0.49192178,1.2438781,0.8146713,0.78764975,1.3225889,1.2390563,0.73116475,0.78918624,0.90059024,1.0161352,0.8599134,0.946133,0.732335,1.1824346,0.91631913,1.0166773,0.61443496,0.9170547,0.91277146,1.2338048,0.80633247,0.78464717,0.89867693,1.2798831,1.2803954,1.1452738,1.1210656,1.2241164,1.2549174,1.2481877,0.9073511,1.0327102,0.8236763,1.2812831,1.0639653,1.0114306,0.8728616,0.94184196,1.1785452,1.1085137,0.8646254,1.1945355,1.028065,1.2355537,0.9208179,0.99609435,0.91171384,1.2908664,0.64397675,1.1949341,1.0512315,0.6623081,1.0130038,1.0638541,1.1014785,0.5816417,1.2078696,0.773816,1.2007769,1.1746043,0.8299731,1.2503285,1.1001761,0.9909269,0.890217,1.0684826,1.0848856,1.2985544,0.86617047,1.2484709,0.95289016,1.0017264,1.0251453,1.0839237,1.1873014,1.0656595,1.0240881,1.0348014,0.76440525,0.73627114,0.5322569,1.0803304,0.6648014,1.1196845,1.1370885,1.0588543,1.1504532,0.9425762,1.2372729,0.8274696,1.2598363,0.9256985,1.0135164,0.9111172,1.0294067,1.0790267,0.93740433,0.9496699,1.0471829,0.9763234,1.0218228,1.1482645,1.0462928,0.7134861,1.2832553,0.9415835,0.92215407,1.2600881,1.111954,0.95821595,0.83009624,0.6141362,0.8145006,0.7725597,0.7837097,1.2436821,0.9140451,0.89353704
bathtub,0.6967576,1.2949802,1.3042793,0.5770324,1.3341639,1.425574,1.3113033,0.9975871,0.0,0.86202085,0.5896527,1.4192989,0.52401936,0.7413974,0.93746865,0.7205636,0.9800549,1.2310483,1.4007198,0.51310045,0.70451057,0.9524765,1.1727692,0.9373258,1.4427683,1.2701325,1.1721438,0.9767064,0.98328894,1.2275337,0.5897025,0.6133507,1.1018121,0.9316149,1.3725744,0.59279084,0.9489917,1.4563177,0.5272388,1.0410014,0.4758047,0.986152,1.2101983,0.84446716,0.76261705,0.8379146,1.2457209,1.3291278,0.84926766,1.2487135,0.8949581,1.3755794,0.99395245,1.44491,1.3025329,1.2646372,1.3845348,1.3085473,0.93410534,0.5358561,1.4840745,1.2611905,1.2619941,0.9594654,1.3521838,0.802884,1.553433,0.9154314,0.7243799,0.7495073,1.1871136,0.7997659,1.2427493,0.67729247,1.2957294,1.3220434,1.3080511,0.9105217,0.84374523,1.0309769,1.0274901,1.3604743,1.1104878,1.3374844,1.291291,1.3586879,0.5364495,1.2360408,0.7990382,0.908853,0.5871306,1.0553493,1.4878048,1.4393616,1.3159461,1.4730504,0.9071052,1.2447515,0.786736,1.419219,0.5054759,1.0788077,1.3211701,1.1398182,0.733739,0.7511175,0.98255503,0.673938,1.0880369,0.9541225,0.75907254,1.2577453,1.114104,1.0420818,0.47612333,0.077973366,0.5896436,1.5453316,0.8033594,1.4104493,1.1244084,0.6439151,1.2232957,1.1346539,1.3197464,0.908321,0.8187456,0.28770983,1.4069079,1.4556627,1.4181707,0.874363,1.144937,1.1999533,0.34221148,1.1230644,1.1176816,1.4649906,0.7797736,1.1271756
bear,0.81391346,1.0759122,1.130692,0.7286697,0.99305993,1.1027658,1.1675105,1.1679453,0.86202085,0.0,0.6298516,1.3278974,0.83480465,0.6618621,1.0318861,0.7742985,0.8161701,1.0914439,1.2471046,1.0461653,0.7521552,1.0887215,1.2535565,0.90095615,1.3430231,1.0197921,1.1354405,1.0844849,1.2593414,1.057535,0.82227963,0.9805195,1.0777091,1.0633136,1.2816975,0.7112428,1.0716943,1.2865636,0.7209899,1.2264957,0.96435857,0.84982526,0.67326367,1.0413741,1.02735,1.0419252,1.0454586,1.1919647,1.0265625,1.0862957,0.6880213,1.2158619,0.86378586,1.1990149,1.2065456,1.1992182,1.3480128,0.9578218,0.84854794,0.79200006,1.250791,1.1751174,1.089527,0.8770965,1.157378,0.80127597,1.3202555,0.9306082,0.8614309,0.8347231,1.1379215,0.9025124,1.2952082,0.94259757,1.1819863,1.1826954,1.1937171,1.0716321,0.83682853,0.8192769,1.0332912,1.1838777,1.2396357,1.3134415,1.0829086,1.252641,0.94380075,0.9052538,0.7820284,1.0703348,0.74830705,1.0202975,1.3378509,1.3037126,1.2188045,1.3165063,0.86349833,1.2926304,0.741611,1.2301735,1.0702899,0.78735197,1.0933005,1.0909684,1.065485,1.0149257,0.98064303,0.80422103,1.0275455,1.0255476,0.89646506,1.0829033,1.1838822,1.1376294,0.9086411,0.9284119,0.7388954,1.3437605,0.79639006,1.2127434,1.1432593,0.95505965,1.270566,0.9850164,1.3508933,0.8748702,0.8850471,0.7556409,1.2433246,1.2250443,1.2668633,0.8877179,1.2405785,0.78553784,0.841861,0.978732,1.2359375,1.2312151,0.92694443,1.0079808
