,alligator,ankle,apple,applesauce,arm,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,bird,blanket,book,bottle,bowl,box,bread,broom,bucket,butterfly,can,car,carrot,cat,chair,clock,closet,coat,coffee,comb,cookie,couch,cracker,crayon,crib,cup,dog,doll,door,drawer,dress,egg,elephant,face,finger,fish,flower,fork,frog,glass,glasses,glove,gum,hair,hamburger,hand,hat,horse,hose,jacket,jar,jeans,knife,ladder,lamp,melon,milk,mitten,motorcycle,mouth,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pen,pencil,pickle,pillow,pizza,plant,plate,pony,potato,pumpkin,purse,refrigerator,rooster,scarf,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,soap,sock,soup,spoon,strawberry,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,vacuum,watch,window
alligator,0.0,0.8458464,1.0106674,1.1779674,1.1587,1.0556349,0.9632119,1.0841608,1.0452965,1.0301447,1.0710406,0.7296666,0.9924968,1.0636483,0.64553213,0.9919208,0.7745285,0.9455536,1.1038774,1.0243777,0.98805946,0.9150692,1.060029,0.4874845,0.8999433,0.92864263,0.93843,0.9347414,1.0857892,0.9151894,1.0909232,1.2860351,0.98153555,0.76012564,0.9441601,1.0354347,0.98043644,0.7297982,1.0920545,1.0055627,1.0828921,1.0852053,1.0621258,0.8360414,1.1566097,1.1237043,1.1515964,1.2080735,1.0765015,0.81732106,0.88580805,0.9580787,0.40011007,1.204649,0.9555301,0.9415691,0.7577487,1.2364501,0.9440482,1.1588163,0.9088652,1.1752928,1.1525763,1.1704204,1.1469122,0.9276281,0.798553,1.1601456,0.9713334,1.1938072,1.0722053,1.0032895,1.0322303,1.0814611,0.9033622,0.8394414,0.8375439,1.1802061,0.9444244,1.0674559,1.0521384,1.1194557,1.1837018,1.0642312,0.81590587,0.9235593,0.95432264,0.70514596,0.8192728,0.8527177,0.96629643,0.69251746,1.1524436,1.1052243,0.9600534,1.2172927,0.84016323,1.2660971,0.5496652,1.1111051,0.9458415,1.0567316,0.9267538,1.0531408,0.97300816,1.105853,0.8470057,1.1011684,0.9275273,1.1538563,0.9668421,0.9382459,1.0798846,1.2725275,1.1226597,0.85541,1.0625778,0.90316033,0.95320684,0.88436246,0.918905,0.9967761,0.9301945,1.0436642,0.88289666,1.086649
ankle,0.8458464,0.0,0.7678102,1.0933518,1.0820603,1.0915365,0.8378483,1.1947504,1.3244944,1.1277239,1.2654264,0.68302286,1.1433593,1.2143381,0.9291623,1.1556417,0.94541335,0.9106253,1.2231748,1.2312015,0.6937705,0.7617969,1.127367,0.9614521,0.7556548,1.1244423,0.53913486,1.0958718,1.0113273,0.76546127,1.2744474,1.129379,1.1627913,0.90429795,0.8670227,1.0438073,1.0964056,0.65342104,1.325453,0.8741935,1.1478419,1.2156342,1.1833564,0.89846414,1.1865795,0.8990537,1.2320632,1.1184813,0.45791614,0.9292214,1.1090758,0.8574562,0.82530344,1.2997503,0.7233168,0.8802926,0.7878559,1.1867677,1.1193675,0.8244712,0.78418654,1.0694852,1.2042857,1.1117983,1.2980759,0.7581981,0.5688883,1.2031422,0.966315,1.3103498,1.1353772,1.1000714,1.1408316,0.8439865,0.77293026,0.8024094,0.576584,0.79744756,0.69201434,1.2101648,1.0928402,1.1440889,0.7567744,1.1332772,0.5666263,0.57704943,0.9227446,0.6004306,1.1054357,1.1183951,0.97361875,0.66803306,0.9601278,1.1288061,1.1602201,1.2848041,1.1354256,1.181808,0.8510678,1.1504537,0.9326303,0.80805904,0.8527627,1.2326775,0.9844984,1.2501171,0.61057335,1.2374864,0.80138147,1.1980233,0.8892947,0.9309028,1.2015685,1.2035882,1.2736523,0.8714938,0.46760392,0.75777984,0.8852818,0.87797886,1.1954482,1.0555189,1.2116868,1.0439188,0.37579966,1.246047
apple,1.0106674,0.7678102,0.0,0.8425522,1.4357561,0.40753734,0.34902203,1.1037345,1.1284299,1.5376217,1.593201,0.73627436,1.5617309,1.3795158,0.75389314,1.4715378,1.0447862,0.6177837,0.7535975,1.3717823,0.44790965,0.8577502,0.77596843,0.96352565,0.5893355,1.2775345,0.56005794,1.3406695,1.3505871,0.6226442,1.4286124,1.3308226,1.2205814,1.087803,0.61023784,1.4860001,1.0699965,0.44073677,1.5375687,0.45576537,1.2926344,1.1786561,1.3286012,1.155095,1.4031391,0.27921504,1.3671801,1.1947076,0.60654294,1.1177337,0.6674635,0.6510111,0.6326716,1.2148988,0.5628327,1.1579806,0.52441436,1.2861799,1.1304185,1.070859,0.57040954,1.2103103,1.4206585,1.3884113,1.2989712,1.0857844,0.7622445,1.3798796,0.70815223,0.97265506,0.9815865,1.4213746,1.2262113,0.98759943,0.40926898,0.6942311,0.51756966,0.78156734,0.20861602,1.1166714,1.205208,1.4229943,1.3011066,1.3127235,0.48239988,0.54073197,0.23380542,0.80534476,1.2162948,1.0791652,0.5959949,0.92267215,0.4371193,0.99336946,1.166598,1.4300292,0.95402694,1.2978165,1.0925778,1.4820845,1.0693555,1.1808925,0.7100766,1.452965,1.1961048,1.4755303,0.45805675,0.6789866,1.0993751,1.1421206,0.6192087,0.42986834,1.2875292,1.4403312,1.5443631,0.5087812,0.5074496,0.49226367,0.5232925,0.7754135,0.7475487,1.2026048,1.129821,1.2988609,0.5022829,1.3907882
applesauce,1.1779674,1.0933518,0.8425522,0.0,1.1821618,0.83535165,0.9268406,0.953524,0.8036541,1.1482481,1.2389396,1.1238507,1.1828151,1.0434873,1.021925,1.1226747,0.84720266,0.95582616,0.7393979,0.968457,0.8462302,1.1410141,0.65777487,1.0694172,1.0630646,1.1321164,1.0839092,1.1767849,1.1207745,1.005967,1.1299577,1.1074896,0.9932675,0.95496917,0.9732196,1.1810874,0.6806922,1.0934547,1.1717749,0.8609211,1.1095604,0.95281565,1.1861532,1.0809907,1.0769573,0.77202487,1.0643501,1.0377108,0.9434851,1.0119671,1.0361502,0.87683403,1.0430915,0.80717003,1.1391183,0.9267776,0.83692884,1.0790014,0.99979097,0.8232857,1.1151054,1.1548066,1.1007652,1.2200586,0.6791363,1.2156968,0.998901,1.0842569,1.0417526,0.7212157,0.7735218,0.9663819,0.976348,1.0461076,1.1123028,1.0281392,1.1009603,1.0056732,0.8378893,1.0211204,1.0201828,1.1665205,1.1741521,0.89795053,1.030628,0.9647667,0.80399376,1.0357516,0.9446454,1.06006,0.89024794,1.0110681,0.91415745,0.8179444,0.9339357,1.0254669,0.93463945,1.09835,1.090403,1.2169478,0.96577716,1.1290944,1.0511122,1.2080555,0.9391088,1.2201451,1.0994402,0.70661545,0.88599753,0.78969985,0.85440016,0.93522394,0.9676777,1.132531,1.0588331,0.801646,0.9823967,1.089469,0.9883021,1.0505939,0.8398961,0.8602191,1.1791251,1.1231375,1.0772884,1.1929313
arm,1.1587,1.0820603,1.4357561,1.1821618,0.0,1.2672818,1.3754609,0.8393611,1.238713,0.56621283,0.38925886,1.3382906,0.5220242,0.6492209,1.3549299,0.6056376,1.1712314,1.488094,1.3487172,0.88189155,1.2914084,1.2982904,1.4242727,1.2434772,1.5110505,0.6872182,1.2507946,0.6658703,0.88622946,1.2917769,0.8423866,0.53867596,0.9544237,1.0147835,1.2898778,0.68728834,1.0809346,1.4236555,0.4547161,1.5191038,0.67627025,0.9155332,0.936212,1.1495101,0.49821156,1.2883904,0.6328917,0.812356,1.090208,0.82380545,1.2244775,1.3767824,1.4220929,0.76948756,1.3072333,0.72848046,1.2892938,0.7229325,0.9996508,0.68020064,1.4179139,0.70148164,0.7751249,0.4924364,0.9560833,0.7874906,1.3295152,0.79689413,1.2864562,0.8578465,1.1985004,0.5769712,0.9357636,1.0053619,1.3453252,1.4683651,1.4897324,1.048112,1.459224,1.2242056,0.95606786,0.410536,0.5499648,0.79984903,1.3565427,1.2975047,1.3911568,1.3044482,0.9934616,0.9818661,1.3887954,1.1883606,1.242926,0.8911602,1.096769,0.8710289,1.1572099,0.75487506,1.080516,0.38282096,0.9411073,0.9234965,1.4140947,0.60533834,0.9713342,0.4891984,1.4085472,1.3450398,0.8813403,0.92690754,1.3916637,1.4811243,0.7537287,0.3774925,0.48627812,1.4668775,1.1895776,1.3722336,1.474611,1.4289454,1.2598023,0.8599025,0.8042834,1.0332886,1.3420653,0.7058197
ball,1.0556349,1.0915365,0.40753734,0.83535165,1.2672818,0.0,0.276492,1.049963,0.818977,1.3022618,1.2689652,1.0390488,1.378206,1.2051256,0.8263916,1.207703,1.010561,0.8004103,0.754671,1.1315238,0.79545915,0.9867487,0.60972166,0.98140055,0.95239884,1.1902678,1.0036572,1.2637638,1.3263221,0.68196285,1.2975099,1.1396863,1.0220016,1.0648599,0.69529474,1.3465804,1.0482665,0.83213365,1.1884787,0.7107636,1.2685665,0.9444964,1.2831057,1.1149563,1.2822477,0.17821777,1.1390748,1.1165369,0.9506218,1.0549148,0.77179897,0.92373115,0.7661181,0.9301529,0.95031524,1.0726761,0.6068578,1.1827698,1.022245,1.080059,0.8630188,1.2481974,1.1752261,1.2104354,0.95036364,1.1024024,1.1381955,1.2144152,0.69365406,0.8093534,0.86099935,1.1709815,1.1518619,1.0649087,0.76823074,0.95940787,0.99030674,1.0159835,0.46090353,1.1248796,1.1234854,1.2601502,1.3087411,1.1150669,0.9033414,0.909453,0.59753543,1.0592562,1.2092456,1.1788207,0.8373537,1.0564173,0.6254589,0.97656906,1.1131852,1.2629646,0.8114717,1.2257397,1.0226877,1.2920187,1.0826826,1.2139373,1.0678566,1.285492,1.1161299,1.2123747,0.9088813,0.68209136,0.98292196,1.0486503,0.8875797,0.6449897,1.1756095,1.2249593,1.2416822,0.5335789,0.91710436,0.88998204,0.8100437,0.97192824,0.34391248,1.1091142,1.0960683,1.2200432,1.0092891,1.2394509
balloon,0.9632119,0.8378483,0.34902203,0.9268406,1.3754609,0.276492,0.0,1.1175936,0.9629264,1.375348,1.4445055,0.61613655,1.4406993,1.3650962,0.73786557,1.3638837,0.9960983,0.50974786,0.7124667,1.1591961,0.706923,0.75293165,0.6229384,1.0208213,0.5761991,1.2374164,0.6032491,1.3275967,1.2016006,0.5415329,1.3076881,1.2925048,1.1571178,1.0077024,0.78326786,1.3412751,1.1511971,0.5006697,1.3862474,0.48561704,1.4003944,1.1247956,1.1758635,1.1078675,1.4220369,0.28919625,1.2654569,1.2257969,0.7705703,1.1785272,0.7549635,0.7839488,0.79861176,1.1835045,0.65954995,1.1301575,0.57922447,1.2995808,1.0865664,1.1209402,0.65353787,1.2577765,1.2922683,1.3326133,1.1000487,1.0741398,0.8320397,1.2886235,0.5800803,1.0617929,0.8923408,1.2974638,1.2166039,1.0322889,0.54199225,0.7299751,0.587624,0.9354757,0.28681207,1.0759593,1.2073792,1.390948,1.2688482,1.1938573,0.6505645,0.726491,0.6082727,0.7667471,1.2479621,1.1884811,0.6423258,1.0279636,0.6707074,1.1093148,1.279698,1.3230479,0.92513096,1.2870336,1.0618618,1.4164722,1.1894934,1.1318743,0.80353606,1.3594277,1.0210589,1.2938597,0.59611005,0.8112671,0.95028853,1.1979398,0.7542193,0.42277002,1.3034737,1.3943372,1.4128251,0.5643567,0.71129745,0.5691867,0.5647072,0.7831377,0.583923,1.1828735,1.1486899,1.2119733,0.67277116,1.2487702
banana,1.0841608,1.1947504,1.1037345,0.953524,0.8393611,1.049963,1.1175936,0.0,1.0425755,0.9773413,0.8590061,1.3132169,0.9161513,0.7041743,1.1222358,0.87005055,1.1053082,1.2704791,1.0771828,1.0453548,1.1252751,1.2131944,1.0261879,1.1456839,1.3110886,0.8571147,0.9548882,0.84200513,1.2122698,1.0924369,0.9076116,0.95787776,1.0593146,1.057181,1.1082233,1.0514617,0.6959851,1.1579062,0.7791063,1.200704,0.9343088,0.9045111,1.0413094,1.2604843,0.83013463,1.0376445,0.8776188,0.9050611,1.0595796,0.8749566,1.1933086,1.170474,1.1233897,0.86346495,1.0744375,0.8251229,0.89209807,0.94007707,0.9852803,0.87176573,1.0900167,0.8695251,0.93192536,0.83156407,0.8405212,0.985903,1.158336,1.06344,1.0992678,0.83026195,1.1074501,0.664865,0.8650504,0.91603976,1.1722021,1.2932262,1.2537086,0.8677831,1.0310935,1.312597,0.9824758,0.8217802,0.98683727,0.8632544,1.1549046,1.1328294,1.1592537,1.3323326,0.7798822,1.0846165,1.1799865,0.9859427,1.1066649,0.8729253,1.0319353,1.0811095,0.9767843,0.9384847,0.8768523,0.78746575,0.82554144,1.0849617,1.1455932,0.96877015,1.1712705,0.7136562,1.1868169,1.1758353,0.9667622,0.9377472,1.1840733,1.1452383,0.9715588,0.88602656,0.84441566,0.8411778,1.1250799,1.2166206,1.1138895,1.278822,0.7607554,0.8799541,0.9790439,1.1446089,1.1417708,1.0221497
basket,1.0452965,1.3244944,1.1284299,0.8036541,1.238713,0.818977,0.9629264,1.0425755,0.0,0.90415204,1.0207459,1.0847101,1.0252616,0.95989007,1.0273106,0.9339445,0.7708201,0.9425099,0.68241525,0.61922234,1.1629745,0.988274,0.54904777,1.0690744,1.0518726,1.1424782,1.241278,1.269231,0.91321605,1.0741116,0.9091245,1.2025462,0.87472296,0.8003993,1.0592517,1.0765978,0.8755951,1.1594803,0.8903472,1.014303,1.2245861,0.79467845,0.9475907,0.7673638,1.1386722,0.9793143,0.9891998,1.214037,1.2585795,1.0239247,0.92641824,0.8910542,1.101996,0.833717,1.2705362,1.0756415,1.063405,1.1886675,0.925298,1.1540093,1.1169945,1.2046175,0.8475467,1.2179762,0.7476789,1.3451858,1.0278943,0.8114004,0.85759735,0.85614336,0.7163203,1.0466678,1.0811831,1.0649796,1.2568481,0.8987981,1.1528664,1.2496545,1.0610839,0.692664,0.9007859,1.1734935,1.3205774,0.8752588,1.1480153,1.1253775,1.0080824,1.0014403,0.9197218,0.9577035,0.9225062,1.1059009,0.9653094,0.95685935,0.79069924,0.7774502,0.93597,1.1338477,0.8649001,1.220095,0.93497103,1.125566,1.0121393,1.0490053,0.7725073,1.0076928,1.2198862,0.75090677,0.8382863,0.8482161,0.9050864,0.99320084,0.9298221,1.2321916,0.93193525,0.9530419,1.2779241,1.1899637,0.9670594,0.87007755,0.59524745,0.9409596,1.0102772,0.77991855,1.2894112,0.94847566
bathtub,1.0301447,1.1277239,1.5376217,1.1482481,0.56621283,1.3022618,1.375348,0.9773413,0.90415204,0.0,0.41917288,1.198773,0.45513725,0.76587605,1.2216783,0.6413876,1.0832778,1.3085942,0.990289,0.7976489,1.4401911,1.09719,1.1262378,1.0879728,1.3777899,0.68715763,1.3276949,0.7879094,0.649736,1.3147628,0.70847404,0.76301277,0.88621324,0.9530761,1.3710539,0.5590394,1.0878625,1.4493456,0.4891168,1.4584548,0.88987136,1.006501,0.6776418,0.72104746,0.8635335,1.354545,0.7229899,1.0098264,1.2608914,0.91967624,1.2801454,1.1901077,1.3407482,0.76037073,1.3906788,0.9033821,1.4380487,1.002224,0.9958971,0.94703496,1.4041388,0.9197812,0.5320226,0.69649136,0.7817069,0.88206446,1.1251094,0.7398897,1.2206547,0.90545785,1.0209616,0.7850976,0.95190316,1.1081136,1.4392016,1.2316481,1.4267976,1.2293788,1.5058511,0.8516325,0.965508,0.7767319,0.7153121,0.8029404,1.3995509,1.4072559,1.3420767,1.1079288,1.0307186,1.0536958,1.222377,1.1594303,1.1982753,1.0221739,1.043326,0.5838913,1.1165549,0.9792574,0.91923255,0.72580576,1.0107529,0.9935957,1.2892305,0.2626356,0.38089454,0.3867913,1.4633641,1.1923594,0.79409623,0.7567537,1.1601295,1.4460082,0.8357891,0.74071974,0.55534506,1.4386411,1.3429534,1.4292498,1.459245,1.2047179,1.2467779,0.71243054,0.9020942,0.73947024,1.4513958,0.6403823
