,alligator,ankle,apple,arm,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,butterfly,can,car,carrot,cat,chair,chips,clock,closet,coat,coffee,comb,cookie,couch,cracker,crayon,crib,cup,dish,dog,doll,door,drawer,dress,egg,elephant,eye,face,finger,firetruck,fish,flower,foot,fork,frog,glass,glasses,glove,gum,hair,hamburger,hand,hat,horse,hose,jacket,jar,jeans,knife,ladder,lamp,leg,meat,melon,milk,mitten,mouth,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pen,pencil,pickle,pig,pillow,pizza,plant,plate,pony,pumpkin,purse,radio,raisin,refrigerator,rooster,scarf,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,snow,soap,sock,soup,spoon,sprinkler,strawberry,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,vacuum,watch,window,zebra
alligator,0.0,1.3499815,1.4001774,0.84341985,1.3744316,1.2841625,1.0140051,1.0329676,1.0113702,0.7990148,1.470218,0.8246673,0.6052097,0.6710731,0.7497379,0.79751194,0.72175145,1.3846557,1.3495148,0.8179063,0.9042011,1.238308,1.2824315,0.80182064,1.3997495,0.96950585,0.92881393,0.69121563,1.0627705,0.84695005,1.2077022,1.0304581,1.1158805,0.94871104,0.8625338,1.0132282,0.88102174,0.5104606,1.4248977,0.75949657,1.4536549,0.99228066,0.49008065,0.63773775,1.0759372,0.95981705,0.8454646,1.4089483,0.9993845,1.1604598,0.96254665,1.2939849,0.7983515,0.7273598,0.84460926,1.145704,1.2091075,0.5186669,0.7199863,1.4105686,0.94024974,0.9451606,0.9372334,0.85096955,0.91600394,1.3547795,0.967885,1.0677636,0.9651426,0.8611724,1.0506135,0.7786514,0.91155565,1.4068153,1.3341554,0.6875036,0.87099093,0.9884222,0.6328955,1.1794105,0.82960796,1.4261751,1.3256391,1.4449203,1.3662273,1.3579721,1.091953,0.8481251,0.8214954,0.9897907,0.57976615,1.407122,1.4269615,1.2002405,0.8306571,1.1809026,0.49836314,0.78638285,0.99070066,0.892279,1.0066499,0.95139056,1.23968,1.3503501,0.9876245,0.45455503,0.90096354,0.77184004,0.9145289,0.9993571,1.0610769,0.9608602,1.0336411,1.2785318,0.8703837,1.4068556,0.83233476,1.094054,1.0568507,0.9218969,1.1146398,1.0656013,1.2014136,0.7893566,0.98823553,0.65532374,1.2548449,1.2878494,1.3576062,1.185368,1.3539329,0.8234099,0.58386695,0.9059673,1.1447911,1.467592,0.98805887,0.8177619
ankle,1.3499815,0.0,0.7693263,1.1436129,0.83466065,0.89345855,0.94657004,1.1308804,0.9894522,1.3103898,0.5739466,1.269871,1.342721,1.0392295,1.2606899,1.2644455,1.1674484,0.74494386,0.8314354,1.1926943,0.998912,0.67148626,0.8156149,0.981254,0.61672014,1.0069675,0.96295714,1.1617925,1.0437874,1.1116112,0.8935943,1.137197,0.97180325,1.0514258,1.0914685,1.0099262,1.2169116,1.2359403,0.588276,1.3734562,0.71064246,1.0459965,1.2452719,1.2025237,1.0616328,1.0623344,1.2305114,0.74732286,1.083446,0.7770746,1.1957738,0.67679423,1.1587327,0.87588155,1.1907344,0.72955996,0.64770263,0.98103297,1.3712137,0.7334468,0.928523,1.022586,1.1794178,1.155228,0.97316116,0.64813614,1.1272436,0.9167882,1.1436963,1.2842855,1.0021489,0.935952,1.1830164,0.68463206,0.59935594,1.1303928,1.100275,1.0817597,1.2503009,0.9007001,1.136301,0.7052158,0.6452072,0.64055645,0.80402184,0.77055013,1.0115583,1.1441342,1.3085675,0.98263186,1.3213384,0.5808282,0.5876895,0.72428745,1.0337125,0.58663666,1.3535907,1.1048031,1.0181882,1.0361942,1.0227977,1.0890567,0.76374984,0.74072057,1.1357161,1.3185499,1.1905273,0.9376132,1.2214171,0.84133804,0.8039176,0.9909728,1.1207402,0.75514233,1.2862631,0.564367,1.2447673,0.99329007,0.62774897,1.1246095,0.7004442,0.8267718,0.87604225,1.1524754,1.2072167,1.4147487,0.8361363,0.60310173,0.68851244,0.82356,0.65697455,1.2359564,1.3781705,1.1499748,0.8818494,0.64073247,1.1185498,1.126656
apple,1.4001774,0.7693263,0.0,1.3857448,0.33869028,0.4235816,0.63168037,1.2258257,1.3725885,1.5031315,0.4425562,1.557075,1.4180899,1.0828359,1.5290607,1.2553761,1.1751534,0.5256156,0.5683011,1.3745092,0.6137516,0.7818024,0.79777646,0.95573205,0.59322256,0.9211142,0.9192616,1.292311,1.4763136,1.0742332,0.83764416,1.2758082,1.2473743,0.8480734,1.2590585,0.79976434,1.4815248,1.1161427,0.2314496,1.5096393,0.44055736,1.0160995,1.2484616,1.262996,1.3097185,1.3088789,1.3626119,0.32224536,1.2707689,0.93767387,1.1264896,0.6293688,1.1521701,0.68791175,1.1510227,0.6753561,0.73940116,0.7530245,1.2250248,0.36589396,0.9512614,0.70807385,1.2180911,0.908966,1.2048508,0.608124,1.1150018,1.1967368,1.3853278,1.1261365,1.3405604,1.2813528,1.472755,0.5523639,0.6877264,1.2987388,0.89694786,1.0469774,1.4435194,0.7798264,0.8779847,0.2161293,0.6853539,0.4658196,0.47395068,0.16295683,1.35654,0.94114876,1.4248344,1.3613667,1.4321764,0.3769039,0.35177732,0.6430403,1.0719349,0.9585092,1.2144692,1.2980659,0.8573396,1.0251542,0.6077143,1.2948883,0.86165786,0.47984266,1.444716,1.2449908,1.3660698,0.9707987,1.4266567,1.1963125,1.1607659,1.204795,1.3300694,1.0548233,1.3206947,0.43370962,1.271971,0.7892189,1.1341491,1.1847587,0.7252063,0.70370555,0.39503813,1.4254912,1.4211636,1.5123501,0.44782454,0.67139035,0.38171893,0.67713434,0.72572535,0.90250623,1.4261779,1.2087505,1.2836165,0.44283092,1.3227379,1.1692481
arm,0.84341985,1.1436129,1.3857448,0.0,1.3486233,1.4285855,1.1821252,1.0706326,0.8549211,0.5362863,1.310597,0.62912995,0.5597643,1.1354057,0.5295248,0.7924479,1.09804,1.4727578,1.4440916,0.97911423,1.1553587,1.3566207,1.3787217,1.2154545,1.3998164,1.0222112,0.80243075,0.6550696,0.73958915,1.0963463,1.252474,0.84197,0.7406692,1.2077073,0.89870006,1.1694304,0.5792776,0.98776555,1.3970263,0.6617525,1.4664373,1.1193745,1.0074003,0.84774506,0.92030096,0.9654298,0.71680546,1.2786545,0.5493055,0.9669262,0.8360722,1.0411081,0.8667675,1.1692351,1.0719543,1.0637914,1.1920408,1.2990276,0.8770474,1.2635808,1.0843289,1.271129,0.82445174,1.0556403,0.5606764,1.3051519,0.9157701,1.0277823,0.65801096,1.0002664,0.4758702,0.7084403,0.78067493,1.3898947,1.1022592,0.743778,1.0614892,1.2401817,0.48782945,1.08319,0.86235404,1.3773699,1.280336,1.2965958,1.2442979,1.3191885,1.0894446,1.2348431,0.3662244,0.5377943,0.7465062,1.3577669,1.3761824,1.1840646,1.1968153,1.0247344,0.847805,1.0093223,1.1405394,1.1602849,1.1259954,1.1352894,1.2892052,1.3310109,0.8823856,0.94395316,0.65251195,1.0944479,0.46933573,0.91477,0.82243586,0.8641492,0.8217259,1.1460463,0.6957264,1.2897861,0.61870337,1.4286851,0.8735472,0.9442506,1.0815678,1.2269129,1.2603986,0.7790092,0.5095446,0.6845254,1.4464049,1.0677092,1.2090607,1.2377555,1.2372998,1.1951199,0.72276974,0.91790104,1.0781944,1.1918784,0.8873973,0.99043596
ball,1.3744316,0.83466065,0.33869028,1.3486233,0.0,0.2417162,0.84093153,1.167138,1.2912481,1.4344882,0.7578088,1.4744678,1.3770442,0.97447515,1.4406319,1.2045931,1.1961566,0.5940644,0.5839173,1.2897425,0.8331577,0.88652736,0.7359592,0.90577245,0.7535013,1.0920303,1.0866957,1.3326395,1.345372,1.0909293,0.7254055,1.2716346,1.1739929,0.7570776,1.1823015,0.6907966,1.4038458,1.2156211,0.6186173,1.4669528,0.57187974,0.85931295,1.1497996,1.1601365,1.2750366,1.1924896,1.298312,0.20525908,1.3004701,0.93527097,1.1034384,0.7857474,1.2118598,0.8529461,1.0636712,0.82395065,0.8355551,0.8995416,1.1324086,0.7181908,0.83996606,0.64054906,1.1495366,0.84449774,1.124045,0.6910945,1.004397,1.0975426,1.2578809,0.98138547,1.2778091,1.2654654,1.3570712,0.5362359,0.8642435,1.1913481,0.9063017,0.93522716,1.2885981,0.8691068,0.8649634,0.5169224,0.8122112,0.7303617,0.66431963,0.46539342,1.18714,0.92174846,1.3767959,1.2904718,1.3439626,0.6908427,0.6664049,0.796435,0.9311962,1.0127404,1.2804934,1.2374436,0.95989954,0.89718723,0.783665,1.0661423,0.8701216,0.43766993,1.3490822,1.1707144,1.2897524,1.040593,1.3732866,1.0668194,1.0826502,1.1484777,1.2477013,0.968512,1.292446,0.6376138,1.2940934,0.6979111,1.0551227,1.1249713,0.84280986,0.73333824,0.5357261,1.3280413,1.3223057,1.4103935,0.5426073,0.7559496,0.66323215,0.77783763,0.83844805,0.93471426,1.364402,1.1571895,1.1507467,0.66110826,1.2541755,1.1425548
balloon,1.2841625,0.89345855,0.4235816,1.4285855,0.2417162,0.0,0.891552,1.0249876,1.2403125,1.4945893,0.6625124,1.5285321,1.3576217,0.97240055,1.4448397,1.1751943,1.0412072,0.54683846,0.46101755,1.2203228,0.85366905,0.7806575,0.6650894,0.8724307,0.709005,1.0236781,1.0044938,1.3701364,1.3464026,1.0376089,0.620389,1.2588661,1.3123758,0.7507963,1.0798417,0.70749635,1.4629374,1.1717741,0.613356,1.481631,0.511305,0.90687895,1.0951343,1.1315753,1.2440296,1.1568236,1.2308084,0.35137153,1.3717073,1.0705993,1.1788253,0.8830273,1.1699102,0.7639858,0.8427216,0.94280976,0.8100591,0.78938365,1.1118087,0.77643937,0.8622928,0.61809504,1.2327604,0.85279953,1.2185626,0.7609684,1.0736914,0.99452704,1.3686529,0.87198985,1.441551,1.3192309,1.4220781,0.4521966,0.76946235,1.1963327,0.9747949,0.8692328,1.3353438,0.9606636,0.8862168,0.58880484,0.77170944,0.68430305,0.73584247,0.47882998,1.2167776,0.7459901,1.4240191,1.4488288,1.2552625,0.6840226,0.65037,0.89088625,0.9245901,0.94497293,1.2849559,1.095893,0.84668195,0.9158062,0.785954,1.0542703,0.8572551,0.597226,1.3268259,0.97256255,1.3344946,0.9522439,1.4858872,1.0993216,1.3005192,1.1669599,1.2920256,0.84898645,1.2709532,0.72845626,1.2161227,0.6369684,1.0474843,1.0960574,0.87071234,0.77103496,0.45123285,1.3419731,1.4149499,1.3844602,0.5290797,0.87848115,0.74614215,0.76014364,0.7976916,0.7990513,1.2925067,1.0106148,1.1084919,0.7809536,1.2132419,1.1277972
banana,1.0140051,0.94657004,0.63168037,1.1821252,0.84093153,0.891552,0.0,1.0471029,1.2520347,1.3402388,0.9051584,1.2483165,1.2463553,0.9055481,1.2722654,1.1939077,1.0286709,0.8484223,0.7077547,1.129382,0.45181966,0.8680861,0.87864196,0.913919,0.90102357,0.96274424,0.80093217,1.2408602,1.2593555,0.7088367,0.8525656,1.1602104,1.1944476,0.84729606,1.0947711,0.77299726,1.2988454,0.9038718,0.7722304,1.3166056,0.7747953,1.0280063,1.0868124,1.1007946,1.2102177,1.1359892,1.2505554,0.8173719,1.2021892,1.0742923,1.1682574,0.9114233,1.1100984,0.7153909,1.1110221,0.8305754,0.8858802,0.7816548,1.0376145,0.94612336,0.836749,0.9347008,1.2319028,0.7127268,1.1051434,0.9591053,1.1048086,0.9191787,1.185761,1.0661715,1.1668786,1.0415384,1.2802773,0.84936213,0.87173414,1.1109525,0.6569191,0.994525,1.1696274,0.89754236,0.91777945,0.91933966,0.64079916,0.85596067,0.98073673,0.7073302,1.160356,1.0380455,1.2985806,1.186997,1.1833897,0.7515261,0.73099935,0.8605434,0.9598743,0.9227654,1.0295955,1.1186231,0.67546636,0.9710133,0.7895479,1.0282832,0.8795348,0.9476961,1.2713299,1.1302147,1.2271802,0.702366,1.3374825,0.99637556,1.0956773,1.0203093,1.3354657,1.0875876,1.1221771,0.8079027,1.1699655,0.8617271,1.0123647,0.97514474,0.73261726,0.74107873,0.8864931,1.2442644,1.2880135,1.2854383,0.48315728,0.9023996,0.9127276,0.76905954,0.81506574,0.8025847,1.1125053,1.1751095,1.1210968,0.8821103,1.250198,1.0220761
basket,1.0329676,1.1308804,1.2258257,1.0706326,1.167138,1.0249876,1.0471029,0.0,0.83619094,0.8496417,1.0262611,0.7527827,0.86577857,1.0401559,0.6825385,0.9885212,0.7613642,0.8317851,0.70048875,0.59749025,1.0780927,0.97102726,0.64843035,0.97320044,0.9065906,0.871567,1.1117715,1.0095466,0.717959,0.98290634,0.84496576,0.88036245,1.08326,1.0015647,0.6643064,1.0251225,0.8641636,0.92218083,1.1462278,0.8090031,0.8657373,1.0827477,1.0491798,0.9451516,0.9071838,0.83846694,1.0272816,1.1673523,0.89739364,1.2795327,1.2605364,1.3239928,1.008471,1.1215112,0.809741,1.0908971,0.9362637,1.1652002,0.9788521,1.2025878,0.88100934,1.0148731,1.2383757,1.1362517,1.2303717,1.0792065,0.96938205,0.7175774,0.93478227,0.8107338,1.163502,1.0194069,0.9111509,0.88679945,0.93671787,1.0952107,1.1412187,0.78314203,1.0543451,1.243934,1.1188332,1.1981514,0.76109785,1.0696831,1.2687563,1.2005165,0.74405617,1.0044397,0.9043943,1.1594483,0.9292836,1.0640438,1.0752695,1.1779897,0.9896474,0.6867212,0.8446278,0.9281065,0.9767425,1.0168872,1.035772,0.54961276,0.8011122,1.2375029,0.88534415,1.0814738,1.100769,1.0305755,1.1326666,0.7015126,1.0579208,0.93496954,1.0407614,0.8002388,0.967732,1.087524,0.89169323,0.82481045,0.85972035,1.0712454,1.167223,1.1246828,0.9993353,1.0200217,1.0941443,0.9404813,0.91569537,1.2873397,1.2728624,0.9841969,0.7675654,0.85638887,0.79342294,0.9920305,0.91516745,1.2163403,0.9286107,1.0665395
bathtub,1.0113702,0.9894522,1.3725885,0.8549211,1.2912481,1.2403125,1.2520347,0.83619094,0.0,0.6199622,1.0365946,0.61849433,1.0175503,1.0923278,0.714558,0.88707525,1.0594339,1.1159493,1.0639161,0.7687798,1.2880213,0.8809378,0.9581801,1.101686,1.0834991,0.8621765,1.0859653,0.72232205,0.5853305,1.0850022,0.9343754,0.6132196,0.94250727,1.1534156,0.8327979,1.2206236,0.60762995,1.0850968,1.2225188,0.61593413,1.2036337,1.0967326,1.0568013,1.1677797,0.38807774,0.45535064,1.0190841,1.2833238,0.7512882,1.1862345,1.0875062,1.2998132,1.0528419,1.1344726,1.0569333,1.3982016,1.0353074,1.2265655,0.95506984,1.2638192,1.332811,1.2807499,1.0424688,1.2796254,1.1025836,1.2193651,0.9769251,0.57240605,0.982522,1.0211792,0.89910525,0.6706377,0.5161397,0.9746157,1.0145242,0.9084281,1.0918844,0.9268089,1.1146076,1.3214188,1.2332098,1.2853079,1.0527717,1.2639443,1.2546723,1.329848,0.5677546,1.165805,0.8439454,0.88768226,0.8863419,1.1268585,1.1429951,1.2702467,1.0932555,0.8096689,0.9589232,0.9260466,0.9843855,1.0781889,1.319737,1.0551248,0.8416029,1.3010265,0.43594158,1.1670403,1.0120631,0.9953289,0.8687207,1.0730835,1.0198649,0.86712766,0.3491063,0.34854573,0.65076584,1.3205533,0.7648016,0.9256782,1.0821041,0.9103714,1.1347746,1.1272768,1.2872198,0.92312795,0.9019472,0.7693869,1.2237242,1.2840703,1.3044835,1.0908669,1.0519938,1.1725981,0.7797245,0.9162387,0.67015415,1.3261902,0.6126975,1.1003662
bed,0.7990148,1.3103898,1.5031315,0.5362863,1.4344882,1.4945893,1.3402388,0.8496417,0.6199622,0.0,1.3981912,0.35160267,0.4869268,1.0442436,0.16081429,0.48938525,0.87942475,1.5347688,1.4181217,0.6763368,1.3336594,1.3465815,1.383462,1.2230127,1.4595103,0.9731368,1.1486841,0.6884917,0.6040782,1.080593,1.2592459,0.7561423,0.55325973,1.1765707,1.0294405,1.2255145,0.19558954,1.0060978,1.5483915,0.14668179,1.5696585,1.0508898,0.8777929,0.7519096,0.7957278,0.8329712,0.65286577,1.4176428,0.56407464,1.1200576,0.8388221,1.4403646,0.77068204,1.4188687,0.94939744,1.3586893,1.5173146,1.2743965,0.70422816,1.4058712,1.3286111,1.3040152,0.8042145,1.1759248,1.0059552,1.4139843,0.76366335,1.0634764,0.58478665,0.91875964,0.6049839,0.91001076,0.49200732,1.5038438,1.3339947,0.9125893,1.2209189,1.051485,0.72214717,1.2824302,1.1800275,1.4476843,1.4050517,1.5754161,1.3683776,1.461571,0.8782064,1.100067,0.39397335,0.64287955,0.5593771,1.5495586,1.5507818,1.4127182,1.096335,1.029641,0.668788,0.94205266,1.1577996,1.0769114,1.3382585,0.92445576,1.2765617,1.4395173,0.6898119,0.89651215,0.7566234,1.1884148,0.4824742,1.0463655,0.92087775,0.90669525,0.52038926,1.1264805,0.44075572,1.5844022,0.50964063,1.2298381,1.0908266,0.8062421,1.4380288,1.4771842,1.4103898,0.60658103,0.45854867,0.25293678,1.4350893,1.4615388,1.4706888,1.3896437,1.3652662,0.9225536,0.52034485,0.80671185,1.0273638,1.5090494,0.7475029,0.96053016
