,alligator,ankle,apple,arm,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,butterfly,can,car,carrot,cat,chair,chips,clock,closet,coat,coffee,comb,cookie,couch,cracker,crayon,crib,cup,deer,dog,doll,door,drawer,dress,ear,egg,elephant,eye,face,finger,fish,flower,foot,fork,frog,game,glass,glasses,glove,grass,gum,hair,hamburger,hand,hat,horse,hose,jacket,jar,jeans,knife,ladder,lamp,leg,meat,melon,milk,mitten,mop,motorcycle,mouth,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pen,pencil,pickle,pillow,pizza,plant,plate,pony,potato,pumpkin,purse,radio,raisin,refrigerator,rooster,scarf,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,snow,soap,sock,soup,spoon,sprinkler,stick,strawberry,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,vacuum,watch,window,zebra
alligator,0.0,1.2846229,1.3650339,0.9257481,1.1374979,1.1415386,0.8436646,0.8628657,1.0892546,0.8428606,1.2915461,0.86041397,0.78033406,0.99028736,0.78405184,1.0381197,0.8992312,1.302496,1.2190701,0.8099267,1.0667158,1.1762512,1.1595254,0.6297673,1.1668584,1.0167451,1.2319623,0.85553014,1.1142125,0.77121556,1.1973326,1.0569218,0.9840385,1.0782236,0.86076206,1.1255802,0.94863665,0.7556801,1.2593114,0.783808,1.2903283,0.95261866,0.5199403,0.6714677,1.0859065,0.9726935,0.7647587,1.2446741,1.3961899,1.047141,1.1507754,1.0175023,1.2615869,0.55142856,0.8477389,1.2183361,1.1451337,0.40868157,0.85833585,0.8010833,1.321816,0.98714525,1.0459447,1.0051825,0.9955488,0.90642464,1.013194,1.2500951,1.033767,0.79810894,0.9851231,0.99772835,0.9994709,1.094099,0.9021209,1.1789961,0.9979338,1.0140831,1.1316957,1.1297368,0.7244913,1.1293651,0.85360897,1.1842891,0.91752577,1.3789852,1.1856587,1.1287367,1.2284071,1.2910005,0.9774682,0.6105492,0.8302468,1.062171,0.85892797,1.2304407,1.2114801,1.0694776,1.0780553,0.7295429,0.73659825,1.1127857,0.5728916,1.3437448,1.0324829,0.89543164,0.89565784,1.3101435,1.0451378,0.7826107,0.97257435,0.636383,1.0400971,0.90417194,1.1926284,1.1665742,0.9761943,1.2052535,0.95720255,1.319334,0.8246814,1.1863195,1.0352845,1.0619476,1.0942409,0.8670411,1.0339638,1.113731,0.81916046,1.0053643,0.82596296,1.1042572,1.3028357,1.2722548,1.0807502,1.1848505,0.79373163,0.91802824,0.944416,1.0556533,1.3340261,1.0604824,0.64346373
ankle,1.2846229,0.0,0.6901871,1.0456706,0.9651609,1.0554701,0.8877802,1.3661348,1.162255,1.375418,0.77663416,1.2342219,1.105446,0.8786114,1.3314326,1.2355351,1.1917158,0.9447845,1.0523419,1.2697234,0.8050923,1.0152519,1.1045375,1.1248676,0.96130085,1.2823669,0.5071286,1.073663,1.2715459,1.0299684,1.1317407,1.3473758,1.3102107,0.918112,1.2448195,0.7136843,1.2580352,1.0970076,0.713848,1.3672674,0.9303412,0.93223345,1.1444445,1.1306558,1.354299,1.1569,1.252568,0.34525502,0.4103437,1.1967722,0.65358627,0.9053361,0.27299786,1.2036692,1.2541707,0.5888166,0.857244,1.0401261,1.0952344,1.2262995,0.43021435,0.6756622,1.1763511,0.841085,1.0024472,1.1593049,0.7262905,0.69013137,1.1843312,1.1936405,1.2235868,1.2299749,1.0701648,0.92681265,1.2398703,1.0524907,0.8969032,0.78963876,0.5770861,1.2599146,0.98951346,1.0686347,1.0649601,0.5628711,1.2279896,0.6180092,0.9003779,0.6191315,0.3232168,0.82581294,1.3410113,1.0711607,1.227205,1.0022364,1.2322747,0.7251325,0.7343266,0.5276473,0.88936234,1.2514317,1.2834568,1.0947682,1.0317047,0.39983845,0.77845985,1.1971183,1.1677111,0.48261207,1.4039179,1.2440314,1.1788672,1.1558666,1.1814376,0.7640352,0.87845945,0.62604505,1.3019035,1.1848718,1.2184023,0.47150326,1.1529272,0.9577886,0.8707274,1.0424175,0.91028225,1.0592835,0.82633966,0.69455665,1.1921729,1.2810259,1.3496376,0.838469,0.2580514,0.7975333,0.9898359,0.94444555,1.1465261,1.3142564,1.3124171,1.0533433,0.53502977,1.3247695,1.1041076
apple,1.3650339,0.6901871,0.0,1.3850248,0.36003256,0.4853751,0.8635271,1.2081754,1.2320087,1.5342355,0.65537965,1.5724022,1.4501492,0.642347,1.4952872,1.2042351,1.0580748,0.41673613,0.6505443,1.4062395,0.52717257,0.93167084,0.69045955,1.0492358,0.96365815,0.9617433,0.7160943,1.2824687,1.3733994,0.9098515,0.63117576,1.2735213,1.4504719,0.9336439,1.2773689,0.49053866,1.49121,1.2131791,0.36564773,1.5460715,0.46585834,1.254225,1.3273203,1.2730958,1.2975743,1.1847447,1.3984957,0.74493474,0.21261823,1.3982626,0.5739027,1.0856817,0.6699518,1.1437695,1.042549,0.68945754,0.73681957,0.93972707,1.1795828,1.3094674,0.4460709,0.9667633,1.0649582,0.6767264,1.1463141,1.1371806,1.1032828,0.4944365,1.317008,1.2437303,1.450052,0.9010929,1.4425688,0.7429318,1.4850557,0.6411599,1.2362865,1.0842708,0.7829869,0.87542355,1.3731581,1.018825,0.93781096,0.8229377,0.93323565,0.2307055,0.6406059,0.6750636,0.52733016,0.15259075,1.3157356,1.1234764,1.4679558,1.4565551,1.3104732,0.49939364,0.49529123,0.8756994,0.8580827,1.2344927,1.2369473,0.7371688,1.2490352,0.42604715,0.46989542,1.1957669,1.0313219,0.37580383,1.4254884,1.0144926,1.5043776,1.1931975,1.4289625,1.0728364,1.2091548,0.600522,1.3541894,1.0861496,1.2627757,0.41659498,1.1480238,0.4082948,1.0809035,0.8726617,0.72253835,1.0802906,1.1830038,0.3693971,1.2811184,1.3547119,1.4753473,0.47781265,0.46269667,0.48609757,0.67864805,0.6604274,0.8560978,1.2091885,1.1273711,1.1383961,0.3949659,1.164717,1.3055754
arm,0.9257481,1.0456706,1.3850248,0.0,1.220181,1.1491878,1.0793711,1.1438539,0.89553744,0.4901213,1.3723569,0.67410696,0.577471,1.3417401,0.52611697,0.8078097,1.170551,1.526425,1.4731381,0.89948225,1.3519247,1.3361123,1.5166485,1.2710216,1.3187575,1.1096352,1.0027231,0.784883,0.91155165,1.2602717,1.4180264,0.85860765,0.67756724,1.1437459,1.0043762,1.1535105,0.6036074,0.9154917,1.5034502,0.60844934,1.5535076,0.70387346,0.70863426,0.71493816,0.99614,1.2432351,0.69703513,1.0680732,1.2716527,0.63287425,1.2359701,0.7580421,0.9951996,0.8502338,1.1007943,1.0601612,1.2961478,1.3216577,0.8334477,0.7538054,1.3562325,0.76394796,1.0018173,1.1719693,0.7398215,0.751654,0.64281154,1.378828,0.70443094,0.9022509,0.5139956,1.1726464,0.44679952,1.4944202,0.64845693,1.3992846,0.72530895,0.81919014,1.0153126,1.2921727,0.47481823,1.1949177,1.2333578,1.0445632,0.9913459,1.3671689,1.502593,1.4205981,1.2107918,1.3360261,1.1336844,1.0381793,0.42045367,0.47687662,0.86512434,1.4866527,1.4431336,0.9484421,1.1314079,0.8112482,1.0198867,1.359681,0.81269836,1.1908536,1.1811169,1.1688303,1.2628942,1.3584819,0.88805294,1.1268284,0.74311966,1.1907116,0.5063141,1.0749787,0.70102733,1.4586036,0.7572279,1.1498674,0.69180787,1.4098179,0.88434005,1.5434333,0.80664635,1.1832999,1.3499217,1.0330052,0.7845098,1.3661966,0.8042861,0.5623615,0.5435241,1.5061436,1.1491594,1.3197916,1.3158379,1.4951599,1.1668572,0.8876411,0.86600244,1.231462,1.450747,0.92453927,0.7074158
ball,1.1374979,0.9651609,0.36003256,1.220181,0.0,0.21759945,0.9042708,1.0271442,1.0794818,1.2577544,0.9953593,1.3325977,1.1862983,0.9444097,1.2255342,1.0834231,1.0002762,0.8340118,0.73800427,1.1013613,0.6977269,1.1273301,0.7803736,0.91444826,1.0571995,0.9213574,0.8967784,1.1764455,1.2931849,1.0230443,0.71505755,1.2393622,1.2702472,0.6932641,1.1439359,0.7348568,1.3197117,1.2023892,0.8295453,1.2910905,0.80684286,1.1724508,1.1064975,1.0311224,1.2643788,1.0940149,1.2593725,0.9782764,0.58366716,1.3243172,0.54878044,1.0643264,0.9515271,1.0222723,1.0258429,0.9895181,0.86433434,0.8057791,1.0731639,1.0130882,0.9193611,0.9989419,1.0646089,0.5077667,1.0979314,1.0719413,1.0701318,0.7655587,1.2520764,1.0584972,1.2717391,0.79745555,1.2810937,0.9390755,1.3480322,0.7610136,1.272219,1.0953381,0.7408203,0.8935354,1.0829308,1.0887358,0.9626423,1.0075072,0.806169,0.6808898,0.99344003,0.9748434,0.6906553,0.44505966,1.2566996,1.0185723,1.2822317,1.3243856,1.1284949,0.8696898,0.8905931,1.0108398,1.0494596,1.1089532,1.1361297,0.7076867,1.1118035,0.76657236,0.6673914,1.0195678,0.9290118,0.50106466,1.312913,1.0300121,1.3349499,1.0319932,1.2839166,1.0096749,1.2065014,0.9422972,1.2008792,1.0338932,1.1007769,0.89268285,1.0458274,0.64821756,1.0789009,0.9775398,0.78295445,0.8760012,1.1153058,0.65495,1.1282506,1.1783767,1.1756165,0.50549996,0.83483195,0.8237835,0.89223903,1.009442,0.60385567,0.9882629,1.0199182,1.0685858,0.84459233,1.139386,1.1538582
balloon,1.1415386,1.0554701,0.4853751,1.1491878,0.21759945,0.0,0.9637966,0.99153596,0.7812406,1.2050781,1.0489855,1.3019564,1.1586382,1.0577188,1.1695969,1.0315901,0.9973382,0.8992139,0.6884149,1.0281066,0.8326137,1.0436406,0.77862895,0.9977014,1.0290672,0.9644901,0.8924797,1.1857816,1.1341002,1.0727644,0.6843374,1.1452637,1.2277035,0.76447296,1.051221,0.77221406,1.2304889,1.1228287,0.9533365,1.2169743,0.8269592,1.203619,1.1210225,1.0318378,1.1369165,1.0134616,1.2295928,0.9263218,0.65955126,1.2661749,0.7927886,1.0995002,0.9392417,1.0137095,1.0385311,0.99529356,0.82290447,0.9600477,1.053099,0.8771526,1.0461307,0.9921567,1.0690347,0.62447435,1.1100867,1.022233,0.9599628,0.8975531,1.2610029,0.8686451,1.3005209,0.7669348,1.2940285,0.9567232,1.2520329,0.6803595,1.1870468,0.97483796,0.88698655,0.8588046,1.0171394,1.0674716,1.1109025,0.9922879,0.75833344,0.8372655,1.0288442,1.0158437,0.8921782,0.57390845,1.2244225,1.1398405,1.2299333,1.2874385,0.98686004,0.9871787,0.95462036,1.0842297,1.0060443,1.1027462,1.0758042,0.5578925,1.1269996,0.7929177,0.7924533,1.0948075,1.0357479,0.77645904,1.176261,1.0597689,1.3029263,1.0600309,1.2650694,1.1437677,1.118911,1.01547,1.063314,0.77935123,1.0017176,1.0282999,1.0594088,0.66994786,0.98841816,0.8508054,0.72023946,0.8156779,1.0878484,0.853348,1.2510424,1.1365434,1.0368254,0.6234124,0.8725729,0.8364218,0.8320756,1.0642912,0.6614827,0.735159,1.0250461,1.163211,1.0006005,1.0795853,1.0956466
banana,0.8436646,0.8877802,0.8635271,1.0793711,0.9042708,0.9637966,0.0,1.0033369,1.0437869,1.2450018,1.0469078,1.1417211,1.0281062,0.95014775,1.1031893,1.2264612,0.9299339,1.0922754,0.8292002,1.0456483,0.34895688,1.0312444,1.1004856,0.92909235,0.97468287,1.234433,0.7373005,1.2725899,1.1910248,0.51664484,1.0872661,1.278973,1.2035245,0.9574041,1.1589919,0.6727159,1.2133665,0.80712783,0.8807549,1.2236104,0.97356164,1.1967233,1.1015761,0.9905913,1.3383317,1.0444491,1.0634083,0.93705904,0.89680827,1.2912374,0.94636405,1.1935948,0.78691083,0.833999,1.1698102,0.9066651,0.7746563,0.7080453,1.0078495,1.1868296,1.0719697,0.6598089,1.1176101,0.898025,1.2843761,0.99319917,0.8530381,1.0338609,1.2334235,0.8937988,1.2641172,0.91198117,1.1564177,0.83223665,1.1451657,1.0563891,0.85727274,0.8241313,0.81040484,1.1133386,0.84689283,0.9451652,1.047353,0.97151977,0.88850874,1.0827724,0.9138001,0.92095506,0.98048913,0.67022365,1.1618794,1.0443087,1.1566344,1.1750079,1.0438263,0.84694725,0.814941,0.6331676,0.9507424,1.0210488,1.2036109,0.7329956,1.0414275,0.9790504,0.49392915,1.0414304,0.986798,0.95193887,1.3236058,0.87701946,1.1591451,0.49882913,1.2656636,0.8681649,1.0334593,0.8452916,1.3129399,1.0626931,1.0883101,0.9426436,1.1802338,0.9041888,0.89931035,0.8171185,0.72323465,0.896537,0.8936311,0.80985403,1.1430163,1.1858106,1.1005889,0.7336011,0.81518126,1.0627788,0.9233894,1.0044646,0.8114935,0.8860867,1.1411335,0.8689407,1.019393,1.3128494,1.0810794
basket,0.8628657,1.3661348,1.2081754,1.1438539,1.0271442,0.99153596,1.0033369,0.0,1.0140605,0.9146679,1.1134567,0.741577,0.9868885,1.1798564,0.8492561,1.0126625,0.79516125,0.99016804,0.6272975,0.49153042,0.97195905,0.9496707,0.6469922,0.89257693,0.72849333,0.9207713,1.2024382,1.1905031,0.75812376,0.9196385,0.84918535,0.88539004,0.9689551,0.74864197,0.69708127,1.150125,0.9032972,0.933411,1.1575046,0.7922386,0.8310761,1.2342862,1.0696238,0.8860344,0.9099333,0.74644035,0.90725374,1.3499179,1.3170483,1.1144472,1.1581208,1.2340777,1.3837293,1.1010908,0.8171729,1.1650519,1.0198216,0.9536462,0.97327876,0.86623067,1.2692049,1.0813624,1.0652567,0.93951523,1.1720479,0.9121921,1.2228842,1.0230738,1.03179,0.9078633,1.0853049,0.7319827,1.1647798,0.9859029,0.8525527,0.80995977,1.0694997,1.1103894,1.1821601,0.8317559,1.0189264,0.94997406,0.8941732,1.2469281,0.8300437,1.2623951,0.955476,1.0794238,1.355453,1.088943,0.64075094,0.9640347,1.061483,1.163888,0.85307103,1.1281787,1.1522624,1.2260066,0.9381191,0.7656088,0.7395205,0.85620546,1.1164863,1.3098222,1.0255816,0.37773395,0.73495096,1.2239525,0.84051347,0.8158165,0.86423934,0.78731257,1.1797056,0.7749595,1.0662885,1.0848355,1.034996,0.8822423,1.0216572,1.178754,1.0617115,0.9068459,0.8795608,1.0188223,0.93741083,0.9884015,1.0180445,1.1059178,0.86307967,1.06664,0.95076877,0.8295855,1.3594966,1.1852458,1.0165027,0.9398861,0.6996086,0.86170304,0.9874941,0.8280889,1.2050357,0.999356,1.1330676
bathtub,1.0892546,1.162255,1.2320087,0.89553744,1.0794818,0.7812406,1.0437869,1.0140605,0.0,0.7808906,0.9503449,0.7770848,0.9526373,1.0944479,0.83120257,0.90396535,0.9612995,1.2134863,0.77396965,0.8494123,1.1766856,0.9051368,1.1273456,1.016324,0.93970114,1.053646,0.9394846,0.8430896,0.60177165,1.0491067,0.9543667,0.86127436,0.90904635,0.92005956,0.8510226,1.1770526,0.6976548,0.9545034,1.2056668,0.86998665,1.1192743,1.0204902,1.0452203,1.1339853,0.7412507,0.7834052,1.0468307,1.0881726,1.1975102,0.9062998,1.2013997,1.0797834,1.0863892,1.0434929,1.1228279,1.0576172,1.0810345,1.1527236,1.0275136,0.9298605,1.2690766,1.1239622,0.842064,1.1171883,1.1224934,1.005831,0.96212715,1.2290283,1.0155139,0.74981296,1.0183961,1.0916673,0.86680704,1.104592,0.80450916,0.9549103,0.9330627,0.85074,1.0939348,0.99864405,0.93999434,0.92775565,1.2626586,1.1341919,1.0144185,1.2439214,1.177693,1.1929095,1.2519348,1.1793494,0.987569,1.1103772,0.9593023,0.7926693,0.8129568,1.1661786,1.1390018,1.021664,0.8917147,1.0457553,1.1200672,0.5338837,0.9803455,1.1680176,1.3244092,1.1482557,1.1536363,1.2507879,0.7345332,1.1180159,0.95536005,0.9826335,0.9343717,1.1542448,0.8046943,1.283689,0.71418047,0.23348045,0.8611709,1.199441,1.023745,1.1428136,1.0405998,0.7498121,1.0071696,0.7969613,1.124541,1.2772851,1.1126503,0.94770366,0.7144236,1.1157075,1.2178392,1.0136622,1.1960812,1.2314444,1.1235101,0.4955979,0.9810419,0.92784166,1.2732526,0.9507374,0.9868957
bed,0.8428606,1.375418,1.5342355,0.4901213,1.2577544,1.2050781,1.2450018,0.9146679,0.7808906,0.0,1.4503958,0.41483355,0.46686006,1.4239769,0.20728326,0.59631896,0.8686176,1.5383552,1.3309687,0.6059983,1.4479038,1.3526014,1.406702,1.192211,1.383853,0.90665877,1.3503473,0.7712619,0.7717413,1.2427063,1.3685077,0.6955362,0.49669445,1.1358926,0.9062512,1.4003589,0.29545093,0.9409623,1.6014385,0.13497055,1.5259196,0.7272617,0.69173384,0.5974113,0.814259,0.98066485,0.5943417,1.4056039,1.5747831,0.5731565,1.4211385,0.76107943,1.4257185,0.89941156,0.93811554,1.4258807,1.4857414,1.2737445,0.691018,0.61660814,1.4499856,1.149888,0.9392762,1.2021649,0.7536668,0.8181783,0.9700307,1.4301844,0.6295978,0.84893054,0.43967843,1.148191,0.503175,1.5633373,0.5400445,1.4321203,0.9932329,1.0178093,1.0504369,1.1318531,0.5611613,1.2626466,1.066854,1.1760168,1.064354,1.4814458,1.562953,1.6189367,1.4315524,1.4414606,0.8565249,0.98033786,0.29949594,0.618267,0.624262,1.5867181,1.5959665,1.1270281,1.101876,0.71042913,0.9578987,1.2150362,0.8532081,1.5106393,1.3703756,1.0322078,1.0152067,1.4995337,0.6581395,1.1275635,0.7242148,1.0917267,0.50889355,1.2261521,0.886561,1.6360084,0.5327676,1.0572991,0.57822144,1.6183996,0.6557453,1.5480949,1.160713,1.2988662,1.4734004,1.2238616,0.94408673,1.4927197,0.66450065,0.49812746,0.2743901,1.4260887,1.5944257,1.4331238,1.4452815,1.5155532,0.9099144,0.6421041,0.74389285,1.1577442,1.6270211,0.7821442,0.6579415
