,alligator,ankle,apple,applesauce,arm,ball,balloon,banana,basket,bathtub,bear,bed,belt,bench,bib,bird,blanket,book,bottle,bowl,box,bread,broom,bucket,butterfly,can,car,carrot,cat,chair,chips,clock,closet,coat,coffee,comb,cookie,corn,couch,cracker,crayon,crib,cup,dish,dog,doll,door,drawer,dress,egg,elephant,eye,face,finger,firetruck,fish,flower,foot,fork,frog,glass,glasses,glove,gum,hair,hamburger,hand,hat,horse,hose,jacket,jar,jeans,knife,ladder,lamp,leg,melon,milk,mitten,mop,motorcycle,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pen,pencil,pickle,pig,pillow,pizza,plant,plate,pumpkin,purse,radio,raisin,refrigerator,rooster,sandwich,scarf,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,soap,sock,spoon,sprinkler,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,vacuum,watch,window
alligator,0.0,1.3798872,1.4441187,0.88897014,0.53928554,1.4078832,1.2109193,1.205677,1.1667621,0.7697363,0.60061723,0.43646336,1.1908338,0.8470628,0.48243678,1.2826335,0.4507699,1.4285779,1.4998426,1.5779802,0.96244824,1.2477784,0.95323443,1.2894692,1.2166898,1.5191151,1.0472451,1.0955814,0.5449699,0.8343697,0.7376989,1.4619364,0.9155409,0.79817903,1.051745,0.74739766,0.9393322,1.1741767,0.5748455,1.2336364,1.6089101,0.49244833,1.5931171,0.896293,0.33505613,0.6634723,0.9288632,1.1317109,0.591223,1.3095605,0.79399115,1.2370032,0.7924811,1.2836932,0.8298311,1.2828304,1.0635657,0.8745351,1.5314317,0.78866905,0.51753914,1.3566463,0.98791474,1.2037671,0.7497852,0.8552302,0.6936723,1.3502268,0.77250916,0.6588188,0.58169115,1.1865019,0.70729464,1.5060024,0.64165115,1.3469777,1.0052819,1.2340271,0.99420494,0.4328885,1.2914293,0.87911177,0.644663,1.4868817,1.4838071,1.499546,1.3137329,1.4037857,1.0573326,0.95097077,0.51814336,0.5083076,0.8858328,1.5406065,1.5383449,1.4894023,0.39374524,1.3041122,1.278173,1.3796256,1.4780977,1.4560446,0.8590136,0.7679672,1.3311293,0.96757793,0.68934804,0.93451494,0.70020145,1.0820154,0.6006038,1.1412665,0.82005745,1.4914341,0.7597561,1.3561573,0.7549626,1.5611627,1.5701532,0.7586749,1.5418024,0.90889114,0.96166724,0.57980895,0.45985603,1.462412,1.3280292,1.5123401,1.254266,1.4835026,1.2606714,0.61487603,0.86574376,1.0586666,1.4835902,0.8191404
ankle,1.3798872,0.0,0.6835081,1.1309909,1.2342951,0.8494945,0.8705003,1.0062314,1.1287215,1.1471696,1.2037373,1.298481,0.7622095,1.0095174,1.3294765,0.7076016,1.2788687,0.7814205,0.64104307,0.5777016,1.2005819,0.8409157,1.0233475,0.9479544,0.899976,0.6414228,1.0213218,0.7331759,1.1131059,1.1004026,1.2307072,0.83753586,1.0791994,1.0706048,0.9259201,1.2175453,1.0783875,0.9417435,1.1141397,0.8875749,0.57188624,1.3380831,0.61772275,1.2713385,1.2589419,1.1620795,1.0755913,0.99485296,1.2711972,0.78416026,1.1920413,0.8387742,1.1847655,0.57177293,1.2283968,0.7298151,1.0676844,1.1043323,0.7558894,1.2233711,1.2902893,0.74616206,0.9383166,1.015431,1.1981833,1.1197397,1.035338,0.71252024,1.1529623,1.1924825,1.3043218,1.0157257,1.0547568,0.6361504,1.2037722,0.8268318,0.9003368,0.9893861,1.2043169,1.2675931,0.91829413,1.1131237,1.3162863,0.54199404,0.7108357,0.68234456,0.72456,0.68667454,1.1063697,0.9473452,1.2665722,1.1662097,1.1697862,0.58033735,0.6322959,0.705446,1.2863834,0.4829809,0.8302785,0.72691,0.745165,0.6754058,1.2050681,1.2380228,0.82608247,1.1873237,1.0486419,1.0296758,1.2010474,1.1150203,1.2580913,1.0350847,0.9537037,0.74955726,1.1596671,0.66949165,1.1931535,0.56463003,0.7552395,0.9690671,0.7133394,1.0821344,1.167015,1.2631698,1.3656522,0.9107693,0.592029,0.57396734,0.92583215,0.77413976,1.0522184,1.3522811,1.0890931,0.96289617,0.59380174,1.0617272
apple,1.4441187,0.6835081,0.0,1.2308252,1.366404,0.3600887,0.5726414,0.45518947,1.0464351,1.3823596,1.2431198,1.4647837,1.1418443,1.3695151,1.3775554,0.7440513,1.4236281,0.7124709,0.5318092,0.56323004,1.244116,0.6054064,1.3014898,0.9031132,0.78492856,0.8123289,1.096389,0.8180548,1.2746727,1.4537503,1.0937011,0.6861146,1.3089118,1.2902033,1.0555385,1.2751238,0.6808628,0.8567062,1.3796294,0.64050734,0.39877594,1.4536219,0.550997,1.1664662,1.3495353,1.2386144,1.3518758,1.225748,1.2858814,0.15016448,1.3134047,0.9364622,1.1551898,0.77201396,1.2178689,0.6667427,0.64928705,1.2341876,0.58992255,0.78369206,1.2907917,0.76202315,1.0611993,0.65501547,1.2363502,1.196355,1.2463025,0.7984848,1.2448852,1.3539093,1.4084388,0.9554593,1.3022544,0.58142006,1.4472458,0.82971454,1.0765235,0.646983,1.0458019,1.3895807,1.0300951,1.2080797,1.179761,0.440516,0.6601363,0.76230365,0.73846793,0.0244897,1.2728986,1.0235269,1.4313444,1.4231795,1.2048749,0.5173317,0.4947384,0.2878191,1.2260349,0.81202483,0.60025036,0.6965703,0.5968213,0.59793365,1.2337787,1.1193357,0.700799,1.292029,1.2072389,1.0039511,1.2368349,0.92868024,1.34025,1.1185006,1.2848918,0.62192756,1.3493984,0.9122409,1.3215156,0.55463034,0.4808089,1.2590325,0.4984482,1.1601351,1.2717154,1.3657315,1.4366084,0.48780513,0.7369022,0.43518853,0.6533962,0.69381666,0.46909505,1.3317709,1.1339062,1.2298757,0.6708824,1.3317325
applesauce,0.88897014,1.1309909,1.2308252,0.0,0.9420596,1.0910529,1.0165193,1.0574626,0.9828871,1.1495154,1.0244874,1.0674044,1.1210827,1.1059899,0.7943796,1.259674,1.0620358,1.0559365,1.12929,1.1910253,0.9251059,0.879337,1.0588814,0.9848933,1.0506649,1.1673229,1.0326351,1.096568,1.1297841,1.0317514,0.8674556,1.0834808,1.1625732,1.0430399,0.9239113,0.8509436,1.0214401,0.93290055,1.056466,0.9472834,1.2255876,1.0263964,1.106698,0.7504245,1.0464989,0.7041109,1.1151159,1.0300777,0.9237135,1.156416,1.0805019,1.1256931,0.9823365,0.9281534,1.0971502,1.1401358,0.98920745,0.88919485,1.0514804,0.9773756,0.8550885,1.0614493,0.79886913,0.81987256,0.9965592,0.33096218,0.5625239,1.0257722,1.0796597,1.0771241,1.0892761,0.7722827,1.1332437,1.1407964,1.1001213,1.0896252,1.0073707,1.0895684,0.86703026,0.86209,0.9262666,0.9232542,0.7934259,1.1553086,1.1246681,1.1331459,1.0927424,1.2216604,1.1267406,1.2096744,0.84420276,1.0797222,0.8673737,1.2339872,1.1357067,1.1978208,0.98440665,1.1454011,1.0039032,1.0367252,1.0820893,0.9967289,0.8880031,0.85518456,1.0186521,1.0437783,0.90648437,0.8957816,1.0125504,0.97198415,1.0139608,1.0000125,1.0670848,1.1935229,1.1703783,1.0985193,1.0512123,1.16793,1.1225561,0.9058154,1.0824332,0.90233,0.96623474,0.98881304,0.87990636,1.1762283,0.93573403,1.081465,0.96991205,1.1280379,1.055569,0.7808845,1.0178881,0.99987245,1.0706674,1.0308943
arm,0.53928554,1.2342951,1.366404,0.9420596,0.0,1.3099444,1.2113501,1.28249,1.1826075,0.6951302,0.65843654,0.5280133,1.0782902,0.9810284,0.55233395,1.3005912,0.5384501,1.3298154,1.3587769,1.4262255,0.9923903,1.3469745,1.0423149,1.3345726,1.2712727,1.4376175,1.0072765,0.99162424,0.7315143,0.9583497,0.9995973,1.3794003,0.98909503,0.7653501,0.9301357,0.77234036,1.1402869,1.1318693,0.7250307,1.317205,1.4048218,0.6160586,1.4805037,0.7811731,0.6497527,0.94420266,0.906543,1.0003123,0.67167073,1.3121401,0.6693362,1.1011655,0.8202685,1.1316024,0.7803227,1.3896567,1.2706627,0.8791968,1.4390965,1.152118,0.74559677,1.196485,1.0264087,1.208814,0.80073816,1.0679281,0.62877303,1.3281866,0.6445085,0.7388984,0.47258556,1.2318269,0.65052897,1.4093125,0.7647946,1.2512965,1.0240536,1.294042,1.053655,0.4996907,1.1858661,0.96951467,0.81557345,1.3262509,1.4228942,1.3526251,1.2438126,1.3553668,1.0371244,0.9033448,0.57292855,0.51087415,0.7224808,1.3229573,1.3586338,1.4274707,0.8012761,1.356885,1.3733763,1.3985314,1.3745548,1.3274817,1.1189609,0.9719237,1.2110431,0.9065115,0.80657315,1.1261085,0.7222188,1.0245347,0.5455457,1.0471301,0.630212,1.3892903,0.71859443,1.2456365,0.59680676,1.3938203,1.4854323,0.70559704,1.4843831,0.9204477,1.0776469,0.45255017,0.5103262,1.3631512,1.2257421,1.3829424,1.127439,1.4060224,1.2833176,0.5756732,0.9459082,1.1670058,1.2424808,0.8807343
ball,1.4078832,0.8494945,0.3600887,1.0910529,1.3099444,0.0,0.21055639,0.64402735,0.90046185,1.3362517,1.2001443,1.4134603,1.2180599,1.3540306,1.2833351,0.97399545,1.4014962,0.8481071,0.7239486,0.7358094,1.1464798,0.7509302,1.200475,0.8008507,0.8289993,0.9144343,1.0366552,1.0487626,1.3133445,1.3843608,1.1426657,0.59654427,1.3235171,1.286123,0.9071177,1.2002617,0.773162,0.875769,1.4052371,0.74938595,0.63703966,1.4133701,0.698509,1.0569334,1.3461156,1.1109391,1.2786117,1.1445189,1.2598919,0.3601187,1.277162,0.93325746,1.1230994,0.9192783,1.1319494,0.62192684,0.8106265,1.0451952,0.80347455,0.853186,1.3157921,0.8930445,0.9123718,0.59578574,1.1712197,1.0627453,1.1584111,0.84552276,1.2359354,1.2456592,1.4297969,0.78868973,1.3894658,0.84448075,1.4004936,0.7115568,1.1828532,0.5602058,0.95723265,1.3097558,0.8457383,1.0906163,1.0804433,0.59887296,0.8253032,0.861205,0.8478445,0.37707317,1.2227349,1.0678493,1.3338139,1.4133601,1.0233604,0.78074884,0.76023614,0.61442786,1.2047117,1.0183442,0.8445968,0.8072279,0.759855,0.64732325,1.0642376,1.1709025,0.46445757,1.2272416,1.2188009,1.0103904,1.1758919,0.9011519,1.2968884,0.9196103,1.2655082,0.822214,1.2394584,1.0285366,1.241047,0.7316762,0.43352914,1.1316943,0.74264777,1.001327,1.1573788,1.3043692,1.3535345,0.39901853,0.798865,0.7086734,0.8020362,0.7997073,0.33285654,1.1597185,1.0947429,1.2152934,0.7767142,1.2328451
balloon,1.2109193,0.8705003,0.5726414,1.0165193,1.2113501,0.21055639,0.0,0.8291949,1.0455691,1.2719693,1.1973437,1.276926,1.130112,1.1664289,1.1660537,0.99116474,1.2408564,0.91533375,0.99761623,0.9353334,1.1929691,0.85584867,1.1480591,0.85218984,0.84531,1.0682139,1.0634203,0.8939165,1.2128613,1.2506552,1.0594517,0.7953738,1.3058386,1.1961021,0.83028924,1.0420007,0.7761514,0.94331574,1.1996762,0.9218858,0.847749,1.3178735,0.9199692,1.0392329,1.194727,0.9789776,1.3040715,1.1185141,1.197592,0.5236375,1.2530423,0.86273533,1.0825318,0.8101408,1.1772088,0.6900846,0.90519935,0.91757345,0.9553695,0.7950953,1.1292976,0.90765333,0.9244435,0.61292523,1.077951,0.98308015,0.9794099,0.8971522,1.2015933,1.0522386,1.2864487,0.8451101,1.2064917,0.9454428,1.2538965,0.8668132,1.0048153,0.6660371,1.054777,1.1379704,1.0214245,1.0533898,0.9898053,0.76249665,1.0261371,0.9496278,0.7197037,0.5858984,1.2849445,1.0946171,1.250537,1.2229092,1.040906,0.9442033,0.8913628,0.86946315,1.1220852,1.0226419,0.93978685,0.9265543,0.9076021,0.9075967,0.9861647,1.0542516,0.45309615,1.2822769,1.0955633,0.9940846,1.142319,0.9976113,1.2166283,0.9921279,1.1346049,0.9208082,1.2191471,1.0315583,1.2090104,0.9064694,0.76826656,0.9651161,0.8745695,0.9472244,1.1689101,1.2438887,1.1842906,0.6345538,0.7265492,0.8881575,0.8636768,0.99630654,0.51824486,0.94502866,1.1246176,1.0958785,0.8774731,1.2155585
banana,1.205677,1.0062314,0.45518947,1.0574626,1.28249,0.64402735,0.8291949,0.0,0.8844603,1.282824,1.2237002,1.4235002,1.0784266,1.2914959,1.3064454,0.9608967,1.2367754,0.8034872,0.934541,0.83228433,1.1319637,0.4109162,1.143752,0.94382775,0.8775148,1.0059028,1.1235365,0.89987475,1.3584992,1.3613325,0.8916045,0.79009724,1.3037472,1.2820041,1.1092428,1.0432357,0.7317836,0.6488935,1.4026493,0.43883097,0.6252962,1.3702425,0.8759245,0.9879159,1.281271,1.1229975,1.364402,1.0914015,1.2495067,0.5006102,1.2306132,1.0360436,1.2188433,0.967058,1.1535463,0.79915285,0.41106898,1.1497691,0.6460586,0.48490167,1.2082087,1.015448,0.88114655,0.6902274,1.3034165,0.8940795,1.1142882,1.025655,1.2460049,1.1473047,1.3684961,0.89808834,1.3733339,0.6981123,1.3639157,0.9480948,1.1528653,0.45615512,0.99804175,1.19926,0.9158314,1.1667469,0.8512597,0.9316631,0.79091185,0.94608694,1.037179,0.48299438,1.2022568,1.1338292,1.404612,1.3730246,0.9522172,0.81001866,0.6321951,0.43054664,1.1634706,1.0538309,0.51497525,0.7825073,0.6367527,0.8317094,1.0119984,1.0649154,0.93356705,1.2120085,1.1743404,0.6457698,1.250061,0.6934953,1.3655097,0.92986834,1.237912,0.7968582,1.3423393,1.0073076,1.1716841,0.8511963,0.6087129,1.0640297,0.6111054,1.070923,1.1992021,1.2964071,1.3337084,0.5544311,0.94272274,0.74920666,0.63024986,0.7650616,0.5807347,1.1417335,1.1069967,1.1058,0.9563721,1.3116721
basket,1.1667621,1.1287215,1.0464351,0.9828871,1.1826075,0.90046185,1.0455691,0.8844603,0.0,1.0133086,1.0563872,1.1487148,0.9823895,0.9712447,1.1396663,1.0344951,0.9770926,0.6026825,0.9392138,0.8869748,0.57812905,1.0460819,0.90211797,0.6786224,0.8732604,0.80853385,0.95854384,1.2878656,1.2652408,0.8649471,1.0218517,0.72328264,0.9139397,1.1564399,0.7677156,0.8163095,1.1778755,0.8252964,1.1833372,0.96954846,0.9385907,0.93863666,0.85587764,0.91208017,1.256092,1.08105,0.93488264,0.8115666,0.9111833,1.0456798,1.0962914,1.1476146,1.2973728,1.3126249,0.9324686,0.83563274,0.8859695,1.0465572,0.87286484,0.94516844,1.0184976,1.2173312,0.8889946,0.9217724,1.3201791,0.9890197,1.3088799,1.1190878,1.1997788,1.0853219,1.210773,0.7625129,1.2305349,0.91908073,1.0479172,0.6502865,1.2308652,0.85521513,0.8342633,1.1309261,0.71597624,1.0133549,1.0491858,1.1510484,0.8368423,0.9842116,1.3362455,1.0377591,0.76774764,0.9601899,1.2317358,1.299982,0.8470559,1.0129349,0.8915448,0.9787857,1.1843609,1.0295161,0.9918913,0.7768765,0.9380826,0.9519277,0.7101239,0.9681008,1.1212686,0.74207366,1.1156529,1.0123041,1.2158729,0.6920174,1.342982,0.7196,1.1035515,0.9532834,1.0610911,0.784017,0.9939755,0.99363273,0.7861674,0.9991461,0.9132921,1.0215763,0.80420566,1.267625,1.1718664,0.8002299,1.2589676,1.0978339,0.8744123,0.7626302,0.7930902,1.046774,0.9766498,0.8431139,1.1403214,0.8695327
bathtub,0.7697363,1.1471696,1.3823596,1.1495154,0.6951302,1.3362517,1.2719693,1.282824,1.0133086,0.0,0.81351733,0.52314323,0.9147208,0.6521207,0.7792793,1.0633126,0.6398819,1.1901426,1.2420835,1.0377185,0.7105651,1.4176414,0.8045994,0.8518525,1.2941364,1.0662682,0.9613165,1.1651115,0.78410125,0.6721481,1.0653716,1.1678106,0.6484634,0.8919574,0.921381,0.8907087,1.0860957,1.0943165,0.6268451,1.3978484,1.3326445,0.48271453,1.2038506,0.8705237,0.8419888,1.0185205,0.4878236,0.5642972,0.9117146,1.2565193,0.8199247,1.2429197,0.98085546,1.3028938,0.72902197,1.2470615,1.3057251,1.091571,1.2868516,1.2073935,0.8339269,1.3378134,1.1858369,1.2705617,0.981857,1.1211767,1.0196437,1.3691918,0.9071186,0.6696074,0.6932436,1.1187278,0.7580714,1.2846699,0.5578319,1.0373514,1.1247678,1.2262969,0.876973,0.7973367,1.0105157,1.0021067,0.96299386,1.3531799,1.296235,1.2896605,1.3340881,1.3462183,0.7692006,0.89707047,0.8226044,0.69156617,0.6979652,1.2053198,1.2919004,1.4636451,0.92028856,1.036654,1.3947985,1.2972115,1.0260503,1.300651,0.99757206,0.97210276,1.289175,0.63223886,1.1191245,1.175324,0.9019249,0.946922,0.8048506,1.106961,0.85777354,1.3694849,0.36626077,0.79990923,0.49521858,1.3398018,1.2365425,1.0270923,1.352092,0.7905413,0.9134052,0.74405444,0.55887127,1.187217,1.3676021,1.4217227,1.2699935,1.2786524,1.2955791,0.5032147,0.89252293,1.039495,1.3637111,0.6804851
