,alligator,ankle,apple,arm,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,butterfly,can,car,carrot,cat,chair,chips,clock,closet,coat,coffee,comb,couch,cracker,crayon,crib,cup,dog,doll,door,drawer,dress,egg,elephant,face,finger,fish,flower,foot,fork,frog,glass,glasses,glove,grass,gum,hair,hamburger,hand,hat,horse,hose,jacket,jar,jeans,knife,ladder,lamp,meat,melon,milk,mitten,mop,motorcycle,nail,napkin,necklace,nose,orange,oven,pajamas,pants,paper,pen,pencil,pickle,pig,pillow,plant,plate,pumpkin,purse,radio,refrigerator,rooster,sauce,scarf,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,snow,soap,sock,soup,spoon,sprinkler,strawberry,stroller,sweater,swing,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,vacuum,watch,window
alligator,0.0,0.92156965,1.4572088,0.4925998,1.403724,1.4663374,1.1237915,1.1280358,0.6493401,0.5397664,1.3700094,0.7847762,0.7905284,1.1188157,0.5546606,1.056148,1.155948,1.4905545,1.2448201,1.0587949,1.3044438,1.2424405,1.3767731,1.132399,1.4090545,1.2754439,1.0399501,0.63287604,0.8421637,0.8958886,1.0697553,0.9285098,0.64779264,0.7988671,0.88771576,0.6054389,1.1658622,1.4544837,0.7303033,1.4390647,0.68326014,0.9901323,1.0307164,0.9392727,1.0658412,1.4036405,0.49195963,0.9509395,1.1681737,1.142289,1.3412969,1.2021155,0.9921509,1.1683778,0.6583752,1.2508054,1.1027662,0.8661504,0.9802002,0.77068895,0.6107025,0.7344694,1.4478345,0.7378891,0.90280074,0.6077231,1.0618913,0.6085365,1.3684286,1.1549885,1.2863708,0.42427468,1.0460701,1.0326432,0.50994706,1.0073103,1.2340219,1.2625031,1.4854343,1.3019173,1.0482503,1.3543774,1.1295638,0.58107454,0.6361946,0.6735141,1.407738,1.3609256,1.1823926,1.0942446,1.062202,0.93921083,0.9894382,1.4079478,1.0223328,1.3551121,0.94947165,1.3784763,1.0576482,0.85631603,1.1911985,0.5364924,1.011753,0.66299164,1.4711025,0.7305063,1.3192796,0.86539006,1.4402866,0.80314004,1.4387833,0.8120998,1.3220657,1.046893,0.92324936,1.2752626,1.0047947,0.49159962,0.9051357,0.42023492,1.2990477,1.2685778,1.2947338,0.88079524,1.493105,1.155792,0.9477812,0.9393007,1.4179218,1.4508791,0.84855664
ankle,0.92156965,0.0,1.0501349,0.8253016,0.9812044,1.0814815,1.1356679,0.9707769,1.1227009,1.0702883,1.1718513,1.1461341,0.86779773,0.9672271,0.9729101,1.0584693,1.0054091,0.9925649,1.0943131,1.0194584,1.119183,0.9420469,0.88741994,0.8470993,1.1333046,1.1952572,1.0691674,1.0689949,1.135504,0.89127076,0.9744606,1.0406746,1.0019374,1.1319869,0.99069506,1.1064057,1.1497737,1.1575956,1.0462155,0.9625733,1.0090121,0.67610407,1.0905336,1.0234685,1.0550624,1.0059597,1.0295486,1.0566418,0.9696593,0.9698352,0.94548917,1.0393999,0.9096293,1.0405544,0.955543,1.1478479,0.94144136,0.9954905,0.8380263,1.111501,1.0633373,0.7004845,1.1198475,1.0175525,1.0575049,0.98290604,0.8940077,1.1441926,1.1022291,1.2509453,1.0351461,0.8927715,0.74856836,0.80599105,0.8764222,0.9423357,1.0969329,1.0856522,1.1329967,1.1573389,1.0467235,1.093512,0.87269825,1.0304449,1.1318078,0.8385166,1.1437352,1.1284578,0.9305496,0.9713754,1.0524564,1.0631316,1.0321593,0.9865229,0.9109425,1.1597763,1.0446073,1.1206452,1.1595662,0.8839283,1.1224763,1.0488211,0.92435133,0.9858049,0.9906016,1.0633907,1.0590119,1.0263541,1.0478278,1.0978293,1.1100953,0.7727937,1.2330606,0.91999483,1.0570754,1.038732,0.8937801,1.0511587,1.0473009,0.9896812,1.0373251,0.9406488,1.1539031,0.90822834,1.1196091,0.9950319,1.0771328,0.99455065,1.063103,1.0825946,1.1054392
apple,1.4572088,1.0501349,0.0,1.4031833,0.18939102,0.29276294,0.7159062,1.1361436,1.4753554,1.4476805,0.6557929,1.4868882,1.2100718,1.0113277,1.4290533,0.9730281,0.9669528,0.44295877,0.5556919,1.1702683,0.53433377,0.94964683,0.75395143,0.854488,0.725808,0.80997455,0.9281201,1.2735152,1.4584148,1.007824,0.8724739,1.3071302,1.2532115,1.3518684,1.1115108,1.4589937,0.7117528,0.46850657,1.5047266,0.5479877,1.3601966,1.1130687,1.2867844,1.3230991,1.1096218,0.31372124,1.3934033,1.1351749,0.86342484,0.6713749,0.6140638,0.94346225,0.9443805,0.68396115,1.343845,0.8161167,0.9186164,1.1047995,1.0024269,1.2435241,1.2028003,1.2054148,0.45546317,1.251019,1.1724288,1.333355,1.083288,1.3821751,0.61388814,1.1323106,0.65127695,1.3664725,0.81363106,1.0005504,1.405352,1.2224551,0.9484901,0.49210793,0.6195775,0.857092,1.0591372,0.32047588,1.1431903,1.4279282,1.3855228,1.3302795,0.57648885,0.65548426,0.3183126,0.93403214,0.94834244,1.0773402,0.8241546,0.57385737,1.1757143,0.7806564,1.2312993,0.68594235,0.84966636,1.1834459,0.8948913,1.3966589,1.1239377,1.306904,0.5435288,1.325968,0.8035029,1.185143,0.53153944,1.2655877,0.6015681,1.0582228,0.55361253,0.89033014,1.0841262,0.49653554,1.1232895,1.4040804,1.2813976,1.4169594,0.55362606,0.7561242,0.5908453,1.1489503,0.5762911,0.77094316,1.0681187,1.1620816,0.78680855,0.56312954,1.3178508
arm,0.4925998,0.8253016,1.4031833,0.0,1.31828,1.3672209,1.1131095,1.202202,0.64350605,0.41064048,1.401408,0.63686496,0.83577335,1.1445165,0.5508758,1.1379181,1.2748812,1.4162943,1.4455727,1.1020784,1.345324,1.2067184,1.3978156,1.1341038,1.4304122,1.3134758,0.94234055,0.63770545,0.81345403,1.113105,1.1562116,0.8011717,0.72612596,0.85161936,0.89531916,0.4772144,1.1588018,1.3791564,0.6337405,1.4391572,0.8195289,0.96688014,0.920659,0.8786461,1.1165688,1.3235903,0.56523776,0.71920294,0.9781141,1.2473682,1.3688058,1.2435658,1.2408929,1.3496103,0.7204511,1.1845124,1.1753914,0.84623665,1.077934,0.61876595,0.71762115,0.6647261,1.3739111,0.8411425,0.912967,0.6780227,1.162664,0.5446863,1.3261856,1.1536223,1.3784112,0.5348289,1.1029469,1.0707836,0.52485573,1.0466154,1.2496952,1.1172401,1.4611949,1.3359762,0.8825402,1.3228116,1.0763682,0.5904007,0.5834211,0.80829954,1.3363729,1.3091911,1.2033368,1.0721,1.0438238,0.95475894,1.3391057,1.2539959,1.0335076,1.3322754,0.92767465,1.3806372,1.1749568,0.87556636,1.2637964,0.45803624,1.1780092,0.5434743,1.4999458,0.7085618,1.2709446,0.82717407,1.4511118,0.91316295,1.4511615,0.8948318,1.3925046,1.308128,0.9796794,1.1517124,1.0192064,0.4235975,0.8947848,0.5168178,1.3901651,1.1062107,1.245857,0.85229754,1.4605966,1.2121698,1.138269,0.90161556,1.3735567,1.4370836,0.7835771
ball,1.403724,0.9812044,0.18939102,1.31828,0.0,0.3358395,0.801964,1.0992985,1.4747096,1.3283349,0.72333044,1.3916547,1.1045252,0.9858939,1.3229113,0.87699306,0.94203836,0.58430964,0.6742369,1.1646436,0.62592065,1.0149021,0.75584346,0.7830827,0.843323,0.9154372,0.90789527,1.2771832,1.4035393,1.0430495,0.8354554,1.3172158,1.2160474,1.2748276,1.1047484,1.3325197,0.86712223,0.61530745,1.4246365,0.5982174,1.2734685,1.006679,1.319346,1.3172472,1.0770329,0.24071848,1.321764,1.083559,0.87994915,0.62478,0.65931547,1.0124958,1.031165,0.706016,1.2927693,0.84240353,0.8842103,1.0862192,0.9577695,1.2230973,1.173388,1.1874437,0.45416915,1.2808514,1.1766527,1.2818849,1.0638361,1.3348612,0.73035514,1.1667566,0.65779305,1.3289376,0.84431624,0.98989123,1.2865534,1.2798302,0.8577504,0.5351107,0.73334384,0.89801097,1.0414902,0.40542388,1.1533887,1.3370645,1.3296554,1.2579812,0.6946039,0.7744179,0.4311316,0.92487466,0.82169485,1.1730442,0.88800824,0.62583953,1.1446648,0.78564215,1.208287,0.7474093,0.8223616,1.1702247,0.9515258,1.352705,1.0880139,1.2636845,0.6780719,1.3115963,0.8854471,1.2024508,0.6341138,1.2780929,0.6610482,0.9326671,0.6366646,0.9512687,1.1193191,0.64896464,1.0039098,1.3439646,1.2650732,1.3696988,0.4678225,0.78184265,0.68574953,1.1797012,0.70424855,0.6970507,1.1447706,1.1809283,0.8529252,0.62037164,1.3503265
balloon,1.4663374,1.0814815,0.29276294,1.3672209,0.3358395,0.0,0.6880048,1.243737,1.4023392,1.5196455,0.5225926,1.5475509,1.1752177,1.0407119,1.4362402,1.02581,1.0543448,0.455505,0.5194975,1.2828097,0.47509372,0.9221394,0.7473833,0.88802886,0.65743995,0.82667124,0.816285,1.1568868,1.485884,1.1104184,0.5441475,1.3565063,1.2937602,1.4602437,1.1321216,1.4937941,0.5641126,0.40383184,1.5589794,0.5387797,1.3502009,1.1789907,1.2886219,1.3682177,1.0884194,0.23270309,1.3806757,1.0750281,0.7002588,0.59587264,0.8212046,0.80741763,0.85949314,0.8554908,1.3618629,0.7057583,0.9896235,0.95540243,1.1009917,1.2475218,1.2351052,1.1679986,0.3427986,1.2500833,1.2045219,1.4180553,1.0920855,1.4037097,0.5403127,1.0880377,0.41627687,1.4237173,0.8404673,1.0514718,1.4620976,1.1728014,1.0167494,0.37451237,0.5132681,0.61147976,0.8793086,0.34766597,1.1741902,1.4896312,1.3798218,1.4018962,0.5184596,0.557673,0.69228166,0.8896462,0.8650093,1.2005687,0.7602105,0.46829313,1.2620124,0.7785209,1.3440233,0.66717196,0.6996858,1.2156398,0.83707994,1.4193586,1.093482,1.3351388,0.5064719,1.3745887,0.79010355,1.234728,0.41711617,1.0352273,0.5936911,1.0688213,0.5128956,0.8059645,1.173648,0.46201354,1.1396289,1.4707947,1.3450835,1.5271698,0.50247055,0.60733676,0.5073313,1.1554023,0.4841851,0.92667973,1.0475142,1.2218724,0.69036794,0.4602847,1.3297672
banana,1.1237915,1.1356679,0.7159062,1.1131095,0.801964,0.6880048,0.0,1.2284144,1.1891779,1.2100328,1.026326,1.2173667,0.96789575,1.0549872,1.1677663,0.98764783,1.0817922,1.0460887,0.9761327,1.1774027,0.72551966,0.9643726,1.0836365,1.0196131,1.0611732,1.0659289,0.6272129,1.1746844,1.3114185,0.9901682,0.8078096,1.1952057,1.2441825,1.1472498,1.1573286,1.2179576,0.644959,0.81930315,1.1833316,1.049457,1.1983047,0.92156416,1.1710122,1.1408746,1.0745788,0.7449824,1.1802381,0.98997456,0.6239892,0.9944159,0.96922386,0.8951695,0.9452298,0.6604396,1.1371195,0.78060085,0.7649435,1.1135168,0.95169264,1.1093136,0.9071195,0.7831111,0.78811896,1.162756,1.0047663,1.2777168,1.0214611,1.1124904,0.86077267,1.1196324,0.9311245,1.1042817,0.8445187,1.1041343,0.8793101,1.0522833,0.9366551,0.85164094,0.90671027,0.8497277,0.7577442,0.7609308,1.2624058,1.1025398,1.0767198,1.1889975,0.8847268,0.8181407,0.795853,0.81365484,0.9513134,1.180692,0.98760617,0.75040495,1.2089674,1.0251068,1.134701,0.90811694,0.7247247,1.2375182,0.70164174,1.1649415,0.9836296,0.9992224,0.935303,1.149159,1.1130036,1.0590805,0.83754456,0.9140808,0.8991524,0.99766135,0.9136268,0.94865596,0.9794093,1.04328,0.8892707,1.2091527,1.1111723,1.2368815,0.8507856,0.64708817,0.7760682,0.7649075,0.88611746,0.7160037,1.0679675,1.0810996,1.1293874,0.83229876,1.3440293
basket,1.1280358,0.9707769,1.1361436,1.202202,1.0992985,1.243737,1.2284144,0.0,0.9731082,1.0610702,1.0280231,0.9112253,0.9655478,0.98065495,0.982279,1.0160929,0.61288977,0.9465088,0.80843717,0.33373177,0.9763358,0.95382345,0.60699064,0.98679346,0.8254366,0.9996392,1.2474561,1.1845458,0.7196989,0.8061386,1.1741633,0.87808186,1.1577576,0.6054914,0.885711,1.0195336,1.2234251,1.1873189,0.8416257,0.78301406,0.9869778,0.9324411,0.87949103,0.65621597,0.8739445,1.1427133,1.0907917,1.2656959,1.2841549,1.0000166,0.8626525,0.9925404,0.9399796,0.9940636,0.90396905,1.2388915,0.8061704,1.2457353,0.7805986,1.238284,0.9922064,1.1600515,1.155383,1.0265535,1.0941032,1.0744773,0.674289,1.2477509,1.1449041,0.755932,1.0345709,0.99060476,0.84089094,0.7420107,0.9328803,0.8872769,0.8919208,1.3821915,0.9960595,1.0851543,1.3034391,1.0769458,0.722061,1.0216309,1.2125607,0.81247234,1.1541126,1.1379067,0.9729765,1.0787598,0.9515501,0.9909444,0.77987266,1.0936614,0.511367,0.82121634,0.69302696,1.004186,0.9322626,1.0299617,0.9595278,1.1633816,0.8126532,1.2116759,0.94049287,1.1208254,0.7061942,1.1097862,1.0628035,1.2229793,0.9549645,0.9218602,1.0729804,0.92926633,1.0871747,1.2057767,0.86329395,1.1507535,0.9855846,0.96231294,1.0164033,1.2859402,1.2557976,1.1146442,1.0082369,0.9108617,0.66703254,1.0407248,0.8834588,1.1076725,1.0008836
bathtub,0.6493401,1.1227009,1.4753554,0.64350605,1.4747096,1.4023392,1.1891779,0.9731082,0.0,0.56966907,1.2025892,0.5605738,0.9616854,1.0965911,0.7605784,1.0400512,1.114025,1.4201466,1.1758685,0.83865905,1.4212966,1.0042892,1.211939,1.1901735,1.0860971,1.1710826,1.0690215,0.67143244,0.57731575,1.0369902,1.0599347,0.6427912,0.8514634,0.7532284,0.97529453,0.6151508,1.1324314,1.3332839,0.470235,1.3083491,0.7210172,1.1987813,0.60350645,0.55502135,1.1406183,1.4071002,0.67990094,0.9980301,1.2269329,1.3011515,1.432134,1.2142441,1.0265017,1.2617548,0.6755281,1.3180655,1.2094425,0.6698185,0.93360806,0.8818011,0.8811823,0.98343974,1.5213274,0.7601639,0.92500263,0.81379426,1.0330423,0.6693039,1.2303121,0.8090074,1.2665576,0.7595195,1.1581085,1.0815059,0.7746157,0.81297725,1.1986907,1.3151114,1.354117,1.257766,1.1272587,1.4332663,0.84150445,0.7679832,0.6550954,0.6648731,1.226663,1.1949916,1.2121074,1.1488183,1.0862805,0.8945993,1.0213084,1.3903219,0.9749223,1.155465,0.92585266,1.3509648,1.1118922,0.8589772,1.0709836,0.71441627,1.1056061,0.78200024,1.3167777,0.49973452,0.9866822,0.77367187,1.4880378,0.7206098,1.203346,0.99320656,1.2900035,1.0323029,0.994164,1.2587426,1.0008818,0.71697307,0.9176644,0.546794,1.2531922,1.3483381,1.3172934,0.8633239,1.402216,1.1778586,0.7134367,0.9129925,1.1551253,1.4654442,0.6776185
bed,0.5397664,1.0702883,1.4476805,0.41064048,1.3283349,1.5196455,1.2100328,1.0610702,0.56966907,0.0,1.401182,0.33069032,0.7661398,1.1396483,0.22260672,0.97924966,1.1384839,1.5260876,1.4364129,0.97492766,1.4388645,1.3207476,1.4509847,1.1450064,1.4204669,1.3283273,1.073007,0.72499204,0.6030446,1.0786949,1.2957644,0.7409112,0.7724866,0.56286234,1.0474075,0.083292484,1.2625947,1.5038235,0.42474508,1.5110004,0.59655297,0.8934896,0.85759413,0.7770579,1.0972319,1.425123,0.4533409,0.785483,1.1862555,1.2365452,1.385741,1.2765086,1.312732,1.2045038,0.756145,1.2216305,1.1536696,0.9356829,0.99587715,0.68274826,0.67666733,0.8620886,1.3814458,0.7925207,0.8841312,0.63298875,1.1320994,0.38734734,1.4675473,1.0488063,1.4792991,0.52271694,1.2078648,1.1087525,0.52695477,1.1143714,1.0436018,1.2496121,1.4723493,1.3935624,1.0183545,1.3995712,1.0681236,0.4723189,0.46498495,0.7344515,1.4637859,1.4708886,1.2385012,1.0390623,0.71237105,0.9237627,1.2803112,1.4237349,1.0110074,1.3142956,0.7822391,1.3979714,1.2549714,0.86886036,1.35948,0.5046998,1.2107031,0.47941864,1.5722837,0.5873386,1.3482966,0.8099893,1.5387241,0.9039252,1.4048014,0.85527253,1.365953,1.3515092,0.9239096,1.2470515,1.006359,0.46653593,0.8194424,0.37935287,1.3455057,1.2808391,1.351764,1.0262463,1.4856248,1.1007531,1.1000268,0.8802512,1.4336736,1.4948378,0.74293244
