,alligator,apple,ball,balloon,banana,basket,bathtub,bed,bench,bib,blanket,book,bottle,bowl,box,bread,bucket,can,car,cat,chair,clock,closet,coffee,corn,couch,crayon,crib,cup,dog,doll,door,drawer,ear,face,firetruck,fish,flower,frog,glasses,glove,grass,gum,hair,hand,hat,jacket,jeans,knife,ladder,lamp,melon,mitten,nail,napkin,oven,pants,paper,pen,pencil,pillow,plant,plate,pumpkin,purse,radio,refrigerator,rooster,scarf,scissors,shirt,shoe,shovel,sink,slide,slipper,soap,sock,spoon,sweater,table,tape,toe,toothbrush,towel,toy,tray,tree,vacuum,window
alligator,0.0,1.2897518,1.1976483,1.1979401,1.0453972,1.1496274,1.0534399,0.32250118,0.9350127,0.9081896,0.12174094,1.2966506,1.331466,1.407043,1.1796212,1.2478204,1.3687646,1.2698159,1.2280959,1.23036,1.2063367,1.2015117,1.2027581,0.8951316,0.5616955,0.7854688,1.2504289,0.864603,1.3930078,0.86442405,1.0320647,1.0994192,1.1329875,1.091023,0.8679574,1.050105,0.77954507,1.2551874,0.18996716,1.3151275,0.8274318,0.7432406,0.97284126,1.0718238,0.9986418,1.1933658,0.7890878,0.90108067,1.075149,0.94015616,1.1919401,0.9773874,0.5044232,1.2583787,1.3311222,1.0889705,0.9290909,1.099284,1.2158573,1.0091478,1.2134365,1.0809338,1.3549443,1.3042879,0.9945838,1.1616404,0.94897443,1.1498604,1.0163721,1.085571,0.9079,0.8343891,1.4495591,1.0949223,1.1483666,1.3340142,1.2214644,0.6895771,1.2164725,0.7610223,0.8390065,1.338277,1.3109136,1.0510163,1.3209555,0.39176613,0.990879,0.95026,1.3412706,0.8887397
apple,1.2897518,0.0,0.36863136,0.5312222,1.0863158,0.6764861,1.2406814,1.2945956,1.4234455,1.2637639,1.2933302,0.5180051,0.3490026,0.3680606,0.9256866,0.5849831,0.6396774,0.41706735,1.029547,0.8333099,1.2083957,0.727726,1.1096199,1.3942215,1.3411736,1.3392787,0.37051976,1.4849191,0.3680489,1.1115354,1.108497,1.2648311,1.2090496,1.0388047,1.117629,1.0979272,1.2279123,0.9878934,1.2509325,0.7087951,1.2464473,1.0755876,1.1349626,0.9305872,1.2624686,0.49512947,1.2059647,1.2687933,0.9881489,1.2460496,0.8998152,1.1647325,1.3150206,0.19156212,0.91070235,1.3995072,1.2860574,1.0393482,0.8305847,1.1589465,0.8733178,1.1063284,0.5827895,0.5405437,1.1671184,0.9082594,1.4105177,1.1086539,1.2622981,0.8887013,1.1078664,0.9619444,0.42354888,1.2010932,1.0590996,0.52184594,0.3246982,1.2824972,0.8365648,1.2680413,1.4887869,0.43422937,0.4339007,1.0314233,0.87163097,0.957776,1.264874,1.1664903,0.6569643,1.3160114
ball,1.1976483,0.36863136,0.0,0.67275804,1.2103606,0.5369463,1.210591,1.268261,1.3449888,1.2855271,1.2371874,0.51249254,0.29236156,0.48839563,0.7659129,0.6494026,0.49442106,0.38213503,1.0854665,0.9092502,1.0448477,0.7956548,0.9564955,1.2548724,1.3232602,1.3668985,0.5072233,1.3874831,0.3528651,1.1907617,1.0576438,1.0246291,1.1280917,1.251884,1.2291834,1.1050653,1.2078042,0.80988216,1.1582528,0.7988442,1.186563,1.0565443,1.0355157,1.0498612,1.3612018,0.60458624,1.3189237,1.317507,0.74011207,1.2520571,0.8959632,1.1927116,1.2186804,0.3825022,0.8975898,1.2519541,1.33863,0.9941188,0.8951304,1.2273355,0.9212668,0.8564815,0.6636649,0.6447106,0.9759107,0.7117762,1.2381434,1.2180517,1.2935369,0.9299983,1.2335961,0.9729376,0.55049133,1.0673082,1.091348,0.656635,0.47480613,1.1835285,0.9637766,1.3653506,1.3143382,0.45198852,0.7782434,1.0566422,0.8253531,0.8773375,1.1708801,1.1176068,0.65285516,1.2507696
balloon,1.1979401,0.5312222,0.67275804,0.0,0.8601508,0.8773775,1.2125859,1.2162946,1.364031,1.1304165,1.2100669,0.8013196,0.82940775,0.80265236,0.96489847,0.66804564,0.83234584,0.9217428,0.9779921,0.66383266,1.2516098,0.777038,1.158875,1.277015,1.2694669,1.2340093,0.85085344,1.3191643,0.79500735,1.059271,0.7730487,1.2416477,1.0927727,0.9568843,1.0861713,1.1332064,1.1997925,0.9848239,1.0555432,0.74683064,1.0568142,1.0328456,0.8962813,0.89720356,1.1126013,0.5423494,1.1902528,1.2165562,1.1700289,1.027543,0.8210761,0.9420325,1.0783904,0.8008505,0.9987712,1.3367362,1.2367084,1.0590842,0.97951496,1.0194448,0.7970724,1.025181,0.5828519,0.6044651,0.9185751,0.9454973,1.2762163,1.0907239,1.1493044,0.95540935,1.1314332,0.9702159,0.7613361,1.1252488,1.0294946,0.69642776,0.9440659,1.1255093,0.75293666,1.1733254,1.3255922,0.3883369,0.69212115,1.0434585,0.98884404,0.7415005,0.99484026,1.1322991,0.9100548,1.3002334
banana,1.0453972,1.0863158,1.2103606,0.8601508,0.0,1.3491126,1.0574834,0.99203324,0.9914124,0.8684902,1.0197169,1.18805,1.3257666,1.1283257,1.1130229,1.1884698,1.2590353,1.2379689,0.9514036,1.0200392,1.2735318,1.0894487,1.1915772,0.9278636,0.9644408,0.8817363,1.1911302,0.806895,1.1639225,0.9527408,0.9002474,1.2211292,1.1348244,0.8581103,0.91179365,1.038703,0.91234934,1.2672261,1.0218111,1.0842886,0.8119128,0.9933812,0.84616643,1.0454751,0.7141679,1.1224886,0.84321004,0.8985112,1.351815,0.8625384,1.0691028,0.19147521,0.87883496,1.1635717,1.0278482,0.9474817,0.79888654,1.1902694,1.2409931,0.6937926,1.0737894,1.2329309,1.0504682,1.1586869,0.9595786,1.2804983,0.9919848,0.95426524,0.70202166,1.1626813,0.9288265,1.0752933,1.1383994,1.1202267,1.0336608,1.083064,1.2461735,0.974931,0.91464114,0.79695433,0.9820605,0.9748946,0.92630154,1.1239403,1.1114259,1.0975524,0.94451016,1.1024148,1.1667495,1.0416626
basket,1.1496274,0.6764861,0.5369463,0.8773775,1.3491126,0.0,1.2021724,1.2423205,1.255791,1.2603097,1.1518333,0.50774086,0.40119535,0.6633932,0.50861526,0.61445636,0.46364665,0.6223419,1.1754668,0.8810453,0.92184913,0.9159438,0.8816628,1.2443548,1.2916772,1.3935913,0.6279081,1.3472085,0.5465237,1.1992439,1.0165956,0.91115475,0.97379094,1.2794018,1.278301,1.1293519,1.2366227,0.65147257,1.1163013,0.7982966,1.2304933,1.1495768,1.0510675,1.1112926,1.3925455,0.6900656,1.3803065,1.3650839,0.6312524,1.2089657,0.78568965,1.1873549,1.2526163,0.6529446,0.88474786,1.2245381,1.4330425,0.84036446,0.708393,1.309477,0.88299036,0.75813484,0.6028385,0.44109344,0.8442725,0.53504956,1.2269757,1.2282887,1.2888399,0.6883519,1.3278942,0.95993036,0.6668904,0.92650247,0.8535955,0.71324253,0.6023383,1.142858,1.0405562,1.364919,1.2676336,0.6413337,0.97942674,0.8470694,0.7972548,0.82676387,1.1123967,1.0752287,0.6470537,1.211073
bathtub,1.0534399,1.2406814,1.210591,1.2125859,1.0574834,1.2021724,0.0,1.0448303,0.7241255,0.9799569,1.0796416,1.0674762,1.1909105,0.79075015,0.93630445,1.1351594,1.0030067,0.9760343,0.65628874,1.0318696,0.81871337,0.9099729,0.7525493,0.9067733,0.9868087,0.89840925,1.086752,0.8000698,1.0323361,1.0130185,1.2151351,0.7762696,0.6258434,1.0284132,1.0624788,0.89663684,1.098057,0.99760926,1.1188796,1.0988576,1.0858395,1.0519811,1.1590352,1.1229042,0.97657293,1.3645594,1.0640125,0.9411679,1.1136698,0.87122023,0.8529895,1.1667643,1.1670709,1.2195101,0.9921862,0.6837403,0.9271329,0.95658314,0.8837839,1.0165255,0.92329603,1.1132973,1.0668638,1.262542,1.1351024,1.0977349,0.7561325,0.89884686,0.958198,1.0113541,1.0470743,1.1358919,1.0736561,0.7832149,0.928048,1.136924,1.1957014,1.1848366,0.9088287,0.9654634,0.876021,1.16953,1.1480142,1.0312958,0.9752276,1.2380884,1.0043187,0.8471538,0.91160566,0.84551084
bed,0.32250118,1.2945956,1.268261,1.2162946,0.99203324,1.2423205,1.0448303,0.0,0.8750296,0.8587345,0.11430645,1.3669453,1.4515544,1.4731424,1.2243931,1.2617924,1.4559596,1.3242857,1.2749734,1.3794197,1.1653832,1.2043552,1.1933118,0.7307037,0.7075039,0.5133313,1.3496392,0.71618915,1.5019135,0.8899669,1.0720942,1.0703547,1.155102,1.1354511,0.75146383,0.924539,0.62155676,1.375825,0.34958863,1.3690645,0.9458154,0.71876705,1.0335691,1.0696245,1.0488417,1.2104287,0.63849324,0.73467386,1.1789845,0.90029097,1.2735322,0.9294752,0.69310564,1.2651827,1.3918468,0.9907164,0.77575254,1.063981,1.2955924,1.0984973,1.164242,1.2050464,1.3992207,1.3863742,1.0945318,1.1875932,0.918279,1.2575856,0.97707695,1.0999464,0.78011084,0.87306046,1.5146655,1.1276926,1.2083472,1.3845837,1.2765677,0.7169479,1.226054,0.6062735,0.67219627,1.4053183,1.3347437,1.0050693,1.3962306,0.5946325,0.9682088,0.8856498,1.391942,0.74390656
bench,0.9350127,1.4234455,1.3449888,1.364031,0.9914124,1.255791,0.7241255,0.8750296,0.0,0.8525156,0.9363881,1.2398037,1.3942174,1.2696946,1.0787369,1.3028805,1.240129,1.2680926,0.9134626,1.1079767,0.5328266,1.26355,0.6740114,0.6341894,0.7218847,0.50067747,1.400119,0.43325192,1.3149891,0.94063,1.100905,0.75866103,0.85111576,0.99964386,1.0394856,0.93182594,1.0612732,1.0777761,1.0222576,1.3716885,0.9001466,1.0570716,1.0899233,1.1789862,0.915329,1.3878343,0.9917883,0.74085796,1.0978665,0.6604338,1.0737301,0.90455973,0.9041681,1.3471975,1.0594547,0.5797493,0.7353705,0.8905738,1.2028015,0.88984984,0.91662776,1.0655239,1.3672541,1.3506889,0.9275463,1.0744766,0.5887416,0.9029379,0.9051054,1.2027082,1.0647291,1.0289028,1.330016,0.74735034,0.9663513,1.2788798,1.2537192,0.8759042,1.2838192,0.86089563,0.42976618,1.3925072,1.3210479,1.0935917,1.1140398,1.1935264,0.6739025,0.9392313,1.2893867,0.6700215
bib,0.9081896,1.2637639,1.2855271,1.1304165,0.8684902,1.2603097,0.9799569,0.8587345,0.8525156,0.0,0.89208627,1.2412341,1.3191677,1.3090191,1.1098179,1.2341368,1.2904826,1.2807294,0.8352543,1.1491257,1.0057621,1.1853976,1.0882136,0.9247103,0.9240197,0.7589163,1.2981021,0.7591347,1.2568645,0.8767879,0.9652877,0.99904615,1.0777495,1.0515201,0.7939823,0.98927754,0.8205902,1.2610126,0.94575083,1.1137075,0.81227434,1.0573534,0.90249634,1.01681,0.872769,1.0635631,0.64243776,0.7580551,1.129563,0.90172267,1.2637223,0.9040715,0.9102557,1.3008733,0.92924994,0.8455495,0.588343,1.0336746,1.1869289,0.81382227,1.0874567,1.2152797,1.3048462,1.1404028,0.9797641,1.2233486,0.8265989,0.8535422,0.62027633,1.2631276,0.75447106,0.93981034,1.1954489,1.1280926,1.0801048,1.1944971,1.274742,0.97620165,1.1353328,0.598593,0.8457371,1.2432008,1.1032786,1.162853,0.9918421,1.0995764,0.9436946,1.124003,1.2250717,0.96366745
