,alligator,apple,arm,ball,balloon,basket,bed,belt,bench,bib,blanket,boat,book,bottle,bowl,box,bread,bucket,can,car,carrot,cat,chair,clock,couch,crayon,crib,cup,dog,doll,drawer,egg,face,finger,fish,flower,frog,glass,glasses,glove,grass,gum,hair,hand,hat,horse,hose,jacket,jeans,knife,ladder,lamp,melon,mitten,motorcycle,muffin,nail,napkin,necklace,oven,pajamas,pants,paper,pen,pencil,pillow,pizza,plate,pumpkin,purse,radio,scissors,shirt,shoe,shorts,shovel,sink,slide,slipper,snow,sock,spoon,sprinkler,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,vacuum,watch
alligator,0.0,1.2696512,0.6621814,1.2901273,1.2343891,1.3557448,0.55172503,1.2174124,0.96013755,0.76178885,0.59407634,1.2609876,0.9690811,1.446572,1.4096382,1.1502261,0.989616,1.3135138,1.339828,1.409765,0.9889237,1.0385718,1.0890785,0.95035416,0.6029116,1.4553556,0.89827925,1.4004638,0.8628504,0.9715059,1.2546655,1.320123,0.76219326,1.2099704,0.932503,1.2212812,0.8778078,1.0843097,1.2353227,0.7586554,0.7893871,1.4056766,0.8880617,0.7718495,1.2760575,0.69105124,1.0797995,0.39451826,0.7206191,0.98259836,1.0916728,1.4149902,1.0489893,0.6460659,0.903985,1.0539318,1.2475419,0.86241204,1.3226709,1.3474659,0.5914186,0.51564616,0.97666866,1.1230464,0.9340133,1.0958631,1.0633098,1.0705684,1.3010049,1.2713912,1.2572489,1.1569022,0.63516104,0.7936595,0.67335755,1.2540619,0.8435865,0.8597168,1.3503124,0.8689525,1.0664941,0.9852784,0.90851223,0.5058663,0.77285886,1.3445888,1.1747524,1.1840072,1.0612962,0.7948472,1.3453159,1.2264855,0.99564606,1.2559917
apple,1.2696512,0.0,1.3487732,0.59686327,0.6350698,0.92438245,1.3914709,0.6429931,1.2075794,1.2910624,1.3030403,0.8234768,1.1304226,0.59317803,0.40058613,1.0838865,1.1655786,0.51521045,0.7295046,0.7526469,1.0088722,0.9023508,1.1078311,1.1482857,1.3894429,0.4221844,1.2369264,0.48565853,1.1965119,1.1228794,0.91507715,0.66286445,1.0565945,0.71576303,0.9368044,0.8297349,1.2061068,1.0415332,0.72474134,1.1733854,1.1310223,0.5435945,1.3363138,1.3134046,0.6879805,1.2402363,1.0436583,1.157426,1.2587353,0.6749328,0.9833484,0.55290806,1.0097462,1.2456276,1.2247603,1.151751,0.5159154,1.2356664,0.6411428,0.68777186,1.3702478,1.260664,1.3712137,0.85793746,1.2622714,0.9992671,0.8887176,1.0841444,0.6375,1.155128,0.9139985,0.94565934,1.115934,1.3494453,1.1589485,0.93931866,1.251905,1.244413,0.66742,1.1291262,1.1113083,0.95362926,1.0557847,1.2615936,1.3203039,0.88981104,0.737751,0.8880786,0.8642856,1.3219371,0.91303796,0.56424963,1.2853541,0.77035034
arm,0.6621814,1.3487732,0.0,1.331919,1.2368056,1.0819466,0.6529901,1.1870664,0.59001696,0.87983537,0.7220104,1.194806,0.94191706,1.3934288,1.3847361,0.9121665,1.0363561,1.2279837,1.1257992,1.3370942,0.9591921,1.1151595,0.89043176,0.96950614,0.59955144,1.4125435,0.69394696,1.2665356,0.8068986,1.0638486,1.1692557,1.2564425,0.78729534,1.205722,1.0201186,1.1349413,0.99178916,1.1334682,1.2646265,0.9851264,0.93169886,1.338412,0.82223856,0.8664428,1.2634037,0.8751855,1.0236324,0.71392083,0.7731688,1.0299999,0.85107005,1.4409335,0.9624347,0.78040993,1.0310081,1.0393081,1.2673175,0.9897556,1.2384725,1.1774765,0.80680656,0.74516,0.8267132,1.171873,0.8010705,1.091885,1.246659,1.0988098,1.2379667,1.0752602,1.2492753,1.2205458,0.8720857,0.8590592,0.9513727,1.2595751,0.6630826,0.7936585,1.3838804,0.8709186,0.92417777,1.1151575,0.95669246,0.7153969,0.7225448,1.1399308,1.177599,1.132656,1.096529,0.9249347,1.3011053,1.1961222,0.7825347,1.235527
ball,1.2901273,0.59686327,1.331919,0.0,0.5477785,0.70148534,1.377529,0.9619063,1.2751021,1.3050928,1.4053776,0.72496235,1.0850592,0.5214639,0.59062374,0.9369664,1.1424665,0.64663464,0.88721883,0.75475997,1.0893551,1.0662026,1.1342186,1.0559893,1.4416972,0.6315608,1.2883894,0.61987567,1.1253545,0.99726784,0.96523136,0.57903326,1.0300248,0.9831858,0.9588678,0.63948774,0.99691015,0.9706801,0.6735326,1.0546533,1.2090386,0.5409471,1.2879467,1.2902824,0.5135798,1.2689016,0.9883837,1.2701671,1.3649132,1.0218041,1.0826443,0.52196395,1.1677824,1.3057445,1.1827092,1.1419079,0.49961293,1.1085485,0.9079448,0.8202123,1.3305562,1.2942855,1.3062358,0.96835625,1.2119026,0.95542485,0.9822726,1.0173793,0.59038514,0.9146212,0.8327192,1.0316851,1.21127,1.1028489,1.204588,0.861796,1.2688411,1.062918,0.6439466,1.1107293,0.99480176,1.0658808,1.0385178,1.3838096,1.183005,0.7978959,0.82175934,0.8640948,1.0330029,1.14611,0.5639047,0.7106627,1.1046216,0.552034
balloon,1.2343891,0.6350698,1.2368056,0.5477785,0.0,0.90613484,1.2238959,1.0441921,1.1470101,1.289382,1.3070093,0.7891172,1.0044026,0.5648422,0.79877794,0.7646747,1.2895131,0.8399311,0.84678185,0.6463006,1.0491811,1.1600534,1.0838068,1.0347247,1.3016547,0.80614394,1.1910698,0.7238247,1.1600347,0.9844475,0.98799235,0.46641338,1.1250689,1.0635995,0.95528203,0.8336879,1.0930539,0.77959144,0.96856344,1.0638446,1.2327566,0.7119397,1.2336926,1.1588506,0.6798311,1.2687624,1.0008491,1.2188294,1.2539451,1.0002879,1.0870503,0.70159173,1.186653,1.1200042,1.1147721,1.2958663,0.6561018,1.0174032,1.0311836,0.954246,1.2509468,1.2621788,1.1210406,1.0551873,1.0333569,0.8033206,1.1297036,0.9227472,0.8369975,0.8000222,0.8739355,1.0268033,1.1867895,1.0650417,1.0347823,0.7574624,1.0700171,1.0545497,0.72746503,1.0619341,1.0507298,0.9267581,1.1267694,1.3180952,1.1181602,0.85998774,0.84663874,0.77930146,1.0588269,1.0469847,0.55173516,0.9441408,1.0534716,0.9051028
basket,1.3557448,0.92438245,1.0819466,0.70148534,0.90613484,0.0,1.2770535,0.7818917,0.9699981,1.2243288,1.254246,0.73314613,1.0902786,0.753317,0.75409675,0.767048,1.0397966,0.64974236,0.6432997,0.83455414,1.0928202,1.0881343,0.6844226,1.1579391,1.2702405,0.751959,1.0364366,0.7806947,1.2048051,0.8175547,0.7477412,0.75211716,1.1502182,0.9649654,1.142986,0.6406308,1.1487218,1.1416097,0.73992133,1.0684899,1.2123,0.73415923,1.1412106,1.2776066,0.6264527,1.2456274,1.0585206,1.3604157,1.256285,1.1076269,0.7840142,0.7007494,1.0472236,1.3549207,1.15356,1.0432065,0.8915437,1.1083223,0.8875145,0.7364608,1.386858,1.2929468,1.1457978,0.8357321,1.1504688,1.000109,1.0412148,0.9932111,0.4616456,0.70942366,0.76971024,1.0132774,1.1685019,1.1804193,1.2954502,0.9846457,1.2309476,1.026794,0.7422887,1.1912221,1.0480291,1.182905,0.99508685,1.3008556,1.2919695,0.79131556,0.9472077,0.8680499,1.1302409,1.136498,0.856785,0.7076798,0.7984574,0.76273566
bed,0.55172503,1.3914709,0.6529901,1.377529,1.2238959,1.2770535,0.0,1.318851,0.7321471,0.6860721,0.1423958,1.2259712,0.88930595,1.4273683,1.5477613,0.9989641,0.9575642,1.5001235,1.2485242,1.3071771,1.0764191,1.0215352,0.86045945,0.82586,0.16591811,1.5428851,0.46692294,1.4580834,0.8155088,1.0762364,1.2353767,1.3966696,0.85846454,1.4133867,1.1320999,1.2401892,0.8955101,1.0747739,1.415828,1.0025886,0.88960814,1.5139658,0.82902646,0.9276722,1.2910476,0.87915385,1.0368636,0.60293055,0.62511766,1.1550665,1.011829,1.4949467,0.9489335,0.68981904,0.95626664,0.9665778,1.3888727,0.8226466,1.4349229,1.3423811,0.4869718,0.6082674,0.7894075,1.3341335,0.9573358,0.81372166,1.0952756,0.97533876,1.3828537,1.0567261,1.241749,1.1718472,0.75434184,0.7193588,0.64991796,1.2762754,0.7732237,0.6355002,1.4825572,0.6864269,1.0776398,0.9564158,1.0837555,0.5896518,0.5898322,1.2937052,1.4483829,1.1315222,1.2726156,0.7408929,1.1876267,1.3229649,0.9518718,1.365649
belt,1.2174124,0.6429931,1.1870664,0.9619063,1.0441921,0.7818917,1.318851,0.0,1.0940691,0.94540983,1.2202743,0.85800004,1.2455887,0.92618936,0.6777529,1.1265968,0.95203173,0.81423885,0.8029914,0.943264,0.8885143,0.78569794,0.79767954,1.2018436,1.1908879,0.74637514,1.1182266,0.8611585,1.0119774,0.8911958,0.87234354,0.8746469,1.125273,0.41041976,0.99666816,0.9281828,1.3788795,1.2404417,0.56328094,0.8870492,0.9696199,0.8761178,0.9975495,1.2517124,0.7907316,0.9851034,1.2254802,1.2204314,0.95687664,0.8125799,0.90842986,0.74071366,0.8453121,1.1374238,1.1917859,0.9182496,0.7917211,1.2261555,0.43604338,0.68710905,1.2818344,1.1269982,1.3438554,0.66814804,1.2681661,1.1367111,0.80497426,1.1593114,0.81658185,1.1057659,1.0231907,0.9316819,1.0620018,1.3572061,1.1633624,1.0707918,1.2202481,1.2666569,0.7051004,1.2366536,1.0520087,1.1889807,0.9272269,1.1058615,1.3980926,1.0582191,0.72064686,1.0305911,0.9371762,1.2927934,1.2893867,0.74867857,1.055876,0.81811625
bench,0.96013755,1.2075794,0.59001696,1.2751021,1.1470101,0.9699981,0.7321471,1.0940691,0.0,0.83689755,0.7460061,0.87758815,0.91591215,1.315573,1.2432525,0.8324044,1.0196223,1.069558,0.98483074,1.1759193,1.0305941,1.2169822,0.63967854,1.0228528,0.59779453,1.3223505,0.40797716,1.1936474,0.94727755,0.9198816,0.8146434,1.2226415,0.9839377,1.1919427,0.927996,1.0533692,1.0356234,1.1414125,1.2290711,1.0565759,1.032737,1.2783747,0.93955225,1.0195616,1.1281469,1.063679,0.93034154,0.9860163,1.0082239,1.0733842,0.35283905,1.2981844,0.89122826,0.8665553,1.0106257,1.0265181,1.3390551,1.0275221,1.1617558,1.1230322,0.9199828,0.809872,0.91177434,1.1069638,0.9529408,0.8476162,1.1796587,1.0229713,1.1758898,0.9207014,0.953184,1.0699052,1.0595391,0.95612836,0.95484036,1.1983764,0.93665636,0.7753745,1.2148873,0.9054056,1.0750598,1.1277887,1.0330036,1.0214832,0.8338777,0.93253195,1.2459897,1.1419357,1.1997312,1.0362821,1.1366758,1.065826,0.7051033,1.2662292
bib,0.76178885,1.2910624,0.87983537,1.3050928,1.289382,1.2243288,0.6860721,0.94540983,0.83689755,0.0,0.5500057,1.049403,0.999557,1.4806472,1.3241546,1.1379449,0.92882603,1.3953087,1.1971989,1.2883279,0.8417202,0.99685186,0.97862655,1.0352807,0.6609247,1.4236953,0.7701693,1.3979812,0.8398349,0.8104973,1.1155152,1.1866211,0.9940666,0.9880153,0.9117353,1.196036,1.1075932,1.0151644,1.1557745,0.5359269,0.93358964,1.4524405,0.7675449,0.7729484,1.2396559,0.81489795,1.0999857,0.9006769,0.6948576,1.0376564,0.91060776,1.3294013,0.88185704,0.43574452,0.9891991,0.9219028,1.2949253,0.9057353,1.0401715,1.181105,0.3365488,0.59249187,0.859617,0.9750336,0.90668255,0.8154065,1.0204697,1.0922369,1.2977817,1.1898527,1.2004008,1.2275372,0.8002683,0.9332949,0.8618145,1.1815444,0.97377044,0.81139135,1.2769421,1.0581847,0.8043481,1.1531308,0.9973413,0.6882538,1.0244411,1.3248355,1.0236008,1.1671488,1.0850405,0.8920096,1.4439486,1.2714736,1.0031483,1.2709978
