,alligator,ankle,apple,applesauce,arm,ball,balloon,banana,basket,bathtub,bear,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,butterfly,can,car,carrot,cat,chair,clock,closet,coat,coffee,comb,cookie,couch,cracker,crayon,crib,cup,dog,doll,door,drawer,dress,ear,egg,elephant,eye,face,finger,firetruck,fish,flower,foot,fork,frog,giraffe,glass,glasses,glove,grass,gum,hair,hand,hat,horse,hose,jacket,jar,jeans,knife,ladder,lamp,meat,melon,milk,mitten,mop,motorcycle,mouth,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pen,pencil,pickle,pig,pillow,pizza,plant,plate,pony,pumpkin,purse,radio,raisin,refrigerator,rock,rooster,sauce,scarf,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,snow,soap,soup,spoon,sprinkler,strawberry,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,truck,vacuum,watch,window,zebra
alligator,0.0,1.1691966,1.2851019,0.78034854,0.86341774,1.0269127,1.1426796,1.0003028,1.1472446,0.8456117,1.1644495,0.6761936,1.3286211,0.97122854,0.7809565,0.5151277,0.8121941,0.76361513,1.1631876,1.2083762,1.3146389,1.0271423,1.0630901,1.1741395,1.0860327,1.0030088,1.40383,0.9801981,1.152941,0.9184162,0.9763648,1.1126537,1.057724,0.9093437,1.2627817,1.0018764,1.1600273,0.73878086,1.085343,1.3017979,0.8243227,1.2250644,0.60392106,0.8235183,1.0043164,1.2019308,0.7799094,1.2124766,1.0921298,0.8209142,1.3237901,0.78677434,1.3166401,0.8564369,0.98229337,1.0597509,1.0167508,1.2495483,0.07027745,0.75330245,0.71784884,1.3302244,1.0640849,0.8383868,1.3085818,0.8481977,1.0861012,1.2254603,0.768294,0.6972028,0.9370703,0.91085654,0.9583138,1.178186,0.9081718,1.1795532,0.87137663,1.097118,0.8802705,0.74432415,1.1727078,0.6533499,1.1440175,1.2302672,1.3068458,1.1180893,1.3551912,1.2016206,1.1414547,0.9673335,0.75679994,0.8118665,0.9694246,0.95205414,1.1922556,1.3254536,1.1760712,0.9153283,1.3241892,0.8603525,1.0329653,1.1261394,0.8124924,1.1486741,1.1226676,1.2040663,1.3603483,0.7996445,0.8450291,0.8968664,1.2071524,0.9865444,0.95374477,0.81291294,0.9953253,1.0321614,0.9835959,0.889557,1.1466533,0.66083443,1.3010699,0.760557,1.2365669,1.2386982,1.1308779,1.1766715,1.0809106,0.62439626,0.7660879,0.6053197,1.2501494,1.2997389,1.2621791,1.0247426,1.193757,0.8787807,1.0118754,0.91528434,0.8455664,1.1728106,1.3166497,0.9893009,1.0098687
ankle,1.1691966,0.0,0.71986735,1.111809,0.9258922,0.8918837,0.8335782,1.0028083,1.0735221,1.3971993,0.9421603,1.4153364,0.903026,1.2620157,1.1854934,1.2612982,1.2481053,1.1854863,1.0268893,0.91753125,0.94175047,1.1369445,0.861156,0.8806677,0.9683113,0.9394137,0.85236675,1.2169363,0.92612123,1.2446431,1.1989834,0.8438418,1.2498308,1.1452868,0.85999954,1.2876475,0.8359567,1.2242364,0.8185092,0.86706793,1.2903306,0.8626101,1.196942,0.9879094,1.1463629,0.9179311,1.2271554,0.5795969,0.81462234,1.2754028,0.67634827,1.078027,0.414544,1.3485234,0.9460165,0.9334049,0.44895434,0.8782993,1.1313393,1.2456667,1.320899,0.75521475,0.61880815,1.2949176,0.6791455,1.0682533,0.65433735,0.8851747,1.069103,1.2382499,1.1488007,0.94349134,1.0958499,0.9624853,1.2207186,0.94175404,0.9454266,0.94619095,1.1176163,0.81994313,0.8987547,1.3052814,0.82239735,0.8104967,0.7489924,0.9117513,0.620384,0.55198365,0.7495203,1.2971194,1.3122371,1.1280522,1.0317615,1.1519254,0.9298238,0.84512275,1.0088075,1.1615952,0.7633903,1.1695343,0.99073255,1.0826792,1.0461171,0.7793796,0.8988824,0.9282843,0.7520007,1.2415907,1.2323973,0.88124716,0.85649854,0.98429537,0.987149,1.1622584,0.78875005,0.9562156,0.89525336,1.3785486,1.1185759,1.3548267,0.5145634,1.2780516,0.85513985,0.81228745,0.85691595,0.5985167,0.6827635,1.2499769,1.220844,1.3949786,0.79609615,0.2448157,0.7034099,1.0490041,0.85710543,0.97469926,1.1367592,1.2611971,1.3472705,0.9378683,0.7510184,1.1799908,1.247105
apple,1.2851019,0.71986735,0.0,1.2657413,1.3550562,0.5601863,0.42866063,0.6482766,1.0708398,1.4867027,0.93873835,1.560523,0.6439849,1.4709358,1.480032,1.2853413,1.5240233,1.1985843,0.8110919,0.39730424,0.4446268,1.2632728,0.66558087,0.9290799,0.86835194,0.63311464,0.6610583,0.9074266,0.8874787,1.2672226,1.440233,0.9024315,1.3186146,1.1783074,0.6397131,1.3020226,0.8492949,1.4835801,0.9316631,0.26520973,1.4426956,0.44424206,1.3448356,1.0976461,1.2901516,1.0114278,1.4411812,0.783543,0.5344838,1.282347,0.7006715,1.2169842,0.7167334,1.2128992,0.8244747,0.44736034,1.1278782,0.8411778,1.1453515,1.3456017,1.4116752,0.39853,0.7842876,1.2372186,0.3599726,1.3226249,1.1877252,0.27523494,1.2284443,1.4537499,1.3251181,1.0895126,1.4488059,0.9625705,1.4101932,0.86754227,1.1903627,0.5841851,1.2336935,1.3843535,0.9348231,1.423813,0.7843191,0.7877278,0.2325697,1.0704386,0.53929853,0.85371006,0.4564665,1.4107053,1.4003824,1.5107704,1.4306226,1.1436037,0.7550722,0.3582282,0.6230471,1.1266806,0.86818826,1.196298,0.6377956,0.66516787,1.2697173,0.28015435,0.95647365,0.74162126,0.43462354,1.3745064,1.1821705,1.1328859,0.7929074,1.2507383,0.68920803,1.4595672,1.0005585,1.2650868,0.9595668,1.3943284,0.7500893,1.3674549,0.34791136,1.271941,0.56580096,1.0345991,0.9289832,0.8495692,0.7157514,1.4900739,1.4405546,1.4514288,0.38169527,0.5646346,0.62620026,1.034098,0.9080542,0.61714035,0.98048353,1.2021528,1.3840885,0.95945764,0.3082925,1.2530954,1.1527541
applesauce,0.78034854,1.111809,1.2657413,0.0,0.7548107,1.0130451,1.1425574,1.0005786,0.84021896,0.7658647,1.1738256,0.79437274,1.368562,0.92622685,0.64138895,0.9828468,0.7608366,0.7956631,1.0592178,1.1661302,1.0465053,0.8053204,0.9963249,1.1767695,0.69342226,1.3879144,1.1677648,1.1348319,1.0769908,1.1201025,0.95339924,1.0256453,1.0368867,0.90318996,1.3417554,0.9697763,1.0259688,0.79787815,1.0013981,1.3700087,0.8293916,1.0304596,0.89349246,1.0648274,1.0510297,1.1809292,0.8101682,1.1532251,1.0297098,0.91275793,1.227621,0.83791745,1.136575,0.9521076,1.1818315,1.2372669,0.90664977,1.2649022,0.8817101,0.86408424,0.53829014,1.3672533,1.0962152,0.9900795,1.228029,0.82417876,0.7403867,1.2899047,0.95870143,0.73651737,0.8777701,0.5592954,0.92658246,1.1721534,0.92243093,1.0897601,0.83705634,1.036762,0.7110471,0.60514486,1.2293632,0.80406785,1.1040224,1.3031906,1.3058594,1.050495,1.3340318,1.0650295,1.1119859,0.86466426,0.8794722,0.7788658,0.969134,0.8328234,1.2328632,1.3734809,1.1726947,1.016239,1.2773709,0.9306797,1.0695875,1.0436256,0.9501096,1.1880988,1.003209,1.2397273,1.358562,0.80874944,0.97968036,1.0574765,1.292793,0.8761929,1.2009637,0.73798823,0.99905735,0.923579,1.0353664,0.892299,1.1405194,0.73566526,1.3139329,0.83793426,1.2511034,1.0597863,1.0137782,1.1226096,1.036292,0.7881066,0.7731155,0.5778776,1.0719672,1.1848887,1.2557914,0.87333304,1.1547475,1.0886002,1.0395489,0.92627835,0.98096174,1.2767375,1.3335983,1.0477792,1.0292208
arm,0.86341774,0.9258922,1.3550562,0.7548107,0.0,1.3180346,1.3837028,1.2236603,1.2659717,0.6843311,0.96496457,0.6709214,1.3656697,0.672483,0.47925568,0.8301097,0.6392165,0.71778965,1.3053817,1.3703896,1.3995483,1.1043844,1.0572267,1.1887033,1.2912209,1.3828125,1.3809644,1.1919395,0.8027166,0.90876526,0.804021,1.2231538,0.84143853,0.86030436,1.3232007,1.0055048,1.2214292,0.53956753,0.9534688,1.4152546,0.8597133,1.4260411,0.83672804,1.1880327,0.94525874,1.2003201,0.630478,0.9946739,1.2015414,0.87599117,1.0609189,0.7511246,0.78962713,1.0163265,1.3068836,1.4294293,0.53176427,1.193825,0.986283,0.6968715,0.7842098,1.258398,1.0582091,0.8905748,1.4059186,0.6901969,0.38758516,1.4166514,0.86755717,0.8392344,0.7214553,1.0227348,0.60588413,1.0946507,0.91681933,1.1728313,0.75289357,1.3235335,0.8926044,0.50979793,1.202763,0.7985942,1.055193,1.2631867,1.2796237,1.0328438,1.2255858,0.9301294,1.2240367,0.86024565,0.75926244,0.6055286,0.61442035,0.9030216,1.2163626,1.3675985,1.3111029,1.133899,1.15856,1.0072803,1.3308609,1.2277857,0.93666947,1.2945361,1.211278,1.312253,1.3735838,0.9265615,1.0034552,0.9781426,1.2478373,0.6970342,1.3416269,0.40714425,1.1315514,0.577693,1.154877,0.7470819,1.2737172,0.789315,1.2690827,0.99737865,1.291429,1.0458492,1.1116829,1.1494031,0.91251326,0.81011987,0.55804616,0.666773,1.415597,0.94898516,1.2145485,0.9059367,1.1714382,1.475206,1.1521032,1.0201805,0.8032399,1.1991438,1.2598666,0.9393146,0.9463529
ball,1.0269127,0.8918837,0.5601863,1.0130451,1.3180346,0.0,0.3879391,0.78022635,0.85260844,1.2680962,1.0878885,1.2052379,0.977278,1.381195,1.2453077,1.1582742,1.183311,1.2048377,0.85102916,0.7294139,0.77056634,1.059466,0.92708814,0.9908308,0.73333967,0.95267713,0.91762143,0.88838315,1.1790538,1.1656337,1.2881086,0.8128837,1.137444,1.0729578,0.9623233,1.1472535,0.7756817,1.2371672,1.0974115,0.8198834,1.0735866,0.6697165,1.032549,0.7537574,1.1461052,1.0978044,1.1793015,1.0727541,0.49335504,1.137521,1.0124987,1.0750884,1.1072333,1.0961227,0.96055347,0.6361391,1.0963566,1.2187903,0.96130997,1.1543884,1.0264261,0.97757083,0.7866367,1.1122273,0.6124728,1.1568484,1.1869822,0.6850104,1.0514159,1.0969251,1.2136031,0.8390057,1.3472415,1.2522796,1.1487325,0.86702824,1.0828265,0.7574982,1.0506268,1.0346742,0.9769609,0.9865494,0.97537744,1.0799745,0.72743887,1.1331619,0.96194535,1.0505673,0.55780065,1.2140572,1.1882491,1.2004782,1.3252921,1.1777906,1.028033,0.89913714,0.87414914,1.03086,1.104598,0.9808672,0.72091,0.9739561,1.0426227,0.55581653,0.75472057,0.841233,0.8173482,1.009159,1.0750766,0.9461,1.0946447,1.2496614,0.8625482,1.2820771,0.8032516,1.3289554,0.9079182,1.1541867,1.0593829,1.2011616,0.83249474,0.9579499,0.9827701,1.1784776,0.99724704,0.9432586,0.9491645,1.0180454,1.2247478,1.0692818,0.58172214,0.94244933,1.1285325,0.959522,1.0301453,0.39485848,1.1570697,1.0804467,1.2343333,0.9657852,0.8467575,1.1747321,1.0772324
balloon,1.1426796,0.8335782,0.42866063,1.1425574,1.3837028,0.3879391,0.0,0.7308438,1.038879,1.3492286,0.9930428,1.457442,0.84763753,1.4019697,1.3386017,1.2805462,1.4258744,1.2456691,0.9594488,0.6457691,0.6533364,1.1259284,0.85105366,0.86374784,0.78907955,0.85455024,0.8274387,0.94697005,0.8394341,1.2211212,1.3101957,0.73435724,1.1315918,1.1262435,0.73662275,1.1676528,0.7525616,1.4037215,1.0473244,0.6515545,1.2776892,0.60956526,1.2061431,0.98795223,1.1225958,1.0844095,1.3703463,0.9628556,0.36696208,1.2673221,0.8820437,1.1671183,0.98449665,1.1416245,0.78044456,0.61625516,1.1245068,1.0270338,1.0561565,1.2888472,1.1080419,0.82559216,0.8806219,1.1951159,0.51615316,1.2312472,1.2149216,0.64575005,1.2091225,1.2211668,1.2045804,0.8814137,1.3897572,1.0792178,1.2512852,0.6657934,0.99222046,0.6017554,1.0733227,1.1384175,0.87667906,1.2458441,0.8962934,0.84748864,0.6239718,0.9918389,0.8226314,0.9411807,0.31672227,1.2754987,1.3066664,1.4039477,1.3690135,1.1456753,0.8915888,0.76089,0.79789937,0.9923952,0.9464108,1.0968187,0.72650635,0.8134734,1.1802335,0.4481547,0.9559226,0.96649754,0.6605463,1.1284318,1.1701621,1.0402287,0.8285521,1.3764201,0.87628204,1.3722842,1.064527,1.304359,0.88076127,1.2497332,0.81876,1.2126555,0.8066491,1.1579146,0.67109716,0.98177207,0.8658544,0.8008473,0.7168331,1.3104525,1.4126664,1.2125256,0.59339213,0.9000671,0.95085436,0.9025753,0.9173139,0.60305977,1.152655,1.1107334,1.198535,0.98897845,0.74568963,1.0590403,1.2135708
banana,1.0003028,1.0028083,0.6482766,1.0005786,1.2236603,0.78022635,0.7308438,0.0,0.99057245,1.2480602,1.1126312,1.3436751,0.9979739,1.2673047,1.1576115,1.0705909,1.2486408,1.095791,0.7670499,0.95498186,0.8100388,1.0262506,0.791344,0.8730627,0.9016103,0.79711294,1.0464544,0.9717889,0.9016957,1.1922036,1.3553061,0.92003167,1.3172663,1.0792502,1.0253227,1.0284611,0.79986405,1.3939377,0.77223444,0.7103357,1.2902167,0.9254374,1.2078063,0.9789592,1.2651119,1.11612,1.3413601,0.96138495,0.70696366,1.1207129,0.9642302,1.0892168,0.9926385,1.0507764,0.62820077,0.69676006,1.0465118,0.82114184,0.8606663,1.2259119,1.0979502,0.9155451,0.79930806,1.1882145,0.6225155,1.1629272,1.0562608,0.7998402,1.1895028,1.1165704,0.9553704,1.0222952,1.2280619,0.83719516,1.2348323,0.97857475,1.0968361,0.45193827,1.1370687,0.98401177,0.9146904,1.1614859,1.0074509,1.0515118,0.8871176,0.98445517,0.7861005,1.0727329,0.71029943,1.2336706,1.1732568,1.2736343,1.2977395,0.9851913,0.89426506,0.79752475,0.46591938,0.8444985,1.1218042,1.0775986,0.7842833,0.70312256,1.1780895,0.6484889,0.9644447,1.0132114,0.94455,1.2211804,1.0340008,1.0879714,1.0693192,1.2050207,0.7190324,1.2044827,0.86606646,1.2198372,0.75396955,1.2140161,1.0388373,0.86525536,0.7871428,1.0535935,0.5828873,1.0196953,0.8542739,0.92833835,0.8474647,1.1986628,1.2498834,1.2045727,0.6129113,0.96627396,0.8447393,0.7679694,1.0100107,0.66018856,0.8400883,1.1392864,1.0961167,1.1092415,0.931751,1.2419095,1.0749772
basket,1.1472446,1.0735221,1.0708398,0.84021896,1.2659717,0.85260844,1.038879,0.99057245,0.0,1.0000669,1.2630655,0.9401276,0.8958669,0.8532125,1.1316342,1.365706,0.9869198,1.2161856,0.6470446,0.85922134,0.7001675,0.35687804,0.964319,0.9861973,0.4924028,1.112926,0.580811,1.0161402,1.2704057,1.1996202,0.6801592,0.8731257,0.92220765,1.0659425,0.94850963,0.8483811,0.90176624,1.0561949,1.1334885,1.0226395,0.5408796,0.7260939,1.0792662,0.68745357,0.86650217,0.55750525,1.0898153,1.210741,1.0362654,1.1911952,1.2328229,1.2502555,1.2931159,0.8978784,1.0943205,0.96495014,1.1319102,0.96835697,1.1321374,1.1994495,0.92517287,1.1840659,1.0413514,1.1458471,1.0134244,1.2009566,1.2475724,0.95897084,1.2175916,0.9237407,1.1608162,0.77714723,1.1412895,0.9787686,0.55988896,1.0279896,1.0913996,0.96792465,0.78309757,1.0768263,1.0261487,0.90570074,1.1666464,1.0230595,1.1460881,0.85568506,1.1326299,1.2669432,1.0649588,0.67276114,1.157777,1.0523511,1.1501539,1.0303526,0.97058696,0.9936252,0.91593534,1.0437506,0.9143991,1.0925801,0.88701534,0.9581417,1.0867722,0.99822193,0.48605883,0.65732545,0.991074,0.7313624,1.0669158,1.1156259,0.92139757,1.2035137,0.9533396,1.231921,0.8128709,1.1520879,0.8481078,0.90731215,0.8897922,1.099805,1.0471894,0.99484366,1.0276963,1.0479273,1.0140938,1.0461205,1.1183935,0.74619555,1.1903465,0.97273225,0.8401109,1.1772679,1.1907121,1.1018991,0.8191748,0.67854965,0.75084054,0.94427586,1.0363305,0.7378088,1.1461163,0.96127063,1.0862422
bathtub,0.8456117,1.3971993,1.4867027,0.7658647,0.6843311,1.2680962,1.3492286,1.2480602,1.0000669,0.0,0.966929,0.2745359,1.4359057,0.31383085,0.67882997,0.85959315,0.55411184,0.67016613,1.143921,1.397683,1.1936142,0.6877714,1.2013783,1.1899654,1.0827013,1.4396214,1.2704824,1.0320379,1.064051,0.7391339,0.5743455,1.0966736,0.56462485,0.9103753,1.3526554,0.75762486,1.090821,0.5012553,1.1971245,1.5092833,0.49237418,1.3907182,0.7661521,1.1559858,0.77246886,0.92493266,0.7450788,1.3478487,1.1771795,0.69859403,1.2469804,0.84484863,1.3431313,0.9352723,1.3377001,1.45418,1.0217106,1.2043991,1.0039619,0.64941275,0.651866,1.4581424,1.4432075,0.75926894,1.5024742,0.90304476,0.98871523,1.4772786,0.93288827,0.5734512,0.79580766,0.8890557,0.7667463,1.0571332,0.65883017,1.0058652,0.907296,1.2684724,0.7873165,0.7659308,1.1601669,0.69231224,1.2036567,1.364312,1.4462852,1.0119594,1.5430459,1.1891379,1.2626047,0.57208866,0.7020916,0.7762462,0.816805,0.6945646,1.1766009,1.4136299,1.3206499,1.0636669,1.2335446,0.7627002,1.3039045,1.0486951,0.9407108,1.4022095,1.2503123,1.2199167,1.4542235,0.8210238,0.83501387,1.0620657,1.2890278,0.9474138,1.2880452,0.71512115,1.1852645,0.8988354,1.1530132,0.45096564,0.9333039,0.37809706,1.5603153,0.75124824,1.3841667,1.0637892,1.0656775,1.2622086,1.1502302,0.76248646,0.6917151,0.42768782,1.3133495,1.4783905,1.4110286,0.9231199,1.1732543,1.3506954,0.97324204,0.7013469,0.70540917,1.2678795,1.4750285,0.7324225,0.89759874
