,alligator,ankle,apple,arm,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,butterfly,can,car,carrot,cat,chair,clock,closet,coffee,comb,couch,cracker,crayon,crib,cup,dog,doll,door,drawer,dress,egg,face,finger,fish,flower,foot,fork,frog,glass,glasses,glove,grass,gum,hair,hand,hat,horse,hose,jacket,jar,jeans,knife,ladder,lamp,milk,mitten,motorcycle,nail,napkin,necklace,orange,oven,owl,pajamas,pants,paper,pen,pencil,pig,pillow,pizza,plant,plate,pony,potato,purse,radio,refrigerator,rooster,scarf,scissors,shirt,shoe,shorts,shovel,sink,slide,slipper,snow,soap,sock,soup,spoon,sprinkler,stroller,sweater,table,tape,toe,toothbrush,towel,toy,tray,tree,vacuum,watch,window
alligator,0.0,1.3907802,1.4880162,0.6648457,1.1672902,1.1058472,0.872984,1.1162547,0.7233068,0.7242459,1.2788895,0.47988033,0.6204975,1.0695832,0.6750513,0.80625,0.9526785,1.4929109,1.4674183,0.9817415,1.1128861,0.8157774,1.3307064,0.97497606,1.4205639,1.2540445,0.6856729,1.2074168,1.0682824,1.2561612,0.87562096,1.0868288,0.96109,0.76780236,1.0823798,1.474612,0.82202804,1.4759326,0.6330848,0.9873329,1.1938114,1.0459803,0.85463464,1.1276255,0.84969336,1.269633,0.96535975,1.0526991,1.0978006,1.224073,0.9240824,0.8601459,1.4565554,0.71647555,0.8275733,1.0777806,0.9030367,0.8303248,1.4439061,0.8993339,0.69765985,0.64945185,1.0273604,0.58374506,1.0984687,1.2446357,1.464143,1.1015973,0.7470146,1.2867677,1.4871134,0.7763383,1.0796399,1.3458846,0.887174,0.8832018,0.68701905,0.80276346,0.5164255,1.4347191,1.3439262,0.9769073,1.019778,0.34332561,0.960012,1.2904088,0.77588654,1.244811,0.7772043,1.4555916,0.9260692,0.98725307,0.8234249,1.3061608,0.71559197,0.9755006,1.1889712,0.82577133,1.3903372,0.9520078,1.5076882,0.67059577,1.407259,1.0610793,1.1067998,1.1123557,0.77108383,0.89185303,0.60422045,0.59979165,1.1356941,1.4035282,0.7196132,1.2634599,1.3188281,0.7542376,0.758901,0.866638,1.3814954,1.0160079
ankle,1.3907802,0.0,0.640377,1.3117318,1.0605137,1.1175812,1.173687,0.9332267,1.2673144,1.3467579,0.7528691,1.4476717,1.2406251,0.89458954,1.2136769,1.2588702,1.051128,0.55449945,0.68614864,0.9313459,0.7869438,1.2585382,0.7628747,0.88563806,0.5607788,0.80614626,1.0697101,0.8997382,1.0344567,0.8538147,1.1969612,1.0611192,1.136113,1.3165987,0.7620882,0.6280116,1.2724485,0.678375,1.1909832,1.0737538,0.78048,0.97872436,1.1045457,1.0794193,1.1174012,0.80605614,0.76262873,0.9721199,0.8015719,0.77714795,0.934562,1.2667476,0.5800317,1.1720756,1.1800504,1.0266625,0.9035084,1.1700287,0.53267753,0.9427801,1.2890968,1.208375,1.0374117,1.3394756,0.8750432,0.84293723,0.5882323,1.0124701,1.2200177,0.9009193,0.61772406,1.2075543,0.8578751,0.7897298,1.2222267,0.8920356,1.2302694,1.1152834,1.4190644,0.57154924,0.7000377,1.0485586,0.8404082,1.3571887,1.0324551,0.89930725,1.0976846,0.8870792,1.1486969,0.56560254,1.0800806,1.0336639,1.128523,0.81168,1.1733916,0.91498625,0.6317051,1.1293993,0.7333907,1.0838529,0.5384087,1.1966128,0.7049705,0.8083257,0.97314775,0.9185326,1.1513876,1.174162,1.2653002,1.4224412,1.0762624,0.65664464,1.1900084,0.7289167,0.8383937,1.3876003,1.2702647,1.143648,0.6310313,1.1316961
apple,1.4880162,0.640377,0.0,1.3779498,1.0092775,1.0091476,0.9582927,1.0765285,1.3199475,1.359824,0.83633065,1.5153557,1.3841965,0.9264846,1.400089,1.2370238,1.02542,0.42956263,0.5298169,1.1403588,0.72352535,1.2711159,0.86922956,0.85614824,0.7343384,0.7876699,1.2077377,0.81112665,1.3082104,0.8817855,1.3256855,1.0026971,1.1448337,1.3606384,0.7691512,0.24307597,1.4481132,0.48724753,1.2850285,1.197891,1.0011365,1.0132582,1.2932706,0.9024312,1.0815388,0.6012667,0.70452744,0.83400714,1.0243148,0.7142416,0.8909844,1.2645268,0.2627958,1.3596108,1.083399,0.84676695,1.0687762,1.1275994,0.4593829,0.9981732,1.3567847,1.3954494,1.0231105,1.4711275,0.74838537,0.9614923,0.50270975,1.1458066,1.330982,0.83962953,0.25774932,1.222169,0.9616462,0.24291825,1.3619622,0.99949443,1.3840872,1.3165582,1.4174733,0.3452031,0.4662586,1.0931954,1.0653305,1.3144205,0.9780512,0.73955095,1.1143457,0.6892158,1.4531345,0.45292366,1.2487831,1.1218958,1.2900602,0.65729433,1.3291786,1.1350719,0.7994211,1.1072001,0.7199441,1.1077592,0.34425455,1.1641767,0.25774056,1.0469836,0.84710556,0.8484628,1.1935234,1.310668,1.4147216,1.3405868,1.0681673,0.42359918,1.2405983,0.6716148,0.6562383,1.3194702,1.1925213,1.228132,0.4917724,1.1675829
arm,0.6648457,1.3117318,1.3779498,0.0,1.0592511,1.0131891,0.7819482,1.2279599,0.66041344,0.6405416,1.1170943,0.5353712,0.66032976,1.0675399,0.59127635,0.74298286,1.2685459,1.4778682,1.3834019,1.1627687,1.0452757,0.95561254,1.3953078,1.2555138,1.3084397,1.29506,0.97133267,1.0236919,0.95863014,1.1906226,0.668146,1.1171144,0.9013893,0.5937911,1.148176,1.4124553,0.8012877,1.4502022,0.78166187,1.0468588,1.1368642,1.1448896,0.8349744,1.0374926,0.79242086,1.0223581,1.2317861,1.1855885,1.1401021,1.0625148,1.2803407,0.8296261,1.2216594,0.62207437,0.8423497,1.1510407,0.87243897,0.6217074,1.2796533,1.1490606,0.7550775,0.57951677,1.1672069,0.49986905,1.1321386,1.2315891,1.3441274,1.2290305,0.77790385,1.2849965,1.2689656,0.79629934,0.9309867,1.2470726,0.69667876,1.1589967,0.5318583,0.608967,0.7744169,1.3961495,1.3594683,1.1226209,0.82460606,0.77326536,1.0684022,1.308504,1.0262707,1.1578689,0.85105246,1.4661171,0.966505,1.1311483,0.7575066,1.3834727,0.49896085,0.9260929,1.0554487,1.027275,1.3147854,0.9267838,1.3303428,0.82955813,1.2454935,1.0566374,1.1027304,1.1799242,0.8831212,0.9712383,0.38293386,0.635288,1.1687038,1.1214359,0.81462884,1.2272661,1.4650347,0.8602841,0.75992215,0.8711428,1.1073523,0.9798869
ball,1.1672902,1.0605137,1.0092775,1.0592511,0.0,0.06450403,0.9909411,1.0498347,1.1621777,1.1568228,1.0816134,1.1685437,1.0797858,1.026918,1.1937736,1.100726,1.0326401,0.98125446,1.0103796,1.1341099,1.0616785,1.0121809,0.88405836,1.0209296,1.086468,0.9490975,1.0600041,1.0992379,1.1376526,0.7359213,1.1287491,0.84194714,1.0482903,1.1328561,1.1575357,1.0322062,1.1292989,0.8468339,1.1360086,0.9705329,1.0261399,1.1526909,1.1201813,0.44322276,1.0399944,1.0390167,1.1069882,1.0095543,1.0120282,1.113135,0.99655986,0.72369933,1.0895772,1.0018286,1.1833947,0.829779,1.1209247,1.0394306,0.80185574,1.0366265,1.0225582,1.097544,1.0685523,1.0799193,1.1151824,1.1435779,0.921971,0.9038209,0.96127594,0.86060977,0.83451587,0.98277766,0.9448842,1.0644267,1.119202,1.0716586,1.0756383,1.2078943,1.1049597,1.131798,1.0862759,0.85030496,1.1750435,1.1454692,1.0476272,0.92617106,1.1030136,0.70203274,0.98012906,0.9687861,1.0530418,0.8511281,0.9802548,0.87485534,1.1499354,1.0255626,1.042302,0.95020825,0.9563143,0.9950347,1.060199,1.1269957,1.0439718,1.0624058,0.8673041,0.880497,0.96896535,1.0505061,1.1329782,1.0874277,0.8776164,1.040223,1.039229,0.989841,0.8599758,1.0488461,0.9598087,1.0715097,1.0873314,1.0544616
balloon,1.1058472,1.1175812,1.0091476,1.0131891,0.06450403,0.0,1.0100578,1.0944425,1.1267389,1.0895277,1.1071669,1.0985969,1.0851794,1.0354472,1.1994799,1.0454929,1.0295202,0.99316806,1.0303473,1.1372244,1.064576,0.95593274,0.9479903,1.0483568,1.1515386,1.0189118,1.0555245,1.1073365,1.1393164,0.77459776,1.1094812,0.8473656,1.0652127,1.0850141,1.1431274,1.021667,1.0810512,0.87583673,1.109865,0.96384263,1.0664843,1.156898,1.1331289,0.47489518,0.9654962,1.0049832,1.1317286,1.0106392,1.0779545,1.0681465,1.0390115,0.7673917,1.0737576,1.0962483,1.1569788,0.882098,1.0653656,1.0140444,0.93625015,1.0232135,0.9569284,1.1458921,1.0582402,1.0821911,1.0516471,1.168855,0.967715,0.9387282,1.0161408,0.9109247,0.837861,1.0116796,0.96742237,1.0522625,1.1185375,1.092374,1.1201493,1.1773705,1.0638964,1.1000679,1.0617398,0.8552127,1.2359359,1.0864229,1.0404927,0.9692376,1.0647972,0.75447214,1.02617,1.0006906,1.0677485,0.8675201,1.0333415,0.8901972,1.1115253,1.10356,1.0470963,0.9211814,0.9938196,0.96707577,1.0679283,1.1009413,1.0444824,1.1351168,0.8906625,0.89476204,0.9606068,0.99776655,1.0909144,1.0201885,0.91500586,1.0372837,1.0295721,1.0247023,0.84266937,1.0022668,0.90192187,1.0491123,1.0945638,1.046158
banana,0.872984,1.173687,0.9582927,0.7819482,0.9909411,1.0100578,0.0,1.1536525,1.0570836,1.0245618,1.1838244,0.97720355,0.9181899,0.9851313,0.9683137,1.0249578,1.1489024,1.0361414,1.1414931,1.2463107,0.8499292,0.9322108,1.0463227,0.99732447,1.2065934,1.1721113,1.0196528,1.1556165,1.243666,1.1398904,0.99731445,0.9484382,0.94895554,1.0413705,0.8192172,1.086228,1.1043055,0.9330032,0.9608287,0.9548223,1.2042122,1.2624402,0.9601646,0.7550217,0.939107,0.9640905,0.9200776,0.89531946,1.1505088,1.0273856,0.9432088,0.73089033,1.139185,0.81840354,1.041287,0.7609966,1.0774167,0.780131,1.0362375,1.1080649,1.0567533,0.8253246,0.9529758,0.8663846,0.94919765,1.2330956,1.1432422,1.0089449,0.82077104,1.1181785,1.0369612,0.83221745,1.0263478,1.035159,0.97365063,1.0040361,0.8358067,0.94977885,0.93089217,1.1600592,1.1138054,1.1407261,1.1250912,0.7312967,0.924279,0.93505484,1.0287349,0.96921617,1.010946,1.1556184,1.0533425,1.1493082,0.89288557,1.0458554,0.9006407,1.0096066,1.1204733,0.8021732,1.1928502,1.1094859,1.0771407,1.0600348,1.062232,1.019019,0.998989,0.87928456,1.0004243,1.0590496,0.86096674,0.8013934,0.99356735,1.0478588,0.92574733,1.0897354,1.0856099,0.885271,0.9456673,0.9481476,1.1377159,1.2242146
basket,1.1162547,0.9332267,1.0765285,1.2279599,1.0498347,1.0944425,1.1536525,0.0,1.1090147,1.0472035,0.7607096,0.9925106,1.1502169,1.1568743,1.1565614,1.1061742,0.78830683,0.8068484,0.59453523,0.67283034,0.9492703,1.0021788,0.4319173,1.0059452,0.7126373,0.98785716,1.0670379,1.1532235,0.5801176,0.97949094,0.96959215,0.8513051,1.0145247,1.0010878,0.8834452,0.96158177,0.7873777,0.7896544,1.2963376,0.9868291,0.86820334,0.7236471,1.1238859,1.0210057,1.239333,1.0842817,1.0499077,0.96444577,0.91510135,1.0195957,1.0381522,1.0778288,1.0622295,1.0647907,1.198423,0.85010517,1.2909396,1.2107995,0.98279977,1.0778705,1.1701126,1.1055646,0.88283014,1.1734608,0.927609,0.5469501,0.9832301,0.85838854,1.0821974,1.0158397,1.0280493,0.98695654,1.0195997,1.0714643,0.9071675,1.1435367,1.1348529,1.100241,1.0607145,0.9547669,0.9321773,1.0304359,0.83709097,1.0794623,0.9688865,0.71710455,1.121762,0.96559894,0.63619155,0.84178585,0.8332962,0.9838757,0.9962898,0.9504858,1.2532209,0.91748714,1.0672438,0.9936455,0.8342323,1.0956786,0.9200689,1.1743544,1.0528067,0.8914186,1.0145098,1.013956,1.0718561,1.025428,1.258441,1.1633846,0.7366476,1.0607178,1.028318,0.8762601,0.7679818,0.96084076,1.1609392,0.9852631,1.018168,0.9284366
bathtub,0.7233068,1.2673144,1.3199475,0.66041344,1.1621777,1.1267389,1.0570836,1.1090147,0.0,0.54105866,1.1859088,0.44561434,0.90727556,1.0310513,0.6492877,0.5838133,1.268133,1.3383938,1.2758164,1.059303,1.2379506,0.8822821,1.2120814,1.255594,1.124193,1.1677474,0.8636569,0.9259891,0.8039944,1.1717812,0.6660994,1.1321144,0.96193516,0.5607577,1.2144591,1.3913608,0.50164545,1.3386865,0.72563016,1.1748229,1.0027833,0.83670735,0.9084533,1.1867595,0.8791975,1.3026918,1.2707274,1.1045407,1.0992657,1.2774639,1.3239015,0.87068915,1.2690842,0.89485544,0.6293929,1.2846293,0.91731596,0.991965,1.3589027,1.1673632,0.6337598,0.7510879,1.074129,0.71367407,1.1481011,1.0375364,1.2232335,1.046614,0.9100964,1.2102921,1.3791609,0.8551104,1.2313491,1.1006228,0.57726985,1.0674012,0.8294209,0.7866805,0.8275094,1.3133211,1.2747282,1.0507673,0.95033836,0.901963,0.9740996,1.1897049,1.0796267,1.2053957,0.8941192,1.3536661,0.8545916,1.0557985,0.71306187,1.2705139,0.7137282,1.1235,1.0835259,1.0270418,1.0127529,0.71084297,1.4226886,0.6695043,1.1785407,1.1496086,1.2197549,1.1710532,0.98964477,0.99342614,0.6765502,0.63340724,1.1387224,1.352209,0.8603245,1.2680681,1.4306638,0.7274146,0.83633965,0.71211433,1.296221,0.7999884
bed,0.7242459,1.3467579,1.359824,0.6405416,1.1568228,1.0895277,1.0245618,1.0472035,0.54105866,0.0,1.2846997,0.38232303,0.74012834,1.069404,0.44521904,0.50623655,0.9953292,1.3685606,1.3642817,1.0386512,1.3063116,0.7589005,1.319071,1.2363386,1.3066107,1.2768849,1.0652148,0.9547052,0.7652627,1.2197328,0.74686,1.1044123,0.9663229,0.1845671,1.330543,1.4330239,0.30181122,1.3819003,0.6997861,0.88269854,1.0936912,1.089996,0.92136055,1.2194571,0.8530657,1.2856116,1.3170538,1.1828964,1.19139,1.3809165,1.1797506,0.95591724,1.3019822,0.8712977,0.6263608,1.2949101,1.021041,1.0377282,1.3198757,1.0923474,0.7293476,0.6016652,1.1096265,0.5647047,1.2733364,1.023125,1.371698,1.0529741,0.8114939,1.1874658,1.4116956,0.86304206,1.1526484,1.1100903,0.8268128,1.0831478,0.72421974,0.8633209,0.6215717,1.4100618,1.3602924,1.1789565,0.9401271,0.8300464,1.0641202,1.2852881,0.91213095,1.3071003,0.88116455,1.3473693,0.9298824,1.1226119,0.7405699,1.361601,0.7123113,1.0039798,1.2666495,1.1532288,1.2436272,0.704868,1.4245267,0.62275136,1.1837298,1.1294694,1.2819704,1.4013724,0.86523545,0.61921346,0.65594625,0.45853126,1.0926797,1.3728983,1.0568647,1.2961415,1.1525546,0.7430723,0.8297389,0.8449451,1.3308151,0.7550419
