,alligator,apple,arm,ball,balloon,banana,basket,bathtub,bear,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,bucket,butterfly,can,car,carrot,cat,chair,chips,clock,cookie,couch,cracker,crayon,crib,cup,dog,doll,door,drawer,dress,egg,face,finger,firetruck,fish,flower,fork,frog,game,glass,glasses,glove,gum,hair,hamburger,hand,hat,horse,hose,jar,knife,ladder,lamp,melon,mitten,motorcycle,muffin,nail,napkin,necklace,orange,oven,pajamas,paper,pen,pencil,pickle,pillow,pizza,plant,plate,pony,potato,pumpkin,purse,radio,raisin,refrigerator,rooster,scissors,shirt,shoe,shovel,sink,slide,slipper,soap,sock,soup,spoon,strawberry,stroller,sweater,table,tape,toe,toothbrush,towel,toy,tray,tree,truck,vacuum,watch,window
alligator,0.0,1.4848814,0.7695277,0.8704537,0.95106155,1.3178995,1.1580241,0.6982485,0.9552503,0.75552875,1.4416859,0.8533753,0.6199595,1.4131696,0.48536098,1.0646962,0.95647335,1.4902123,1.4529971,0.9815299,1.4127482,1.1648687,1.0728384,1.4130316,0.8768655,1.4043417,0.77985096,1.2624029,0.7942845,1.3674409,1.2141827,0.6680322,0.935841,1.4853299,0.54578066,1.4604409,0.69861853,0.15215778,1.1217625,0.67468065,0.9009017,1.4599032,0.83373654,1.1787908,0.8279834,0.35595918,1.1721946,1.3572421,0.38382614,0.74341476,1.0186574,1.4735295,0.5469274,0.769495,0.76066005,1.0656288,0.7451699,1.4113083,0.9788564,0.79905295,1.1526837,1.4332087,1.1943941,1.273865,1.0831735,0.26303267,0.7500521,1.2373278,1.2056794,0.8317934,1.3957071,1.3894951,1.0019052,0.5748043,1.0525385,1.4366932,1.3934792,1.3282747,0.53904796,1.2538984,0.85880196,1.0806904,1.0147696,1.3727113,1.3684818,0.99539554,1.3266702,1.3878472,0.9722648,1.0153818,1.2858429,0.63639855,0.8980316,1.5159644,1.3866094,0.79363215,1.3049808,1.4299021,1.050996,1.0167123,1.2842607,1.3714018,0.6914979,0.5911793,0.55827093,1.0816027,0.9161321,1.2162243,0.21707582,0.85483485,1.0731013,0.9551558,1.1988387,1.343867,1.5249135,0.8424042
apple,1.4848814,0.0,1.2189196,1.2892122,1.0552398,0.7727338,1.0152016,1.2958572,1.0989348,1.2138369,0.41526306,1.2916138,1.1289476,0.39875162,1.3563275,1.1008624,1.3307202,0.16638315,0.62172365,1.2193485,0.49339414,1.004297,1.0607749,0.81143856,1.144908,0.66788125,1.2770146,1.080844,1.2835245,0.6591717,0.93207216,1.371166,1.2259855,0.46779668,1.4082811,0.28043103,1.3819039,1.4155446,1.1045873,1.3257481,1.1780565,0.33339196,1.1804978,0.9484892,1.1789476,1.1929514,0.89135414,0.85420537,1.4034109,1.2168137,1.185097,0.20415658,1.1317685,1.2584202,1.2005384,1.1050166,1.3413463,0.51723015,1.1534122,1.3259565,1.0298749,0.6452829,1.0329336,0.90177685,0.8525625,1.4355655,1.3024755,0.89440185,0.61280483,1.2292693,0.51363224,0.2834822,1.2980945,1.3559847,1.2096612,0.49132186,0.6148207,0.60301167,1.308548,0.7811597,1.1531999,1.1742038,1.1011527,0.5908878,0.40897673,1.1739458,0.6152428,0.23407465,1.217399,1.1029742,0.9509153,1.342145,1.2363751,0.4258871,0.6399372,1.3094808,0.36854076,0.06972909,1.1960645,1.0861772,0.98270077,0.3549447,1.3098569,1.3016875,1.3421216,1.1386254,1.1653513,0.5022959,1.4542954,1.2003003,1.2238246,1.1191905,0.69955164,0.7068433,0.19951206,1.2778112
arm,0.7695277,1.2189196,0.0,0.98500484,1.0411493,1.2442768,0.93962187,0.7858784,0.9520514,0.85575414,1.198804,0.9008059,0.886498,1.2696259,0.5080105,1.1468561,0.84977674,1.1726611,1.238372,1.0057844,1.3366271,0.92917454,1.0731169,1.1686624,1.0708761,1.2456777,0.91850173,1.1326511,0.97647625,1.1449533,1.173831,0.81727946,1.1188706,1.2364659,0.78326994,1.1187676,0.9964735,0.73413,0.9810944,0.8097341,0.9768115,1.3255545,0.9918611,1.106925,1.0336009,0.97345096,1.1294378,1.2233268,0.891832,0.6739135,1.0501506,1.2590177,0.9192231,0.94365287,0.8621217,1.0154358,0.83968866,1.2852517,1.1046872,0.8803447,0.9994615,1.1836276,1.1744545,1.1002647,1.0522989,0.7418742,0.7985884,1.2014256,1.1787435,1.0511342,1.2496333,1.2382622,0.91954273,0.6777106,1.0175141,1.226712,1.2048877,1.2964944,0.8905009,1.2127492,0.95796484,1.0292718,1.0864497,1.278613,1.1954675,1.0985128,1.2632375,1.1191412,0.87592554,1.0776747,1.2466521,0.8167002,0.9844771,1.2502465,1.1771208,1.0333856,1.1421026,1.1884446,1.064453,1.0999317,1.235739,1.2289357,0.7383184,0.6240009,0.4636066,1.0700561,0.96403986,1.0177549,0.8248608,0.9583796,1.0200971,1.1016736,1.1520746,1.1720474,1.2213135,0.8908695
ball,0.8704537,1.2892122,0.98500484,0.0,0.58766544,1.1192675,0.9624582,0.9326561,1.1473316,0.9836658,1.376672,0.88536423,0.8971298,1.12788,0.85144323,0.75784546,0.9079283,1.2592525,1.0984851,1.2225187,1.0336704,0.87376034,0.9876074,1.1668191,1.0193052,1.1108124,1.0417539,1.1025606,0.8048594,1.1024276,0.86701894,1.0160172,0.91041946,1.2651728,1.1131033,1.1875994,0.9382312,0.9360884,0.97050375,1.0110099,0.9656871,1.2133738,1.0011224,1.1199923,1.0582777,0.8457508,1.003149,1.1815504,0.86472934,1.0244416,0.7955291,1.386377,0.75936234,0.6346403,1.1312377,0.99914837,0.88759226,1.2119787,0.8942854,0.9880844,0.94265693,1.2144394,1.1204977,0.920815,0.93314683,0.7697116,0.9845138,0.9054048,1.2960469,0.7844733,1.1599665,1.0466952,0.9244822,1.1008912,0.80440384,1.2866414,1.2386284,1.253319,0.9436266,1.0326792,1.01211,0.640166,0.88789886,1.2171149,0.96790385,0.85539496,1.220074,1.1977727,0.8508346,1.0012852,1.1643606,1.0317479,0.7974108,1.2937889,1.1514949,0.95924574,1.2496889,1.278481,0.77181005,0.68683225,1.1269386,1.2449671,1.054957,1.0242629,0.9937531,0.49033868,0.905621,1.0963393,0.7714892,0.9280988,0.8944313,0.85182446,1.1616434,1.2130324,1.3488281,1.092411
balloon,0.95106155,1.0552398,1.0411493,0.58766544,0.0,0.8518977,0.8567105,1.0598158,1.1834779,1.0848969,1.3286355,1.0227257,1.0481368,1.0734551,0.9625576,0.88918674,0.96856874,1.1216878,0.9345089,1.1626816,0.8077645,0.8958116,0.92566246,1.1476237,1.1701064,1.0951082,1.1026144,1.0736411,0.97697294,1.0946977,0.78490937,1.0381497,0.9308663,1.1353768,1.1861485,1.0295155,0.8466729,0.9585212,0.9995729,1.0897914,0.92405856,0.99746305,1.0245665,1.1289253,1.1015058,0.88848716,0.9082164,1.1868706,0.9501591,1.0238036,0.88788587,1.2336786,1.0558007,0.9263517,1.146935,0.96559465,1.0728868,1.0880877,0.85010016,1.129209,0.7801813,1.1124597,0.9541309,1.0350764,0.8215234,1.0040581,1.0463225,0.833947,1.2983847,0.87675375,1.1477618,0.5631012,0.90061224,1.1167339,0.920359,1.1202894,1.1112218,1.18528,1.1145545,1.0078428,1.0461103,0.91043305,0.7670553,1.0654644,0.5844029,0.751506,1.1280649,1.0637581,0.874815,0.8894647,1.0689296,1.0983925,0.9713734,1.1723768,1.0267302,0.9994787,1.1474031,1.1096491,0.96545255,0.8536497,1.151771,1.1432388,1.0771966,1.1492593,1.0303015,0.6992338,1.1046367,1.1452588,0.997719,0.85018224,1.0347881,0.8563092,1.1986638,0.98871785,1.1819912,1.1904153
banana,1.3178995,0.7727338,1.2442768,1.1192675,0.8518977,0.0,0.995283,1.4171458,1.0685337,1.1635417,0.7747468,1.3166006,1.0654409,0.76525664,1.249486,1.0704368,1.3104346,0.93626785,0.7980013,1.1213608,0.4089396,1.1109335,1.1425188,0.76939285,1.1539168,0.51138747,1.1506592,0.8791493,0.97385776,0.87834024,0.5943191,1.2304622,0.82042307,0.7287974,1.2918335,1.0103489,1.1916234,1.302577,1.0874032,1.3294933,0.9836189,0.45010293,1.0250895,0.61063325,1.2213806,1.3120418,0.95285285,0.82558763,1.1203078,1.2867011,1.0571642,0.69933164,1.0688801,1.1461608,1.1020519,0.7398024,1.0046561,0.56664836,0.9858334,1.2449669,0.8697633,0.8398088,1.0281011,1.1180375,0.88690585,1.3378885,1.2942213,0.5534506,0.6914005,1.1487515,0.5873041,0.51344436,1.2770382,1.2287382,1.175925,0.809963,0.82929635,0.5162113,1.0187882,0.5495342,1.2889134,0.98032683,1.0652748,0.4658634,0.57728183,0.9199358,0.57049495,0.93001467,1.3320832,0.9648701,0.725852,1.2198262,1.1852062,0.723113,1.111547,1.08225,0.8261305,0.89903724,0.9897678,0.75774467,0.7042997,0.68565166,1.2460936,1.3033481,1.3437152,1.1982644,0.9293447,1.0858732,1.2954202,0.8000859,1.1008126,1.1373649,1.1157815,0.819694,0.7251443,1.2733984
basket,1.1580241,1.0152016,0.93962187,0.9624582,0.8567105,0.995283,0.0,1.0963608,1.0220623,1.0231981,0.977633,0.89308876,0.97911036,0.9659705,1.0382255,0.9522519,0.7498297,0.93396103,0.656464,0.8221307,1.0880771,0.8123434,0.864151,0.8528128,1.0794159,1.0598829,1.0685843,0.68284094,1.016847,0.9945549,1.0394987,1.0202885,0.9277719,1.1353326,1.0708231,0.788398,1.0607257,1.1618379,0.8054967,1.0546443,0.6922538,1.1192423,1.3461227,1.2421758,1.1217289,1.1430964,0.611405,0.9566627,1.185257,1.0566529,0.8144975,1.150281,1.1317444,1.0850482,1.3235309,0.8775945,1.2458501,1.0794519,0.98859197,1.1378725,0.7190529,1.0017316,0.56387025,0.8244139,1.0315706,1.1221982,1.0718778,1.0490042,1.3091118,0.8723937,1.0203981,1.0437189,0.7872299,1.1846732,0.7831083,1.1086533,1.1259027,1.2057444,1.0183356,1.0445298,0.97052974,0.8743907,0.9064694,1.0861484,1.0075479,0.7852011,0.96616495,0.99940383,0.8494538,0.8678238,0.9578265,1.1339781,1.0448477,0.9788937,0.8175045,1.1648078,1.1641824,0.98124576,1.0315717,1.0896391,1.0057671,1.0340797,1.1274987,1.1724894,1.0205616,0.80462134,1.0514249,1.1650181,1.0777353,1.1112752,0.7732689,0.7787461,1.0137974,0.8401022,1.1051061,1.0455893
bathtub,0.6982485,1.2958572,0.7858784,0.9326561,1.0598158,1.4171458,1.0963608,0.0,0.78675973,0.67711353,1.2214223,0.74484384,0.9453125,1.3197532,0.75298965,1.0176402,0.74135685,1.1918432,1.134369,0.8671937,1.373127,0.93452054,1.1062721,1.2950497,0.9187185,1.4047191,0.75838697,1.1913403,0.9463914,1.2025965,1.2210146,0.8177032,1.1918721,1.2784181,0.5689126,1.2425867,0.8680502,0.7568786,1.0395229,0.6501028,1.1353171,1.378201,0.90201664,1.2293909,0.87680584,0.78165096,1.2397614,1.1871059,0.8942975,0.76367986,0.94217885,1.255214,0.99677885,0.9436781,0.8556809,1.116555,0.88132155,1.3715024,1.0683932,0.72222614,1.0887088,1.2179998,1.2229986,0.96701056,0.88109225,0.6409077,0.8271672,1.2811419,1.1265885,0.88001627,1.3825691,1.2960967,0.86667633,0.63874424,0.8233403,1.2199656,1.2075874,1.2667255,0.8502385,1.3584526,0.8594888,1.0101198,1.0889844,1.3324153,1.2630931,1.1136599,1.3509719,1.2000394,0.8416148,1.0971495,1.2933757,0.68812084,0.88289696,1.3209103,0.9707733,0.92469287,1.1744375,1.262941,1.0322264,1.1432981,1.2171227,1.2604198,0.8418226,0.6107627,0.53754205,0.803553,1.1641732,1.0893832,0.7246933,1.1038854,0.9610262,1.1666598,1.1228406,1.2702997,1.230281,0.84899706
bear,0.9552503,1.0989348,0.9520514,1.1473316,1.1834779,1.0685337,1.0220623,0.78675973,0.0,0.67380834,0.8425011,0.8508866,1.0709851,1.1935792,0.8476019,1.1055092,1.0139545,1.109766,0.969348,0.878852,1.1538482,1.125765,1.1511451,0.91597265,0.887048,1.0535666,0.109674454,0.96189016,1.0228841,1.0359861,1.1837226,0.84596986,1.0219082,1.0865769,0.7792474,1.1919292,0.8231713,1.0375117,1.1640857,0.8298675,0.9735017,1.1682383,1.0462942,1.0315042,0.9208747,1.0256028,1.2210207,1.042735,1.1315212,1.0116771,1.0910459,1.0095632,1.0641686,1.2035394,0.8819952,1.1164279,0.9967139,1.1340911,1.1660296,0.87727493,1.149158,1.0309557,1.1282563,0.90466595,0.92876667,0.89265454,0.9345635,1.176331,0.9311677,0.9714795,1.1954912,1.1281494,0.9375377,0.66045225,0.9998087,1.0661163,1.0495733,0.9894225,0.88135916,1.0828563,0.96573347,1.0446038,1.193291,0.90866166,1.1634268,1.0794965,1.0435622,1.0326558,1.1038826,1.119795,1.0617003,0.60866475,1.1002879,1.044621,0.99334484,0.9938524,0.9495669,1.1662838,1.1645062,1.0490416,0.97204924,1.1529362,0.9597085,0.8350414,0.77774227,1.1791883,1.0517904,1.0886524,0.92822146,1.2875886,1.0582374,1.1506464,0.9501307,0.9172341,1.0727569,0.7825071
bed,0.75552875,1.2138369,0.85575414,0.9836658,1.0848969,1.1635417,1.0231981,0.67711353,0.67380834,0.0,1.0298178,0.72947276,0.82102525,1.1894985,0.6241338,1.0159725,0.9484828,1.2517233,1.0952129,0.81942004,1.3357368,1.2749562,1.2167152,1.0770643,0.77766293,1.1724436,0.6042185,0.90445626,1.070106,1.1597843,1.3115733,0.5926796,1.1623034,1.2091808,0.6534379,1.2622241,0.8582649,0.8947778,1.1722548,0.6229286,1.0325521,1.2961898,0.9287754,1.0392357,0.9007042,0.83318794,1.1735177,1.1682382,0.9414642,1.0135429,1.18202,1.1757605,0.80274916,0.9363726,0.9584048,1.1952834,0.86784863,1.1034384,1.0168543,0.7643161,1.1604878,1.1867684,1.1331396,0.9823704,1.049119,0.7188856,0.8705599,1.3196756,0.94677603,0.99156046,1.1811718,1.2288251,0.9496135,0.6620072,0.98771054,1.2235299,1.189557,1.1219578,0.5356037,1.1434587,0.92699325,1.1395376,1.1484944,1.0930781,1.2593967,1.0860796,1.1190935,1.1706078,1.0163813,1.1315277,1.1912284,0.53843755,1.007774,1.2191669,1.0341151,0.8470826,1.0508227,1.2130352,0.925815,1.203565,1.1407366,1.1587012,0.94859624,0.8149727,0.8358224,1.061971,0.9760124,1.118199,0.79070175,1.0928732,0.9930861,1.1124536,0.9977187,1.1204944,1.2075124,0.79034144
