,alligator,apple,arm,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,bird,blanket,book,bottle,bowl,box,bread,broom,bucket,butterfly,can,car,carrot,cat,chair,clock,closet,comb,cookie,corn,couch,cracker,crayon,crib,cup,dog,doll,door,drawer,dress,egg,face,finger,fish,flower,foot,fork,frog,glass,glasses,glove,gum,hair,hand,hat,jacket,jeans,knife,ladder,lamp,meat,melon,mitten,motorcycle,nail,napkin,necklace,nose,orange,oven,pajamas,pants,paper,pen,pencil,pig,pillow,pizza,plant,plate,purse,refrigerator,rooster,scarf,scissors,shirt,shoe,shorts,shovel,sink,slide,slipper,snow,soap,sock,sprinkler,strawberry,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,vacuum,watch,window
alligator,0.0,1.183061,1.2451755,0.7854346,1.1048201,0.9202816,0.86760515,1.0535936,1.15742,1.1571131,1.227908,1.155561,0.8582579,1.1620111,0.77891123,1.0196748,1.0541039,0.932869,0.9996374,0.95002645,1.0589943,0.81375533,1.0062712,1.0316496,0.9564766,1.0766617,1.1911792,0.9354509,1.0601058,1.0891647,0.8835883,0.8608337,1.2006463,1.0022465,0.99034786,1.0201993,1.0648509,0.7927309,0.84340376,1.026097,0.8649769,1.1984098,0.99953663,0.93605006,1.10884,0.9884412,0.8365552,1.1651107,0.87483644,0.44339132,0.93586725,1.0845875,0.93818283,0.8181304,1.1367466,1.1572406,1.0216913,1.0521642,1.2199395,1.1292572,1.1591262,0.90023565,1.0306711,1.0114995,0.9864035,0.9672154,1.0476053,1.0048137,1.1465294,1.0821857,0.94968253,1.1754887,1.2533984,1.1057068,0.96934146,1.0854281,0.9408255,0.52418804,1.2775253,1.0948366,0.9733512,1.0381358,0.96517354,1.1378919,0.5593474,0.97639424,0.9996449,1.2278838,0.9465414,1.2896779,1.1808194,1.0907608,0.9462482,1.0957869,1.1222767,0.8129219,1.0940546,0.9642674,0.9100275,0.9020885,1.0428355,1.0280167,0.88098705,1.1906619,1.0793182,0.9461423,1.0526974,0.7353549,1.0964872,1.0517501,0.8955948,1.0320741,0.9960606
apple,1.183061,0.0,1.4453509,1.1454067,0.35861415,1.1487577,0.77466947,1.2526789,1.5138127,0.5137451,1.178276,1.0413533,0.86830944,1.4990318,1.3613319,0.70225537,0.77452385,1.4656851,0.65225995,0.89452183,0.97508436,0.8224703,0.65587354,1.1357962,1.0170316,1.1713588,1.2152529,0.855371,1.1677725,1.1952811,0.7812553,1.0771095,1.4728441,1.2101867,0.46579206,1.21528,0.5939838,1.2173319,1.3871305,1.071365,0.82235026,1.2232326,0.76460636,1.1380045,0.52232957,0.7624757,1.1148193,1.0481235,0.91872245,1.011777,1.0282409,0.6559462,1.084101,1.1321633,1.0734309,1.1272645,0.56731725,1.3611133,1.224582,1.3266252,1.2743611,0.61908317,1.2287636,0.5172776,1.2794833,1.2819784,0.405414,0.8408871,0.40141058,0.5237434,1.0974464,1.0555687,1.2650061,0.65917814,1.4286697,0.55861837,0.6993334,1.0294857,0.9991763,1.3560162,0.6130096,0.5710016,0.8164374,1.2827749,1.0029919,0.8558158,1.1845248,1.3533072,1.0076286,1.1688273,1.2140932,0.62464917,1.2119402,0.48902994,1.021883,0.73022795,1.0903608,0.6290071,0.6612742,1.0915977,1.427808,1.4709343,0.9677372,0.41488755,0.80028147,1.3643018,0.53622365,1.0373887,1.1316808,1.1266004,0.73066664,0.49343425,0.9716616
arm,1.2451755,1.4453509,0.0,0.956284,1.3315363,1.0309137,1.4019269,0.7950387,0.3830818,1.3381093,0.7411206,0.6211151,1.2762471,0.35851622,0.84605384,1.4005473,1.2823951,0.6324345,1.328825,1.1150439,0.9870976,1.3609633,1.4719448,1.0223864,0.9876226,0.7299852,0.8292124,1.284456,0.8007403,0.8465107,1.3269491,1.1847749,0.39408064,0.8728905,1.5776695,0.98603845,1.4652321,0.8525927,0.6523422,0.9415621,1.3834101,0.5973725,1.3058202,0.8341321,1.0897124,1.3218005,1.0465878,0.7914847,1.1546912,1.2377793,1.1467433,1.1283102,0.83881915,1.0710459,0.72756827,0.46152383,1.4559388,0.5398667,0.5617919,0.56418717,0.66148126,1.4984546,0.840158,1.3499781,0.62469006,0.8981476,1.4973372,1.1856122,1.4242455,1.3742077,1.0616338,0.88658714,0.4314363,1.2449815,0.59916204,1.4300213,1.4074607,1.3194473,0.75445336,0.4767235,1.3843611,1.3371543,1.1955407,0.74660575,1.3225379,1.3068484,0.8667673,0.38085473,1.2626837,0.628074,0.5898091,1.3740983,0.8941343,1.4967266,0.81912243,1.3366601,0.7222619,1.3136514,1.2979038,1.1464663,0.5563537,0.55814135,1.3225145,1.174762,1.1476681,0.70571315,1.3938648,1.3205414,0.759333,0.79331285,1.3824488,1.4488854,1.0962734
ball,0.7854346,1.1454067,0.956284,0.0,1.0467929,0.93362737,1.1405292,1.092225,0.95238787,1.178309,0.91373754,0.964721,1.1517181,0.93172675,0.9078363,1.2339792,1.0195352,0.8622329,1.169341,0.99552375,0.8617187,1.167342,1.2012392,0.9112483,0.9306939,0.7985756,1.0368828,1.1674775,0.96577823,1.0389338,1.0453601,1.1185172,0.91343665,0.9911578,1.2615974,0.987587,1.1926169,0.77117276,0.66036,1.0379822,1.1938987,1.0823147,0.97379917,0.8297074,1.0460066,1.215329,0.9277546,1.0128531,1.0040644,0.6757088,0.92456037,1.0399315,0.6486622,0.9117845,0.84284174,0.8402652,1.0135255,0.8583424,1.0356765,0.81481326,0.8847703,1.1246095,0.9434662,1.2696252,0.73925316,0.94257665,1.1924963,1.0227611,1.2021513,1.0320753,0.92024213,1.1467326,0.9717368,1.1650294,0.9325802,1.2692113,1.0854361,0.8945914,0.95752287,0.91698587,1.2502482,1.08045,1.0468907,1.0145136,0.90762925,1.1555609,0.99106044,0.8929351,1.0892293,1.0227726,0.89397097,1.1016469,0.8939896,1.1806918,1.0678605,1.1685311,0.9395164,1.0562642,1.0389673,1.0140531,0.8550087,0.9407268,0.992648,1.0665329,1.120066,0.946339,1.2329328,0.93580836,0.98528534,0.9998721,1.17711,1.2457078,1.0016468
balloon,1.1048201,0.35861415,1.3315363,1.0467929,0.0,1.0648128,0.7897346,1.0651511,1.4003158,0.6024101,1.0650884,1.1134534,0.99357957,1.4001405,1.3755491,0.8054552,0.5749938,1.3352528,0.8151108,0.9390135,0.5587188,0.98204345,0.6090855,1.1524487,1.1216738,1.1942052,1.0887139,0.79808676,1.1832871,1.0835452,1.0225139,1.0823908,1.3448546,1.3262765,0.66494185,1.1468894,0.71136343,1.2373154,1.1923065,1.0331529,0.8676896,1.1277177,0.6306343,1.1172621,0.7983198,0.9000002,1.0597125,1.1340034,0.9475623,1.1003935,0.9242396,0.8248026,1.081056,1.20681,1.1171659,1.2195108,0.5991864,1.2434164,1.1262479,1.3154157,1.1265628,0.75886095,1.2235794,0.5965562,1.1264448,1.2204485,0.48646444,0.84728336,0.6275182,0.73100317,1.0372692,1.0004517,1.1804522,0.69158196,1.3935726,0.8095868,0.9252986,0.99055827,1.0575924,1.3353934,0.8213158,0.601425,0.83180386,1.1684989,0.9809006,0.84744817,1.1387154,1.2142808,1.1343179,1.1027387,1.2005754,0.716555,1.0790492,0.7392354,1.0014023,0.8148022,1.0700605,0.81041163,0.7722513,1.0761639,1.3159181,1.2845273,0.942537,0.73637146,0.7176815,1.1857152,0.6124262,0.9711058,1.0298845,1.1189137,0.7594492,0.6993604,0.98343414
banana,0.9202816,1.1487577,1.0309137,0.93362737,1.0648128,0.0,1.1513321,0.8468343,1.047386,1.1522455,0.6884408,1.216702,1.0438712,1.0696393,0.88502675,1.2137358,0.9201479,0.8750083,0.88255125,0.99678326,0.79099816,1.0636793,1.1098454,1.0495602,0.6815934,1.0806739,0.9747986,1.0929713,1.0440205,0.9481311,0.90612733,0.62030935,0.99878824,0.48018843,1.05358,1.038191,1.0958102,1.0849861,0.9377181,1.0187877,1.0388565,1.1143696,0.95041823,1.0817828,1.0822843,1.0804005,1.0929705,1.0769125,0.83709776,0.92026013,1.105018,1.1789296,0.9573035,0.72261477,1.0779519,0.95874965,1.1997513,1.0636104,1.1555846,0.9081088,0.8982532,1.1670376,1.0258244,1.0101596,0.9879081,0.9635662,1.1452321,1.0257009,1.2678732,1.1545839,0.62610316,0.98601073,1.1282347,1.1888367,0.9075161,1.1272731,0.97451913,1.0474217,1.0316187,1.1051654,1.1779308,0.99376196,1.1094664,1.0563633,1.0373433,1.0737486,0.8530083,1.1013039,1.0078111,0.9669277,0.9551677,1.1622449,0.7864877,1.1974173,1.1808364,0.8406603,0.98488116,1.209897,1.1227142,1.0295789,1.0208974,0.9604155,0.46443164,1.206533,0.9413397,0.7706538,1.1574756,0.58902276,0.89082444,1.0351344,1.047945,1.2082512,1.1558195
basket,0.86760515,0.77466947,1.4019269,1.1405292,0.7897346,1.1513321,0.0,1.1182991,1.4413438,0.83844066,1.2207081,1.1492174,0.8048972,1.4020834,1.115691,0.73795134,0.8195832,1.2339041,0.91596174,1.0224434,0.9366499,0.7779527,0.6491049,0.9660945,1.0973165,1.2688358,1.0571291,0.85651785,1.1175745,1.060379,0.8737854,0.87367827,1.454321,1.2062737,0.66466576,0.86536545,0.7390824,1.1449761,1.1505897,1.0686953,0.6853379,1.2039278,0.8730484,1.1970881,0.98395157,0.916973,0.89939994,1.0047733,1.0144022,0.943866,0.93462145,1.0174811,1.0836594,0.9774915,1.2636206,1.2538524,0.80364656,1.2762805,1.1822182,1.3280671,1.2943581,0.6281126,1.080201,0.8059569,1.1677818,1.1081152,0.6815072,0.8128105,0.7056288,0.8441062,1.1020982,1.0566388,1.2228787,0.86895245,1.2922809,0.7150599,0.7090477,0.7328448,1.2413766,1.3136599,0.83073324,0.71003354,0.67454517,1.1388544,0.6955415,0.7887953,1.129337,1.3577764,0.7977838,1.3550012,1.2094959,0.73130786,1.1920044,0.75964797,1.1008894,0.7648556,1.143695,0.9003856,0.67600286,0.8874093,1.3287854,1.3213823,0.81328815,0.92785615,0.83114725,1.228142,0.8480845,0.7885689,1.0305641,1.0676829,0.80155957,0.7672311,0.90861064
bathtub,1.0535936,1.2526789,0.7950387,1.092225,1.0651511,0.8468343,1.1182991,0.0,0.8279294,1.106686,0.7160103,0.9442152,1.0181494,0.7774749,1.0611889,1.2504852,1.0679832,0.89282525,1.1675777,0.8731817,0.9346806,1.069226,1.1943779,0.814314,1.14991,0.9006145,0.8357049,1.1050805,1.0483674,0.86563206,1.184976,1.1279249,0.7742671,1.0815785,1.2543237,0.84809345,1.2840165,0.89927405,1.0416262,0.6760613,0.90936744,0.9427276,1.0888264,1.0350986,1.3354082,0.99151564,1.1032364,1.151017,0.99904865,1.1409754,0.9285723,1.1785178,1.2624152,1.177289,0.9589229,1.0464604,1.2861413,0.9187464,0.7601413,0.97006506,0.82990456,1.0466346,1.0069939,1.0693755,1.0893217,0.7689794,1.3103238,1.0402089,1.2861929,1.2963041,1.0504122,0.58387685,0.93656194,1.0198872,0.9069907,1.2428988,1.2166039,1.0335778,0.88964677,0.88373786,1.2354834,1.0473574,1.0179259,0.60206425,1.0539007,1.222463,0.9004125,0.8427583,1.1312535,0.8206052,0.96449775,1.0921735,0.8761621,1.2805009,0.8165935,1.1553285,1.189501,1.1501079,1.1802208,0.9875009,0.89581466,0.8260428,1.1384091,1.3585244,1.095846,0.893708,1.1941445,1.1835303,0.89488494,0.7893168,0.8806617,1.2832873,0.81969225
bed,1.15742,1.5138127,0.3830818,0.95238787,1.4003158,1.047386,1.4413438,0.8279294,0.0,1.3646846,0.84657276,0.6317947,1.2730873,0.09870607,0.61187875,1.2922693,1.2540002,0.4323706,1.3737775,1.1979568,1.0964122,1.3033793,1.4439237,1.0799042,1.0968206,0.7818104,0.8875458,1.1803315,0.97148335,0.9763184,1.3505565,1.0682033,0.21644711,0.94608486,1.5003376,1.0243427,1.4028163,0.9428185,0.64575124,1.0060966,1.3275976,0.60053766,1.3096066,0.87523466,1.2951337,1.2619119,0.8358167,0.95576024,1.1965953,1.1451869,1.059038,1.1862801,1.0013815,0.9309597,0.8534333,0.7517313,1.4180409,0.4181217,0.77853024,0.65113264,0.74676424,1.475989,0.85844743,1.2743744,0.811382,0.9157207,1.4139321,1.284431,1.4664893,1.3818312,1.0471222,1.0801504,0.5172213,1.3410252,0.4379241,1.4446554,1.3619428,1.2414693,0.9492555,0.2862674,1.3817627,1.3879907,1.2244271,0.76059604,1.2503787,1.1962754,0.907351,0.48442554,1.2337054,0.79347205,0.5268306,1.3549303,0.77406335,1.5081607,0.88551116,1.3612151,0.8844589,1.367883,1.3160262,1.1124175,0.32825845,0.16341853,1.2563452,1.3274454,1.2222126,0.631253,1.3429141,1.0945145,0.7053566,0.9315112,1.3756304,1.418659,1.1202638
belt,1.1571131,0.5137451,1.3381093,1.178309,0.6024101,1.1522455,0.83844066,1.106686,1.3646846,0.0,0.8706062,0.8982123,1.0455328,1.37058,1.2289374,0.89075863,0.8260972,1.3142097,0.4711553,1.004454,0.9866465,1.0635138,0.60837233,1.0689269,0.9357327,1.0394202,1.0422068,1.0590813,0.9430491,0.9269831,0.83911145,1.2276682,1.2565107,1.1123129,0.53336775,0.8948913,0.698656,1.1637907,1.26446,1.0721859,0.656878,1.2263589,0.9782783,1.1755188,0.7030969,0.86232334,1.1700845,1.0666207,0.93827116,1.0621686,1.0778766,0.79180133,1.0023408,1.1090441,1.0346725,1.190549,0.7130532,1.267405,1.173104,1.2924395,1.0431174,0.8278147,1.2056878,0.741482,1.2027501,1.189586,0.7428186,0.77260303,0.5513141,0.68192756,1.0877199,0.9402433,1.090781,0.6050618,1.3179103,0.5678699,0.81161517,1.0935241,0.69988245,1.3341017,0.71321607,0.42634082,0.90747374,1.041193,1.1315362,0.8530097,0.9990007,1.2225333,0.992757,1.0155202,1.2224473,0.4038822,1.2208874,0.48883462,1.1064681,0.8853521,1.0680069,0.78263766,0.9961517,1.1793133,1.3461815,1.3616743,1.1354526,0.65265256,0.8380703,1.2385776,0.76038784,1.1457326,1.108969,1.2592764,0.76235914,0.5909486,0.7983805
