,alligator,ankle,apple,arm,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,bucket,butterfly,can,car,carrot,cat,chair,clock,closet,coffee,comb,cookie,corn,couch,cracker,crayon,crib,cup,dish,dog,doll,door,drawer,dress,ear,egg,elephant,eye,face,finger,firetruck,fish,flower,foot,fork,frog,glass,glasses,glove,grass,gum,hair,hand,hat,horse,hose,jacket,jar,jeans,knife,ladder,lamp,leg,melon,mitten,motorcycle,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pasta,pastry,pen,pencil,pickle,pillow,pizza,plant,plate,pony,pumpkin,purse,radio,refrigerator,rock,rooster,scarf,scissors,shirt,shoe,shorts,shovel,sink,slide,slipper,soap,sock,soup,spoon,sprinkler,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,tricycle,truck,vacuum,watch,window,zebra
alligator,0.0,1.0501386,1.0310417,1.2550112,0.8981976,0.8983311,0.90864086,0.8929286,1.2227398,1.2062318,1.0059935,1.1835073,1.2272964,1.0651357,1.2026324,1.1325272,0.82107145,0.8961272,0.9703748,0.93082637,0.8087276,0.88464534,0.5675221,0.9485949,0.94458526,1.1977247,1.0949954,1.0762249,0.8195443,1.0782318,1.1404134,0.770386,0.68358856,1.0202533,1.199992,0.6963209,0.86513984,1.1798241,0.92793524,1.1251917,1.0839114,0.96381694,1.2189387,0.7020095,1.1533035,1.1379979,0.9324777,1.1457727,0.95128465,1.1866561,1.1283478,1.0437936,0.6113073,0.7754014,0.95091414,0.773916,0.31487954,1.1718866,1.1299422,1.0682766,1.039885,0.92307067,1.2634196,1.2335596,0.9902414,1.1083965,1.1327012,1.2813705,0.90472955,1.296521,0.8792988,0.9183168,0.74796534,0.96640897,0.99205494,1.1532103,1.0938239,0.80799437,1.1076295,0.7109095,1.0806003,1.0143551,0.98114777,1.2075057,0.59048223,1.3065871,1.2802937,0.9277628,0.8182926,0.78996634,0.89696324,0.9066582,1.006514,0.86670333,0.8458588,0.8322667,0.9686109,1.0686761,1.0575349,0.9381197,1.002397,1.2421674,1.0179086,0.92959934,1.0949583,1.0590662,1.2459781,0.94433033,1.1375043,0.9593214,1.0479285,1.1841292,0.9345968,1.0632389,1.0312376,0.9283816,0.8219985,0.7533956,1.0458713,1.2859577,1.2078602,0.91280794,1.0564547,1.0048989,0.99233645,0.80322456,0.9414424,1.0115838,0.9763219,1.2080016,0.94116265,1.0258667,0.97576296,1.2155045,1.1523905
ankle,1.0501386,0.0,0.6949358,1.2278321,0.79770756,0.7785652,0.8639803,0.9206311,1.2881806,1.2652254,0.4024036,1.2606585,1.107443,1.3020865,1.2241759,1.2896509,1.0806882,0.6845827,0.77499795,1.107382,0.8371421,0.7506971,1.2048117,0.5066201,0.8977297,0.9309892,1.3061501,0.88143504,0.7437337,1.2490859,1.1162117,0.8862083,1.0398637,0.7610744,1.2427464,1.1618725,0.5582525,1.3320374,0.62675613,1.2890954,1.2841563,0.9122852,1.2193632,1.0984519,0.96415913,1.1599672,0.67364776,1.1123264,1.0948195,1.3649212,0.67802703,1.2307823,0.93697953,0.97581273,0.67382586,0.8926187,1.1370417,1.2775601,0.7816896,0.34131628,1.233569,0.97222465,1.2325244,1.0817364,0.6218287,1.0441344,1.1723939,1.228242,0.9049754,1.0955496,0.7751508,0.93410426,0.9392681,0.6801376,1.1323605,0.98194957,1.243601,0.8560101,0.6400439,0.76824695,0.5220885,1.1394795,0.7434391,1.1497186,1.198944,1.2133864,1.0648288,1.1687629,1.2651991,0.9601344,0.6554702,0.74438953,0.6564337,0.3949167,0.8188399,1.1722735,1.1826878,0.8081984,0.6823875,1.0590141,0.7786701,1.2876153,0.9953347,1.108043,1.1513903,1.292757,1.2099893,0.7616441,1.0525274,0.78713936,0.84525853,1.3064879,0.19550818,0.59643227,0.4640295,0.96852404,0.6532044,0.98181885,1.0789282,1.265461,1.4920267,0.78159916,0.46032453,0.6992826,0.95105314,0.80775124,1.0565544,1.1536429,1.2725639,1.1982762,1.0843232,0.96711737,0.46734625,1.1961341,1.1060764
apple,1.0310417,0.6949358,0.0,1.3849456,0.3329084,0.47166562,0.6202049,1.1488379,1.4906961,1.5110486,0.503616,1.4336674,1.2087915,1.2617404,1.427501,1.3135184,1.0792545,0.46314675,0.7999579,1.1938026,0.50578505,1.0011575,1.0774074,0.6474723,0.77748215,0.6899688,1.288805,1.2347921,0.7875117,1.3303277,1.3141593,1.0743912,0.8014703,0.6902556,1.3411256,0.9696309,0.41039872,1.4578803,0.5045931,1.2754748,1.2631645,0.82021546,1.3575909,1.2923424,1.0813357,1.1136053,0.2640254,1.2345717,1.0056669,1.0989622,0.62824535,1.1961992,0.7086061,0.7549331,0.99594045,0.8675447,0.96278894,1.3264388,0.6218668,0.9168814,1.174831,0.70370454,1.1016042,1.1557992,0.6571293,1.1828519,1.2707868,1.2067776,0.8561635,1.3626225,0.9791699,1.0873262,1.0273356,1.0320014,1.0281378,1.3531048,1.1997108,0.5134506,0.23238605,0.98601115,0.77295816,1.0948052,0.03494358,1.3803971,1.0937766,1.3232684,1.2900141,1.2678144,1.1999264,0.6354787,0.47524893,0.5528692,0.68137527,0.798355,0.4294355,1.0877581,1.0969467,0.6676274,0.15681136,1.2806007,0.9008723,1.4155447,1.1697042,0.9726755,1.368858,1.2436857,1.2415442,1.1862597,1.173099,1.0041673,1.1685953,1.2229266,0.61802965,0.36919808,1.1352547,0.8995721,0.77587485,0.93993956,1.2105767,1.3276076,1.4510114,0.5412205,0.4521042,0.5384662,1.1915364,1.0868125,0.91196275,1.3416839,1.1459407,1.195514,0.99816084,1.2556939,0.41150373,1.2670112,1.2424922
arm,1.2550112,1.2278321,1.3849456,0.0,1.3645668,1.3427298,1.3012803,1.2073643,0.5128412,0.45082068,1.4535503,0.5821447,0.69126964,0.72680324,0.4703374,0.58343095,1.1280371,1.4779918,1.30284,0.9426143,1.4541085,1.2792045,1.1760503,1.4667518,1.3613086,0.9397259,0.7724235,1.1173037,1.3707181,0.77397525,0.6857764,1.1109213,1.3416759,1.3002473,0.5114644,1.1941669,1.439522,0.64416045,1.4619313,0.76655483,0.8026753,1.1793451,0.7318197,1.0850779,0.77780527,0.83265996,1.4337828,0.8028183,1.0613325,0.80196905,1.0746155,0.8908524,1.4094493,1.3985503,1.0836228,1.3341922,1.3807514,0.5888764,1.2450242,1.0095047,0.99033546,1.0754519,0.69458604,0.47517276,1.3694301,0.86553943,0.5605194,0.56463253,1.3535492,0.35585982,1.2121265,1.2180121,1.3593292,1.1778109,1.0226016,0.50788814,0.85680556,1.4029595,1.2970653,1.3039436,1.2132915,0.8158436,1.3649434,0.8290012,1.1469393,0.41750878,0.4486668,0.785294,1.0036306,1.3386933,1.4082382,1.293219,1.1602979,1.3199661,1.4451547,1.1600448,1.1256824,1.1758374,1.2393959,0.9450262,1.3523341,0.69988966,0.8183246,1.0056449,0.548475,0.69100857,0.5672302,1.0473087,0.7037824,1.0271195,1.0784276,0.74344844,1.2948344,1.3590786,0.927477,1.1838347,1.4435154,1.304039,1.0166744,0.44717467,0.44484305,1.3461034,1.2414027,1.2889364,0.88358146,1.1981324,1.0608116,0.95770735,0.9838887,0.763548,1.2599573,1.0480154,1.411249,0.8658795,0.78368235
ball,0.8981976,0.79770756,0.3329084,1.3645668,0.0,0.092586756,0.59620255,1.0442544,1.4200948,1.4262638,0.7467126,1.3477877,1.3391067,1.188571,1.384232,1.168907,0.99033135,0.6023576,0.66899735,1.0654972,0.588821,0.84112877,0.98603415,0.7887653,0.8790227,0.7943223,1.2233982,1.224966,0.6239165,1.3163544,1.1982526,1.0376339,0.68813586,0.78855675,1.354938,0.85721815,0.58064175,1.3915647,0.58768743,1.0638992,1.2089542,0.8610042,1.3631799,1.2121178,1.1913743,1.122313,0.23470521,1.2451037,0.9079931,1.1730994,0.8288816,1.2081898,0.76671565,0.8076102,0.86336195,0.8882273,0.8025663,1.3513355,0.9067643,1.0171663,1.1859529,0.63331795,1.221352,1.2087253,0.791276,1.2153955,1.2402442,1.2737901,0.732267,1.3915265,1.0413654,1.0544016,0.9179896,0.9507109,0.9112993,1.2543461,1.1179065,0.51686823,0.40411794,0.9223603,0.97927266,1.1301193,0.3337146,1.3543642,1.0279634,1.3741338,1.3652782,1.1678792,1.1433971,0.6629828,0.66685164,0.7136168,0.6806545,0.9189028,0.6115733,1.0313014,0.94363195,0.8935437,0.3852675,1.2267693,0.8656423,1.4174249,1.1534894,1.0620598,1.374249,1.1463144,1.3399092,1.1397129,1.1382272,1.0311666,1.0756804,1.1967338,0.7434224,0.67289835,1.09721,0.767489,0.7914071,0.85322785,1.1754067,1.3365662,1.3537556,0.3682058,0.6587372,0.7499223,1.0863068,1.0573329,0.8076305,1.1616932,1.1258805,1.2337625,1.0286237,1.200088,0.6887584,1.2598572,1.2574006
balloon,0.8983311,0.7785652,0.47166562,1.3427298,0.092586756,0.0,0.6792183,0.9830328,1.3411596,1.3743589,0.80886567,1.3048236,1.3346496,1.1960325,1.3557036,1.1071897,0.9578943,0.71915096,0.67976403,1.0518128,0.6991769,0.78080136,0.95704174,0.82644737,0.92803204,0.7628036,1.2394265,1.1030536,0.6826701,1.2715981,1.1408867,1.0255476,0.7313235,0.75364625,1.3242433,0.8597105,0.67099303,1.3256708,0.67652065,1.047928,1.2252864,0.83453315,1.3254004,1.0995413,1.148808,1.1542548,0.38466716,1.292337,0.93587667,1.1911929,0.7613827,1.2063054,0.83910143,0.859149,0.8254976,0.91350687,0.81424534,1.2778305,0.96676767,0.96035033,1.1979295,0.6094949,1.2105834,1.1126215,0.8041197,1.272968,1.1562021,1.2884812,0.80257344,1.3698094,1.0329093,1.0009383,0.8666359,0.89690584,0.9544852,1.1457046,1.0887277,0.6297215,0.48506457,0.8646374,0.9169315,1.150941,0.4755956,1.2617803,0.9896523,1.3596622,1.3550978,1.0936967,1.1322868,0.73478794,0.8211176,0.8531879,0.66526186,0.8797648,0.80593514,1.0332723,0.94564676,0.94937485,0.4382199,1.1701463,0.8229855,1.3452189,1.1956613,1.1114546,1.3379717,1.1131423,1.33962,1.068589,1.0978323,0.98879075,0.99888766,1.1687012,0.7695851,0.8147247,1.0415457,0.71838135,0.7657076,0.8436965,1.1381941,1.3053416,1.3291032,0.47370708,0.6420187,0.82970893,0.979283,0.9982209,0.8088503,1.0609765,1.1133959,1.2389792,1.0352343,1.1241089,0.79856384,1.2187098,1.2975025
banana,0.90864086,0.8639803,0.6202049,1.3012803,0.59620255,0.6792183,0.0,0.95579696,1.3799787,1.4226084,0.64649844,1.3348503,1.3375185,1.2351156,1.4304016,1.1175649,0.92723906,0.5838198,0.7111408,1.0580364,0.6013199,0.8439941,1.0171838,0.7321973,0.75313425,0.99619615,1.2386583,1.1156778,0.68982196,1.2102759,1.2477939,0.8857936,0.68912375,0.8613126,1.3514373,0.83377993,0.59399873,1.2925287,0.5988991,1.0594935,1.2140359,0.88224894,1.334257,1.1126661,1.2481511,1.114771,0.5822752,1.1572315,0.9165826,1.1643401,0.9856206,1.0434949,0.71660244,0.68727696,1.0901644,0.66084284,0.7598717,1.2646768,0.8810705,1.002419,1.0774233,0.83032966,1.2466422,1.2367767,0.7987733,1.1977546,1.1425478,1.3548748,0.84705985,1.3146167,0.7127533,0.9303593,0.8908615,0.87774706,0.95973307,1.3313909,1.0558785,0.6906823,0.74957263,0.8577272,0.9496531,1.0542929,0.59372324,1.2540996,1.0409358,1.4066336,1.3534822,1.1146711,0.9896103,0.6286417,0.66266716,0.7474698,0.6767268,0.79533005,0.6604985,0.96304137,0.87049925,0.84006286,0.7200892,1.1712438,0.864846,1.3199909,1.1992397,1.0907824,1.3423238,0.9509485,1.3929702,1.0906259,1.2055337,0.8318764,0.9389166,1.0696834,0.7975352,0.68377274,1.1378677,0.93982196,0.5925108,0.8008939,1.0785468,1.3894887,1.3513979,0.57493496,0.8873888,0.9315927,0.9753297,0.9697677,0.79372716,1.0193279,1.1752815,1.2227743,0.9124823,1.1876134,0.71022296,1.3067086,1.1791266
basket,0.8929286,0.9206311,1.1488379,1.2073643,1.0442544,0.9830328,0.95579696,0.0,1.0778623,0.9360013,0.99284816,0.84210575,1.2997259,1.2430493,1.1435404,1.1148874,0.48509783,0.77629685,0.6039597,0.5186628,0.9865537,0.38437212,0.7678244,0.70400333,0.7311006,1.4131615,1.1057394,0.519127,0.8011993,1.0345389,0.8479059,0.88022166,0.9897579,1.101732,1.1366373,0.99099857,0.9787948,0.7105832,0.6965603,1.0869586,1.090314,0.995566,1.1422303,0.7549242,1.3102677,1.3188559,1.0335357,1.1554728,1.1091934,1.2426537,1.3271081,1.0173293,1.0486658,0.7103202,0.81516707,0.6527647,0.82682556,1.1450795,1.1811227,0.9742125,1.0206127,1.2520218,1.3772234,1.3357918,0.92842484,1.1829982,1.0050827,1.3240024,0.7185113,1.3578044,0.68097866,0.5789491,0.7533064,0.9824692,1.0247071,1.1027468,0.9938569,1.0121464,1.2724769,0.5674508,1.1064845,1.2183465,1.127604,0.9716659,0.7526374,1.3385726,1.395864,0.8637567,0.89147884,1.0176715,1.0629661,1.0702364,0.9616079,0.72581273,0.88107985,0.8276662,0.81907636,1.1325663,1.2873379,0.58990175,0.73578537,1.0327489,1.0430107,1.3466125,1.2218621,1.0550787,1.334254,0.74068046,1.1730573,0.92736936,0.80399185,1.1401813,0.810125,1.1682757,0.8658762,0.99327654,0.7473591,0.63071537,0.74706876,1.3053682,1.1104046,0.9004396,1.2492332,1.1838312,0.8365708,0.5425081,0.64581347,0.5838416,0.99953496,1.168837,0.6708255,0.7741588,1.1429194,1.1046362,1.1485844
bathtub,1.2227398,1.2881806,1.4906961,0.5128412,1.4200948,1.3411596,1.3799787,1.0778623,0.0,0.18522984,1.4466615,0.28851402,0.808147,0.73941493,0.54137504,0.56279516,1.1407421,1.4764777,1.0599877,0.88325906,1.5270532,1.0322365,1.208529,1.3264403,1.3339378,1.0225468,0.7752342,0.7618977,1.2823396,0.53439,0.64838755,1.1713073,1.3668495,1.319747,0.44856334,1.2670436,1.461796,0.39059114,1.37081,0.6455727,0.8351344,1.3583229,0.25218093,0.8693718,0.7907168,0.846823,1.4701858,0.7694612,1.1115822,0.8018644,1.2611283,0.9293985,1.4468422,1.4324912,1.1752341,1.3647376,1.4078928,0.70689493,1.3326201,1.306459,0.8227016,1.2294892,0.71211934,0.81270814,1.4013009,0.8660072,0.5724661,0.6155803,1.3790917,0.5158695,1.2212138,1.1244987,1.1387637,1.0658325,0.9235254,0.75057673,0.843084,1.4560328,1.4241416,1.3058965,1.3395166,0.9781019,1.4752316,0.3674448,1.1939143,0.56768394,0.50999767,0.80227953,1.0533774,1.4209054,1.3834078,1.2703763,1.3331846,1.3765726,1.4583008,1.1367483,1.0650357,1.2996211,1.3675753,1.0027645,1.1763344,0.32630223,0.8996124,0.97943246,0.65715134,0.7369671,0.6498455,1.1488464,0.7938648,1.13201,0.6743832,0.61412054,1.4592052,1.3960781,1.1228812,1.1004455,1.4312761,1.3134229,0.95748043,0.45288432,0.43285465,1.4164901,1.4023304,1.2905705,0.85301036,1.2209003,1.1091299,0.7809749,0.8839994,0.7595248,1.1842753,0.8719673,1.4572233,0.5120778,0.75662845
bed,1.2062318,1.2652254,1.5110486,0.45082068,1.4262638,1.3743589,1.4226084,0.9360013,0.18522984,0.0,1.4290216,0.09093928,0.85069,0.8005506,0.3958931,0.50969595,0.9976202,1.471248,1.0699507,0.7928272,1.542633,1.0648601,1.1550407,1.3351507,1.2662375,1.1095852,0.7580334,0.7245052,1.3167412,0.6770627,0.6204236,1.1297187,1.4180734,1.3699846,0.40981358,1.3115819,1.469842,0.3287623,1.3920362,0.6820005,0.80512863,1.3182153,0.4443208,0.913306,0.892559,0.9279724,1.4527935,0.7336574,1.1599727,0.8722117,1.352433,0.92742324,1.4444184,1.4000809,1.0790093,1.3752505,1.3724993,0.78533435,1.4124393,1.230893,0.7842723,1.2847703,0.82011664,0.8698776,1.392349,0.81580925,0.6052911,0.63992304,1.3227031,0.46217155,1.260262,1.1202114,1.1588109,1.1148188,0.8494297,0.70249295,0.7796012,1.464723,1.4826247,1.1670628,1.3915845,1.0394334,1.481913,0.54542595,1.1237454,0.57791185,0.52529204,0.7058363,1.0166146,1.4397204,1.3679887,1.2473055,1.3217359,1.2410938,1.4189986,1.1646875,1.0485038,1.3433273,1.4353335,0.88038105,1.1542298,0.5045011,0.7940563,1.0349803,0.6472376,0.7351631,0.68943506,1.0351162,0.8602911,1.1970239,0.72590554,0.6010915,1.3750978,1.4198964,0.98959446,1.1532791,1.4823161,1.2939686,0.8818232,0.5042855,0.39923167,1.4341798,1.4741033,1.3169988,0.86876976,1.0370556,0.97531474,0.71664256,0.88015676,0.7864195,1.1230111,0.89694566,1.490631,0.62259465,0.71678996
