,alligator,ankle,apple,arm,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,bucket,can,car,carrot,cat,chair,clock,closet,comb,couch,cracker,crayon,crib,cup,dog,doll,door,drawer,egg,elephant,face,finger,fish,flower,foot,fork,frog,glass,glasses,glove,gum,hair,hand,hat,horse,hose,jacket,jeans,knife,ladder,lamp,melon,mitten,motorcycle,muffin,nail,napkin,necklace,orange,oven,owl,pajamas,pants,paper,pen,pencil,pillow,pizza,plant,plate,pumpkin,purse,radio,raisin,refrigerator,rock,rooster,scissors,shirt,shoe,shorts,shovel,shower,sink,slipper,snow,soap,sock,spoon,sprinkler,strawberry,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,vacuum,watch,window
alligator,0.0,1.1297731,1.4453177,0.63644403,1.3627914,1.3909198,1.2059287,1.0899659,0.8525636,0.5119002,1.3267782,0.73820406,0.5935477,0.81855786,0.68542856,0.7660562,1.1491249,1.3951575,1.3664947,0.96961206,1.4552917,1.3682842,1.4474905,1.2277732,1.073853,0.8881946,0.7041773,1.0813673,0.92800224,0.8174701,0.5228642,1.1789176,1.4816654,0.6664765,1.492529,0.82616454,0.72507125,0.8782747,0.9236699,1.403306,0.8334344,1.0009081,1.0872297,1.327578,1.1608945,1.109165,1.3241942,1.0357367,0.83518744,1.3444543,1.0698533,1.1976876,0.9208882,0.85880667,1.329319,0.7266331,0.7570616,0.7068501,0.65680563,1.393293,0.82455325,1.4795411,0.81573606,0.63466674,0.719232,1.336322,1.4497612,1.1881475,1.3658781,1.439573,1.1298373,1.0145764,0.6380364,0.7760093,0.7932268,1.4048858,1.4547998,0.9833317,0.7019907,1.4118373,1.3495159,0.7625944,0.7338618,1.2591271,1.2550546,1.0115026,0.9385553,0.9125371,1.2986612,0.62325335,0.8287948,0.9288695,1.2264597,0.7486315,1.1207955,1.4056973,0.86637944,1.231667,1.010388,1.4313902,1.2006708,0.96293783,0.7128941,0.77903354,0.72596496,1.3794873,1.1301495,1.320104,0.9962346,1.1179227,1.098392,0.8770586,0.8119024,1.4260879,0.8953068
ankle,1.1297731,0.0,0.72245187,1.0518806,0.7856841,0.89937025,0.8134693,1.1318209,1.2255039,1.3206921,0.56699705,1.121663,1.096572,1.105032,1.1571016,1.1920714,0.9663222,0.9961128,1.1828277,1.2571315,0.8960892,0.94911873,0.7482538,1.0131972,0.7316198,1.190802,1.1937263,1.1595622,1.239707,1.1326032,1.0946836,0.71779716,0.6998154,1.348727,0.98929083,1.1117804,1.2107073,1.3239937,1.0545917,0.9208032,1.1594722,1.1581156,0.32367718,0.7851958,1.2184317,0.3123536,0.8250488,1.1040145,1.2961355,0.3860805,0.8724791,0.91744727,0.9174981,0.68206847,0.6795274,1.1527071,1.2039444,1.1076267,0.95948696,0.82966864,1.3590438,0.99003774,1.1632999,1.06637,1.1842822,1.100922,0.5534691,1.0603582,0.4042976,0.6661133,1.0745457,1.1324862,1.089048,0.92055166,1.2556658,0.7287704,0.94073635,1.0064749,1.2238381,0.8646145,1.0223207,1.0929937,1.2206057,1.1986432,0.96978915,1.3246729,0.8872023,0.9816127,0.9529674,1.0370345,1.0087143,0.8035054,1.1263437,1.2110116,1.1030425,0.4354304,1.176005,0.94651926,0.9996783,0.8259214,0.5594755,1.263,1.2069569,0.8665433,1.2315605,1.0652931,0.5615239,0.50700724,1.0146854,1.0203193,1.2089406,1.132518,1.3477497,0.538691,1.1917238
apple,1.4453177,0.72245187,0.0,1.2818599,0.32512164,0.57045054,0.92257863,1.0362743,1.3727667,1.4826843,0.49640387,1.3617358,1.4139125,1.2008083,1.2765782,1.2653139,0.7612669,0.2066989,0.78283507,1.1888019,0.3690217,0.8601053,0.5850536,0.7877567,0.8137183,1.2818925,1.423445,1.0862192,1.3640072,1.3003546,1.4295692,0.800388,0.13213283,1.4405472,0.3305213,1.3254081,1.2903197,1.3756297,1.3225428,0.20878047,1.1965153,1.1245432,0.8773672,0.5074921,0.8968587,0.7811221,0.7956234,1.0169846,1.2931459,0.33232832,0.9734051,0.75330865,1.1509922,1.1784822,0.42855084,1.1709836,1.3982954,1.3118017,1.4230491,0.5202615,1.4513462,0.5581922,1.3289316,1.3544053,1.3212821,0.74854845,0.17948818,0.88245547,0.37725997,0.16112566,1.1795938,1.0490612,1.4339461,1.349604,1.285661,0.48432994,0.27062035,0.99486345,1.2317235,0.50239736,0.79012114,1.311057,1.2674191,0.7843077,0.31075472,1.3343399,1.1514112,1.1866591,0.7730448,1.3941457,1.2095214,1.1582632,0.9172831,1.2945662,1.1668942,0.33879042,1.1266634,0.6231799,1.0519229,0.661275,0.8791226,0.6929857,1.3834792,1.1491905,1.5091729,0.66384566,0.8473195,0.44832098,1.0937308,0.89831525,0.899543,1.3065999,1.4551533,0.19471502,1.2154572
arm,0.63644403,1.0518806,1.2818599,0.0,1.3365822,1.3536139,1.2533267,1.331685,0.7418302,0.5162132,1.1353009,0.7014219,0.49190694,0.865021,0.75042045,0.9150945,1.3304065,1.3296821,1.4019849,1.087932,1.3796481,1.4235289,1.4266582,1.302103,0.9566731,0.93252414,0.7687249,1.2205273,0.93736094,0.9148503,0.47206163,1.1061937,1.3509257,0.76196766,1.4525051,0.7568955,0.8588039,0.93517256,0.9244336,1.2874472,0.7331045,0.9418202,0.83123463,1.3203161,1.343884,0.8979742,1.4042351,1.2896111,0.91158825,1.1430401,1.0550766,1.1780856,0.7438774,0.6039379,1.4337351,0.8207396,0.67886347,0.69157565,0.52149904,1.4878618,0.9320939,1.4033906,0.8873194,0.80349624,0.8223372,1.2606882,1.2034137,1.3662564,1.1889609,1.3105755,1.1594708,1.1808032,0.49412924,0.63141686,0.84794486,1.3603005,1.3086478,1.1519781,0.98181254,1.4574219,1.3036397,0.7521898,1.109815,1.3373904,1.2239945,1.0285689,0.85618716,0.9755026,1.4191905,0.42284334,1.0603245,0.68125033,1.3219995,0.7515157,0.9972452,1.3458884,0.88610286,1.2701774,1.0486271,1.3773217,1.1197013,1.1001215,0.91500705,0.9567781,0.82361484,1.4271574,0.8796801,1.2291021,0.84557724,1.2732768,1.3340588,0.8939781,1.0116543,1.1924001,0.94083077
ball,1.3627914,0.7856841,0.32512164,1.3365822,0.0,0.3104524,0.75972676,1.0560702,1.3913887,1.4219143,0.6366613,1.3632915,1.3950092,1.1575055,1.2515165,1.2182533,0.7443369,0.49090648,0.7107327,1.1853979,0.4357602,0.77612007,0.6088689,0.8745275,0.91551363,1.1953725,1.3797655,0.92816156,1.3283145,1.3128543,1.36496,0.8336611,0.38602805,1.4060488,0.4503231,1.2511384,1.169288,1.4172144,1.3060375,0.4381801,1.2086191,1.0291791,0.9152426,0.5158074,0.8692347,0.8056357,0.7583431,0.838374,1.2962043,0.6383015,0.89334047,0.80776423,1.2031069,1.2309836,0.46146113,1.1532512,1.3909903,1.2914666,1.3364309,0.5381699,1.4886656,0.6253478,1.2319711,1.2710625,1.2582941,0.6728189,0.38728547,0.7839519,0.63246787,0.27215272,1.1937523,0.9518589,1.3869075,1.2703313,1.2490051,0.5094783,0.5418271,0.94391143,1.2413518,0.57900816,0.8233237,1.1810884,1.2464116,0.8807114,0.5606217,1.34454,0.96419775,1.1454463,0.73858726,1.3984487,1.1075485,1.1953895,0.9376646,1.2942181,1.1692244,0.48267442,1.1863556,0.6381045,0.9702811,0.58318555,0.90356034,0.88876253,1.2878056,1.086001,1.4621174,0.563892,0.8581197,0.58440244,1.1139327,0.7677902,0.64547896,1.2501084,1.4122157,0.494452,1.2830777
balloon,1.3909198,0.89937025,0.57045054,1.3536139,0.3104524,0.0,0.71305573,0.93555427,1.2376719,1.4687645,0.70632756,1.3455628,1.3484399,1.0516778,1.2570801,1.2546542,0.73909074,0.7609024,0.5953527,0.99130905,0.5328326,0.49432737,0.62143135,0.83969367,0.9019446,1.2294406,1.3812964,0.8928318,1.2755077,1.228276,1.4293745,0.75463325,0.6005554,1.3756241,0.4746073,1.2701387,1.1037948,1.2615283,1.1550069,0.6550916,1.2236327,1.1326488,0.8917597,0.6986277,0.87096405,0.8668173,0.6971563,0.8499279,1.2371829,0.856645,0.6591289,0.6486534,1.2149546,1.1037184,0.61435366,1.2067372,1.4513515,1.281698,1.3953086,0.6412882,1.3735163,0.61391485,1.1969054,1.1619662,1.2703336,0.6466761,0.5694337,0.66201246,0.7653047,0.48063838,1.0270115,1.0310816,1.4328644,1.3255426,1.0619181,0.6756432,0.7224765,0.93468356,1.0624921,0.7033451,0.72304547,1.1473569,1.0924922,0.76320237,0.7694421,1.2288363,1.1010759,1.007073,0.712255,1.3898709,1.0153344,1.1674525,0.7671921,1.2953111,0.9574375,0.6800811,1.249506,0.7002328,0.70592326,0.6560446,0.9266358,0.92478245,1.2972054,1.17694,1.3486725,0.38226295,0.82815766,0.7515347,0.99229157,0.737576,0.62411,1.1592146,1.3136961,0.6376146,1.2270416
banana,1.2059287,0.8134693,0.92257863,1.2533267,0.75972676,0.71305573,0.0,0.8497809,1.164112,1.3618424,0.8660832,1.1418486,1.2209352,1.1232334,1.2959695,1.1925936,0.8842093,0.97492826,0.8428591,1.0778383,0.59737074,0.6445482,0.67525107,0.94247043,0.76473397,1.1019952,1.1977143,0.9603337,1.1802049,1.2040987,1.2619892,0.61961854,0.80196446,1.3107315,0.80335706,1.074632,1.0854194,1.1615887,1.070285,0.91569537,1.256536,1.1925558,0.90562737,0.7946187,0.6416607,0.70592487,0.7906878,0.88460696,1.1299946,0.9833154,0.64321864,0.88041234,1.1850665,1.0250704,0.8057438,1.2759516,1.2580547,1.1564956,1.1537797,0.7439142,1.2521572,0.7491914,1.0084417,1.0900006,1.2160106,0.6503704,0.86881995,0.6634573,0.94124347,0.70800734,0.97872645,1.0381514,1.2725208,1.1151989,1.1512765,0.7714766,0.87726307,0.87607425,1.0655317,0.61628675,0.6970839,1.0354612,1.0165673,0.9410079,1.0162513,1.1003952,0.926758,0.9607383,0.77663827,1.1823102,1.0753804,1.0262853,0.70031047,1.2118275,0.90644574,0.77426744,1.3606567,0.7077984,0.80067533,0.8058184,0.91954947,1.0922982,1.2013456,1.0766289,1.2114774,0.72885317,0.79310346,0.77772045,0.8433066,0.7193779,0.90911865,1.1237133,1.14564,0.96098286,1.2181492
basket,1.0899659,1.1318209,1.0362743,1.331685,1.0560702,0.93555427,0.8497809,0.0,1.2142766,1.251857,1.0042354,0.999214,1.2779899,1.2545273,0.9395325,1.006101,0.7160822,0.89637285,0.7047294,0.7295509,0.92840815,0.5285069,0.6036546,0.57777977,1.1500767,1.070568,0.9586199,0.78517103,1.0025091,0.7529412,1.2903649,1.1163888,0.91467494,1.0293759,0.7222334,1.1374013,1.0488309,0.9663179,0.9679835,1.086248,1.2394174,1.1740172,1.230525,0.9495083,0.7271669,1.0861163,0.61815923,0.8914854,0.91966206,1.1464194,0.8375571,0.97553253,1.2460163,1.2748013,0.86473346,1.00197,1.1625897,1.15676,1.4181981,0.6398429,0.8537022,0.67859477,1.1216667,1.2281892,1.276554,1.0288692,1.0621926,0.50833553,1.0725439,1.0860088,0.6741928,0.92448395,1.4222475,1.3683584,0.93707645,0.77612776,0.7894193,0.47771823,0.94070035,0.6968337,0.84517074,1.2865802,0.49900466,0.38928288,1.0171876,0.77997196,1.133649,1.2177098,0.6583461,1.3733178,0.9429969,1.11062,0.5740205,1.3003814,0.9727421,0.84684396,1.0060074,1.0321169,0.85932183,0.724489,1.0844033,0.9146349,1.1049111,1.0697328,0.97662544,0.70183194,1.0411206,1.0661683,1.1114868,0.6175255,0.8844253,1.0833075,0.8073776,1.0329231,0.9150498
bathtub,0.8525636,1.2255039,1.3727667,0.7418302,1.3913887,1.2376719,1.164112,1.2142766,0.0,0.56556505,1.2064176,0.6712693,0.7978116,1.0416728,0.8877652,0.6836219,1.1979119,1.3372163,0.99948627,1.0150659,1.3146122,1.1020429,1.3765707,1.1497136,1.1133417,0.8128331,0.84121895,1.1707267,0.88820094,0.7266682,0.7729696,1.1297534,1.4396173,0.56786346,1.3507413,0.86608523,0.9492908,0.7760327,0.7840826,1.3027326,0.86944854,1.0488092,1.1925766,1.2173822,1.0784119,1.3194206,1.113194,1.1528915,0.7159708,1.262117,1.1827621,1.181201,1.007973,0.993209,1.5252026,0.9171127,0.6896596,0.927707,0.82030594,1.3335235,0.7005937,1.2575675,0.6977161,0.9130566,0.99323124,1.1041187,1.4171416,1.166777,1.3384941,1.4116583,0.91069007,1.0786531,0.8058295,0.861801,0.7625681,1.3966773,1.3703545,1.224932,0.7548518,1.4317608,0.6548425,0.73998463,1.1411513,1.3087084,1.3047738,0.81140304,0.8324786,1.0668502,1.2736013,0.8134612,1.1618589,0.9652982,1.0949945,0.6092834,0.24596083,1.4061096,0.8033204,1.1032985,1.0231951,1.209501,1.1862055,0.9388091,0.9663099,0.8819652,0.59399265,1.2120689,1.3335514,1.3846946,0.82682353,1.2386556,1.1666901,0.60436034,0.8070518,1.4152248,0.7829002
bed,0.5119002,1.3206921,1.4826843,0.5162132,1.4219143,1.4687645,1.3618424,1.251857,0.56556505,0.0,1.4208608,0.4522363,0.6087924,0.8492081,0.5214338,0.45620728,1.2340109,1.4262301,1.3459144,0.9473108,1.5474666,1.552043,1.5700071,1.3092201,1.2420375,0.78835964,0.48624063,1.169834,0.66618526,0.8600843,0.24466676,1.3065842,1.6254333,0.18643534,1.6015583,0.7292452,0.6312202,0.74093235,0.8351766,1.3960197,0.7602153,0.89072174,1.274178,1.4320785,1.1822257,1.3734336,1.4878356,1.1684916,0.6688895,1.4126133,1.4192231,1.3330998,0.891296,0.9946961,1.5661684,0.6401038,0.47005427,0.77031577,0.5697322,1.5797404,0.5723136,1.5545307,0.72940373,0.7611827,0.6940875,1.3490689,1.5383712,1.3534372,1.5015552,1.5341754,1.0556966,1.01911,0.49550045,0.6808085,0.6680735,1.5483352,1.5283526,1.0786606,0.7442208,1.5998435,1.3341146,0.75628006,0.9185878,1.3625196,1.3220087,0.84527296,0.8127056,1.0136133,1.4676389,0.5770157,1.0944709,1.0182403,1.367075,0.58139443,0.9990942,1.5902565,0.6731523,1.3148513,1.2505451,1.5043585,1.2760919,1.0875964,0.71187234,0.80426145,0.44950652,1.4581965,1.3295579,1.5117888,1.0759859,1.2500927,1.1141279,0.71498585,0.7037513,1.5458016,0.7806215
