,alligator,ankle,apple,arm,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,butterfly,can,car,carrot,cat,chair,clock,closet,comb,cookie,couch,cracker,crayon,crib,cup,dog,doll,door,drawer,dress,ear,egg,elephant,face,finger,fish,flower,foot,fork,frog,glass,glasses,glove,gum,hair,hand,hat,horse,hose,jacket,jar,jeans,knife,ladder,lamp,melon,milk,mitten,motorcycle,muffin,nail,napkin,necklace,nose,orange,oven,pajamas,pants,paper,pen,pencil,pickle,pillow,pizza,plant,plate,pumpkin,purse,radio,refrigerator,rooster,sauce,scarf,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,snow,soap,sock,spoon,sprinkler,strawberry,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,vacuum,watch,window,zebra
alligator,0.0,1.093431,0.92029685,1.2104813,1.1006111,1.0864785,0.8445392,0.88753587,1.3155212,1.1433,0.63824177,1.1821114,1.3255548,0.4247887,1.144575,0.948,0.86694354,0.8458195,1.1502204,1.3258823,0.8130617,1.0442135,0.98996776,0.8099356,0.8178352,0.7404382,0.9196019,0.9056545,1.0151255,0.8166822,1.0947098,1.1058557,1.040019,1.1552662,1.0613376,0.7260464,1.2152731,1.0459727,0.9411908,1.0104719,0.9128008,0.97180223,1.0336727,1.238587,0.94387376,0.8422562,1.1842474,1.1480805,0.46314508,0.60266745,1.1185507,0.6958945,0.90637004,1.0418756,0.8114428,0.8812285,1.0874698,1.1860166,1.2781346,0.85894126,0.62056947,1.2130058,0.83770627,1.0644252,0.9574087,0.7381012,1.1701217,0.8309505,0.9592736,1.1215545,1.212099,0.92372274,1.0439519,0.9415874,0.73245347,0.75803864,1.0377154,0.9292057,1.1315695,1.2439001,1.1328828,1.2725096,0.72260815,0.7046023,0.9289525,0.62501544,1.0648466,0.71779203,1.1102548,0.75990325,1.0115125,0.78779227,1.1218934,0.6962806,1.0603826,1.1701075,1.3182591,1.1756964,0.9143268,1.0701045,1.343329,1.1532757,1.3172295,1.3024294,0.7432195,1.0147357,0.766569,0.86360574,0.7407088,1.1138554,0.83351946,0.93728364,1.140537,1.312933,0.85573244,1.101613,1.1077621,1.305906,0.7293327,1.1772299,1.2913219,0.9264936,0.83858407,0.93641204,0.94322044
ankle,1.093431,0.0,0.8107027,0.8946779,1.0480496,0.8980231,0.7274778,1.2788829,1.322301,1.3801734,0.76163757,1.345705,1.0712178,0.8901211,1.3381689,0.9846044,1.0559759,0.78998625,1.1985021,1.411027,0.81396306,1.1552932,1.2922521,1.0732765,1.0984594,1.2152959,0.7189609,1.2423661,1.3498638,1.0233376,1.3009219,1.202873,0.9547943,1.2452617,1.0442069,0.7171416,1.4747732,1.1403668,1.1826031,0.986984,1.2084355,1.1716553,1.0294025,0.57775646,0.7547068,1.3732079,0.97046596,0.25339973,0.95982563,1.1307901,0.28831112,0.8726164,0.9776807,1.2478545,0.6583884,0.58937776,0.6163775,0.9723216,0.62561667,0.5956373,1.2256527,1.0780941,0.89229536,0.8753195,1.0755935,1.06236,1.3130044,1.2391055,0.87363726,1.02645,1.0599804,1.0979955,1.167525,0.4484049,0.77767634,0.8807567,0.47555095,0.89514273,1.3022926,1.1785525,0.9780394,1.2832773,0.77548957,0.77353656,0.85086095,0.82567817,1.0029491,1.1307615,1.1344135,0.80182713,1.1928262,0.9874856,1.3827186,1.1000434,1.0919242,1.1604631,1.3307505,1.1364418,0.7411866,0.8836906,1.1209507,1.1712618,1.2406303,1.2293122,0.54676473,1.2599272,0.8163613,0.5864275,0.7976481,1.0589556,0.89906836,1.2231843,1.106321,1.3625381,0.88573194,0.17702699,0.32972097,0.9585928,0.79731184,1.2238109,1.2867274,1.2535484,0.6900204,1.3156626,1.0587548
apple,0.92029685,0.8107027,0.0,1.3237231,0.3202746,0.2819203,0.579245,1.2248573,1.3508284,1.4060879,0.6567685,1.5537883,1.216304,0.6858758,1.369617,0.9965911,0.9984484,0.77794063,1.0181508,1.3763611,0.70486194,1.0302987,1.0951092,0.7145654,0.9803816,1.0868242,0.82083476,1.2466297,1.5265834,0.851679,1.3373084,1.2666341,0.8259212,1.4799777,1.0763891,0.51551265,1.4836316,0.9144187,1.2626718,1.1269698,1.3332291,1.2039158,1.1744013,1.0323707,0.442271,1.1029322,1.0700997,0.8348023,0.5971971,0.7976898,0.9175841,0.71872926,0.6601154,1.1093547,0.5226921,0.94660103,0.68905085,1.2485646,1.1780224,0.6002462,0.96038395,1.1910205,1.115942,1.1348543,1.3639021,1.0556371,1.3768241,1.0405836,0.58538055,0.9219285,1.3536115,1.1177624,1.0458771,0.45043027,0.65164673,0.6388087,0.80852276,0.22877657,1.3913745,1.4332807,1.4256182,1.4005071,0.59988177,0.569185,0.7594508,0.9814385,0.8637747,0.9385981,0.91093653,0.51070344,1.2603908,0.96836823,1.4147308,0.6812737,0.9648832,1.3300283,1.2367401,1.4563028,0.93194604,1.3688782,1.3110856,1.2247643,1.2088474,1.1846913,0.49846357,1.3098015,0.69712627,0.8532218,0.6419745,1.2492371,0.5292689,1.273385,1.436375,1.3879418,0.57253665,0.86412007,0.9697904,1.2158115,0.7040747,0.94227487,1.2192111,1.3685832,0.5978333,1.3031335,1.149949
arm,1.2104813,0.8946779,1.3237231,0.0,1.1561112,1.1016569,1.2619388,1.2138929,0.6623986,0.62781143,1.3486643,0.6091543,0.60284746,1.3452957,0.61158603,1.2387122,1.2161303,1.3577499,1.0707058,0.74247694,1.2691438,1.1775801,0.95161396,1.2141097,1.1986307,1.1180246,1.0036031,0.832739,0.79886806,1.2671051,0.8994661,0.74296105,1.1308141,0.6067569,0.79965866,1.4028099,0.71252024,1.1667049,0.8720607,1.0274634,1.0111616,0.9804274,0.88601154,0.96899503,1.3770249,1.1513304,0.9006031,0.85431606,1.3199439,1.3196199,0.723905,1.3352093,1.1526,0.84616613,1.3919212,0.9312964,1.1518184,0.746279,0.47186226,1.3601891,1.1877657,0.7092679,1.0377846,0.963643,0.66470164,1.0097026,0.8727398,1.0655264,1.3182597,1.1056668,0.5259192,1.1579331,0.97336185,1.2988739,1.3911544,1.3635218,1.1600981,1.1837151,0.8146779,0.49981213,0.6814076,0.6110594,1.3390478,1.3437861,1.1177139,1.1527989,1.0332111,1.2445657,1.1048175,1.3912466,1.1026766,1.2822223,0.80002385,1.3947182,1.1005033,0.61093223,0.6903994,0.4557156,1.0461643,0.64793515,0.6388063,0.9264575,0.73504496,0.8477874,1.3799989,0.8919523,1.366838,1.0621791,1.4138296,0.7948214,1.2903786,1.0335833,0.56810534,0.6280528,1.4256773,0.83316195,0.8551914,0.5693624,1.3579568,1.1095864,0.76648045,0.86817,1.3307548,0.7953029,0.9135831
ball,1.1006111,1.0480496,0.3202746,1.1561112,0.0,0.164343,0.84733975,1.0463005,1.1222246,1.135551,1.0680578,1.2690496,1.0019879,0.9478464,1.1110449,1.055907,1.0827001,0.9993418,0.96511865,1.038328,0.9909926,0.97046983,1.0661374,0.58804536,1.1034477,1.1439837,1.1214486,1.1464403,1.2866589,0.89989,1.125329,1.0746914,0.72987765,1.2202775,1.0812091,0.9764755,1.1701492,0.9713788,1.1111896,1.0308126,1.2529757,1.1764641,1.098063,1.1059738,0.82397527,1.0139103,0.98891515,1.0744526,0.8668504,0.92187047,1.0441468,1.0789145,0.70193994,0.92603225,1.0109786,1.0629693,0.730692,1.1559657,1.1220922,0.95588356,0.93428993,1.0328015,1.2282189,1.1051855,1.2704948,1.2503086,1.1369476,0.92397755,0.752653,0.89621574,1.0926534,1.0936444,0.8975994,0.8418914,1.052339,1.0612153,1.0048273,0.4406054,1.2153885,1.1632171,1.2587879,1.0514953,1.0451078,0.999833,1.0110955,1.1643343,1.0644101,0.99513614,0.94431216,0.8804798,1.0411099,0.9509573,1.2117523,0.78329074,0.8965701,1.1211131,0.8794458,1.229162,0.97157806,1.2840171,1.0100229,1.1020942,1.0265796,0.89806724,0.9639031,1.1487916,0.95118505,0.866325,1.0431012,1.0166627,0.9285519,1.0860176,1.2158966,1.1028783,0.7007319,1.0506436,1.1799358,1.0358737,1.0670593,0.6727853,1.0099293,1.218967,0.9360228,1.0896943,1.1756195
balloon,1.0864785,0.8980231,0.2819203,1.1016569,0.164343,0.0,0.8438883,1.2571623,1.1769316,1.2152236,0.9730335,1.3025181,0.95531595,0.9541158,1.1373495,1.0150708,1.096651,0.9542636,1.0950457,1.1882234,0.87902087,0.9997785,1.0343143,0.7289682,1.1022391,1.0727065,0.93350846,1.1302073,1.3524941,1.006879,1.2162812,1.0966144,0.8920809,1.2599332,1.0409046,0.88722986,1.292303,1.0263397,1.1349448,1.0754678,1.3184301,1.1883713,1.1209481,1.0506071,0.7993715,1.0887899,0.99326575,0.887737,0.8059488,1.0224423,0.86261845,1.0530069,0.7615258,0.98576677,0.9162551,0.91824716,0.693204,1.1154301,1.0085315,0.8439162,1.0242758,1.0811421,1.1486913,1.1203215,1.1368467,1.1250921,1.2203892,1.04656,0.6858891,0.8809986,1.0569932,1.0739814,0.9600521,0.72238946,0.9142566,0.9759429,0.8907113,0.32369465,1.2427992,1.1772633,1.2179925,1.1215019,0.9440166,0.8944193,0.92334837,1.0543445,1.0332171,1.0794082,1.0263505,0.8222411,1.1500398,1.116167,1.279778,0.8427661,0.8996994,1.1087321,0.9690097,1.2215011,0.84665966,1.2200986,0.99590445,1.1880573,1.0872241,0.9532917,0.82837486,1.1696769,0.9466508,0.7868633,0.9572631,1.033465,0.9431823,1.1905997,1.2291337,1.2151144,0.6177368,0.91148895,1.0006212,1.0087615,0.93908477,0.7607032,1.0836307,1.2608387,0.90024316,1.1736684,1.1200873
banana,0.8445392,0.7274778,0.579245,1.2619388,0.84733975,0.8438883,0.0,0.95667076,1.3966095,1.4695644,0.84428275,1.5153316,1.2242527,0.7057198,1.4018377,0.9451146,0.9438943,0.77747524,0.9601453,1.3228707,0.7801815,0.9947908,1.1899701,0.82167536,1.0704385,1.0296003,1.0797585,1.267986,1.4062804,0.78226745,1.2660215,1.268899,0.6889897,1.454356,1.1208208,0.71551776,1.4410274,0.98238945,1.1553339,0.76848054,1.1956236,1.2600248,0.86298025,1.0250963,0.68877614,1.1472349,1.0627712,0.89934087,0.67056495,0.6019403,0.9057399,0.6382495,0.5318999,1.0970112,0.8198621,0.7100305,0.6678291,1.2482316,1.0974307,0.67458975,0.80419,1.2140832,0.9764068,1.0143214,1.2539647,1.0674685,1.2687237,1.0399373,0.5255612,0.9494856,1.2412688,0.9695049,1.0582057,0.81576115,0.7418382,0.9249786,0.9357693,0.8196473,1.3597921,1.4136004,1.2752646,1.3964776,0.8047335,0.7624997,0.6846726,0.920986,1.0561143,0.7200665,0.7821867,0.6213561,0.8682183,0.8320369,1.3923078,0.60864246,1.0380121,1.2073776,1.2147924,1.4026333,0.80169106,1.2859026,1.3153743,1.2087402,1.2393473,1.1644309,0.65016043,1.2963123,0.61480576,0.72944254,0.60483295,1.0452324,0.8756803,0.9982423,1.3313857,1.3551133,0.7189141,0.81595725,0.9351166,1.1729223,0.7920832,0.91115177,1.1867659,1.3041072,0.79985154,1.3432688,1.0530449
basket,0.88753587,1.2788829,1.2248573,1.2138929,1.0463005,1.2571623,0.95667076,0.0,0.9755413,1.0166149,1.0781243,0.9324444,1.280234,0.8350288,1.0399368,0.92430574,0.74954796,0.88491267,0.7960533,0.8601686,0.9362219,0.9198265,0.8896636,0.79667675,0.7567104,0.96511865,1.1937767,1.1373677,0.6661792,0.7554936,0.817948,0.8398263,0.7971424,1.0468675,1.0177822,0.9925242,0.69759274,0.8216008,1.0661592,1.0052252,0.78952205,0.75481015,1.0905751,1.265061,1.115285,0.8589697,1.2029866,1.355053,0.9037781,0.71216524,1.2833778,0.73476505,0.96603584,1.1788282,1.115036,1.0429913,1.0927631,1.2611177,1.3248821,1.1538204,0.90835965,1.1396713,1.1486497,0.9615126,1.2860297,0.91049755,0.7651891,0.700017,1.0256851,1.0511664,1.1649957,0.9464484,0.97576135,1.2427497,0.9191313,1.0893964,1.2694566,1.2231393,0.83897936,1.1670988,1.21289,1.0123056,1.0014493,0.9967408,1.17755,0.83604723,1.0918409,0.72801125,0.8850089,1.038855,0.63975614,0.5793377,0.7984834,0.80295694,0.9738895,1.1500275,1.0199715,1.2286761,0.96739465,1.2102382,1.1497822,0.844418,1.0101088,1.1037416,1.1077414,1.0883489,0.79981184,0.9587577,0.8367408,1.0063158,1.011449,0.7807449,1.2044454,1.0491477,0.7930125,1.2789673,1.3057483,1.1990505,0.89364135,0.9107843,1.017685,0.813465,1.0143521,0.99212116,0.8805089
bathtub,1.3155212,1.322301,1.3508284,0.6623986,1.1222246,1.1769316,1.3966095,0.9755413,0.0,0.42026758,1.4133414,0.46172863,0.6409193,1.3789324,0.51262176,1.2039899,1.1195258,1.4961321,0.7550145,0.33130682,1.3458302,1.0991192,0.63694555,1.1176852,1.0950834,1.0197792,1.2990215,0.782864,0.6996486,1.3110843,0.77920514,0.7280382,0.9923599,0.59376955,0.89795524,1.4984148,0.38717908,0.9009488,0.9137646,1.2744683,0.93055034,0.6856725,1.0178517,1.1525378,1.3988324,0.8148391,0.8953689,1.2734051,1.3186463,1.2575552,1.2494395,1.3631737,1.1708426,0.79594123,1.4294605,1.4367609,1.2033361,0.81813586,0.8690134,1.5310824,1.0884537,0.7392909,1.1769986,1.1503122,0.90673304,1.0894893,0.6974064,0.90191185,1.2938783,1.0537267,0.8079438,1.1382649,0.92030925,1.4339714,1.4249609,1.3308468,1.2960322,1.3259256,0.58377784,0.6918563,0.9454081,0.4553163,1.4295425,1.4421501,1.187892,1.3306813,1.0283515,1.2119583,0.6990335,1.4774985,1.1211059,1.2549256,0.49723518,1.3302951,1.0266434,0.77058965,0.6153677,0.7186678,1.3002486,0.96742374,0.6812111,0.5399085,0.1359781,0.67716783,1.5472351,0.71001595,1.2427903,1.2960953,1.4452572,0.88286364,1.2439709,1.1292733,0.7620307,0.35248232,1.2372837,1.3291618,1.2477033,0.7301462,1.4307251,1.0177087,0.34747326,0.9280114,1.4375224,0.67751014,1.0145794
bed,1.1433,1.3801734,1.4060879,0.62781143,1.135551,1.2152236,1.4695644,1.0166149,0.42026758,0.0,1.34745,0.20392227,0.65857327,1.4507189,0.14743054,1.2173216,1.1051667,1.56419,1.081323,0.48940384,1.4252049,1.110723,0.89696085,1.1436267,1.2130765,0.73747045,1.2683618,0.4998995,0.6694782,1.3540275,0.6349702,0.54858506,1.2414064,0.23467773,0.8528286,1.5403029,0.29336083,1.2450535,0.6637668,1.1369197,0.87639594,0.8906703,1.0090462,1.1468551,1.4462456,0.6576089,0.784351,1.3297067,1.2614081,1.2613775,1.3421271,1.5017557,1.3340023,0.6307438,1.3962002,1.4007493,1.4706485,0.72957605,0.93030447,1.5019981,0.9675288,0.60030067,1.10045,1.2339967,0.670837,1.0527978,0.6238964,1.0135378,1.2923756,1.1701937,0.6606475,0.9336858,0.8663947,1.4845412,1.4458237,1.326361,1.3389046,1.3686743,0.65794814,0.41808182,0.71328706,0.4472475,1.4212428,1.4519038,1.2009084,1.0870537,1.0167233,1.1599138,1.0880364,1.4708436,1.0718962,1.2700403,0.5531684,1.4299847,1.1828594,0.68484366,0.66479623,0.5102931,1.2267578,0.80447114,0.75331223,0.73450637,0.6362494,0.69411397,1.5162109,0.33637738,1.4412203,1.3680754,1.5669868,0.98532254,1.2769591,0.9122237,0.53408897,0.4285288,1.3928708,1.3775792,1.3319345,0.87567943,1.4221917,1.0318556,0.70696115,0.8740655,1.4382869,0.5741061,0.8884961
