,alligator,ankle,apple,arm,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,can,car,carrot,cat,chair,chips,clock,closet,cloud,coat,coffee,comb,cookie,corn,couch,cracker,crayon,crib,cup,deer,dog,doll,door,drawer,dress,egg,elephant,eye,face,finger,firetruck,fish,flower,foot,fork,frog,glass,glasses,glove,grass,gum,hair,hamburger,hand,hat,helicopter,horse,hose,jacket,jar,jeans,knife,ladder,lamp,leg,meat,melon,milk,mitten,motorcycle,mouth,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pastry,pen,pencil,penguin,pillow,pizza,plant,plate,pony,pumpkin,purse,radio,refrigerator,rock,rooster,sandwich,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,snow,soap,sock,soup,spoon,sprinkler,stick,stroller,sweater,swing,table,tape,toast,toe,tooth,toothbrush,towel,toy,tray,tree,tricycle,truck,vacuum,watch,window
alligator,0.0,1.2994721,1.3600745,0.622002,1.2640076,1.2888994,0.8559458,1.1465555,0.6391417,0.7181329,1.3573797,0.7191807,0.85301065,1.0666449,0.9160695,0.7802751,0.74925756,1.3894751,1.3924927,0.7808503,1.234726,1.1405939,1.3754942,1.4371487,1.0697049,1.2704177,0.22359169,1.1604917,1.2025878,1.2224171,0.9820106,0.8218741,1.0189022,0.81640315,1.0274656,1.2498916,1.3732909,0.5807975,1.2377641,1.4625659,0.89176583,1.4299514,1.0323515,0.26179028,0.879129,0.962076,0.99176395,0.8064201,1.2893399,0.6996384,1.1277418,0.88414526,1.2225611,0.9459153,1.0542873,1.3266928,1.1248089,1.1439339,0.75415754,0.8743075,1.2930183,1.1143218,0.83482957,1.3609374,0.882965,0.90794694,0.81920135,1.3873938,0.9523704,0.76517725,0.7282237,0.7698325,1.1705563,0.7982719,1.3204856,1.2643169,1.2893164,0.9584064,0.9832377,0.74573773,1.0277288,0.6488975,0.95222205,1.0276786,1.0303841,1.4081278,1.1953679,1.410978,1.1327779,1.3266591,0.925967,1.1152759,0.68889904,0.8539696,0.56580365,1.1040827,1.3606493,1.3776016,0.90994996,1.2082529,1.004138,1.1899483,1.0968835,0.64534634,1.1833525,0.92266744,1.1436496,0.89105153,0.8091147,1.0563245,0.8513763,0.8446802,0.71358514,1.0460935,1.096438,1.1358831,0.6804212,0.896133,0.91596353,1.4388771,0.67636997,1.3437223,1.173027,1.2369169,1.2322501,0.7691883,1.2265131,1.0234128,0.7214141,0.8557923,0.58988756,1.324912,0.9208787,1.2720733,1.1788701,1.14851,1.1179261,1.0037771,0.97106105,0.7827028,1.0899683,0.8969097,1.1031957,1.3684583,0.9468954
ankle,1.2994721,0.0,0.8246184,1.0157411,0.8391255,0.90410995,1.059836,0.9066585,1.2785134,1.1190349,0.7666819,1.2907946,1.1213884,0.8211909,1.074723,1.2424858,1.2022176,0.793387,0.82395256,1.2649567,0.94912386,1.008997,0.79227895,0.79930866,1.0242022,0.90091026,1.2810519,0.99814534,0.9405555,0.93162185,1.1997348,1.2440064,0.9608173,1.3050559,1.0116836,0.9151057,0.8510475,1.2229962,1.0105497,0.7381192,1.2580732,0.74561954,0.9558731,1.2239974,0.81131124,1.1934505,1.041191,1.1081841,0.86609596,1.1043922,0.91419727,1.1305213,0.6387785,1.1772856,0.8932249,0.90761065,0.30066383,0.9496162,1.0587885,1.2063407,0.8201241,0.27302957,1.2255423,0.81310034,1.1346564,1.2196404,0.9691355,0.671914,1.0056566,1.1689227,1.3143318,1.1650584,0.78816617,0.9797608,0.8234772,1.0162909,0.88174593,0.7891954,1.082055,1.321873,0.8540211,0.784988,1.1140044,0.9796662,1.0802116,0.7528153,0.6522796,0.72267324,0.8684325,0.8203038,1.1835917,0.87768084,1.0685596,0.9977648,1.3208673,1.0427363,0.8406862,0.8067737,0.89072317,0.6414309,1.2130046,0.9188148,1.1621897,1.1603893,0.9546343,1.0847499,0.84992015,1.2248368,1.0593703,0.8308075,1.2536974,1.0527612,1.1588526,0.33254206,0.78793454,0.9511007,1.2806063,1.1401765,1.118865,0.3907833,1.2724513,0.893339,0.19911128,0.77617854,0.8833887,1.2768075,0.6131239,1.0800105,1.0727613,1.294455,1.4443517,0.8056797,1.2033457,0.4487607,0.8467225,0.90898156,0.7550101,1.0615662,1.1896396,1.3423383,1.0563021,1.1900208,1.0581496,0.66028166,1.1818429
apple,1.3600745,0.8246184,0.0,1.3323345,0.47617745,0.39960533,0.9650131,0.8608734,1.3723892,0.97052217,0.3792764,1.4959357,1.2117558,0.8353729,1.219216,1.3125634,1.246356,0.46620166,0.6994594,1.4414415,0.78493536,1.1704235,0.81240696,0.64326954,1.158809,0.35139573,1.3063673,1.2021112,0.8131665,0.7462695,1.1739368,1.2106998,1.0922931,1.3193893,1.1633954,0.70246315,0.50607234,1.4004508,0.73162687,0.27507257,1.4409517,0.566509,0.9027471,1.3003086,1.1664011,1.3135536,1.2597184,1.3483489,0.37273186,1.2082083,0.5734555,1.0992773,0.6180359,1.273864,0.5770185,0.6252744,0.9980085,1.025033,0.8817283,1.2282205,0.3767872,0.88919705,1.1407785,0.4286543,1.0822152,1.1789808,1.1437478,0.24393737,1.1121097,1.0633754,1.3293816,1.2169029,0.9890326,1.2830648,0.5961031,1.1804479,0.8187312,1.049503,1.0609183,1.2621835,1.0933917,1.2950196,1.2525749,0.872646,1.0550164,0.14804673,0.8529849,0.4878869,0.6230831,0.32000792,1.3141626,0.8754179,1.3326849,1.2168493,1.3740194,1.1445988,0.3929789,0.4090656,1.0226507,0.9064879,1.1689246,0.88847667,1.138843,1.1110247,0.57293934,1.3113776,0.9019605,1.3648524,0.89032847,0.94154114,1.2741878,1.208506,1.2914022,1.1801312,0.9576719,1.1388559,1.3052868,1.260073,1.1970652,0.37301564,1.3312097,0.3868367,0.9434061,0.7801542,0.8590876,1.2941686,0.8499359,1.3076262,1.2554355,1.3231075,1.5014347,0.53398424,1.2403481,0.54556495,0.63602626,0.92811346,0.903466,1.0581764,1.2614205,1.2470245,1.1699244,1.3332404,1.33556,0.2913478,1.2985286
arm,0.622002,1.0157411,1.3323345,0.0,1.3244967,1.3731987,0.94900537,1.2121567,0.601076,0.90011126,1.2960322,0.6695906,0.6299231,1.3664384,0.977137,0.97923505,0.8698455,1.3601782,1.4657239,0.83009875,1.2996773,1.1506523,1.3499892,1.4175708,1.130188,1.0902423,0.7299633,1.0504162,1.2070655,1.2374277,0.85631037,0.87231493,0.9265752,0.92109257,0.93062145,1.3401809,1.3917036,0.57560873,1.2701764,1.4264352,0.9100535,1.3906947,1.2479224,0.7717487,0.9383814,0.8373679,0.98086786,0.55154413,1.2956823,0.8690933,1.2887869,0.7516303,0.8244523,0.92768097,1.4158971,1.371081,0.79946446,1.1730754,1.1404418,0.8083985,1.1864415,1.0528744,0.89732945,1.2741873,0.723618,0.93745667,0.40878487,1.4773744,0.9646904,1.1213303,0.7925507,0.7559707,1.0482129,0.52935135,1.307553,1.1783715,1.3157246,0.5046597,1.1179383,0.7867203,0.95381343,0.5680324,1.0959661,0.9093077,1.0902808,1.3253261,1.3032216,1.1638292,1.041206,1.3573133,0.8277938,1.1562974,0.38595396,0.65295434,0.6975004,1.1082891,1.3915987,1.3362098,1.0484121,1.2973847,1.0920672,1.2667007,1.2031695,0.99976784,1.2062777,0.8875481,1.2105432,0.7687274,0.96491855,1.2379373,0.9036064,1.0055375,0.4502136,0.91290367,0.84264076,1.2866476,0.6346303,0.92081624,1.0888946,1.3143787,0.8211541,1.3671134,0.8467492,1.0766503,1.300855,0.8342022,0.84990305,1.0312977,0.4706514,0.93270385,0.65650094,1.4373034,0.978122,0.93134725,0.9983653,0.9581515,1.1887654,1.1537216,1.0411901,0.8520298,1.1460054,0.90246695,1.0907129,1.2140788,0.9915223
ball,1.2640076,0.8391255,0.47617745,1.3244967,0.0,0.2129798,0.8654573,0.8951413,1.3015192,1.10317,0.7797282,1.3950663,1.1903834,0.8766882,1.1146324,1.1473081,1.109241,0.6170989,0.65707994,1.1786063,0.8718248,1.0450357,0.64926803,0.7156073,1.0433763,0.84439945,1.1979461,1.1220524,0.72195196,0.75102025,1.2018607,1.2110124,1.0627648,1.2421223,1.0917464,0.72905636,0.80327797,1.3679188,0.8780376,0.65616786,1.241559,0.6313673,0.83610994,1.1546661,1.0368931,1.2938597,1.0805893,1.3043404,0.52356017,1.2313237,0.64243776,1.1676701,0.888106,1.1614143,0.7872959,0.6925225,1.0687541,1.0297133,0.70376503,1.1220292,0.7815565,0.79778314,1.198432,0.39439315,1.1615851,1.1062069,1.2092824,0.51753336,1.0684662,0.89674616,1.223383,1.1944014,0.9690244,1.2459387,0.89350027,1.0432558,0.83958775,1.2485929,1.036792,1.062777,0.9103174,1.139751,1.0337734,0.8509966,0.9409966,0.55833834,0.8583734,0.6547786,0.79304934,0.47559553,1.298849,0.90368956,1.3556321,1.3219233,1.2672274,1.0192028,0.8039403,0.7960995,0.9901622,0.80470526,1.1502472,0.8785145,1.0589935,1.0089091,0.7832132,1.0979284,0.6823744,1.3813033,1.0454525,0.93639505,1.2622515,1.0550971,1.3067948,1.0026213,1.0883588,0.9626351,1.319361,1.1550176,1.1620632,0.6613277,1.2408192,0.683642,0.9910957,0.8891336,0.93277514,1.1633174,1.0277047,1.1236297,1.3455143,1.1803443,1.4197607,0.37291765,1.1915898,0.86210436,0.8485142,0.8600423,0.89655036,0.6890042,1.2567818,1.2212901,0.97807705,1.2140412,1.1225381,0.7083487,1.2581856
balloon,1.2888994,0.90410995,0.39960533,1.3731987,0.2129798,0.0,0.954941,0.8406626,1.2292122,1.0815365,0.7019871,1.3434104,1.1695341,0.8546529,1.072971,1.071487,1.1269401,0.51806736,0.64421546,1.1976879,0.9695523,1.0392153,0.54370373,0.57877624,1.0762529,0.8047179,1.2447861,0.9867959,0.68547773,0.7043256,1.1237429,1.1245552,1.0731077,1.193044,1.0516312,0.83658177,0.79544836,1.3418565,0.95720136,0.5474253,1.1554732,0.5665666,0.8784802,1.2431501,1.0727786,1.2130144,1.1190327,1.3073429,0.5569478,1.199196,0.7332119,1.19095,0.9548574,1.1542716,0.7467858,0.6802518,1.1355163,0.9657785,0.8494849,1.1336013,0.770515,0.84484136,1.18473,0.39601707,1.1921642,1.2254006,1.2685962,0.44462395,0.99109906,1.0482024,1.1917127,1.1524745,1.0216532,1.2274745,0.8376686,0.9435203,0.78391784,1.2380455,1.1224835,1.1461695,0.9092234,1.1899052,1.0329785,0.9240135,1.0836738,0.49830723,0.7982137,0.6275835,0.9145341,0.4779482,1.2078421,0.820294,1.3629704,1.2726867,1.2473263,1.0992573,0.7198064,0.71055967,1.0447452,0.85397387,1.1991185,0.8680999,1.0931304,1.1191094,0.77250177,1.0437112,0.943489,1.2511958,1.0303804,0.91189694,1.3023176,0.96723074,1.2805411,1.0767443,1.0564002,0.9821306,1.3050537,1.1014555,1.0285718,0.6449158,1.290337,0.58241296,1.024208,0.9129871,0.87664396,1.1228219,1.0293576,1.0426716,1.3211939,1.108655,1.3931856,0.38122374,1.2144728,0.9039942,0.82871205,0.7766503,0.7875558,0.7517257,1.2637299,1.1990026,1.0047046,1.2101295,1.0796126,0.66467,1.1947069
banana,0.8559458,1.059836,0.9650131,0.94900537,0.8654573,0.954941,0.0,1.1521803,0.956065,0.8887108,1.2311459,1.1127913,0.8612033,1.1104032,1.1266977,0.84341514,0.9176194,1.1995056,1.1343807,0.9438607,0.9190449,1.1534419,1.184671,1.3222514,1.1721122,1.0091333,1.0722783,1.28007,1.0190772,0.99851173,1.184639,1.0490693,0.970196,1.1388453,0.98830855,0.838616,0.9478523,1.0323839,0.88164043,1.1818765,0.9827308,1.2219951,1.0257134,1.0077553,0.83092713,1.1590195,1.0706879,0.9750288,0.9014731,0.91726315,1.1229583,0.9111161,0.9809633,1.0584408,1.1334839,1.2242687,1.0665473,1.0010489,0.648906,0.9349517,1.0639415,0.9882994,0.8883661,0.99819165,0.98067164,0.81544185,0.8496293,1.1385214,1.075707,0.8556521,0.77099323,0.86058515,1.0806255,0.9979947,1.1817936,1.2503045,1.1810172,1.0216795,0.9902482,0.9002017,0.8776119,0.79363716,0.8765982,0.9493976,0.82306546,1.1107081,1.109659,1.153738,0.95910823,0.8794953,1.1637414,1.1060078,0.9676726,1.0281501,0.82236385,0.9121865,1.2337623,1.2021127,0.9705409,1.229091,1.0341713,1.2081456,1.0246948,0.9128003,1.0565084,1.0353601,1.0155721,1.1644058,0.8938539,1.2852583,0.97302,0.7369901,0.9220632,1.0064512,1.106066,1.1546949,0.9978192,1.1270849,0.8035939,1.1868848,1.0044209,1.1157644,1.0785842,1.0462868,1.0359436,0.7965025,1.0498531,1.0392365,0.9570055,0.8231991,0.9704132,1.0825052,1.0442691,1.0601758,0.88552153,0.9347865,1.0483084,0.6212107,1.1388692,1.0157963,0.87656736,1.0912492,1.1871518,1.1369509,1.1349909
basket,1.1465555,0.9066585,0.8608734,1.2121567,0.8951413,0.8406626,1.1521803,0.0,1.0372304,1.0767412,0.7662538,0.92775327,1.138245,0.92715555,0.7810089,1.1196052,0.96173745,0.71716243,0.67975014,0.91964793,1.015498,0.97044027,0.6713021,0.6347668,1.0664729,1.0413296,1.1172503,0.64796257,0.94186366,0.77191275,0.94985974,1.1489036,1.004526,0.90309715,0.86752737,1.0324311,0.84374636,1.04334,1.0588896,0.7732476,0.75517374,0.65155256,0.839594,1.1322198,1.0218667,0.97419196,0.83991134,1.1189966,1.0410779,1.044613,0.9372031,1.2413093,1.1106477,1.1752794,0.825866,0.7338076,0.9425969,0.9340667,1.0488207,0.81967056,0.95642483,0.7890818,1.1519551,0.8398787,1.1209283,1.1792923,1.1664491,0.7595411,1.0701427,1.0824395,1.247098,1.106747,0.8757759,1.1413511,0.80833113,0.7512202,0.72235405,1.2087579,1.0871414,1.2816073,0.93321484,1.0083847,1.1066529,1.0977203,1.099684,0.9090339,0.7084409,0.88421357,1.1091452,0.8671683,0.96630275,0.73569584,1.1297115,1.2218196,1.174118,1.1028008,0.7844845,0.76720834,0.9548514,0.5981275,1.1988264,0.82702863,1.0766388,1.1106882,0.83798426,0.80022144,0.9214106,1.0360845,1.088145,0.7602495,1.2833338,1.0518597,1.2241931,0.93362427,1.036484,0.9524993,1.1638001,0.75171316,1.0693454,0.7650426,1.1557014,0.7596997,0.9316464,1.0076034,0.8620485,1.2358673,1.0114442,0.91213244,1.191422,1.1667255,1.1633039,0.8772712,1.2679547,1.0555317,1.039659,0.97232497,0.7674323,0.9925488,0.9828714,1.0719,1.0641407,1.1524049,0.88223684,0.83086026,1.0577881
bathtub,0.6391417,1.2785134,1.3723892,0.601076,1.3015192,1.2292122,0.956065,1.0372304,0.0,0.79721117,1.274456,0.48992026,0.80110645,1.3047608,0.87768495,0.5686021,0.8322744,1.3455307,1.3052297,0.66145617,1.4547749,1.1197526,1.1285105,1.2261742,1.0410156,1.21047,0.71151674,0.8981881,1.2572147,1.27702,0.7708634,0.86217165,1.0120996,0.74339855,0.91092825,1.4638093,1.456454,0.52793175,1.4429991,1.4142772,0.637722,1.3166157,1.2294815,0.8323712,1.0226859,0.67153054,0.7010892,0.81513625,1.3287814,0.6604979,1.2736285,0.8312787,1.1270069,0.8741988,1.3688896,1.4064302,1.1374487,1.1173719,1.1367439,0.7478,1.258423,1.2074839,0.8230914,1.2903488,0.8504311,1.0926269,0.739834,1.4636796,0.8383502,0.9869158,0.63095623,0.66098994,1.1113539,0.6528743,1.2292304,1.0421678,1.238852,0.90290266,1.1976515,0.89661014,0.9687375,0.7543596,0.97139084,0.8292036,1.2386572,1.3671551,1.2168332,1.2874199,1.109893,1.338325,0.5493918,1.2797935,0.6449487,0.7381264,0.646128,1.2362417,1.3211722,1.3155336,1.2439467,1.2608187,1.1536232,1.2493353,1.1953828,0.9572305,1.2336526,0.8136101,1.2666452,0.5208819,0.8795228,1.1100596,0.97375405,0.890982,0.62411803,1.0836127,0.9753243,1.1941888,0.38270438,0.5030882,0.9064965,1.4482331,0.61709964,1.2374141,1.1380687,1.1449945,1.2326448,0.683379,1.2480747,0.88912624,0.57324517,0.8980858,0.5620205,1.3667434,1.0413178,1.225215,1.0309204,0.9658747,1.0949216,1.0073391,0.9524124,0.80188704,1.1137891,0.8539902,0.90125406,1.3310764,0.77580315
bed,0.7181329,1.1190349,0.97052217,0.90011126,1.10317,1.0815365,0.8887108,1.0767412,0.79721117,0.0,0.99336135,0.88327754,0.959958,0.9423377,0.8537039,0.8550292,0.9962504,1.1862009,1.2233456,1.085012,1.2221746,1.2494057,1.2334733,1.190099,1.0788367,0.871838,0.70496404,1.1519992,1.1214913,1.214639,1.1026345,0.91174656,1.0163087,1.0335675,0.93237156,1.1898144,1.1172322,0.82809746,1.2284489,1.086524,0.98466676,1.2353326,1.0709352,0.7999446,1.0586648,1.0278826,1.0862713,1.0181038,1.0342292,0.46469945,0.9078014,0.86948895,0.91319674,1.0192257,0.9573015,1.2480097,1.0065795,1.1231066,1.0292637,1.1540512,0.95720625,1.062697,0.7229421,1.1387917,0.89013314,1.139447,0.87457013,1.0113096,0.9593751,0.91760194,0.8893553,0.815419,1.1154479,0.8038566,1.0826348,1.2380506,1.1559603,1.0401782,1.1797163,1.0551695,1.1656891,0.89641565,1.0740751,0.9223178,1.1381923,0.9345835,1.1519086,1.073611,0.9271435,1.060689,1.0009725,1.0995414,0.8535385,0.8709834,0.8471275,1.2229322,1.0096025,1.0570295,1.1288071,1.0059279,1.2228277,1.2474473,1.2458663,0.9310333,0.8702154,1.0611619,1.1282655,0.94661444,0.01953119,1.1361465,1.0996532,1.006674,0.8605586,1.0651112,1.0161399,1.2612591,0.86638784,1.0358915,1.0418875,1.0519817,0.6388126,1.0408218,0.98883784,1.1045336,1.154551,0.94171375,1.030829,1.0832171,0.79433596,1.0861531,0.9159967,1.1090931,1.1762066,1.0090425,0.91828465,1.0570536,1.10227,1.1610442,1.2129653,0.8766038,1.1496195,1.0145459,1.2966504,0.9969452,0.8276771
